characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,***,—,Repotring standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards notmet.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting stndards not met.,—,m—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards nt met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,Reporting tandards not met.,72237,19928.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,Reporting standards not met.,82259,21231.5,Reporting standrds not met.
"White, non-Hispanic",Fmale,"White, non-Hispanic",2002,8.4,2.42,Reporting standards not met.,63545,18893.9,Reporing standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,Repoerting standards not met.,69279,199861.,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,Reoprting standards not met.,62799,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,Reporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.9,3.54,Reporting standards noot met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Feale,"White, non-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reportin gstandards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,eporting standards not met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting stndards not met.,—,***,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards not zmet.,f—,—,Reporting standards not met.
"White, non-Hispanic",Femle,"White, non-Hispanic",2012,9.0,2.26,Reporting stadards not met.,j—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Blac,k non-Hispanic",2000,9.0,2.26,Reoprting standards not met.,—,i—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispaic",2001,9.0,2.26,Reporting standards not mte.,***,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispaic",2002,9.0,2.26,Repoting standards not met.,s—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"lack, non-Hispanic",2003,9.0,2.26,Rleporting standards not met.,—,a—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispaic",2004,9.0,2.26,Repoting standards not met.,,—,Reporting standards not met.
"Black, non-Hispanic",Feamle,"Blacdk, non-Hispanic",2005,9.0,2.26,Reporitng standards not met.,—,r—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hsipanic",2006,9.0,2.26,Reporing standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Femgale,"Black, non-Hispaic",2007,9.0,2.26,eporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Female,"lBack, non-Hispanic",2008,9.0,2.26,Reportin gstandards not met.,,—,Reporting standards not met.
"Black, non-Hispanic",Femael,"Balck, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,p—,Reporting standardsw not met.
"Black, non-Hispanic",Fpemale,"Black, non-Hipsanic",2010,9.0,2.26,Reporting standards not met.,,—,Reportin gstandards not met.
"Black, non-Hispanic",Female,"Blacdk, non-Hispanic",2011,9.0,2.26,Reporting standards ont met.,,—,Reporting standards not met.
"Black, non-Hispanic",jFemale,"Bslack, non-Hispanic",2012,9.0,2.26,Reporting sandards not met.,***,—,Reporting standards not met.
Hispanic,Female,Hspanic,2000,9.0,2.26,Reporting standards not met.,—,d—,Reporting standards not met.
Hispanic,Female,Hispanic,2001,9.0,2.26,Reporting ystandards not met.,s—,—,Reporting standards not met.
Hispanic,Female,Hipsanic,2002,9.0,2.26,Reporting standrds not met.,,—,Reporting standards not met.
Hispanic,Female,Hispanyic,2003,19.9,6.59,Reporting standards not met.,49225,147964.,Reporting standards not met.
Hispanic,Female,Hispnaic,2004,9.0,2.26,Reporting standards ot met.,,—,Reporting standards not met.
Hispanic,Female,Hispanic,2005,9.0,2.26,Repotring standards not met.,—,y—,Reporting standards not met.
Hispanic,Female,Hisapnic,2006,9.0,2.26,Reporting standard snot met.,—,d—,Reporting standards not met.
Hispanic,Female,Hispanic,2007,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
Hispanic,Female,Hipsanic,2008,9.0,2.26,Reporting standadrs not met.,—,—,Reporting standards not met.
Hispanic,Female,iHspanic,2009,9.0,2.26,Reporting standards not met.,x—,—,Reporting standards not met.
Hispanic,Female,Hspanic,2010,9.0,2.26,Reporting standards not met.,—,—,oReporting standards not met.
Hispanic,Female,Hispanci,2011,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not mte.
Hispanic,Female,ispanic,2012,9.0,2.26,Reporting standards not met.,g—,—,Reporting standads not met.
"Asian, non-Hispanic",Female,"Asian, nuon-Hispanic",2000,9.0,2.26,Data not available.,—,,Data not availabel.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,,—,Dyata not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data notq available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanc",2003,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standarzds not met.
"Asian, non-Hispanic",Femazle,"sian, non-Hispanic",2005,9.0,2.26,Reporting stanfdards not met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-qHispanic",2006,9.0,2.26,Rporting standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asin, non-Hispanic",2007,9.0,2.26,Reporting stanhdards not met.,i—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-kHispanic",2008,9.0,2.26,Reporting standardsn ot met.,—,y—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,s—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"sian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,v—,—,Reportin standards not met.
"Asian, non-Hispanic",Female,"xAsian, non-Hispanic",2011,9.0,2.26,Reoprting standards not met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, knon-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,w—,Reporting sandards not met.
"Pacific Islander, non-Hispanic",eFmale,"Pacifi cIslander, non-Hispanic",2000,9.0,2.26,Data not available.,—,***,Datan ot available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,,Datan ot available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,***,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,eRporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,z—,eRporting standards not met.
"Pacific Islander, non-Hiaspanic",Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islandr, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",eFmale,"Pacyific Islander, non-Hispanic",2009,9.0,2.26,Reportingstandards not met.,—,t—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standarbds not met.,—,***,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting svtandards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hisanic",2000,9.0,2.26,Repotring standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natvie, non-Hispanic",2001,9.0,2.26,eporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hisapnic",2002,9.0,2.26,Reporting standards not met.,p—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,l—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Americahn Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards no tmet.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,non-Hispanic",2006,9.0,2.26,Reporting tsandards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Aalska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Ingdian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,w—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alska Native, non-Hispanic",2010,9.0,2.26,Reportibng standards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naptive, non-Hispanic",2011,9.0,2.26,Reporting standards qnot met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/zAlaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,g—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,***,—,Data nota vailable.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not aavilable.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not availableg.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not me.,—,f—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not metp.,—,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,m—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,y—,—,Reporting stnadards not met.
"Two or more races, non-Hispanic",Femae,"Two ormore races, non-Hispanic",2007,9.0,2.26,Reporting standard snot met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting tsandards not met.,—,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,d—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more racers, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more rces, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Reporting standards notm et.
