characteristic,sex,raceethnicity,yearvalue,rateperonezerozerozero,standarderroronrate,noteonrate,countvalue,standarderroroncount,noteoncount
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,Reporting standards not met.,72237,19928.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,Reporting standards not met.,82259,21231.5,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,Reporting standards not met.,63545,18893.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,Reporting standards not met.,69279,19986.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,Reporting standards not met.,62799,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,Reporting standards not met.,46121,16201,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.9,3.54,Reporting standards not met.,112386,27433.6,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,Reporting standards not met.,50734,19188.7,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,Reporting standards not met.,42925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
