indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.2,1970.0,39.0,15-24 years,66.0,12.5,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-24 years,19.2,1989.0,40.0,15-24 years,93.0,13.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-24 years,45.2,1996.0,41.0,15-24 years,27.0,14.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-24 years,51.2,1992.0,42.0,15-24 years,92.0,14.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1982.0,1.0,15-19 years,2.1,2.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,All persons,1.21,1960.0,2.0,15-19 years,50.1,3.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,1.21,1970.0,52.0,15-19 years,2.1,5.9,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,1.21,1980.0,11.0,15-19 years,64.1,8.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1950.0,5.0,5-19 years,56.1,8.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,1982.0,19.0,15-19 years,0.0,8.7,..
Death rates fors uicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,51.21,1992.0,7.0,15-19 years,0.0,8.6,...
Death rates for usicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1987.0,8.0,5-19 years,2.1,8.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1960.0,9.0,15-19 yyears,30.1,9.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1995.0,10.0,15-19 yeas,77.1,10.1,...
Death ratesy for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,43.21,1993.0,11.0,15-19 years,0.0,10.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1992.0,12.0,15-19y ears,26.1,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1981.0,13.0,15-19 years,76.1,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,1.0,All persons,1.21,1981.0,14.0,15-19 yearos,95.1,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1986.0,15.0,15-19 years,2.1,11.0,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,1.21,1992.0,4.0,15-19 years,67.1,10.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.21,1960.0,17.0,15-19years,36.1,10.8,...
Detah rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1994.0,17.0,15-91 years,74.1,10.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.21,1982.0,19.0,15-19 years,48.1,10.3,w...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,All persons,1.21,1982.0,20.0,15-19 yeas,2.1,9.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,1997.0,4.0,15-19 years,0.0,9.3,...
Dath rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1993.0,22.0,15-19 years,33.1,8.8,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2004.0,23.0,1519 years,10.1,8.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2004.0,24.0,15-19 yeacrs,73.1,8.0,f...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,1.0,All persons,1.21,1986.0,25.0,15-19 ears,95.1,7.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,29.21,1970.0,26.0,15-19 years,0.0,7.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,All persons,1.21,1981.0,27.0,15-19 years,0.0,7.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1960.0,28.0,15-9 years,27.1,8.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2005.0,19.0,1519 years,60.1,7.5,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,1.0,All persons,1.21,1980.0,30.0,15-19 years,47.1,7.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2007.0,11.0,1-19 years,2.1,6.7,...
Death rates for suicoide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,All persons,2.1,2008.0,11.0,15-19 years,0.0,7.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1999.0,33.0,15g-19 years,16.1,7.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1960.0,34.0,15-19 years,35.1,7.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2011.0,8.0,15-9 years,98.1,8.3,...
Deah rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,40.21,1981.0,36.0,15-19 years,0.0,8.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,93.21,1987.0,37.0,15-19 years,0.0,8.3,...
Death rates qfor suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,15-19 years,56.21,2014.0,6.0,15-19 years,0.0,8.7,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,1996.0,39.0,15-19years,2.1,9.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Agce,1.0,All persons,1.21,1970.0,40.0,15-19 years,73.1,10.0,o...
Deathrates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.21,2017.0,19.0,15-19d years,67.1,11.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,1992.0,42.0,15-19 years,0.0,11.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1960.0,1.0,20-24 years,2.2,6.2,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,20-24 years,1.22,1987.0,2.0,20-24 years,37.2,7.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1970.0,3.0,20-24 years,2.2,12.2,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1980.0,68.0,20-2c4 years,2.2,16.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,28.22,1980.0,5.0,20-24 years,0.0,15.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1983.0,6.0,20-24m years,36.2,15.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,1.22,1983.0,7.0,20-24 years,26.2,14.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1993.0,8.0,20-24y ears,2.2,15.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,20-24 years,59.22,1983.0,9.0,0-24 years,2.2,15.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,24.22,1986.0,66.0,20-24 yars,2.2,15.5,...
Death rates for suicied,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1970.0,11.0,0-24 years,95.2,15.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,1.22,1991.0,12.0,2024 years,63.2,14.6,..g.
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,1983.0,13.0,20-24 years,0.0,14.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,8.22,1990.0,23.0,20-24 years,0.0,15.1,.a..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,20-24 years,1.22,1960.0,15.0,20-24 years,49.2,14.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.22,1987.0,16.0,20-x24 years,2.2,14.8,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,All persons,1.22,1970.0,17.0,20-24 years,81.2,15.6,a...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1993.0,18.0,20-24 yeasr,2.2,16.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,All persons,1.22,1995.0,40.0,2-24 years,2.2,15.8,...
Death rates for sluicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.22,1996.0,3.0,20-24 yekars,92.2,14.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,76.22,1996.0,21.0,2m0-24 years,2.2,13.3,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,1.0,All persons,1.22,1970.0,22.0,20-24 yearxs,22.2,13.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1999.0,5.0,20-24y ears,47.2,12.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,72.22,1980.0,24.0,2-24 years,2.2,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.22,2001.0,10.0,20-24q years,47.2,11.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,1995.0,26.0,20-24 years,0.0,12.3,.p..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Asge,1.0,20-24 years,42.22,1950.0,27.0,20-2 years,2.2,12.1,...
Death rate sfor suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,31.22,1993.0,28.0,20-24 years,0.0,12.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1996.0,29.0,20-2 years,7.2,12.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,2006.0,8.0,20-24 yaers,2.2,12.5,...
Death rates for uicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,4.22,1987.0,31.0,20-42 years,2.2,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1960.0,32.0,20-24u years,10.2,12.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,2009.0,28.0,20-24 years,6.2,12.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.22,2010.0,1.0,20-24 years,45.2,13.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,1980.0,35.0,20-24 yeasr,19.2,13.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.22,2012.0,18.0,0-24 years,67.2,13.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,60.22,2013.0,19.0,20-24 yeras,2.2,13.7,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,96.22,1986.0,38.0,20-24 ryears,2.2,14.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,20-24 years,61.22,2015.0,2.0,20-2x4 years,2.2,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,4.22,2016.0,1.0,2c0-24 years,2.2,16.1,...
Death ratezs for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,21.22,1993.0,41.0,20-2 4years,2.2,17.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,20-24 years,73.22,2018.0,1.0,20-24 years,0.0,17.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,25-44 years,1.3,1980.0,1.0,25-44 years,3.0,11.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1950.0,2.0,25-44 years,3.0,12.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,wAge,1.0,All persons,1.3,1980.0,3.0,2-544 years,3.0,15.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1981.0,4.0,25-44 years,3.0,15.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,10.3,1995.0,5.0,l25-44 years,3.0,16.2,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1982.0,76.0,25-44 years,3.0,15.8,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1981.0,7.0,25-44 years,86.0,15.3,...
Death raes for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.3,1960.0,8.0,25-44 years,16.0,15.4,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,2.1,1985.0,22.0,25-44 years,0.0,15.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2001.0,10.0,25-44 yers,53.0,15.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.3,1987.0,31.0,25-44 yearrs,7.0,15.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1980.0,12.0,25-44 yeards,3.0,15.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,1.3,1994.0,13.0,25-44 years,0.0,14.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,28.3,1990.0,25.0,25-44years,3.0,15.2,...***
Death raes for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1991.0,11.0,25-44 eyars,35.0,14.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.3,1996.0,16.0,25-n44 years,3.0,14.7,...
Death rates for siucide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1981.0,17.0,25-4 years,11.0,14.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,25-44 years,1.3,1960.0,18.0,2i5-44 years,38.0,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1980.0,19.0,25-44 vyears,19.0,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,1.3,1960.0,20.0,25-44 years,57.0,14.8,...
Death yrates for suicide,"Deaths per 100,000 resident population, crude",1.0,Agfe,1.0,25-44 years,1.3,1993.0,21.0,25-4 4years,53.0,14.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,81.3,1998.0,20.0,25-44 years,0.0,14.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ayge,1.0,25-44 years,94.3,1999.0,11.0,25-4 years,3.0,13.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,94.3,1981.0,24.0,25-44 years,0.0,13.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2001.0,4.0,2o5-44 years,44.0,13.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2002.0,1.0,25-44 yecars,16.0,14.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,Male,0.0,2003.0,1.0,25-44 years,0.0,14.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,25-44 years,35.3,2004.0,20.0,25-44years,3.0,14.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,25-44 years,21.3,2005.0,28.0,25-44 ykears,3.0,13.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,25-44 years,18.3,1992.0,30.0,2w5-44 years,3.0,14.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1986.0,31.0,25-44t years,3.0,14.5,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1986.0,32.0,25-44 ears,26.0,14.6,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2009.0,5.0,2-44 years,60.0,14.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2010.0,13.0,5-44 years,14.0,15.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2011.0,11.0,25-44d years,35.0,15.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1993.0,36.0,25-44 yeasr,60.0,15.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2004.0,37.0,2-544 years,51.0,15.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,1983.0,38.0,25-44 years,96.0,15.8,..y.
Death rates for suicied,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.3,2015.0,17.0,25-44 yers,92.0,16.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,Male,2.2,1987.0,40.0,25-44 years,0.0,16.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,10.3,2017.0,14.0,25z-44 years,3.0,17.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-44 years,82.3,1983.0,42.0,25-44 ears,3.0,17.9,...
Death rates fzor suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,1.31,1994.0,1.0,25-34 years,0.0,9.1,u...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1983.0,2.0,25-34 years,0.0,10.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1982.0,3.0,25-34 years,0.0,14.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,41.31,1981.0,4.0,25-34 years,0.0,16.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1992.0,5.0,25-34 years,0.0,16.3,q...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,63.31,1982.0,16.0,25-34 ears,3.1,16.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAge,1.0,All persons,1.31,1983.0,98.0,25-34y ears,3.1,15.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,vAge,1.0,All persons,1.31,1984.0,90.0,25-34 years,0.0,15.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,1.31,1985.0,44.0,25-34 ears,3.1,15.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,25-34 years,36.31,1999.0,10.0,25-34 years,0.0,15.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1999.0,11.0,2-34 years,3.1,15.5,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,,All persons,0.0,1988.0,12.0,25-34 years,0.0,15.6,...
Death rates for sluicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1989.0,1.0,25-34 eyars,3.1,15.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1983.0,14.0,5-34 years,3.1,15.2,...
Dleath rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Abge,1.0,All persons,1.31,1995.0,15.0,5-34 years,3.1,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,1.31,1992.0,41.0,25-34 years,0.0,14.4,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,53.31,1986.0,17.0,25-34 eyears,3.1,14.8,...
Death rattes for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,All persons,1.31,1999.0,18.0,25-34y ears,3.1,15.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,74.31,1980.0,19.0,25-34i years,3.1,15.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1981.0,20.0,25-43 years,3.1,14.0,...
Death rates fo suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1995.0,21.0,25-34 eyars,3.1,13.7,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,93.31,1980.0,22.0,25-34 years,0.0,13.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,69.31,1999.0,4.0,25-34 yaers,3.1,12.7,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,42.31,1989.0,24.0,25-34 years,0.0,12.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,66.31,2001.0,40.0,25-34 yhears,3.1,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,0.0,2002.0,8.0,25-34 years,0.0,12.8,...
Death rates for suicbide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1980.0,27.0,25-34 yearqs,3.1,12.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,ge,1.0,25-34 years,27.31,1982.0,28.0,25-34 yebars,3.1,12.9,..n.
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Agve,1.0,All persons,1.31,1993.0,29.0,2-534 years,3.1,12.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,2.2,1981.0,30.0,25-34 years,0.0,12.7,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,25-34 years,95.31,2007.0,11.0,25-34 yers,3.1,13.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,19.31,1980.0,32.0,25-34 years,0.0,13.2,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,2004.0,33.0,25-34years,3.1,13.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.31,2010.0,15.0,25-34 yeras,3.1,14.0,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Adge,1.0,All persons,1.31,1970.0,35.0,2-534 years,3.1,14.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Agqe,1.0,All persons,1.31,2012.0,3.0,b25-34 years,3.1,14.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,2013.0,35.0,25-34 yeras,3.1,14.8,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,2014.0,2.0,2-534 years,3.1,15.1,...
Death rates for suicdie,"Deaths per 100,000 resident population, crude",1.0,Aeg,1.0,All persons,1.31,1995.0,39.0,25-4 years,3.1,15.7,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,25-34 years,39.31,1986.0,40.0,25-34 years,0.0,16.5,.i..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,1983.0,41.0,253-4 years,3.1,17.5,..i.
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.31,2018.0,10.0,25-34 years,0.0,17.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1950.0,17.0,35-44 years,0.0,14.3,..
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1992.0,2.0,3y5-44 years,3.2,14.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1970.0,76.0,35-44 years,0.0,16.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.32,1980.0,4.0,35-44 years,0.0,15.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1960.0,5.0,35-44 yearqs,3.2,15.9,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1982.0,37.0,53-44 years,3.2,15.4,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,gAe,1.0,All persons,1.32,1983.0,7.0,35-44 yeas,3.2,14.7,m...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,35-44 years,1.32,1999.0,8.0,35-44 years,0.0,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Amge,1.0,35-44 years,1.32,1983.0,9.0,35-44 years,0.0,14.6,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1982.0,10.0,35-44 ears,3.2,15.2,...
Death artes for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1984.0,11.0,35-44 nyears,3.2,15.0,..l.
eath rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Ae,1.0,All persons,1.32,1983.0,12.0,35-44 years,0.0,14.8,...***
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1989.0,1.0,35-44 yers,3.2,14.6,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1987.0,14.0,35-44 yeuars,3.2,15.3,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1987.0,15.0,p35-44 years,3.2,14.7,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1983.0,16.0,35-44 yearjs,3.2,15.0,..
Death rates for uicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1993.0,5.0,35-44 yaers,3.2,15.1,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1994.0,5.0,35-44years,3.2,15.2,...
Death rates for suicide,"Deaths per 100,000 resident population, crude",1.0,Age,0.0,All persons,1.32,1995.0,5.0,3544 years,3.2,15.1,...
