objectid,cyclevalue,id_three_zero_five_b,watername,locationvalue,watersize,sizeunit,watertype,nhdbasin,ctlakeid,classid,classname,aquatic_life_attainment_code,aquatic_life_attainment,recreational_attainment_code,recreational_attainment,fish_consumptin_attainment_code,fish_consumption_attainment,drinking_water_attainment_code,drinking_water_attainment,impaired,shape_length,shape_area
73.0,2018,CT6301-00-1-L1_01,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).",167.5,ACRES,FRESHWATER LAKE,1100005,3554.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,14481.3305624685,7296355.4535811
74.0,2018,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,248.07,ACRES,FRESHWATER LAKE,1100005,1550.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,28598.1475973225,10805906.532606
75.0,2018,CT6301-00-2-L2_01,Mudge Pond (Sharon),Northwest Sharon.,211.17,ACRES,FRESHWATER LAKE,1100005,1945.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,15099.2556114172,9198649.64997093
76.0,2018,CT6905-00-1-L4_01,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,74.95,ACRES,FRESHWATER LAKE,1100005,2165.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,11072.9595260387,3264879.01088874
77.0,2018,CT7301-04-1-L2_01,Popes Pond (Wilton),Wilton,82.47,ACRES,FRESHWATER LAKE,1100006,2287.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,15396.0742922076,3592354.91496195
78.0,2018,CT7200-00-3-L5_01,Saugatuck Reservoir (Weston/Easton/Redding),Weston,823.11,ACRES,FRESHWATER LAKE,1100006,2517.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,79195.9020647076,35854367.9286546
79.0,2018,CT7407-00-3-L14_01,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,161.43,ACRES,FRESHWATER LAKE,1100006,116.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,24958.4034650668,7031969.42379367
80.0,2018,CT6914-09-1-L2_01,Chestnut Hill Reservoir (Wolcott),"Near western border of Wolcott, north side of Lyman Road, west of Route 69.",65.19,ACRES,FRESHWATER LAKE,1100005,509.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8232.18249388803,2839713.45796688
81.0,2018,CT3600-00-3-L5_01,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd. Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.",68.36,ACRES,FRESHWATER LAKE,1100001,741.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,11527.1199466044,2977778.72382308
82.0,2018,CT4304-05-2-L2_01,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.",49.2,ACRES,FRESHWATER LAKE,1080207,1540.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,11433.1535747756,2142627.76042358
83.0,2018,CT2107-00-1-L1_01,Morgan Pond (Ledyard),"South side of Sandy Hollow Road, West of Route 117 intersection, ledyard.",146.22,ACRES,FRESHWATER LAKE,1100003,1910.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,20844.8594446964,6369266.99869872
84.0,2018,CT6008-00-1-L1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,67.31,ACRES,FRESHWATER LAKE,1100005,636.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,7408.72177274746,2931950.27860726
85.0,2018,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,40.37,ACRES,FRESHWATER LAKE,1100005,3463.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,5484.33917802115,1758416.97078921
86.0,2018,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.",93.52,ACRES,FRESHWATER LAKE,1100005,2761.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17087.9883430974,4073698.59932615
87.0,2018,CT6701-00-1-L1_01,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,187.22,ACRES,FRESHWATER LAKE,1100005,2985.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,18755.5130839859,8155507.1032156
88.0,2018,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,65.77,ACRES,FRESHWATER LAKE,1100005,746.0,50,Inland Surface Waters Class AA,X,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,7494.95399457667,2864776.68723796
89.0,2018,CT6700-03-1-L2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,16.34,ACRES,FRESHWATER LAKE,1100005,1894.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,3355.22721190262,711650.978445848
90.0,2018,CT6500-00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,82.26,ACRES,FRESHWATER LAKE,1100005,2681.0,50,Inland Surface Waters Class AA,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,8764.79567797353,3583242.82886709
91.0,2018,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris",955.45,ACRES,FRESHWATER LAKE,1100005,110.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,49683.926527037,41619104.5919821
92.0,2018,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.",640.81,ACRES,FRESHWATER LAKE,1100005,1544.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,48901.5422399421,27913623.9889144
93.0,2018,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.",20.14,ACRES,FRESHWATER LAKE,1100005,1602.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4538.23578406038,877487.876644157
94.0,2018,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.",55.14,ACRES,FRESHWATER LAKE,1100005,1934.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,7952.2130398767,2401886.590557
95.0,2018,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.",65.66,ACRES,FRESHWATER LAKE,1100005,1172.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,9102.20490686733,2860026.727609
96.0,2018,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",5.3,ACRES,FRESHWATER LAKE,1100005,2048.0,48,Inland Surface Waters Class A,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2783.44511940392,230909.922728745
97.0,2018,CT6804-02-1-L1_01,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.",101.41,ACRES,FRESHWATER LAKE,1100005,1675.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,18026.993986236,4417389.51563255
98.0,2018,CT6912-05-1-L2_01,"Winnemaug, Lake (Watertown)",Southwest Watertown.,112.87,ACRES,FRESHWATER LAKE,1100005,1552.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17503.1563122235,4916775.61325428
99.0,2018,CT6400-00-1-L5_01,"Candlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford, New Farfield, & Sherman.",5085.67,ACRES,FRESHWATER LAKE,1100005,1490.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,345092.827981207,221531973.909846
100.0,2018,CT6023-00-1-L1_01,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,296.89,ACRES,FRESHWATER LAKE,1100005,1533.0,48,Inland Surface Waters Class A,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,32964.6934018462,12932563.1609834
101.0,2018,CT6400-03-1-L1_01,Squantz Pond (New Fairfield/Sherman),Northeast corner of New Fairfield and into Sherman. Large cove of Candlewood Lake contained by Squantz Pond Dam at Route 39 crossing. Includes CT DEEP State swimming area at Squantz Pond State Park.,266.81,ACRES,FRESHWATER LAKE,1100005,2719.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,28210.8322218542,11622050.0133052
102.0,2018,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",25.77,ACRES,FRESHWATER LAKE,1100005,1281.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,9200.12640646454,1122637.76098188
103.0,2018,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfield,80.7,ACRES,FRESHWATER LAKE,1100005,100.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,9286.35747511145,3515310.78198847
104.0,2018,CT6018-00-1-L1_01,Taunton Pond (Newtown),Central Newtown.,124.61,ACRES,FRESHWATER LAKE,1100005,2852.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,12136.8005858179,5427869.75285913
105.0,2018,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",56.75,ACRES,FRESHWATER LAKE,1100005,1509.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Yes,8916.19982305404,2472100.46420373
106.0,2018,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.",346.29,ACRES,FRESHWATER LAKE,1100005,1508.0,49,Inland Surface Waters Class B,X,UNASSESSED,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,69430.8367147932,15084482.8283525
107.0,2018,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",4.02,ACRES,FRESHWATER LAKE,1100005,310.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,1855.56413566313,175247.794143589
108.0,2018,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",100.3,ACRES,FRESHWATER LAKE,1100005,1252.0,48,Inland Surface Waters Class A,I,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,19245.3777139289,4369071.70432592
109.0,2018,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.",122.76,ACRES,FRESHWATER LAKE,1080205,88.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,24396.2679771253,5347464.87930803
110.0,2018,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,214.44,ACRES,FRESHWATER LAKE,1080207,2354.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,60317.9244968307,9341263.77225124
111.0,2018,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,275.37,ACRES,FRESHWATER LAKE,1080205,2453.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,31984.5558284626,11994935.5862266
112.0,2018,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.",14.32,ACRES,FRESHWATER LAKE,1080207,1297.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,3575.16350728842,623913.792405779
113.0,2018,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,385.75,ACRES,FRESHWATER LAKE,1080207,1522.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Yes,52352.7224734222,16803189.2427698
114.0,2018,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.",511.85,ACRES,FRESHWATER LAKE,1080205,2596.0,50,Inland Surface Waters Class AA,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,No,38880.7337830691,22295951.9761804
115.0,2018,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,245.54,ACRES,FRESHWATER LAKE,1080207,3448.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17327.4032895767,10695983.3037961
116.0,2018,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.",5.87,ACRES,FRESHWATER LAKE,1080205,477.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2192.40253628984,255698.926406963
117.0,2018,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,5.14,ACRES,FRESHWATER LAKE,1080205,992.0,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,2790.65186704061,223781.077012535
118.0,2018,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,145.49,ACRES,FRESHWATER LAKE,1080205,136.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,11945.7822983171,6337717.80185501
119.0,2018,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,2.71,ACRES,FRESHWATER LAKE,1080205,1853.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,1732.90177015924,118167.936980312
120.0,2018,CT4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol",11.84,ACRES,FRESHWATER LAKE,1080207,225.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4085.72462529309,515706.809373345
121.0,2018,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,68.67,ACRES,FRESHWATER LAKE,1080205,1262.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8150.61640819157,2991123.20141403
122.0,2018,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion over boarder in New York.",155.9,ACRES,FRESHWATER LAKE,1100005,2421.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,18898.262984158,6791215.84719876
123.0,2018,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,9.39,ACRES,FRESHWATER LAKE,1100004,297.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,4211.48706476863,409075.181713018
124.0,2018,CT4708-00-2-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.",81.29,ACRES,FRESHWATER LAKE,1080205,1538.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,9240.49765441061,3541089.32178473
125.0,2018,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",502.28,ACRES,FRESHWATER LAKE,1080205,2273.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,31556.9655710472,21879476.7085152
126.0,2018,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",140.58,ACRES,FRESHWATER LAKE,1080205,2627.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,19689.5237317282,6123651.39992351
127.0,2018,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.",71.91,ACRES,FRESHWATER LAKE,1080205,1066.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8475.08169449154,3132387.52244891
128.0,2018,CT4700-02-1-L1_01,Day Pond (Colchester),"CT DEEP Day Pond State Park. Impoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester.",7.35,ACRES,FRESHWATER LAKE,1080205,691.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2933.5616797025,320186.260685602
129.0,2018,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir",82.11,ACRES,FRESHWATER LAKE,1080205,2234.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,14161.9521647024,3576632.83900418
130.0,2018,CT4800-04-1-L1_01,"Hayward, Lake (East Haddam)",Northeast corner of East Haddam.,172.41,ACRES,FRESHWATER LAKE,1080205,1507.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,20347.5027973159,7510115.91466773
131.0,2018,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",30.96,ACRES,FRESHWATER LAKE,1080205,658.0,48,Inland Surface Waters Class A,I,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,11255.5418039513,1348373.05939525
132.0,2018,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,112.83,ACRES,FRESHWATER LAKE,1080205,199.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,12942.4451549198,4914699.51299443
133.0,2018,CT4710-00-1-L2_01,Moodus Reservoir (East Haddam),Northeast East Haddam.,440.74,ACRES,FRESHWATER LAKE,1080205,1902.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,61417.977921655,19198771.1550512
134.0,2018,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.",15.24,ACRES,FRESHWATER LAKE,1080205,755.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4895.55373634131,663787.196223253
135.0,2018,CT4710-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.",265.54,ACRES,FRESHWATER LAKE,1080205,127.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,28316.8113276232,11567123.2354054
136.0,2018,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,26.4,ACRES,FRESHWATER LAKE,1080205,1226.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8248.61191464011,1150062.77004756
137.0,2018,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, In Cockaaponset State Forest ans includes CT DEEP swimming area, Chester.",52.25,ACRES,FRESHWATER LAKE,1080205,2183.0,48,Inland Surface Waters Class A,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,11858.0551026618,2276078.93589521
138.0,2018,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.",70.65,ACRES,FRESHWATER LAKE,1080205,453.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8095.6479846412,3077679.47589754
139.0,2018,CT4800-10-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.",29.4,ACRES,FRESHWATER LAKE,1080205,2054.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,5068.87985719143,1280668.80590228
140.0,2018,CT4800-16-1-L2_01,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.",69.03,ACRES,FRESHWATER LAKE,1080205,2991.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,10186.4172114451,3006810.01595611
141.0,2018,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,81.67,ACRES,FRESHWATER LAKE,1080205,1829.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,15715.9792035817,3557669.03731145
142.0,2018,CT4019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.",29.74,ACRES,FRESHWATER LAKE,1080205,3583.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,9276.67395083096,1295495.04025224
143.0,2018,CT4302-16-1-L1_01,Highland Lake (Winchester),Southeast corner of Winchester.,448.18,ACRES,FRESHWATER LAKE,1080207,1230.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,42660.460613205,19522854.8387813
144.0,2018,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",77.15,ACRES,FRESHWATER LAKE,1100002,2156.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,12713.7080779591,3360761.0678375
145.0,2018,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook, South of Rt 309. Includes CT DEEP State swimming area in Stratton Brook State Park, Simsbury.",2.35,ACRES,FRESHWATER LAKE,1080207,2782.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,1350.69812038641,102348.431499426
146.0,2018,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,120.48,ACRES,FRESHWATER LAKE,1100001,1445.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,14372.9769053853,5248056.37139219
