objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
75,2008,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",0.64036366,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,28860.212929491,17852314.4109618
76,2008,CT-C4_001,LIS CB Offshore - Madison,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,37.97812564,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",175785.920501051,1058769377.8743
77,2008,CT-E4_005,LIS EB Offshore - Westbrook,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,6.07031141,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",75530.3433872666,169230569.818359
78,2008,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",2.52427326,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,38711.6403275611,70372699.9240908
79,2008,CT-C1_002-SB,"LIS CB Inner - Inner Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.",0.37223799,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,21148.1794158666,10377399.7058145
80,2008,CT-C1_003-SB,"LIS CB Inner - Hammonasset River, Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, Hammonasset River SB water from mouth at inner Clinton Harbor, US to SA/SB water quality line between Currycross Road and RR track, Clinton.",0.07191634,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,26163.4200852147,2004912.58104265
81,2008,CT-C3_005,LIS CB Midshore - Madison,"See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Hogshead Point), out to 50 ft contour, Madison.",8.34756417,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,68312.6893275045,232716733.104572
82,2008,CT-C3_020,"LIS CB Midshore - Milford Point, Milford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (SA water surrounding SB water, outer mouth of Housatonic River), out to 50 ft contour, Milford.",10.66337041,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,86565.9644430666,297277705.79631
83,2008,CT-C3_017,LIS CB Midshore - Milford,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, Milford.",8.0947951,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,63748.8134522544,225669935.931587
84,2008,CT-E3_007,"LIS EB Midshore - East Lyme, Rocky Neck","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Hatchett Point to Black Point, East Lyme, out to 50 ft contour (offshore of mouths of Fourmile and Pattagasett Rivers).",2.93014055,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,53108.9529703063,81687630.5787037
85,2008,CT-C3_019-I,"LIS CB Midshore - Outer Silver Sand Beach, Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line along beach, out to Island (THE GULF SA water inside of Island at Silver Sands State Park Beach), Milford.",0.57291732,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17949.3805112461,15972018.4315758
86,2008,CT-C1_004-SB,"LIS CB Inner - Hayden Creek, Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, Hayden Creek SB water from mouth at Hammonasset River (parallel with Pratt Road), US to saltwater limit near Maple Avenue (off Route 1), Clinton.",0.0089137,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,12064.515931827,248499.95004896
87,2008,CT-C1_013-SB,"LIS CB Inner - New Haven Harbor, New Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, Inner New Haven Harbor from Sandy Point to I95 crossing (mouth of Quinnipiac and Mill Rivers, and mouth of West River), New Haven/West Haven.",2.34307543,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,58309.3018226329,65321194.3068196
88,2008,CT-C1_012,"LIS CB Inner - Morris Creek, East Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at New Haven Harbor (near Lighthouse Point Beach) to, US to saltwater limit above Route 337, East Haven/New Haven.",0.01551493,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11231.3581999898,432531.485153799
89,2008,CT-C2_017-SB,"LIS CB Shore - Morris Cove, New Haven","See Map for Boundaries. Central portion of LIS from Black Rock to Morgan Point area (includes Lighthouse Point Beach, Lighthouse Point, South End), out approximately 1000 ft offshore, New Haven.",0.58558219,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,36372.4218838541,16325094.7129849
90,2008,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries. Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",0.13783528,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,98107.7573017659,3842627.11534597
91,2008,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries. Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",0.49210207,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,30076.785638492,13719018.5935333
92,2008,CT-W2_017,"LIS WB Shore - Darien Cove, Darien","See Map for Boundaries. Western portion of LIS from Greenway Island area of outer Cove Harbor to Long Neck Point (includes Pear Tree Point Beach, Nash Island, Darien River mouth) out approximately 1000 ft offshore, Darien.",0.49836911,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,46949.5096111007,13893733.6144171
93,2008,CT-C1_015-SB,"LIS CB Inner - West River (Lower), West Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth just DS of I95 crossing (City Point, New Haven Harbor), US to SA/SB water quality line at Route 1 crossing, West Haven.",0.06520364,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,27773.3102192349,1817773.28021208
94,2008,CT-C1_021-SB,"LIS CB Inner - Housatonic River (Upper), Orange","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Route 15 crossing, US to just below Wooster Island (includes Great Flats, and mouth of Farmill River) Orange/Shelton.",0.40196526,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,43096.3295570767,11206148.5192943
95,2008,CT-E1_011-SB,"LIS EB Inner - Mumford Cove (Inner), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Mumford Cove along east side of Bluff Point State Park shore, and North of Groton Long Point to saltwater limit near RR crossing, Groton.",0.2189958,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17747.2107938251,6105252.72566075
96,2008,CT-E1_021,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Pattagansett River from outlet at RR crossing, US to saltwater limit at Route 156 crossing, East Lyme.",0.04826603,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16943.0398792269,1345579.891656
97,2008,CT-E2_021,"LIS EB Shore - Plum Bank, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Plum Bank Creek to Cornfield Point (includes Town Beach), out approximately 1000 ft offshore.",0.18227534,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,12262.3702120912,5081545.11457672
98,2008,CT-E2_022,"LIS EB Shore - Indiantown Harbor, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Long Rock to Plum Bank Creek (includes the mouth of Oytser River and Back River, and Plum Bank Creek), out approximately 1000 ft offshore.",0.38943097,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28446.8328214907,10856712.6241672
99,2008,CT-E1_003,"LIS EB Inner - Inner Wequetequock Cove, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Wequetequock Cove from RR crossing US to Saltwater limit, in two lopes adjacent to Route 1, Stonington.",0.09438988,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19178.115042433,2631438.84704397
100,2008,CT-E1_007-SB,"LIS EB Inner - Mystic River (Mouth), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Mouth of Mystic River Estuary from RR crossing, US to Saltwater limit, above Route 95 crossing, adjacent to Mill Street, Stonington (Old Mystic).",0.45311904,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,46973.1376835794,12632234.0170407
101,2008,CT-E1_008-SB,"LIS EB Inner - Mystic Harbor, Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Mystic Harbor from Morgan Point to RR crossing at mouth of Mystic River (includes waters North of Mason Island), Groton.",0.95408071,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,57194.8888637775,26598243.9123062
102,2008,CT-C2_013,"LIS CB Shore - Indian Neck, Branford","See Map for Boundaries. Central portion of LIS from Clam Island to Brown Point area (includes Haycock Point), out approximately 1000 ft offshore, Branford.",0.56739428,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36936.9040296934,15818044.8647062
103,2008,CT-C3_010,"LIS CB Midshore - Indian Neck, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Indian Neck, Little Point), out to 50 ft contour, Branford.",8.55352909,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,69642.302086243,238458705.48073
104,2008,CT-W3_003,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Grover Hill, Fayerweather Island, Seaside Beach area), out to 50 ft contour, Bridgeport. Odd shape due to 50 ft contour.",6.05886735,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,64565.8310752551,168911527.666804
105,2008,CT-C2_006,"LIS CB Shore - Madison Beaches (East), Madison","See Map for Boundaries. Central portion of LIS from West Warf to Webster Point area (includes West Warf and East Warf Beaches, Tuxis Island, and tidal Fence Creek ), out approximately 1000 ft offshore, Madison.",0.39865693,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36611.9739566144,11113917.5848109
106,2008,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",0.33956885,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28337.3321484333,9466636.36527024
107,2008,CT-E4_003,LIS EB Offhsore - Old Lyme,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,11.83736787,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",80234.8098044702,330006876.621942
108,2008,CT-E4_004,LIS EB Offshore - Old Saybrook,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,9.44044035,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",74588.3286828901,263184372.445871
109,2008,CT-C3_007,"LIS CB Midshore - Sachem Head Harbor, Guilford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Sachem Head), out to 50 ft contour, Guilford.",7.08870534,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,65504.9847170054,197621763.160976
110,2008,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries. Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",0.42960112,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,52719.3630004611,11976592.0661225
111,2008,CT-W3_008-I,"LIS WB Midshore - Norwalk Islands, Norwalk","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Norton Point to Seymour Point, includes all Norwalk Islands area), out to line just beyond Sheffield Island to Cockenoe Island, Norwalk.",5.94025141,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,144644.657657696,165604705.084903
112,2008,CT-E1_028-SB,"LIS EB Inner - Leiutenant River, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Leiutenant River from Route 156 crossing, US to saltwater limit adjacent to Longacre Lane, Old Lyme.",0.104656,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,34788.936712656,2917641.93921078
113,2008,CT-W2_004,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS from Shoal Point to tip of Fayerweather Island (includes Penfield Beach, Jennings Beach, Ash Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.40748912,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,25131.538482968,11360144.726116
114,2008,CT-W2_005,"LIS WB Shore - Pine Creek Point, Fairfield","See Map for Boundaries. Western portion of LIS from Pine Creek Point area to Shoal Point (includes South Pine Creek Beach, Pine Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.36977409,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,22728.2139088946,10308710.2253424
115,2008,CT-W2_016,"LIS WB Shore - Scott Cove, Darien","See Map for Boundaries. Western portion of LIS from Long Neck Point to Fish Islands (includes Hay Island, Great Island) out approximately 1000 ft offshore, Darien.",0.71793907,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,67235.5811465755,20014992.8312509
116,2008,CT-W3_009,"LIS WB Midshore - Outer Fivemile R Estuary, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (outer Scott Cove near Fish Islands to Norton Point area), out to 50 ft contour, Darien.",2.45318694,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,37578.6496338355,68390926.9491361
117,2008,CT-W2_025,"LIS WB Shore - Byram Harbor (West), Greenwich","See Map for Boundaries. Western portion of LIS from NY/CT border at Byram River to just west of Shore Island (includes mouth of Byram River, Byram Point) out approximately 1000 ft offshore, Greenwich.",0.24386398,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15988.2271262258,6798537.85640908
118,2008,CT-E2_009-SB,"LIS EB Shore - Thames River Mouth (East), Groton","See Map for Boundaries. Eastern portion of LIS from Eastern Point in mouth of Thames River to SB/SA water quality boundary at Bushy Point Beach, out approximately 1000 ft offshore.",0.39960562,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25880.6998058798,11140365.3201878
119,2008,CT-C2_018-SB,"LIS CB Shore - New Haven Harbor (West), West Haven","See Map for Boundaries. Central portion of LIS from Oyster River Point to Sandy Point area (includes West Haven West Beach, West Haven East Beach, West Shore, Sandy Point), out approximately 1000 ft offshore, West Haven.",0.78887112,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,49849.2761494906,21992464.7755598
120,2008,CT-C2_016-SB,"LIS CB Shore - New Haven Harbor (East), East Haven","See Map for Boundaries. Central portion of LIS from Morgan Point to Mansfield Point area (includes East Haven Beach, South End Point, Momauguin), out approximately 1000 ft offshore, East Haven.",0.37115883,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,27060.3126977167,10347314.3491744
121,2008,CT-E2_003,"LIS EB Shore - Outer Quiambaug Cove, Stonington","See Map for Boundaries. Eastern portion of LIS from Mouth of inner Quiambaug Cove at RR crossing to SB/SA water quality boundary at mouth of Stonington Harbor, out approximately 1000 ft offshore.",0.38816798,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26208.4311734603,10821502.4891779
122,2008,CT-E3_006,LIS EB Midshore - Niantic Bay,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Black Point, East Lyme to Magonk Point (SB/SA water quality boundary) Waterford, out to 50 ft contour (Niantic Bay).",6.17913997,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,93975.6910231106,172264535.74846
123,2008,CT-E2_010-SB,"LIS EB Shore - Thames Rvr Mouth (West), New London","See Map for Boundaries. Eastern portion of LIS from mouth of Alewife Cove to Quinnipeag Rocks along western shore of Thames River mouth, out approximately 1000 ft offshore (SB Water Quality).",0.29886682,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,21168.5586188872,8331928.8278657
124,2008,CT-E2_011-SB,"LIS EB Shore - Thames Rvr Mouth (West), Waterford","See Map for Boundaries. Eastern portion of LIS from Magonk Point to mouth of Alewife Cove, out approximately 1000 ft offshore (SB Water Quality).",0.48607475,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,29902.0785072294,13550986.3289529
125,2008,CT-C1_014-SB,"LIS CB Inner - Quinnipiac River (mouth), New Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at I95 crossing, US Quinnipiac River to Sackett Point Road (includes Mill River mouth BELOW Chapel Street crossing), North Haven.",0.62593249,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,102937.095714488,17449996.5570322
126,2008,CT-W4_005,LIS WB Offshore - Greenwich,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,11.75339769,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",84184.6248275376,327665922.222781
127,2008,CT-E2_008,"LIS EB Shore - Bluff Point, Groton","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Bushy Point Beach to Mumford Point, out approximately 1000 ft offshore.",0.23452643,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15609.5219742024,6538221.73176757
128,2008,CT-E2_006,"LIS EB Shore - West Cove (Groton Long Pt), Groton","See Map for Boundaries. Eastern portion of LIS from tip of Groton Long Point to Morgan Point at SB/SA water quality boundary for Mystic River mouth, out approximately 1000 ft offshore.",0.42213698,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29119.2075346326,11768503.7606854
129,2008,CT-E2_012,"LIS EB Shore - Outer Jordan Cove, Waterford","See Map for Boundaries. Eastern portion of LIS from Millstone Point to SB/SA water quality boundary at Magonk Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.46490137,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29096.1986270915,12960706.4631773
130,2008,CT-E2_015,"LIS EB Shore - Niantic Bay (Black Pt), East Lyme","See Map for Boundaries. Eastern portion of LIS from Point East of Griswald Island, past Black Point to Pond Point in Niantic Bay, out approximately 1000 ft offshore.",0.55429137,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34211.0484188985,15452756.6046889
131,2008,CT-C2_020-SB,"LIS CB Shore - New Haven Harbor (SWest), Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line at Pond Point to Merwin Point area (includes Anchor Beach #1, Anchor Beach #2, Morningside), out approximately 1000 ft offshore, Milford.",0.38529821,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25682.702531667,10741497.6852812
132,2008,CT-C2_023,"LIS CB Shore - Walnut Beach, Milford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Milford Point to SA/SB WQ line at Silver Sands State Park Beach area (includes Walnut Beach, all SA, Housatonic River mouth to The Gulf), out approximately 1000 ft offshore, Milford.",0.57698582,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34758.0261511459,16085441.7086971
133,2008,CT-W2_022,"LIS WB Shore - Cos Cob Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from Tweed Island to Todd Point (includes Horse Island, Goose Island, Cos Cob Cove) out approximately 1000 ft offshore, Greenwich.",0.70367739,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,51878.610272398,19617399.8734771
134,2008,CT-E2_007,"LIS EB Shore - Outer Mumford Cove, Groton","See Map for Boundaries. Eastern portion of LIS from Mumford Point to eastern most tip of Groton Long Point (includes outer Mumford cove and all of Venetian Harbor), out approximately 1000 ft offshore.",0.55479043,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,42387.1175579381,15466669.715972
135,2008,CT-C2_014-SB,"LIS CB Shore - Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS from Johnson Point to Clam Island area (includes Branford Point Beach, Lovers Island, Indian Neck Point, Linden Point), out approximately 1000 ft offshore, Branford.",0.64822165,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,39633.5932930351,18071382.6259057
136,2008,CT-E2_014,"LIS EB Shore - Niantic Bay (West), East Lyme","See Map for Boundaries. Eastern portion of LIS from Pond Point to Smith Avenue at junction with Route 156, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.30223274,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19211.1902304137,8425765.35875651
137,2008,CT-E2_019-SB,"LIS EB Shore - CT River Mouth (East), Old Lyme","See Map for Boundaries. Eastern portion of LIS from Griswold Point to SB/SA water quality boundary at Hawks Nest Beach area (Includes White Sands Beach), out approximately 1000 ft offshore. (SB water)",0.42345323,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25957.4308062695,11805198.7569257
138,2008,CT-W3_004,"LIS WB Midshore - Shoal Point, Fairfield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Shoal Point and outer Black Rock Harbor area), out to 50 ft contour, Fairfield.",4.15466469,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,47630.0906239215,115825404.328531
139,2008,CT-W3_005,"LIS WB Midshore - Southport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Frost Point to Pine creek Point area), out to 50 ft contour, Fairfield.",5.27489324,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,49068.2849829861,147055583.904747
140,2008,CT-W2_020,"LIS WB Shore - Stamford Harbor (West), Greenwich","See Map for Boundaries. Western portion of LIS from Greenwich Point to Peck Point (includes Greenwich Point Beach, western potion of Stamford Harbor) out approximately 1000 ft offshore, Greenwich.",0.54012779,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,41204.5776274016,15057898.790391
141,2008,CT-W1_016-SB,"LIS WB Inner - Holly Pond, Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Holly Pond outlet at Brush Island (flows into Cove Harbor), US to saltwater limit at Route 1 crossing (just DS of I95 crossing), Stamford/Darien.",0.30978004,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,24183.8112001606,8636172.14401663
142,2008,CT-C3_008,LIS CB Midshore - Branford,"See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Haycock Point to Smith Island), out to 50 ft contour, Branford.",8.37856751,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,74542.1105805723,233581056.629101
143,2008,CT-W3_002,"LIS WB Midshore - Bridgeport Hbr, East, Bridgeport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Inner Bridgeport Harbor, Lewis Gut, Pleasure Beach area), out to 50 ft contour, Bridgeport.",8.08323734,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,64536.0880007159,225347723.977011
144,2008,CT-W2_007,"LIS WB Shore - Southport Harbor (West), Fairfield","See Map for Boundaries. Western portion of LIS from Beachside Lane area to inner Southport Harbor outlet area (includes Southport Beach, Sasco Brook outlet) out approximately 1000 ft offshore, Fairfield.",0.18768535,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13135.9202597682,5232367.32101178
145,2008,CT-W2_015,"LIS WB Shore - Fivemile River Estuary, Darien","See Map for Boundaries. Western portion of LIS from Fish Islands to Norton Point (includes Bell Island Beach, Fish Islands, Contentment Island, Butlers Island, Fivemile River mouth, Roton Point) out approximately 1000 ft offshore, Darien.",0.34225016,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28735.9965860973,9541387.1097162
146,2008,CT-W2_002,"LIS WB Shore - Long Beach, Stratford","See Map for Boundaries. Western portion of LIS from SA/SB WQ line at Pleasure Beach to Point No Point area (includes Long Beach (Proper), SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Stratford.",0.45782106,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28274.5769365464,12763318.7768585
147,2008,CT-W2_001,"LIS WB Shore - Lordship, Stratford","See Map for Boundaries. Western portion of LIS from Point No Point area to SA/SB WQ line at Stratford Point (includes Long Beach (Marnick's), SB water is at mouth of Housatonic River) out approximately 1000 ft offshore, Stratford.",0.40890754,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,24865.6685676807,11399688.1549483
148,2008,CT-C2_021,"LIS CB Shore - Bayview, Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line at Welches Point to SA/SB water quality line at Pond Point area (includes only SA water between New Haven Harbor and Gulf), out approximately 1000 ft offshore, Milford.",0.33121315,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,21119.7716114179,9233692.73149634
149,2008,CT-E2_020,"LIS EB Shore - Willard Bay, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Cornfield Point to SB/SA water quality boundary at Lynde Point, out approximately 1000 ft offshore. (SB water)",0.49961165,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29879.568592061,13928373.6854045
150,2008,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",0.33168182,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20951.4117918318,9246758.45712406
151,2008,CT-C2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",0.50528294,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,30531.041508012,14086479.99214
