OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MCDName,TotalStructures_072014,LikelyOccupied_072014,PotentiallyVacant_072014,LikelyVacant_072014,VeryLikelyVacant_072014,TotalStructures_112014,LikelyOccupied_112014,PotentiallyVacant_112014,LikelyVacant_112014,VeryLikelyVacant_112014,TotalStructures_052015,LikelyOccupied_052015,PotentiallyVacant_052015,LikelyVacant_052015,VeryLikelyVacant_052015,GlobalID,Shape_STArea__,Shape_STLength__
5015,26,163,539600,2003,261635396002003,Block 2003,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,c71acf13-7db5-404e-b167-605f1470615f,29575.2093198372,772.384069572613
5016,26,163,539400,3016,261635394003016,Block 3016,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,bdd4bf56-9481-49bc-8616-de2149d84971,161875.267645276,1830.22133776362
5017,26,163,539600,2024,261635396002024,Block 2024,Detroit,32,24,5,1,2,32,24,4,2,2,32,24,4,3,1,82cba3c3-5a7c-401c-a081-42cfcdbe7963,215518.123056464,1976.26951187071
5018,26,163,540700,3010,261635407003010,Block 3010,Detroit,7,6,1,0,0,7,5,2,0,0,7,7,0,0,0,9dd44beb-12a6-49b5-b379-4e54b2233993,190181.769880313,1873.1198298073
5019,26,163,541100,2000,261635411002000,Block 2000,Detroit,32,15,3,1,13,32,14,3,2,13,32,14,2,10,6,fd18a3e6-1157-409f-8d64-f00f1f8e3afe,258499.891933634,2345.66803294447
5020,26,163,541100,4000,261635411004000,Block 4000,Detroit,38,23,6,4,5,38,22,7,4,5,38,25,2,5,6,537dfb56-e0b6-48bf-9b9c-a0f2c76f89e6,330969.12320685,2703.68810788284
5021,26,163,541100,4004,261635411004004,Block 4004,Detroit,41,28,9,1,3,41,28,8,1,4,41,30,5,5,1,c9f92522-6913-43dc-8f51-4fa91038cc00,481623.507997577,3611.02129372814
5022,26,163,522300,1018,261635223001018,Block 1018,Detroit,8,3,3,2,0,8,4,1,2,1,9,5,1,2,1,95b86936-d8eb-472e-920b-3bb92b40dba4,198410.148619175,1794.42230599664
5023,26,163,534500,2026,261635345002026,Block 2026,Detroit,19,10,3,2,4,19,10,3,2,4,19,8,5,3,3,7456f660-7cf9-4977-83c5-db2f08d0d893,166470.465268326,1685.11902317025
5024,26,163,530800,1014,261635308001014,Block 1014,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8f33eb8b-c8c8-4406-bf44-1d52cf0ce794,101686.854687119,2952.19042448778
5025,26,163,530800,1016,261635308001016,Block 1016,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9aca109a-8e7b-462b-998a-96639ec60d8e,74346.2127415906,1574.19266919557
5026,26,163,531800,3001,261635318003001,Block 3001,Detroit,1,1,0,0,0,1,1,0,0,0,2,1,0,0,1,2f0bc91f-0d18-4a0a-84da-889cf9fc898d,553569.509560536,3007.49436843276
5027,26,163,531700,2015,261635317002015,Block 2015,Detroit,11,7,3,0,1,11,6,3,1,1,11,7,1,2,1,69f443c6-57c4-4c0e-88a5-3c861930453a,153509.065470554,1652.41190965715
5028,26,163,510600,1028,261635106001028,Block 1028,Detroit,26,22,3,0,1,26,22,3,0,1,26,22,3,0,1,a9b9528e-4175-4ffa-9fe2-03d1965fb417,182726.718574208,2230.80881155993
5029,26,163,506100,2008,261635061002008,Block 2008,Detroit,38,24,1,2,11,38,21,4,2,11,38,19,2,7,10,b70967c5-9b5e-4f65-bb6d-e5758647e5dc,294464.642234429,2441.54840184916
5030,26,163,506100,1006,261635061001006,Block 1006,Detroit,45,36,4,3,2,45,35,5,3,2,45,36,5,2,2,96c20def-cd55-4277-b594-89c1a426beae,293676.759072087,2440.30027173539
5031,26,163,506100,1011,261635061001011,Block 1011,Detroit,37,32,3,1,1,37,28,7,1,1,37,32,2,2,1,24c6867c-6e92-4d6f-ab0e-e6be95ddcc0b,281283.067632871,2351.27996893849
5032,26,163,505100,1006,261635051001006,Block 1006,Detroit,18,18,0,0,0,18,18,0,0,0,18,17,1,0,0,16817d7e-c7de-4703-9673-dfc874b937bb,150128.205029554,1869.35781810875
5033,26,163,540900,1006,261635409001006,Block 1006,Detroit,8,6,2,0,0,8,6,1,1,0,8,7,0,1,0,7b33cbb2-8c25-4e59-a4c3-9dd80029dd0e,108134.789785636,1328.25387457307
5034,26,163,503200,3008,261635032003008,Block 3008,Detroit,3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3df2af55-fb2b-4b20-8239-00d7c569c285,491755.906952983,2945.80177615133
5035,26,163,540900,1007,261635409001007,Block 1007,Detroit,22,20,2,0,0,22,20,1,1,0,22,20,1,1,0,9ace7ba3-4ac2-4015-a3e0-317f8c2454ce,190924.926769108,1844.28275921358
5036,26,163,503200,2010,261635032002010,Block 2010,Detroit,27,14,4,2,7,27,10,7,3,7,27,11,5,8,3,a868df68-c902-4747-b240-fb5e887c5660,217327.621879229,1978.44671955361
5037,26,163,503200,3006,261635032003006,Block 3006,Detroit,23,9,4,4,6,23,9,4,4,6,23,10,3,3,7,e80e684e-be16-416b-9d83-74b789dfdb7c,206426.704419598,1894.39688602125
5038,26,163,503200,2011,261635032002011,Block 2011,Detroit,27,9,4,2,12,27,8,5,2,12,27,9,4,7,7,f7de6191-0f30-4628-846e-7bace344a901,216846.119617592,1976.16596837248
5039,26,163,503200,2012,261635032002012,Block 2012,Detroit,25,3,1,3,18,25,3,1,3,18,25,4,0,11,10,73b7f1a1-c7cd-4b2d-85c7-f19ba97c6e74,223852.457441352,1999.10441537142
5040,26,163,503200,3019,261635032003019,Block 3019,Detroit,28,23,1,1,3,28,22,2,1,3,28,24,0,1,3,0b8e86ee-1dc2-4ecc-825b-285c4441bc1b,221312.131235847,2001.66767479025
5041,26,163,503200,2000,261635032002000,Block 2000,Detroit,25,10,5,0,10,25,9,6,0,10,25,12,4,0,9,05ea37e2-f133-4515-89dd-6e6468515d9c,207712.781528066,1939.15001937736
5042,26,163,503200,2015,261635032002015,Block 2015,Detroit,28,17,4,0,7,28,16,5,0,7,28,17,3,0,8,df78f41f-038d-479c-a3f1-226337c76241,210206.607110095,1954.07033071773
5043,26,163,503200,1016,261635032001016,Block 1016,Detroit,27,14,5,3,5,27,13,6,2,6,27,18,3,2,4,af69520d-ebaf-4331-a2c9-faa770e2662a,216967.209479348,1974.85438558852
5044,26,163,500400,3008,261635004003008,Block 3008,Detroit,6,2,0,2,2,7,2,0,1,4,7,3,0,0,4,2632b068-ab2c-4755-9d4e-649c5539dd85,162661.311338857,1700.21641663983
5045,26,163,512100,2012,261635121002012,Block 2012,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ac357bf4-f639-4df3-8959-2b289efca8a3,22444.3460969892,737.38726625938
5046,26,163,504100,3020,261635041003020,Block 3020,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,e42ae40e-93fe-42b8-a697-848540214868,37412.2547069913,855.776970476718
5047,26,163,512100,3005,261635121003005,Block 3005,Detroit,22,13,3,1,5,22,13,3,1,5,25,16,1,2,6,b0ffe134-3bff-462b-8232-380599275d79,194473.540913973,1951.97862582904
5048,26,163,522100,1018,261635221001018,Block 1018,Detroit,6,4,1,1,0,6,4,1,1,0,6,4,0,1,1,0b0078a8-039a-4ba5-a6d8-9ded2ba50418,137564.642165939,1519.33684665664
5049,26,163,522100,1017,261635221001017,Block 1017,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fe6b50f5-3446-4554-a106-62636364ad88,542507.959787298,3288.68360408336
5050,26,163,522200,1015,261635222001015,Block 1015,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1caa3155-8d66-4256-b637-68cb5991a355,71509.3178804587,1997.20813896422
5051,26,163,522100,2009,261635221002009,Block 2009,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85cbc2e6-0577-409f-a512-4bce24d1b24d,43919.9089396388,975.464513910582
5052,26,163,511400,1021,261635114001021,Block 1021,Detroit,13,4,4,4,1,13,4,4,4,1,13,4,3,5,1,7c6d999a-f5f4-405e-b236-69d7822e9d96,164135.83895044,1779.83395026117
5053,26,163,511400,1007,261635114001007,Block 1007,Detroit,8,3,0,3,2,8,3,0,3,2,8,1,2,1,4,32e7336a-5bb1-4795-8b41-8e2790571fc1,140541.685177521,2079.47268524628
5054,26,163,511400,1028,261635114001028,Block 1028,Detroit,5,4,1,0,0,5,4,1,0,0,5,3,2,0,0,b0a77f2a-c2ed-44b6-a64c-935fdfbfaef0,101110.823820342,1441.12074270904
5055,26,163,511400,1026,261635114001026,Block 1026,Detroit,9,6,0,2,1,9,5,1,2,1,9,4,3,1,1,576293bd-9c82-4c8f-aa1b-6566d13bc304,308485.6485654,3002.19399058756
5056,26,163,516400,2025,261635164002025,Block 2025,Detroit,14,5,4,4,1,14,4,5,4,1,15,2,6,4,3,c5ff9635-ab1c-4c22-9f80-f9458075a111,561541.841519338,3678.63279230505
5057,26,163,516600,2004,261635166002004,Block 2004,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0b7aae5e-b707-4d0d-a06f-a43a6474df9f,27353.9687738789,1066.38257598634
5058,26,163,516600,2018,261635166002018,Block 2018,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,f55d2539-7125-4438-86fb-de4258cd157a,128987.59452405,1502.83991850077
5059,26,163,516400,1002,261635164001002,Block 1002,Detroit,9,3,6,0,0,9,3,6,0,0,9,4,5,0,0,dddd9f8b-03ff-4fdc-9b33-482be2a35dce,178436.04952414,1804.59220069395
5060,26,163,516400,1010,261635164001010,Block 1010,Detroit,10,6,3,0,1,10,6,3,0,1,10,6,2,1,1,e0a91cc7-d64f-436e-98fc-96c30c65aa3b,515777.694794277,3409.78197334773
5061,26,163,516400,1017,261635164001017,Block 1017,Detroit,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,386e1e7e-8ba9-4f0c-aeda-c8dea39867bd,234260.34256482,2009.70527040522
5062,26,163,985500,1063,261639855001063,Block 1063,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ba3cfb05-b1fd-4c22-b19b-7a70cc9efd95,357753.774051643,6218.90400103189
5063,26,163,515200,1014,261635152001014,Block 1014,Detroit,1,1,0,0,0,2,2,0,0,0,2,2,0,0,0,a8e53747-0c74-46c7-b8cd-72190a8c238c,759436.684032225,3485.66386240215
5064,26,163,515200,1000,261635152001000,Block 1000,Detroit,23,6,7,3,7,23,6,6,2,9,23,5,8,3,7,7a74ed8e-b636-43bc-a9b4-6ee604c34c83,290847.369649064,2541.10518024368
5065,26,163,501700,1005,261635017001005,Block 1005,Detroit,13,9,1,1,2,13,8,2,1,2,13,8,2,1,2,a9572c18-f3d6-43e1-8646-6104df38f8cf,189852.095587635,1894.41429294347
5066,26,163,501700,2027,261635017002027,Block 2027,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e1fd48ad-5862-4c66-8d2a-0965979787e9,14612.723666957,1185.41122500065
5067,26,163,501600,1015,261635016001015,Block 1015,Detroit,23,16,6,0,1,23,14,8,0,1,23,19,3,1,0,819ef808-edec-4313-9f22-4a93721d5e58,180914.724542435,1867.65529302117
5068,26,163,501600,2014,261635016002014,Block 2014,Detroit,33,30,3,0,0,33,29,4,0,0,33,32,1,0,0,eca7dff6-31f6-4634-bd4c-0c4bf809f15d,287722.93642339,2403.78684859665
5069,26,163,501700,2018,261635017002018,Block 2018,Detroit,26,16,7,1,2,26,15,7,3,1,26,17,6,2,1,5db27960-4a7e-485c-95fd-6a505dbc4f46,236456.937050984,2095.67304167554
5070,26,163,501800,4000,261635018004000,Block 4000,Detroit,39,25,11,2,1,39,24,11,4,0,39,30,7,1,1,1fe5f5d2-46cb-47f7-890a-7236ab4d8fb9,286137.462215229,2442.06162116968
5071,26,163,501800,4010,261635018004010,Block 4010,Detroit,25,22,2,1,0,25,22,1,2,0,25,24,1,0,0,f1523547-26f1-4f92-bd5c-e54f46a4f9f5,267554.948193375,2308.50787669736
5072,26,163,516100,2024,261635161002024,Block 2024,Detroit,2,0,1,1,0,2,0,1,1,0,2,0,0,2,0,77f82e0d-6b87-4b51-b8a1-006f17d447f4,247886.18708422,4019.91336881395
5073,26,163,510500,3016,261635105003016,Block 3016,Detroit,24,11,5,4,4,24,11,5,4,4,25,11,4,5,5,5a5264e4-94db-45aa-aff6-62c517ecaa44,281836.210700102,2651.28393053988
5074,26,163,544100,3000,261635441003000,Block 3000,Detroit,4,4,0,0,0,4,4,0,0,0,3,3,0,0,0,e50c5aef-4a68-4710-a05e-99dfbd0df0ed,6998087.53219337,12301.2726089445
5075,26,163,537300,1003,261635373001003,Block 1003,Detroit,11,9,0,0,2,11,8,1,0,2,11,8,1,0,2,d503d8f4-b715-4e88-9a61-c376254adc59,115470.827632251,1731.08154584284
5076,26,163,518000,2032,261635180002032,Block 2032,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35e5fac6-9e9d-4f8f-8e9a-1b49c3fffa4c,7874.22471876872,480.020198350015
5077,26,163,542700,1014,261635427001014,Block 1014,Detroit,20,14,3,2,1,20,14,3,2,1,20,15,1,3,1,75e7b197-62e1-44ce-8300-3dab1545cc2f,1316926.43492963,7464.26836913494
5078,26,163,542700,1024,261635427001024,Block 1024,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d29d67c9-332f-47f3-8ac9-fee0c987174b,4694.02471989709,491.039038976107
5079,26,163,542500,3005,261635425003005,Block 3005,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d6419c48-0c7b-42e1-afd9-a528b1879071,15542.273302873,1304.42787436455
5080,26,163,542200,5011,261635422005011,Block 5011,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89b5308a-82e5-4222-932c-8a9ca7cd848b,56160.1562489645,2010.11303007803
5081,26,163,526100,2008,261635261002008,Block 2008,Detroit,8,6,0,1,1,8,6,0,1,1,8,6,0,1,1,ecdab144-f575-48ef-98ba-d4e96c7fd5aa,109545.225317795,1335.13327107485
5082,26,163,523200,1023,261635232001023,Block 1023,Detroit,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,74f69a39-b0c4-43ca-be40-da9d2d7b77fd,40911.6924434133,945.974112194748
5083,26,163,522100,2029,261635221002029,Block 2029,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f774cd8b-ffea-4638-bfa7-6d92a1303fd7,5738.33401511313,520.44988162736
5084,26,163,545700,2022,261635457002022,Block 2022,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6294c780-9ccc-4b83-b2e3-193e715fa061,3616.11844866769,240.898269262671
5085,26,163,545700,2019,261635457002019,Block 2019,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388f581c-afe2-4230-8504-57a27c0c0e25,2887.01650660095,215.661794630466
5086,26,163,985500,1064,261639855001064,Block 1064,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387e03a-4688-452d-bf00-feffa68e669e,877295.537577363,4216.4091925263
5087,26,163,520800,1115,261635208001115,Block 1115,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075e3a5-6082-4d17-842d-dd25d0653cb1,2246557.33251685,9130.6631450268
5088,26,163,535700,2010,261635357002010,Block 2010,Detroit,20,12,3,4,1,20,12,3,3,2,20,12,3,2,3,75d5584a-5510-4e1c-8746-d73179a5bed2,150008.543696363,2024.04524705194
5089,26,163,516000,4006,261635160004006,Block 4006,Detroit,10,5,1,1,3,10,5,1,1,3,10,5,1,2,2,926b74bb-84fe-430b-a080-e9d022e20a53,184953.49140038,2119.7639648623
5090,26,163,515900,2007,261635159002007,Block 2007,Detroit,7,1,4,1,1,7,1,3,2,1,7,2,1,2,2,6fc53ed6-8df9-4fa8-b4e9-15825851a921,120149.998275822,1951.88413561281
5091,26,163,531500,2004,261635315002004,Block 2004,Detroit,18,2,2,3,11,18,2,2,3,11,18,2,2,4,10,30fe3527-87ef-4150-b8ce-7a23e9907bfd,135723.6815015,1972.9833789571
5092,26,163,502000,1005,261635020001005,Block 1005,Detroit,13,9,3,0,1,13,9,3,0,1,13,9,2,2,0,25e1d9df-3de2-4efa-b4c5-a1113df7fd67,115618.373983385,2197.1720060948
5093,26,163,505400,4014,261635054004014,Block 4014,Detroit,15,5,2,2,6,15,5,1,3,6,15,4,4,3,4,40b440a1-4b0e-4a70-9fce-a9cd36ff988c,144812.288116384,2245.28778480557
5094,26,163,501100,3006,261635011003006,Block 3006,Detroit,19,9,1,1,8,19,8,2,1,8,19,10,1,0,8,4ff0521e-b12f-4997-b710-9cef4d169272,170096.347420732,2647.41847909776
5095,26,163,503900,1008,261635039001008,Block 1008,Detroit,14,4,0,3,7,14,4,0,3,7,14,4,0,2,8,65cd63eb-1f9d-49df-9992-5780f3d6b479,125601.777308544,1957.57903775638
5096,26,163,503900,1007,261635039001007,Block 1007,Detroit,10,3,1,0,6,10,3,1,0,6,10,3,0,1,6,070356d3-0212-41f6-8fc4-4c0c763c7bd5,124383.948595675,1927.40028763027
5097,26,163,510400,2025,261635104002025,Block 2025,Detroit,10,2,0,5,3,10,2,0,2,6,10,2,0,2,6,56bbf3e4-8527-4562-8834-bc7c55e296b3,122468.981756288,2500.35194772566
5098,26,163,544300,3008,261635443003008,Block 3008,Detroit,12,7,3,1,1,12,6,4,1,1,12,7,3,1,1,0f0dc3a0-0505-4bc7-afcc-36e394e5da7e,207479.127146071,2273.85779099238
5099,26,163,504900,3017,261635049003017,Block 3017,Detroit,11,9,0,2,0,11,9,0,2,0,11,9,2,0,0,479016e6-ccca-4cf4-9036-68df347fea63,92938.1348365208,1468.44954474279
5100,26,163,504900,3024,261635049003024,Block 3024,Detroit,19,14,0,0,5,19,14,0,0,5,19,12,1,2,4,a5025b0e-5637-489c-8ec3-39f61957055d,142805.132349203,1988.46236933169
5101,26,163,500700,3006,261635007003006,Block 3006,Detroit,14,9,4,1,0,14,9,4,1,0,14,10,4,0,0,86eb15c3-6ab9-464c-8d1c-bec1c28ba587,95179.9743251098,1598.88300450379
5102,26,163,541800,1010,261635418001010,Block 1010,Detroit,52,39,5,5,3,52,36,6,7,3,52,42,3,1,6,d686d114-62b0-4e08-b959-92c2b7603bec,993993.191143716,5643.36476215248
5103,26,163,541800,2025,261635418002025,Block 2025,Detroit,13,8,3,1,1,13,8,3,2,0,13,10,0,1,2,ff946ed4-3150-463a-a23b-500161d2bb9b,95445.667448914,1607.77083617321
5104,26,163,530100,3001,261635301003001,Block 3001,Detroit,13,5,4,2,2,13,5,5,1,2,13,8,0,4,1,48abc506-5174-4487-94eb-360eae5c4df8,145889.349030046,2082.02699896788
5105,26,163,533500,1010,261635335001010,Block 1010,Detroit,3,2,0,0,1,3,2,0,0,1,3,2,0,0,1,3769be10-31d7-4010-b253-a45f9db9de15,38104.1176276431,873.14906232545
5106,26,163,533400,4018,261635334004018,Block 4018,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c238bf9d-a530-4b97-96d9-48609d092b5e,207862.596499124,5540.46324630438
5107,26,163,533500,1006,261635335001006,Block 1006,Detroit,34,23,4,2,5,34,23,4,2,5,34,22,4,4,4,2cdc68fd-ecff-4942-949d-66f9956b5912,251743.607940891,2219.4868694544
5108,26,163,533500,1012,261635335001012,Block 1012,Detroit,37,19,6,5,7,37,19,5,5,8,37,18,6,5,8,a59d0d5a-9947-4fe3-bf24-70f85a27f718,252007.259177109,2218.51866039513
5109,26,163,533700,1016,261635337001016,Block 1016,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74337d90-f026-4ab6-b020-8125b334c724,23434.6412286614,749.171681649117
5110,26,163,526500,2007,261635265002007,Block 2007,Detroit,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2c90fa3a-dce8-42d3-85e9-9c7380e97db8,173590.371019045,1814.48394140452
5111,26,163,526200,2004,261635262002004,Block 2004,Detroit,24,11,4,4,5,24,11,4,4,5,24,12,2,6,4,efb41e5f-8d5d-4f36-b1ec-f81d5d634150,177792.420543941,1911.38247493288
5112,26,163,526300,3007,261635263003007,Block 3007,Detroit,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,7c877063-fb31-4030-88c9-a21abfb11577,24445.4255346123,648.239422043819
5113,26,163,526300,2003,261635263002003,Block 2003,Detroit,8,3,2,0,3,8,3,2,1,2,8,3,2,1,2,f80af68c-10af-4176-aa12-d1681eba37ec,77492.4101095188,1114.07277116002
5114,26,163,526300,3009,261635263003009,Block 3009,Detroit,8,2,2,1,3,8,2,2,1,3,8,3,1,0,4,eb8e7e34-159a-4600-a9f2-42615e9823f7,78076.5646105743,1117.98278138898
5115,26,163,526300,3010,261635263003010,Block 3010,Detroit,35,22,3,2,8,35,22,4,1,8,35,24,3,0,8,787309ef-490c-425e-9ace-2ddd364e67cb,192879.866709994,1959.86071007998
5116,26,163,506900,5012,261635069005012,Block 5012,Detroit,36,31,2,2,1,36,31,2,1,2,36,31,3,1,1,86580c67-d10b-4dac-9af2-6948fa87a6aa,230955.965678895,2257.10003930626
5117,26,163,506900,4003,261635069004003,Block 4003,Detroit,32,28,0,2,2,32,25,3,2,2,32,26,0,3,3,3bbdad59-96a2-4ddf-9350-1617a996064a,233019.806049255,2262.22396437991
5118,26,163,506800,3044,261635068003044,Block 3044,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b994eb1c-e451-4442-a3a0-445db9a083da,21071.2490810328,714.849305402369
5119,26,163,506900,2001,261635069002001,Block 2001,Detroit,36,30,4,1,1,36,29,4,2,1,36,29,4,1,2,9cd9c6b6-b196-42d9-9706-e08581705c13,232258.396945989,2215.8036780733
5120,26,163,506900,2000,261635069002000,Block 2000,Detroit,32,24,1,2,5,32,24,1,3,4,32,23,3,5,1,798b5d54-f839-49d8-95f8-89ea7f042aaa,256857.198218696,2274.96078284388
5121,26,163,506900,1005,261635069001005,Block 1005,Detroit,38,18,4,5,11,38,19,4,4,11,38,23,2,3,10,ab0a6c3d-9876-45df-99f4-c4fb82ce7fbd,236112.29211123,2268.42598771352
5122,26,163,506900,2006,261635069002006,Block 2006,Detroit,29,19,3,3,4,30,20,3,3,4,30,19,3,5,3,806b9b9d-68dd-4077-ad09-f2c86b8d6fdf,289708.710497436,2484.87749850651
5123,26,163,507000,2003,261635070002003,Block 2003,Detroit,15,11,1,1,2,15,11,1,2,1,15,11,1,2,1,aec2e2b6-289d-43e6-89ac-84fc879b3c45,218505.094110411,2099.11883157508
5124,26,163,507000,3028,261635070003028,Block 3028,Detroit,19,13,4,0,2,19,13,4,0,2,19,13,4,0,2,1cf6499a-b482-46b3-a890-03a8340a8d2b,216167.257341112,1938.69367312387
5125,26,163,507000,3027,261635070003027,Block 3027,Detroit,25,7,7,3,8,25,7,6,6,6,25,9,5,7,4,7642b83b-b988-45a5-b4a1-25cfff02f9e8,180008.461350495,1741.73687153854
5126,26,163,507200,2015,261635072002015,Block 2015,Detroit,6,2,1,2,1,6,2,1,2,1,6,1,1,3,1,f3ce56c8-e4aa-489b-9d8d-dff0439723b1,97847.3654439157,1263.13179404021
5127,26,163,505500,2014,261635055002014,Block 2014,Detroit,6,5,0,0,1,6,5,0,0,1,6,5,0,0,1,ca899e46-59df-4ed2-b683-c901ea995f74,153739.649245192,1771.68816922953
5128,26,163,505500,1018,261635055001018,Block 1018,Detroit,10,5,1,1,3,10,5,1,1,3,10,5,0,2,3,ba17a561-850f-4f89-8188-574c3e7959ab,165893.575731763,1873.16219619173
5129,26,163,505500,2015,261635055002015,Block 2015,Detroit,9,5,1,1,2,9,5,1,1,2,9,5,1,1,2,f7dc4ada-2e8b-45c0-93f3-ec5abb745932,144400.705018792,1707.02413050449
5130,26,163,505500,2026,261635055002026,Block 2026,Detroit,10,7,1,1,1,10,7,1,1,1,10,7,1,1,1,9ecf05b5-19b2-466d-99e5-111dcb525a45,381382.741929733,2677.54097951875
5131,26,163,505200,4011,261635052004011,Block 4011,Detroit,29,17,4,1,7,29,17,4,1,7,29,19,4,1,5,51d15894-ca29-4516-a1fe-f26c4564d868,220928.770416953,1989.38889649403
5132,26,163,505200,2001,261635052002001,Block 2001,Detroit,28,13,5,2,8,28,13,5,2,8,28,15,2,1,10,c165be45-46e8-43e9-a07f-95c697195974,268883.697532131,2423.29340372097
5133,26,163,505200,2002,261635052002002,Block 2002,Detroit,29,18,5,2,4,29,18,4,3,4,29,21,1,2,5,5eaa55fa-045d-44b7-92ae-c799b1fdf1a1,235657.052929047,2217.99946826438
5134,26,163,505400,1007,261635054001007,Block 1007,Detroit,24,13,3,2,6,24,12,4,2,6,24,14,4,1,5,4b68a7e0-9b68-4a29-8670-c6313ed02d38,193771.913793046,1819.69802833307
5135,26,163,505400,4015,261635054004015,Block 4015,Detroit,16,5,2,2,7,16,5,2,2,7,16,6,1,4,5,7c8432ce-21aa-4675-b2e8-33b17a8462cd,138500.788988257,2227.28005151986
5136,26,163,503900,3014,261635039003014,Block 3014,Detroit,13,6,2,4,1,13,6,2,4,1,13,7,2,2,2,696ecc0b-2d6f-414f-8a48-d76797fae5c2,253422.932348274,2256.10198680664
5137,26,163,504400,3000,261635044003000,Block 3000,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a7064690-451b-420a-ab76-86f7a5e4ed89,68930.6685070557,2018.15653288295
5138,26,163,505500,1009,261635055001009,Block 1009,Detroit,9,6,2,0,1,9,6,2,0,1,9,4,4,0,1,6d39e0e9-e436-42ca-9b78-032011ec4d4a,236399.816387714,2242.30711658418
5139,26,163,505500,2017,261635055002017,Block 2017,Detroit,13,4,3,2,4,13,3,4,2,4,13,4,2,3,4,9a384022-4e33-406d-9b78-8f141f52466a,148064.299352949,1650.1584888366
5140,26,163,505500,1051,261635055001051,Block 1051,Detroit,3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,93b54599-738b-4e79-abcc-cf48afaccc72,150505.255811951,1610.88929533876
5141,26,163,505500,1025,261635055001025,Block 1025,Detroit,10,8,1,0,1,10,8,1,0,1,10,8,1,0,1,1c11b4fe-35ae-412e-bf45-ffe9f69c43e4,131397.210360291,1558.05392034463
5142,26,163,505500,1047,261635055001047,Block 1047,Detroit,4,2,2,0,0,4,2,2,0,0,4,2,2,0,0,9d91a3ff-1645-4dbb-b51f-3617f94b3966,231864.442554667,2146.34223173269
5143,26,163,538300,1013,261635383001013,Block 1013,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c05527af-be34-4f41-bada-9c04e1835b70,1263939.1128017,8963.03927816448
5144,26,163,538200,2006,261635382002006,Block 2006,Detroit,10,9,1,0,0,10,9,1,0,0,10,10,0,0,0,bf3cd6b4-d791-4555-b0b4-f25f4d62857b,283193.214461282,2342.58405176527
5145,26,163,538400,1001,261635384001001,Block 1001,Detroit,27,24,3,0,0,27,25,2,0,0,23,23,0,0,0,95b51a71-aa8a-4bee-90c1-b1df31543283,252565.306946036,2190.79502967526
5146,26,163,538400,3001,261635384003001,Block 3001,Detroit,24,23,1,0,0,24,23,1,0,0,24,24,0,0,0,de2bd406-3f50-42ec-a196-81ae31dcb4be,216543.187322293,1973.3267660028
5147,26,163,538400,3013,261635384003013,Block 3013,Detroit,22,20,0,2,0,22,20,0,2,0,22,20,0,1,1,0fe6acfa-03e7-46b8-8cb5-88ccc1c3fb18,203896.80823821,1895.65177173699
5148,26,163,538400,3014,261635384003014,Block 3014,Detroit,22,19,1,2,0,22,19,1,2,0,22,20,1,1,0,d089e72b-e729-43ad-b351-ebfe7e3264ac,203570.653518197,1894.58430368388
