yearvalue,statevalue,county,hai,facilityid,facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted,patientdays
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000092.0,Memorial Hospital of Gardena,Acute Care Hospital,"Community, <125 Beds",0,0.43,12963
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,MemorialCare Long Beach Medical Center,Acute Care Hospital,Major Teaching,5,4.73,43441
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095.0,"MemorialCare Long Beach Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3451
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709.0,MemorialCare Miller Children's & Women's Hospital Long Beach,Acute Care Hospital,Pediatric,0,0.69,26382
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,Methodist Hospital of Southern California,Acute Care Hospital,"Community, >250 Beds",4,2.15,32806
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096.0,"Methodist Hospital of Southern California, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.08,4068
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000027.0,Mission Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,1.04,19221
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000107.0,Monrovia Memorial Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,0,0.5,4031
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000108.0,Monterey Park Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.2,8780
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,Northridge Hospital Medical Center,Acute Care Hospital,Major Teaching,1,1.79,25852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000111.0,"Northridge Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,2901
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000112.0,Norwalk Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.12,3596
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000105.0,Olympia Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,0.64,12563
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000052.0,"PIH Health Hospital, Downey",Acute Care Hospital,Major Teaching,0,0.94,17082
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier",Acute Care Hospital,"Community, >250 Beds",0,1.41,38002
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099.0,"PIH Health Hospital, Whittier, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1395
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133.0,Pacifica Hospital of the Valley,Acute Care Hospital,"Community, 125-250 Beds",0,0.22,4654
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,Palmdale Regional Medical Center,Acute Care Hospital,Major Teaching,0,0.63,15852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000077.0,"Palmdale Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3024
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000123.0,Pomona Valley Hospital Medical Center,Acute Care Hospital,Major Teaching,2,3.28,44987
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091.0,Providence Cedars-Sinai Tarzana Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.1,24568
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,Providence Holy Cross Medical Center,Acute Care Hospital,"Community, >250 Beds",6,1.59,36388
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066.0,"Providence Holy Cross Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1923
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,Providence Little Company of Mary Medical Center San Pedro,Acute Care Hospital,"Community, >250 Beds",0,0.29,8852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000157.0,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2184
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000081.0,Providence Little Company of Mary Medical Center Torrance,Acute Care Hospital,"Community, >250 Beds",0,1.77,36592
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000100.0,Providence Saint John's Health Center,Acute Care Hospital,"Community, >250 Beds",1,0.75,26816
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,Providence Saint Joseph Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.35,37554
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000101.0,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1171
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000162.0,Ronald Reagan UCLA Medical Center,Acute Care Hospital,Major Teaching,2,6.46,69301
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000125.0,San Dimas Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.21,7317
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041.0,San Gabriel Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,1.15,18088
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000049.0,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Acute Care Hospital,Major Teaching,3,1.8,34972
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000064.0,Southern California Hospital at Hollywood,Acute Care Hospital,"Community, <125 Beds",0,0.07,1907
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000128.0,St. Francis Medical Center,Acute Care Hospital,"Community, >250 Beds",5,3.16,49251
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach",Acute Care Hospital,"Community, >250 Beds",1,2.4,30493
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000103.0,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2120
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127.0,Torrance Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",2,2.02,45918
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163.0,USC Kenneth Norris Jr. Cancer Hospital,Acute Care Hospital,Major Teaching,0,0.63,6140
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000187.0,USC Verdugo Hills Hospital,Acute Care Hospital,Major Teaching,1,0.47,10205
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,Valley Presbyterian Hospital,Acute Care Hospital,"Community, >250 Beds",5,1.62,30485
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000129.0,"Valley Presbyterian Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1625
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000188.0,West Covina Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.01,586
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000028.0,West Hills Hospital & Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.05,22071
2020H1,California,Madera,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000111.0,Madera Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.27,7225
2020H1,California,Madera,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatric,0,1.2,32029
2020H1,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944.0,"Kaiser Foundation Hospital, San Rafael",Acute Care Hospital,"Community, <125 Beds",0,0.35,9175
2020H1,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000946.0,Kentfield Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,0,3.77,8410
2020H1,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953.0,MarinHealth Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,0.66,15774
2020H1,California,Marin,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982.0,Novato Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.09,3035
2020H1,California,Mariposa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000105.0,John C. Fremont Healthcare District,Critical Access Hospital,Critical Access,0,0.04,1942
2020H1,California,Mendocino,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023.0,Adventist Health Mendocino Coast,Critical Access Hospital,Critical Access,0,0.04,2109
2020H1,California,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000110.0,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",0,0.06,2857
2020H1,California,Merced,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000113.0,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.64,20562
2020H1,California,Modoc,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011.0,Modoc Medical Center,Critical Access Hospital,Critical Access,0,0.01,575
2020H1,California,Mono,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000005.0,Mammoth Hospital,Critical Access Hospital,Critical Access,0,0.02,868
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,Community Hospital of The Monterey Peninsula,Acute Care Hospital,"Community, >250 Beds",0,1.08,26381
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000137.0,"Community Hospital of The Monterey Peninsula, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1653
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000141.0,George L. Mee Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,943
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,Natividad Medical Center,Acute Care Hospital,Major Teaching,0,0.58,15346
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000145.0,"Natividad Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.08,4188
2020H1,California,Monterey,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),70000147.0,Salinas Valley Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",0,0.82,20728
2020H1,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041.0,Providence Queen of the Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.45,13306
2020H1,California,Napa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041.0,"Providence Queen of the Valley Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1489
2020H1,California,Nevada,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000262.0,Sierra Nevada Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.29,8031
2020H1,California,Nevada,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000265.0,Tahoe Forest Hospital,Critical Access Hospital,Critical Access,0,0.07,3331
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000002.0,AHMC Anaheim Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.9,17274
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000074.0,Anaheim Global Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.27,7155
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000006.0,Chapman Global Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0.15,3245
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000007.0,Children's Hospital of Orange County,Acute Care Hospital,Pediatric,0,1.28,33291
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000008.0,College Hospital Costa Mesa,Acute Care Hospital,"Community, 125-250 Beds",0,0.49,21087
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001097.0,Encompass Health Rehabilitation Hospital of Tustin,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.11,6005
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000013.0,Foothill Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.2,5671
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000011.0,Fountain Valley Regional Hospital and Medical Center,Acute Care Hospital,"Community, >250 Beds",2,2.39,38844
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000058.0,Garden Grove Hospital and Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.41,9428
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001674.0,"Healthbridge Children's Hospital, Orange",Acute Care Hospital,Pediatric,0,0.01,583
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001022.0,Hoag Hospital Irvine,Acute Care Hospital,"Community, <125 Beds",0,0.38,8681
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,Hoag Memorial Hospital Presbyterian,Acute Care Hospital,"Community, >250 Beds",1,2.7,54351
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000014.0,"Hoag Memorial Hospital Presbyterian, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3019
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012891.0,Hoag Orthopedic Institute,Acute Care Hospital,"Community, <125 Beds",0,0.04,2501
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000015.0,Huntington Beach Hospital,Acute Care Hospital,"Community, <125 Beds",2,0.15,5030
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013929.0,"Kaiser Foundation Hospital, Orange County, Anaheim",Acute Care Hospital,Major Teaching,2,1.35,29296
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011745.0,"Kaiser Foundation Hospital, Orange County, Irvine",Acute Care Hospital,Major Teaching,2,0.84,20757
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001360.0,"Kindred Hospital, Brea",Long-Term Acute Care Hospital,Long-Term Acute Care,2,1.03,7055
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001607.0,"Kindred Hospital, Santa Ana",Long-Term Acute Care Hospital,Long-Term Acute Care,1,0.93,6660
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000017.0,"Kindred Hospital, Westminster",Long-Term Acute Care Hospital,Long-Term Acute Care,5,2.17,15236
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000024.0,La Palma Intercommunity Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.13,4533
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000025.0,Los Alamitos Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.31,20878
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000208.0,MemorialCare Orange Coast Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,0.62,21958
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000063.0,MemorialCare Saddleback Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.79,19916
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000073.0,Orange County Global Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.75,18579
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000062.0,Placentia Linda Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.49,7640
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000060.0,Providence Mission Hospital,Acute Care Hospital,"Community, >250 Beds",0,1.7,31153
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60001207.0,Children's Hospital at Mission,Acute Care Hospital,Pediatric,0,0.1,4250
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000066.0,Providence Mission Hospital - Laguna Beach,Acute Care Hospital,"Community, <125 Beds",0,0.11,5176
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000060.0,"Providence Mission Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2515
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000067.0,"Providence St. Joseph Hospital, Orange",Acute Care Hospital,"Community, >250 Beds",2,1.45,36479
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000068.0,Providence St. Jude Medical Center,Acute Care Hospital,"Community, >250 Beds",0,2.97,34953
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000068.0,"Providence St. Jude Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2840
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000021.0,South Coast Global Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.25,6325
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,University of California Irvine Medical Center,Acute Care Hospital,Major Teaching,4,5.79,53200
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000071.0,"University of California Irvine Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1568
2020H1,California,Orange,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000016.0,West Anaheim Medical Center,Acute Care Hospital,"Community, <125 Beds",7,0.92,12158
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,1,2.74,53487
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.24,6054
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.8,41850
2020H1,California,Placer,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000134.0,"Sutter Roseville Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.12,6529
2020H1,California,Plumas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000004.0,"Eastern Plumas Hospital, Portola Campus",Critical Access Hospital,Critical Access,0,0.01,468
2020H1,California,Plumas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000015.0,Plumas District Hospital,Critical Access Hospital,Critical Access,0,0.02,763
2020H1,California,Plumas,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000017.0,Seneca District Hospital,Critical Access Hospital,Critical Access,0,0.0,215
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000006.0,Corona Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.77,15948
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,Desert Regional Medical Center,Acute Care Hospital,Major Teaching,2,4.48,41162
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000008.0,"Desert Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.01,721
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000044.0,Doctors Hospital of Riverside,Acute Care Hospital,"Community, 125-250 Beds",0,0.69,17186
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000011.0,Eisenhower Medical Center,Acute Care Hospital,Major Teaching,2,1.9,33219
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630019237.0,Encompass Health Rehabilitation Hospital of Murrieta,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.02,1102
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000012.0,Hemet Global Medical Center,Acute Care Hospital,Major Teaching,2,0.13,3217
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000017.0,John F. Kennedy Memorial Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.55,12094
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011959.0,"Kaiser Foundation Hospital, Moreno Valley",Acute Care Hospital,Major Teaching,0,0.41,8858
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000707.0,"Kaiser Foundation Hospital, Riverside",Acute Care Hospital,Major Teaching,0,1.1,24533
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000004.0,"Kindred Hospital, Riverside",Long-Term Acute Care Hospital,Long-Term Acute Care,1,1.19,6740
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012971.0,"Loma Linda University Medical Center, Murrieta",Acute Care Hospital,"Community, 125-250 Beds",0,0.97,17690
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000042.0,Palo Verde Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,1022
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000049.0,Riverside Community Hospital,Acute Care Hospital,Major Teaching,5,3.17,57332
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000050.0,Riverside University Health System - Medical Center,Acute Care Hospital,Major Teaching,4,2.32,40657
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000101.0,San Gorgonio Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.18,5556
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000507.0,"Southwest Healthcare System, Murrieta",Acute Care Hospital,"Community, <125 Beds",1,0.58,12641
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),250000344.0,"Southwest Healthcare System, Wildomar",Acute Care Hospital,"Community, <125 Beds",0,0.63,15948
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630014442.0,Temecula Valley Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.8,18046
2020H1,California,Riverside,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630017654.0,Vibra Rehabilitation Hospital of Rancho Mirage,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.09,4534
2020H1,California,Sacramento,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",2,1.22,25323
2020H1,California,Sacramento,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,0,1.51,33193
2020H1,California,Sacramento,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000124.0,Mercy General Hospital,Acute Care Hospital,Major Teaching,0,1.64,24476
2020H1,California,Sacramento,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000124.0,"Mercy General Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2495
