420.facilityname,Sierra View Medtical Center,Sierra View Medical Center
28.facilityname,"Kaiser Foundation Hospital, Fremont","John Muir Medical Center, Concord Campus"
272.statevalue,Californa,California
105.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",Huntington Hospital
269.hai,Methicillin-Resistan Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
418.yearvalue,2020vH1,2020H1
66.facilitytype,Major Teaching,Critical Access
255.statevalue,Californai,California
98.facilityname,"Kaiser Foundation Hospital, Fremont","Good Samaritan Hospital, Los Angeles"
147.facilityname,San Leandro Hospital,Pacifica Hospital of the Valley
146.facilityname,Washington Hospital,"PIH Health Hospital, Whittier, Rehabilitation Unit"
288.statevalue,Claifornia,California
62.infectionsreported,,1
208.facilityname,Highland Hospital,Hoag Memorial Hospital Presbyterian
409.hospitalcategoryriskadjustment,Acute Care Hospial,Acute Care Hospital
390.infectionsreported,,1
417.facilityname,Trinity Hopsital,Trinity Hospital
256.hai,Methicillin-Resistantp Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
247.yearvalue,202H01,2020H1
217.hospitalcategoryriskadjustment,Acutme Care Hospital,Acute Care Hospital
190.facilityname,San Leandro Hospital,Natividad Medical Center
161.facilityname,"Sutter Coast Hospital, Rehabilitation Unit",San Dimas Community Hospital
131.facilityname,"Kindred Hospital, San Francisco Bay Area",Memorial Hospital of Gardena
147.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,"Community, 125-250 Beds"
8.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Unit
96.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,"Community, >250 Beds"
143.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, 125-250 Beds"
387.hospitalcategoryriskadjustment,Critial Access Hospital,Critical Access Hospital
307.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
348.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
406.hospitalcategoryriskadjustment,Acute Care Hogspital,Acute Care Hospital
139.facilitytype,Free-Standing Rehabilitation,"Community, <125 Beds"
275.hospitalcategoryriskadjustment,Rehabilitation Hiospital or Unit,Rehabilitation Hospital or Unit
213.county,Oraynge,Orange
279.yearvalue,020H1,2020H1
102.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
354.facilityname,Tenet Health Central Coast Twin Cities Comunity Hospital,Tenet Health Central Coast Twin Cities Community Hospital
21.county,Btte,Butte
121.facilitytype,Rehabilitation Unit,Long-Term Acute Care
47.yearvalue,20v20H1,2020H1
417.county,rinity,Trinity
56.facilityname,The General Hospital,Bakersfield Heart Hospital
35.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",Sutter Delta Medical Center
405.hospitalcategoryriskadjustment,Acute fCare Hospital,Acute Care Hospital
252.hai,Methcillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
283.county,uSan Bernardino,San Bernardino
360.hospitalcategoryriskadjustment,Aczute Care Hospital,Acute Care Hospital
78.hospitalcategoryriskadjustment,Acute Care Hospibtal,Acute Care Hospital
116.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Kindred Hospital Paramount
203.facilityname,Jerold Phelps Community Hospital,Foothill Regional Medical Center
180.infectionsreported,,1
203.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
106.facilitytype,"Community, >250 Beds",Rehabilitation Unit
80.facilityname,"Kaiser Foundation Hospital, Fresno","Centinela Hospital Medical Center, Rehabilitation Unit"
12.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus","Kaiser Foundation Hospital, Oakland/Richmond"
210.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Hoag Orthopedic Institute
154.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
82.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",City of Hope Helford Clinical Research Hospital
91.facilitytype,Major Teaching,Rehabilitation Unit
115.facilityname,Alameda Hospital,"Keck Hospital of USC, Rehabilitation Unit"
162.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
353.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
252.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
160.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Major Teaching
178.infectionsreported,,0
159.facilityname,Sutter Amador Hospital,"Providence Saint Joseph Medical Center, Rehabilitation Unit"
198.facilitytype,Critical Access,"Community, 125-250 Beds"
104.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Unit
194.facilitytype,"Community, <125 Beds",Rehabilitation Unit
163.facilityname,"Kaiser Foundation Hospital, Fresno",Santa Monica - UCLA Medical Center and Orthopaedic Hospital
323.hospitalcategoryriskadjustment,Rehabilitation Hospita or Unit,Rehabilitation Hospital or Unit
411.hospitalcategoryriskadjustment,Acutne Care Hospital,Acute Care Hospital
37.statevalue,Claifornia,California
353.facilityname,Serra Vista Regional Medical Center,Sierra Vista Regional Medical Center
180.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
337.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
421.hospitalcategoryriskadjustment,Acwute Care Hospital,Acute Care Hospital
35.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, 125-250 Beds"
297.statevalue,Cailifornia,California
218.hospitalcategoryriskadjustment,kAcute Care Hospital,Acute Care Hospital
145.facilityname,"Kindred Hospital, San Francisco Bay Area","PIH Health Hospital, Whittier"
390.yearvalue,202H01,2020H1
292.yearvalue,20201H,2020H1
162.facilityname,Alta Bates Summit Medical Center,San Gabriel Valley Medical Center
204.facilityname,"Sutter Coast Hospital, Rehabilitation Unit",Fountain Valley Regional Hospital and Medical Center
223.hai,Methicillin-Resistant Staphyococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
432.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
82.hospitalcategoryriskadjustment,Acute gCare Hospital,Acute Care Hospital
114.facilityname,"Kindred Hospital, San Francisco Bay Area",Keck Hospital of USC
191.facilitytype,"Community, <125 Beds",Rehabilitation Unit
434.hospitalcategoryriskadjustment,Acute Cafre Hospital,Acute Care Hospital
47.facilityname,Alameda Hospital,San Joaquin Valley Rehabilitation Hospital
106.hai,Methicillin-Resistant Staphyolcoccus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
276.hospitalcategoryriskadjustment,Aculte Care Hospital,Acute Care Hospital
72.facilityname,Washington Hospital,Beverly Hospital
416.statevalue,Californai,California
188.county,Montery,Monterey
40.statevalue,Califovrnia,California
227.infectionsreported,g2,2
68.facilityname,Jerold Phelps Community Hospital,Alhambra Hospital Medical Center
146.yearvalue,2002H1,2020H1
354.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
135.infectionsreported,***,4
343.yearvalue,202H1,2020H1
151.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
103.facilityname,"Kaiser Foundation Hospital, Fremont",Hollywood Presbyterian Medical Center
316.statevalue,Calibfornia,California
349.hospitalcategoryriskadjustment,Acute Care Hospitnal,Acute Care Hospital
172.facilitytype,"Community, <125 Beds",Rehabilitation Unit
289.facilityname,Loma Linda University Medical Center East Capus Hospital,Loma Linda University Medical Center East Campus Hospital
172.facilityname,Orchard Hospital,"Valley Presbyterian Hospital, Rehabilitation Unit"
425.hospitalcategoryriskadjustment,Critical Acecss Hospital,Critical Access Hospital
414.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
276.yearvalue,220H1,2020H1
405.county,Sonomda,Sonoma
110.hai,Methicillin-Resistant taphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
95.facilitytype,"Community, <125 Beds",Rehabilitation Unit
41.county,Freson,Fresno
310.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
308.hospitalcategoryriskadjustment,Acute Care oHspital,Acute Care Hospital
24.county,uBtte,Butte
349.yearvalue,2k020H1,2020H1
18.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,UCSF Benioff Children's Hospital Oakland
155.yearvalue,020H1,2020H1
175.facilityname,St Rose Hospital,Madera Community Hospital
283.yearvalue,202H01,2020H1
29.facilityname,"Kaiser Foundation Hospital, San Leandro","John Muir Medical Center, Walnut Creek Campus"
64.yearvalue,020H1,2020H1
327.facilityname,UC Sna Diego Health La Jolla,UC San Diego Health La Jolla
87.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Community, 125-250 Beds"
152.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,"Community, >250 Beds"
49.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BS),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
170.facilitytype,Free-Standing Rehabilitation,Major Teaching
115.facilitytype,"Community, <125 Beds",Rehabilitation Unit
368.hospitalcategoryriskadjustment,Acute Caer Hospital,Acute Care Hospital
186.facilitytype,Major Teaching,Critical Access
167.facilityname,Sutter Amador Hospital,"St. Mary Medical Center, Long Beach, Rehabilitation Unit"
265.infectionsreported,***,0
125.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,LAC/Olive View UCLA Medical Center
191.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Natividad Medical Center, Rehabilitation Unit"
245.facilityname,Eisenhower Medicl Center,Eisenhower Medical Center
174.county,Los ngeles,Los Angeles
117.facilitytype,Major Teaching,Long-Term Acute Care
165.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, >250 Beds"
399.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
59.facilityname,St Rose Hospital,"Good Samaritan Hospital, Bakersfield"
202.hospitalcategoryriskadjustment,Reabilitation Hospital or Unit,Rehabilitation Hospital or Unit
11.statevalue,Caalifornia,California
38.infectionsreported,,0
235.hospitalcategoryriskadjustment,Actue Care Hospital,Acute Care Hospital
138.statevalue,Claifornia,California
160.yearvalue,2002H1,2020H1
183.facilitytype,Long-Term Acute Care,"Community, <125 Beds"
367.hospitalcategoryriskadjustment,wCritical Access Hospital,Critical Access Hospital
129.facilityname,The General Hospital,Los Angeles Community Hospital
99.facilityname,Alameda Hospital,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit"
196.facilitytype,"Community, >250 Beds",Critical Access
105.hospitalcategoryriskadjustment,Acute Care Hospitaql,Acute Care Hospital
255.yearvalue,220H1,2020H1
295.infectionsreported,***,3
125.infectionsreported,a2,2
381.county,anta Clara,Santa Clara
50.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
386.facilityname,Watsofnville Community Hospital,Watsonville Community Hospital
197.statevalue,Calfornia,California
40.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Major Teaching
364.facilityname,Marian Regional Medial Center,Marian Regional Medical Center
81.facilityname,"Kaiser Foundation Hospital, Fresno",Children's Hospital Los Angeles
274.county,San Bernardno,San Bernardino
163.county,Los Angels,Los Angeles
31.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Major Teaching
317.statevalue,aClifornia,California
216.statevalue,Calilfornia,California
76.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Casa Colina Hospital
94.statevalue,Caqlifornia,California
405.yearvalue,220H1,2020H1
389.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
95.facilityname,Mammoth Hospital,"Garfield Medical Center, Rehabilitation Unit"
195.facilityname,Providence Holy Cross Medical Center,Sierra Nevada Memorial Hospital
198.facilityname,San Leandro Hospital,Anaheim Global Medical Center
84.facilityname,Alta Bates Summit Medical Center,College Medical Center
38.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, <125 Beds"
279.hospitalcategoryriskadjustment,Critical Access Howspital,Critical Access Hospital
123.yearvalue,020H1,2020H1
133.facilityname,"Sutter Coast Hospital, Rehabilitation Unit","MemorialCare Long Beach Medical Center, Rehabilitation Unit"
92.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Encino Hospital Medical Center
129.facilitytype,Critical Access,"Community, <125 Beds"
341.county,San Frankcisco,San Francisco
150.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Pomona Valley Hospital Medical Center
110.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Major Teaching
110.statevalue,Calkifornia,California
224.infectionsreported,,0
281.statevalue,Calaifornia,California
277.hospitalcategoryriskadjustment,Critical Access Hospyital,Critical Access Hospital
433.hospitalcategoryriskadjustment,Acute Care Hosmpital,Acute Care Hospital
101.facilitytype,Free-Standing Rehabilitation,"Community, >250 Beds"
11.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, <125 Beds"
300.hospitalcategoryriskadjustment,cAcute Care Hospital,Acute Care Hospital
109.infectionsreported,,6
219.hospitalcategoryriskadjustment,Acupte Care Hospital,Acute Care Hospital
433.statevalue,Cailfornia,California
143.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Olympia Medical Center
66.facilityname,Highland Hospital,Sutter Lakeside Hospital
155.hai,Methicillin-Resistant Staphylococcus aurevus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
263.county,Scramento,Sacramento
31.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Kaiser Foundation Hospital, Antioch"
94.facilityname,Jerold Phelps Community Hospital,Garfield Medical Center
125.facilitytype,Rehabilitation Unit,Major Teaching
35.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MxRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
137.facilitytype,Rehabilitation Unit,"Community, 125-250 Beds"
281.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
132.facilitytype,Long-Term Acute Care,Major Teaching
17.facilityname,"Kaiser Foundation Hospital, Fremont",Stanford Health Care - ValleyCare
414.infectionsreported,,0
163.facilitytype,Rehabilitation Unit,Major Teaching
257.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
219.hai,Methicillin-Resistant Staphylococucs aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
62.facilityname,"Kaiser Foundation Hospital, San Leandro",Mercy Hospital
31.yearvalue,20201H,2020H1
390.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
411.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (RSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
361.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
135.facilityname,Alameda Hospital,Methodist Hospital of Southern California
183.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",Memorial Hospital Los Banos
67.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Critical Access
421.infectionsreported,***,0
340.hospitalcategoryriskadjustment,Rehabilitation Hospitla or Unit,Rehabilitation Hospital or Unit
122.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (RSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
67.facilityname,Sutter Amador Hospital,Banner Lassen Medical Center
383.county,Santa Curz,Santa Cruz
112.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
423.facilityname,Los Robles Hospital & Medical Cener,Los Robles Hospital & Medical Center
126.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,LAC/Rancho Los Amigos National Rehabilitation Center
348.yearvalue,20201H,2020H1
52.facilityname,"Kaiser Foundation Hospital, Fresno","Providence St. Joseph Hospital, Eureka"
295.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
58.facilityname,"Kindred Hospital, San Francisco Bay Area",Encompass Health Rehabilitation Hospital of Bakersfield
188.facilitytype,Pediatric,Rehabilitation Unit
143.county,oLs Angeles,Los Angeles
391.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection s(MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
168.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",Torrance Memorial Medical Center
381.hospitalcategoryriskadjustment,Acutse Care Hospital,Acute Care Hospital
394.yearvalue,2020Hz1,2020H1
334.facilityname,Kentfield Hospital San Francidsco,Kentfield Hospital San Francisco
218.county,Oarnge,Orange
256.hospitalcategoryriskadjustment,Acute Care Hospgital,Acute Care Hospital
224.facilitytype,ePdiatric,Pediatric
367.yearvalue,202v0H1,2020H1
6.infectionsreported,q0,0
102.facilityname,Washington Hospital,"Henry Mayo Newhall Hospital, Rehabilitation Unit"
385.hospitalcategoryriskadjustment,Acutxe Care Hospital,Acute Care Hospital
160.facilityname,Highland Hospital,Ronald Reagan UCLA Medical Center
8.statevalue,alifornia,California
73.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit","California Hospital Medical Center, Los Angeles"
34.facilitytype,Free-Standing Rehabilitation,"Community, <125 Beds"
136.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Methodist Hospital of Southern California, Rehabilitation Unit"
124.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",LAC/Harbor UCLA Medical Center
159.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
370.facilitytype,Rehabilitaiton Unit,Rehabilitation Unit
51.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Critical Access
142.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Norwalk Community Hospital
299.hospitalcategoryriskadjustment,Acute Camre Hospital,Acute Care Hospital
174.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,West Hills Hospital & Medical Center
161.hai,Methicillin-Resistagnt Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
63.hospitalcategoryriskadjustment,Acute rCare Hospital,Acute Care Hospital
113.facilityname,Alta Bates Summit Medical Center,"Kaiser Foundation Hospital, Woodland Hills"
134.facilitytype,Rehabilitation Unit,Pediatric
318.statevalue,alifornia,California
393.hospitalcategoryriskadjustment,Critical Acecss Hospital,Critical Access Hospital
119.statevalue,Caliofrnia,California
106.facilityname,St Rose Hospital,"Huntington Hospital, Rehabilitation Unit"
33.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA iBSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
412.hospitalcategoryriskadjustment,Acuteo Care Hospital,Acute Care Hospital
267.infectionsreported,***,0
364.hospitalcategoryriskadjustment,AcuteCare Hospital,Acute Care Hospital
362.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
182.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Adventist Health Mendocino Coast
354.statevalue,Califronia,California
355.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
88.facilityname,Orchard Hospital,Emanate Health Foothill Presbyterian Hospital
126.hai,Methicillin-Ressitant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
169.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",USC Kenneth Norris Jr. Cancer Hospital
199.facilityname,"Kaiser Foundation Hospital, Fresno",Chapman Global Medical Center
334.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (RSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
260.hospitalcategoryriskadjustment,Rehabilittion Hospital or Unit,Rehabilitation Hospital or Unit
119.yearvalue,20201H,2020H1
50.facilityname,Alta Bates Summit Medical Center,Mad River Community Hospital
206.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Healthbridge Children's Hospital, Orange"
179.facilityname,Alameda Hospital,MarinHealth Medical Center
207.statevalue,Caliornia,California
329.facilityname,"California Pacific Medical Center, Davies Campus Hospital, Rehaiblitation Unit","California Pacific Medical Center, Davies Campus Hospital, Rehabilitation Unit"
74.facilitytype,Major Teaching,Free-Standing Rehabilitation
120.facilityname,Washington Hospital,"Kindred Hospital, San Gabriel Valley"
267.hospitalcategoryriskadjustment,Acute Care Hospiatl,Acute Care Hospital
253.hospitalcategoryriskadjustment,Acute Care Hosdpital,Acute Care Hospital
265.yearvalue,202a0H1,2020H1
400.hospitalcategoryriskadjustment,Critiacl Access Hospital,Critical Access Hospital
273.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
134.facilityname,Alta Bates Summit Medical Center,MemorialCare Miller Children's & Women's Hospital Long Beach
71.facilitytype,"Community, 125-250 Beds",Long-Term Acute Care
397.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
166.statevalue,Claifornia,California
111.statevalue,Califonria,California
353.hai,Methicillin-Resistant Staphylococcus aureus Bloodstreamn Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
114.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Major Teaching
123.facilityname,"Kindred Hospital, San Francisco Bay Area",LAC+USC Medical Center
403.hospitalcategoryriskadjustment,Acute Caere Hospital,Acute Care Hospital
429.hospitalcategoryriskadjustment,Adcute Care Hospital,Acute Care Hospital
151.facilityname,"Kaiser Foundation Hospital, Fremont",Providence Cedars-Sinai Tarzana Medical Center
103.statevalue,Califorina,California
92.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
341.statevalue,Californa,California
235.county,Placetr,Placer
201.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
344.county,San Jaquin,San Joaquin
351.yearvalue,202k0H1,2020H1
114.county,Los Angees,Los Angeles
181.facilityname,St Rose Hospital,John C. Fremont Healthcare District
156.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, >250 Beds"
315.hospitalcategoryriskadjustment,Acutte Care Hospital,Acute Care Hospital
319.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectionsx (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
313.hospitalcategoryriskadjustment,Acute Care Hospitaul,Acute Care Hospital
184.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Mercy Medical Center
193.county,apa,Napa
388.yearvalue,20x20H1,2020H1
355.county,Sna Mateo,San Mateo
220.hospitalcategoryriskadjustment,Acute are Hospital,Acute Care Hospital
145.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,"Community, >250 Beds"
77.infectionsreported,s0,0
412.statevalue,Califorunia,California
45.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, 125-250 Beds"
142.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
42.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,"Community Regional Medical Center, Rehabilitation Unit"
77.facilitytype,Major Teaching,Critical Access
317.hospitalcategoryriskadjustment,Aecute Care Hospital,Acute Care Hospital
141.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
