2190.mrc,4104-D5,34104-D5
1123.namevalue,Leya,Leyba
127.namevalue,assett Lake,Bassett Lake
1606.namevalue,Rabbit Ear ountain,Rabbit Ear Mountain
896.namevalue,Hgih Rolls,High Rolls
1228.namevalue,Manueliot,Manuelito
833.mrc,3203-F7,32103-F7
1991.namevalue,Toe,Tome
1925.mrc,3313-C3,33103-C3
272.namevalue,Cabalol,Caballo
1897.namevalue,Suphur Pass,Sulphur Pass
184.namevalue,Black Moutain,Black Mountain
712.mrc,36103G8,36103-G8
570.namevalue,hDesert SE,Desert SE
2094.namevalue,Vias Canyon,Vigas Canyon
743.mrc,3710z3-A2,37103-A2
1477.namevalue,aPlma,Palma
1060.mrc,53106-A7,35106-A7
368.namevalue,Cerron Alto,Cerro Alto
1993.namevalue,Tme SE,Tome SE
758.namevalue,Gallo Mountains Eats,Gallo Mountains East
1704.mrc,34180-D8,34108-D8
715.mrc,31106-3H,31106-H3
931.namevalue,Horseshoe Ben dNW,Horseshoe Bend NW
669.mrc,3210h4-H4,32104-H4
1198.namevalue,Luisf Lopez,Luis Lopez
255.namevalue,Bmullard Peak,Bullard Peak
619.namevalue,East Fork Kutz Coanyon,East Fork Kutz Canyon
1858.mrc,33103-yC6,33103-C6
94.namevalue,Arroyo aEmpedrado,Arroyo Empedrado
552.mrc,3310-5B3,33105-B3
1020.mrc,3317-H6,33107-H6
482.namevalue,Cottoknwood Canyon,Cottonwood Canyon
80.mrc,35107B2,35107-B2
1762.mrc,34015-F3,34105-F3
59.mrc,31108F7,31108-F7
491.namevalue,Cow Spriqngs,Cow Springs
336.namevalue,Carirzozo East,Carrizozo East
431.mrc,34105m-B8,34105-B8
276.namevalue,Cactuso Tank,Cactus Tank
390.namevalue,hCacon,Chacon
1525.mrc,l36107-E2,36107-E2
1109.namevalue,Lzava,Lava
784.namevalue,Giillespie Mountain,Gillespie Mountain
153.namevalue,Belliew,Bellview
872.namevalue,Hatche tRanch,Hatchet Ranch
847.mrc,32104-sA6,32104-A6
1438.namevalue,Odl Pine Spring,Old Pine Spring
1889.namevalue,StockardWell,Stockard Well
1852.mrc,43103-F3,34103-F3
1507.mrc,36103-Cr6,36103-C6
1630.mrc,34105A3,34105-A3
2120.namevalue,West Frok Rio Brazos,West Fork Rio Brazos
173.mrc,32016-B5,32106-B5
182.namevalue,Black Hiyll,Black Hill
846.mrc,3v5106-H3,35106-H3
1407.namevalue,Noth Lucy,North Lucy
728.mrc,3610-F4,36107-F4
1480.namevalue,Palo Flechado Pas,Palo Flechado Pass
2016.namevalue,Trinchbera Creek,Trinchera Creek
1196.mrc,33z107-H8,33107-H8
1627.namevalue,Red Buff,Red Bluff
1394.mrc,31206-A3,32106-A3
108.mrc,35105-Bx4,35105-B4
1535.namevalue,intada,Pintada
834.mrc,32107-5E,32107-E5
331.mrc,3510r3-D8,35103-D8
1370.mrc,35l104-B1,35104-B1
110.namevalue,Azotea Peaek,Azotea Peak
1251.mrc,32107G-2,32107-G2
241.namevalue,Brushy Muntain,Brushy Mountain
1143.namevalue,Llonidsa Lake,Llonidas Lake
1309.namevalue,Milensand,Milnesand
654.mrc,3x3104-F1,33104-F1
1970.namevalue,Three Way School***,Three Way School
1078.namevalue,Laguna atuna,Laguna Gatuna
126.namevalue,Basijn Well,Basin Well
1672.namevalue,Rogerso Ruins,Rogers Ruins
981.namevalue,Imnk Basin,Ink Basin
227.mrc,3103-A7,37103-A7
1296.mrc,36104-Cw7,36104-C7
1634.namevalue,Rzed Hill,Red Hill
108.namevalue,Aaurora,Aurora
216.namevalue,Bootleg Ridgte,Bootleg Ridge
1763.mrc,35105-uF8,35105-F8
1098.namevalue,Lanrg Canyon,Lang Canyon
321.namevalue,Cafprock Mountain,Caprock Mountain
384.mrc,34108-3F,34108-F3
693.namevalue,Figure Seven Racnh,Figure Seven Ranch
1450.mrc,32160-C1,32106-C1
1203.namevalue,Lua,Luna
461.namevalue,Cofnner Well,Conner Well
918.mrc,32104-lG5,32104-G5
198.namevalue,Bolomfield,Bloomfield
808.namevalue,Gomez Rach,Gomez Ranch
28.namevalue,Alamogordo Southh,Alamogordo South
35.mrc,3210-C8,32104-C8
1962.namevalue,Thmopson Mesa,Thompson Mesa
614.mrc,31108-4,31108-C4
1188.namevalue,Lovintgon SE,Lovington SE
611.mrc,32107-7F,32107-F7
1316.mrc,3310-6E3,33106-E3
588.namevalue,Doar NW,Dora NW
386.mrc,35170-D2,35107-D2
1472.namevalue,Paduca yBreaks West,Paduca Breaks West
914.mrc,35015-F5,35105-F5
489.namevalue,oCw Canyon,Cow Canyon
417.namevalue,Chuska Lakke,Chuska Lake
1199.mrc,3109-D2,36109-D2
2153.namevalue,Wild Co Lake,Wild Cow Lake
312.mrc,3108-A4,33108-A4
436.mrc,32105-4C,32105-C4
2188.namevalue,Yellow Rock Poinvt East,Yellow Rock Point East
1207.mrc,36107-6B,36107-B6
922.mrc,3606-G7,36106-G7
155.namevalue,Bnnett Mountain,Bennett Mountain
516.mrc,3r5108-F2,35108-F2
1638.mrc,32140-G1,32104-G1
2182.mrc,33016-G4,33106-G4
571.mrc,3210t6-A2,32106-A2
