namevalue,lat(double precision),long(double precision),mrc
Dutch Blue Creek,33.375,-109.125,33109-D2
Dwyer,32.625,-107.75,32107-7F
Dwyer SE,32.5,-107.75,32107-E7
Eagle Eye Peak,32.5,-108.5,2108-E5
Eagle Mountain,31.25,-108.375,31108-4
Eagle Nest,36.5,-105.25,36105-E3
Eagle Peak,33.625,-108.5,33108-Ft5
Eagle Tail Mountain,36.625,-104.375,36104-F4
Ear Rock,35.875,-108.5,35108-H5
East Fork Kutz Coanyon,36.5,-107.875,36107-E8
East Gavilan Canyn,36.625,-106.25,36106-F3
East Lake,32.25,-103.25,32103-C3
East Mesa,34.75,-107.5,34107-G5
East of Great Bend,36.125,-108.375,36108-B4
East of Grey Hill Spring,36.0,-108.375,36108-A4
Echo Amphitheater,36.25,-106.5,36106-C5
dgewood,35.0,-106.125,35106-A2
Editoh,37.0,-106.875,37106-A8
Eighteenmile Hill,34.125,-104.125,34104-B2
Eightmile Draw,33.625,-104.25,33104-F3
El Cabo,35.0,-105.5,35105-A5
El Cuervo Butte,35.0,-105.75,35105-A7
El Dado,35.5,-107.5,35107-E5
El Dado Mesa,35.375,-107.375,35107-D4
El Morro,35.0,-108.25,35108-A3
El Morro Mesa,34.25,-104.625,4104-C6
El Morro Ranch,34.5,-104.875,4104-E8
El Morro Ranch NW,34.625,-104.875,34104-F8
El Morro Ranch SE,34.5,-104.75,34104-E7
El Paso,31.75,-106.375,31106-G4
El Paso Canyon,32.5,-105.625,32105-E6
El Paso Draw,32.375,-105.625,32105-D6
El Paso Gap,32.0,-104.75,32104-A7
El Porvenir,35.625,-105.375,5105-F4
El Rto,36.25,-106.125,36106-C2
El Vado,36.5,-106.625,36106-E6
Eli Valle,36.0,-105.625,36105-A6
Elephant Butte,33.125,-107.125,33107-B2
Elephant Mountain,32.375,-106.125,32106-D2
Elida,33.875,-103.625,33103-H6
Elida SE,33.75,-103.5,33103G5
Elk,32.875,-105.25,32105-H3
Elk Mountain,35.75,-105.5,35105-G5
Elk-Silver,33.0,-105.5,33105-A5
Elkins,33.625,-104.0,3x3104-F1
ElsieC anyon,33.5,-104.875,33104-E8
Elwood,32.25,-106.125,32106-C2
Emery Peak,36.875,-103.75,36103-H7
ncino,34.625,-105.375,34105-F4
Encino Draw,32.625,-104.875,32104-F8
Encinoso,33.625,-105.375,33105-F4
Endee Hill,34.875,-103.0,34103-H1
Engine Mounain,32.375,-109.0,32109g-D1
Engle,33.125,-107.0,33107-B1
Escabosa,34.875,-106.25,34106-H3
Escondido Mountains,34.125,-108.375,34108-B4
Escudilla Mountain,33.875,-109.0,33109-H1
Espanola,35.875,-106.0,35106-H1
Espinosa Ranch,36.75,-107.25,36107-G3
Espuela,32.875,-104.375,3210h4-H4
Estancia,34.75,-106.0,i34106-G1
Eunice,32.375,-103.125,32103-D2
Eunice EN,32.375,-103.0,32103-D1
Eunice SE,32.25,-103.0,32103-C1
wing,34.625,-106.125,34106-2F
Fairview Mountain,33.375,-106.5,33106-D5
Fairview Well,33.25,-106.875,33106-C8
Fallon Ranch,34.75,-104.375,34104-G4
Farley,36.25,-104.0,36104-C1
Farmington North,36.75,-108.125,36108-G2
Farmington Souht,36.625,-108.125,36108-F2
Farwell,34.375,-103.0,3410c3-D1
Faywood Station,32.5,-108.0,32108-E1
FeltS W,36.5,-102.875,36102-E8
Fence Canyon,33.25,-106.75,33106-C7
Fence Lake,34.625,-108.625,34108-F6
Fence Lake SW,34.5,-108.625,34108-E6
Fiddler Springs,36.75,-103.5,36130-G5
Field,34.625,-103.5,34103-F5
Field Ranch,34.5,-107.375,34107-E4
Field SE,34.5,-103.5,34103-E5
Field SW,34.5,-103.625,34103-E6
Fifteenmile Lake,33.0,-106.25,33106-A3
Figure Seven Racnh,32.125,-102.875,32102-B8
Fire Rock Wll,36.0,-107.625,36107-A6
irman Canyon,33.0,-105.625,33105-A6
Fishers Peak,37.0,-104.375,37104-A4
Fitzpatricks,31.375,-108.75,31108-D7
Five Lakes Canyon EN,36.125,-107.0,36107-B1
Five Lakes Canyon NW,36.125,-107.125,36107-B2
Flagstone Mountain,35.375,-104.75,35104-D7
Fleck Draw,32.75,-106.625,32m106-G6
Flora Vista,36.75,-108.0,36108-G1
Florida,32.375,-107.5,32107-D5
aFlorida Gap,32.125,-107.5,32107-B5
Flod,34.125,-103.5,34103-B5
Floyd SE,34.0,-103.5,34103-A5
Flying H,33.0,-105.0,33105-A1
Flying H NE,33.125,-105.0,33105-B1
Flying H NW,33.125,-105.125,33105-B2
Flying M Ranch,33.5,-103.5,3313-E5
Flying W Mountain,31.875,-108.0,31108-H1
Folsom,36.75,-103.875,36103G8
Forrest,34.75,-103.5,34103-G5
Fort Bayard,32.75,-108.125,32108-G2
Frot Bliss NE,31.875,-106.25,31106-3H
Fort Craig,33.625,-107.0,33107-F1
Fort Defiance,35.75,-109.0,35109-G1
Fort Ranch,33.0,-103.5,33103-A5
Fort Santon,33.375,-105.5,33105-D5
Fort Sumner East,34.375,-104.125,34104-D2
Fort Sumner West,34.375,-104.25,34104D3
Fort Union,35.875,-105.0,35105-H1
Fort Wingate,35.375,-108.5,35108-D5
Foster Lake,32.625,-106.125,32106-F2
Foster Ranch,32.5,-104.5,32104-E5
Foster Well,33.5,-106.5,33106-E5
Four V Rancmh,35.375,-104.25,35104-D3
Fourmile Canyon,36.625,-107.375,3610-F4
Fox Creek,37.0,-106.125,37106-A2
Frankel City SW,32.25,-102.875,32102-8
Fernch,36.375,-104.5,36104-D5
French Mesa,36.25,-106.75,36106-C7
Fresno Canyon,36.5,-107.625,36107-E6
Frier Ranch,33.125,-103.5,33103-B5
Frijoles,35.75,-106.25,35106-G3
Fritz Canyon,33.25,-109.125,33109-C2
Fruitland,36.625,-108.375,36108-iF4
Frutosa Lake,35.75,-104.625,35104-G6
Fuentes Ranch,35.5,-103.5,35103-E5
Fuller Ranch,33.375,-106.75,33106-D7
Fullerton,33.75,-108.125,33108-G2
Furnish Canyon East,37.0,-103.0,37103-A1
Furnish Canyon West,37.0,-103.125,3710z3-A2
Gacho Hill,34.375,-105.0,34105-D1
Gacho Hill NW,34.375,-105.125,34105-D2
Gacho Hll SE,34.25,-105.0,34105-C1
Gacho Hill SW,34.25,-105.125,34105-C2
Gage,32.125,-108.0,32108-B1
Gage NW,32.125,-108.125,32108-B2
Gage SE,32.0,-108.0,32108-A1
Gage SW,32.0,-108.125,32108-A2
Galisteo,35.375,-105.875,35105-D8
Gallegos,35.5,-103.625,35103-E6
Gallego sNE,35.625,-103.5,35103-F5
Gallegos Tradin Post,36.5,-108.0,36108-E1
Gallina,36.125,-106.75,36106-B7
Gallinas dPeak,34.125,-107.375,34107-B4
Gallo Mountains Eats,34.0,-108.5,34108-A5
Gallo Mountains West,34.0,-108.625,34108-A6
Gallo Spring Canyon,34.125,-105.375,34105-B4
Gallo Spring Canyon NE,34.125,-105.25,34105-B3
Gallup East,35.5,-108.625,35108-E6
Gallpu West,35.5,-108.75,35108-E7
Gammil Well,34.125,-103.875,34103-B8
Gammil Well NE,34.125,-103.75,34103-B7
Gammil Well SE,34.0,-103.75,34103-A7
Garcia,37.0,-105.5,37105-A5
Garcia Creek,36.125,-103.5,36103-yB5
Garcia Lake,34.75,-102.875,34102-G8
Garcia Peak,36.375,-105.125,36105-D2
Garden Spring Canyon,33.75,-106.25,33106-G3
Gardner Peak,32.75,-106.5,32106-G5
Garfield,32.75,-107.25,32107-G3
Garrett Ranch,34.5,-103.25,3403-E3
Garrison,33.75,-103.125,33103-G2
Garton Lake,32.75,-106.125,32106-G2
Gary,32.25,-108.75,32108-C7
Gascon,35.875,-105.375,35105-H4
Gate Canyon,35.0,-104.125,35104-A2
George Rnach,34.75,-105.125,3410-5G2
Ghost Rnach,36.25,-106.375,3610-6C4
Gibbons Ranch,34.625,-104.375,34104-F4
Gila Hot Springs,33.125,-108.125,33108-B2
Giillespie Mountain,31.625,-108.625,31108-F6
Gilman,35.625,-106.75,35106-F7
Gilmore Draw,32.75,-106.75,32106-G7
Gladiola,33.25,-103.125,3310-C2
Gladstone,36.25,-103.875,36103-C8
Gladstone NW,36.375,-103.875,3610-D8
Glenrio,35.125,-103.0,351t03-B1
Glenwood,33.25,-108.875,33108-C8
Glorieta,35.5,-105.75,35105-E7
Goat Camp Spring,32.75,-109.0,32109-G1
Goat Canyon,36.25,-103.5,3603-C5
Goat Hill,34.875,-108.25,34108-H3
Goat Mountain,35.375,-107.875,35107-D8
Goat Ridge,32.375,-107.75,32107-D7
Goat Spring,34.25,-108.875,34108-C8
Gobernador,36.625,-107.25,36107-F3
Godfrey Peak,33.375,-105.875,33105-yD8
Goetsch Lake,35.625,-104.875,35104-F8
Gold ill,32.375,-108.5,32108-D5
Golden,35.25,-106.125,35106-C2
Golden Ranch,34.0,-103.0,34103-A1
Golednburg Draw,32.625,-106.625,32106-rF6
Golondrina Draw,33.25,-105.875,33105-C8
Golondrina Well,33.875,-105.25,33105-H3
Gomez Rach,36.75,-107.375,63107-G4
Gonzales Mesa,36.375,-107.375,36107-D4
Good Sight Peak,32.375,-107.375,32107-D4
Good Sight Peak NE,32.375,-107.25,32107-D3
Goodson School,36.875,-103.0,36103-H1
nGould Pass,36.5,-107.5,36107-E5
Gowdy Ranch,32.25,-105.0,32105-C1
Grady,34.75,-103.25,34103-G3
Grady SW,34.75,-103.375,34103-G4
Grama Ridge,32.375,-103.5,32103-D5
Gran Quivira,34.25,-106.0,34106-C1
Grandmother Moutnain East,32.25,-108.0,32108-C1
Grandmother Mountain West,32.25,-108.125,32108-C2
Grnaite Mountain,34.125,-107.125,34107-B2
Granjean eWll,33.625,-106.625,33106-F6
Granny Mountain,33.0,-108.25,33108-A3
Grants,35.125,-107.75,3k5107-B7
Grants SE,35.0,-107.75,35107-A7
Granville Canyon,33.5,-105.0,33105-E1
Grapevine Draw,32.0,-104.5,32104-A5
Grassy Lookout,33.75,-107.375,33107-G4
Greasewood Canyon,37.0,-108.375,37108-A4
Great Bend,36.125,-108.5,36108-B5
Greendailey Canyon,36.75,-103.0,36103-G1
Greens Baber Well,33.625,-106.5,33106-F5
GreenwoodLake,32.625,-103.75,3203-F7
Greg Hills,32.5,-107.5,32107-5E
Grenvlle,36.5,-103.5,36103-E5
Grenville SW,36.5,-103.625,36103-E6
Grey Hill Spring,36.0,-108.5,36108-A5
Grouse Mountian,33.25,-108.625,33108-C6
Guadalupe,35.5,-107.125,35107-E2
Guadalupe Canyon,31.25,-109.0,31109-C1
Guadalupe Mountain,36.625,-105.625,36105-F6
sGuadalupe Pass,31.25,-108.875,31108-C8
Guadalupe Peak,31.875,-104.75,31104-H7
Guadalupe Spring,31.375,-109.0,31109-D1
Guadalupita,36.125,-105.125,361o05-B2
Guaje Mountain,35.875,-106.25,3v5106-H3
Gunsight Canyon,32.0,-104.625,32104-sA6
Guy,36.75,-103.375,36103-G4
Guzmans Lookout Mountain,31.75,-107.125,31107-2G
Gym Peak,32.0,-107.5,3210y7-A5
Hachita,31.875,-108.25,31108-H3
Hachita Peak,31.75,-108.375,31108-G4
Hackberry Hill,32.25,-105.125,32105-C2
Hackberry Lake,32.625,-103.875,32103-F8
Hackfberry Ranch,33.0,-104.5,33104-A5
Hagan,35.25,-106.25,35106-C3
Hagerman,33.0,-104.25,33104-A3
Hagerman SW,33.0,-104.375,33104-A4
Hammond Ranch,34.625,-103.375,34103-F4
Hammond Ranch SW,34.5,-103.375,31403-E4
Hmapton Ranch,35.375,-103.625,3510w3-D6
Harben Lake,34.875,-104.375,34104-H4
Hard Ground Flats,35.625,-108.5,35108-F5
Harden Cienega,33.125,-109.0,i33109-B1
Hardcrabble Mountains,33.125,-106.625,33106-B6
arriet Ranch,33.5,-106.75,33106-E7
Harvey Ranch,32.875,-105.5,32105-H5
Hasperos Camp,33.875,-105.375,3105-H4
Hassell,34.625,-104.0,31404-F1
Hat Top ountain,31.875,-108.125,p31108-H2
Hatch,32.625,-107.125,32107-F2
Hatche tRanch,31.625,-108.25,31108-F3
Hay Mesa,33.0,-107.875,33107-A8
Hayden,35.875,-103.25,35103-H3
Haystack Butte,33.75,-104.125,33104-G2
Haysltack Mountain,33.625,-104.125,33104g-F2
Headcut Reservoir,35.75,-107.0,31507-G1
Heart Rock,35.625,-108.0,35108-F1
Heart of the Sands,32.75,-106.25,3216-G3
Heart of the Sands NE,32.875,-106.25,32106-H3
Heart of the Sands NW,32.875,-106.375,32106-H4
Heart of the Sands SW,32.75,-106.375,32106-G4
Heifer Point,36.875,-108.375,36108-H4
Hembrillo Basin,32.875,-106.625,32106-H6
Hembrillo Canyon,32.875,-106.5,32106-H5
Hendricks Peak,32.875,-107.875,32107-H8
Henshaw Tank,32.875,-103.875,32103-H8
Hermanas,31.75,-107.875,3117-G8
Hermanas NW,31.875,-107.875,31107-H8
eHrnandez Lake,33.875,-104.125,33104-H2
Heron Reservoir,36.625,-106.625,36106-F6
Herrera,35.125,-107.0,35107-B1
Hickman Ranch,33.625,-107.125,33107-F2
Higginbuotham,32.875,-102.875,32102-H8
High Lonesome Well,35.0,-109.0,35109-A1
Hgih Rolls,32.875,-105.75,32105-H7
Hillburn City,33.0,-103.25,33103-A3
Hillburn City SW,33.0,-103.375,33130-A4
Hillsboro,32.875,-107.5,32107-H5
Hillsbosro Peak,32.875,-107.75,32107-H7
Hilo Peak,31.375,-108.5,v31108-D5
Hobbs East,32.625,-103.0,32103-F1
Hobbs SE,32.5,-103.0,32103-E1
Hobbs SW,32.5,-103.125,32103-E2
Hobbs West,32.625,-103.125,32103-F2
Hobo Tank,31.875,-105.75,3110-5H7
Hockett,32.5,-107.25,32107-E3
Holloman,32.75,-106.0,32106-G1
Hoclman,36.0,-105.375,36105-A4
Holt Mountain,33.25,-108.75,33108-C7
Holt Tank,32.625,-104.75,32104-F7
Holy Ghost Spring,35.625,-106.875,35106-F8
Hondo Reservoir,33.25,-104.625,33104-C6
Honey Boy Ranch,35.625,-105.5,35015-F5
Hope,32.75,-104.625,32104-G6
Hope NE,32.875,-104.5,3210-H5
Hope NW,32.875,-104.625,32104-H6
Hope SE,32.75,-104.5,32104-lG5
Horcado Ranch,35.75,-106.0,35106-G1
Horn Canyon,36.625,-108.0,36108-F1
Horney Ranch,34.25,-104.5,34104-C5
Horse Lake,36.75,-106.75,3606-G7
Horse Mesa,36.625,-109.0,36109-F1
Horse Mountain,31.5,-108.5,31108-E5
Horse Mountain East,33.875,-108.0,33108-H1
Horse Mountain West,33.875,-108.125,33108-H2
Horse Pasture Tank,35.125,-104.75,35104-B7
Horsehead Canyon,35.0,-108.625,35108-A6
Horsehead Canyon NW,35.125,-108.625,35108-B6
Horseshoe Bned,33.25,-104.875,33104-C8
Horseshoe Ben dNW,33.375,-104.875,33104-D8
Hospah,35.625,-107.625,3s5107-F6
Hosta Butte,35.5,-108.125,35108-E2
Hot Well,32.625,-109.125,32109-F2
Houck,35.25,-109.125,35109-C2
House,34.625,-103.875,34103-F8
House Canyon,36.625,-104.875,36104-F8
House SE,34.5,-103.75,34103-E7
Howell Ranch,34.0,-104.0,34104-A1
Hubbell Spring,34.875,-106.5,34106-H5
Hudson,35.25,-103.5,35103-C5
Huco Tanks,31.875,-106.0,31106-H1
Huerfanito Peak,36.5,-107.75,36107-E7
Huerfano Hill,33.25,-107.25,33107-C3
Huerfano Trading Post,36.375,-107.75,36107-D7
Huerfano Trading Post NW,36.375,-107.875,36107-D8
Huerfano Trading Post SW,36.25,-107.875,36107-C8
Huff Hill,33.75,-105.125,33105-G2
Hugh Lake,36.5,-108.125,36108-E2
Humble City,32.75,-103.125,32103-G2
Humble City NE,32.875,-103.0,32103-H1
Humble City NW,32.875,-103.125,32103-H2
Humble City SE,32.75,-103.0,2103-G1
Hunter Mesa,36.75,-104.25,36104-G3
Hunter Wash,36.125,-108.25,36108-B3
Hunters Point,35.5,-109.0,35109-E1
Hurley East,32.625,-108.0,32108-F1
Huley West,32.625,-108.125,32108-F2
Ice Caves,34.875,-108.0,34108-1
Ice Caves SE,34.75,-108.0,34108-G1
Ignacio,37.0,-107.625,37107-A6
Illinois Camp,32.625,-104.125,32104-F2
Illinois Camp NE,32.625,-104.0,32104-F1
Illinois Camp SE,32.5,-104.0,32104-E1
Ima,34.875,-104.0,34104-H1
Ima NW,34.875,-104.125,34104-H2
Ima SE,34.75,-104.0,34104-G1
Ima SW,34.75,-104.125,34104-G2
Independence Spring,31.875,-104.625,31104-H6
Indian Bathtub,35.75,-103.5,35103-G5
Indian Bluff,33.0,-104.75,33104-7A
Indian Draw,32.375,-105.375,32105-D4
Indian Flats,32.375,-104.0,32104-D1
Indian Meas,34.25,-107.5,34107-C5
India Peak,31.75,-108.875,3110-G8
Indian Peaks East,33.5,-107.875,33107-E8
Indian Peaks Wevst,33.5,-108.0,33108-E1
Indian Spring Canyon,34.25,-107.375,34107-C4
Indian Well Wilderness,33.75,-106.875,33106-G8
Ingram Lake,36.25,-104.125,36104-C2
Imnk Basin,33.0,-102.875,33102-A8
Ione,35.75,-103.25,35103-G3
Iron Mountain,33.375,-107.625,33017-D6
Ironhouse Draw,32.625,-103.375,32103-F4
Ironhouse Well,32.625,-103.5,32103-F5
Islqeta,34.875,-106.625,34106-H6
Jacinto Mesa,35.0,-105.375,35105-A4
Jacob Spring,33.625,-105.5,33105-F5
al,32.0,-103.125,32103-A2
Jal NE,32.125,-103.0,32103-B1
Jal W,32.125,-103.125,32103-B2
Jal SE,32.0,-103.0,32103-A1
Jaralosa Mountain,33.375,-107.5,33107-D5
Jaritas Ranch,36.125,-104.375,36104-B4
Jarosa,36.0,-106.625,36106-A6
Javelina Basin,32.0,-103.25,32103-A3
Jemez Pueblo,35.5,-106.625,35106-E6
emez Springs,35.75,-106.625,35106-G6
Jesus Canyon,37.0,-103.375,37103-A4
Jicarilla Peak,33.75,-105.5,33105-G5
Jicarita Peak,36.0,-105.5,36105-A5
Joe Woody Well,35.5,-109.125,35109-E2
John Kerr Peak,33.75,-108.375,33108-G4
John Mills Lake,36.75,-107.0,36107-G1
Johnson Park,36.75,-104.125,36104-G2
Johnson Ranch,33.375,-103.375,33103-D4
Johnson Trading Post,35.875,-107.125,35107-H2
Jones Cantyon,34.0,-108.875,34108-A8
Jones Ranch School,35.25,-108.875,35108-nC8
Juordan,34.75,-103.75,34103-G7
Juan Lake,33.125,-104.625,33104-B6
Juan Largo Canzyon East,33.875,-105.0,33105-H1
Juan Largo Canyon West,33.875,-105.125,33105-H2
uJg Canyon,32.625,-107.375,32107-F4
Jumbo Hill,32.375,-102.875,32102-D8
Jumping Sring,32.0,-104.25,32104-A3
Klansas Valley,36.0,-104.0,36104-A1
Kansas Valley ake,35.875,-104.0,35104-H1
Kearn Lake,34.5,-109.125,34109-E2
Kellog Well,33.875,-107.625,3317-H6
Kenna,33.75,-103.75,33103-G7
Kenna SW,33.75,-103.875,33103-G8
Kenton,36.875,-102.875,36102-H8
Kenton W,36.75,-102.875,36102-G8
Kerlin Hill,35.625,-103.125,3510-3F2
Kremit NW,31.875,-103.125,31103-H2
Kettner Canyon,35.125,-108.25,35108-B3
Kilbourne Hole,31.875,-106.875,31106-H8
Kimbeto,36.125,-107.75,36107-B7
Kin Klizhin Ruins,36.0,-108.0,36108-A1
Kincaid Ranch,33.0,-104.625,33104-A6
King Capm,33.0,-104.0,33104-A1
King Draw,35.125,-106.0,35106-B1
Kingston,32.875,-107.625,32107-H6
Kiowa,36.625,-104.0,63104-F1
Kiowa Hilul,37.0,-105.75,37105-A7
Kirtland,36.625,-108.25,36108F3
Kirtland SE,36.5,-108.25,36108-E3
Kirtland SW,36.5,-108.375,36108-E4
Kitchen Cove,32.25,-104.25,32104-C3
Knoblaw,35.5,-102.875,351f02-E8
Koehler,36.625,-104.5,36104-F5
Koger Ranch,35.875,-103.0,35103-H1
Kridr,34.375,-103.75,34103-D7
Kyle Harrison Canyon,33.625,-105.25,33105-F3
Kyle Ranch,31.875,-103.625,31103-H6
L E Ranch,33.375,-104.125,3314-D2
La Chata Crater,36.0,-104.75,36104-A7
La Cinta Canyon,35.75,-104.125,35104-G2
La Cinta Mesa,35.375,-104.0,35104-D1
La Espia Peak,34.0,-104.25,34104-A3
La Gotera,35.25,-107.125,35107-C2
La ara Peak,34.375,-107.25,3107-D3
La Joya,34.25,-106.75,34106-C7
La Joya NW,34.375,-106.875,b34106-D8
La Liendre,35.375,-105.0,35105-D1
La Madera,36.375,-106.0,36106-D1
La Mesa,32.0,-106.625,32106-A6
La Mesita Negra,35.0,-106.875,35106-A8
La Mesita Negra SE,35.0,-106.75,53106-A7
La Paloma Canyon,32.125,-104.875,32104-B8
La Plata,36.875,-108.125,36108-H2
LaR endija,34.625,-108.125,34108-F2
La Segita Peaks,36.75,-105.875,36105-G8
La Segita Peaks NE,36.875,-105.75,3615-H7
La Silla,35.25,-104.375,35104-C4
La Union,31.875,-106.625,31106-H6
La Valley,37.0,-105.25,37105-A3
La Ventana,35.75,-106.875,35106-G8
La Vida Mission,36.0,-108.125,3610y8-A2
Ladron Peak,34.375,-107.0,34107-D1
Laguna,35.0,-107.375,35107-A4
Laguna Canoneros,35.25,-107.375,35107-C4
Laguna Castillo,35.625,-107.875,35107-F8
Laguna De Los Terreros,34.625,-104.75,34104-F7
Laguna Del Perro Norteh,34.625,-105.875,34105-F8
Laguna Del Perro South,34.5,-105.875,34105-E8
Laguna atuna,32.5,-103.625,32103-E6
Laguna Glatuna NW,32.625,-103.625,32103-F6
Laguna Gurule,36.25,-106.875,36106-C8
Laguna Honda,34.75,-107.75,34107-G7
Laguna Huerfana,35.5,-104.75,35104-E7
Laguna La Monia,35.5,-104.875,35104-E8
Lagua Ortiz,35.25,-105.5,35105-C5
Laguna Peak,36.25,-106.625,3606-C6
Lagun aSeca,35.375,-107.25,35107-D3
Lagunitas Creek,36.75,-106.25,36106G3
Lake Armijo,34.375,-108.625,34108D6
ake Isabel,35.75,-105.125,35105-G2
Lake Lucero,32.625,-106.375,32106-F4
Lake Lucero NE,32.625,-106.25,32106-F3
Lake Lucero SE,32.5,-106.25,32106-E3
Lake McMillan Norht,32.625,-104.25,32104-F3
Lake McMillan South,32.5,-104.25,32104-E3
Lake Valley,32.625,-107.5,32107-F5
Lanark,31.875,-106.75,31106-H7
Laone Salt Lake,33.375,-103.5,33103-D5
Lanrg Canyon,31.25,-108.75,31108-C7
Lapis Point,36.375,-107.25,36107-D3
Largo Mesa,34.125,-108.5,34108-B5
Lariat,34.25,-102.875,34102t-C8
Las Cruces,32.25,-106.75,32106-C7
Las Nutrias,36.5,-106.5,36106-E5
Las Tablas,36.5,-106.0,36106-E1
Las Vegas,35.5,-105.125,35105-E2
Las Vegas NW,35.625,-105.125,35105-F2
Las Vegas SE,35.5,-105.0,35105-E1
Latir Peak,36.75,-105.375,36105-G4
Lzava,33.375,-107.0,33107-D1
Lawrence Arroyo,36.375,-104.0,36104-D1
Lazy E Ranch,32.25,-107.25,32107-C3
Lazy J Ranch,31.375,-109.125,31109-D2
Lea,32.5,-103.5,32103-E5
Leandro Canyon,36.625,-107.125,36107-F2
Leasburg,32.375,-106.875,32106-D8
Leavry Canyon,36.5,-107.0,36107-E1
Lemitar,34.125,-106.875,34106-B8
Lesbia,35.125,-103.5,35103-B5
Lewis Canyon,32.125,-105.125,32105-B2
dLewis Peak,32.625,-105.125,32105-F2
Lewis Peak NE,32.625,-105.0,32105-F1
Lewiston Lake,34.0,-103.625,34103-A6
Leya,35.125,-105.5,35105-B5
Liberty Mesa,35.125,-103.75,35103-B7
Lilley Mountain,33.25,-108.375,33108-C4
Lincolcn,33.375,-105.375,3105-D4
Linda Lake North,31.875,-105.0,31105-H1
Lindrith,36.25,-107.0,36107-C1
Lingo,33.75,-103.0,33103-G1
Lion Mountain,34.125,-107.5,34107-B5
Lion Mountain NW,34.125,-107.625,34107-B6
Lisbon,32.25,-108.5,32108-C5
Little Black Mountain,32.0,-106.75,32106-A7
Little Black Peak,33.75,-105.875,33105-G8
Litlte Black Peak NE,33.875,-105.75,33105-H7
Little Grande,36.625,-103.75,36103-F7
Little Pine Canyon,37.0,-104.75,37104-A7
Little San Pasqual Mountain,33.625,-106.75,33106-F7
Little Turkey Park,33.125,-108.25,33180-B3
Little Water,36.375,-108.625,36108-D6
Livingston Ridge,32.375,-103.75,32103-D7
Llaves,36.375,-106.75,36106-D7
Llonidsa Lake,35.625,-104.625,35104-F6
Lobatos,37.0,-105.875,37105-A8
Loo Hill,34.875,-105.875,34105-H8
Lobo Hill NE,34.875,-105.75,34105-H7
obo Hill SE,34.75,-105.75,31405-G7
Lobo Hill SW,34.75,-105.875,34105-G8
Lobo Springs,35.125,-107.625,35107-B6
Lockney,35.5,-103.25,35103-E3
Loco Arroyo,36.5,-104.375,36104-E4
Loco Canykon,33.0,-105.125,33105-A2
Loco Draw,34.25,-104.875,4104-C8
Loco iHlls,32.75,-103.875,32103-G8
Loco Knoll,34.0,-109.0,34109-A1
Loco Mountain,33.375,-108.375,33108-D4
Log Caynon,34.0,-108.0,34108-A1
Logan NE,35.375,-103.25,35103-D3
Logan North,35.375,-103.375,53103-D4
Logan South,35.25,-103.375,35103-C4
Loma Creshton,35.5,-106.5,31506-E5
Loma De Las Canas,34.0,-106.75,34106-A7
Loma Machete,35.25,-106.625,35106-C6
Loma Parda,35.75,-105.0,35105-G1
Lomas Gatos,34.25,-104.0,34104-C1
Lone Mountain,33.75,-105.75,33105G-7
Loen Wolf,33.625,-103.75,33130-F7
Long Draw,34.5,-105.0,34105-E1
Long Mountain,37.0,-107.875,37107-A8
Longhorn Reservoir,35.0,-105.875,35105-A8
Lookou Mountain,33.25,-107.75,33107-C7
Lordsburg,32.25,-108.625,32108-C6
Los Cordovas,36.375,-105.625,36105-D6
Los Griegos,35.125,-106.625,35106-B6
Los Indios Canyon,36.5,-106.875,36106-E8
Los Lunas,34.75,-106.625,34106-G6
Los Lunas SE,34.75,-106.5,3410-G5
Los Medanos,32.25,-103.75,32103-C7
Los Montoyas,35.375,-105.125,35105-D2
Los Pilares,34.875,-107.75,34107-H7
Los Pinos,36.875,-106.0,36106-H1
Lost River,32.875,-106.125,23106-H2
Lovelace Mesa,33.875,-106.0,33106-H1
Lovelady Draw,34.0,-104.375,34104-A4
Loving,32.25,-104.0,32104-C1
Lovington,32.875,-103.25,32103-H3
Lovington NW,32.875,-103.375,32103-H4
Lovintgon SE,32.75,-103.25,32103-G3
Lovington SW,32.75,-103.375,32103-G4
Lower Colnias,35.5,-105.5,35105-E5
Lower Wheatfields,36.125,-109.125,36109-2
ucero,36.0,-105.125,36105-A2
Lucky Lake,33.125,-104.75,33104-B7
Lucy,34.625,-105.75,341e05-F7
Luera Mountains East,33.75,-107.75,33107-G7
Luera Mountains NW,33.875,-107.875,33z107-H8
Luera Mountains West,33.75,-107.875,33107-G8
Luisf Lopez,33.875,-106.875,33106-H8
Lukachukai,36.375,-109.125,3109-D2
Lumley Lake,33.0,-106.375,33106-A4
Lumley Lake NE,33.125,-106.25,33106-B3
Lumley Lake NW,33.125,-106.375,33106-B4
Lua,33.75,-108.875,33108-G8
Luna Lake,33.75,-109.0,331e09-G1
Lupton,35.25,-109.0,35109-C1
Lybrook,36.125,-107.5,36107-5
Lybrok NW,36.125,-107.625,36107-6B
Lybrook SE,36.0,-107.5,36107-A5
Lyden,36.125,-106.0,36106-B1
Mack Tanks,32.25,-105.875,32105-C8
Madrse Mountain,34.25,-107.875,34107-C8
Madrid,35.375,-106.125,35106-D2
Maes,35.625,-104.5,35104-F5
Magdalena,34.0,-107.125,34107-A2
Magdalena Gap,32.25,-107.125,32107-C2
Magdalena Peak,32.375,-107.125,32107-D2
Malaga,32.125,-104.0,32104-B1
Maljamar,32.75,-103.75,32103-G7
