objectid(long),routeid,beginpoint(double precision),endpoint(double precision),xsp,stlnstlocname,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
5843,1-N,59.12,59.15,CONT,BOSTON POST RD,98,NORTH BRANFORD,2022,6de3544b-5a23-4c76-acee-1024a5015ea5,113.057159702688
5844,1-N,59.15,65.01,CONT,BOSTON POST RD,59,GUILFORD,2022,a741df7d-b545-4104-870b-e5e655b4ef2e,30954.661391165
5845,1-N,77.87,79.53,CONT,BOSTON POST RD,105,OLD SAYBROOK,2022,b01aae7b-a168-478d-aef1-c3b4bcd10a95,8764.21741958285
5846,1-N,93.11,93.47,CONT,BOSTON POST RD,44,EAST LYME,2022,8e28fdbd-1434-4b9b-9f21-80ca1dbbccd9,1863.32587620826
5847,1-N,116.79,117.37,CONT,WEST BROAD ST,137,STONINGTON,2022,7aae16dc-4cba-411f-a2be-c034a39d5afe,3110.95544647133
5848,1-N,47.67,47.84,LOG,CHURCH ST SOUTH,92,NEW HAVEN,2022,fae0a5b1-695a-433c-8ab0-79f5788e7c9a,925.839226589517
5849,1-N,67.92,68.05,LOG,BOSTON POST RD,75,MADISON,2022,b9b4e77c-83d1-4d9e-b4c5-00cc5ea93232,717.003240101848
5850,1-N,102.95,103.31,LOG,LONG HILL RD,58,GROTON,2022,27f4c0d5-051d-4192-af21-213980d64eb9,2043.56134996617
5851,1-N,109.36,109.4,LOG,EAST MAIN ST,137,STONINGTON,2961,9661922a-47e9-4ccb-a2ac-e65237c7aa6c,166.885206984478
5852,1-S,20.45,20.8,REV,POST RD EAST,158,WESTPORT,2022,d673ea6b-d196-425e-bbd1-7f7b1d2539bf,1805.848071804
5853,1-S,109.36,109.4,REV,EAST MAIN ST,137,STONINGTON,2022,ed67aaa2-4d69-4649-9622-3ce478d7d8eb,166.845744266961
5854,10-N,17.12,17.27,CONT,MAIN ST,25,CHESHIRE,2022,a41c42fe-2e6d-4cb3-a06d-ac52d4619561,793.064467077365
5855,104-N,0.0,2.11,CONT,LONG RIDGE RD,135,STAMFORD,2022,5fd44be5-d376-40c9-bb91-39c661b05f0d,11220.2403267408
5856,106-N,6.3,6.74,CONT,SOUTH AVE,89,NEW CANAAN,2022,8db32a51-cc14-4593-a999-fd0e9c4e60fa,2393.80557376443
5857,106-N,8.97,9.03,CONT,VALLEY RD,89,NEW CANAAN,2022,3aec5a4a-4863-4f77-ac9d-c6c0fbc75bd3,314.652164329426
5858,108-N,3.07,5.35,CONT,HUNTINGTON TPKE,144,TRUMBULL,2022,6d30222b-9ddf-4ffc-836d-fc9f6026364b,12010.3069541836
5859,109-E,6.1,6.38,CONT,BEE BROOK RD,150,WASHINGTON,2022,da95b19b-586d-48bc-a457-7e0c3336b9fa,1445.35676924249
5860,109-E,10.96,12.45,CONT,LAKESIDE RD,86,MORRIS,2478,866969bd-c357-446a-9169-71a4cfe82989,7854.34598671312
5861,110-N,1.94,3.1,CONT,RIVER RD,138,STRATFORD,2022,50a675b6-29bd-4acb-801a-5eb30fe111b1,6201.2509525349
5862,89-N,7.62,11.71,CONT,WESTFORD RD,3,ASHFORD,2022,7d4ddb58-f15d-4f4a-be58-0dab6508a4bf,21577.8685496522
5863,900-S,0.0,0.2,CONT,BONNIE CIR,58,GROTON,2154,d7c5356d-ec62-4ecb-9de6-2aa6b392ed19,980.113170795016
5864,907-W,0.0,0.1,REV,CONNECTICUT BLVD,42,EAST HARTFORD,2532,25f8f107-0dda-4c51-8dd2-0c3cee9be04a,549.303914543621
5865,914-E,0.0,0.06,CONT,OTROBANDO AVE,103,NORWICH,2022,2aac84eb-efc2-480c-a996-dd308d9522bc,329.150397161078
5866,918-E,0.0,0.03,CONT,FARMINGTON AVE,88,NEW BRITAIN,2022,33aeb4a6-2fb8-4f64-9e08-229db18e36ce,140.052925665558
5867,97-N,2.93,4.22,CONT,BALTIC RD,103,NORWICH,2022,36a41842-9820-4d5c-9e1f-b4c46a63ca68,6807.3891980851
5868,12-N,39.46,42.67,CONT,PUTNAM PIKE,68,KILLINGLY,2022,c79573fa-a4c8-4d7d-9c8e-67e715c748e7,16982.706100069
5869,12-N,36.51,36.6,LOG,MAIN ST,68,KILLINGLY,2022,20fa2036-5d0f-4ce2-af3c-a8fc73ac6aea,475.314442364476
5870,122-N,0.0,0.55,CONT,FIRST AVE,156,WEST HAVEN,2022,7a78ae19-02c1-4e3a-b0c9-612f9de53a6d,2873.13170178195
5871,132-N,6.43,6.86,CONT,WEST ST,10,BETHLEHEM,2022,cf326e8e-a0cb-4195-9e7d-ea06964b314e,2286.44867327047
5872,132-N,9.39,9.72,CONT,OLD WATERTOWN RD,10,BETHLEHEM,2022,3e8f4111-120a-4bf4-9e9c-3f7cc1490e8c,1763.66655257301
5873,136-N,1.94,2.32,CONT,MCKINLEY ST,102,NORWALK,2774,5c72276f-b6c4-4e10-805a-3945408ef0e8,2031.25503386396
5874,136-N,5.25,5.49,CONT,WASHINGTON ST,102,NORWALK,2022,96462083-2f71-4449-bbb8-a118e47d56dd,1209.81592633319
5875,136-N,5.58,5.96,CONT,VAN ZANT ST,102,NORWALK,2022,8a1b2f21-40f7-439c-8bea-9530abb1cbff,1989.84107614015
5876,136-N,7.25,8.28,CONT,SAUGATUCK AVE,158,WESTPORT,2022,86f94433-5168-4d49-9e6d-7aafce399d69,5344.08783685819
5877,136-N,11.78,12.08,CONT,MAIN ST,158,WESTPORT,2022,8fbcf27a-07b2-4d4c-b887-d114421e334c,1581.41867689338
5878,137-S,1.5,1.54,REV,COLD SPIRNG RD,135,STAMFORD,2022,c51afd2b-f11a-4742-ab3d-6dddbc0b9866,238.115619321908
5879,137-S,1.59,1.83,REV,COLD SPIRNG RD,135,STAMFORD,2509,6c311373-7b09-4ee8-bfab-941e85e0b5eb,1291.40635589962
5880,150-N,0.7,3.96,CONT,WOODHOUSE AVE,148,WALLINGFORD,2022,5697b04f-cf93-473f-988e-b33f5af5c322,17173.0725156137
5881,151-N,2.99,4.04,CONT,MOODUS LEESVILLE RD,40,EAST HADDAM,2022,3044224f-fb8f-46b5-8ba5-0475bbc8a337,5544.43164092174
5882,153-N,0.0,3.02,CONT,ESSEX RD,154,WESTBROOK,2022,181c4353-80d2-444d-b361-f7a80f7cb261,15881.7823898002
5883,154-N,1.7,1.92,CONT,INDIANOLA DR,105,OLD SAYBROOK,2040,a2cc2a74-c510-4012-a93e-58c8cc33d4fb,1210.75831892232
5884,154-N,9.43,10.98,CONT,MIDDLESEX TPKE,49,ESSEX,2022,af850192-fa33-4734-a160-3dcd4f703311,8206.67048785889
5885,154-N,6.17,6.68,LOG,MAIN ST,105,OLD SAYBROOK,2022,fcdabe95-8980-444f-b3bd-d0824777fb74,2679.88755524877
5886,139-N,0.0,0.85,CONT,NORTH BRANFORD RD,14,BRANFORD,2022,97d7169b-0b06-40af-9aed-201c03e03a98,4522.41965967052
5887,14-E,13.26,13.39,CONT,PLAINFIELD RD,22,CANTERBURY,2022,3e59e5ff-d0ed-4a4d-9c15-7647f2882243,722.235711419262
5888,14-E,13.39,13.46,CONT,CANTERBURY RD,108,PLAINFIELD,2022,63b02a73-bb5e-4526-bbec-25e3d973e84e,390.454274485802
5889,14-E,18.66,19.25,CONT,MAIN ST,108,PLAINFIELD,2022,8de83077-f462-41c7-a64e-a5643eac01c7,3069.00480514185
5890,14-W,17.82,17.86,REV,WARD AVE,108,PLAINFIELD,2022,b53ee9c9-5a4c-47d8-8556-b2e7a4e38005,165.439770334894
5891,140-E,2.28,2.58,CONT,MAIN ST,165,WINDSOR LOCKS,2022,7af892b8-cb6e-4a2e-820b-e6bf92366dcb,1589.71017211999
5892,140-E,2.74,3.73,CONT,BRIDGE ST,46,EAST WINDSOR,2022,13392c1f-d188-4455-a263-2021794357df,5207.67258029597
5893,140-E,13.74,14.96,CONT,CRYSTAL LAKE RD,47,ELLINGTON,2022,377b83a6-24a4-44d8-8f73-812cc1c95119,6434.03679720579
5894,145-N,6.99,8.46,CONT,CEDAR LAKE RD,122,DEEP RIVER,2022,b2630787-0e73-45b0-9698-bf8c3548891c,7720.40266685421
5895,146-E,11.68,11.69,CONT,WHITFIELD ST,59,GUILFORD,2628,39dd323f-f061-4882-853b-fd284a479093,82.5508877361449
5896,148-E,13.22,14.07,CONT,WATER ST,26,CHESTER,2022,6799a1a7-92d7-4571-9828-c6b92191d963,4506.78410983497
5897,148-E,14.07,14.75,CONT,FERRY RD,26,CHESTER,2022,c87239bf-0cd0-4516-8ef4-2680f103f3d4,3574.26522177299
5898,148-E,14.75,16.35,CONT,FERRY RD,74,LYME,2022,f68c5bcb-0f0a-4eb2-9b29-e897769701d7,8468.10531042731
5899,15-N,76.84,77.89,LOG,BERLIN TPKE,159,WETHERSFIELD,2022,83aff802-b610-4029-8d70-9a76373f507f,5599.16726009114
5900,15-S,67.96,73.34,REV,BERLIN TPKE,7,BERLIN,2022,53c034fb-2c66-42b9-90c5-204c9f8422a8,28487.3208620025
5901,15-S,73.34,76.84,REV,BERLIN TPKE,93,NEWINGTON,2022,2ab9631d-5047-4a23-88a3-e345bed4297a,18429.2497113347
5902,150-N,0.0,0.7,CONT,WOODHOUSE AVE,98,NORTH BRANFORD,2022,a7a07366-09d5-469b-9cab-6454d3149362,3704.91679649195
5903,127-N,0.0,3.12,CONT,EAST MAIN ST,15,BRIDGEPORT,2022,dfecf90b-6277-4a9f-a0ca-9c2b06ce1465,16496.7339549381
5904,127-N,5.4,6.8,CONT,CHURCH HILL RD,144,TRUMBULL,2022,5a3df326-34e3-49a0-a419-b3fa67d2a2ba,7464.42844178642
5905,130-E,1.86,1.96,LOG,FAIRFIELD AVE,15,BRIDGEPORT,2022,ff8a7e3d-0b5e-4965-aca1-03c5d61dce92,516.222520167685
5906,130-E,4.28,4.41,LOG,STRATFORD AVE,15,BRIDGEPORT,1339,8c3c9fb2-217a-43ec-b080-d8c1b62df79e,698.273134208635
5907,130-W,4.49,4.65,REV,STRATFORD AVE,15,BRIDGEPORT,2022,94c66248-3d0b-4c47-8f4e-08ac33135f8d,828.461449374348
5908,70-E,8.03,9.68,CONT,RIVER RD,79,MERIDEN,2022,4c9f9232-8ccf-4032-ab41-4339426125bc,8727.82220236532
5909,71-N,3.84,5.54,CONT,CHAMBERLIN HWY,79,MERIDEN,2022,31765f27-c2af-4e88-8574-b82a7f7dc858,8958.81798641207
5910,71-N,16.33,17.19,CONT,HARTFORD RD,88,NEW BRITAIN,2022,89600ae0-7eb3-4057-923c-51eb0caeae14,4550.74327672792
5911,71-N,18.75,19.19,CONT,NEW BRITAIN AVE,155,WEST HARTFORD,2022,71fa5196-6a4f-488f-ac46-e41bbf319608,2337.23758024696
5912,71-S,13.61,13.96,REV,HARRY S TRUMAN OP,88,NEW BRITAIN,1437,d8c307ee-1b58-4e40-b085-50667a631a21,1857.66118457381
5913,715-E,0.0,0.16,CONT,UNIVERSAL DR,100,NORTH HAVEN,2022,99e1da51-b1b8-445a-9241-15b2dfc39669,842.560554278339
5914,82-E,24.3,25.32,CONT,NORWICH - SALEM TPKE,13,BOZRAH,2022,fe3212e8-8483-42cc-83fe-33647865245a,5390.29420749407
5915,82-E,25.32,26.24,CONT,NORWICH - SALEM TPKE,103,NORWICH,2022,6bec12bf-672d-49a7-8e4c-0730983d7062,4884.89005648836
5916,82-W,28.2,28.47,REV,WEST MAIN ST,103,NORWICH,1338,5f776ea7-1ef6-4366-9554-4ce8a154c2cd,1230.80772193383
5917,822-E,3.33,3.62,CONT,CATOONAH ST,117,RIDGEFIELD,2022,c74feee9-74ba-4a18-8104-2fd42eae665a,1498.94435058018
5918,83-N,11.64,11.76,CONT,TALCOTTVILLE RD,146,VERNON,2022,eb52f7ca-a5c6-4db5-ba60-652565acdc1a,694.156159588426
5919,83-N,17.63,21.39,CONT,SOMERS RD,47,ELLINGTON,2022,c85d56ca-20ac-4153-8ef3-5dab976244b5,19892.3046436267
5920,83-S,10.14,10.25,REV,TOLLAND TPKE,76,MANCHESTER,2022,06514f81-58ef-4642-a931-33ee882b12ac,422.093881272792
5921,218-E,6.4,7.0,CONT,PUTNAM MEMORIAL HWY,164,WINDSOR,2022,242bd26e-e882-45cb-a2ca-f64c73dfe09e,3163.12798481929
5922,218-W,1.42,1.48,REV,HALL BLVD,11,BLOOMFIELD,2022,8d23e7b3-c17e-4bc3-ab21-b6b4b6c3cd13,329.133684199728
5923,219-N,7.2,8.66,CONT,RESERVOIR RD,5,BARKHAMSTED,2156,89abb68e-8c10-4753-9880-5e317bc5ce92,7710.25523519836
5924,219-N,12.58,14.98,CONT,BARKHAMSTED RD,55,GRANBY,2022,136c84eb-e7a8-4490-9df9-c2b46fccf7f6,12678.9244457887
5925,22-E,0.0,0.21,CONT,IVES ST,61,HAMDEN,2022,266c8f6d-2edf-40b0-b209-d0b1e44148f4,1123.53341844808
5926,372-E,6.27,6.35,CONT,HIGH RD,7,BERLIN,3030,cc38b249-ef62-4176-9b18-c79b6dca3156,390.59184613555
5927,372-E,8.69,9.15,CONT,MILL ST,7,BERLIN,2022,77b3cb2d-0ea7-415c-ba35-fdc2d977420a,2482.54316003016
5928,4-E,17.61,19.66,CONT,TORRINGTON RD,54,GOSHEN,2022,7ab7fd23-1929-480a-9fb0-01f5dcc68f47,10823.6717192729
5929,4-E,24.13,24.18,CONT,EAST ELM ST,143,TORRINGTON,2022,535d1c12-b2cb-4a5c-b5ed-da58bf0b69db,318.133000480608
5930,4-E,28.54,31.09,CONT,BURLINGTON RD,65,HARWINTON,2022,73c965ff-5196-4767-bda5-823d2caf0e02,13401.4701993286
5931,4-E,38.1,38.84,CONT,MAIN ST,51,FARMINGTON,2022,d5a29632-69b4-4068-9bed-a3b3b75c05a3,3900.52325633533
5932,4-E,45.84,46.72,CONT,FARMINGTON AVE,155,WEST HARTFORD,2022,4d65bb6b-b3c7-4be6-ba33-a3818c3dadea,4628.82163684234
5933,4-E,43.45,43.57,LOG,FARMINGTON AVE,51,FARMINGTON,2022,0cb340e2-1675-4328-8878-e84596deb6d1,651.083049827191
5934,833-E,0.0,1.23,CONT,CLAYTON RD,99,NORTH CANAAN,2022,d9df8b5a-073a-43ca-a061-9eddf23ddeb6,6482.24752927006
5935,839-E,0.17,0.36,CONT,MILLTOWN RD,34,DANBURY,2022,b0a959ba-29a3-4528-88c0-a0078cff7695,1043.271890597
5936,844-E,0.0,2.33,CONT,MERIDEN RD,151,WATERBURY,2022,6947b301-246a-4ff8-9104-ac139d5cf99e,12332.9285980463
5937,847-N,3.16,3.45,CONT,GRAND ST,151,WATERBURY,2022,82be4056-8d82-46f4-aeed-2bffed86815d,1530.76123934972
5938,847-N,0.0,0.19,LOG,WATERBURY RD,87,NAUGATUCK,2376,46869c61-556e-4599-8176-5daf64d9f1e9,992.470070160588
5939,85-N,0.98,1.08,CONT,HARTFORD TPKE,152,WATERFORD,2079,6598b561-7b7b-423e-9eb7-ac4b5c878860,541.076634590818
5940,135-N,0.0,2.03,CONT,NORTH BENSON RD,50,FAIRFIELD,2022,2ed8e588-f874-4a34-8331-43750de202d9,10865.2810800094
5941,137-N,0.0,1.5,LOG,WASHINGTON BLD,135,STAMFORD,2022,3e6a5ff7-b2e3-49be-888b-20cdf6d4d22a,7997.94967840338
5942,22-E,6.52,10.88,CONT,FOREST RD,98,NORTH BRANFORD,2022,e76967ab-8ad0-49f9-9df3-f180cb055e90,23094.1729705853
5943,220-E,0.0,1.45,CONT,ELM ST,48,ENFIELD,2022,8fcdb8b4-164c-4a6b-ad5b-b14118753609,7695.89637299001
5944,404-E,0.43,0.81,CONT,BILTON RD,129,SOMERS,2022,94bed436-00b9-4020-95a4-03d3465ff6bb,1973.65718621068
5945,42-E,5.52,6.28,CONT,LASKY RD,6,BEACON FALLS,2022,3b76d71e-a842-4026-92b5-8f6ce35f9698,4003.22588193644
5946,42-W,2.99,3.17,REV,OLD TURNPIKE RD,6,BEACON FALLS,2022,5cfa736e-eee0-4199-8c83-115ad145ea09,1008.34545043292
5947,426-N,0.0,0.19,CONT,CADY LA,108,PLAINFIELD,2022,8bca233f-7748-419a-a277-074fc8f3ac75,1016.99804337526
5948,429-E,0.0,0.48,CONT,DAY POND RD,28,COLCHESTER,2022,2a52438f-0198-4ad8-beb8-80a97e00ba0b,2558.69006637528
5949,44-E,3.06,4.73,CONT,MAIN ST,121,SALISBURY,2022,92763534-1746-42bc-a972-27510b8ddbcd,8850.85261850361
5950,85-N,5.43,8.46,CONT,HARTFORD NEW LONDON TPKE,85,MONTVILLE,2022,7d494a42-940a-46e7-9f08-3d797c6ea302,15935.2138672544
5951,85-N,20.93,25.45,CONT,CHURCH ST,66,HEBRON,1477,3b64ab6e-b7b8-426a-a13e-82b9a38c9471,23810.8666776956
5952,87-N,0.0,0.41,CONT,NORWICH LEBANON RD,52,FRANKLIN,2022,dcabdcd6-5953-4c19-89e6-ed0084b22aab,2171.15979269604
5953,87-N,0.59,4.05,CONT,NORWICH LEBANON RD,52,FRANKLIN,2022,8d7492fd-db15-4c4d-ba24-84e1c049be68,18280.4179005551
5954,89-N,0.0,5.48,CONT,WARRENVILLE RD,77,MANSFIELD,2022,c5c4e994-78d7-4209-970f-55b7f28b6273,28944.1385384359
5955,138-E,4.06,5.78,CONT,NEWENT RD,72,LISBON,1217,a5d93b09-0c43-4318-bd0f-a1e29e793b73,9111.98620920816
5956,138-E,13.33,14.82,CONT,BEACH POND RD,147,VOLUNTOWN,2022,215710a6-335d-4f6a-9350-f5cfd9434f13,7884.43768746037
5957,139-N,0.85,2.36,CONT,BRANFORD RD,98,NORTH BRANFORD,2022,038ca525-ba3b-4ce9-8d46-c4873a560e07,7982.84983711839
5958,229-N,4.41,5.9,CONT,KING ST,17,BRISTOL,2022,a54e5e39-a0fc-41ce-b411-dadf5eaf196b,7921.26133576563
5959,243-E,0.0,0.33,CONT,ELM ST,2,ANSONIA,2022,17b82680-c015-4681-b4ef-21dba2f1d34d,1769.03957339608
5960,243-E,4.79,5.23,CONT,FOUNTAIN ST,167,WOODBRIDGE,2022,9ce79f5d-847b-4e44-9937-dae314a00866,2274.06232011938
5961,25-N,9.87,10.06,LOG,MAIN ST,144,TRUMBULL,1795,9fecc08b-dc05-47cd-8d10-6cc8f6ed4ad6,1020.06633467511
5962,262-N,0.0,1.34,CONT,BUCKINGHAM ST,153,WATERTOWN,2022,766cda38-f0fb-4687-baaf-dc5b0df24d6a,7081.0143186496
5963,44-E,8.83,10.34,CONT,SALISBURY RD,99,NORTH CANAAN,2022,9975b2dd-da0e-4754-b0cf-9f7e65e4e41a,7994.58923481658
5964,44-E,18.72,20.14,CONT,GREENWOODS RD EAST,97,NORFOLK,2022,a791ac37-3861-49e9-b322-41be39fc496d,7492.25397285141
5965,44-E,28.89,29.4,CONT,NEW HARTFORD RD,162,WINCHESTER,2022,bfb075a9-93ad-4624-a354-ddab0c96f438,2666.95398433021
5966,44-E,33.34,36.87,CONT,MAIN ST,91,NEW HARTFORD,2022,316a8ed9-b68f-45da-8f3d-6f0a4c7a69e3,18729.1014777823
5967,89-N,12.69,15.67,CONT,FERRENCE RD,3,ASHFORD,2022,187916ae-931b-4867-a56d-598ff442254c,15709.6335865221
5968,97-N,5.38,8.27,CONT,SCOTLAND RD,133,SPRAGUE,2022,901ec277-b04a-4ee6-9e5d-da15654e4fc0,15300.638334821
5969,97-N,11.3,11.94,CONT,PALMER RD,123,SCOTLAND,2022,20975287-826c-4ae8-b459-be17eadfa377,3382.32914202684
5970,14-E,2.71,4.64,CONT,SCOTLAND RD,163,WINDHAM,2022,606cc3d8-70dc-457f-9134-de9b7b612ec7,10242.3597257375
5971,14-E,19.25,20.0,CONT,NORTH MAIN ST,108,PLAINFIELD,1013,ff17b3b6-ec22-479b-a858-b6c8376dbbcf,3964.48796476524
5972,14-W,17.86,18.66,REV,PROSPECT ST,108,PLAINFIELD,2022,22b448bc-4eb3-4f40-a70b-864b7771f41f,4007.26157916857
5973,140-E,13.7,13.74,CONT,SOMERS RD,47,ELLINGTON,2022,9d417a34-9a4e-4aec-99fc-4f38f56199cb,249.084457389791
5974,146-E,1.6,2.59,CONT,SOUTH MONTOWESE ST,14,BRANFORD,2022,0ef27d21-0e62-4fb9-9a9e-bc8261661378,5176.59584182797
5975,146-E,3.23,3.65,CONT,HOTCHKISS GROVE RD,14,BRANFORD,2022,9c729724-7cd9-4d8c-adee-3f262b3aaad7,2248.99517321863
5976,31-E,1.28,1.54,CONT,MILE HILL RD,146,VERNON,2022,f68a1cd8-ab4f-4d1b-8d14-c6fe5f888752,1354.1035853522
5977,31-E,5.8,6.9,CONT,BOSTON TPKE,32,COVENTRY,1710,e8be1dc6-1c58-4c80-8f41-da28f4ad8c54,5832.86567813146
5978,317-E,5.21,6.1,CONT,SYCAMORE AVE,168,WOODBURY,2022,64a0d10e-304a-4138-9cbf-db65f295eb30,4670.6945891412
5979,318-E,1.47,3.14,CONT,SAVILLE DAM RD,5,BARKHAMSTED,2022,18a8f6cb-af5a-4fa5-a940-46876e073e13,8882.40519660439
5980,44-E,49.24,50.93,CONT,ALBANY AVE,155,WEST HARTFORD,2022,51d8abab-79d7-42fc-871d-bff88fe0168f,8970.76079800348
5981,44-E,54.61,55.05,CONT,CONNECTICUT BLVD,42,EAST HARTFORD,2022,c403b9a0-984e-4e3f-816f-a138687d0aca,2348.86411475889
5982,44-E,58.67,59.33,CONT,MIDDLE TPKE WEST,76,MANCHESTER,2022,e6057eb8-577f-41ab-a798-363168772748,3460.00713721079
5983,44-E,63.28,64.21,CONT,EAST MIDDLE TPKE,76,MANCHESTER,2022,faf511cc-836c-4267-b937-47387c51752d,4902.01064451272
5984,44-E,59.64,59.71,LOG,CENTER ST,76,MANCHESTER,2022,06ed70cd-eae3-4efb-8a91-75687f60da9d,386.827771760063
5985,44-W,49.01,49.24,REV,ALBANY AVE,155,WEST HARTFORD,2022,c656ac52-46c0-4442-97fc-56f11d932468,1172.42218472804
5986,44-W,53.52,53.8,REV,MORGAN ST,63,HARTFORD,2558,6cb22306-e5c6-4d53-bbdd-b7db9a2ff8f2,1411.6103618152
5987,449-S,0.0,0.69,REV,ROCKY NECK CONNECTOR,44,EAST LYME,2022,66aeb701-476d-4da6-bdfe-32da99959607,3637.36765647313
5988,47-N,8.15,9.17,CONT,GREEN HILL RD,150,WASHINGTON,2022,3c7f44d8-3ae1-4322-b399-c057832c6d65,5459.04095213054
5989,99-N,3.91,5.94,CONT,MAIN ST,118,ROCKY HILL,2022,18ef2093-13c9-4f10-97db-a5672310b140,10702.9714265848
5990,99-N,10.3,10.64,LOG,SILAS DEANE HWY,159,WETHERSFIELD,2022,9d58271a-98cb-44d4-b98a-2741e02677e8,1778.38300258416
5991,1-N,13.95,15.12,CONT,CONNECTICUT AVE,102,NORWALK,2581,4d63e7bd-97c6-42f5-90cd-a80803ffecf4,6173.1271890622
5992,1-N,15.12,15.69,CONT,VAN BUREN AVE,102,NORWALK,2318,35fd5f08-8aae-4e1c-a325-b8fe024e8a09,3028.51758471267
5993,1-N,16.17,16.54,CONT,NORTH AVE,102,NORWALK,2022,f339f395-390c-4298-b2ab-e867f5c47bb6,1957.16532957359
5994,1-N,41.6,44.46,CONT,WEST PUTNAM AVE,106,ORANGE,2022,6113ca53-4973-45d3-9d2d-d9a247e84aaf,15079.5736264708
5995,1-N,46.53,46.64,CONT,ORANGE AVE,92,NEW HAVEN,2022,ef0800dc-deed-4cce-be15-d2553fd076c7,573.758424132019
5996,1-N,47.84,48.08,CONT,UNION AVE,92,NEW HAVEN,2022,8a1fa19e-9075-44f8-b998-ee29b11b3c77,1176.13176662932
5997,14A-E,3.29,3.62,CONT,ACADEMY HILL RD,108,PLAINFIELD,2022,f6cd840e-d700-4f2f-b228-09f468a53f53,1748.91521802266
5998,151-N,4.04,4.81,CONT,LEESVILLE RD,40,EAST HADDAM,2022,31e95739-717e-46b0-9261-ae73f76cdfac,4067.90348557198
5999,152-N,0.0,3.31,CONT,ORANGE CENTER RD,106,ORANGE,2022,2365c847-427a-43bb-96dc-e3ab2433e3a4,17634.8469293433
6000,154-N,4.38,4.57,CONT,BRIDGE ST,105,OLD SAYBROOK,2022,6ecad33a-548d-4195-809f-8796bb5dd5ac,993.733555403016
6001,154-N,5.18,6.17,CONT,MAIN ST,105,OLD SAYBROOK,2022,06f973b5-db6d-4c35-83f5-f6f53610a29e,5220.79595342988
6002,156-E,0.24,6.24,CONT,HAMBURG RD,74,LYME,2022,29fb1466-8667-47cd-92ad-26b7aaddf7cc,31610.8251467995
6003,349-N,0.0,1.79,CONT,EASTERN POINT RD,58,GROTON,2022,259c2131-f7f2-446f-8f62-4e51a599be3f,9531.13506574843
6004,35-N,1.05,1.8,CONT,WEST LA,117,RIDGEFIELD,2800,98792b0c-aece-4440-a2ff-4a97d7a7c02a,3913.65580945567
6005,481-E,0.0,0.28,CONT,SHORTWOODS RD,90,NEW FAIRFIELD,2022,8d4cdc41-ceb0-407c-adad-49193657c0d8,1468.32948029234
6006,486-E,0.0,0.05,CONT,AIRPORT ACCESS RD,130,SOUTHBURY,2022,274d95b8-ab75-43c8-9826-4a9a7344603c,335.49954378319
6007,487-N,0.88,4.24,CONT,KETTLETOWN RD,130,SOUTHBURY,2002,29d25e2d-e9e5-4520-aecd-5041710d3cfb,17778.6426288859
6008,49-N,18.5,21.74,CONT,EKONK HILL RD,136,STERLING,2022,34beb1d4-2876-4196-b18f-492769dbcc41,17103.671315546
6009,5-N,18.26,18.85,CONT,NORTH BROAD ST,79,MERIDEN,2022,5a5ccd1a-2157-49ca-ae2b-70796fd0aa9e,3140.84984729073
6010,5-N,18.85,19.14,LOG,NORTH BROAD ST,79,MERIDEN,2022,cac453f2-8c22-4afe-90f0-25038bb878a4,1468.5329617124
6011,5-N,19.3,20.37,LOG,NORTH BROAD ST,79,MERIDEN,1565,c8cf6e9b-3328-4b92-a740-9bf3503c41c7,5709.26172556455
6012,5-N,37.32,38.27,LOG,ELLINGTON RD,42,EAST HARTFORD,2022,30575bb3-e9d8-481c-b51f-0f1678d59f7f,5045.33070504172
6013,5-N,43.22,43.26,LOG,SOUTH MAIN ST,46,EAST WINDSOR,2022,6be40f4f-7b06-4bd0-b7ae-eaebc906e1d0,204.746646048491
6014,5-S,37.16,37.32,REV,KING ST,42,EAST HARTFORD,1809,8bffe4e8-8706-4ba8-b927-8aa69a13c554,861.430642063632
6015,1-N,54.09,55.86,CONT,NORTH MAIN ST,14,BRANFORD,2022,460a436f-646a-423a-9312-42875043cc20,9299.97422659634
6016,1-N,73.96,77.87,CONT,BOSTON POST RD,154,WESTBROOK,2022,3b9bf45f-75f1-46d1-a88c-c0761e031eec,20677.5936006652
6017,1-N,104.32,105.05,CONT,POQUONNOCK RD,58,GROTON,2650,2f034e06-c18d-4f83-9809-1ef7a2a0b486,3837.36332752151
6018,1-N,109.44,109.51,CONT,BROADWAY,137,STONINGTON,2022,21d25360-6e27-4bad-9bab-8e23f5f885d1,372.092474082292
6019,1-N,109.51,109.68,CONT,ROOSEVELT ST,137,STONINGTON,2022,1d10cf96-baa0-49f9-a595-428c7d478a7c,913.044321441127
6020,1-N,0.0,0.18,LOG,WEST PUTNAM AVE,56,GREENWICH,2022,95a95914-ffab-400b-a986-0aabf98ce6bb,934.896338488471
6021,1-N,13.85,13.95,LOG,CONNECTICUT AVE,102,NORWALK,1689,826bdf67-fb5a-4f75-9eb0-85e38ff6b7c5,468.934223797875
6022,157-N,5.22,5.95,CONT,FOREST ST,82,MIDDLETOWN,2229,b5485ce0-53f3-4170-bf6f-22c1bfe14c38,3847.53316934381
6023,159-N,1.41,1.46,CONT,WINDSOR AVE,164,WINDSOR,2022,1a4cb173-360b-4a1e-b342-ff2392003962,114.894219065487
