geographytype,yearvalue(long),geography,populationtotal(long),populationagezerooneseven(long),populationageoneeighttwonine(long),populationagethreezerothreenine(long),populationagefourzerofournine(long),populationagefivezerofivenine(long),populationagesixzerosixnine(long),populationagesevenzerosevennine(long),populationageeightzero(long),populationagezerofour(long),populationagefiveoneone(double precision),populationageonetwooneseven(double precision),populationagefive(long),populationageoneeight(long),populationagesixfive(long),populationfemale(long),populationmale(long),populationlatinx(long),populationasiannonlatinx(double precision),populationblacknonlatinx(double precision),populationwhitenonlatinx(long),populationotherracenonlatinx(double precision),recordid
Zip Code,2019,60654,20022,1463.0,5555,5971.0,2723,2090.0,1477.0,539,204,973.0,404.0,86.0,19049.0,18559.0,1330.0,9979.0,10043.0,1156.0,2851.0,1070.0,14365.0,580.0,ZIP_Code-606542019
Zip Code,2019,60655,28569,7025.0,4090,3459.0,3862,4305.0,3293.0,1583,952,1922.0,2689.0,2414.0,26647.0,21544.0,3648.0,14627.0,13942.0,2586.0,436.0,1836.0,23377.0,334.0,IP_Code-60655-2019
Zpi Code,2019,60656,28218,5241.0,3628,5206.0,3587,3756.0,3230.0,2244,1326,1878.0,1902.0,1461.0,26340.0,22977.0,4968.0,13796.0,14422.0,3768.0,2372.0,327.0,21089.0,662.0,ZIP_Code-60656-2019
Zip Code,2019,60657,70958,8951.0,23709,17072.0,7136,5847.0,4529.0,2158,1556,3875.0,3048.0,2028.0,67083.0,62007.0,5702.0,35306.0,35652.0,5385.0,4887.0,2085.0,56603.0,1998.0,ZIP_Code-60657-2019
Zip Code,2019,60659,42735,11218.0,6875,6767.0,5499,5173.0,3984.0,2231,988,3272.0,4435.0,3503.0,39463.0,31517.0,5103.0,21244.0,21491.0,8873.0,11861.0,3453.0,16070.0,2478.0,ZIP_Code-60659-2019
Zip Code,2019,60660,44498,5361.0,10768,8716.0,5623,5616.0,4552.0,2422,1440,2009.0,2166.0,1138.0,42489.0,39137.0,5942.0,22027.0,22471.0,7614.0,6000.0,5937.0,23247.0,1700.0,ZIP_Code-60660-2019
Zp Code,2019,60661,10354,917.0,3386,3459.0,1430,658.0,409.0,58,37,492.0,292.0,133.0,9862.0,9437.0,332.0,5173.0,5181.0,641.0,2950.0,429.0,6027.0,307.0,ZIP_Code-60661-2019
ZIP Code,2019,0666,0,27.0,77,0.0,0,24.0,0.0,81,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,62.0,53.0,84.0,46.0,ZIP_Code-60666-2019
Zip Code,2019,60707,43093,8982.0,6752,5495.0,6005,6181.0,5269.0,2826,1583,2331.0,3726.0,2925.0,40762.0,34111.0,6979.0,22556.0,20537.0,16862.0,1533.0,2981.0,20783.0,934.0,ZIP_Code-60707-2019
Zip Code,2019,6027,28483,8229.0,5017,3329.0,4095,3389.0,2758.0,1177,489,2578.0,3115.0,2530.0,25905.0,20254.0,2859.0,16017.0,12466.0,1486.0,39.0,25575.0,848.0,535.0,ZIP_Code-60827-2019
