license_no,license_type,issue_date,license_status,expiredate,legal_name,street_one,street_two,city,statevalue,zip,county_code
2288680.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHREE AMBIKA INC,280 HULTON RD,,VERONA,PA,15147-3510,2
2288679.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ELEGANT BEAUTY STORE INC,2140 WYLIE AVE,,PITTSBURGH,PA,15219-6343,2
2288355.0,Cig/OTP Retail,2/18/2016,Issued,2/28/2017,HIDEAWAY MINI MART INC,815 BROOKLINE BLVD,,PITTSBURGH,PA,15226-2103,2
2288692.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HANINI'S MARKET,2625 BROWNSVILLE RD,,PITTSBURGH,PA,15227,2
2288710.0,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,CIGAR BAR PITTSBURGH LLC,6302 ROBINSON CENTER DR STE D,,PITTSBURGH,PA,15205-4871,2
2265884.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,S&B FUEL COMPANY,431 7TH AVENUE,,HOMESTEAD,PA,15120,2
2259911.0,Retail,8/23/2016,Issued,2/28/2017,IKEDOG INC,1928 PARK MANOR BLVD,,PITTSBURGH,PA,15205-4808,2
2259840.0,Cig/OTP Retail,3/3/2016,Issued,2/28/2017,PAKAM CAPITAL INC,802 MELDON AVENUE,,DONORA,PA,15033,2
2262567.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,STEEL VALLEY BEER LLC,117 E 22ND AVE,,MUNHALL,PA,15120-2536,2
2050362.0,Cig/OTP Retail,7/1/2016,Issued,2/28/2017,CROSSROADS SERVICE CENTER INC,4600 HOMESTEAD DUQUESNE RD # R,,WEST MIFFLIN,PA,15122-1335,2
70155006.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,6701 FRANKSTOWN AVENUE,,PITTSBURGH,PA,15208,2
70155007.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,514 N HIGHLAND AVENUE,,PITTSBURGH,PA,15206,2
70155008.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,5204 INTERBORO AVENUE,,PITTSBURGH,PA,15207,2
70155009.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,1630 COCHRAN ROAD,,PITTSBURGH,PA,15220,2
2261926.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,SAAD UNITED CORPORATION,1318 FEDERAL ST,,PITTSBURGH,PA,15212-4759,2
2255144.0,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,MOHANLAL PRAMODCHANDRA,1929 MURRAY AVE,,PITTSBURGH,PA,15217-1607,2
2260569.0,Cig/OTP Retail,7/12/2016,Issued,2/28/2017,SITARAM ENTERPRISE INC,1640 SAW MILL RUN BOULEVA,,PITTSBURGH,PA,15210,2
70155010.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,1721 BANKSVILLE ROAD,,PITTSBURGH,PA,15216,2
70155011.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,2350 CENTER AVENUE,,PITTSBURGH,PA,15219,2
2262076.0,Cig/OTP Retail,3/30/2016,Issued,2/28/2017,VERONA NEWS INC,754 ALLEGHENY RIVER BLVD,,VERONA,PA,15147,2
4261406.0,Cig/OTP Retail,2/12/2016,Issued,2/28/2017,MDK USA INC,280 MOON CLINTON RD,,MOON TOWNSHIP,PA,15108,2
70155012.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,6481 FRANKSTOWN ROAD,,PITTSBURGH,PA,15206,2
70155013.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,301 CRAFT AVENUE,,PITTSBURGH,PA,15213,2
2253167.0,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,GRK ENTERPRISES LLC,353 FREEPORT RD,,ASPINWALL,PA,15215-3109,2
70155014.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,123 N NEGLEY AVENUE,,PITTSBURGH,PA,15206,2
2267358.0,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,KAMAL TIMSINA,308 CURRY HOLLOW ROAD,,PLEASANT HILLS,PA,15236,2
2267567.0,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,"THE E-SMOKE SHOP, LLC",275 SWISS WAY,,ELIZABETH,PA,15037,2
2267220.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,SIL'S MARKET INC,6000 NOBLESTOWN RD,,OAKDALE,PA,15071-1346,2
2263487.0,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,AZZOUZ ELYAJIZI,507 BESSEMER AVE,,EAST PITTSBURGH,PA,15112-1181,2
2261221.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,Z CORNER STORE LLC,520 PITTSBURGH MILLS CIRC,,TARENTUM,PA,15084,2
2261066.0,Cig/OTP Retail,7/12/2016,Issued,2/28/2017,LADANI UKANI ASSOCIATES LLC,1632 SAW MILL RUN BLVD,,PITTSBURGH,PA,15210-3434,2
2249983.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,DEAN KERKENTZES,824 E PITTSBURGH MALL,,E PITTSBURGH,PA,15112-1208,2
2253746.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,JFB HOSPITALITY INC,1401 E CARSON ST,,PITTSBURGH,PA,15203-1511,2
2267891.0,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,CASH & CARRY GAS STATION,1021 PERRY HIGHWAY,,PITTSBURGH,PA,15237,2
2255667.0,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,SRIJIKRUPA LLC,1019 BROOKLINE BLVD,,PITTSBURGH,PA,15226-2201,2
2262427.0,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,3739 LIBRARY RD,,CASTLE SHANNON,PA,15234-2232,2
2265831.0,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,PAINTERS RUN SHELL,1980 PAINTERS RUN RD,PITTSBURGH,PA,15241-3014,2
2265832.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,PAINTERS RUN MARATHON,1909 PAINTERS RUN RD,PITTSBURGH,PA,15241-3013,2
2265833.0,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,DOUBLE CAR WASH & SHELL,2305 ONEIL BLVD,WHITE OAK,PA,15131-1421,2
2249500.0,Cig/OTP Retail,2/24/2016,Issued,2/28/2017,A & E DELI LLC,105 BROWNSVILLE ROAD,,PITTSBURGH,PA,15210,2
2251698.0,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,BRICKERS LLC,318-320 CEDAR AVENUE,,PITTSBURGH,PA,15212,2
2260329.0,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,ROYLYN LLC,4982 LIBRARY RD,,BETHEL PARK,PA,15102-2831,2
2265100.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,ANS UNITED INC,2003 S BRADDOCK AVENUE,,PITTSBURGH,PA,15218,2
2262463.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,NEHPRI INC,812 E WARRINGTON AVE,,PITTSBURGH,PA,15210,2
70052138.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,Y & M FOODS INC,1350 WILDWOOD RD,,GIBSONIA,PA,15044-7451,2
2263097.0,Cig/OTP Retail,2/3/2016,Issued,2/28/2017,5 RIVERS GROUP INC,7920 SALTSBURG RD,,PLUM,PA,15239-1967,2
2261790.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,ADITYA1 INC,3320 MCINTYRE SQUARE DRIV,7900 MCKNIGHT RD,PITTSBURGH,PA,15237-4096,2
2252331.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,MIRRIC ENTERTAINMENT LLC,100 WATERFRONT DR,,PITTSBURGH,PA,15222-4736,2
70052140.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,ONESTOP STORE INC,818 DUQUESNE BLVD,,DUQUESNE,PA,15110-1524,2
2261173.0,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,AHMED ALSUWIDAN,106 WHITAKER ST,,HOMESTEAD,PA,15120-2427,2
2259573.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,PANDW MINI MART INC,410 SCENERY DR,,ELIZABETH,PA,15037-2053,2
2259779.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,ZEE1 LLC,551 N STATE STREET,,CLAIRTON,PA,15025,2
2265851.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MOHAMMED BENTAZA,500 2ND ST,,PITCAIRN,PA,15140-1477,2
2048175.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,LIVINGSTON PHARMACY INC,550 MILLER AVE,,CLAIRTON,PA,15025,2
2259689.0,Cig/OTP Retail,6/28/2016,Issued,2/28/2017,WILLIAMS & SONS INC,8500 FRANKSTOWN RD,,PITTSBURGH,PA,15235-1044,2
2252050.0,Cig/OTP Retail,3/25/2016,Issued,2/28/2017,CARL NELSON,92 SYLVANIA AVE,,PITTSBURGH,PA,15210-1170,2
2252083.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,ATHWAL PETROLEUM INC,427 BROWNSVILLE RD,,MT OLIVER,PA,15210-2250,2
2258556.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ATHWAL PETROLEUM INC,1643 ARLINGTON AVE,,PITTSBURGH,PA,15210-1722,2
2249985.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HAPPY MINIMART INC,1300A BRODHEAD ROAD,,CORAOPOLIS,PA,15108,2
2253582.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HAPPY MINIMART INC,512 E PITTSBURGH MCKEESPO,,N VERSAILLES,PA,15137-2266,2
2259400.0,Cig/OTP Retail,3/30/2016,Issued,2/28/2017,MOHAMMAD NAVEED,5880 1/2 FORBES AVENUE,,PITTSBURGH,PA,15217,2
2247853.0,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,TCNK INC,7403 WASHINGTON AVE,,SWISSVALE,PA,15218-2520,2
2228194.0,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,JOSEPH KRAINC,5319 ROUTE 8,,GIBSONIA,PA,15044-9617,2
2251514.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,KSK ENTERPRISES INC,616 OLD CLAIRTON RD,,PITTSBURGH,PA,15236-4313,2
2217186.0,Cig/OTP Retail,12/24/2015,Issued,2/28/2017,B T L ENTERPRISES INC,964 ROUTE 8 # 966,,GLENSHAW,PA,15116-2634,2
2256644.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,STICKLER SERVICES LLC,2501 BRIGHTON RD,,PITTSBURGH,PA,15212-2741,2
2267696.0,Cig/OTP Retail,2/10/2016,Issued,2/28/2017,LUNGA VITA DESIGNS INC,150 E MAIN ST,SUITE 100,CARNEGIE,PA,15106,2
2267726.0,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,UNITY TOBACCO & CONVENIENCE STORE LLC,325 UNITY CENTER ROAD,,PITTSBURGH,PA,15239,2
2251244.0,Cig/OTP Retail,7/5/2016,Issued,2/28/2017,RODNEY STEVENSON,7926 FRANKSOWN AVE,,PITTSBURGH,PA,15221,2
2268780.0,Cig/OTP Retail,3/3/2016,Issued,2/28/2017,YANMANG ZHAO,1908 PENN AVE,,PITTSBURGH,PA,15222-4416,2
2216546.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,VERONA FOODS INC,200 ALLEGHENY RIVER BLVD,,VERONA,PA,15147,2
2268210.0,Cig/OTP Retail,4/20/2016,Issued,2/28/2017,DEURALI BAZAR INC,309 BROWNSVILLE ROAD,,PITTSBURGH,PA,15210,2
2251307.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MJS FOODS LLC,184 ROCHESTER RD,,WEST VIEW,PA,15229-1334,2
2253032.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MJS FOODS LLC,2215 TEMPERANCE DR,,PITTSBURGH,PA,15237-1521,2
2260533.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,A & F UNITED CORPORATION,412 BROADWAY AVENUE,,MCKEES ROCKS,PA,15136,2
2260534.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,A & F UNITED CORPORATION,3112 CHARTIERS AVENUE,,PITTSBURGH,PA,15204,2
2000125.0,Cigarette Stamping Agent & Retail,1/11/2016,Issued,2/28/2017,S & S CANDY & CIGAR COMPANY INC,2025 E CARSON ST,,PITTSBURGH,PA,15203-1901,2
2051447.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHERMANS PHARMACY INC,3417 MAIN ST,,MUNHALL,PA,15120-3382,2
2239601.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,825 BEAVER GRADE ROAD,,CORAOPOLIS,PA,15108,2
2259713.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AA & AA UNITED INC,902 WOOD ST,,PITTSBURGH,PA,15221-2128,2
2262640.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CARSON TOBACCO OUTLET LLC,2350 NOBLESTOWN RD,,PITTSBURGH,PA,15205-4128,2
2252294.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,745 WEST INGOMAR ROAD,,INGOMAR,PA,15127,2
2177546.0,Cig/OTP Retail,1/26/2016,Issued,2/28/2017,SCHULERS SERVICE CENTER INC,293 CORLISS ST,,PITTSBURGH,PA,15220,2
2255010.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,4801 MCKNIGHT RD,,PITTSBURGH,PA,15237-3423,2
2264308.0,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,HERMIA HOLDINGS LP,3800 WALNUT ST,,MCKEESPORT,PA,15132,2
2260033.0,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,301 GRANT STREET,,PITTSBURGH,PA,15219,2
2260035.0,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,436 7TH AVE,,PITTSBURGH,PA,15219,2
2230272.0,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,BURGS PIZZA & WING PUB INC,533 WASHINGTON AVE,,BRIDGEVILLE,PA,15017,2
2230915.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,BLUE HAVEN LOUNGE INC,492 NIXON RD,,CHESWICK,PA,15024-1038,2
2261564.0,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,PRESTO QWIK STOP,5237 THOMS RUN ROAD,,PRESTO,PA,15142,2
2257617.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,700 BEULAH ROAD,,TURTLE CREEK,PA,15145,2
2264797.0,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,310 GRANT ST,LOBBY - STORE,PITTSBURGH,PA,15219,2
2265329.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AVALON FUEL COMPANY,901 OHIO RIVER BOULEVARD,,PITTSBURGH,PA,15202,2
2234279.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,GROGAN BEVERAGE DISTRIBUTORS INC,840 4TH AVE,,CORAOPOLIS,PA,15108-1569,2
2249158.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,ALLEGHENY SMOKEWORKS INC,217 FREEPORT RD,,BLAWNOX,PA,15238-3432,2
2265652.0,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,MONTATHAR KEDHIM,1412 RADFORD ROAD,,PITTSBURGH,PA,15227,2
2265746.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AK & AK UNITED INC,1901 5TH AVENUE,,PITTSBURGH,PA,15219,2
2256068.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PALSUN CHUONG,2208 ARLINGTON AVE,,PITTSBURGH,PA,15210,2
2181149.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TUBE CITY CAFE INC,901 5TH AVE,,MCKEESPORT,PA,15132-2412,2
2247232.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WILLYS BEER & BEVERAGE COMPANY INC,1343 FREEPORT RD,,CHESWICK,PA,15024-1214,2
2238995.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,HAPPY DAY LOUNGE INC,313 NORTH AVE,,PITTSBURGH,PA,15209,2
70052139.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,MOHAMMAD ASIF REHANA SIDDIQUI,321 CAMP HOLLOW ROAD,,WEST MIFFLIN,PA,15122,2
2257021.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,TWO LOUIES MARKET INC,1233 PENN AVENUE,,PITTSBURGH,PA,15222,2
2211221.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,LUIGIS PLACE INC,401 LINCOLN HWY,,N VERSAILLES,PA,15137,2
2191503.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,B C HANNA FOODS INC,125 VIRGINIA AVE,,MOUNT WASHINGTON,PA,15211-1611,2
2250833.0,Cig/OTP Retail,3/17/2016,Issued,2/28/2017,GARY DUDA,393 VANADIUM RD STE 103,,PITTSBURGH,PA,15243-1478,2
2216371.0,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,JOSEPH KLIMKO,1116 BELL AVE,,BRADDOCK,PA,15104-2670,2
2212236.0,Cig/OTP Retail,6/15/2016,Issued,2/28/2017,ROBERT J DRUGA,523 LINCOLN AVE,,BELLEVUE,PA,15202-3548,2
2254769.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,NINAS MINI MART INC,6700 UNIVERSITY BLVD,,CORAOPOLIS,PA,15108-2584,2
2219536.0,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,SYED INC,1101 S BRADDOCK AV,,PITTSBURGH,PA,15218,2
2223402.0,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SCOZIO SUPERMARKETS INC,2001 LINCOLN WAY,,WHITE OAK,PA,15131,2
2257689.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,PIPA GROUP LLC,503 MARTINDALE ST,SUITE 100,PITTSBURGH,PA,15212,2
2201636.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ROMARK FOODS INC,51 WALSH ROAD,,PITTSBURGH,PA,15205,2
2233927.0,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,FLOYDS CONFECTIONARY,10 RIVER RD,,NATRONA,PA,15065,2
70052143.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,S&I CORP,285 MT LEBANON BLVD,,PITTSBURGH,PA,15234,2
2247433.0,Cig/OTP Retail,1/22/2016,Issued,2/28/2017,B JS BARS UNLIMITED INCORPORATED,BRIAN ALLENBAUGH,1720 MURRAY AVE,PITTSBURGH,PA,15217,2
2258674.0,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,GEORGE WELLINGER,136 NINTH STREET,,PITTSBURGH,PA,15222,2
2255779.0,Cig/OTP Retail,2/17/2016,Issued,2/28/2017,JOMARIE PICCINI,3100 VERSAILLES AVE,,MCKEESPORT,PA,15132,2
2267236.0,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,ROSSS MARKET LLC,1850 CENTRE AVE,,PITTSBURGH,PA,15219-4306,2
2268715.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,EXCUSES UNLIMITED INC,2526 EAST CARSON STREET,,PITTSBURGH,PA,15203,2
2267371.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PITA LAND INC,620 BROOKLINE BLVD,,PITTSBURGH,PA,15226-2004,2
2206176.0,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,DALE ANLAUF,214 RODI RD,,PENN HILLS,PA,15235,2
2217161.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SAVE MOR BEER & POP WAREHOUSE INC,4516 BROWNS HILL ROAD,,PITTSBURGH,PA,15217,2
2267872.0,Cig/OTP Retail,3/1/2016,Issued,2/28/2017,KUMARS ASSOCIATIONS INC,4201 PENN AVE,,PITTSBURGH,PA,15224,2
2268185.0,Cig/OTP Retail,5/4/2016,Issued,2/28/2017,SYED SHAN,625 STANWIX ST,,PITTSBURGH,PA,15222-1417,2
2268007.0,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,SECOND IMPRESSIONS NEW & USED LLC,350 CENTER AVE,,PITTSBURGH,PA,15229-1959,2
2262232.0,Cig/OTP Retail,3/8/2016,Issued,2/28/2017,FRIEND PROPERTIES INC,3739 LIBRARY RD,,PITTSBURGH,PA,15234-2232,2
2263638.0,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,SMOKE CIGAR SHOP & LOUNGE INC,1597 WASHINGTON PIKE STE A16,,BRIDGEVILLE,PA,15017-2874,2
2264247.0,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,3 DS TOBACCO LLC,3604 5TH AVENUE,,PITTSBURGH,PA,15213,2
2264310.0,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,CORDELIA HOLDINGS LP,5738 SMITHFIELD ST,,MCKEESPORT,PA,15135,2
2264569.0,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,NEW CONTINENTAL SMOKE SHOP LLC,2210 MURRAY AVE,,PITTSBURGH,PA,15217,2
70053020.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,OMNI WILLIAM PENN HOTEL,,PGH,PA,15230,2
70053027.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,US STEEL BUILDING,,PGH,PA,15219,2
2262843.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SAHIL INC,5815 LIBRARY RD,,BETHEL PARK,PA,15102-3333,2
70053035.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,ONE MELLON TOWER,,PGH,PA,15219,2
2264782.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,SAIKRIPA INCORPORATED,620 LINCOLN AVE,,BELLVIEW,PA,15202,2
2263198.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,JAY SHAKTI LLC,995 GREENSBURG PIKE,,EAST PITTSBURGH,PA,15112,2
2264241.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHREE SITARAM ENTERPRISE INC,3402 MAIN STREET,,MUNHALL,PA,15120,2
2215368.0,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,MARCKISOTTO MARKETS INC,1705 S BRADDOCK AVE,,PITTSBURGH,PA,15218-1865,2
2225190.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,JEFFREY DECKER,838 E WARRINGTON AVE,,PITTSBURGH,PA,15210,2
70052032.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 11 FOOD STORE 146 4,10 W PROSPECT AVE & INGRAM AVE,,PITTSBURGH,PA,15205,2
2258220.0,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,TULSI OIL CORP,351 STANHOPE ST,,PITTSBURGH,PA,15204-1333,2
2263515.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SOOK KIM,490 EAST NORTH AVE,STE 101,PITTSBURGH,PA,15212-4740,2
2259572.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,GUJJAR CORPORATION,2601 SOUTH BRADDOCK AVENU,,SWISSVALE,PA,15218,2
2260279.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,RLC BOTTLE SHOP LLC,1301 PITTSBURGH STREET,,CHESWICK,PA,15024,2
2259944.0,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,OM SHIVA GROUP INC,238 E 8TH AVE,,HOMESTEAD,PA,15120-1516,2
2259900.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,ZEE2 LLC,448 PITTSBURGH ST,,SPRINGDALE,PA,15144-1408,2
2260375.0,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,LIBERTY GASOLINE SERVICE LP,2615 LIBERTY WAY,,MCKEESPORT,PA,15133,2
70052039.0,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,ROBERT VIETMEIER,850 BOYCE ROAD,,BRIDGEVILLE,PA,15017,2
2224979.0,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,CRAIG LENNIX,2532 BROWNSVILLE RD,,PITTSBURGH,PA,15210,2
2264988.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,JAY GANESH OIL CORPORATION INC,533 BROOKLINE BOULEVARD,,PITTSBURGH,PA,15226,2
2261434.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AKSHAR GAS & YOUGH LAKE SPORTS SHOP CORP,2524 APPLETREE DRIVE,,PITTSBURGH,PA,15241,2
2261576.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,KRISH OIL CORPORATION INC,411 PERRY HWY,,PITTSBURGH,PA,15229-1818,2
2240647.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CASH MARKET INC,1017 4TH AVE,,CORAOPOLIS,PA,15108,2
2051392.0,Cig/OTP Retail,1/13/2016,Issued,2/28/2017,Oakmont Country Club,1233 HULTON ROAD,,OAKMONT,PA,15139,2
2263244.0,Cig/OTP Retail,6/20/2016,Issued,2/28/2017,LOHMANS BEER DISTRIBUTOR LLC,2614 BRANDT SCHOOL ROAD,,WEXFORD,PA,15090,2
2231266.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,FIFTH AVENUE FOODLAND INC,815 FIFTH AVE,,MCKEESPORT,PA,15132-2509,2
2234508.0,Cig/OTP Retail,5/2/2016,Issued,2/28/2017,BOBS AUTOTORIUM INC,1408 RIVER RD,,HOMESTEAD,PA,15120-2302,2
2248643.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,EAST COURSE INC,1233 HULTON ROAD,,OAKMONT,PA,15139-1199,2
2228666.0,Cig/OTP Retail,2/25/2016,Issued,2/28/2017,J MAURO & SONS AMOCO,7409 SALTSBURG RD,,PITTSBURGH,PA,15235-3632,2
2252335.0,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,NICO RECOVERY ROOM INC,176 178 PEARL ST,,PITTSBURGH,PA,15224,2
2259775.0,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,AKSHAR CONVENIENCE CORP,298 KNOEDLER RD,,PITTSBURGH,PA,15236-2705,2
2266682.0,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,DES DRAGONS INC,15 FOSTER AVE,,PITTSBURGH,PA,15205-2351,2
2237151.0,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,55 BEER INC,450 56TH ST UNIT E,,PITTSBURGH,PA,15201-2322,2
2266182.0,Cig/OTP Retail,3/8/2016,Issued,2/28/2017,DOLGENCORP LLC,28 MONONGAHELA AVE,,GLASSPORT,PA,15045-1315,2
2266198.0,Cig/OTP Retail,2/22/2016,Issued,2/28/2017,DOLGENCORP LLC,12818 FRANKSTOWN RD,,PENN HILLS,PA,15235-1947,2
2266215.0,Cig/OTP Retail,2/22/2016,Issued,2/28/2017,DOLGENCORP LLC,325 E 8TH AVE,,HOMESTEAD,PA,15120-1517,2
2266229.0,Cig/OTP Retail,2/22/2016,Issued,2/28/2017,DOLGENCORP LLC,5724 SMITHFIELD ST,,MCKEESPORT,PA,15135-1135,2
