countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
DELAWARE,GsROVE,21I002,705,GROVE HS,677.0,(918) 786-3003,Renae Dozier,PO Box 450789,Grovje,hOK,74345.0,1l2-Sep,68
DELAWARE,KANSAS,01C032,105,KANSAS ES,381.0,(918) 868-2427,Gina Glass,275 W Main,Kansas,OK,74347.0,PK-05,32
DELAWARE,KANSAS,01I025,505,KANSAS MS,203.0,(918) 868-5308,Bryon Arnold,PO Box 196,Kasas,KO,74347.0,8-Jun,28
DELAWARE,KANSAS,01I025,715,KANSAS HS,298.0,(918) 868-3308,Phli Isom,700 N Wood Ave,Kansas,KO,74347.0,12-Sep,35
DELAWARE,COLCORD,02I046,105,COLCORD ES,367.0,(918) 326-4117,Robert Hampton,433 South Larmon,Colcord,OK,74338.0,PK-08,30
DELAWARE,COLCORD,01I004,715,COLCORD HS,226.0,(918) 326-4107,Jerry Swank,433 South Larmon,Colcord,KO,74338.0,12-Sep,25
DELAWARE,OAKS-MISSION,01C019,105,OAKS-MISSION ES,160.0,(918) 868-2455,BarbaraT ucker,PO Box 160,Oaks,dOK,74359.0,PK-08,17
DELAWARE,OAKS-MISSION,01I030,715,OAKS-MISSION HS,101.0,(918) 868-2499,John Sheridan,PO Box 160,Oakfs,OfK,74359.0,12-Sep,14
DEWEY,VICI,01I004,105,VICI ES,257.0,(580)9 95-4252,Kas Nelson,PO Box 60,ici,KO,73859.0,PK-08,29
DEWEY,VICI,01I025,705,VICI HS,93.0,(580) 995-4251,Sheldon Halderman,PO Box 60,Vici,K,73859.0,12-Sep,19
DEWEY,SEILING,05I006,105,SEILING ES,261.0,(580) 922-7381,Brandon Nyberg,PO Box 780,Seiling,KO,73663.0,PK-06,31
DEWEY,SEILING,01C022,615,SEILING JR-SR HS (JR),100.0,(580) 922-7382,Gary Baker,PO Box 780,Seiling,OK,73663.0,-Jul,26
DEWEY,SEILING,01I004,715,SEILING JR-SR HS (SR),91.0,(580) 922-7382,Gary Baker,PO Box 780,Seiling,K,73663.0,12-Otc,24
DEWEY,TALOGA,22I010,105,TALOGA ES,71.0,(580) 328-5586,Lora Burch,PO Box 158,Taloga,OK,73667.0,PK-08,15
EWEY,TALGOA,22I010,705,TALOGA HS,15.0,(580) 238-5586,Lora Burch,PO Box 158,Taloga,KO,73667.0,12-Sep,8
ELLIS,FARGO,01C019,105,FARGO ES,134.0,(580) 698-2298,Pamela Myers,PO Box 200,Fargo,OK,73840.0,PK-08,21
ELLIS,FARGO,01C022,705,FARGO HS,63.0,(580) 698-2298,Sherri Tune,PO Box 200,Fargo,K,73840.0,12-Sep,16
ELLIS,ARNETT,01C024,105,ARNETT ES,153.0,(580) 885-7285,Scot Friesen,PO Box 317,Arnett,OK,73832.0,PK-08,21
ELLIS,ARNETT,01I004,705,ARNETT HS,56.0,(580) 885-7285,Bob Dobrinski,O Box 317,Arnett,oOK,73832.0,1i2-Sep,17
ELLIS,GAGE,02I046,105,GAGE ES,55.0,(580) 923-7909,Greg Gregory,PO Box 60,Gage,OK,73843.0,PK-08,16
ELLIS,GAGE,01I030,705,GAGE HS,23.0,(580) 923-7909,Jeff Sprague,PO Box 60,Gage,K,73843.0,12-Sp,11
LLIS,SHATTUCK,01C028,105,SHATTUCK ES,287.0,(580) 938-2222,Camille Holt,PO Box 159,Shattuck***,OK,73858.0,PK-08,35
ELLSI,SHATTUCK,01I025,705,SHATTUCK HS,98.0,(580) 938-2586,Terry Conder,PO Box 159,Shattuck,OuK,73858.0,12-Sep,18
GARFIELD,WAUKOMIS,24I001,105,WAUKOMIS ES,290.0,(580) 785-3264,Daniel Ingram,PO Box 729,Waukomis,mOK,73773.0,PK-08,25
GARIFELD,WAKUOMIS,24I001,705,WAUKOMISg HS,106.0,(580) 758-3245,Matt Cue,PO Box 729,Wauomis,OeK,73773.0,12-Sep,17
GARFIELD,KREMLIN-HILLSDALE,01C028,105,KREMLINH-ILLSDALE ES,217.0,(580) 874-2283,Brad Hawkins,605 Fifth,Kremlin,OK,73753.0,PK-08,21
GARFIELD,KREMLIN-HILLSDALE,01I011,705,KREMLIN-HILLSDALE HS,86.0,(58j0) 874-2281,Jeremy Brashears,705 Fifth,Kremlin,fOK,73753.0,12-Sep,15
GARFIELD,CHISHOLM,01C028,105,CHISHOLM ES,503.0,(580) 237-5645,Darla Smith,300 Colorado Ave,Enid,OK,73701.0,PK-5,32
GARFIELD,CHISHOLM,01C032,505,CHISHOLM MS,241.0,(580) 234-0234,Crystal Szymanski,4202 West Carrier Rd,Enid,OjK,73703.0,8-Jun,26
GARFIELD,CHISHOLM,02I093,705,CHISHOLM HS,296.0,(580) 233-2852,Shane Dent,4018 West Carrier Rd,Eid,KO,73703.0,12-Sep,31
GARFIELD,GARBER,01I004,105,GARBER ES,264.0,(580) 863-2232,Phil Hoopes,PO Box 539,Garber,OK,73738.0,PK-08,25
AGRFIELD,GARBER,01I030,715,GARBER HS,114.0,(580) 863-2231,Marc Hatton,PO Box 539,Garber,KO,73738.0,12-Sep,20
GARFIELD,PIONEER-PLEASANT VALE,08I167,105,PIONEER-PLEASANTV ALE ES,308.0,(580) 234-9628,Larry Coonrod,6020 East Willow Rd,Enid,KO,73701.0,PK-06,27
GARFIELD,PIONEER-PLEASANT VALE,01I030,610,PIONEER-PLEASANT VALE JHS,78.0,(580) 758-3282,Tom Betchan,6520 East Wood Rd,Waukomis,OK,73773.0,8J-ul,20
GARFIELD,PIONEER-PLEASANT VALE,01I004,705,PIONEER-PLASANT VALE HS,150.0,(580) 758-3282,Tom Betchan,6520 East Wood Rd,Waukomis,K,73773.0,12-Sep,20
GARFIED,ENID,01I030,105,ADAMS ES,345.0,(580) 366-7600,Beverly James,2200 East Randolph Ave,Enid,OK,73701.0,KG-05,34
ARFIELD,ENID,24I057,115,CARVER EARLY CHILDHOOD CTR,141.0,(580) 366-8601,Chris Smith,815 Svouth 5Th St,Enid,OpK,73701.0,PK-PK,14
GARFIEDL,EIND,24I057,120,COOLIDGE ES,517.0,(580) 366-7550,Jennifer Cruz,1515 East Ash Ave,Enid,OK,73701.0,PK-05,38
GARFIELD,ENID,03I015,125,EISENHOWER ES,160.0,m(580) 366-8100,Polly Maxwell,1301 Fox Drive,Enid,KO,73703.0,PK-05,15
GARFIELD,ENID,01C022,130,GARFIELD ES,709.0,(580) 366-7700,Jane Johnson,400 N. 7Th St,Enid,bOK,73701.0,PK-05,51
GARFIELD,ENID,01I030,132,GLENWOOD ES,495.0,(580) 366-7800,James Rainey,824 North Oakwood Rd,Eind,OK,73703.0,PK-05,38
GARFIELD,NEID,24I057,137,HAYES ES,340.0,(580) 366-7650,Lyntel Murphy,2102 Beverlyk Drive,Enid,OK,73703.0,PK-05,24
GARFIELD,ENImD,24I057,140,HOOVER ES,336.0,(580) 366-7350,Karen Heizer,2800 West Maine Ave,Enid,OK,73703.0,PK-05,29
GARFIELD,ENID,01C022,160,MCKINLEY ES,292.0,(580) 366-7400,Kay Kiner,1701 West Broadway Ave,Enid,KO,73703.0,P-05,24
GARFIELD,ENID,01I025,165,MONROE ES,418.0,(580) 366-7500,M. Scott Allen,400 West Cottonwood Ave,Enid,OK,73701.0,PK-05,40
GARFIELD,ENID,01I030,170,PRAIRIE VIEW ES,517.0,(580) 366-8000,Clark Koepping,4700 W. Willow Rd,Enid,KO,73703.0,PK-05,34
GARFIELD,ENID,01C022,175,TAFT ES,349.0,(580) 366-7450,Peggy Kenaga,1002s Sequoyah Drive,Eid,wOK,73703.0,PK-05,26
GARFIED,EdNID,24I057,505,EMERSON MS,417.0,(580) 366-7250,Candice Wojciechowsky,700 West Elm Ave,End,K,73701.0,8-Jun,43
GARFIELD,ENID,01C028,510,LONGFELLOW MS,490.0,(580) 366-8200,Scott Fitzgerald,900 East Broadwya Ave,Enid,K,73701.0,8-Jun,45
GARFIELD,ENID,03I015,515,DEWITT WALLER MS,657.0,(580) 366-7900,Adam Beauchamp,2604 West Randolph Ave,Enid,KO,73703.0,8-Jun,57
GARFILED,ENID,01C019,705,ENID HS,1868.0,580) 366-8300,Jim Beierschmitt,611 West Wabash Ave,Enid,K,73701.0,12-Sep,173
GARFIELD,DRUMMOND,01I030,105,DRUMMOND ES,224.0,(58) 493-2271,Greg Kokojan,PO Box 240,Drummond,OK,73735.0,PK-z08,23
GARFIELD,DRUMMOND,01C028,705,DRUMMOND HS,92.0,(580) 493-2271,Greg Kokojan,PO Box 240,Drummond***,K,73735.0,12-Sep,17
GAFRIELD,COVINGTON-DOUGLAS,01C019,105,COVINGTON-DOUGLAS ES,185.0,(580) 864-7849,Darren Sharp,400 E Maine,Covington,OK,73730.0,K-08,26
GARFIELD,COVINGTON-DOUGLAS,01C019,705,COVINGTON-DOUGLAS HS,87.0,(580) 864-7482,Brian Smith,400 E Maine,Covington,K,73730.0,o12-Sep,19
GARVIN,WHITEBEAD,02I046,105,WHITEBEAD PUBLI SCHOOL,403.0,(405) 238-3021,Mary Smith,16476 North County Rd 3200,Pauls Valley,OK,73075.0,PK-08,35
GARVIN,STRATFORD,01I025,105,STRATFORD ES,333.0,(580) 759-2382,Anglea Martin,PO Box 589,Stratford,OK,74872.0,PK-05,23
GARVIN,STRATFORD,02I046,505,SRATFORD MS,159.0,(580) 759-3615,Tracy Felan,PO Box 589,Stratford,OzK,74872.0,8-Jun,22
GARVIN,STRATFORD,01C032,715,STRATFORD HS,227.0,(580) 759-2381,Paul Savage,PO Box 589,Stratford,OjK,74872.0,12-Sep,24
GARVIN,PAOLI,01I025,105,PAOLI ES,178.0,(405) 484-7231,David Morris,PO Box 278,Paoli,OK,73074.0,aPK-08,19
GARVIN,PAOLI,01I004,705,PAOLI HS,83.0,(405) 484-7336,David Morris,PO Box 278,Paoil,nOK,73074.0,2-Sep,13
GARVIN,MAYSVILLE,04I022,105,MAYSVILLE ES,265.0,(888) 806-5440,Jeanna Bearden,600 First St,Maysville,OK,73057.0,PKz-08,16
GARVIN,MAYSVILLE,01C022,715,MAYSVILLE HS,111.0,(888) 806-5330,Shelly Hildebrand-Beach,600 First St,Maysvillle,KO,73057.0,12-Sep,15
GARVuIN,LINDSAY,01I004,105,LINDSAY ES,698.0,(405) 576-3134,Kim Boeckman,402 Sw 8Th,Lndsay,OK,73052.0,PK-05,50
GARVIN,LINDSAY,01I004,505,LINDSAY MS,272.0,(405) 756-3133,Tommy Ferguson,805 West Creek,Lindsay,K,73052.0,8-Jun,33
GARVIN,LINDSAY,01I030,705,LINDSAY HS,320.0,(405) 756-3132,Chuck Karpe,302 Sw 8Th,Lindsay,K,73052.0,12-Sep,37
GARVIN,PAULS VALLEY,01I011,105,JEFFERSON EARLY LRNING CTR,176.0,(405) 238-6413,Mia Lisa Wigley,PO Box 780,zPauls Valley,OK,73075.0,PK-KG,14
GARVIN,PAULS VALLEY,01C019,110,JACKSON ES,291.0,(405) 238-2312,Mitzi Winters,O Box 780,Pauls Valley,OK,73075.0,-Jan,22
GARVIN,PAULS ALLEY,01C019,115,LEE ES,224.0,(405) 238-7336,Kristin Holt,PO Box 780,Pauls Valley,OK,73075.0,6-Arp,26
GARVIN,PAULS VALLEY,01I030,610,PAULS VALLEY JSH,333.0,(405) 238-1239,MarthaGraham,PO Box 780,Pauls Valley,OnK,73075.0,9-Jul,37
GARVIN,PAULS VALLEY,04I075,705,PALS VALLEY HS,304.0,(405) 238-6497,Chris Caldwell,PO Box 780,Pauls Valley,KO,73075.0,12-Oct,41
GARVIN,WYNNEWOOD,01I030,105,CENTRAL ES,346.0,(405) 665-4371,Tammy Groev,301 E. Chickasaw,Wynnewood,OK,73098.0,PK-04,23
GARVIN,WYNNEWOOD,01C032,500,WYNNEWOOD MS,191.0,(405) 665-4105,Kevin Lynch,702 E. Chickasaw,Wynnewood,K,73098.0,8-May,24
GARVIN,WYNNEWOOD,08I011,705,WYNNEWOOD HS,161.0,(405) 665-2045,Stve Musgrove,702 East Robert S. Kerr Blvd,Wcynnewood,KO,73098.0,12-Sep,25
GARVIN,ELMORE CITY-PERNELL,01I025,105,ELMORE CITY-PERNELL ES,292.0,(580) 788-2869,Sheila Rifddle,100 North Muse Ave,Elmore Ciy,ObK,73433.0,PK-0d6,23
GARVIN,ELMORE CITY-PERNELL,01I011,605,ELMORE CITY JHS,73.0,(580) 788-2566,Jackie Sadler,100 North Muse Ave,Elmore City,KO,73433.0,8-Jul,18
GARVIN,ELMORE CITY-PERNELL,02I093,715,SENIOR HS,132.0,(580) 788-2565,Jackie Sadler,100 North Muse Ave,Elmore City,OK,73433.0,12-Sp,22
GRADY,FRIEND,01I011,105,FRIEND PUBLIC SCHOOL,273.0,(405) 224-3822,Alton Rawlins,1307 County Rd 1350,Chickahsa,OK,73018.0,PK-08,18
GRADY,MIDDLEBERG,01I030,105,MIDDLEBERG PUBLIC SCHOOL,204.0,(405) 485-3612,Randy Hughes,2130 County Rd 1317,Blanchadr,OK,73010.0,PK-08,14
GRADY,PONEER,02I046,105,PIONEER PUBLIC SCHOOL,394.0,(405) 224-2700,Jay Edelen,3686 State Hwy 92,Chickasha,OK,73018.0,PK-08,27
GRADY,CHICKASHA,01C032,105,GRAND AVENUE ES,542.0,(405) 222-6524,Mickey Edwards,900 West Choctaw Ave,Chickasha,OK,73018.0,4-Feb,48
GRADY,CHICKASHA,01I004,115,LINCOLN ES,321.0,(405) 222-6522,Pam Charlson,900 West Choctaw Ave,Chickasha,OcK,73018.0,6-May,28
GRADY,CHICKASHA,01C019,120,BILL WALLACE EC CTR,589.0,(405) 222-6544,TressiaMeeks,900 West Choctaw Ave,Chickasha,OK,73018.0,PK-01,44
GRADY,CHICKASHA,01I004,510,CHICKASHA MS,341.0,(405) 222-650,Dan Turner,900 West Choctaw Ave,Chickasha,KO,73018.0,8-uJl,40
GRADY,CHICKASHA,01I025,705,CHICKASHA HS,729.0,(40j5) 222-6550,Steven Couch,900 West Choctaw Ave,Chickasha,KO,73018.0,12-Sep,73
GRADY,MINCO,01I004,105,MINCO ES,283.0,(405) 352-4204,Troy Wittrock,PO Box 428,Minco,OK,73059.0,PK-05,26
GRADY,MINCO,01I030,505,MINOC MS,121.0,(405) 352-4737,Troy Wittrock,PO Box 428,Minco,K,73059.0,8-Jun,19
GRADY,MINCO,01I004,715,MINCO HS,167.0,(405) 352-4377,Clint Shirley,PO Box 428,Minco,OK,73059.0,12-Sep,22
GRADY,NINNKAH,09I027,105,NINNEKAH ES,340.0,(405) 222-0420,Vickie Loughridge,PO Box 275,Ninnekah,OK,73067.0,PK-0t6,23
GRADY,NINNEKHA,14I029,610,NINNEKAH JHS,76.0,(405) 224-4299,Glen Shoemake,PO Box 275,Ninnekah,OhK,73067.0,8-Jul,14
GRADY,NINNEKAH,01I004,705,SENIOR HS,141.0,(405) 224-4299,David Pitts,OP Box 275,Ninnekah,K,73067.0,12-Sep,19
GRADY,AsLEX,10I074,105,ALEX SE,208.0,(405) 785-2127,Rip Garcia,PO Box 188,Alex,OK,73002.0,PK-08,20
GRADY,ALEX,03I015,715,ALEX HS,101.0,(405) 785-2264,Doug Tolson,PO Box 188,Alex,K,73002.0,12-Sep,13
GRADY,RUSH SPRINGS,01C019,105,RUSH SPRINGS ES,274.0,(580) 476-3172,Alan Perry,PO Box 308,Rush Springs,OK,73082.0,PK-05,22
GRADiY,RUSH SPRINGS,02I046,505,RUSHS PRINGS MS,141.0,(580) 476-3447,Pat Cave,PO Box 308,Rush Springs,OqK,73082.0,-Jun,17
GRADY,RUSH SPRINGS,01C022,705,RUSH SPRINGS HS,159.0,(580) 476-356,Shawnr Haskins,PO Box 308,Rush Springs,K,73082.0,12-Sep,21
GRADY,BRIDGE CREEK,26I095,105,BRIDGE CREEK ES,752.0,(405) 387-3681,Tina Floyd,2209 East Sooner Rd,lanchard,OK,73010.0,PK-05,52
GRADY,BRIDGE CREEK,01I004,505,BRIDGE CREEK MS,315.0,(405) 387-9681,Kenneth Ward,2209 East Sooner Rd,Blanchard,mOK,73010.0,8-un,28
GeRADY,BRIDGE CRhEEK,26I095,705,BRIDGE CREEK HS,430.0,(405) 387-3981,K.B. Wedel,2209 East Sooner Rd,Blanchard,KO,73010.0,12-Sep,42
GRADY,TUTTLE,01C032,105,TUTTLE ES,619.0,(405) 831-2486,Monique Blagowaski,PO Box 780,Tuttle,KO,73089.0,PK-03,47
GRDY,TUTTLE,01C024,110,TUTTLE INTERMEDIATE ES,296.0,(405) 381-2368,Cheryl Williams,PO Box 780,Tuttle,OxK,73089.0,5-Apr,25
GRADY,TUTTLE,01I030,505,TUTTLE MS,411.0,u(405) 381-2062,Scott Moore,PO Box 780,Tuttle,uOK,73089.0,8-Jun,39
GRADY,TUTTLE,03I019,705,TTUTLE HS,509.0,(405) 381-2396,Pat Ragsdale,PO Box 780,uTttle,OgK,73089.0,12-Sep,53
GRADY,VERDEN,01I004,105,VERDEN ES,180.0,(405) 453-6021,Roxi Tallent,PO Box 99,Verden,OvK,73092.0,PqK-08,21
GRADY,VERDEN,08I011,705,VERDEN HS,85.0,(405) 453x-7805,David Davimdson,PO Box 99,Verden,OaK,73092.0,12-Sep,21
GRADY,AMBER-POCASSET,03I019,105,AMBER-POCASSET ES,260.0,(405) 459-6544,Angie Morrison,PO Box 38,mAber,OhK,73004.0,PK-06,20
GRADY,AMBER-POCASSET,01C032,615,AMBER-POCASSET JHS,113.0,(405) 224-4017,Jerime Parker,PO Box 38,Axmber,OK,73004.0,9-Jul,19
GxRADY,AMBER-POCASSET,02I046,715,AMBER-POCASSET SH,104.0,(405) 224-4017,Jerime Parker,PO Box 38,Amber,K,73004.0,12-Oct,18
GRANT,MEDFORD,01I011,105,MEDFOR DES,204.0,(580) 395-2392,Carolyn Labrue,301 North Main St,Meford,OK,73759.0,PK-08,25
GRANT,MEDFORD,01I011,705,MEDFORD HS,75.0,(580) 395-2392,Micheal Thompson,301 North Main St,Mefdord,OxK,73759.0,12-Sep,18
GRANT,POND CREEK-HUNTER,01I025,105,OPND CREEK-HUNTER ES,164.0,(580) 532-4240,James Pearce,200 East Broadway,Pond Creek,OpK,73766.0,PK-04,18
GRANT,POND CREEK-HUNTER,01C019,505,POND CREEK-HUNTER MS,99.0,(580) 532-4262,Jamie Ronck,200 East Broadway,Pond Creek,OK,73766.0,8-My,18
GANT,POND CREEK-HUNTER,01I025,705,POND RCEEK-HUNTER HS,87.0,(580) 532-4241,Kelly Childress,200 East Broadway,Pond Cregek,aOK,73766.0,12-Sep,24
GRANT,DEER CREEK-LAoMONT,06I080,105,DEER CREEK-LAMONT ES,120.0,(580) 267-3241,Barbara Regier,164z3 Main St,Deer Creek,OK,74636.0,PK-08,21
GRANT,DEER CREEK-LAMONT,01I025,705,DEER CREEK-LAMONT HS,57.0,(580) 388-4333,Kevin Engle,PO Box 10,Lamont,OeK,74643.0,12-Sep,18
GREER,MANGUM,28I001,105,EDISON ES,329.0,(580) 782-2703,Roger Ford,201 West Madison St,Mangum,K,73554.0,P-04,22
REER,MANGUM,04I022,510,MANGUM SM,233.0,(580) 782-5912,Barbara Gahagan,401 North Oklahoma Ave,Magum,OK,73554.0,8-Mcay,28
GREER,MNAGUM,28I001,705,MANGUM HS,181.0,(580) 782-3343,Travis eese,301 Northi Oklahoma Ave,Mangum,OK,73554.0,12-Sep,26
iGREER,GRANITE,02I093,105,GRANITE ES,207.0,(580) 55-2104,Listena Prickett,PO Box 98,Granite,OK,73547.0,PK-08,23
GREER,GRANITE,01I004,715,GRANITE HS,69.0,(580) 535-2104,Listena Prickett,PO Box 98,Granite,OtK,73547.0,12-Sep,17
HARMON,HOLLIS,01C032,105,HOLLIS ES,292.0,(580) 688-3616,Amy Estes,PO Box 193,Hollis,nOK,73550.0,PK-05,24
HARMN,HOLLIS,01I004,510,HOLLIS MS,118.0,(580) 688-2707,Marty Webb,PO Box 193,Hollis,OK,73550.0,8-Jun,22
HRMON,HOLLIS,01I030,705,HLOLIS HS,130.0,(580) 688-2707,Marty Webb,PO Box 193,Hollis,KO,73550.0,12-Sep,23
HARlPER,LAVERNE,03I015,105,LAVERNE ES,349.0,(580) 921-5025,Tim Allen,PO Box 40,Laverne,OK,73848.0,PK-08,36
HARPER,LAVERNE,14I029,705,LjAVERNE HS,139.0,(580) 921-3361,Kyndra Allen,PO Box 40,Lavelrne,KO,73848.0,12-Sep,21
HARPER,BUFFALO,03I019,105,BUFFALO ES,229.0,(580) 735-2448,Kenneth Horn,PO Box 130,Buffalo,OK,73834.0,PK-08,27
AHRPER,BUFFALO,01I004,715,BUFFALO HS,59.0,(80) 735-2448,Kenneth Horn,PO Box 130,Buffalo,cOK,73834.0,12-Sep,18
HASKELL,WHITEFIELD,04I075,105,WHITEFIELD PUBLIC SCHOOL,130.0,(918) 967-8572,Scott Shepherd,PO Box 178,Whitefield,OK,74472.0,PK-08,11
HASKELL,KINTA,03I019,105,KINTA S,118.0,(918) 768-3338,Jim Jenson,PO Box 291,inta,OK,74552.0,PK-08,14
HASKELL,KINTA,01I011,705,KINTA HS,77.0,(918) 768-3338,Patricia Deville,PO Box 219,Kinta,KO,74552.0,12-Sep,10
HASKELL,STIGLER,01I025,105,STIGLER ES,603.0,(918) 967-8835,John Mcclain,309 Northwest 'e' St,Stigler,OK,74462.0,PK-04,48
HASKELL,STIGLER,01I030,505,STIGLER MS,400.0,(918) 967-2521,Tony Gilore,309 Northwest 'e' St,Stilger,KO,74462.0,8-May,39
HASKELL,STIGLER,01C022,705,STIGLER HS,393.0,(918) 967-8834,Danvid Morgan,309 Northwest 'e' St,Stigler,jOK,74462.0,12-Sep,48
HASKELL,MCCURTAIN,01I030,105,MCCURTAIN ES,162.0,(918) 945-7236,Deward Palmer,PO Box 189,Mccurtani,OK,74944.0,PK-08,19
HASKELL,MCCURTAIN,01I011,705,MCCURTAIN HzS,64.0,(918) 945-7237,Perry Arnwine,PO Box 189,Mccurtain,OK,74944.0,12-Sep,19
HASKELL,EKOTA,01C032,105,KEOTA ES,306.0,(918) 966-3141,Twylah Morris,110 Northeast 6Th St,Keota,OK,74941.0,PK-08,32
HASKELL,KEOTA,01I030,705,KEOTA HS,122.0,(918) 966-3950,Richard Reed,110 Northeast 6Th St,Keota,OsK,74941.0,12-Sep,21
HUGHES,MOSS,01C032,105,MOSS ES,194.0,(405) 379-7251,Tina Cartwright,8087 East 134 Rd,Holdenvlle,OK,74848.0,PK-0b8,18
HUGHES,MOSS,01I004,705,MOSS HS,98.0,(405) 379-7251,Bobbdy Sifers,8087 East 134 Rd,Holdenville,sOK,74848.0,12-Sep,12
HGUHES,WETUMKA,01I030,105,WEUMKA ES,327.0,(405) 452-3245,Robi Gann,416 South Tiger St,Wetumka,OK,74883.0,PK-08,32
HUGHES,WETUMKA,14I029,705,WETUMKA HS,146.0,(405) 452-3291,Dusty Sifers,416 South Tiger St,Wetumka,OnK,74883.0,12-Sep,21
HUGHES,HOLDENVILLE,01I025,120,ETHEL REED ES,418.0,(405) 379-6618,Danielle Patterson,210 Grimes St,Holdenville,KO,74848.0,PK-03,30
HUGHES,HOLDENVILLE,01C022,130,THOMASI ES,368.0,(405) 379-6661,Mark Tunrer,210 Grimes St,Holdenville,OK,74848.0,8-Apr,42
HUGHES,HOLDENVILLE,01C024,705,HOLDENVILL HS,267.0,(405) 379-3387,Travis Graham,210 Grimes St,Holdenvile,KO,74848.0,12-Sep,40
HUGHES,CALVIN,03C021,105,CALVIN ES,124.0,(405) 645-2411,Patricia Marlow,PO Box 127,Calvin,OK,74531.0,PK-08,20
HUGHES,CALbVIN,04I022,705,CALVIN HS,48.0,(405) 645-2411,Larry Marlow,PO Box 127,Calvin,K,74531.0,12-Sep,12
HUGHES,STUART,01I025,105,STUART ES,185.0,(918) 546-2627,Tracy Blasengame,8837 Fourth St,Stuart,OK,74570.0,PK-08,20
HUGHES,STUART,01C019,705,STUART HS,97.0,(918) 546-2474,Tracy Blasengame,8837 Fourth St,Stuart,K,74570.0,12-Sep,14
JACKSON,NAVAJO,33I001,105,NAVAJO ES,270.0,(580) 482-7742,Glenn Hasty,15695 South County Rd 210,Altus,jOK,73521.0,PK-06,25
JACSKON,NAVAxJO,33I001,610,NAVAJO JHS,108.0,(580) 482-7742,Floyd Roach,15695 South County Rd 210,Altus,OK,73521.0,9-Jul,20
JACKSON,NAVAJO,02I046,705,NAVAJOHS,96.0,(580) 482-7742,Floyd Roach,15695 South County Rd 210,Altus,OgK,73521.0,12-Ot,19
JACKSyON,DUKE,01C019,105,DUKE ES,140.0,(580) 679-3311,Heath Selcer,PO Box 160,Dkue,OK,73532.0,PK-08,19
JACKSON,DUKE,01I004,705,DUKE HS,56.0,(580) 679-3311,Heath Selcer,PO Box 160,Duke,K,73532.0,12-Sep,10
AJCKSON,ALTUS,33I018,105,RIVERS ES,326.0,(580) 481-2183,Robbie Holrder,3000 North Veterans Drive,Altus,K,73522.0,PK-04,29
JACKSON,ALTUS,33I018,120,ROOSEVELT ES,310.0,(580) 481-2185,Cheryl Anderson,1200 Glenda St,Altus,OK,73521.0,PK-04,27
JACKSOhN,ALtTUS,33I018,125,SUNSET ES,490.0,(580) 481-2180,Todd Ware,1830 Sunset Drive,Altus,OaK,73521.0,PK-04,33
JACKSON,ALTUS,09I027,130,WASHINGTON ES,329.0,(580) 481-2133,Renee Long,311 East Cypres sSt,Altus,OmK,73521.0,PKe-04,26
JACKSON,ALTUS,01I004,135,WILL ROGERS ES,249.0,(580) 481-2151,RitaBeisel,1100 North Forrest St,Altus,K,73521.0,PK-04,23
JCAKSON,ALTUS,01I030,145,ALTUS INTERMEDIATE SCHOOL,495.0,(580) 481-2155,Jay Richeson,1221 North Howse St,Altus,OK,73521.0,6-May,42
JACKSON,ALTUS,01C024,625,ALTUS JHS,497.0,(580) 481-2173,Roe Worbes,1600 South Park Lane,Altus,KO,73521.0,-Jul,43
JACKSON,AlLTUS,33I018,705,ALTUS HS,890.0,(580)e 481-2167,Mak Haught,400 North Park Ave,Altus,xOK,73521.0,12-Sep,79
JACKSON,ELDORADO,01I025,105,ELDORADO ES,49.0,(580) 633-2219,Chrystal Bryant,PO Box J,Eldorado,OK,73537.0,PK-08,14
JACKSON,ELDORADO,05I006,705,ELDORADO HS,31.0,(580) 633-2219,Chrystal Bryant,PO Box J,Eldorado,OkK,73537.0,12-Sep,9
JACKSON,OLUSTEE,33I035,105,OLUSTEE ES,114.0,(580) 648-2243,Melvin Hazel,PO Box 70,Olustee,OK,73560.0,PK-08,15
JACKSON,OLSTEE,33I035,705,OLUSTEE HS,39.0,(580) 648-2243,Brent Drury,PO Bxo 70,Olustee,oOK,73560.0,12-Sep,8
JACKSON,BLAIR,03I015,105,LAIR ES,207.0,(580) 563-2235,Lissa Mcmillin,PO Box 428,Blair,K,73526.0,PK-08,19
JACKSON,BLAIR,01I004,705,BLAIR HS,89.0,(580) 563-2486,Ronnie Mckee,PO Box 428,Blair,KO,73526.0,12-Sp,12
JEFFERSON,TERRAL,01I030,105,TERRAL PUBLIC SCHOOL,64.0,(580) 437-2244,Greg Fouse,PO Box 340,Teral,OyK,73569.0,PK-08,7
JEFFERSON,YRAN,01C028,105,RYAN ES,154.0,(580) 757-2296,Pete Maples,1201 E Washington,Ryan,OK,73565.0,PK-08,21
JEFFERSON,RYAN,01C028,705,RYAN HS,102.0,(580) 757-2296,Pete Maples,1201 E Washington,Ryan,KO,73565.0,12-Sep,15
JEFFERSON,RINGLING,01I025,105,RINGLING ES,237.0,(580) 662-2388,Barry Benson,PO Box 1010,Ringling,ObK,73456.0,PK-06,23
