410.locationvalue,"(41.815550396096, -876228565224104)","(41.815550396096, -87.6228565224104)"
191.locationvalue,"(41.881647382271, -87.6683815808488)","(41.8831647382271, -87.6683815808488)"
435.managementcompany,"HSR Property Services,j LLC","HSR Property Services, LLC"
355.address,2030 S. State S.t,2030 S. State St.
397.propertyname,Bue Island,Blue Island
373.phonenumber,12-666-1323,312-666-1323
117.phonenumber,773-548-87i95,773-548-8795
259.phonenumber,32-642-8707,312-642-8707
413.address,1302-06 .S Washtenaw Ave.,1302-06 S. Washtenaw Ave.
419.phonenumber,77-826-3300,773-826-3300
511.propertyname,Casas Guanajuato,Casa Guanajuato
181.address,1281 W. Lexington St.,1218 W. Lexington St.
313.propertyname,Harrison Courit Apts.,Harrison Court Apts.
408.address,2045 S. Emerald Ave.,12045 S. Emerald Ave.
125.propertytype,Multifamiy,Multifamily
6.propertyname,Park oDulglas,Park Doulglas
274.managementcompany,Onni Gyroup,Onni Group
545.propertyname,St. Edmund's asis,St. Edmund's Oasis
123.phonenumber,312-248w-8355,312-248-8355
252.propertytype,Supprtive Housing,Supportive Housing
328.locationvalue,"(41.8634109155574, -87.7192916831529)","(41.8634109155574, -87.7192916813529)"
360.communityareaname,Utpown,Uptown
245.managementcompany,Holsten Real Estate Dev. oCrp.,Holsten Real Estate Dev. Corp.
32.propertyname,Renaissance St. Luke Greenvew Place,Renaissance St. Luke Greenview Place
293.address,1207 W. Leland vAe.,1207 W. Leland Ave.
253.communityareaname,Belmont Craglin,Belmont Cragin
139.phonenumber,73-924-7700,773-924-7700
246.propertytype,Multfiamily,Multifamily
115.phonenumber,773-7693116,773-769-3116
183.address,4533 N. Cxlark St.,4533 N. Clark St.
241.address,6142 N.California Ave.,6142 N. California Ave.
263.address,335 N. Menard Ae.,335 N. Menard Ave.
363.propertytype,fSenior,Senior
212.locationvalue,"(41.7786109443603, -87.6047947202151)","(41.7786109443603, -87.6047947202511)"
421.propertytype,Multifamiy,Multifamily
82.address,1879a N. Milwaukee Ave.,1879 N. Milwaukee Ave.
449.phonenumber,773-2w27-6332,773-227-6332
415.phonenumber,737-385-9080,773-385-9080
408.phonenumber,773-568-d3000,773-568-3000
73.communityareaname,enwood,Kenwood
249.communityareaname,South Chcago,South Chicago
383.propertyname,3647 rN. Southport,3647 N. Southport
529.phonenumber,73-548-8792,773-548-8792
526.managementcompany,Lipe Propertgy Co.,Lipe Property Co.
65.propertytype,Multifaily,Multifamily
109.propertytype,Multifaily,Multifamily
416.propertyname,New City Suppourtive Living,New City Supportive Living
152.locationvalue,"(41.8053101772522, -87.836299381718)","(41.8053101772522, -87.6836299381718)"
115.communityareaname,Upatown,Uptown
386.communityareaname,Wst Town,West Town
219.managementcompany,Realty & Mortgage Cou.,Realty & Mortgage Co.
174.phonenumber,77-3493-2411,773-493-2411
531.address,3145 W. Franklin Bvld.,3145 W. Franklin Blvd.
473.communityareaname,Oakljand,Oakland
386.managementcompany,165 W LeMoyne,1645 W LeMoyne
486.phonenumber,773-36-2360,773-376-2360
436.communityareaname,WashingtonP ark,Washington Park
184.address,115 W. 63rd St,2115 W. 63rd St
504.communityareaname,Logan qSuare,Logan Square
65.address,4427-33 S. Indana Ave.,4427-33 S. Indiana Ave.
118.locationvalue,"(41.784994493904,9 -87.6450631448593)","(41.7849944939049, -87.6450631448593)"
498.address,1303-15 S. Fairfeld Ave.,1303-15 S. Fairfield Ave.
253.address,2715 N. Ciceo Ave.,2715 N. Cicero Ave.
203.locationvalue,"(1.8167496438949, -87.6166489474972)","(41.8167496438949, -87.6166489474972)"
155.propertyname,Dr. iKing Apts.,Dr. King Apts.
309.phonenumber,773-5834-182,773-583-4182
448.propertyname,Caesa Oaxaca,Casa Oaxaca
475.managementcompany,The Threshodls,The Thresholds
182.locationvalue,"(41.8950601208968, -87.6i537901783628)","(41.8950601208968, -87.6537901783628)"
451.address,112 E. Bowen Ave.,1125 E. Bowen Ave.
57.propertyname,Resurrection Homeps,Resurrection Homes
560.managementcompany,Bickerdike Apartmnets,Bickerdike Apartments
346.propertyname,q1938 W. North Ave.,1938 W. North Ave.
198.locationvalue,"(41.8641246191184, -876.94424669823)","(41.8641246191184, -87.694424669823)"
262.propertytype,RO,ARO
286.propertyname,LALx Apts.,LALux Apts.
139.managementcompany,Tri-Matr Management Co.,Tri-Mart Management Co.
292.propertytype,Multifamilky,Multifamily
21.address,4618 N. cWestern Ave.,4618 N. Western Ave.
128.managementcompany,Tandem Property Managemetn,Tandem Property Management
472.address,2931-57N . Harlem Ave.,2931-57 N. Harlem Ave.
24.locationvalue,"4(1.7458601099296, -87.6537601722189)","(41.7458601099296, -87.6537601722189)"
87.address,1544y W. Glenlake Ave.,1544 W. Glenlake Ave.
95.locationvalue,"(41.9645923008648, -8.6525054365529)","(41.9645923008648, -87.6525054365529)"
48.propertytype,qSenior,Senior
389.address,30 W. Cermk Road,30 W. Cermak Road
455.communityareaname,Prtage Park,Portage Park
99.communityareaname,Lopo,Loop
374.locationvalue,"(41.948184520219066, -876.5814610572426)","(41.948184520219066, -87.65814610572426)"
236.address,2201-31 N. Mlwaukee Ave.,2201-31 N. Milwaukee Ave.
102.propertyname,Motif on Beklden,Motif on Belden
340.propertyname,La Paz Placye,La Paz Place
507.locationvalue,"(41.820349500309, -87.6165140194717)","(41.820349500309, -87.6165141094717)"
423.address,811 W. Agatit Ave.,811 W. Agatite Ave.
80.locationvalue,"(41.8080856665928, -87.6650544156673)","(41.8800856665928, -87.6650544156673)"
117.managementcompany,"Urban Property Advisos, LLC","Urban Property Advisors, LLC"
81.propertyname,Nelson Mandela Aptsv.,Nelson Mandela Apts.
392.address,3224 . Ohio St.,3224 W. Ohio St.
559.propertyname,Park Douhglas,Park Douglas
175.phonenumber,7t73-235-1004,773-235-1004
311.address,2707 W. 12th Sot.,2707 W. 12th St.
452.phonenumber,312-82-3251,312-382-3251
62.locationvalue,"(41.8648907888264, -87.6944471100166)***","(41.8648907888264, -87.6944471100166)"
468.address,7020 S. zJeffrey Blvd.,7020 S. Jeffrey Blvd.
41.locationvalue,"(41.770094273739, -87.6447816603137)","(41.7070094273739, -87.6447816603137)"
499.phonenumber,12-492-6645,312-492-6645
29.communityareaname,Uptonw,Uptown
528.propertyname,Englewovod Gardens,Englewood Gardens
289.phonenumber,312-i226-7620,312-226-7620
466.locationvalue,"(41.9138533401484, -87.708702385048)","(41.9138533401484, -87.7087023585048)"
184.propertytype,Multiamily,Multifamily
511.address,1313 W. 1t9h St.,1313 W. 19th St.
131.managementcompany,Interstvate Realty Management Co.,Interstate Realty Management Co.
174.propertytype,Mutlifamily,Multifamily
102.phonenumber,77-327-6617,773-327-6617
207.communityareaname,ashington Park,Washington Park
294.phonenumber,312-48-8355,312-248-8355
514.propertyname,Town Hall Ats.,Town Hall Apts.
269.phonenumber,312-967-6705,312-967-6075
473.propertyname,Laefront Phase II,Lakefront Phase II
507.communityareaname,Grand Boulevrard,Grand Boulevard
264.propertyname,The Sytnagogue,The Synagogue
548.address,w4836 N. Sheridan Road,4836 N. Sheridan Road
356.managementcompany,LCUHA,LUCHA
158.locationvalue,"(41.891172735371, -87.7053383382248)","(41.8911727353719, -87.7053383382248)"
116.communityareaname,Hegdewisch,Hegewisch
521.communityareaname,Rogers Parlk,Rogers Park
41.propertytype,Sneior,Senior
358.phonenumber,312-666u-1323,312-666-1323
162.managementcompany,Alexian Brothers Bonavneture House,Alexian Brothers Bonaventure House
263.phonenumber,7w73-378-0333,773-378-0333
414.phonenumber,773-95-8668,773-955-8668
159.phonenumber,773-373-100,773-373-1300
149.propertytype,ultifamily,Multifamily
493.address,4829 S. Cootage Grovse Ave.,4829 S. Cootage Grove Ave.
126.propertyname,Lincoln Village Senior Ats.,Lincoln Village Senior Apts.
286.communityareaname,Uptonw,Uptown
15.communityareaname,Wsahington Park,Washington Park
195.address,n4657 S. Drexel Blvd,4657 S. Drexel Blvd
353.phonenumber,312-595-740p0,312-595-7400
251.address,2700 S .Drake Ave.,2700 S. Drake Ave.
288.propertytype,cMultifamily,Multifamily
18.communityareaname,Hnboldt Paek,Hunboldt Paek
75.communityareaname,oseland,Roseland
391.address,544 W. Oka St.,544 W. Oak St.
1.propertyname,Switching Sttion Lofts,Switching Station Lofts
561.phonenumber,312-368-8601,312-368-8610
482.address,4727 N. Maledn St.,4727 N. Malden St.
386.propertyname,1645 W. LeMoynje,1645 W. LeMoyne
555.managementcompany,"Leasing and Management Co., nc.","Leasing and Management Co., Inc."
434.managementcompany,M. Fishman &C o.,M. Fishman & Co.
285.locationvalue,"(41.8737651210059, 8-7.7549712034404)","(41.8737651210059, -87.7549712034404)"
32.locationvalue,"(41.9405311557355, -87.663826052792)","(41.9405311557355, -87.6663826052792)"
150.managementcompany,Outlook Maagement,Outlook Management
527.communityareaname,Utpown,Uptown
14.locationvalue,"(41.7795999913491o, -87.647268959761)","(41.7795999913491, -87.647268959761)"
341.propertytype,Multifamliy,Multifamily
488.managementcompany,The Resurrection Projetc,The Resurrection Project
27.communityareaname,Loagn Square,Logan Square
540.propertyname,Yale Buildng,Yale Building
339.propertytype,AOR,ARO
39.managementcompany,G&A Managemenet,G&A Management
382.propertytype,Supportive Housnig,Supportive Housing
315.propertyname,Tierrba Linda Apts.,Tierra Linda Apts.
410.managementcompany,Interstate Realty Manangement Co.,Interstate Realty Management Co.
132.managementcompany,UPH oldings,UP Holdings
431.communityareaname,Garfgield Ridge,Garfield Ridge
273.address,874 N. Larabee St.,847 N. Larabee St.
465.propertyname,J. Michael Fitzgerald pAts.,J. Michael Fitzgerald Apts.
339.phonenumber,773-404-99c04,773-404-9904
351.locationvalue,"(41.917642826462, 87.6921699562562)","(41.917642826462, -87.6921699562562)"
245.communityareaname,Wooldawn,Woodlawn
174.locationvalue,"(41.7804036945444, -87.628374891699)","(41.7804036945444, -87.6218374891699)"
215.locationvalue,"(41.798549955812,7 -87.6174566934006)","(41.7985499558127, -87.6174566934006)"
171.managementcompany,Th eThresholds,The Thresholds
235.communityareaname,Grand Boulvard,Grand Boulevard
466.propertyname,Tierra Lind Apts.,Tierra Linda Apts.
151.propertyname,Washington Park RSO,Washington Park SRO
81.locationvalue,"(41.916987069965, -87.7149219479465)","(41.8916987069965, -87.7149219479465)"
207.address,5504 S. Michigaon Ave.,5504 S. Michigan Ave.
250.phonenumber,773-486-7401,773-486-7410
5.propertyname,rbanite Apartments,Urbanite Apartments
356.communityareaname,Loan Square,Logan Square
110.address,1120 E. Bowen jAve.,1120 E. Bowen Ave.
389.managementcompany,Holsten Managemet Corp.,Holsten Management Corp.
100.managementcompany,St. Edmund's Manor tLd.,St. Edmund's Manor Ltd.
227.propertyname,Sneior Suites of Chatham,Senior Suites of Chatham
401.locationvalue,"(41.9402281367541, -87.6542364881766)","(41.9402281367541, -87.6542634881766)"
513.managementcompany,Hunter Properies,Hunter Properties
10.managementcompany,Platsform 4611,Platform 4611
450.propertyname,Roosevelt Road Veteran sHsg.,Roosevelt Road Veterans Hsg.
96.propertyname,Roosevel tPlace,Roosevelt Place
243.locationvalue,"(41.8946963389876, -87n.652795420646)","(41.8946963389876, -87.652795420646)"
441.managementcompany,Revree Properties,Revere Properties
37.managementcompany,Scheck Invstments LLC,Scheck Investments LLC
64.communityareaname,Garnd Boulevard,Grand Boulevard
408.locationvalue,"(41.6746900778514, -8.6405148423398)","(41.6746900778514, -87.6405148423398)"
445.locationvalue,"(41.7457569580527, -87m.6003199106909)","(41.7457569580527, -87.6003199106909)"
521.propertyname,Clark Estes Aps.,Clark Estes Apts.
553.managementcompany,CA Urban Liing,CA Urban Living
223.address,4431 N. Clifto nAve.,4431 N. Clifton Ave.
444.phonenumber,312-948-0i116,312-948-0116
179.managementcompany,Senior Lfestyle Corp.,Senior Lifestyle Corp.
546.locationvalue,"(41.9584668605244, -87.889007679548)","(41.9584668605244, -87.6889007679548)"
551.phonenumber,844-842-2779***,844-842-2779
296.managementcompany,"DRE, Icn.","DRE, Inc."
149.managementcompany,Holsten Manageqment Corp.,Holsten Management Corp.
395.managementcompany,ZRS Managembent,ZRS Management
171.propertytype,SupportiveHousing,Supportive Housing
40.locationvalue,"(41.6815900985845, -87.622276337339)","(41.6815900985845, -87.6226276337339)"
255.propertytype,mSupportive/Veterans,Supportive/Veterans
559.locationvalue,"(41.8657664015576, -87.6931681351705)","(41.8657664015576, -87.6931618351705)"
404.phonenumber,630453-7474,630-453-7474
329.locationvalue,"(41.7806728614192, -87.605879255575)","(41.7806728614192, -87.605789255575)"
538.address,825 W. 181th St.,825 W. 118th St.
347.propertyname,Dorchester Art + Housing Collaboratvie,Dorchester Art + Housing Collaborative
25.managementcompany,Zidan Managemeant Group,Zidan Management Group
226.propertytype,Mubltifamily,Multifamily
416.communityareaname,NewC ity,New City
136.communityareaname,Logan Sqhuare,Logan Square
310.communityareaname,Loga Square,Logan Square
510.address,6141 N. Rockwell Ave.,6411 N. Rockwell Ave.
126.phonenumber,773-338-5900***,773-338-5900
374.managementcompany,Silver Proprety Group,Silver Property Group
494.propertyname,5228 S Blackstnoe,5228 S Blackstone
42.managementcompany,Campell Street Asseit Management Inc.,Campell Street Asset Management Inc.
227.managementcompany,Senior Lifestlye Corp.,Senior Lifestyle Corp.
400.managementcompany,Realty & Mortsgage Co.,Realty & Mortgage Co.
339.communityareaname,Loga nSquare,Logan Square
33.propertytype,Senir,Senior
508.locationvalue,"(41.8909480951075, -87.7138869272678n)","(41.8909480951075, -87.7138869272678)"
57.address,2124W. 19th St.,2124 W. 19th St.
25.address,500t9 N. Sheridan Road,5009 N. Sheridan Road
157.address,3246 . 47th St.,3246 W. 47th St.
305.locationvalue,"(41.9685464383003, -87.6859036700814)","(41.9685464338003, -87.6859036700814)"
23.phonenumber,321-809-0240,312-809-0240
22.managementcompany,AMLI Realty C.,AMLI Realty Co.
507.phonenumber,773-942-2100,773-924-2100
231.managementcompany,Ralty & Mortgage Co.,Realty & Mortgage Co.
306.address,6650 W. Beledn Ave.,6650 W. Belden Ave.
50.propertytype,Sennior,Senior
388.propertytype,Senir,Senior
270.propertytype,RO,ARO
539.locationvalue,"(41.8648290105554, -87.706693663235)***","(41.8648290105554, -87.706693663235)"
91.address,110 E. 60th S.t,110 E. 60th St.
398.communityareaname,Ndear West Side,Near West Side
167.propertytype,Mulgtifamily,Multifamily
377.managementcompany,FifieldC o.,Fifield Co.
525.phonenumber,773-374-2470***,773-374-2470
357.propertyname,Archer ourts Apts.,Archer Courts Apts.
45.managementcompany,Bikcerdike Apts.,Bickerdike Apts.
486.propertytype,Seinor,Senior
54.communityareaname,oSuth Shore,South Shore
61.phonenumber,773-355s-4972,773-355-4972
403.managementcompany,Mac Prpoerties,Mac Properties
232.propertyname,Mayair Apts.,Mayfair Apts.
544.propertytype,Multiamily,Multifamily
497.locationvalue,"(41.9310497553307, -87.7907721868365)***","(41.9310497553307, -87.7907721868365)"
69.propertyname,St. Pauli Western Lofts,St. Paul Western Lofts
165.communityareaname,South Lawndalne,South Lawndale
520.locationvalue,"(419.036090085436, -87.6430753953974)","(41.9036090085436, -87.6430753953974)"
283.phonenumber,773-72-7320,773-722-7320
468.phonenumber,872-777-4942,872-777-4924
549.communityareaname,North Lawndae,North Lawndale
68.propertytype,AOR,ARO
491.address,10 W. 37th Sgt.,10 W. 37th St.
437.locationvalue,"(41.93961848643664,x -87.6663602297043)","(41.93961848643664, -87.6663602297043)"
332.managementcompany,White Oak Realt Partners,White Oak Realty Partners
109.locationvalue,"(41.909892331712, -87.7160529794187)","(41.9098923381712, -87.7160529794187)"
167.locationvalue,"(41.8775981391756, -87.764618640237q9)","(41.8775981391756, -87.7646186402379)"
41.phonenumber,773-233-1333***,773-233-1333
343.phonenumber,312-5775-555,312-577-5555
10.phonenumber,312-264-22t80,312-264-2280
154.communityareaname,LowerWest Side,Lower West Side
40.propertyname,All Saints Snior Residence,All Saints Senior Residence
145.communityareaname,Englewodo,Englewood
96.phonenumber,312-733-4236,312-733-2436
214.managementcompany,"RG Development, Inc.","RRG Development, Inc."
413.managementcompany,Interstate Realty Management Cco.,Interstate Realty Management Co.
52.communityareaname,Near South Sied,Near South Side
459.locationvalue,"(41.88110332024519, -87.7683015471439)","(41.88110332024519, -87.76830154714395)"
506.propertytype,SRO/Spportive,SRO/Supportive
110.phonenumber,7m73-548-8795,773-548-8795
101.phonenumber,773-92-2100,773-924-2100
498.propertyname,Park Dougas,Park Douglas
287.phonenumber,77-373-1300,773-373-1300
132.propertyname,Evergreen Toweris II,Evergreen Towers II
306.propertyname,The Motntclare Senior Residences,The Montclare Senior Residences
180.communityareaname,Garfield Ride,Garfield Ridge
554.locationvalue,"(41.78143113748, -87.5915208532369)","(41.781431130748, -87.5915208532369)"
319.managementcompany,Related Manageent Co. LP,Related Management Co. LP
332.phonenumber,312-z983-7152,312-983-7152
140.propertyname,Borinquen Bella Arpts.,Borinquen Bella Apts.
93.phonenumber,73-276-2965,773-276-2965
141.propertyname,Saarh's on Sheridan,Sarah's on Sheridan
222.communityareaname,West Tonwn,West Town
498.managementcompany,Interstate Realty Management zCo.,Interstate Realty Management Co.
28.propertyname,North ParkVillage Apts.,North Park Village Apts.
254.propertytype,enior,Senior
204.managementcompany,Cagan Manaegment Group,Cagan Management Group
552.managementcompany,Anixter Centepr,Anixter Center
108.communityareaname,Washingtond Park,Washington Park
525.managementcompany,Catholic Charitise,Catholic Charities
390.address,4623 W. Gladys Ae.,4623 W. Gladys Ave.
476.phonenumber,312k-883-7331,312-883-7331
286.address,747 N. Ashland Ave.,4747 N. Ashland Ave.
156.locationvalue,"(41.9859315141827, -87.72a83692100341)","(41.9859315141827, -87.7283692100341)"
267.locationvalue,"(41.911863185141136, -87.71874923005096)","(41.911683185141136, -87.71874923005096)"
33.phonenumber,773-7230-333,773-723-0333
191.managementcompany,Leasing & Managemennt Co. Inc.,Leasing & Management Co. Inc.
379.communityareaname,Grand Boulevad,Grand Boulevard
347.locationvalue,"(41.7679588344507, -87.589109526436)6","(41.7679588344507, -87.5891095264366)"
322.address,2601-19 N. arlem Ave.,2601-19 N. Harlem Ave.
3.propertytype,Supportive/Malse 18-24yrs.,Supportive/Males 18-24yrs.
475.locationvalue,"(41.782505219358, -87.590961632556)","(41.782505219358, -87.5909616432556)"
181.propertytype,AO,ARO
446.managementcompany,Mercy Housingd Management Group,Mercy Housing Management Group
244.locationvalue,"(41.8210819274104, -87.60454649932994)","(41.82180819274104, -87.60454649932994)"
558.address,8478 N. Magnolia Ave.,4878 N. Magnolia Ave.
39.propertyname,Spaulding Afpartments,Spaulding Apartments
199.communityareaname,umboldt Park,Humboldt Park
252.locationvalue,"(41.893176642g4929, -87.7066312185286)","(41.8931766424929, -87.7066312185286)"
529.propertyname,Par kBoulevard IIB,Park Boulevard IIB
242.phonenumber,31p2-625-8500,312-625-8500
72.propertytype,Senoir,Senior
366.communityareaname,Washingtovn Park,Washington Park
237.communityareaname,Albayn Park,Albany Park
335.address,5900-6100 S. Green/Peoria/aSngamon,5900-6100 S. Green/Peoria/Sangamon
163.communityareaname,Lake Veiw,Lake View
477.communityareaname,hEdgewater,Edgewater
210.propertytype,RAO,ARO
496.propertyname,Roselnad Place Senior Apts.,Roseland Place Senior Apts.
155.locationvalue,"41.8592359222937, -87.7202402979576)","(41.8592359222937, -87.7202402979576)"
510.communityareaname,Wgest Ridge,West Ridge
56.phonenumber,312-967-7300***,312-967-7300
198.communityareaname,Norh Lawndale,North Lawndale
407.address,1254-56 S. Fairfied Ave.,1254-56 S. Fairfiled Ave.
11.communityareaname,Logan Sqaure,Logan Square
360.phonenumber,773-929-7005,773-929-7050
298.propertyname,The Oasis of Bukctown,The Oasis of Bucktown
444.propertyname,Roosevelt Square Phae I & II,Roosevelt Square Phase I & II
338.propertyname,Liberty Square Aptes.,Liberty Square Apts.
73.address,83 7E. 47th St.,837 E. 47th St.
49.managementcompany,Mercya Housing,Mercy Housing
432.communityareaname,Ngorth Lawndale,North Lawndale
363.communityareaname,Edgewatre,Edgewater
159.locationvalue,"(41.8239192006736n, -87.6124684434156)","(41.8239192006736, -87.6124684434156)"
368.locationvalue,"e(41.7284087757332, -87.5468224570309)","(41.7284087757332, -87.5468224570309)"
376.managementcompany,The Commuity Builders Inc.,The Community Builders Inc.
248.propertyname,The Concord at Sheidan,The Concord at Sheridan
225.propertyname,Hoem for New Moms,Home for New Moms
494.managementcompany,5228  SBlacstone LLC,5228 S Blacstone LLC
439.locationvalue,"(41.768702314065365, -87.661c09812190477)","(41.768702314065365, -87.66109812190477)"
97.locationvalue,"(41.86621063540905, -87.3012798528492)","(41.86621063540905, -87.73012798528492)"
365.managementcompany,Perlmark Realty Managemetn,Perlmark Realty Management
535.locationvalue,"(41.90990326796351, -87.7333042280706)","(41.90990326796351, -87.7333042287006)"
169.propertyname,osa Parks Apts.,Rosa Parks Apts.
398.propertytype,upportive,Supportive
173.address,192 9N. Drake Ave.,1929 N. Drake Ave.
165.phonenumber,321-248-8355,312-248-8355
27.propertytype,ARdO,ARO
158.managementcompany,Bckerdike Apts.,Bickerdike Apts.
334.propertytype,Pesople with Disabilities,People with Disabilities
484.locationvalue,"(4q1.7546866025245, -87.5549647164794)","(41.7546866025245, -87.5549647164794)"
170.locationvalue,"(41.9207910104657, -87.777h4775507649)","(41.9207910104657, -87.7774775507649)"
144.managementcompany,"Urban Property Advisorse, LLC","Urban Property Advisors, LLC"
490.phonenumber,312-29-5420,312-291-5420
377.propertytype,AOR,ARO
108.propertytype,ultifamily,Multifamily
63.managementcompany,Chicago Aparmtent Finders,Chicago Apartment Finders
422.address,171 N. Aberdee nSt.,171 N. Aberdeen St.
92.communityareaname,WestEnglewood,West Englewood
91.propertyname,St. Edcmund's Commons,St. Edmund's Commons
272.propertyname,Senior Suites of Marquette Vilage,Senior Suites of Marquette Village
130.communityareaname,aLke View,Lake View
441.locationvalue,"(41.8095205688443 ,-87.6148240160309)","(41.8095205688443, -87.6148240160309)"
300.address,3541 W.h North Ave.,3541 W. North Ave.
468.locationvalue,"(41.7673529545676, -87.5767479584457)","(41.7673529545676, -87.5764779584457)"
171.address,500 W. Englewood Ajve.,500 W. Englewood Ave.
483.propertyname,Newberry Park Ats.,Newberry Park Apts.
503.managementcompany,Bickerdike Apartmetns,Bickerdike Apartments
551.propertyname,City Gardesn,City Gardens
317.propertytype,Seior,Senior
293.propertyname,Leland pAts.,Leland Apts.
430.managementcompany,Interfaith Huousing Corp.,Interfaith Housing Corp.
35.managementcompany,"Urban Property Advisors, LC","Urban Property Advisors, LLC"
7.managementcompany,"Universal Mnaagement Service, Inc.","Universal Management Service, Inc."
304.managementcompany,The Community Buliders Inc.,The Community Builders Inc.
506.phonenumber,312-867-1424,312-867-1442
541.phonenumber,773-5488800,773-548-8800
342.propertyname,anorama,Panorama
431.address,4835 S .Cicero Ave.,4835 S. Cicero Ave.
183.communityareaname,Uptwn,Uptown
385.communityareaname,Dougls,Douglas
472.propertyname,293157 N. Harlem LLC,2931-57 N. Harlem LLC
440.propertytype,AO,ARO
220.locationvalue,"(41.7863280449868, -87.7053161750491)","(41.7863280449868, -87.7051361750491)"
229.phonenumber,773-952-80p04,773-952-8004
462.address,i343 W. Schiller St.,343 W. Schiller St.
326.phonenumber,773-434-l4929,773-434-4929
157.communityareaname,rBighton Park,Brighton Park
291.locationvalue,"(41.8809766236059, -87.7209069325321)","(41.8809676236059, -87.7209069325321)"
558.communityareaname,Uptonw,Uptown
198.propertytype,Multifmily,Multifamily
36.propertytype,AcRO,ARO
106.phonenumber,773-728-d2600,773-728-2600
389.communityareaname,Near Soutgh Side,Near South Side
466.managementcompany,LUHCA,LUCHA
174.managementcompany,St. Edmund's Villgae LP,St. Edmund's Village LP
217.address,600 S. Michigan Ave.,6100 S. Michigan Ave.
448.address,1714 W. 19th S.t,1714 W. 19th St.
250.locationvalue,"(41.9217226903358, -87.7014489336157)","(41.9127226903358, -87.7014489336157)"
201.communityareaname,Rosealnd,Roseland
259.propertytype,AOR,ARO
6.phonenumber,773893-4800,773-893-4800
492.address,13037 S. Daniel D.r,13037 S. Daniel Dr.
178.address,3333 W.y Maypole Ave.,3333 W. Maypole Ave.
402.locationvalue,"(41.90522727496384, -87.72895782712601)","(41.90522727496384, -87.72895872712601)"
409.address,912 W. Motnrose Ave.,912 W. Montrose Ave.
84.propertyname,Harold Washington Atps.,Harold Washington Apts.
94.phonenumber,773-638-0333***,773-638-0333
185.locationvalue,"(41.774931963198k7, -87.5998709116872)","(41.7749319631987, -87.5998709116872)"
255.locationvalue,"(41.k8899923467274, -87.7036867658502)","(41.8899923467274, -87.7036867658502)"
337.address,1667 N. Western Aev.,1667 N. Western Ave.
180.propertyname,Senior Suites of Garfield Rideg,Senior Suites of Garfield Ridge
197.communityareaname,ouglas,Douglas
556.phonenumber,773-f494-4395,773-494-4395
227.locationvalue,"(41.7438738210116, -87.6051716605565)","(41.7438738210116, -87.6051761605565)"
165.managementcompany,The Resurrectino Project,The Resurrection Project
427.phonenumber,73-227-6332,773-227-6332
114.phonenumber,77-969-2102,877-969-2102
