objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,acres,nhdbasin,aquaticlife,recreation,fishconsumption,drinkingwatersupply,ctlakeid,shape_length,shape_area
107,2008,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.",9.40266927,1080207,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,112,4301.44782322676,409580.229077604
108,2008,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,49.89568902,1080205,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,2994,8614.07142319367,2173456.36391191
109,2008,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.",5.87004127,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,477,2192.40253628984,255698.926406963
110,2008,CT4707-00-2-L2_01,Gay City Pond (Hebron),Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,5.13730601,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,992,2790.65186704061,223781.077012535
111,2008,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,145.49398025,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,136,11945.7822983171,6337717.80185501
112,2008,CT4402-04-2-L1_01,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,2.7127617,1080205,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1853,1732.90177015924,118167.936980312
113,2008,CT4315-05-1-L1_01,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol",11.8390027,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,225,4085.72462529309,515706.809373345
114,2008,CT4705-00-1-L1_01,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,68.66674102,1080205,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1262,8150.61640819157,2991123.20141403
115,2008,CT6005-04-1-L1_01,Riga Lake (Salisbury),"Northwestern Salisbury, small portion crossws the New York border.",155.90486336,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2421,18898.262984158,6791215.84719876
116,2008,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,9.39107296,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,297,4211.48706476863,409075.181713018
117,2008,CT4708-00-1-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.",81.29222501,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1538,9240.49765441061,3541089.32178473
118,2008,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",502.28366978,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2273,31556.9655710472,21879476.7085152
119,2008,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",140.5796852,1080205,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,2627,19689.5237317282,6123651.39992351
120,2008,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.",71.90972354,1080205,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1066,8475.08169449154,3132387.52244891
121,2008,CT4700-02-1-L1_01,Day Pond (Cholchester),"Impoundment and headwaters of Day Pond Brook. Day Pond Road, Colchester (east of Rte. 149).",7.3504626,1080205,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,691,2933.5616797025,320186.260685602
122,2008,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir",82.10819138,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2234,14161.9521647024,3576632.83900418
123,2008,CT4800-04-1-L1_01,"Hayward, Lake (East Haddam)",Northeast corner of East Haddam.,172.40854146,1080205,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1507,20347.5027973159,7510115.91466773
124,2008,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",30.95438407,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,658,11255.5418039513,1348373.05939525
125,2008,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,112.82597587,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,199,12942.4451549198,4914699.51299443
126,2008,CT4710-00-1-L2_01,Moodus Reservoir (East Haddam),Northeast East Haddam.,440.74313908,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1902,61417.977921655,19198771.1550512
127,2008,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.",15.23845702,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,755,4895.55373634131,663787.196223253
128,2008,CT4710-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.",265.54460693,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,127,28316.8113276232,11567123.2354054
129,2008,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,26.40180839,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1226,8248.61191464011,1150062.77004756
130,2008,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, Cockaponset State Forest, Chester.",52.25158456,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2183,11858.0551026618,2276078.93589521
131,2008,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.",70.65379711,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,453,8095.6479846412,3077679.47589754
132,2008,CT4800-10-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.",29.40011022,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2054,5068.87985719143,1280668.80590228
133,2008,CT4800-16-1-L2_01,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.",69.02685724,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2991,10186.4172114451,3006810.01595611
134,2008,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,81.67284341,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1829,15715.9792035817,3557669.03731145
135,2008,CT4019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.",29.74047121,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3583,9276.67395083096,1295495.04025224
136,2008,CT4302-16-1-L1_01,Highland Lake (Winchester),Southeast corner of Winchester.,448.18307867,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1230,42660.460613205,19522854.8387813
137,2008,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",77.15245791,1100002,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,2156,12713.7080779591,3360761.0678375
138,2008,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook, Simsbury; south of Rte 309.",2.34959746,1080207,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2782,1350.69812038641,102348.431499426
139,2008,CT3404-01-1-L1_01,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,120.4787937,1100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1445,14372.9769053853,5248056.37139219
140,2008,CT4010-00-1-L1_01,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).",27.21982011,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1097,5686.08059259047,1185695.35583105
141,2008,CT5111-09-2-L3_02,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).",17.05006745,1100004,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,297,6430.24244982625,742700.976111697
142,2008,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire. Impoundment at head of Tenmile River",10.68085795,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1891,4528.2745821947,465258.132340048
143,2008,CT3106-00-2-L2_01,Crandau Pond (Tolland),"Cider Mill Road, Tolland (just north of Rte 84)",2.47479283,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,631,1394.08108872781,107801.980866069
144,2008,CT4607-00-UL_pond_01,Wadsworth Falls Park Pond (Middletown),"Small pond within Wadsworth Falls State Park, between mouths of Laurel Brook and Wadsworth Brook, Middlefield.",1.37298226,1080205,Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,0,966.014095348769,59807.0779682342
145,2008,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",0.57959466,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,350,812.441000119693,25247.1849813975
146,2008,CT7108-00-3-L3_01,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir",14.94771298,1100006,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1526,4392.45562251452,651122.469937405
147,2008,CT6910-14-1-L3_01,Black Rock Lake (Watertown),"Impoundment of Purgatory Brook (trib to Branch Brook), Watertown; west of Rte 6.",9.47560689,1100005,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,240,5702.41425253143,412757.397471802
148,2008,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",14.29464759,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2689,3909.72429641487,622674.853422082
149,2008,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",9.34735108,1080205,Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,41,3554.73329428853,407170.603100623
150,2008,CT3708-01-1-L1_01,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock",38.41688032,1100001,Not Assessed,Fully Supporting,Fully Supporting,Not Assessed,1942,7910.77393921777,1673439.31680131
151,2008,CT3207-16-1-L1_01,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",6.05249812,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,209,2833.01426233311,263646.824838467
152,2008,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1619.88628446,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,1514,190484.378350977,70562246.5487131
153,2008,CT4013-00-1-L1_01,Millers Pond (Durham),Durham,29.8730907,1080205,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,1869,6859.09879914287,1301271.86320903
154,2008,CT3805-00-3-L5_01,Hanover Reservoir (Sprague/Canterbury),Sprague,22.851823,1100002,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,1149,7636.77733865028,995425.298468499
155,2008,CT3206-00-1-L2_01,"Chaffee, Lake (Ashford)",Ashford,52.15104573,1100002,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1491,10048.8438955426,2271699.66935679
156,2008,CT3206-12-1-L1_01,Knowlton Pond (Ashford),Ashford,110.94878684,1100002,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1465,18983.6951677781,4832929.02795286
157,2008,CT3800-05-1-L4_01,Big Pond (Lebanon/Windham),Lebanon,38.54439928,1100002,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,211,6785.53012223499,1678994.03920449
158,2008,CT3202-00-1-L1_01,Keach Pond (Woodstock),Woodstock,29.69054507,1100002,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1405,7086.94403544225,1293320.20234777
159,2008,CT6302-00-1-L1_01,Hatch Pond (Sharon),Sharon,19.82027088,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,1171,6511.78715882649,863370.963316917
160,2008,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,28.57325368,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,449,5760.59840474735,1244650.9707812
161,2008,CT6302-01-1-L2_01,Ford Pond (Sharon),Sharon,22.89646022,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,933,4926.01835519446,997369.682101406
162,2008,CT6911-07-1-L1_01,Plymouth Lake (Plymouth),Plymouth,44.851591,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,2272,6568.85633034059,1953735.3981531
163,2008,CT6202-00-1-L1_01,"Wangum, Lake (Canaan)",Canaan,177.88152274,1100005,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1543,16120.0697969643,7748519.16657594
164,2008,CT6900-40-1-L1_01,Beaver Lake (Seymour),Seymour,68.82213834,1100005,Not Assessed,Not Assessed,Not Assessed,Not Assessed,158,15201.1471479677,2997892.3868583
165,2008,CT6301-08-1-L1_01,Indian Lake (Sharon/NY State Line),Sharon,195.81358051,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,1332,16881.4792504132,8529639.60345401
166,2008,CT6900-42-1-L1_01,Upper Derby Hill Reservoir (Derby),Derby,29.92632207,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,3305,6386.92334107774,1303590.5514031
167,2008,CT6015-00-1-L1_01,Peck Pond (Sharon),Sharon,27.3248361,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,2195,6446.32122546526,1190269.84042301
168,2008,CT4300-00-1+L2_01,West Branch Reservoir (Colebrook/Hartland),Colebrook,201.82086308,1080207,Not Assessed,Not Assessed,Not Assessed,Not Assessed,3440,18594.3807124894,8791317.00840086
169,2008,CT2107-00-1-L6_01,Groton (Poquonnock) Reservoir (Groton),Groton,194.67665127,1100003,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1104,37619.5972185037,8480114.37160593
170,2008,CT3902-00-1-L1_01,Williams Pond (Lebanon),Lebanon,250.2947369,1100003,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,3526,34166.6678539392,10902838.8335029
171,2008,CT2203-00-1-L2_01,"Konomoc, Lake (Waterford/Montville)",Waterford,288.66126172,1100003,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1511,37148.7687211784,12574084.7558297
172,2008,CT3900-11-1-L1_01,Bog Meadow Reservoir (Norwich),Norwich,91.15235456,1100003,Not Assessed,Not Assessed,Not Assessed,Not Assessed,260,19035.802661129,3970596.34400989
173,2008,CT7301-04-1-L2_01,Popes Pond (Wilton),Wilton,82.46912273,1100006,Not Assessed,Not Assessed,Not Assessed,Not Assessed,2287,15396.0742922076,3592354.91496195
174,2008,CT7200-00-3-L5_01,Saugatuck Reservoir (Weston/Easton/Redding),Weston,823.10302724,1100006,Not Assessed,Not Assessed,Not Assessed,Not Assessed,2517,79195.9020647076,35854367.9286546
175,2008,CT7407-00-3-L14_01,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,161.43180327,1100006,Not Assessed,Not Assessed,Not Assessed,Not Assessed,116,24958.4034650668,7031969.42379367
176,2008,CT6914-09-1-L2_01,Chestnut Hill Reservoir (Wolcott),"Near western border of Wolcott, north side of Lyman Road, west of Route 69.",65.1908516,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,509,8232.18249388803,2839713.45796688
177,2008,CT3600-00-3-L5_01,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd. Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.",68.36039588,1100001,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,741,11527.1199466044,2977778.72382308
178,2008,CT4304-05-2-L2_01,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.",49.18796689,1080207,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,1540,11433.1535747756,2142627.76042358
179,2008,CT2107-00-1-L1_01,Morgan Pond (Ledyard),"South side of Sandy Hollow Road, West of Route 117 intersection, ledyard.",146.2182511,1100003,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1910,20844.8594446964,6369266.99869872
180,2008,CT4200-00-4-L2_01,Somersville Pond (Somers),Near eastern border of Somers with Enfield; pond is south of intersection of Rte 190 and Rte 186.,40.97260611,1080205,Not Assessed,Not Assessed,Not Assessed,"Potential Supply, Not Assessed For Drinking Water",2674,23848.8380140944,1784766.78621252
181,2008,CT6005-04-1-L2_01,South Pond (Salisbury),"Northwest corner of Salisbury, at the end of Mt. Riga Road. Downstream of Riga Lake, on private property managed by Mt. Riga, Inc.",122.98838727,1100005,Not Assessed,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,2678,20511.7335995572,5357373.98799949
182,2008,CT4017-04-1-L1_01,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester. Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.",75.98072349,1080205,Not Assessed,Not Assessed,Not Assessed,Not Assessed,2960,13036.8191366243,3309720.42974876
