OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
184,2018,CT3100-00_04,Willimantic River-04,"From I84 crossing (includes under highway crossing area), Willington/Tolland, US to confluence with Bonemill Brook, Tolland.",3.11,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,16415.2875564823
185,2018,CT3100-00_05,Willimantic River (Tolland/Willington/Ellington/Stafford)-05,"From confluence with Bonemill Brook (just DS of Route 32 crossing), Willington/Tolland, US to Stafford POTW (east of Route 32 (River Road)), Stafford.",1.65,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8719.42834811604
186,2018,CT3100-00_06,Willimantic River-06,"From Stafford POTW (east of Route 32 (River Road)), US to headwaters at confluence of Middle River and Furnace Brook.",0.4,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,2107.30776323511
187,2018,CT3100-03_01,Bonemill Brook (Tolland)-01,"Confluence Willimantic River, US (under RR crossing) to Sweetheart Lake dam OUTLET, US Plains Road crossing, Tolland.",0.19,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,990.642214226903
188,2018,CT3100-03_02,Bonemill Brook (Tolland/Ellington)-02,"Sweetheart Lake INLET, Tolland, US to HW (US Tolland Turnpike crossing), Ellington.",1.93,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10192.1813784941
189,2018,CT3100-17_01,Cedar Swamp Brook (Mansfield)-01,"From confluence with Willimantic River (segment03, in Eagleville Pond portion of river) just DS of Route 32 (Stafford Road) and RailRoad crossings, US to confluence with Nelson Brook, Mansfield.",1.54,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8138.49557481722
190,2018,CT3100-17_02,Cedar Swamp Brook (Mansfield)-02,"From confluence with Nelson Brook, US to Hunting Lodge Road crossing, Mansfield.",0.59,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3095.29128121131
191,2018,CT3100-17_03,Cedar Swamp Brook (Mansfield)-03,"From Hunting Lodge Road crossing, US to Swamp Brook Pond outlet dam (just US of Route 44 crossing), Mansfield.",0.61,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3217.19671274118
192,2018,CT3100-18_01,Nelson Brook (Mansfield)-01,"From mouth at confluence with Cedar Swamp Brook, US to Birch Road crossing, Mansfield.",0.17,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,885.682581461215
193,2018,CT3100-19_01,Eagleville Brook (Mansfield)-01,"Mouth at Eagleville Pond enterence (lower eastern corner), US to confluence with Kings Brook (east side of North Eagleville Road), Mansfield.",0.68,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3602.97078644752
194,2018,CT3100-19_02,Eagleville Brook (Mansfield)-02,"Confluence Kings Brook (east side of North Eagleville Road), US to HW near UConn campus (just crossing Stadium Road), Mansfield.",1.67,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8823.81202157435
195,2018,CT3101-00_01,Edison Brook (Stafford)-01,"Mouth at confluence with Middle River, East side of Swift Airport property (west of Route 190), US to confluence with Hopyard Brook (short outlet area from pond or wetland), US of Copper Lane crossing, parallel to dirt road, Stafford.",0.86,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4554.10899521639
196,2018,CT3101-03_01,Crystal Lake Brook (Stafford)-01,"From mouth at confluence with Ellis Brook, HW of Edson Brook (DS of West Stafford Road (Route 190) crossing), US to Crystal Lake outlet dam (just US of Conklin Road crossing), Stafford. ",2.18,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,11516.8084380259
197,2018,CT3101-05_01,Ellis Brook (Stratford)-01,"Mouth confluence Crystal Lake Brook above Edson Brook US of Route 190 and Route 30 intersection (parallel Old Spring Road), US to HW at Bruie Pond outlet just US of Hampden Road crossing, Stafford.",2.99,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,15799.011342924
198,2018,CT3101-07_01,Diamond Ledge Brook (Stafford)-01,"Mouth at Edson Brook just DS and parallel with Route 190 crossing, US to HW US of Lake Mark (segment includes Lake Mark), Stafford.",3.25,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,17175.1654885849
199,2018,CT3102-00_01,Middle River (Stafford)-01,"From mouth at confluence with Furnace Brook (above Willimantic River), US to 800Ft US of Route 32 crossing, Stafford Springs center.",0.23,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,1190.97455942877
200,2018,CT3102-00_02,Middle River (Stafford)-02,"800 feet US Route 32 crossing, Stafford Springs center, US to Orcutts Pond dam OUTLET (US Orcuttville Road (Route319) crossing), Stafford.",3.92,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,20687.9515242552
201,2018,CT3102-00_03,Middle River (Stafford)-03,"From Orcutts Pond inlet, US to State Line Pond outlet (on southern end, just US of Route 32 crossing), Stafford. ",2.78,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,14693.257353497
202,2018,CT3102-03_01,Still Brook (Stafford)-01,"from mouth at State Line Pond (lower east side, just DS of Whispering Pines Road crossing), US to first confluence with unnamed tributary (3102-04), Stafford.",0.3,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1559.95472084449
203,2018,CT3103-00_01,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.18,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,934.601168859916
204,2018,CT3103-00_02,Furnace Brook(Stafford)-02,"From US end of conrete channel (just US of Route 14 crossing), US to Staffordville Reservoir oulet dam (just US of Upper Road crossing), Stafford.",4.93,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,26008.1922219398
205,2018,CT3103-01_01,Delphi Brook (Stafford)-01,"Mouth at inlet to Staffordville Reservoir, between Delphi Road and Route 19, US to Connecticut/Massachusetts state line, parallel to Route 19, Staffoed.",1.46,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7720.09032039692
206,2018,CT3103-04_01,Potash Brook (Stafford)-01,"Mouth at inlet to Staffordville Reservoir DS of Delphi Road crossing, US to HW just above CT/MA boarder, Stafford.",1.3,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6849.704811591
207,2018,CT3104-00_01,Roaring Brook (Willington)-01,"From mouth at confluence with Willimantic River (just DS from Route 32 crossing), US to Stafford Springs Reservoir No2 outlet (Willington, Stafford).",7.3,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,38568.4954027545
208,2018,CT3104-00_02,Roaring Brook (Stafford/Union)-02,"From Stafford Springs Reservoir No2 inlet (just DS from South Road crossing), US to headwaters at Moore Pond outlet dam (Stafford Springs Reservoir No4).",3.42,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,18051.0228811316
209,2018,CT3104-00-2-L8_outlet_01,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,Yes,641.047388195955
210,2018,CT3104-00-2-L8_outlet_02,Ruby Lake outlet stream-02,"From  wetland adjacent to truck stop, SouthWest of Exit 71 off I84, Willington, US to Ruby Lake outlet.",0.09,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,499.739833918651
211,2018,CT3104-01_01,Stickney Hill Brook-01,"From mouth at confluence with Roaring Brook (just DS of Old Brown Road crossing), US to headwaters at small unnamed pond (just US of Stickney Hill Road crossing), Union.",2.32,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,12262.2313686671
212,2018,CT3105-00_01,Mill Brook (Coventry)-01,"Mouth at confluence with Willimantic River, DS of Depot Road crossing (Coventry/Mansfield town line), US to exit of underground connector from Wangumbaug Lake, just US of Monument Hill Road crossing, parallel to Route 31,  Coventry.",2.49,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",49,Inland Surface Waters Class B,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,13145.2935295984
213,2018,CT3106-00_01a,Skungamaug River (Andover/Coventry/Tolland)-01a,"Mouth at confluence with Hop River, Andover (between Hendee Road and Times Farm Road), US to INLET to Summer Lake (includes lake) above Anderson Road, Tolland.",10.39,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,54864.5410946792
214,2018,CT3106-00_01b,Skungamaug River-01b,"From INLET to Summer Lake (lake in seg-01) above Anderson Road, US to headwaters (US of Old Tolland Road crossing), Tolland.",6.29,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,33215.375136879
215,2018,CT3106-07_01,Spice Brook (Tolland)-01,"From mouth at confluence with Chapins Meadow Brook, HW of Metcalf Brook (US of Grant Hill Road crossing), US to HW (just US of Route 31 crossing), Tolland.",2.32,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,12246.3722219361
216,2018,CT3108-07_02,Straddle Brook (Andover)-02,"Cider Mill Pond inlet, just US of Route 316 crossing, US to confluence with Massinger Brook, US of Townsend Road crossing, Andover.",1.2,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6354.66597472921
217,2018,CT3110-00_01,Tenmile River (Willimantic)-01,"From mouth at confluence with Willimantic River (south of Route 66), Willimantic, US to Stiles Pond outlet dam, Lebanon.",8.67,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,45757.9252494194
218,2018,CT3200-00_01,Natchaug River (Windham/Mansfield)-01,"From mouth at confluence with Willimantic River, above Shetucket River (DS of Brick Top Road (Route 14) crossing), Windham, US to Willimantic Reservoir outlet dam (Natchaug River Dam), southwest of Windam Airport, Windham/Mansfield town border.",3.38,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,17832.0481115423
219,2018,CT3200-00_02,Natchaug River (Eastford)-02,"Mansfield Hollow Reservoir inlet at Basset Bridge Road crossing (name changes to Station Road between North Windham Road and Route 6), Windham, US to HW (confluence Bigalow Brook and Still River), Eastford.",11.03,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,58239.2720839305
220,2018,CT3201-00_01,Bungee Brook (Woodstock)-01,"Mouth confluence Still River, Eastford, US to Bungee Lake (Witches Woods Lake) outlet dam (just US Route 198 crossing), Woodstock.",5.56,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,29381.0852659947
221,2018,CT3201-00_02,Bungee Brook-02,"From Lake Bungee inlet (northeast portion of lake, just DS of Bungay Hill Road crossing), US to headwaters, US of 2nd Child Road crossing, Woodstock. Segment EXCLUDES Chamberlain Pond as separate waterbody.",1.83,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9674.33993754039
222,2018,CT3201-07_01,Indian Hut Brook (Eastford/Pomfret)-01,"Mouth at confluence with Bungee Brook, just DS of Bungee Brook Road crossing (Old Colony Road), Eastford,  US to HW at marsh OUTLET, just US of Route 244 crossing, Pomfret.",1.53,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,8072.17430954743
223,2018,CT3202-00_01,Still River (Eastford)-01,"Mouth at confluence with Bigelow Brook, above Natchaug River (on east side of Route 198 (Chaplin Road), US to confluence with Bungee Brook (just US of Brayman Hollow Road (Route 244) crossing), Eastford.",2.57,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,13568.3281099389
224,2018,CT3202-00_02,Still River (Eastford/Woodstock)-02,"From confluence with Bungee Brook, Eastford, US to Dickenson Pond outlet dam (just US of Route 171 crossing). Woodstock.",4.01,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,21176.8500331798
225,2018,CT3203-00_01,Bigelow Brook (Eastford/Ashford)-01,"Mouth at confluence Still River, above Natchaug River, Eastford, US to Eastford/Westford Road crossing, Ashford/Eastford town line (US confluence Branch Brook).",5.27,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,27810.5668891574
226,2018,CT3203-00_02,Bigelow Brook (Ashford/Union)-02,"Eastford/Westford Road crossing, Ashford/Eastford town line (US of confluence with Branch Brook), US to Myers Pond outlet dam, Union.",4.75,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,25094.777445769
227,2018,CT3203-06_01,Lead Mine Brook (Ashford)-01,"Mouth confluence Bigelow Brook (DS Barlow Mill Rd crossing), US to HW at Sustek Pond outlet dam, Ashford. ",1.29,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,6820.42766233823
228,2018,CT3203-10_01,Branch Brook (Eastford)-01,"Confluence with Bigelow Brook, just DS of Westford Road crossing, US to confluence with unnamed Tributary, parallel to Kozy Corner Road, Eastford.",0.76,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4015.39001944558
229,2018,CT3204-00_01,Stonehouse Brook (Chaplin)-01,"Mouth on Natchaug River, DS of Bedlam Road crossing, US to confluence with East Branch Stonehouse Brook, just over 1 mile US of Tower Hill Road crossing, Chaplin.",3.87,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,20442.4493444673
230,2018,CT3204-01_01,East Branch Stonehouse Brook (Chaplin)-01,"Mouth at confluence with Stonehouse Brook about a mile DS of Pumpkin Hill Rd crossing, US to HW about a mile US of Pumpkin Hill Rd crossing and US of utility line crossing, chaplin. ",2.14,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,11296.7548100888
231,2018,CT3205-00_01,Squaw Hollow Brook-01,"From mouth at confluence with Mount Hope River, US to confluence with Knowlton Brook (north side of Varga Road), Ashford.",0.91,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4829.09109286809
232,2018,CT3205-01_02,Knowlton Brook-02,"From mouth at confluence with Squaw Hollow Brook, US to confluence with Moritz Brook (oulet river for Moritz Pond), Ashford.",1.47,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7781.27624067629
233,2018,CT3205-01_03,Knowlton Brook-03,"From confluence with Moritz Brook (outlet river for Moritz Pond), US to confluence with Upton Pond outlet tributary (just DS from Upton Pond dam), Ashford.",0.57,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,3031.25190230229
234,2018,CT3206-00_01,Mount Hope River (Mansfield/Ashford)-01,"Mouth at Mansfield Hollow Reservoir inlet, (DS of Atwoodville Road), Mansfield, US to first Route 89 (Mansfield Road) crossing, near southern Ashford border, Ashford.",5.66,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,X,UNASSESSED,No,29881.6084890794
235,2018,CT3206-00_02,Mount Hope River (Ashford/Union)-02,"From first Route 89 (Mansfield Road) crossing, Ashford, US to headwaters at Morey Pond outlet dam, on Union/Ashford border.",9.99,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,52734.6926829466
236,2018,CT3206-03_01,East Branch Mount Hope River (Ashford)-01,"Mouth at confluence Mount Hope River just DS James Rd crossing, US to HW US Boston Hollow Rd crossing and parallell to Nagy Rd, Ashford.",4.43,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,23415.238883115
237,2018,CT3206-09_01,Gardner Brook (Ashford)-01,"Mouth at Mount Hope River, just DS from Route 89 crossing, US to HW, just US of Fitts Road, Ashford. ",2.74,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,14482.8425877952
238,2018,CT3206-10_01,Bebbington Brook (Ashford)-01,"From mouth at confluence with Mount Hope River (DS of Mansfield Road (Route 89) crossing), US to marsh enterance (adjacent to Bebbington Road at Slade Road intersection), Ashford. ",1.86,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9826.44159783683
239,2018,CT3206-10_02,Bebbington Brook (Ashford)-02,"From marsh enterance (adjacent to Bebbington Road at Slade Road intersection), US to HW (just US of Kennerson Reservoir Road crossing), Ashford.",1.8,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9515.01510190548
240,2018,CT3207-00_01a,Fenton River-01a,"From mouth at Mansfield Hollow Reservoir (Route 89/Warnerville Road crossing), US to Gurleyville Road Crossing, Mansfield.",3.82,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,20155.3932497935
241,2018,CT3207-00_01b,Fenton River (Mansfield)-01b,"Gurleyville Road crossing, US to confluence with unnamed tributary (1 mile US of Gurleyville road crossing), perpendicular to Hoursebarn Hill Road, Mansfield.",1.24,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,6561.32918745069
242,2018,CT3207-00_01c,Fenton River-01c,"From confluence with unnamed tributary (~1 mile US of Gurleyville Road crossing), perpendicular to Hoursebarn Hill Road, US to Route 44 crossing, Mansfield.",0.95,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,5040.38887410612
243,2018,CT3207-00_02,Fenton River-02,"From Route 44 crossing, Mansfield, US to headwaters (just US of Buchner Road crossing), Willington.",10.75,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,56775.2220533586
244,2018,CT3207-07_01,Eldredge Brook (Willington)-01,"Mouth on Fenton River just DS of Daleville Road crossing, US to OUTLET of Eldridge Pond just US of Clint Eldridge Road crossing, Willington.",1.12,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,5901.07302220027
245,2018,CT3207-12_01,Roberts Brook (Mansfield)-01,"Mouth at confluence with Fenton River DS Gurleyville Road crossing, US to HW US of Route 195 crossing at UCONN Mirror Lake outlet. ",1.7,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,8914.2259343395
246,2018,CT3208-00_01,Sawmill Brook (Mansfield)-01,"From mouth at confluence with Natchaug River (DS of Route 6 and Route 195 intersection crossing), Windham, US to Conantville Road crossing, Mansfield.",1.11,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5845.66035395126
247,2018,CT3208-00_02,Sawmill Brook (Mansfield)-02,"From Conantville Road crossing, US to headwaters (US of Spring Hill Road crossing), Mansfield.",3.92,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,20693.1226735071
248,2018,CT3208-02_01,Conantville Brook (Mansfield)-01,"Mouth at confluence Sawmill Brook, just DS of Conantville Road crossing (parallel to Frontage Road on north side), US to HW at outlet small unnamed pond along south side of Stearns Road (on farm, pond looks enriched), Mansfield.",3.2,Miles,RIVER,01100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16871.5783065023
