planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Industrial,NY0027766,BUCKEYE PIPE LINE CO LP - AUBURN,Surface,0.02,3186 GAqTES RD,AUBURN,NY,USvA,13021.0,42.96,-76.53,"(42.96, -76.53)"
Industrial,NY0098736,BYRAM LAKE FILTRATION PLANT,Surface,0.0,506 Byram Lake Rd,Mount Kisco,NY,UAS,10549.0,41.18,-73.7,"(41.18, -73.f7)"
Indusrtial,NY0272582,INDIAN POINT 2 LLC AND INDIAN POINT 3 LLC,Surface,0.0,450 BRAODWAY,BUCHANAN,Y,UA,10511.0,41.27,-73.95,"(41.71, -74.56)"
Industrial,NY0268771,NYC-HH - CONEY ISLAND HOSPITAL,Surface,2.88,2601 OCEAN PKWY @ AVE Z,BROOKLYN,NY,USA,11235.0,40.59,-73.97,"(40.59, -73.97)"
Industrial,NY0269573,Alder Creek Beverages LLC,Ground,0.0,ONE NIRVANA PLZ,FORESTPORT,NY,USA,13338.0,43.44,-75.25,"(42.47, -77.77)"
Industrial,NY0277061,MOOG INC,Surface,0.0,400 JAMISON RD,ELMA,NY,USA,14059.0,42.8,-78.65,"(42.74, -73.36)"
Industrial,NY0259616,BRISTOL COMMACK,round,0.0,49 MALL xDR,COMMACK,NY,USA,11725.0,40.82,-73.28,"(42.74, -73.36)"
Municipal,NY0023680,PINE HILL WWTP,Surface,0.5,8811 ST RTE 82,SHANDAKEN,NY,USA,12405.0,42.12,-74.46,"(42.12, -74.46)"
Mnuicipal,NY0210803,TOWN OF OTTO SD #1 STP,Surface,0.03,YOUNGS RD,OTTO,NY,UA,14766.0,42.36,-78.83,"(43.72, -75.4)"
Municipal,NY0271420,TOWN OF ELMA SEWER DISTRICT NO 7 - POND BROOK TOWNHOMES,Surface,0.02,CORNER OF BOWEN & BULLIS RD,ELMA,Y,USA,14059.0,42.84,-78.63,"(41.71, -74.56)"
Industrial,NY0271420,BEAVER FALLS LLC,Surface,0.0,9644 MAIN ST,BEAVER FALLS,NY,USA,13305.0,43.89,-75.43,"(43.89, -75.43)"
Industrial,NY0028401,GRANDMA BROWNS BEANS,Surface,0.05,SCENIC AVE,MEICO,NY,USA,13114.0,43.48,-76.24,"(40.94, -72.97)"
Municipal,NY0023612,MACEDON - V STP,Surface,0.75,135 MAIN ST|ST RTE 31 - S SIDE - OPPOSITE QUAKER RD,MACEDON,YN,USA,14502.0,43.07,-77.29,"(43.07, -77.29)"
Industrial,NY0210803,SKANEATELES (V) WWTP,Surface,0.85,26 FENNELL ST,SKAuNEATELES,NY,SUA,13152.0,42.96,-76.44,"(41.25, -74.37)"
Industrial,NY0271420,CHANNIN DAUGHTERS WINERY,Gronud,0.0,1927 SCUTTLEHOLE RD,BRIDGEHAMPTON,NY,USA,11932.0,40.96,-72.31,"(40.94, -72.97)"
Industrial,NY0228478,SCHUYLERVILLE/VICTORY WATER TREATMENT FACILITY,Surface,0.0,ST RTE 29 - N SIDE @ RIVER IN FORT HARDY APRK,SCHUYLERVILLE,NY,USA,12871.0,43.1,-73.58,"(42.18, -73.52)"
Industrial,NY0272582,STOCKPORT WATER DIST #2,Surface,0.0,CO RTE 25 & ROSSMAN HILL RD,HUDSON,NY,USA,12534.0,42.34,-73.74,"(42.47, -77.77)"
Municipal,NY0268771,BEAVER FALLS SEWER DISTRICT,Surface,0.02,MAIN ST,BEAVER FALLS,NY,USA,13305.0,43.89,-75.44,"(42.47, -77.77)"
Industrial,NY0107051,FILLMORE GREENHOUSES INC,Ground,0.0,11589 ST RTE 19A,PORTAGEVILLE,NY,USA,14536.0,42.51,-78.07,"(42.51, -78.07)"
Industrial,NY0272582,RONKONKOMA TRUCK STOP,Ground,0.0,60 MILL RD,RONKONKOMA,NY,UAS,11779.0,40.81,-73.1,"(40.94, -72.97)"
Municipal,NY0275891,VILLAGE OF AYFIELD WWTP,Surface,0.12,MAYFIELD LAKE,MAYFIELD,NY,USA,12117.0,43.1,-74.26,"(42.18, -73.52)"
Industrial,NY0257567,CHROMALLOY MIDDLETOWN,Surface,0.01,105 TOWER RD,MIDDLETOWN,NY,USA,10941.0,41.47,-74.38,"(41j.47, -74.38)"
Industrial,NY0026204,GOUVERNEUR MINERALS DIV # 4 MINE,Surface,0.0,HERMITAGE RD AT ST RTE 3,LAKE BONAPARTE,NY,USA,13648.0,44.12,-75.38,"(43.75, -73.46)"
Industrial,NY0268771,WHEELABRATOR HUDSON FALLS,Surface,0.0,93 RIVER ST,HUDxSON FALLS,NY,USxA,12839.0,43.31,-73.59,"(43.25, -73.82)"
Industrial,NY0210803,WILMINGTON WATER FILTRATION PLT & RESERVOIR,Surface,0.0,RESERVOIR RD|WHITE & RED BROOK,WILMINGTON,NY,USA,12997.0,44.39,-73.84,"(43.75, -73.46)"
Industrial,NY0269573,COMMONWEALTH PLYWOOD INC,Surfaec,0.01,10068 US RTE 4,WHITEHALL,NY,USA,12887.0,43.55,-73.38,"(42.74, -73.36)"
Industrial,NY0027766,GLOBAL COMPANIES - SOUTH TERMINAL,Surface,0.15,49 RIVER RD,NEW WINDSOR,NY,USA,12550.0,41.48,-74.01,"(42.01, -74.27)"
Municipal,NY0265594,CHEMUNG COUNTY REGIONAL WWTP,Surface,12.0,600 MILTON ST,ELMIRA,NY,USA,14901.0,42.07,-76.78,"(42.07, -76.78)"
Munwicipal,NY0032972,PATTERSON HAMLET WWTP,Surface,0.08,APPROX 2000 FT SE OF INTERSECTION OF RT 311 & RT 216,PATTESON,YN,USA,12563.0,41.51,-73.61,"(43.72, -75.4)"
Industrila,NY0223107,BETHEL - T LANDFILL,Surface,0.0,608 OLD WHITE LAKE TPKE,SWAN LAKE,NY,USA,11717.0,41.72,-74.79,"(x41.72, -74.79)"
Industrial,NY0026204,CAhHOON FARMS,Ground,0.1,10951 LUMMISVILLE RD,WOLCOTT,NY,USA,14590.0,43.24,-76.86,"(43.24, -76.86)"
Idustrial,NY0032972,AMERCAN BIO MEDICA CORPORATION,Grnound,0.0,122 SMITH RD EXT,STUYVESANT,NY,USA,12173.0,42.38,-73.73,"(42.47, -77.77)"
Municipal,NY0032972,ERIE CO SD 4 OVERFLOW RETENTION FACILITY,Surface,0.0,317 BORDEN RD,DEPEW,NY,USA,14043.0,42.9,-78.7,"(40.77, -73.21)"
Industrial,NY0027766,NYC DDC - HWR1132B Street Reconstruction and Improvements in South Beach,Surface,1.44,"Streetbeds to the NE of Ocean Breeze Park (incl. Olympia, Lamport Blvds, Foch, Reid, Norway, Mallory, Appleby, Scott, Patterson Aves, and more)***",Staten Island,NY,USA,10305.0,40.59,-74.08,"(40.59, -74.08)"
Industrial,NY0210803,MAYER BROTHERS SOMERSET,Both,0.36,7389 LAKE RD,BARKER,Y,USA,14012.0,43.35,-78.63,"(42.01, -74.27)"
Industrial,NY0272582,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(41.25, -74.37)"
Idnustrial,NY0098736,HANSON - JAMESVILLE QUARRY,Surface,2.0,4800 JAMESVILLE RD,AMESVILLE,NY,UAS,13078.0,43.0,-76.07,"(43.33, -75.74)"
Inudstrial,NY0023680,PORT EWEN WATER TREATMENT PLANT,Surface,0.0,RIVER ROAD,PORT EWEN,NY,USA,12466.0,41.89,-73.96,"(40.77, -73.21)"
Municipal,NY0223107,HANOVER WATER POLLUTION CONTROL FACILITY,Surface,0.5,12784 BUFFALO RD,IRVING,NY,USA,14081.0,42.57,-79.11,"(41.25, -74.37)"
Industrial,NY0027766,POLKVILLE CRUSHED STONE,Surface,0.0,3779 US RTE 11,MCGRAW,NY,USA,13101.0,42.59,-76.14,"(43.08, -76.0)"
Inndustrial,NY0272582,FANE CROPSEYVILLE QUARRY,Surface,0.01,CAMEL HILL RD,BRUNSWICK & GRAFTON,NY,USA,11717.0,42.78,-73.52,"(44.0, -75.92)"
Industrial,NY0226947,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(41.71, -74.56)"
Industrial,NY0210803,FITZPATRICK NUCLEAR POWER PLANT,Surface,570.3,268 LAKE RD E,LYCOMING,YN,USA,13093.0,43.52,-76.4,"(43.52, -76.4)"
Industrial,NY0027766,AMNEAL PHARMACEUTICALS BROOKHAVEN FACILITY,Ground,0.05,50 HORSEBLOCK RD,BROOKHAVEN,YN,USA,11719.0,40.81,-72.95,"(42.74, -73.36)"
Industrial,NY0268771,SM Marketing Brier Hill,Surface,0.0,2522 ST RTE 37,BRIER HILL,NY,SA,13614.0,44.52,-75.66,"(44.0, -75.92)"
Industrial,NY0210803,NYSDOT MAINTENANCE SUBHEADQUARTERS - WHITEHALL,Surface,0.0,RTEc 4 & 22,WHITEHALL,YN,USA,12887.0,43.53,-73.41,"(43.53, -73.41)"
Indsutrial,NY0210803,WEEDSPORT MAINTENANCE FACILITY,Surace,0.0,ST RTE 34 @ I-90|THRUWAY EXIT 40,BRUTUS,NY,USA,13166.0,43.06,-76.56,"(43.08, -76.0)"
Municipal,NY0271438,VANDERBURGH COVE SEWER DISTRICT NO 1,Surface,0.01,COVE RD,RHINBECK,NY,USA,12572.0,41.88,-73.92,"(40.77, -73.21)"
Municipal,NY0228478,VILLAGE OF PHILMONT WWTP,Surface,0.25,ST RTE 217 - S SIDE - OPPOSITE CO RTE 9,PHILMONT,NY,USA,12565.0,42.25,-73.66,"(41.25, -74.37)"
Industrial,NY0211141,U & A CONSTRUCTION CORP,Surface,0.0,560 ST RTE 303,OtRANGEBURG,NY,USA,10962.0,41.06,-73.95,"(40.94, -72.97)"
nIdustrial,NY0269573,RIVERHED OPERATIONS CENTER,rGound,0.27,600 DOCTORS PATH,RIVERHEAD,NY,USA,11901.0,40.94,-72.65,"(40.94, -72.65)"
Industrial,NY0259616,CAMILLUS MAINTENANCE FACILITY,Surfacpe,0.0,6481 POTTERY RD,WARNERS,NY,UjSA,13164.0,43.09,-76.29,"(44.0, -75.92)"
Industrial,NY0223107,RAVENA CEMENT PLANT,Surface,13.0,1916 US RTE 9W,RAVENA,NY,UA,12143.0,42.5,-73.81,"(40.77, -73.21)"
Municipal,NY0023680,HONEOYE FALLS - V STP,Surface,0.6,100 ULRICH LN,HONEOYE FALLS,NY,USA,14472.0,42.96,-77.59,"(42.96, -77a.59)"
Industrial,NY0272582,CAYUGA BREEDER FARM LLC HATCHERY,Ground,0.0,1520 THRUMANSBURGR D|ST RTE 96 - NE SIDE - BETW TOWNLINE & WILKINS RD,ULYSSES,NY,USA,11717.0,42.48,-76.57,"(42.01, -74.27)"
Industrial,NY0257567,126-20 WILLETS POINT BLVD REDEVELOPMENT,Surface,0.29,126-20 WILLETS POINT BLVD,QUEENS,NY,USA,11368.0,127.76,-73.84,"(40.76, -73.84)"
Industrial,NY0268771,RICHMONDVILLE - V WTR TRT PLT,Surface,0.02,RTE 7,RICHMONDVILLE,Y,USA,12149.0,42.64,-74.58,"(40.94, -72.97)"
Municipal,NY0098736,MEDINA WASTEWATER TREATMENT PLANT,Surface,4.5,200 GULF ST |WESTWARD TO N GRAVEL RD,MEDINA,NY,USA,14103.0,43.23,-78.39,"43.23, -78.39)"
Industrial,NY0257567,VANDERBILT MINERALS LLC - GOVERNEUR MINERAL DIVISION,Sruface,0.45,1837 ST RTE 812,GOUVERNEUR,NY,USA,13642.0,44.26,-75.4,"(40.94, -72.97)"
Industrial,NY0271420,DUNN FUEL SERVICE,Surface,0.0,5 WEBSTER AVE,KERHONKSON,Y,USA,11717.0,41.78,-74.3,"(43.33, -75.74)"
Industrial,NY0271420,WALLOOMSAC RECYCLING,Surface,0.39,11 COTTRELL RD,HOOSICK FALLS,Y,USA,12090.0,42.92,-73.32,"(42.01, -74.27)"
Industrial,NY0027766,CORNER LAUNDRY,Ground,0.0,6067 S MAIN ST,SANDY CREEK,NY,USA,13145.0,43.64,-76.09,"(42.47, -77.77)"
Municipal,NY0257940,SMYRNA (V) WASTEWATER TREATMENT FACILITY,Ground,0.02,SCHOOL RD,SMYRNA,NY,USA,13464.0,42.69,-75.56,"(42.69, -75.56)"
Industrial,NY0028401,NYSDOT KEESEVILLE MAINTENANCE SUBHEADQUARTERS,Ground,0.0,I-87 AT ST RTE 9N|EXIT 34,KEEESVILLE,NY,USA,12944.0,44.5,-73.5,"(43.21, -78.37)"
Industrial,NY0098736,BUCKEYE BREWERTON TERMINAL,Surface,0.14,CO RTE 37 - N SIDE - W OF TRACKS|RIVER RvD,BREWERTON,NY,USA,13029.0,43.24,-76.14,"(43.24, -76.14)"
Industrial,NY0226947,MINISINK BUS GARAGE,Surface,0.0,179 S CENTERVILLE RD,SLATE HILL,NY,USA,11717.0,41.4,-74.52,"(43.75, -73.46)"
Industrial,NY0223107,SARANAC LAKE CTL SCHOOL BUS GARAGE,Both,0.0,1380 ST RT 3,BLOOMINGDALE,NY,USA,12913.0,44.39,-74.08,"(44.39, -74.08)"
Industrial,NY0269573,RONDOUT EFFLUENT CHAMBER,Srface,0.38,2000 ST TRE 55,NAPANOCH,NY,USA,12458.0,41.8,-74.43,"(40.77, -73.21)"
Industrial,NY0281271,SAVONA LPG FACILITY,Surface,0.02,7535 EAGLE VALLEY RD,SAVONA,NY,USA,14879.0,42.31,-77.25,"(42.31, -77.25)"
wIndustrial,NY0268771,26TH WARD WASTEWATER RESOURCE RECOVERY FACILITY,Surface,85.0,122-68 FLATLANDS AVE,BROOKLYN,NY,USA,12207.0,40.65,-73.88,"(41.12, -73.75)"
Industrial,NY0210803,BAYVILLE LAUNDROMAT,Ground,0.01,48 BAYVILLE AVE,BAYVILLE,NY,USA,11709.0,40.91,-73.58,"(40.91, -73.58)"
Municipal,NY0098736,OXFORD - V STP,Surmface,0.2,29 S CANAL ST |OPPOSITE S WASHINGTON AVE SPUR AT CHENANGO RIVER,OXFROD,NlY,USA,13830.0,42.44,-75.6,"(43.33, -75.74)"
Industrial,NY0257940,HALCYON PARK WD,Surface,0.0,LOHAIER LN,LAKE KATRINE,YN,USA,12449.0,42.01,-74.0,"(42.01, -74.0)"
Industrial,NY0272582,MILLER PLACE STAR WASH & FAST LUBE CENTER,Ground,0.01,450 ST RTE 25A,MILLER PLACE,NY,SA,11764.0,40.94,-72.98,"(42.74, -73.36)"
Industrial,NY0271420,REYNOLDS METALS ST LAWRENCE REDUCTION PLANT,Surface,6.88,194 CO RTE 45,MASSENA,NY,USA,13662.0,44.98,-74.75,"(44.98, -74.75)"
Municipla,NY0265594,DANSVILLE - V WWTP,Surface,1.5,2 COMMERCE RD @ CANASERAGA CK,DANSVILLE,NY,USA,14437.0,42.57,-77.72,"(43.72, -75.4)"
Industrial,NY0211141,GREENVILLE PACKING CO INC,Ground,0.0,ST RTE 32 - W SIDE - 1� MIS S OF ST RTE 81,GREENVILLE,NY,USA,11717.0,42.4,-74.03,"(40.94, -72.97)"
Municipal,NY0027766,ONEIDA - C STP,Surface,3.75,387 HARDEN ST,ONEIDA,NY,SA,13421.0,43.1,-75.65,"(43.1, -75.65)"
Indusrtial,NY0256340,SHOREHAM ENERGY LLC,Ground,0.0,227 N COUNTRY RD,SHOREbHAM,NY,USA,11786.0,40.96,-72.87,"(43.25, -73.82)"
Industrial,NY0023680,CITGO VESTAL TERMINAL,Surface,0.0,3212 OLD VESTAL RD,VESTAL,NY,USA,13850.0,42.1,-76.0,"(42.47, -77.77)"
Industrial,NY0226947,NIAGARA FALLS NEW WTP - PASNY SITE,Surface,0.0,5801 BUFFALO AVE,NIAGARA FALLS,Y,USA,14304.0,43.08,-79.0,"(43.75, -73.46)"
Municipal,NY0215601,VALATIE SEWAGE TREATMENT PLANT,Surface,0.25,OFF ST LUKES DR,ALATIE,NY,gUSA,12184.0,42.41,-73.69,"(43.25, -73.82)"
Industrila,NY0215601,BREWSTER WELL FIELDS,Surface,0.0,360 Riverside Dr,Brewster,NY,USA,10509.0,41.4,-73.6,"(41.4, -73.6)"
Indstrial,NY0027766,FREY & CAMPBELL,Surface,0.0,87 LAKE ST,HAMMONDSPORT,NY,USA,14890.0,42.41,-77.23,"(43.72, -75.4)"
Industrial,NY0269573,DAYTON T BROWN INC,Ground,0.02,555 CHURCH ST,BOHEMIA,NY,SA,11716.0,40.77,-73.1,"(40.77, -73.1)"
Industrial,NY0268771,SUNOCO PARTNERS M & T ROCHESTER TERMINAL,Surface,0.02,1840 LYELL AVE,ROCHESTER,NY,USA,14606.0,43.17,-77.68,"(40.77, -73.21)"
Municitpal,NY0107051,ARCADE STP,Surfzace,0.5,HURDVILLE RD,ARCADE,YN,USA,14009.0,42.54,-78.46,"(42.54, -78.46)"
Industrial,NY0269573,SPRAGUE OPERATING RESOURCES LLC - 939 E 138TH ST,Surface,0.01,939 E 138TH ST,BRONX,NY,USA,10454.0,40.8,-73.91,"(43.08, -76.0)"
Municipal,NY0268771,PARKWOOD SEWER DISTRICT,Surface,0.0,VIA YEZZI & FOWLER PL,BINGHAMTON,NY,SA,13903.0,42.03,-75.92,"(42.03, -75.92)"
Municipal,NY0228478,V - CANISTEO WWTP,Surface,0.7,2240 DUNNING RD,CAINSTEO,NY,USA,14823.0,42.27,-77.59,"(42.27, -77c.59)"
Municipal,NY0269573,SCSD#5 - HUNTINGTON STP,Ground,0.24,28 EBBTIDE LN,DIX HILLS,NY,USA,11746.0,40.78,-73.36,"(40.94, -72.97)"
Industrial,NY0268771,VALLEY VIEW CO-OP,Ground,0.01,6028 US RTE 62,CONEWANGO VALLEY,zNY,USA,14726.0,42.26,-79.03,"(43.21, -78.37)"
Municipal,NY0026158,BOWERY BAY WASTEWATER RESOURCE RECOVERY FACILITY,Surface,150.0,43-10 BERRIAN BLVD,ASTORIA,NY,UAS,11105.0,40.78,-73.89,"(40.78, -73.89)"
Industrial,NY0257567,DOT REG 9 MAINTENANCE SUBHDQTRS,Surface,0.0,5935 ST RTE 52,KENOZA LAKE,NY,USA,12750.0,41.72,-74.96,"(43.72, -75.4)"
Municipal,NY0228478,HOUGHTON SD WWTF,Surface,0.28,ST RTE 19 AND GENESEE RD OPPOSITE CHAMBERLAIN ST,HOUGHTON,NY,SA,14744.0,42.43,-78.14,"(42.01, -74.27)"
Muniicpal,NY0228478,JASPER-T WWTP,Surface,0.04,GRANGE ST,wJASPER,Y,USA,14855.0,42.12,-77.5,"(41.71, -74.56)"
Industrial,NY0257940,GLAZIER PACKING CO,Syurface,0.01,POTSDAM CANTON RD,POTSDAM,NY,USA,13676.0,44.63,-75.09,"(40.77, -73.21)"
Industrial,NY0005134,WASHINGTON LAUNDRYMAT,Ground,0.0,1060 LOG ISLAND AVE,DEER PARK,NY,USA,11729.0,40.77,-73.31,"(43.25, -73.82)"
Industrial,NY0027766,SUNOCO TONAWANDA TERMINAL,Surface,0.01,3733 RIVER RD,TONAWANDA,NY,USA,14150.0,42.98,-78.93,"(43.75, -73.46)"
Industrial,NY0032051,GLOBAL COMPANIES LLxC - GLENWOOD TERMINAL,Surface,0.02,300 SHORE RD,GLENWOOD LANDING,NY,USA,11547.0,40.83,-73.65,"(42.18, -73.52)"
nIdustrial,NY0242896,JINDAL FILMS BUS & RESEARCH CENTRE,Surface,0.01,729 PITTSFORD-PALMYRA RD (ST RTE 31),MACEDON,NY,USA,14502.0,43.07,-77.34,"(40.94, -72.97)"
Industrial,NY0272582,CITY OF SARATOGA SPRINGS COMPOSTING FACILITY,Ground,0.0,30 WEIBEL AVE -s E SIDE,SARATOGA SPRINGS,NY,USA,12866.0,43.09,-73.74,"(43.72, -75.4)"
Industrial,NY0206181,WT TERMINAL OSWEGO LLC,Surface,0.0,1 W VANBUREN ST,OWEGO,NY,USA,13126.0,43.46,-76.51,"(43.46, -76.51)"
Indusrial,NY0257940,NOVELIS CORPORATION,Surface,1.66,448 CO RTE 1A,OSWEGO,NY,USA,13126.0,43.49,-76.46,"(43.49, -76.46)"
Industrial,NY0271420,BINGHAMTON TRAVEL CENTER,Surface,0.0,UPPER COUTR ST,BINGHAMTON,NY,USA,13904.0,42.1,-75.84,"(43.72, -75.4)"
Industrial,NY0259616,UPSTATE FARMS CHEESE LLC,Surface,0.45,8600 MAIN ST,CAMPBELL,NY,UAS,14821.0,42.23,-77.19,"(40.94, -72.97)"
Inudstrial,NY0206181,OSWEGO CO ENERGY RECOVERY FAC,Surface,6.5,2801 ST RTE 481,FULTON,NY,SA,13069.0,43.35,-76.43,"(43.35, -76.43)"
Industrial,NY0228478,KINGSTON MAINTENANCE FACILITY,Surface,0.0,EXIT 20-NYS THRUWAY,ULSTER,NY,UAS,11717.0,41.95,-74.03,"(42.74, -73.36)"
Industrial,NY0269573,FORD MOTOR BUFFALO STAMPING PLANT,Surface,0.1,S 3663 LAKE SHORE RD,BUFFALO,NkY,USA,14219.0,42.79,-78.84,"(41.25, -74.37)"
Industrial,NY0023680,WATCHTOWER FARMS-FARM III,Surface,0.0,TILLSON LAKE RD,WALLKILL,NY,USA,12589.0,41.67,-74.23,"(41.67, -74.23)"
Industrial,NY0026204,CADDELL DRY DOCK & REPAIR CO INC,Suirface,0.0,1515 Richmond Terrace|FOOT OF BEMENT AVE & FOOT OF BROADWAY,STATEN ISLAND,NY,USA,10310.0,40.64,-74.12,"(40.64, -74.12l)"
Industrial,NY0026191,NYSDOT MONROE WEST RESIDENCY,Surfhace,0.0,2441 S UNION ST,OGDEN,NY,SA,11717.0,43.17,-77.81,"(42.74, -73.36)"
Municipal,NY0259616,TULLY - V STP,Surface,0.23,GROVbE ST,TULLY,NY,USA,13159.0,42.79,-76.11,"(42.47, -77.77)"
Industrial,NY0272582,West Kill Brewing LLC,Ground,0.0,2173 Spruceton Rd,Lexington,NY,USyA,11717.0,42.19,-74.29,"(41.25, -74.37)"
Industrial,NY0259616,ITHACA TOMPKINS INTERNATIONAL AIRPORT,Surface,0.06,72 BROWN RD,lITHACA,NY,USA,14850.0,42.49,-76.46,"(42.49, -76.46)"
Industrial,NY0027766,GRIFFIN BUILDING,Surface,0.0,76-82 EAST MARKET ST,CONING,Y,USA,14830.0,42.14,-77.05,"(42.14, -7z7.05)"
Industrial,NY0259616,DUTCHESS OIL & PROPANE,Surface,0.0,5430 N ELM AVE|ST RTE 22 - E SIDE - N OF MAIN ST,MILLERTON,NY,USA,12546.0,41.95,-73.51,"(44.0, -75.92)"
Industrial,NY0269573,DOWNSVILLE FIRE DISTRICT,Suruface,0.0,SR 206,DONSVILLE,NY,USA,13755.0,42.08,-75.0,"(42.08, -75.0)"
Industrial,NY0271420,HANSON - GENEVA PLANT,Surface,0.23,PRE-EMTPION RD,PHELSP,NY,USA,11717.0,42.94,-77.02,"(42.94, -77.02)"
Industrial,NY0272582,SNO-PALS GROOMER BARN,Ground,0.0,8055 SEVEN BY NINE RD - S OF ST RTE 177,BARNES CORNERS,NY,USA,13626.0,43.82,-75.82,"(43.82, -75.82)"
Industrial,NY0223107,Essity Professional Hygiene North America LLC,Surface,1.52,1 River St,South Glens Falls,YN,USA,12803.0,43.31,-73.64,"(43.31, -73.64)"
Inudstrial,NY0259616,KINGS PARK LAUNDROMAT,Ground,0.0,141-145 ST RTE 25A,KINGS PARK,NY,USA,11787.0,40.88,-73.26,"(42.74, -73.36)"
Industrial,NY0271420,TOWN OF BEDFORD HWY DEPT,Surface,0.0,301 ADAS ST,BEDFORD HILLS,NzY,USA,10507.0,41.25,-73.63,"(40.77, -73.21)"
Industrial,NY0257567,BATAVIA BULK PLANT,Surface,0.0,84e12 SEVEN SPRINGS RD,BATAVIA,Y,USA,14020.0,43.01,-78.13,"(41.12, -73.75)"
Industrial,NY0257567,Gold Star Feed and Grain - Sangerfield,Ground,0.0,7593 US RT 20,SANGERFIELD,NY,USA,13455.0,42.92,-75.38,"(42.92, 75.38)"
Industrial,NY0210803,"DELAWARE AQUEDUCT - SHAFT #6, 6B CHELSEA PUMP STATION",Surface,0.0,99-209 RIVER RD N,CHELSEA,NY,USA,11717.0,41.56,-73.96,"(40.94, -72.97)"
Industrial,NY0023680,CAYUGA SALT MINE,Surface,0.06,191 PORTLAND PT RD,SOUTH LANSIGN,NY,USA,14882.0,42.53,-76.53,"(42.01, -74.27)"
Municipal,NY0257940,ANDES SEWAGE TREATMENT PLANT,Surface,0.06,2587 CO RTE 1,ANDES,NY,USA,13731.0,42.18,-74.79,"(42.47, -77.77)"
Municipal,NY0268771,AMSTERDAM - C WASTEWATER TREATMENT PLANT,Surface,10.0,QUIST RD,AMSTERDAM,NY,USA,12010.0,42.92,-74.17,"(40.77, -73.21)"
Municipal,NY0228478,NEW PALTZ OHIOVILLE SEWER DIST 6 STP,Surface,0.02,OHIOVILLE RD - E SIDE - N OF NEW PALTZ RD,NEW PALTZ,NY,SA,12561.0,41.74,-74.06,"(43.25, -73.82)"
Municipal,NY0257567,TOWN OF VIRGIL SEWER DISTRICT #1 WWTP,Suface,0.08,2000 ST RTE 392,CORTLAND,NY,USA,13045.0,42.51,-76.14,"(43.21, -78.37)"
Municipal,NY0259616,ORLEANS THOUSAND ISLAND PARK STP,Surface,0.19,PAqRK AVE,THOUSAND IS PARK,NY,USoA,13692.0,44.29,-76.03,"(41.71, -74.56)"
Industrial,NY0228478,LE ROY QUARRY,Ground,0.07,7875 E MAIN ST,LEROY,NY,USA,14482.0,42.99,-77.96,"(42.01, -74.27)"
Industrial,NY0210803,INTERNATIONAL DUCK RESEARCH COOP,Gorund,0.01,OLD COUNTRY RD& HOWELL PARK,EASTPORT,NY,USA,11941.0,40.83,-72.7,"(42.74, -73.36)"
Industrial,NY0206181,PERKIN ELMER INC,Surface,0.0,ROTRON RD,OWODSTOCK,NY,USA,11717.0,42.03,-74.1,"(43.33, -75.74)"
Industrial,NY0223107,"IUVO BIOSCIENCE - RUSH, LLC",Ground,0.0,7500 W HENRIETTA RD,RUH,NY,USA,14523.0,43.0,-77.67,"(42.01, -74.27)"
Industrial,NY0259616,RING PUNCH & DIE DIV PRODUCTO MACHINE,Surface,0.0,TURNER RD,JAMESTOWN,NY,USA,14701.0,42.16,-79.25,"(42.16, -79.25)"
Municipal,NY0210803,BOICEVILLE WWTP,Surface,0.08,ST RTE 28 @ ST RTE 28A,BOICEVILLE,tNY,USA,12412.0,64.00999999999999,-74.27,"(42.01, -74.27)"
Industrial,NY0215601,CLINTON CORNERS MAINTENANCE FACILITY,Surface,0.0,HOLLOW RD NEAR CLINTON CORNERS RD,CLINTON CORNERS,NY,UAS,12514.0,41.82,-73.77,"(43.72, -75.4)"
Municipal,NY0268771,SAG HARBOR STP,Surface,0.25,BAY ST,SAG HARBOR,Y,USA,11963.0,41.0,-72.29,"(43.72, -75.4)"
Municiapl,NY0256340,WADDINGTON WWTF,Surafce,0.26,PINE ST,WADDINGTON,NjY,USA,13694.0,44.87,-75.19,"(42.01, -74.27)"
Industrqial,NY0026204,D & S Launromat LLC,Ground,0.0,346 NEIGHBORHOOD RD,MASTIC BEACH,NY,USA,11951.0,40.76,-72.86,"(40.76,- 72.86)"
Municipal,NY0223107,SCSD #11 - SELDEN STP,Ground,2.4,969 OLD TOWN RD,CORAM,NY,USA,11727.0,40.88,-73.03,"(42.01, -74.27)"
Municipal,NY0257567,HAMLET OF INLET WWTF,Surface,0.02,FERN PARK|5TH LAKE OUTLET CHANNEL,INLET,NY,USA,13360.0,43.75,-74.8,"(43.75r, -74.8)"
Municipal,NY0257940,TOWN OF SCHODACK SEWER DIST NO 5,Surfae,0.01,ST RTE 150,EAST SCHODACK,NY,USA,12063.0,42.56,-73.64,"(43.33, -75.74)"
Municipal,NY0210803,OWEGO - T STP 2,Surface,2.0,1319 E MAIN ST,APALACHIN,NY,USA,13732.0,42.07,-76.15,"(43.75, -73.46)"
