uniqueid,indicatorid,namevalue,measure,measureinfo,geotypename,geojoinid,geoplacename,timeperiod,startdate,datavalue
169357.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,208,Riverdale and Fieldston (CD8),Summer 2010,06/01/2010,11.83
169358.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,209,Parkchester and Soundview (CD9),Summer 2010,06/01/2010,12.02
169359.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,210,Throgs Neck and Co-op City (CD10),Summer 2010,06/01/2010,11.84
169360.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,211,Morris Park and Bronxdale (CD11),Summer 2010,06/01/2010,11.77
169361.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,212,Williamsbridge and Baychester (CD12),Summer 2010,06/01/2010,11.75
169362.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,301,Greenpoint and Williamsburg (CD1),Summer 2010,06/01/2010,13.41
169363.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2010,06/01/2010,12.72
169364.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,303,Bedford Stuyvesant (CD3),Summer 2010,06/01/2010,12.04
169366.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,305,East New York and Starrett City (CD5),Summer 2010,06/01/2010,11.89
169367.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2010,06/01/2010,12.72
169368.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,307,Sunset Park (CD7),Summer 2010,06/01/2010,12.53
169369.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2010,06/01/2010,11.96
169370.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2010,06/01/2010,11.82
169371.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2010,06/01/2010,11.74
169372.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,311,Bensonhurst (CD11),Summer 2010,06/01/2010,11.5
169373.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CD12),Summer 2010,06/01/2010,11.74
169374.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2010,06/01/2010,11.32
169375.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,314,Flatbush and Midwood (CD14),Summer 2010,06/01/2010,11.73
169376.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,315,Sheepshead Bay (CD15),Summer 2010,06/01/2010,11.37
169377.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,316,Brownsville (CD16),Summer 2010,06/01/2010,12.04
169378.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,317,East Flatbush (CD17),Summer 2010,06/01/2010,11.92
169379.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,318,Flatlands and Canarsie (CD18),Summer 2010,06/01/2010,11.42
169380.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,401,Long Island City and Astoria (CD1),Summer 2010,06/01/2010,12.09
169381.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,402,Woodside and Sunnyside (CD2),Summer 2010,06/01/2010,13.32
169382.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,403,Jackson Heights (CD3),Summer 2010,06/01/2010,11.61
169383.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,404,Elmhurst and Corona (CD4),Summer 2010,06/01/2010,12.0
169384.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,405,Ridgewood and Maspeth (CD5),Summer 2010,06/01/2010,12.05
169385.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,406,Rego Park and Forest Hills (CD6),Summer 2010,06/01/2010,11.82
169386.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,407,Flushing and Whitestone (CD7),Summer 2010,06/01/2010,11.62
169387.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2010,06/01/2010,11.38
169388.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2010,06/01/2010,11.56
169389.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2010,06/01/2010,11.18
169390.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,411,Bayside and Little Neck (CD11),Summer 2010,06/01/2010,11.25
169391.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,412,Jamaica and Hollis (CD12),Summer 2010,06/01/2010,11.38
169392.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,413,Queens Village (CD13),Summer 2010,06/01/2010,10.99
169393.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,414,Rockaway and Broad Channel (CD14),Summer 2010,06/01/2010,10.74
169394.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,501,St. George and Stapleton (CD1),Summer 2010,06/01/2010,11.57
169395.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,502,South Beach and Willowbrook (CD2),Summer 2010,06/01/2010,11.51
169396.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),Summer 2010,06/01/2010,11.27
169397.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),Summer 2011,06/01/2011,13.22
169398.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,102,Greenwich Village and Soho (CD2),Summer 2011,06/01/2011,13.16
169399.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,103,Lower East Side and Chinatown (CD3),Summer 2011,06/01/2011,12.42
169400.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,104,Clinton and Chelsea (CD4),Summer 2011,06/01/2011,13.52
169401.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,105,Midtown (CD5),Summer 2011,06/01/2011,15.55
169402.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2011,06/01/2011,14.13
169403.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,107,Upper West Side (CD7),Summer 2011,06/01/2011,12.46
169404.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Side (CD8),Summer 2011,06/01/2011,13.14
174785.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,UHF42,503,Willowbrook,Winter 2011-12,12/01/2011,0.86
169405.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2011,06/01/2011,11.97
169406.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,110,Central Harlem (CD10),Summer 2011,06/01/2011,11.88
169407.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,111,East Harlem (CD11),Summer 2011,06/01/2011,12.1
169408.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,112,Washington Heights and Inwood (CD12),Summer 2011,06/01/2011,11.72
169409.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,201,Mott Haven and Melrose (CD1),Summer 2011,06/01/2011,12.46
169410.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,202,Hunts Point and Longwood (CD2),Summer 2011,06/01/2011,12.38
169411.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,203,Morrisania and Crotona (CD3),Summer 2011,06/01/2011,11.82
169412.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,204,Highbridge and Concourse (CD4),Summer 2011,06/01/2011,12.24
169413.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,205,Fordham and University Heights (CD5),Summer 2011,06/01/2011,12.3
169414.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,206,Belmont and East Tremont (CD6),Summer 2011,06/01/2011,11.9
169415.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2011,06/01/2011,11.72
169416.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,208,Riverdale and Fieldston (CD8),Summer 2011,06/01/2011,11.29
169417.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,209,Parkchester and Soundview (CD9),Summer 2011,06/01/2011,11.58
169418.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,210,Throgs Neck and Co-op City (CD10),Summer 2011,06/01/2011,11.45
169419.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,211,Morris Park and Bronxdale (CD11),Summer 2011,06/01/2011,11.32
169420.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,212,Williamsbridge and Baychester (CD12),Summer 2011,06/01/2011,11.28
169421.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,301,Greenpoint and Williamsburg (CD1),Summer 2011,06/01/2011,12.93
169422.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2011,06/01/2011,12.23
169423.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,303,Bedford Stuyvesant (CD3),Summer 2011,06/01/2011,11.6
169424.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,304,Bushwick (CD4),Summer 2011,06/01/2011,11.64
169425.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,305,East New York and Starrett City (CD5),Summer 2011,06/01/2011,11.54
169426.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2011,06/01/2011,12.25
169427.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,307,Sunset Park (CD7),Summer 2011,06/01/2011,12.09
169428.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2011,06/01/2011,11.53
169429.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2011,06/01/2011,11.4
169430.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2011,06/01/2011,11.35
169431.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,311,Bensonhurst (CD11),Summer 2011,06/01/2011,11.14
169432.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CD12),Summer 2011,06/01/2011,11.34
169433.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2011,06/01/2011,11.02
169434.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,314,Flatbush and Midwood (CD14),Summer 2011,06/01/2011,11.35
169435.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,315,Sheepshead Bay (CD15),Summer 2011,06/01/2011,11.06
169436.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,316,Brownsville (CD16),Summer 2011,06/01/2011,11.65
169437.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,317,East Flatbush (CD17),Summer 2011,06/01/2011,11.53
169438.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,318,Flatlands and Canarsie (CD18),Summer 2011,06/01/2011,11.1
169439.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,401,Long Island City and Astoria (CD1),Summer 2011,06/01/2011,11.62
169440.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,402,Woodside and Sunnyside (CD2),Summer 2011,06/01/2011,12.85
169441.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,403,Jackson Heights (CD3),Summer 2011,06/01/2011,11.19
169442.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,404,Elmhurst and Corona (CD4),Summer 2011,06/01/2011,11.6
169443.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,405,Ridgewood and Maspeth (CD5),Summer 2011,06/01/2011,11.65
219986.0,386.0,Ozone (O3),Mean,ppb,Borough,4,Queens,Summer 2012,06/01/2012,34.5
169444.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,406,Rego Park and Forest Hills (CD6),Summer 2011,06/01/2011,11.46
169445.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,407,Flushing and Whitestone (CD7),Summer 2011,06/01/2011,11.28
169446.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2011,06/01/2011,11.09
169447.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2011,06/01/2011,11.24
169448.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2011,06/01/2011,10.9
169449.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,411,Bayside and Little Neck (CD11),Summer 2011,06/01/2011,10.99
169450.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,412,Jamaica and Hollis (CD12),Summer 2011,06/01/2011,11.15
169451.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,413,Queens Village (CD13),Summer 2011,06/01/2011,10.81
169452.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,414,Rockaway and Broad Channel (CD14),Summer 2011,06/01/2011,10.59
169453.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,501,St. George and Stapleton (CD1),Summer 2011,06/01/2011,11.16
169454.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,502,South Beach and Willowbrook (CD2),Summer 2011,06/01/2011,11.15
169455.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),Summer 2011,06/01/2011,10.99
169456.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),Summer 2012,06/01/2012,12.25
169457.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,102,Greenwich Village and Soho (CD2),Summer 2012,06/01/2012,12.15
169458.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,103,Lower East Side and Chinatown (CD3),Summer 2012,06/01/2012,11.35
169459.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,104,Clinton and Chelsea (CD4),Summer 2012,06/01/2012,12.53
169460.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,105,Midtown (CD5),Summer 2012,06/01/2012,14.8
169461.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2012,06/01/2012,13.22
169462.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,107,Upper West Side (CD7),Summer 2012,06/01/2012,11.44
169463.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Side (CD8),Summer 2012,06/01/2012,12.17
169464.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2012,06/01/2012,10.89
169465.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,110,Central Harlem (CD10),Summer 2012,06/01/2012,10.8
169466.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,111,East Harlem (CD11),Summer 2012,06/01/2012,10.99
169467.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,112,Washington Heights and Inwood (CD12),Summer 2012,06/01/2012,10.61
169468.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,201,Mott Haven and Melrose (CD1),Summer 2012,06/01/2012,11.32
169469.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,202,Hunts Point and Longwood (CD2),Summer 2012,06/01/2012,11.22
169470.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,203,Morrisania and Crotona (CD3),Summer 2012,06/01/2012,10.7
169471.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,204,Highbridge and Concourse (CD4),Summer 2012,06/01/2012,11.14
169472.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,205,Fordham and University Heights (CD5),Summer 2012,06/01/2012,11.2
169473.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,206,Belmont and East Tremont (CD6),Summer 2012,06/01/2012,10.77
169474.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2012,06/01/2012,10.62
169475.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,208,Riverdale and Fieldston (CD8),Summer 2012,06/01/2012,10.14
169476.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,209,Parkchester and Soundview (CD9),Summer 2012,06/01/2012,10.42
169477.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,210,Throgs Neck and Co-op City (CD10),Summer 2012,06/01/2012,10.27
169478.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,211,Morris Park and Bronxdale (CD11),Summer 2012,06/01/2012,10.17
169479.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,212,Williamsbridge and Baychester (CD12),Summer 2012,06/01/2012,10.12
169480.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,301,Greenpoint and Williamsburg (CD1),Summer 2012,06/01/2012,11.78
169481.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2012,06/01/2012,11.12
169482.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,303,Bedford Stuyvesant (CD3),Summer 2012,06/01/2012,10.47
169483.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,304,Bushwick (CD4),Summer 2012,06/01/2012,10.49
169484.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,305,East New York and Starrett City (CD5),Summer 2012,06/01/2012,10.38
169485.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2012,06/01/2012,11.1
169486.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,307,Sunset Park (CD7),Summer 2012,06/01/2012,10.93
169487.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2012,06/01/2012,10.4
169488.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2012,06/01/2012,10.28
169489.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2012,06/01/2012,10.19
169490.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,311,Bensonhurst (CD11),Summer 2012,06/01/2012,9.99
169491.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CD12),Summer 2012,06/01/2012,10.2
169492.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2012,06/01/2012,9.86
169493.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,314,Flatbush and Midwood (CD14),Summer 2012,06/01/2012,10.22
169494.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,315,Sheepshead Bay (CD15),Summer 2012,06/01/2012,9.9
169495.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,316,Brownsville (CD16),Summer 2012,06/01/2012,10.51
169496.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,317,East Flatbush (CD17),Summer 2012,06/01/2012,10.39
169497.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,318,Flatlands and Canarsie (CD18),Summer 2012,06/01/2012,9.93
169498.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,401,Long Island City and Astoria (CD1),Summer 2012,06/01/2012,10.46
169499.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,402,Woodside and Sunnyside (CD2),Summer 2012,06/01/2012,11.7
169500.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,403,Jackson Heights (CD3),Summer 2012,06/01/2012,10.04
169501.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,404,Elmhurst and Corona (CD4),Summer 2012,06/01/2012,10.47
169502.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,405,Ridgewood and Maspeth (CD5),Summer 2012,06/01/2012,10.48
169503.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,406,Rego Park and Forest Hills (CD6),Summer 2012,06/01/2012,10.33
169504.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,407,Flushing and Whitestone (CD7),Summer 2012,06/01/2012,10.11
169505.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2012,06/01/2012,9.93
169506.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2012,06/01/2012,10.08
169507.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2012,06/01/2012,9.72
169508.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,411,Bayside and Little Neck (CD11),Summer 2012,06/01/2012,9.81
169509.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,412,Jamaica and Hollis (CD12),Summer 2012,06/01/2012,9.98
169510.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,413,Queens Village (CD13),Summer 2012,06/01/2012,9.63
169511.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,06/01/2012,9.41
169512.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,501,St. George and Stapleton (CD1),Summer 2012,06/01/2012,9.98
169513.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,502,South Beach and Willowbrook (CD2),Summer 2012,06/01/2012,9.97
169514.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),Summer 2012,06/01/2012,9.8
169515.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),Summer 2013,06/01/2013,12.22
169516.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,102,Greenwich Village and Soho (CD2),Summer 2013,06/01/2013,12.09
169517.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,103,Lower East Side and Chinatown (CD3),Summer 2013,06/01/2013,11.25
169518.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,104,Clinton and Chelsea (CD4),Summer 2013,06/01/2013,12.48
169519.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,105,Midtown (CD5),Summer 2013,06/01/2013,15.03
169520.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2013,06/01/2013,13.31
169521.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,107,Upper West Side (CD7),Summer 2013,06/01/2013,11.38
219987.0,386.0,Ozone (O3),Mean,ppb,Borough,4,Queens,Summer 2013,06/01/2013,31.6
169522.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Side (CD8),Summer 2013,06/01/2013,12.21
169523.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2013,06/01/2013,10.78
169524.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,110,Central Harlem (CD10),Summer 2013,06/01/2013,10.71
169525.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,111,East Harlem (CD11),Summer 2013,06/01/2013,10.9
169526.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,112,Washington Heights and Inwood (CD12),Summer 2013,06/01/2013,10.49
169527.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,201,Mott Haven and Melrose (CD1),Summer 2013,06/01/2013,11.21
169528.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,202,Hunts Point and Longwood (CD2),Summer 2013,06/01/2013,11.13
169529.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,203,Morrisania and Crotona (CD3),Summer 2013,06/01/2013,10.62
169530.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,204,Highbridge and Concourse (CD4),Summer 2013,06/01/2013,11.06
169531.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,205,Fordham and University Heights (CD5),Summer 2013,06/01/2013,11.13
169532.0,365.0,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,206,Belmont and East Tremont (CD6),Summer 2013,06/01/2013,10.7
