Time,Title,Artist,Album,Unnamed: 4,Rating
02:33a,Let It Snow,Chris McDonald Orchestra,Christmas In The Cit...,Buy,
02:29a,One Small Child Medley,Women Of Faith,Christmas,Buy,
02:26a,O Come O Come Emmanuel,Jessica Campbell,Acoustic Christmas,Buy,
02:24a,It's Beginning To Look A Lot Like Christ,Kim Collingsworth,,,
02:22a,Bring A Torch Jeanette Isabella,Eric Tingstad & Nancy Rumbel,The Gift,Buy,
02:18a,O Little Town Of Bethlehem/ Silent Night,Tom Rasely & Scott Adams,A Lakeside Christmas,Buy,
02:13a,Have Yourself A Merry Little Christmas,Don Moen,A Season Of Hope,Buy,
02:08a,Away In A Manger,The King's Chamber Orchestra,Christmas String Hea...,Buy,
02:05a,Angels We Have Heard On High,Discovery Ensemble,Christmas Meditation...,Buy,
02:01a,Christmas Time Is Here,Beegie Adair & David Davidson,Christmas Elegance,Buy,
01:58a,What Child Is This,Chris Rice,The Living Room Sess...,Buy,
01:54a,Jingle Bells,Roberto Occhipinti Ensemble,Christmas Memories,Buy,
01:51a,The First Noel,Gary Lowry,,,
01:47a,Breath Of Heaven,Sam Levine,Christmas Sax,Buy,
01:43a,Christmas In The City,Matt Wertz,Snow Globe,Buy,
01:38a,O Holy Night,Emile Pandolfi,White Christmas,Buy,
01:36a,Mary Had A Baby,Martingale Artists,Christmas Guitar:the...,Buy,
01:32a,The Christmas Song,Dino Kartsonakis,Christmas�a Time For...,Buy,
01:29a,It Came Upon A Midnight Clear,Mario Da Silva,Acoustic Christmas,Buy,
01:25a,I Wonder As I Wander,Haven,Come Let Us Adore Hi...,Buy,
01:21a,White Christmas,Roberto Occhipinti Ensemble,Christmas Memories,Buy,
01:17a,Lo How A Rose E'er Blooming,Jay Rouse,,,
01:14a,Sleeper's Wake,Discovery Ensemble,A Christmas Eventide,Buy,
01:10a,Home For The Holidays,Montgomery Smith,Christmas By Candlel...,Buy,
01:07a,I Saw Three Ships,Jim Brickman,Homecoming,Buy,
01:04a,I'll Be Home For Christmas,Phillips Craig & Dean,Repeat The Sounding ...,Buy,
01:01a,Good Christian Men Rejoice,Amade Ensemble,Ansel Adams:sounds O...,Buy,
12:56a,O Little Town Of Bethlehem,Jaci Velasquez,Christmas,Buy,
12:53a,Let It Snow,Beegie Adair & David Davidson,Christmas Elegance,Buy,
12:50a,Away In A Manger,Chris Rice,The Living Room Sess...,Buy,
12:45a,What Child Is This,Ed Smith Ensemble,Fireside Christmas: ...,Buy,
12:41a,Have Yourself A Merry Little Christmas,Roberto Occhipinti Ensemble,Christmas Memories,Buy,
12:37a,Hark The Herald Angels Sing Medley,Straight No Chaser,Holiday Spirits,Buy,
12:34a,The First Noel,Jonathan Burchfield,Home For The Holiday...,Buy,
12:30a,Skater's Waltz,Michael Maxwell Ensemble,Sugar Plum Fairies,Buy,
12:27a,Pat-a-pan,Barbara Higbie,A Windham Hill Chris...,Buy,
12:22a,It Came Upon A Midnight Clear,Tom Howard,Piano Christmas,Buy,
12:18a,I Love You,Bebe Winans,I Love You,Buy,
12:13a,No Eye Has Seen / All Is Well,Burchfield Brothers,All Is Well - Christ...,Buy,
