score_recent(long),grade_recent,date_recent,score_two(long),grade_two,date_two,score_three(long),grade_three,date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
100,A,2023/03/14 00:00:00,100,A,2022/08/24 00:00:00,100,A,2022/02/28 00:00:00,32737.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GUTERMUTH ELEMENTARY SCHOOL,1500 SANDERS LN,LOUISVILLE,KY,40216,1988/07/29 04:00:00+00,81.0
99,A,2023/04/17 00:00:00,97,A,2022/09/12 00:00:00,100,A,2022/03/09 00:00:00,31388.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WILT ELEMENTARY SCHOOL,6700 PRICE LANE RD,LOUISVILLE,KY,40229,1989/01/24 05:00:00+00,82.0
99,A,2023/08/25 00:00:00,100,A,2023/01/12 00:00:00,100,A,2022/08/22 00:00:00,31794.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FRAYSER ELEMENTARY SCHOOL,1230 LARCHMONT AVE,LOUISVILLE,KY,40215,1989/01/24 05:00:00+00,83.0
100,A,2023/05/01 00:00:00,100,A,2022/09/08 00:00:00,100,A,2022/04/12 00:00:00,31389.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,JEFFERSON CO. TRADITIONAL MIDDLE SCHOOL,1418 MORTON AVE,LOUISVLLE,KY,40204,1988/07/14 04:00:00+00,84.0
98,A,2023/09/11 00:00:00,100,A,2023/03/23 00:00:00,100,A,2022/09/14 00:00:00,32739.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,THOMAS JEFFERSON MIDDLE SCHOOL,1501 RANGELAND RD,LOUISVILLE,KY,40219,1988/07/29 04:00:00+00,85.0
100,A,2023/09/11 00:00:00,100,A,2023/02/27 00:00:00,100,A,2022/09/12 00:00:00,31797.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,VALLEY HIGH SCHOOL,10200 DIXIE HWY,LOUISVILLE,KY,40272,1988/07/25 04:00:00+00,86.0
100,A,2023/08/30 00:00:00,99,A,2023/02/03 00:00:00,100,A,2022/09/26 00:00:00,31390.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WESTERN MIDDLE SCHOOL,2201 W MAIN ST,LOUISVILLE,KY,40212,1989/03/29 05:00:00+00,87.0
100,A,2023/04/11 00:00:00,100,A,2022/10/07 00:00:00,99,A,2022/04/18 00:00:00,32741.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,JEFFERSONTOWN HIGH SCHOOL,9600 OLD SIX MILE LN,LOUISVILLE,KY,40299,1989/02/27 05:00:00+00,88.0
98,A,2023/09/13 00:00:00,100,A,2023/05/01 00:00:00,100,A,2022/10/19 00:00:00,31798.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SLAUGHTER ELEMENTARY SCHOOL,3805 FERN VALLEY RD,LOUISVILLE,KY,40219,1988/07/25 04:00:00+00,89.0
100,A,2023/09/06 00:00:00,100,A,2023/03/02 00:00:00,100,A,2022/10/04 00:00:00,31391.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WALLER WILLIAMS ENVIRONMENTAL SCHOOL,2415 ROCKFORD LN,LOUISVILLE,KY,40216,1998/10/21 04:00:00+00,90.0
100,A,2023/03/16 00:00:00,100,A,2022/08/25 00:00:00,100,A,2022/02/24 00:00:00,32743.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,JOHNSONTOWN ELEMENTARY SCHOOL,7201 JOHNSONTOWN RD,LOUISVILLE,KY,40272,1988/07/29 04:00:00+00,91.0
100,A,2023/02/23 00:00:00,100,A,2022/09/02 00:00:00,100,A,2022/03/14 00:00:00,31799.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SMYRNA ELEMENTARY SCHOOL,6401 OUTER LOOP,LOUISVILLE,KY,40228,1988/07/25 04:00:00+00,92.0
100,A,2023/08/28 00:00:00,100,A,2023/02/24 00:00:00,100,A,2022/10/13 00:00:00,31392.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,YOUNG ELEMENTARY #374,3526 W MUHAMMAD ALI BLVD,LOUISVILEL,KY,40212,1988/07/14 04:00:00+00,93.0
100,A,2023/04/10 00:00:00,100,A,2022/10/14 00:00:00,100,,2022/03/04 00:00:00,32745.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,OLMSTED ACADEMY SOUTH,5650 SOUTHERN PKWY,LOUISVILLE,KY,40214,1989/03/06 05:00:00+00,94.0
100,A,2023/05/08 00:00:00,100,A,2022/11/09 00:00:00,100,cA,2022/04/18 00:00:00,31802.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WALDEN SCHOOL,4238 WESTPORT RD,LOUISVILLE,KY,40207,2009/10/20 04:00:00+00,95.0
96,A,2023/03/27 00:00:00,100,A,2022/10/11 00:00:00,98,,2022/02/24 00:00:00,31396.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,LOUISVILLE,KY,40217,1988/07/14 04:00:00+00,96.0
100,A,2023/04/10 00:00:00,100,A,2022/10/18 00:00:00,100,A,2022/03/11 00:00:00,32748.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FL OLMSTEAD ACADEMY NORTH,4530 BELLEVUE AVE,LOUISVILLE,KY,40215,1988/07/29 04:00:00+00,97.0
100,A,2023/09/05 00:00:00,100,A,2023/02/10 00:00:00,100,A,2022/08/17 00:00:00,31803.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,STONESTREET ELEMENTARY,10007 STONESTREET RD,LOUISVILLE,KY,40272,1988/07/25 04:00:00+00,98.0
100,A,2023/08/25 00:00:00,100,A,2023/02/14 00:00:00,100,A,2022/08/31 00:00:00,31397.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BALLARD HIGH SCHOOL,6000 BROWNSBORO RD,LOUISILLE,KY,40222,1988/07/14 04:00:00+00,99.0
100,A,2023/08/28 00:00:00,100,A,2023/01/30 00:00:00,100,A,2022/09/09 00:00:00,32749.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SOUTHERN HIGH SCHOOL,8620 PRESTON HWY,LOUISVILLE,KY,40219,1988/07/29 04:00:00+00,100.0
100,A,2023/08/28 00:00:00,100,A,2023/02/06 00:00:00,100,A,2022/08/15 00:00:00,31804.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,STUART MIDDLE SCHOOL,4601 VALLEY STATION RD,LOUISVILLE,KY,40272,1989/02/27 05:00:00+00,101.0
100,A,2023/08/28 00:00:00,100,A,2023/03/29 00:00:00,100,A,2022/10/06 00:00:00,31398.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BARRETT MIDDLE SCHOOL,2561 GRINSTEAD DR,LOUISVILLE,KY,40206,1989/02/28 05:00:00+00,102.0
100,A,2023/02/07 00:00:00,100,A,2022/10/13 00:00:00,100,A,2022/02/01 00:00:00,32750.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CAMP TAYLOR ELEMENTARY,1446 BELMAR DR,LOUISVILLE,KY,40213,1988/07/29 04:00:00+00,103.0
100,A,2023/08/22 00:00:00,99,A,2023/01/17 00:00:00,100,A,2022/08/15 00:00:00,31805.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BROWN SCHOOL CAFETERIA,546 S 1ST ST,LOUISVILLE,KY,40202,1988/07/25 04:00:00+00,104.0
99,A,2023/03/29 00:00:00,100,A,2022/09/27 00:00:00,100,A,2022/02/25 00:00:00,31399.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,MINOR DANIELS ACADEMY,1960 BASHFORD MANOR LN,LOUItSVILLE,KY,40218,1988/07/14 04:00:00+00,105.0
100,A,2023/09/13 00:00:00,100,A,2023/03/09 00:00:00,100,A,2022/10/04 00:00:00,32751.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CANE RUN ELEMENTARY SCHOOL,3951 CANE RUN RD,LOUISVILLE,KY,40211,1988/07/29 04:00:00+00,106.0
99,A,2023/08/24 00:00:00,100,A,2023/01/23 00:00:00,100,A,2022/10/06 00:00:00,31806.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ANCHORAGE PUBLIC SCHOOL,11400 RIDGE RD,LOUISVILLE,KY,40223,1988/07/25 04:00:00+00,107.0
100,A,2023/03/21 00:00:00,100,A,2022/10/24 00:00:00,100,vA,2022/03/28 00:00:00,31400.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BATES ELEMENTARY SCHOOL,7601 BARDSTOWN RD,LOUISVILLE,KY,40291,1988/07/14 04:00:00+00,108.0
100,A,2023/04/20 00:00:00,100,A,2022/10/17 00:00:00,100,,2022/04/26 00:00:00,32752.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CARRITHERS MIDDLE SCHOOL,4320 BILLTOWN RD,LOUISVILLE,KY,40299,1988/07/29 04:00:00+00,109.0
100,A,2023/09/06 00:00:00,100,A,2023/02/27 00:00:00,100,A,2022/08/31 00:00:00,31401.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BETH HAVEN,5515 JOHNSONTOWN RD,LOUISVILLE,KY,40272,2009/10/20 04:00:00+00,110.0
100,A,2023/04/14 00:00:00,98,A,2022/10/28 00:00:00,98,,2022/05/16 00:00:00,31807.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ASCENSION OF OUR LORD SCHOOL,4600 LYNNBROOK DR,LOUISVILLE,KY,40220,2009/10/20 04:00:00+00,111.0
100,A,2023/08/23 00:00:00,87,C,2023/02/01 00:00:00,100,A,2022/08/19 00:00:00,32754.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CENTRAL HIGH SCHOOL,1130 W CHESTNUT ST,LOUISVILLE,KY,40203,1988/07/29 04:00:00+00,112.0
100,A,2023/05/02 00:00:00,100,A,2022/11/22 00:00:00,100,A,2022/03/25 00:00:00,31402.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BLAKE ELEMENTARY SCHOOL,3801 BONAVENTURE BLVD,OUISVILLE,KY,40219,1988/07/14 04:00:00+00,113.0
98,A,2023/09/12 00:00:00,99,A,2023/03/10 00:00:00,98,A,2022/08/24 00:00:00,31809.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ASSUMPTION CATHOLIC HIGH SCHOOL,2170 TYLER LN,LOUISVILLE,KY,40205,2009/10/20 04:00:00+00,114.0
100,A,2023/04/13 00:00:00,100,A,2022/10/18 00:00:00,100,A,2022/01/31 00:00:00,32756.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CHENOWETH ELEMENTARY SCHOOL,3622 BROWNSBORO RD,LOUISVILLE,KY,40207,1989/03/06 05:00:00+00,115.0
100,A,2023/09/15 00:00:00,100,A,2023/03/14 00:00:00,100,A,2022/09/28 00:00:00,31404.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,IROQUOIS HIGH SCHOOL,4615 TAYLOR BLVD,LOUISVILLE,KY,40215,1988/07/14 04:00:00+00,116.0
100,A,2023/08/30 00:00:00,100,A,2023/03/17 00:00:00,100,A,2022/09/01 00:00:00,31810.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ATHERTON HIGH SCHOOL,3000 DUNDEE RD,LOUISVILLE,KY,40205,1988/07/25 04:00:00+00,117.0
99,A,2023/02/16 00:00:00,100,A,2022/09/20 00:00:00,99,A,2022/02/18 00:00:00,32761.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CHURCHILL PARK SCHOOL,435 BOXLEY AVE,LOUISVILLE,KY,40209,1988/07/29 04:00:00+00,118.0
100,A,2023/09/14 00:00:00,100,A,2023/02/07 00:00:00,99,A,2022/10/13 00:00:00,31414.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BLUE LICK ELEMENTARY SCHOOL,9801 BLUE LICK RD,LOUISVILLE,KY,40229,1988/07/14 04:00:00+00,119.0
100,A,2023/03/29 00:00:00,100,A,2022/10/14 00:00:00,98,A,2022/03/21 00:00:00,31812.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,AUBURNDALE ELEMENTARY,5749 NEW CUT RD,LOUISVILLE,KY,40214,1989/01/24 05:00:00+00,120.0
100,A,2023/09/06 00:00:00,100,A,2023/02/10 00:00:00,100,A,2022/09/08 00:00:00,32764.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,COCHRANE ELEMENTARY SCHOOL,2511 TREGARON AVE,LOUISVILLE,KY,40299,1988/07/29 04:00:00+00,121.0
100,A,2023/08/29 00:00:00,100,A,2023/03/08 00:00:00,100,A,2022/09/14 00:00:00,31415.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BOWEN ELEMENTARY SCHOOL,1601 ROOSEVELT LN,OLUISVILLE,KY,40242,1988/07/14 04:00:00+00,122.0
100,A,2023/09/07 00:00:00,100,A,2023/03/16 00:00:00,98,aA,2022/09/07 00:00:00,31813.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HARTSTERN ELEMENTARY SCHOOL,5200 MORNINGSIDE WAY,LOUISVILLE,KY,40219,1989/01/24 05:00:00+00,123.0
100,A,2023/08/23 00:00:00,100,A,2023/02/01 00:00:00,99,A,2022/08/12 00:00:00,32766.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,COLERIDGE TAYLOR ELEMENTARY SCHOOL,1115 W CHESTNUT ST,LOUISVILLE,KY,40203,1989/01/24 05:00:00+00,124.0
100,A,2023/04/27 00:00:00,100,A,2022/08/24 00:00:00,100,,2022/03/04 00:00:00,31417.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BRECKINRIDGE METROPOLITAN HIGH,1128 E BROADWAY,LOUISVILLE,KY,40204,1988/07/14 04:00:00+00,125.0
100,A,2023/08/28 00:00:00,100,A,2023/03/01 00:00:00,99,A,2022/08/31 00:00:00,31814.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HAWTHORNE ELEMENTARY SCHOOL,2301 CLAREDON AVE,LOUISVILLE,KY,40205,1989/01/24 05:00:00+00,126.0
98,A,2023/09/07 00:00:00,100,A,2023/03/13 00:00:00,100,A,2022/09/20 00:00:00,31815.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HAZELWOOD ELEMENTARY SCHOOL,1325 BLUEGRASS AVE,LOUISVILLE,KY,40215,1988/07/25 04:00:00+00,127.0
100,A,2023/08/29 00:00:00,100,A,2023/03/01 00:00:00,100,A,2022/09/01 00:00:00,31817.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HIGHLAND MIDDLE SCHOOL,1700 NORRIS PLACE,LOUISVILLE,KY,40205,1988/07/25 04:00:00+00,128.0
100,A,2023/02/14 00:00:00,100,A,2022/09/21 00:00:00,100,A,2022/03/30 00:00:00,31818.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HITE ELEMENTARY SCHOOL,12408 SHELBYVILLE RD,LOUISVILLE,KY,40243,1989/03/28 05:00:00+00,129.0
100,A,2023/05/11 00:00:00,98,A,2022/09/29 00:00:00,100,A,2022/01/26 00:00:00,31819.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SACRED HEART MODEL SCHOOL,3107 LEXINGTON RD,LOUISVILLE,KY,40206,2009/10/20 04:00:00+00,130.0
99,A,2023/05/11 00:00:00,96,A,2022/10/05 00:00:00,97,vA,2022/01/24 00:00:00,31820.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SACRED HEART ACADEMY,3175 LEXINGTON RD,LOUISVILLE,KY,40206,2009/10/20 04:00:00+00,131.0
100,A,2023/03/08 00:00:00,99,A,2022/09/29 00:00:00,100,A,2022/01/11 00:00:00,31821.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. AGNES SCHOOL,1800 NEWBURG RD,LOUISVILLE,KY,40205,2009/10/20 04:00:00+00,132.0
100,A,2023/04/11 00:00:00,100,A,2022/10/18 00:00:00,100,jA,2022/04/25 00:00:00,31822.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. ALBERT THE GREAT,1395 GIRARD DR,LOUISVILLE,KY,40222,2009/10/20 04:00:00+00,133.0
99,A,2023/02/09 00:00:00,100,A,2022/10/10 00:00:00,98,A,2022/03/17 00:00:00,31824.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. ATHANASIUS SCHOOL,5915 OUTER LOOP,LOUISVILLE,KY,40219,2009/10/20 04:00:00+00,134.0
99,A,2023/05/12 00:00:00,100,A,2022/10/20 00:00:00,100,A,2022/05/04 00:00:00,31827.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. BERNARD SCHOOL,7501 TANGELO DR,LOUISVILLE,KY,40228,2009/10/20 04:00:00+00,135.0
100,A,2023/08/29 00:00:00,100,A,2023/02/07 00:00:00,100,A,2022/08/26 00:00:00,31831.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. EDWARD'S SCHOOL,9610 SUE HELEN DR,LOUISVILLE,KY,40299,2009/10/20 04:00:00+00,136.0
93,A,2023/09/06 00:00:00,96,A,2023/03/07 00:00:00,99,A,2022/09/02 00:00:00,31833.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. FRANCIS OF ASSISI,1938 ALFRESCO PL,LOUISVILLE,KY,40205,2009/10/20 04:00:00+00,137.0
99,A,2023/02/28 00:00:00,99,A,2022/09/07 00:00:00,99,A,2022/03/04 00:00:00,31835.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. GABRIEL SCHOOL,5503 BARDSTOWN RD,LOUISVILLE,KY,40291,2009/10/20 04:00:00+00,138.0
100,A,2023/09/13 00:00:00,99,A,2023/03/07 00:00:00,98,yA,2022/09/01 00:00:00,31838.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. JAMES SCHOOL,1818 EDENSIDE DR,LOUISVILLE,KY,40204,2009/10/20 04:00:00+00,139.0
100,A,2023/09/07 00:00:00,100,A,2023/03/07 00:00:00,100,A,2022/09/13 00:00:00,31843.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,NOTRE DAME ACADEMY,1925 LEWISTON DR,LOUISVILLE,KY,40216,2009/10/20 04:00:00+00,140.0
100,A,2023/04/19 00:00:00,95,A,2022/11/16 00:00:00,95,,2022/02/15 00:00:00,31844.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,IMMACULATA CLASSICAL ACADEMY,440 ZORN AVE,LOUISVILLE,KY,40206,2009/10/20 04:00:00+00,141.0
98,A,2023/08/24 00:00:00,99,A,2023/03/29 00:00:00,100,A,2022/09/06 00:00:00,31846.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. MARTHA SCHOOL,2825 KLONDIKE LN,LOUISVILLE,KY,40218,2009/10/20 04:00:00+00,142.0
100,A,2023/08/18 00:00:00,100,A,2023/03/31 00:00:00,98,***,2022/10/27 00:00:00,31847.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. MARGARET MARY CATHOLIC SCHOOL,7813 SHELBYVILLE RD,LOUISVILLE,KY,40222,2009/10/20 04:00:00+00,143.0
100,A,2023/08/24 00:00:00,100,A,2023/02/02 00:00:00,100,A,2022/08/31 00:00:00,32692.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. MATHEWS ELEMENTARY SCHOOL,601 BROWNS LN,LOUISVILLE,KY,40207,2009/10/20 04:00:00+00,144.0
100,A,2023/09/05 00:00:00,100,A,2023/03/07 00:00:00,100,A,2022/09/08 00:00:00,32694.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. PAUL ELEMENTARY CATHOLIC SCHOOL,6901 DIXIE HWY,LOUISVILLE,KY,40258,2009/10/20 04:00:00+00,145.0
100,A,2023/09/05 00:00:00,100,A,2023/03/02 00:00:00,100,A,2022/09/01 00:00:00,32695.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,JOHN PAUL II,3521 GOLDSMITH LN,LOUISVILLE,KY,40220,2009/10/20 04:00:00+00,146.0
100,A,2023/09/12 00:00:00,100,A,2023/09/12 00:00:00,99,A,2023/03/02 00:00:00,32696.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. ANDREW CATHOLIC ACADEMY,7724 COLUMBINE DR,LOUISVILLE,KY,40258,2009/10/20 04:00:00+00,147.0
100,A,2023/09/07 00:00:00,98,A,2023/03/10 00:00:00,98,,2022/10/07 00:00:00,32697.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. RAPHAEL SCHOOL,2131 LANCASHIRE AVE,LOUISVILLE,KY,40205,2009/10/20 04:00:00+00,148.0
100,A,2023/09/01 00:00:00,100,A,2023/02/14 00:00:00,99,A,2022/09/13 00:00:00,32698.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. RITA SCHOOL,8709 PRESTON HWY,LOUISVILLE,KY,40219,2009/10/20 04:00:00+00,149.0
100,A,2023/03/10 00:00:00,100,A,2022/10/07 00:00:00,100,A,2022/01/10 00:00:00,32700.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. STEPHAN MARTYR SCHOOL,2931 PINDELL AVE,LOUISVILLE,KY,40217,2009/10/20 04:00:00+00,150.0
100,A,2023/08/24 00:00:00,100,A,2023/02/09 00:00:00,100,A,2022/08/29 00:00:00,32703.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SANDERS ELEMENTARY SCHOOL,8408 TERRY RD,LOUISVILLE,KY,40258,1988/07/29 04:00:00+00,151.0
100,A,2023/03/15 00:00:00,100,A,2022/08/16 00:00:00,100,A,2022/02/28 00:00:00,32704.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SHACKLETTE ELEMENTARY SCHOOL,5310 MERCURY DR,LOUISVILLE,KY,40258,1989/03/08 05:00:00+00,152.0
99,A,2023/08/25 00:00:00,98,A,2023/01/13 00:00:00,100,A,2022/09/09 00:00:00,32707.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SEMPLE ELEMENTARY SCHOOL,724 DENMARK ST,LOUISVILLE,KY,40215,1988/07/29 04:00:00+00,153.0
100,A,2023/08/30 00:00:00,100,A,2023/03/13 00:00:00,100,A,2022/09/27 00:00:00,32708.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SENECA HIGH SCHOOL,3510 GOLDSMITH LN,LOUISVILLE,KY,40220,1989/03/06 05:00:00+00,154.0
98,A,2023/08/29 00:00:00,100,A,2023/02/02 00:00:00,100,A,2022/10/06 00:00:00,32710.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SHAWNEE HIGH SCHOOL,4018 W MARKET ST,LOUISVILLE,KY,40212,1988/07/29 04:00:00+00,155.0
98,A,2023/03/23 00:00:00,100,A,2022/08/23 00:00:00,100,A,2022/03/04 00:00:00,32767.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CONWAY MIDDLE SCHOOL,6300 TERRY RD,LOUISVILLE,KY,40258,1988/07/29 04:00:00+00,156.0
100,A,2023/02/16 00:00:00,98,A,2022/09/22 00:00:00,100,A,2022/03/02 00:00:00,31418.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DUBOIS ACADEMY,3307 E INDIAN TRAIL,LOUISVILLE,KY,40213,1989/02/27 05:00:00+00,157.0
100,A,2023/05/03 00:00:00,100,A,2022/11/21 00:00:00,100,A,2022/04/25 00:00:00,32769.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CORAL RIDGE ELEMENTARY,10608 NATIONAL TURNPIKE,LOUISVILLE,KY,40118,1989/01/24 05:00:00+00,158.0
100,A,2023/09/07 00:00:00,98,A,2023/02/16 00:00:00,99,A,2022/09/12 00:00:00,31419.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BUTLER HIGH SCHOOL,2222 CRUMS LN,LOUISVILLE,KY,40216,1988/07/14 04:00:00+00,159.0
100,A,2023/09/11 00:00:00,100,A,2023/02/03 00:00:00,100,A,2022/09/14 00:00:00,32771.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CROSBY MIDDLE SCHOOL,303 GATEHOUSE LN,LOUISVILLE,KY,40243,1989/03/28 05:00:00+00,160.0
100,A,2023/08/24 00:00:00,99,A,2023/02/17 00:00:00,100,A,2022/10/06 00:00:00,31421.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BYCK ELEMENTARY SCHOOL,2328 CEDAR ST,LOUISVILLE,KY,40212,1988/07/14 04:00:00+00,161.0
