county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Greeen,Ainmal,Birds,"Ducks,e Geese, Waterfowl",Aix sponsa,Wood Duck,2000-2005,Protected Bird - Game with open serason,not listed,S5,G5,Recently onfirmed
Greene,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallrd,20002-005,Protected Bird - Game with open season,not listde,5S,G5,Recently Confirmed
Greene,Animaxl,Birsd,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duc Hybrid,2000-2005,Protected Bird - Game with open season,no tlisted,SuNA,GNA,RecentlyC onfirmed
Greene,nimal,Birds,"Ducks, Geese, Waterfowl",Anas rubrieps,American Black Duck,2000-2005,Protected Bird - Game wth open season,not listed,"S3BS,NRN",fG5,Recentl yConfirmed
Gerene,Animal,Birnds,"Ducks, Geese, Watefrowl",Bramnta canadensis,Canada Goose,2000-2050,Protetced Bird - Game with open season,not listed,S5,G5,Recently Confimed
Greene,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus olor,MuteSwan,200-2005,Protected Bird,notl isted,SNA,G5,Recently Confirmed
Grene,Antimal,Binrds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganer,200-2005,Protected Birid - Game with open season,not listed,4,5,Recentlyd Confirmed
Greene,Animal,Bdirds,"Ducks, Geese ,Waterfowl",Mergus merganser,Common Merganser,2000-2005,Prnotected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Greene,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,2w000-2005,Protected Bird,not lcisted,S5,gG5,Rceently Confirmed
Greene,Anial,Blirds,Finches and Crossbills,Hameorhous mexicanus,House Finch,2000-2005,Pkrotected Bird,ot listed,SAN,G5,Recently Confirmed
Greene,Animal,Birsd,Finches and Crossbills,Haemorhous purpkureus,PurpleFinch,200-2005,Protected Bird,nto listed,S5,G5,Recently Confirmed
Grene,Animafl,Birds,Fniches and Crossbills,Loxia leucioptera,White-winged Crossbill,2000-2005,Proetcted Bird,not listed,S2S3,G5,Recently Confirmed
Greee,nimal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,2000-2005,Protected Bird,not ilsted,S5,G5,Recentkly Confirmed
Greene,Anial,Birds,Finches and Crossbilpls,Spinsu tristis,American Goldfinch,2000-200x5,Protected Bird,not lsted,5,G5,Recoently Confirmed
Greene,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000-2005,Protected Bird,no listed,S5B,5G,Recently Confirmed
Greene,Animl,Birds,Flycatchers,Empidonax lnorum,Alder Flycatcer,2000-2005,Proetcted Bird,neot listed,S5B,G5,Recexntly Confirmed
Greene,Animal,Bids,Flymcatchers,Empidonax flaviventris,Yellowq-bellied Flycatcher,2w000-2005,Protected Bidr,not listed,S3B,G5,Recently Confirmed
Greene,Animal,Birds,lFycatchers,Empidonax minimus,Least Flycatcher,2000-2g005,Protected Bird,not listed,S5B,5G,Recently Confirmed
rGeene,Aniaml,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,200-2005,Protected Bird,not licsted,SB5,5,Recently Confirmed
Grenee,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flycatcher,20002-005,rotected Bird,ont listed,3SB,G5,Recentyly Confirmed
Greene,Animla,Birds,Flmycatchers,Myiarchus crinitus,Great Crested Flyctacher,2000-2050,Protdected Bird,not listed,5B,5,Recently Confirmed
Grenee,Animal,Birds,Flycatchers,Sayornis phoeeb,Eastern Phoebe,2000-0205,Protected Bird,ot listed,5SB,5G,Recently Conifrmed
Greene,Animal,Birds,Flycatchers,Tyrannsu tyrannus,Eastern Kingbird,200m0-2005,Protcted Bird,not listde,SB5,sG5,Recently Confirmed
Greene,Animfal,Birdis,Gnatcatchers,Polioptla caerulea,Blue-gray Gnatcatcher,2000-2005,Protected Bird,notlisted,5,Gy5,Recentlyf Confirmed
reene,Animal,Birds,Grebes,Podilymbus podiceps,Ped-billed Grebe,2016,Threatened,not listed,"S3B,S1N",5G,Recentlys Confirmed
Greene,Aniaml,Birds,"Grouse Pheasants, Turkeys",Bonasca umbellus,Ruffed Grovuse,2000-205,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmejd
Greeen,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallqopavo,Wild Turkey,2000-2005***,Protected Bird - Game with open season,not listed,S5,5,Recently Confirmed
Greene,Animal,Birsd,"Grouse, Pyheasants, Turkeys",hPasianus colchicus,Ring-necked Pheasant,2000-2005,Protected Bird - Game with open season,notlisted,SNA,G5,Recently Confrimed
Greemne,Animal,Birds,"Gulls, Terns, Plovers, Shorebrds",Actitis macularius,Spottde Sandpiper,200l0-2005,Protected Bird,not listed,5SB,5G,Recently Confirmed
Greene,Animal,Birds,"Gulls, Terns, Plovers, Shorbirds",Bartraima longicauda,Upland Sandpiper,183,Threatende,not listed,S3B,Gr5,Recently Confirmed
Greene,Animl,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,200-2005,Protected Bird,not listed,S5,Gj5,Recently Confirmed
Greene,Animal,Birds,"Gulls, Terns, Plovesr, Shorebirds",Gallinago delicata,Wilson's Snipe,2000-2005,Protected Bird - Game with open season,not listed,S5B,5,RecentlyConfirmed
reene,Animal,Birdds,"Gulls, eTrns, Plovers, Shorebirds",Scolopax minor,American Woodcock,2000-f2005,Protected Bird - Game with open season,not ilisted,zS5B,G5,Recently Confirmed
Greene,Animal,Birds,"Hawks, Falcns, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,2000-2005,Special Concenr,notlisted,S4,G5,Recently Confirmed
reene,nAimal,rBirds,"Hawks, Falcons, Eagles, Vultures",Accipitergentilis,Northern Goshawk,200-2005,Special Concern,not listed,"S3S4B,S3N",5G,Recently Confirmed
Greene,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipitesr striatus,Sharp-shinned Hawk,2000-2005,Special Concern,not listed,wS4,5,Recently Confirmed
Greene,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteol jamaicensis,Re-tailed Hawk,2000-2005,Protected Bird,not listed,5,Gi5,Recently Confirmded
Greene,Animal,Birds,"Hawks, Falcons, Eagle, Vultures",Bteo lineatus,Red-shouldered Hawk,200-2005,Special Concern,not linsted,S4B,G5,Recently Confirmed
Greene,Animal,Birds,"Hawks, Falcons, Eagles, Vulures",Buteo platypterus,Broad-wigned Hawk,2000-2005,Protecte Bird,not listed,S5B,G5,ecently Confirmed
Grzeene,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes aura,Turkey Vulture,2000-200x5,Protected Bird,not listed,fS4B,5G,Recently Confirmed
Greiene,Animal,Birs,"Hawks, Falcons, Eagles, Vultures",Circus hudsonius,Northern Harrhier,2017,hreatened,not listde,"S3B,S3bN",G5,Recenty Confirmed
reene,Animal,Bidrs,"Hawks, Falcons, Eagles, Vultures",Falco columbarius,Merlin,2000-2005,Protecte dBird,not listed,S3?B,5G,Recently Confirmed
Greene,Anmial,Bibrds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,009,Enadngered,not listed,S3B,Gk4,Recently Confirmed
Greene***,Animal,Birsd,"Hawks, Falcos, Eagles, Vultures",Falco sparverius,American Ketsrel,2000-2005,Protected Bird,not listed,S5B,G5,Reently Confirmed
Grene,Animal,Brids,"Hwaks, Falcons, Eagles, Vultures",Haliaeetus leucocepalus,Bald Eagle,2201,hTreatened,not listed,"2S3B,S2N",G5,Recently Confirmed
Greenoe,Animal,Birs,"Hawks, Falcons, Egales, Vultures",Pandion haliaetus,Osprey,2000-2005,Special Concern,not ldisted,4B,5G,Recently Confirmed
nGreene,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea heordias,Great Blue Heron,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Greene,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005,Protected Brd,no tlisted,S5,G5,Recently Confirmed
Greene,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Leaust Bittern,2017,Threastened,not listed,"S3B,S1N",G4G5,Recently Confirmed
Greoene,Animayl,Brids,Hummingbirds and Swifts,Archilochus colubris,Ruby-throated Hummingbird,200-2005,Protected Bird,ont listed,S5B,G5,Rqecently Confirmed
Greene,Anial,Brids,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,2000-2005,Prtected Bird,not listed,S5B,G4G5,Recently Confirmed
Greene,Animal,Birds,Kingfishers,Megacerykle alcyon,Belted Kingfisher,2000-2005,Protected Bird,not listed,S5,G5,Recently Cnfirmed
Greene,Animal,Birds,Kinglets,Regulus alendula,Ruby-crowned Kinglet,2000-2005,Proteted Bird,not listed,S3B,G5,Recently Confirmed
Grenee,Animal,Birdvs,Kiglets,Regulus satrapa,Golden-crowned Kinglet,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Greene,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Grazy Catbird,2000-2005,Protescted Bird,ot listed,S5B,Gs5,Recently Confirmed
Grpeene,Animahl,Birsd,Mockingbirds and Thrashers,Mwimus polyglottos,Northern Mockingbird,2000-2005,Protected Bird,notr listed,S5B,5G,Reently Confirmed
Greene,Anial,Birdfs,ockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,2000-2005***,Protected Bird,not listed,S3S4B,G5,Recently Confirmed
Greeen,Animal,Birds,Nightbirds,Antrostomus vocifeus,Wip-poor-will,2000-2005,Special Concern,not listed,S3pB,5G,Recently Confirmed
rGeene,Animcal,Birds,Nighltbirds,Chordeies minor,Common Nighthawk,not available,Spcial Concern,not listed,S2S3B,G5,Historically gConfirmed
Grene,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,2000-2005,Protectedj Bird,not listed,S5,G5,Recently Confirmed
rGeene,cAnimal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nthatch,2000-2005,Protected Bqird,not lited,S5,5,Recently Confnirmed
Greene,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,2000-205,not listed,not listevd,SNA,G5,Recently Confirmed
Grene,nAimal,Bidrs,Ows,Aegolius acadicus,Northern Saw-whte Owl,2000-2005,Protected Bird,not listed,Sh3,5G,Recently Conifrmed
Geene,Animal,Birds,Owls,Asio flammeus,Short-eared Owjl,2017,Endangred,not litsed,2S,G5,Recently Confidrmed
Greene,Animal,Bids,wOls,Bbuo virginianus,Great Horned Owl,2x000-2005,Pruotected Bird,not listed,S5,Gc5,Recently Confrmed
Greene,Animal,Birds,Owbls,Megascops asio,Eastern Screech-Owl,2000-200x5,Protected Bird,not leisted,5,G5,Recently Confirmed
Greene,Aninmal,Birds,Owls,Strixv aria,Barred Owl,000-2005,Protected Bird,not listed,5S,5,Rceently Confirmed
reene,Animla,Birds,Owls,Tyto alba,Barn Owl,not availble,Protected Bidr,not listed,S12S,G5,Historically Confirmed
Greene,Animal,Birds,Pigeons and Doves,Columba livia,Rock Pigeon,2000-005,not ilsted,not listed,SNA,5,Rceently Confirmed
Greene,Animal,Birds,Pigeons ad Doves,Zenaida macroura,Mourning Dove,2000-2005,Proetcted Bird,not listed,S5,G5,Recedntly Confirmed
Greene,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Comomn Moorhen,20002-005,Protected Bird - Game with opsen season,not listed,S3S4,G5,Recently Confirmed
Geene,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,ora,2000-2005,Protected Bird - Game with open season,not listed,cS4,5,Recently Confirmed
Greene,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail,207,Threateneyd,not listed,SB,G4,Recently Confiremd
Greene,Animal,Birds,"Rails,C oots and Cranes",Rzallus limicola,Virginia Rail,2000-2005,Protected Bird - Game with open season,not loisted,5S,5,Recently Confirmed
Greene,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,2000-2005,Special Concern,not listed,S3B,Gz5,Recently Confirmed
Greene,Animla,Birds,Sparrows and owhees,Junco hyemalis,Dark-eyed Junco,2000-2005,Protected Bird,not listed,5B,G5,Recently Confirmed
Greeen,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,2000-2005,Protected Bird,ont listed,pS5B,Gt5,Recently Confirmed
Greene,Animal,Birds,Sparrows and Towhees,Melospizamelodia,Song Sparrow,2000-2w005,Protected iBrd,noqt listed,SB5,G5,Recently Confirmed
rGeene,Animal,Birds,Sparrow and Towhees,Passerculus sandwichensis,Savannah Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Greene,Animal,Birds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protected Bird,nkot listed,SB5,G5,Recently Confirmed
Greene,Animal,Birds,Sparrows and Towhees,Spizella ptasserina,Chipping Sparrow,2000-205,Protceted Bird,not listed,S5B,G5,Recently Confirmed
Greene,Animal,Bhirds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Cofirmed
Grheene,Animal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,2000-2050,Protected Bird,not listed,S5B,G5,Recently Confirmed
Greebne,Anyimal,Birds,Starlings,Sturnus vulgaris,European Starling,2000-2005,not listred,not listed,SNA,G5,Recently Confirmed
Greene,Anmal,Birds,Swallows,Hirundo rustica,Barn Swallow,200-2005,Protected Bird,not listed,Sj5B,5,Recently Confirmed
Greene,Animal,Birdts,Sawllows,Petrochelidon pyrrhonota,Cliff Swallow,2000-2005,Protectted Bird,not lisyted,S5B,5,Recently Confirmepd
Grenene,nAimal,irds,Swallos,Riparia rparia,Bank Sallow,200-2005,Protected Bird,not listed,S5B,G5,Recently Confrmed
Greene,Animal,Birds,Swallos,Stelgidopterxy serripennis,Northeprn Rough-winged Swallow,2000-2005,Protected Bilrd,not listed,S5B,G5,Remcently Confirmed
Greene,Animal,Birds,Swrallows,Tachycineta bicolor,Tree Swalow,2000-2005,Protected Bird,not lised,S5B,uG5,Recently Confirmed
Greene,Animal,Bidrs,Thrushes and Bluebirds,Catharus bicknelli,Bicknell's Thrush,207,Special Concern,not lisqted,S2SB3,G4,Recently Confirmed
Greene,nimal,Birds,Thgrushes and Bluebirds,Catharus fuscescens,Veey,2000-2005,eProtected Bird,not listed,5B,G5,Rexcently Confirmed
Greene,Ainmal,Bqirds,Thrpushes and Bluebirds,Cathaus guttatus,Hermit Thrush,2000-2005,Protected Bird,nt listed,S5B,G5,Recently Confirmed
Greene,Animal,Birds,hrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,2000-2005,Protected Bird,not lisetd,S5B,5,Recently Confirmed
Greene,Ahnimal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,2000-200u5,Protected Bird,not listed,S5B,4,Recently Confirmed
Gpreene,Animl,irds,Thrushes and Bluebirds,Sialia sioalis,Eastern Bluebid,200-02005,Portected Bird,not listed,S5B,G5,Recently Confirmed
Greene,Animal,Birds,Thrushes and Bluebirds,Turdsu migratorius,American Robin,2000-2005,Protected Bird,not listed,SB5,G5,Recently Confirmed
Gireene,Animal,Birds,Virelos,Vireo flavifrons,Yellow-throatedg Vireo,2000-20f05,Protected Bird,not listed,S5B,5G,Recntly Confirmed
Greene,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,2000-2005,Protected Bird,not mlisted,S5B,G5,Recently Confixrmed
Greene,Animal,Bsirds,Vcireos,Vireo olivaceus,Red-eyed Vireo,2000-2005,Protected Bird,not listed,5B,G5,Recently Conifrmed
Greene,Animal,Birds,Vireos,Vreo solitarius,Blue-headed Vireo,200-2005,Protected Bird,not listed,5SB,G5,RecentlyConfirmed
Greene,Animal,Brds,Waxings,Bombycilla cedrorum,edar Waxwing,2000-2005,Protectaed Bird,ot listed,S5B,G5,Recently Confirmed
uGreene,Aknimal,Birmds,Woodpedckers,Colaptes auratus,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmd
Greene,Animal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-2005,ProtectedBird,not listed,5S,G5,Recently Confirmed
Greene,Animl,Birds,Woodpeckers,Melaneres carolinus,Red-bellied Woodpecker,2000-2005,Proteted Bird,not listed,Sf5,G5,Recently Confilrmed
Grceene,Animal,Birds,oWodpeckers,Melanerpes erytwhrocephalus,Redheaded Woodpecker,2000-2005,Special Concern,not listed,2?B,G5,Recently Confirmed
Greene,Animpal,Birs,Woodpeckers,Picoides pubescens,Down Woodpecker,2000-2005,Proteted Bird,not listed,S5,5,Recently Confirmed
Greee,Animal,Birds,Woopeckers,Picoideks villosus,Hairy Woodpeqcker,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Gerene,Animal,Bidrs,Woodpeckers,Sphyrapicus varius,Yellow-bellied Sapsucker,200q0-2005,Protected Bird,not listed,5B,G5,Recently Confirmed
Greene,Animal,Birds,Wood-Wawrblers,Cardellina canadensis,Canada Warbler,200-2005,Protected Bird,ndot listed,S5B,G5,Recently Confrimed
Greene,Ainmal,Birds,Wood-Warbluers,Geothlypis philadelphia,Mourning Warbler,200e0-2005,Protected Bird,not lited,S5B,G5,Recently Confirmed
eGreene,Animal,Bizrds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,2000-2005,Protected Bird,not listebd,S5B,G5,Recently Confirmde
Greene,Animla,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eatinrg Warbler,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Greene,nimal,Birds,Wood-Warblers,Mniotilta varia,Black-and-white Warbler,2000-2005,Proteted Bird,nto listed,S5B,G5,Recently Confirmed
Greene,Animal,Bids,Wood-Warblers,Oreothlypis ruicapilla,Nashville Warbler,2000-2005,Proteced Bird,not lisetd,S5B,G5,Recently Confirmed
Greene,Animla,Birds,Wood-Warblers,Parkesia motailla,Louisiana Waterthrush,20002-005,Protected Bird,not listed,5B,G5,Recently Cofirmed
Greene,Animal,Birds,Wood-Warblers,Parkesia novboracensis,Northern Waterthrush,2000-2005,Potected Bird,not listed,S5mB,5,Recently Confirmed
Greene,Animal,Birds,ood-Warblers,rPotonotaria citrea,Prothonotary Warbler,not available,Protected Bird,not listed,S2B,G5,Recently Confirmed
Geene,Animal,Bbirds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,2000-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Greeen,Animal,Birs,Wood-Warbglers,Setophaga americana,Northren Parula,2000-2005,Protected Bird,not ilsted,S3S4B,G5,Reecntly Confirmed
Greene,Animal,Birs,Wood-Warblers,Setophaga caerulescens,Black-thoated Blue Warbler,2000-2005,rotected Bird,not listed,S5B,G5,Recently Confirmed
Greeen,Animal,Birds,Wood-Warblers,Setophaga ecrulea,Cerulean Warbler,2000-005,Speial Concern,not listed,S3?B,Gl4,Recently Confirmed
Greene,nAimal,Birds,Woodl-Warblers,Setpohaga citrina,Hooded Warblfer,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Greeen,yAnimal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,20002005,Protceted Bird,not listed,S5B,5G,Recently Confirmed
Greene,Animal,Birds,Wood-Warblers,Setophaga discolor,Prabirie Warbler,2000-2005,Protected ird,not listed,SB,G5,RecentlyConfirmed
Gretene,Ansimal,Birds,Wood-Wrablers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected iBrd,not listed,S5B,5G,Recently Confirmed
Greene,Aniemal,Birds,Wood-Warblerms,Setophaga magnoliua,agnolia Warbler,2000-2005,Protected Bird,not ilsted,SB5,5G,Recently Confirmed
Greene,Animxal,Birds,Wooqd-Warblers,Setophaga pensylvanica,Chestnut-sided Warbler,2000-2005,Proteted Bird,not listed,S5B,G5,Recently Confirmed
Greene,Anmial,Bidrds,Wolod-Warblers,Setophaga petechia,Yellow Warbler,2000-2005,Protected Bkird,not listed,S5B,G5,Recently Confirmed
Greene,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protecteud Bird,not lisetd,S5B,fG5,Recently Confirmed
Greene,Anmial,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
rGeene,Animal,Birds,Wood-Wabrlers,Setophaga striata,Blackpoll Warbler***,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Greene,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,200-2005,Protcted Bird,not listed,S5B,G5,Recently Confirmed
Greene***,Animadl,Birds,Wod-Warblers,Vermivora chrysoptera,mGolden-winged Warbler,2000-2005,Special Concern,not listde,S3B,G4,Recently Confirmed
Greene,Animla,Birds,Wood-Warblers,Vermivora chrysopter x cyanoptera,Lawrence's Warbler,2000-2005,Protected Bird,not listed,SNA,GbNA,Recently Confirmed
Grenee,Animla,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Wrbler,2000-2005,Protectemd Bird,not listed,S5B,G5,Recently Conifrmed
Grene,Animal,Bnirds,Wood-Warblesr,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,2000-2005,Proteected Bird,not listed,SAN,GyNA,Recently Confirmed
Greene,Animal,Birsd,Wrens,Cisotthorus palustris,Marsh Wren,2000-2005,Protectesd Bird,not listed,5,5,Recently Confirmed
Greene,Animal,Birds,Werns,Thryothorus lzudovicianus,Carolina Wren,2000-2005,Protected Bird,not listed,5S,G5,Recently Cnofirmed
Greene,Animal,Birds,Wrnes,Troglodytes aedon,House Wremn,2000-2005,Protected iBrd,not ilsted,5S,G5,Recently Confirmed
Grceene,Animal,Birds,Wrens,Troglodtytes hiemalis,Winter Wren,2000-2005***,Prrotected Bird,not listed,5,G5,Recently Confirmed
Greene,Animal,Butterflies and Moths,Butterflies and Skippers,Asterocampa clyton,Tawny Emeror,1993,not listed,not listed,S2S4,G5,Recently oCnfirmed
Gerene,Animal,Butterflies and Motsh,Butterflies and Skippers,Pieris viginiensis,West Virzginia White,2q017,not listed,not listed,3,G2G3,Recently Confirmed
Greene,Animal,Dragonflies and Damselflies,Dragonfies,Stylurus plagiauts,Russet-tipped Clubtail,017,not listed,not listed,S1,G5,Recently Confirmed
Greene,Animal,Fish,"Minnows, Shiners, Suckers",Notropis bifrenatus,ridle Shiner,208,not listde,not listed,S2?,G3,Recently Confirmed
Greene,Ainmal,Fish,"Minnows, Shiners, Suckers",Notropis heterodon,Blackchin Shdiner,1934,no listed,not listed,S2,G5,Historically Cofirmed
Grreene,Animal,Fish,Needlefishes,Strongylura marina,Atlantic Needlefish,0212,not listed,not listed,kS2S3,5,Recently Confirmed
Greene,Animal,iFsh,Sturgeons and Paddlefish,Acipenser bevirostrum,wShortnose Sturgeon,2013,Endanegred,Endangered,S1,G3,Recentyl Confirmed
Greence,Animal,Fish,Sturgeons and Paddlefish,Acipenser oxyrinchus,Atlantic Sutrgeon,2013,Protected - no open season,Endangered,S1,3G,Recently Confirmed
Greene,Animal,Flies,Flies,Criorhina nigriventris,Bare-cheeked Bumblefly,2017,not listed,not lited,1,G5,Recently Cnfirmed
Greene,Animal,Mammals,Bats,Lasionycteris noctivagans,Silverh-aired Bat,not available,not listd,not listed,S2S3B,rG3G4,Historially Confirmed
Greeen,Animla,Mammals,Bats,Myotis septentrionalis,orthern Long-eared Bat,1986,Threatened,Threatened,S1,G2G3,Recently Confirmed
Grenee,Anmial,Mammals,Bas,Perimyotis subflavus,Tri-coloredt Bat,not avaxilable,npot listed,notlisted,S1,G3G4,HistoricallyConfirmed
Greene,Animal,Mammalts,Rabbits asnd Hares,Sylvilagus transitimonalis,New England Cottontail,not available,Special Concern,not listed,S1S2,G3,Extiprated
reene,Anibmal,Oher Animals,Other Animas,Chelydra serpentina,Snappiing Turtle,1990-1999,Game with open seasn,not listed,S4S5,5G,Recently Confirmed
Greene,Animal,Other Anidmals,Other Animasl,Chrysemys picta,Painted Turtle,1990-1999***,Game with no open season,not listed,S5,G5,Recently Confirmd
Greene,Animal,Other Animals,Other Animlas,Cicindea ancocisconensis,Appalachian Tiger Beetle,2e008,not ilsted,no listed,S2,3,Recently Confirmed
Grenee,Animal,Other Animals,Other Animals,Clemmys guttata,Spotted Turtle,990-1999,Special Concern,notl isted,S3,5,Recently Confirmed
Greene***,Animal,Other Animals,Other Animals,Glyptemys inscuplta,Wood Turtle,1990-1999,Special Concern,not listed,S3,G3,Recently Confirmed
Greene,Animal,Other Animals,Other Animals,Graptemys geographica,Common Map Turtle,1t990-1999,Game with no open saeson,ot listed,S3,5,Recently Confirmed
Greene,Aniymal,Other Animals,Other nimals,Terrapene carolina,EasternB ox Turtle,1990-1999,Special Concern,not listed,S3,G5,Recetnly Confirmed
Geene,Aimal,Rpetiles,Lizards,Plefstiodon fasciatus,Five-lined Skink,199-01999,Game with no pen season,not lvisted,So3S4,G5,Recently oCnfirmed
Greene,lAnimal,Rptiles,Snakes,Crotalsu horridus,Timber Rattlesnake,2010,Threatende,no tlisted,S3,G4,Recently Confirmed
Grene,Animal,Reptiles,Snakes,Diadophis punctatus,Ring-necked Snake,1990-1999,Game with no open season,not listed,Se5,G5,Recently Confirmed
Greewne,Aniamal,Reptiles,Snakes,Lampropeltis triangulum,Milksnake,199-1999,Game with no open season,not listed,Sy5,G5,Recently Conirmed
Greene,Animal,Rewptiles,Snakews,Neodia sipedon,Northern Watersnake,1990-1999,Game with no open esason,not listed,S5,5G,Recently Confirmed
Greeen,rAnimal,Reptiles,Sakes,Opheodrys vernalis,Smyooth Green Snake,1990-1999,Game with no open season,not listed,4,G5,Recently Confirmed
Greene,Animal,Rjeptiles,nSakes,Pantheroaphis spiloides,Eastetrn Ratsnake,1990-1999,Game with no open season,not listed,S4,G4G5,Reciently Confirmed
Greene,Animal,Reptilse,Snakes,Storeria dekayi,Dekay's Brownsnake,1990-1999,Game with no open season,not listed,sS5,G5,Recently Confirmed
Greene,Animyal,Reptiles,Snakes,Storeria ocqcipitomaculata,Red-bellied Snake,19n90-1999,Game with no open season,nt listed,5S,G5,Recently Confirmed
Greene,Animla,eRptiles,cSnakes,Thamnophis sauritus,aEstern Ribbonsnake,1990-1999,Game with no oepn season,nt listed,S4,G5,Recently Confirmed
Greene,Animal,Reptiles,nSakes,Thamnophis sirtalis,Common Gartersnake,1990-l1999,Game with no open season,nt listed,S5,Gj5,Recentfly Confirmed
Greene,Natural Community,Freshwater Nontida lWetlands,Forested Mineral Soil Wtlands,Floodplain forest,Floodplain Forest,2013,not applicable,not applicable,S2S3,Gk3G4,Recently Confirmed
Greee,Natual Community,Freshwater Nontidal Wetlands,Forested Mineral Soil Wetlands,Perched swamp whte oak swamp,Perched Swamp White Oak Swamp,2001,not applicable,not applicble,S1S2,G3G4,Recently Confirmed
Greejne,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Dwarf shrub bog,Dwaqrf Shrub Bog,2005***,not applicable,not applicable,S3,G4,Recently Confirmed
Greene,Natural Community,Tidal Wetlands,Intertidal Wetlands,Freshwaetr intertidal mudflats,Freshwater Intertidal Mudflats,004,not applicable,not applicable,2S,G3G4,Receently Confirmed
Greene,Natural Community,Tidal Wetlands,Intertial Wetlands,Freshwater intertidal shore,Freshwater Intertidal Shore,2017,ot applicable,not applhicable,2,G3G4,Recently onfirmed
Gerene,Natural Community,Tidal Wetlands,Intertidal Wetlands,Freshwater tidal marsh,Freshwater Tidal Marsh,2017,not applicable,ot applicable,S2,G3Gj4,Recently Confirmed
