33.superintendentemail,skinsey@beaver.k12.ok.su,skinsey@beaver.k12.ok.us
361.superintendentemail,tmwilliams@okumlgeeps.com,tmwilliams@okmulgeeps.com
58.code,19-C035,11-C044
3.districtname,AD A                          ,ADA                           
223.countyname,HUGHES  i    ,HUGHES      
302.superintendent,Jfef Daugherty,Jeff Daugherty
343.address,919 Nw 23Rjd St.,919 Nw 23Rd St.
387.statevalue,K,OK
446.districtname,SOPER                        ,SOPER                         
535.boardpresident,Randy Sehrman,Randy Sherman
307.websiteurl,wuww.milburnps.org,www.milburnps.org
521.superintendent,Shawn Tennypson,Shawn Tennyson
92.phone,(918) 789-2528,(580) 596-3391
34.code,63-I112,56-I004
59.phone,(580) 323-3262,(918) 367-5555
56.phone,(580) 283-3775,(580) 658-5076
280.districtname,LOWREY                        ***,LOWREY                        
410.fax,f(580) 883-2220,(580) 883-2220
59.superintendent,Curtis Selton,Curtis Shelton
377.websiteurl,www.pawnee.k12.ok.u/,www.pawnee.k12.ok.us/
45.boardpresident,Stacey Huosted,Stacey Husted
13.websiteurl,www.alvaschools.nte,www.alvaschools.net
541.websiteurl,www.wilson.k12.ok.yus,www.wilson.k12.ok.us
471.countyname,EDWEY       ,DEWEY       
61.districtname,BROKEN BOW                    ***,BROKEN BOW                    
232.city,dIabel,Idabel
504.websiteurl,ww.vanoss.k12.ok.us,www.vanoss.k12.ok.us
462.fax,(580) 436-7223,(580) 346-7223
88.phone,(918) 257-4470,(405) 258-1450
63.phone,(580) 310-7200,(580) 735-2448
466.city,Sulophur,Sulphur
491.fax,(k918) 828-7747,(918) 828-7747
285.code,8-I001,28-I001
70.districtname,CADDO                         ***,CADDO                         
67.phone,(580) 463-2255,(405) 944-5530
233.statevalue,K,OK
46.code,33-I018,33-I054
253.phone,5(80) 362-2811,(580) 362-2811
277.boardpresident,Jim Pilkintgon,Jim Pilkington
130.statevalue,KO,OK
28.code,62-I019,09-C031
258.websiteurl,konawa.k12.okus/,konawa.k12.ok.us/
226.code,5-I038,57-I038
472.boardpresident,ShirleyR oss,Shirley Ross
21.code,62-I019,23-I003
382.city,erry,Perry
467.city,Sweetwatser,Sweetwater
348.countyname,OKLAdHOMA    ,OKLAHOMA    
200.address,310 S Broawday,310 S Broadway
46.phone,(580) 226-7650,(580) 563-2632
17.superintendentemail,camons@antlers.k12.ok.us,cammons@antlers.k12.ok.us
268.websiteurl,www.lceedey.k12.ok.us,www.leedey.k12.ok.us
519.boardpresident,Jpoyce Lucas,Joyce Lucas
41.superintendent,Rstin Clark,Rustin Clark
168.statevalue,KO,OK
185.websiteurl,www.geroinmo.k12.ok.us,www.geronimo.k12.ok.us
42.code,55-Z005,08-I168
40.phone,(918) 245-0289,(580) 281-3831
448.districtname,SOTUH ROCK CREEK              ,SOUTH ROCK CREEK              
344.statevalue,K,OK
78.phone,(918) 245-0289,(580) 886-3516
432.superintendent,Bil Weldon,Bill Weldon
314.city,Moorelad,Mooreland
402.code,55-0I01,55-I001
247.statevalue,xOK,OK
542.districtname,WILSON                       ,WILSON                        
538.code,40-xI062,40-I062
261.statevalue,tOK,OK
162.superintendentemail,wmcgrowen@fanshawe.k12.ok.us,wmcgowen@fanshawe.k12.ok.us
193.districtname,GRAND VIEW                   ,GRAND VIEW                    
418.boardpresident,ddie Rathbun,Eddie Rathbun
365.code,6-I004,66-I004
263.phone,(580) 332-292,(580) 332-2092
114.superintendentemail,brad.overtkon@cordell.k12.ok.us,brad.overton@cordell.k12.ok.us
404.superintendentemail,dco@quintonschools.com,dcox@quintonschools.com
227.countyname,TEXASt       ,TEXAS       
247.code,31-0I43,31-I043
330.districtname,NWKIRK                       ,NEWKIRK                       
159.boardpresident,Shirley Breedolve,Shirley Breedlove
155.websiteurl,www.emhpireschools.org,www.empireschools.org
289.statevalue,KO,OK
260.superintendent,Jim Pattno,Jim Patton
137.phone,(918) 534s-2241,(918) 534-2241
206.phone,(580e) 473-2221,(580) 473-2221
261.phone,(5w80) 889-2743,(580) 889-2743
228.statevalue,K,OK
527.fax,(918) 788-37n34,(918) 788-3734
305.fax,(18) 474-3636,(918) 474-3636
290.boardpresident,Frank L. Lorens,Frank L. Lornes
449.superintendentemail,tracy@oic.k12.ok.us,tracy@soic.k12.ok.us
410.city,xRingwood,Ringwood
205.districtname,HAILEYVILLE                  ,HAILEYVILLE                   
484.city,Fxo,Fox
542.superintendent,Andrae James,Andrea James
350.address,1901 Ne1 3th St,1901 Ne 13th St
59.code,55-Z005,19-I002
310.address,311 Sw 6thSt,311 Sw 6th St
142.code,24-I805,24-I085
208.fax,(580 )888-4560,(580) 888-4560
444.countyname,MCCRUTAIN   ,MCCURTAIN   
79.websiteurl,www.canute.k12.ok.us***,www.canute.k12.ok.us
192.address,1161p18 Highway 84,116118 Highway 84
175.superintendentemail,rzcarter@foyil.k12.ok.us,rcarter@foyil.k12.ok.us
237.boardpresident,Mojnte Rutherford,Monte Rutherford
531.statevalue,K,OK
350.superintendentemail,tmcdaniel@kipprueach.org,tmcdaniel@kippreach.org
240.address,500 West Shevridan,500 West Sheridan
113.fax,(918 )532-4649,(918) 532-4649
72.code,07-I003,09-I076
520.city,Watts***,Watts
162.fax,(v918) 659-2275,(918) 659-2275
96.phone,(580) 226-7650,(580) 237-5512
199.countyname,LVOE        ,LOVE        
538.phone,(918) 576-2556,(918) 567-2556
117.statevalue,K,OK
306.boardpresident,Tmi Blanton,Tim Blanton
159.phone,(918) 689-j2152,(918) 689-2152
55.code,44-I004,51-I046
485.superintendentemail,gistd@tulsaschools.org,gistde@tulsaschools.org
39.superintendentemail,johsonj@bethel.k12.ok.us,johnsonj@bethel.k12.ok.us
362.boardpresident,Jame sMurr,James Murr
159.code,49-I01,49-I001
266.districtname,LE FLmORE                      ,LE FLORE                      
296.boardpresident,nAgie Nelson,Angie Nelson
65.websiteurl,www.burlingtonvschool.com/,www.burlingtonschool.com/
284.phone,(580) 75-3303,(580) 795-3303
389.fax,j(918) 436-2437,(918) 436-2437
296.phone,(918) 423-s4771,(918) 423-4771
155.phone,(80) 252-5392,(580) 252-5392
434.statevalue,OmK,OK
141.boardpresident,Larr Harviston,Larry Harviston
347.websiteurl,www.harpercharterchools.org,www.harpercharterschools.org
326.fax,918) 755-4418,(918) 755-4418
376.websiteurl,www.pawhuskadistritc.org,www.pawhuskadistrict.org
198.superintendentemail,michael.wolfe@greasy.k12.aok.us,michael.wolfe@greasy.k12.ok.us
458.districtname,STILWELL                      ***,STILWELL                      
230.boardpresident,Lnida Baker,Linda Baker
322.countyname,SEQUOYA H   ,SEQUOYAH    
476.code,34-C003***,34-C003
143.countyname,CEEK       ,CREEK       
47.phone,(918) 563-4331,(405) 485-3391
71.phone,(918) 375-2261,(580) 434-5700
365.boardpresident,Dron Tice,Don Tice
101.fax,(981) 923-4310,(918) 923-4310
372.code,40-I00,40-I020
100.code,55-Z005,44-I092
24.phone,(918) 563-4331,(580) 889-6611
225.boardpresident,oTny Hester,Tony Hester
82.countyname,KINGFISER  ,KINGFISHER  
89.code,64-C002,16-I132
203.phone,(580)338-4340,(580) 338-4340
140.districtname,DISCOVERY SCHOOLS OF TUSA    ,DISCOVERY SCHOOLS OF TULSA    
84.address,89660 S 4637h Rd,89660 S 4637 Rd
5.statevalue,K,OK
394.code,51I088,51-I088
345.superintendentemail,mmiller@hardingcharterprep.rg,mmiller@hardingcharterprep.org
223.fax,(045) 379-5874,(405) 379-5874
438.city,utual,Mutual
213.address,300 Nrth Maple St,300 North Maple St
24.fax,(50) 889-2513,(580) 889-2513
520.address,"RuralRoute 2, Box 1","Rural Route 2, Box 1"
164.statevalue,K,OK
337.districtname,OAK ROVE                     ,OAK GROVE                     
306.countyname,OKLAHOMA    ***,OKLAHOMA    
122.address,2401 North Air Depot Bvld.,2401 North Air Depot Blvd.
73.phone,(918) 875-3351,(405) 645-2411
475.superintendentemail,rrountree@tenkiller.k12.okh.us,rrountree@tenkiller.k12.ok.us
318.fax,(405) 37-2333,(405) 379-2333
513.superintendentemail,wainwright.p@slycos.com,wainwright.ps@lycos.com
449.countyname,MCCURTIAN   ,MCCURTAIN   
98.phone,(918) 789-2528,(405) 769-4859
349.fax,(045) 767-3007,(405) 767-3007
332.countyname,LCEVELAND   ,CLEVELAND   
387.websiteurl,www.plainview.k12.o.us,www.plainview.k12.ok.us
428.city,Savana,Savanna
71.superintendentemail,gparks@calerais.k12.ok.us,gparks@caleraisd.k12.ok.us
433.fax,()-,() -
276.city,Lonej Grove,Lone Grove
248.city,Kecthum,Ketchum
316.phone,(580 )724-3341,(580) 724-3341
141.address,2n01 N Taylor,201 N Taylor
548.superintendentemail,tgray@wyanldotte.k12.ok.us,tgray@wyandotte.k12.ok.us
79.boardpresident,Keneth Morgan,Kenneth Morgan
519.superintendent,Bill Seittenr,Bill Seitter
543.phone,(918) 655-738c1,(918) 655-7381
28.superintendent,Larrmy York,Larry York
76.city,Cxaney,Caney
511.statevalue,K,OK
340.phone,(981) 862-3954,(918) 862-3954
87.superintendentemail,bnewton@centra.lk12.ok.us,bnewton@central.k12.ok.us
515.code,6-I115,63-I115
239.city,Jnenings,Jennings
141.fax,(405) 828q-7150,(405) 828-7150
251.phone,(918) 363-8171,(918) 363-8711
201.phone,(405)275-7435,(405) 275-7435
271.boardpresident,Steev Sutter,Steve Sutter
93.districtname,CHEROEE IMMERSION CHARTER SCH,CHEROKEE IMMERSION CHARTER SCH
340.address,309 E. ePterson,309 E. Peterson
401.phone,(405) 572-2146,(405) 527-2146
312.address,36709Boyd St,36709 Boyd St
348.code,55r-E003,55-E003
114.districtname,CORDELL                       ***,CORDELL                       
61.phone,(580) 283-3775,(580) 584-3306
67.code,76-I001,67-I015
368.phone,(918) 885-667,(918) 885-2667
261.boardpresident,zRebecca Sandmann,Rebecca Sandmann
526.address,20 Gibson St.,206 Gibson St.
68.code,64-C002,62-I016
244.websiteurl,ww.kansasps.com,www.kansasps.com
470.phone,(918) 567-2529,(918) 567-2259
110.websiteurl,www.collnsville.k12.ok.us,www.collinsville.k12.ok.us
150.districtname,EL RENO                       ***,EL RENO                       
44.code,62-I019,72-I004
94.districtname,CHEYENNE                     ,CHEYENNE                      
288.superintendentemail,aecard@mapleschool.us,aeccard@mapleschool.us
408.code,5-I006,65-I006
339.websiteurl,www.dbcshool.org,www.dbcschool.org
457.districtname,STILLWATER                   ,STILLWATER                    
295.statevalue,oOK,OK
256.countyname,HASKELL     ***,HASKELL     
275.websiteurl,www.lomega.kz12.ok.us,www.lomega.k12.ok.us
308.websiteurl,www.millcreek.k12k.ok.us,www.millcreek.k12.ok.us
167.fax,(580k) 353-5742,(580) 353-5742
509.boardpresident,Gayr Seay,Gary Seay
77.phone,(580) 310-7200,(918) 536-2500
27.websiteurl,www.balko.k1.2ok.us/,www.balko.k12.ok.us/
75.code,46-I002,61-I002
344.fax,(405d) 605-5578,(405) 605-5578
217.code,37-0I16,37-I016
245.city,Kellyville***,Kellyville
232.fax,(580) 26-8276,(580) 286-8276
554.superintendent,Rya nCole,Ryan Cole
248.phone,(918) 782-5019,(918) 782-5091
32.statevalue,OdK,OK
178.superintendent,Alton Rawlinvs,Alton Rawlins
446.phone,(580) 34-2757,(580) 345-2757
515.address,503 Vestal Aev.,503 Vestal Ave.
258.statevalue,OxK,OK
382.phone,(580) 3d36-4511,(580) 336-4511
45.phone,(580) 481-2100,(580) 363-2570
80.code,58-I026,08-I033
61.websiteurl,wwpw.bbisd.org,www.bbisd.org
240.boardpresident,Kirk Hrumphries,Kirk Humphries
320.address,"Rural Route 2, Boxu 88","Rural Route 2, Box 88"
476.superintendent,GregFouse,Greg Fouse
21.statevalue,K,OK
63.code,55-Z005,30-I004
373.code,39-I040,39-I004
62.code,62-I019,68-C036
416.countyname,PONTOfTOC    ,PONTOTOC    
61.code,63-I112,48-I074
313.fax,(405) 7354-392,(405) 735-4392
235.boardpresident,Stvee Maner,Steve Maner
304.boardpresident,dMark Shaw,Mark Shaw
220.phone,(405) 542-357,(405) 542-3257
297.phone,580) 765-8806,(580) 765-8806
473.statevalue,KO,OK
218.boardpresident,James Wxilliams,James Williams
396.districtname,PRAGUE                       ,PRAGUE                        
6.websiteurl,ww.agra.k12.ok.us/,www.agra.k12.ok.us/
214.websiteurl,www.haywood.k12.oyk.us,www.haywood.k12.ok.us
143.code,9-I039,19-I039
437.statevalue,KO,OK
253.superintendentemail,bshelley@kildare.k12.ok.ups,bshelley@kildare.k12.ok.us
302.phone,(50) 225-5460,(580) 225-5460
469.superintendentemail,presleyl@tahllequahschools.org,presleyl@tahlequahschools.org
416.address,10 N. Broadway,100 N. Broadway
53.phone,(405) 990-2282,(405) 398-4172
33.phone,(918) 257-4470,(580) 625-3444
349.phone,(05) 767-3000,(405) 767-3000
67.websiteurl,Butnerk12.ok.us,Butner.k12.ok.us
509.code,68-Ih002,68-I002
289.city,Marblek City,Marble City
153.websiteurl,www.elkctiyschools.com,www.elkcityschools.com
430.superintendentemail,acawllahan@schulter.k12.ok.us,acallahan@schulter.k12.ok.us
84.superintendentemail,gbrown@cavesprizngs.k12.ok.us,gbrown@cavesprings.k12.ok.us
453.superintendent,Cynthia pHunter,Cynthia Hunter
443.websiteurl,www.skiatookscools.org,www.skiatookschools.org
253.fax,(580) 362-33v42,(580) 362-3342
406.city,Raiva,Ravia
136.code,w56-I008,56-I008
39.countyname,POTTAAWTOMIE,POTTAWATOMIE
502.websiteurl,www.unioncity.k12.k.us,www.unioncity.k12.ok.us
331.statevalue,KO,OK
400.superintendentemail,raleighdl@pryorschools.org,raleighd@pryorschools.org
502.countyname,ANADIAN    ,CANADIAN    
47.code,58-I026,47-I029
503.websiteurl,www.vpsd.obrg,www.vpsd.org
102.code,33-I018,64-I010
525.city,Wetherford,Weatherford
530.districtname,WESTERN HEIGHTS         j      ,WESTERN HEIGHTS               
43.phone,(405) 990-2282,(580) 353-4870
523.countyname,MCLCAIN     ,MCCLAIN     
84.phone,(580) 310-7200,(918) 775-2364
123.websiteurl,www.cushingawdmin.k12.ok.us,www.cushingadmin.k12.ok.us
271.websiteurl,www.liberty.k12o.k.us,www.liberty.k12.ok.us
304.city,Balnchard,Blanchard
95.districtname,CHICKASHA                n     ,CHICKASHA                     
40.code,58-I026,17-I333
197.countyname,HCOCTAW     ,CHOCTAW     
234.superintendentemail,mbaumann@indianola.k12.omk.us,mbaumann@indianola.k12.ok.us
522.address,600 East Florid aAve.,600 East Florida Ave.
328.city,eWwoka,Wewoka
54.districtname,BOWRING                      ,BOWRING                       
497.code,64-C00f4,64-C004
37.code,62-I001,72-I010
214.superintendent,Phillip Rattan***,Phillip Rattan
519.countyname,BLAINE      ***,BLAINE      
339.address,357 W. ain,357 W. Main
219.boardpresident,Mark Gandstaff,Mark Grandstaff
154.boardpresident,Krisi Drennan,Kristi Drennan
484.superintendentemail,mtaylor@ringling.1k2.ok.us,mtaylor@ringling.k12.ok.us
380.countyname,CHERKOEE    ,CHEROKEE    
250.websiteurl,www.keysk12.ok.us,www.keys.k12.ok.us
362.districtname,OKTAHA           p             ,OKTAHA                        
531.websiteurl,www.westville.k12.ok.us***,www.westville.k12.ok.us
395.countyname,LE FLORE   ,LE FLORE    
498.phone,(405) 831-2605,(405) 381-2605
234.statevalue,OgK,OK
157.statevalue,KO,OK
187.fax,(98) 322-1529,(918) 322-1529
114.phone,(580) 832-3240,(580) 832-3420
209.districtname,HARMbONY                       ,HARMONY                       
451.city,Spersry,Sperry
106.address,2 West Cdear,2 West Cedar
103.code,19-C035,21-C006
289.districtname,MARBLE CTY                   ,MARBLE CITY                   
433.superintendentemail,alp@odveschools.org,alp@doveschools.org
200.phone,(918) 786-0303,(918) 786-3003
6.code,46-I002,41-I134
370.phone,(918) 272-5j367,(918) 272-5367
139.superintendent,Larry pCase,Larry Case
521.countyname,GAFIELD    ,GARFIELD    
224.city,Holls,Hollis
318.superintendentemail,gturpin@moss.k12.ok.ups,gturpin@moss.k12.ok.us
297.address,977 Sohuth Mccord Road,977 South Mccord Road
388.countyname,POTTAATOMIE,POTTAWATOMIE
274.websiteurl,wwvw.lg.k12.ok.us,www.lg.k12.ok.us
519.fax,580) 623-7370,(580) 623-7370
273.address,2000 168th Ave. Norheast,2000 168th Ave. Northeast
221.websiteurl,www.hobart.k12.ok.ujs,www.hobart.k12.ok.us
318.phone,(40n5) 379-2273,(405) 379-2273
448.boardpresident,MaryM cneil,Mary Mcneil
319.statevalue,K,OK
226.districtname,HMINY                        ,HOMINY                        
503.superintendent,mCraig Wall,Craig Wall
379.fax,(580) 36-23970,(580) 362-3970
63.websiteurl,www.buffalo.k12.ok.su,www.buffalo.k12.ok.us
300.superintendent,Mickey Geurknik,Mickey Geurkink
480.code,02I093,02-I093
547.city,rWight City,Wright City
544.code,11C-021,11-C021
449.address,103 Ne Ae. A,103 Ne Ave. A
306.statevalue,KO,OK
407.phone,(918) 7542-426,(918) 754-2426
299.fax,(405) 964-8201,(405) 964-2801
133.city,aLmont,Lamont
390.address,613 East rGand Ave.,613 East Grand Ave.
39.boardpresident,Keith Mitchkell,Keith Mitchell
30.districtname,BARTLESVILLE                  ***,BARTLESVILLE                  
74.phone,(918) 785-2424,(918) 654-3225
517.code,51-I047,51-I074
280.boardpresident,Garry illion,Garry Million
310.boardpresident,Don Mcamhon,Don Mcmahon
264.phone,(58) 921-3362,(580) 921-3362
224.websiteurl,wwwhollis.k12.ok.us,www.hollis.k12.ok.us
436.code,h11-C026,11-C026
418.phone,(580 476-3929,(580) 476-3929
405.fax,(58) 587-4000,(580) 587-4000
60.phone,(918) 875-3351,(918) 259-5700
450.phone,(918) k589-2228,(918) 589-2228
87.phone,(580) 310-7200,(580) 658-6858
379.address,775 West School St,7175 West School St
149.superintendentemail,bret.towne@edmodschools.net,bret.towne@edmondschools.net
140.fax,(918 )834-3352,(918) 834-3352
499.code,p56-C011,56-C011
165.websiteurl,www.fsil.ck12.ok.us,www.fsilc.k12.ok.us
429.websiteurl,www.sayre.k1k2.ok.us,www.sayre.k12.ok.us
456.address,309 Norythwest E St,309 Northwest E St
540.superintendent,Beatrcie Butler,Beatrice Butler
48.phone,(580) 463-2255,(918) 784-2365
248.countyname,CmRAIG       ,CRAIG       
58.phone,(405) 785-2605,(918) 456-4221
354.statevalue,K,OK
130.fax,(5i80) 369-3507,(580) 369-3507
490.countyname,ULSA       ,TULSA       
294.boardpresident,Stac yRagan,Stacy Ragan
246.superintendent,Billy Tyalor,Billy Taylor
513.fax,(918) 47-43744,(918) 474-3744
57.phone,(580) 298-5504,(405) 387-4880
60.fax,(98) 258-0399,(918) 258-0399
161.boardpresident,Eva Maretns,Eva Martens
192.boardpresident,Kern Kelsey,Ken Kelsey
390.countyname,KAY        ,KAY         
213.websiteurl,www.haworth.k12.onk.us,www.haworth.k12.ok.us
86.code,07-I003,68-I007
160.address,202 Wwest Washington Ave.,202 West Washington Ave.
58.countyname,CHEROKE E   ,CHEROKEE    
80.boardpresident,Gerqald Peters,Gerald Peters
98.websiteurl,www.cnspchools.org/,www.cnpschools.org/
328.fax,(405) 527-2587,(405) 257-2587
36.code,64-I013,07-I040
207.fax,(918) 657-244,(918) 657-2424
381.statevalue,KO,OK
429.superintendent,Todd Wcinn,Todd Winn
60.code,64-C002,72-I003
167.boardpresident,Brendam Parker,Brenda Parker
156.districtname,ENID          p                ,ENID                          
230.city,Hulbekrt,Hulbert
80.phone,(580) 298-5504,(580) 654-1470
325.superintendentemail,mcdaniels@mustagps.org,mcdaniels@mustangps.org
346.superintendentemail,bach@hafaaokc.org,bach@hfaaokc.org
294.districtname,MAUD        s                  ,MAUD                          
22.statevalue,KO,OK
468.superintendent,ark Bush,Mark Bush
515.phone,(405x) 383-2656,(405) 383-2656
83.superintendentemail,rkibbe@catoosa.1k2.ok.us,rkibbe@catoosa.k12.ok.us
411.city,Riplye,Ripley
112.countyname,OTTAWA      ***,OTTAWA      
82.boardpresident,Steve ndrews,Steve Andrews
55.phone,(580) 857-2417,(918) 487-5265
391.address,200 East Boadway,200 East Broadway
378.superintendent,Jack Rithcie,Jack Ritchie
427.countyname,SMINOLE    ,SEMINOLE    
225.phone,(580) 42-06961,(580) 420-6961
302.websiteurl,www.merritt.k12.ok.vus,www.merritt.k12.ok.us
384.address,3d686 State Highway 92,3686 State Highway 92
211.code,61-I010,61-I001
76.fax,(58d0) 889-5033,(580) 889-5033
9.superintendent,Barrry Nault,Barry Nault
285.address,400 North Pennsylvania Ave.***,400 North Pennsylvania Ave.
70.superintendent,Lee Norhtcutt,Lee Northcutt
268.statevalue,KO,OK
63.countyname,HARPmER      ,HARPER      
417.countyname,zSEQUOYAH    ,SEQUOYAH    
121.superintendentemail,rflorenzano@crower.k12.ok.us,rflorenzano@crowder.k12.ok.us
