OBJECTID,ACRES,USE_,MODIFICATIONS,LANDUSE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
7093,4.82368394,,,Low Density Residential,,,,,210119.648193587,2304.42504362444
7094,19.37417536,,,Business/Commercial,,,,,843939.037007585,10396.271795896
7095,4.73689851,,,Medium Density Residential,,,,,206339.277193344,2315.80109291477
7096,7.83655505,,,Medium Density Residential,,,,,341360.25734397,3275.2560880169
7097,6.26595191,,,Medium Density Residential,,,,,272944.83134343,3702.12783398496
7098,5.20004932,,,Low Density Residential,,,,,226514.179646986,1916.68358307513
7099,12.08418109,,,Medium Density Residential,,,,,526386.883992342,3830.42334367106
7100,91.0429706,,,Medium Density Residential,,,,,3965831.98720427,13578.4467911623
7101,13.98760448,,,Low Density Residential,,,,,609300.069457928,5220.51963179341
7102,11.11069832,,,Medium Density Residential,,,,,483981.956853991,4692.30905219818
7103,4.55972214,,,Industrial/Logistics,,,,,198621.539203927,4041.9705161419
7104,4.19909064,,,Low Density Residential,,,,,182912.40875337,2324.80151039622
7105,24.02304163,,,Office,,,,,1046443.69850526,5069.20338299341
7106,234.40942085,TNC Property,Changed from rural 110504,Conservation,,,,,10210874.4112044,14054.2175008159
7107,4.49883746,,,Low Density Residential,,,,,195969.363029798,1793.21653815905
7108,107.41220059,,,Low Density Residential,,,,,4678875.52205967,23344.8828038038
7109,106.03293943,,10/14/10,Agriculture/Open Space,,,,,4618795.0675936,10217.185851973
7110,9.86610069,,,Low Density Residential,,,,,429767.383999303,5006.95525066993
7111,10.54385727,,,Low Density Residential,,,,,459290.430344457,3592.50185743674
7112,5.46240258,,,Low Density Residential,,,,,237942.262547545,1947.17919470118
7113,109.14169731,,,Low Density Residential,,,,,4754212.41162672,24299.3556300597
7114,19.69423242,,,Low Density Residential,,,,,857880.773484257,4024.87443189969
7115,23.13333309,,,Low Density Residential,,,,,1007687.99857913,5198.12151488507
7116,88.37076117,,,Low Density Residential,,,,,3849430.14827515,20552.1302551755
7117,7.1512108,,,Low Density Residential,,,,,311506.73349149,2497.61177788032
7118,11.10631274,,,Low Density Residential,,,,,483791.007093349,4591.17302046674
7119,33.3896734,,,Low Density Residential,,,,,1454454.11881685,8832.45306969606
7120,6.76383017,,,Low Density Residential,,,,,294632.451501634,2635.14419169651
7121,7.94344625,,,Low Density Residential,,,,,346016.504268994,2930.83028766438
7122,6.13387592,,,Low Density Residential,,,,,267191.605964447,3662.29360992908
7123,207.93133461,,10/12/10,Office/Research,,,,,9057488.66386536,18282.5207016997
7124,10.34484926,,,Business/Commercial,,,,,450621.662215841,2712.42421172916
7125,19.17469956,,,Business/Commercial,,,,,835249.861787538,5122.12371579806
7126,3.3e-07,,,Low Density Residential,,,,,0.0142460796647289,1.30324317574232
7127,117.05708816,,O/R Per KS 10/12 back to LDR 3/13,Low Density Residential,,,,,5099006.71386085,11714.6531985632
7128,511.49033609,,,Conservation,,,,,22280518.4302215,33401.1927167295
7129,2.66351535,,,Medium Density Residential,,,,,116022.57450558,1453.10947990509
7130,2.22553803,,,Medium Density Residential,,,,,96944.4664500401,1789.25899936367
7131,2.26441289,,,Medium Density Residential,,,,,98637.7956874392,1301.56836308326
7132,0.55063156,,,Business/Commercial,,,,,23985.5363305033,677.785769313899
7133,23.96394634,,,Business/Commercial,,,,,1043869.531906,4051.49303212247
7134,1.47627159,,,Business/Commercial,,,,,64306.4053903106,1132.35770710489
7135,2.80412696,,,Medium Density Residential,,,,,122147.764542157,1602.63052316859
7136,3.68734278,,,Medium Density Residential,,,,,160620.630681375,1799.67840078982
7137,1.19999984,,,Medium Density Residential,,,,,52271.9301274752,974.850986536894
7138,2.66220794,,,Medium Density Residential,,,,,115965.714984302,1334.68874355955
7139,3.41297298,,,Medium Density Residential,,,,,148669.138900832,1734.02384932215
7140,5.79967705,,,Medium Density Residential,,,,,252633.96118974,3318.21876970931
7141,1.62281283,,,Business/Commercial,,,,,70689.7104887186,1085.74053968203
7142,183.5086525,,,Conservation,,,,,7993636.73174662,12595.3891729805
7143,2.61624474,,,Medium Density Residential,,,,,113963.622990392,1447.07599584956
7144,3.64010842,,,Medium Density Residential,,,,,158563.124595167,1614.95936245344
7145,24.02746255,,Change per PUD plan 5/20/13,Office/Research,,,,,1046636.22782985,4419.92828544531
7146,3.9346265,,,Medium Density Residential,,,,,171392.268688078,1701.43140807968
7147,17.67838175,,,Light Industry/Logistics,,,,,770070.25565284,7518.46454697449
7148,4.78025802,,,Medium Density Residential,,,,,208228.058957065,2315.36961940526
7149,4.22945316,,,Medium Density Residential,,,,,184235.054966389,2036.52237767794
7150,1.27806631,,,Business/Commercial,,,,,55672.5678959395,953.931184865832
7151,4.22831524,,,Light Industry/Logistics,,,,,184185.376688006,2016.56522066355
7152,1.30023741,,,Medium Density Residential,,,,,56638.3963033277,4408.93618721454
7153,2.68847889,,,Medium Density Residential,,,,,117110.164708128,1462.08067346786
7154,8.1875264,,,Medium Density Residential,,,,,356648.682621503,4002.80329338409
7155,4.4401251,,,Medium Density Residential,,,,,193411.83843161,2145.66419326183
7156,4.58359095,,,Medium Density Residential,,,,,199661.297639468,2133.68674919323
7157,4.91310088,,,Medium Density Residential,,,,,214014.742464195,2283.11554577937
7158,6.28130545,,,Medium Density Residential,,,,,273613.729478031,2316.244181166
7159,0.33369784,,,Medium Density Residential,,,,,14535.866812071,614.937233715893
7160,65.10042528,,,Business/Commercial,,,,,2835774.58318642,9900.64279966236
7161,2.55433473,,,Medium Density Residential,,,,,111266.831517848,1361.58324138529
7162,0.50763581,,,Medium Density Residential,,,,,22112.6045002236,638.361678645655
7163,4.84620914,,,Medium Density Residential,,,,,211100.758538526,2274.77915411911
7164,12.02214949,,,Medium Density Residential,,,,,523684.781158742,3828.42832015037
7165,2.53808055,,,Medium Density Residential,,,,,110558.819630566,1410.26260102284
7166,1.96369595,,,Medium Density Residential,,,,,85538.5803752784,1359.01484059782
7167,4.03930076,,,Medium Density Residential,,,,,175951.892310756,1720.85782672091
7168,12.1248012,,,Medium Density Residential,,,,,528156.355228621,3831.11343185366
7169,1.10609778,,,Business/Commercial,,,,,48181.5988851671,917.484540163234
7170,6.68312504,Cascade Boulevard Park,10/14/10,Recreation,,,,,291116.940962703,2215.59442160446
7171,1.1759571,,,Medium Density Residential,,,,,51224.6699278941,1113.97743322269
7172,2.6488187,,,Medium Density Residential,,,,,115382.572741104,1490.15444087106
7173,2.19058894,,,Medium Density Residential,,,,,95422.0715203405,1290.11939579734
7174,12.0638647,,,Medium Density Residential,,,,,525501.966521789,3826.33164168824
7175,1.73815561,,,Medium Density Residential,,,,,75714.0837709066,1346.19806957802
7176,3.95948911,,,Medium Density Residential,,,,,172475.34732625,1714.03418410104
7177,2.14490017,,,Medium Density Residential,,,,,93431.8616481174,1216.59779457668
7178,5.54836989,,,Medium Density Residential,,,,,241687.021593623,3136.31417943129
7179,7.66893951,,,Medium Density Residential,,,,,334059.015324107,3076.91028012909
7180,0.31091622,,,Medium Density Residential,,,,,13543.4978631912,505.895281390795
7181,0.62887752,,,Business/Commercial,,,,,27393.919931398,722.442186431853
7182,3.60729541,,,High Density Residential,,,,,157133.756353165,1759.96714139927
7183,4.78092659,,,Medium Density Residential,,,,,208257.166981849,2327.39257209792
7184,2.39335079,,,Medium Density Residential,,,,,104254.345634768,1398.44293168238
7185,9.19277195,,10/14/10,Agriculture/Open Space,,,,,400437.263935356,2996.09922858023
7186,2.64962195,,,Medium Density Residential,,,,,115417.573046081,1489.68139073464
7187,3.81778712,,,Medium Density Residential,,,,,166302.794709983,2882.39377491628
7188,0.06313768,,,Medium Density Residential,,,,,2750.27178119967,267.328443720428
7189,4.755765,,,Medium Density Residential,,,,,207161.169463966,2328.57160642488
7190,4.12064377,,,Office,,,,,179495.357326748,1935.84878458698
7191,1.52339367,,,Medium Density Residential,,,,,66359.0012774971,1011.59762811156
7192,1.26835172,,,Business/Commercial,,,,,55249.3739921614,1191.97246141581
7193,3.23838565,,,Medium Density Residential,,,,,141064.07720916,2073.24258230821
7194,3.72550177,,,Medium Density Residential,,,,,162282.950059765,2102.23436441332
7195,0.52306213,,,Medium Density Residential,,,,,22784.5898578016,638.983240157497
7196,4.29066305,,,Medium Density Residential,,,,,186901.269248307,1954.2682959882
7197,3.39568429,,,Medium Density Residential,,,,,147916.002779205,1599.71762874787
7198,5.41601427,,,Medium Density Residential,,,,,235921.599240928,2252.78098326981
7199,0.23400864,,,Medium Density Residential,,,,,10193.3973537905,407.081986073796
7200,77.39666912,Western Branch Park,10/14/10,Recreation,,,,,3371398.97708223,12611.5992929385
7201,1.87210493,,,Medium Density Residential,,,,,81548.9244281949,1197.91957693197
7202,1.66052086,,,Medium Density Residential,,,,,72332.309367473,1179.88243937045
7203,2.02106725,,,Medium Density Residential,,,,,88037.7061949148,1733.74135757833
7204,2.5624842,,,Medium Density Residential,,,,,111621.75412179,1384.49538461962
7205,5.01335479,,,Medium Density Residential,,,,,218381.771907529,2137.46079406589
7206,10.15143022,,,Medium Density Residential,,,,,442196.219669138,3327.13019183271
7207,3.9644598,,,Medium Density Residential,,,,,172691.914498295,1705.03155219804
7208,7.27502554,,,Medium Density Residential,,,,,316900.125485324,2562.66574650205
7209,66.87789781,School,,Institution/Government,,,,,2913201.20908034,8344.88789684202
7210,4.62018508,,,Medium Density Residential,,,,,201255.285589291,1970.62404068145
7211,10.95380494,,,Low Density Residential,,,,,477147.708466842,3616.32916902475
7212,8.48380374,,,High Density Residential,,,,,369554.508133567,2775.93337707766
7213,2.84543321,,,Medium Density Residential,,,,,123947.022249685,1517.38852661678
7214,4.45064242,,,Medium Density Residential,,,,,193869.94581611,2214.26519542101
7215,5.24298249,,,Low Density Residential,,,,,228384.301199673,2192.89113571978
7216,33.4115456,,,Low Density Residential,,,,,1455406.87524898,5481.08501207297
7217,4.0255113,,,Medium Density Residential,,,,,175351.244512525,1709.13128534151
7218,5.03340312,,,Conservation,,,,,219255.047186173,4362.20664078297
7219,3.14790533,,,Medium Density Residential,,,,,137122.801515354,2032.67874149863
7220,4.03632541,,,Medium Density Residential,,,,,175822.273262196,1717.40547743632
7221,8.06062586,,,Medium Density Residential,,,,,351120.857843505,3898.95262530821
7222,3.9922163,,,Medium Density Residential,,,,,173900.893972073,1709.09212851965
7223,3.99953915,,,Medium Density Residential,,,,,174219.950985653,1710.43205049955
7224,3.10519235,,,Business/Commercial,,,,,135262.171015987,1972.29599474575
7225,2.95881095,,,Business/Commercial,,,,,128885.867902156,2040.88302815729
7226,8.04008654,,,Conservation,,,,,350226.100551347,5034.54871820302
7227,6.94332691,,,Medium Density Residential,,,,,302451.294790911,2483.4687926595
7228,1126.23167066,,10/12/10,Conservation,,,,,49058651.06513,39256.7022929558
7229,944.97713466,,10/12/10,Conservation,,,,,41163203.589579,54084.7971052204
7230,150.39348966,,10/12/10,Conservation,,,,,6551140.97778176,16052.0589046222
7231,92.47002149,,10/12/10,Conservation,,,,,4027993.65488058,11351.9133937222
7232,6.42219969,,10/14/10,Agriculture/Open Space,,,,,279750.971491794,2557.24449541231
7233,157.35270497,Rte 17 Recreation Park,10/14/10,Recreation,,,,,6854283.5208571,21136.7696964634
7234,802.91253015,Rte 17 Recreation Park,All to recreation per KS/JS 5/13/13,Recreation,,,,,34974869.544023,29707.9788041388
7235,237.99079002,Rte 17 Recreation Park,10/14/10,Recreation,,,,,10366878.6331534,16419.7592297386
7236,241.39324466,Rte 17 Recreation Park,10/14/10,Recreation,,,,,10515089.8525653,15481.0372057121
7237,260.0663191,Rte 17 Recreation Park,061313,Conservation,,,,,11328489.2054187,16413.2275581708
7238,5.25017401,,9/23/10,Institution/Government,,,,,228697.564886497,1987.31342938497
7239,0.73726581,Cascade Boulevard Park,,Medium Density Residential,,,,,32115.2890199889,718.127282935553
7240,34.85196176,,,Industrial/Logistics,,,,,1518151.36115203,6230.34896226369
7241,18.22108114,,9/23/10,Institution/Government,,,,,793710.276397688,3912.57776236071
7242,0.10108007,,,Conservation,,,,,4403.05168426287,354.421817542522
7243,4.11521374,,,Medium Density Residential,,,,,179258.718942604,1837.55350313364
7244,63.2287656,,10/14/10,Agriculture/Open Space,,,,,2754244.81253017,7603.86034700812
7245,4.46760713,,,Medium Density Residential,,,,,194608.876914342,2206.02888302955
7246,5.39014161,,,Medium Density Residential,,,,,234794.598049586,2095.31985353014
7247,1.19359794,,,Business/Commercial,,,,,51993.1275398387,1113.46138254621
7248,16.80823546,,,Conservation,,,,,732166.938795701,8071.83594071073
7249,9.08437814,,,Low Density Residential,,,,,395715.499229965,3260.06969795216
7250,110.09969158,School,,Institution/Government,,,,,4795942.49325014,12032.7845483543
7251,4.66119872,,,High Density Residential,,,,,203041.752278958,2475.33891790974
7252,6.38455974,,,Business/Commercial,,,,,278111.501593949,2251.81648413506
7253,3.99406419,,,Low Density Residential,,,,,173981.448932042,1661.6089117401
7254,4.9406888,,,Low Density Residential,,,,,215216.337956158,2207.46596329348
7255,4.66767063,,,Low Density Residential,,,,,203323.704608086,1970.63716057685
7256,6.2827438,,,Low Density Residential,,,,,273676.367320522,2749.26701240363
7257,69.63370518,Hospital Authority Property,,Institution/Government,,,,,3033244.19313158,8314.91926633485
7258,19.32288487,,,High Density Residential,,,,,841704.897496951,5842.86103600184
7259,20.13929066,,,Medium Density Residential,,,,,877267.672036158,16343.3962574106
7260,24.60294384,,,Low Density Residential,,,,,1071704.52125958,8694.20542514921
7261,8.1198691,,,Low Density Residential,,,,,353701.551393971,3163.95514784377
7262,134.3172258,TNC Property,Rural to Conserv 110504,Conservation,,,,,5850858.23504984,13287.8536286724
7263,1818.92372709,,10/14/10,Agriculture/Open Space,,,,,79232316.5711366,114984.408781617
7264,247.0319094,TNC Property,Rural to Conserv 110504,Conservation,,,,,10760710.7178676,23031.7461830892
7265,1.09190122,,10/14/10,Agriculture/Open Space,,,,,47563.1979318076,870.301006472676
7266,36.85059765,,,Low Density Residential,,,,,1605212.28514938,11029.1492473575
7267,42.49661602,,,Low Density Residential,,,,,1851152.71533643,8468.94469227404
7268,4.15894729,COMMERCIAL,,Business/Commercial,,,,,181163.711080637,1739.9987244574
7269,14.53683653,COMMERCIAL,,Business/Commercial,,,,,633224.479990698,4022.51621575311
7270,2325.05945936,,10/14/10,Agriculture/Open Space,,,,,101279589.651042,74542.1453744357
7271,13.16111854,,,Business/Commercial,,,,,573298.523842327,6109.99824178458
7272,3.40596626,,,Low Density Residential,,,,,148363.881813481,1651.9918540483
7273,5.15957858,,10/14/10,Agriculture/Open Space,,,,,224751.267830512,2112.17399416355
7274,0.41656302,,,Conservation,,,,,18145.4842387086,623.3923287673
7275,0.31962179,,,Low Density Residential,,,,,13922.7050421225,483.661395651641
7276,11.77661327,,,Medium Density Residential,,,,,512989.207996511,5276.20503706172
7277,0.0361656,,,Medium Density Residential,,,,,1575.37357958485,211.160878203122
7278,2.73171311,,10/6/10,Industrial/Logistics,,,,,118993.431081362,1770.42882100545
7279,0.17119853,,,Low Density Residential,,,,,7457.41007089655,466.957996560996
7280,0.10754968,,,Medium Density Residential,,,,,4684.86649670683,290.092202289579
7281,2.38960464,,,Business/Commercial,,,,,104091.27054795,1519.87279910543
7282,18.95896525,,,Low Density Residential,,,,,825852.511298427,5399.96282581949
7283,5.55430281,,,Medium Density Residential,,,,,241945.447643634,2200.10258474412
7284,5.8673313,,,Low Density Residential,,,,,255580.933387225,2303.70441529485
7285,1.73569912,,,Medium Density Residential,,,,,75607.0013179691,1484.10292434241
7286,0.08318693,,,Medium Density Residential,,,,,3623.6214001996,244.441419006091
7287,0.15513929,,,Medium Density Residential,,,,,6757.87785943036,340.347095698509
7288,50.20363675,,,Low Density Residential,,,,,2186870.27418447,16876.8821046664
7289,1.51787522,,,Low Density Residential,,,,,66118.6434393168,1176.06222677374
7290,4.01760773,,,Low Density Residential,,,,,175007.018446068,1676.34277212987
7291,1.75475863,,,Medium Density Residential,,,,,76437.2639496647,1494.41144933753
7292,1.6419346,,,Medium Density Residential,,,,,71522.7327270184,1565.10709080351
7293,0.51753537,,,Industrial/Logistics,,,,,22543.8508305657,691.140723888543
7294,8.57336261,,,Low Density Residential,,,,,373455.680388131,3402.00920589973
7295,16.57903101,,,Low Density Residential,,,,,722182.763115621,5636.89243949671
7296,6.03629333,,,Low Density Residential,,,,,262940.955814851,2198.72540718985
7297,14.22755105,,,Low Density Residential,,,,,619752.122647682,5735.09584892666
7298,25.12467752,,,High Density Residential,,,,,1094430.81206726,6652.74440958208
7299,0.98284844,,,Low Density Residential,,,,,42812.8089182232,1181.7964459741
7300,5.39951055,,,Low Density Residential,,,,,235202.703911392,2232.11074352943
7301,1.81469331,,,Low Density Residential,,,,,79048.0926168922,1448.60184568443
7302,7.05006084,,,Low Density Residential,,,,,307100.695251389,2743.77487897339
7303,6.22623993,,,Low Density Residential,,,,,271215.076005578,2972.37834375735
7304,4.9209954,,,Low Density Residential,,,,,214358.596982238,1989.41756484327
7305,14.67331578,,,Low Density Residential,,,,,639169.643748018,4825.59797031168
7306,5.43354077,,,Low Density Residential,,,,,236685.089036868,2133.24659438708
7307,6.01453235,,,Light Industry/Logistics,,,,,261993.003346667,2454.83433204065
7308,4.64341711,,,High Density Residential,,,,,202267.263849791,1728.10247525776
7309,2.96384509,,,High Density Residential,,,,,129105.073564915,1599.51178911801
7310,10.00711725,,,Medium Density Residential,,,,,435910.098361971,6026.35294595855
7311,2.90575517,,,Light Industry/Logistics,,,,,126574.719987964,1438.37401041443
7312,3.55070935,,,Low Density Residential,,,,,154668.936379435,1778.40592980064
7313,5.60919255,,,Business/Commercial,,,,,244336.321728696,2216.69251486028
7314,7.96177855,,,Low Density Residential,,,,,346815.060197498,2935.25468240241
7315,9.60873754,,10/14/10,Recreation,,,,,418556.539798723,3305.87387825319
7316,289.09480321,,changed per staff mtg 03/13,Office/Research,,,,,12592969.5739511,21408.9963083891
7317,1.4416841,,,Low Density Residential,,,,,62799.7329067891,1108.43788805782
7318,2.46994122,,,Low Density Residential,,,,,107590.626317246,1411.42762265424
7319,6.6283327,,,Low Density Residential,,,,,288730.179608668,2280.15348901164
7320,7.07407557,,,Low Density Residential,,,,,308146.807654694,2740.03307678009
7321,9.81810774,,,Low Density Residential,,,,,427676.773382393,3405.43988150781
7322,19.10365028,,,Low Density Residential,,,,,832155.155438447,6102.00235412302
7323,27.06013176,,,Low Density Residential,,,,,1178739.31996385,8910.26010342849
7324,7.00169426,,,Low Density Residential,,,,,304993.808497183,2860.05231565378
7325,1.62664495,,,Low Density Residential,,,,,70856.6086076781,1092.79512797157
7326,12.60757951,,,Low Density Residential,,,,,549186.166141111,4298.64395896118
7327,7.49228459,,,Low Density Residential,,,,,326363.939907481,2665.32066329467
7328,2.49033266,,,Business/Commercial,,,,,108478.942475498,1385.99971001033
7329,0.5255245,,,Low Density Residential,,,,,22891.8338777019,673.814310571018
7330,5.95073877,,,Low Density Residential,,,,,259214.131989443,3052.43473414665
7331,5.06021743,,,Low Density Residential,,,,,220423.116069466,2075.29265399024
7332,5.61789886,,,Low Density Residential,,,,,244715.638081849,2386.78560798344
7333,6.7473452,,,Low Density Residential,,,,,293914.343768868,2467.89511854731
7334,21.72288347,,,Low Density Residential,,,,,946248.647979308,4970.84584981031
7335,9.65155904,,,Low Density Residential,,,,,420422.002249051,3427.41712338753
7336,7.3971357,,,Low Density Residential,,,,,322219.160328197,2775.77637492986
7337,11.61071255,,,Low Density Residential,,,,,505762.63542437,3922.64582063853
7338,7.15488345,,,Low Density Residential,,,,,311666.727234953,2527.50841740101
7339,2.57480288,,,Low Density Residential,,,,,112158.470288495,1523.58604807268
7340,0.00757022,,,Low Density Residential,,,,,329.760243148561,81.9881975263368
7341,2.2042244,,,Low Density Residential,,,,,96016.0403870468,1347.0774467805
7342,53.80522674,,,Low Density Residential,,,,,2343755.54158783,22333.8933554808
7343,1.5658068,,,Medium Density Residential,,,,,68206.5683559201,1350.86077282451
7344,0.47856071,,,Low Density Residential,,,,,20846.0927770818,711.960017141331
7345,3.42062572,,,Medium Density Residential,,,,,149002.352019336,3076.12633375095
7346,3.13661799,,,Low Density Residential,,,,,136631.052055293,1584.83374113475
7347,3.99019489,,,Low Density Residential,,,,,173812.953285862,1852.82907172851
7348,2.30575766,,,Medium Density Residential,,,,,100438.858046465,1280.25600194885
7349,102.73578449,,,Low Density Residential,,,,,4475170.80049023,38627.2863135344
7350,6.80885568,,,Medium Density Residential,,,,,296593.774584274,3979.75034945237
7351,6.15447839,,,Medium Density Residential,,,,,268089.134416238,2466.28575165021
7352,7.09926174,,,Low Density Residential,,,,,309243.877288185,2768.85452764827
7353,3.6615175,,,Low Density Residential,,,,,159495.677110371,2602.80691039761
7354,1.06525375,,,Low Density Residential,,,,,46402.4550818531,936.054589219484
7355,17.67865836,,,Low Density Residential,,,,,770082.254500311,7805.60764678759
7356,7.88940687,,,Low Density Residential,,,,,343662.630301178,2755.97694774547
7357,9.63743221,,,Low Density Residential,,,,,419806.409920671,2628.1384344711
7358,4.5381358,,,Low Density Residential,,,,,197681.216589136,1916.7882296093
7359,25.02090615,,,Low Density Residential,,,,,1089910.75883394,5734.4781282826
7360,13.06328997,,,Low Density Residential,,,,,569036.826735022,3791.90779042825
7361,33.66116472,,,Light Industry/Logistics,,,,,1466280.59494748,10844.9752227613
7362,5.51781314,,,Low Density Residential,,,,,240355.934865221,2238.64061936454
7363,9.35664278,,,Low Density Residential,,,,,407575.45741434,3215.81004291504
7364,9.44718336,,,Low Density Residential,,,,,411519.226022931,3494.81090267206
7365,6.79675036,,,Low Density Residential,,,,,296066.450856081,2653.65933354144
7366,6.60904323,,,Low Density Residential,,,,,287889.923275696,2548.22788073371
7367,4.15137239,,,Low Density Residential,,,,,180833.768087968,1742.14443183334
7368,10.08097914,,,Low Density Residential,,,,,439127.492496534,3612.36319394919
7369,6.88629038,,,Medium Density Residential,,,,,299966.818603597,3465.10998433989
7370,0.20633835,,,Low Density Residential,,,,,8988.08126925912,489.376077226676
7371,4.90885187,,,Low Density Residential,,,,,213829.559173531,2097.01826513467
7372,5.89442567,,,Low Density Residential,,,,,256761.157409053,2354.08356011948
7373,0.1245825,,,Low Density Residential,,,,,5426.81822509376,379.697476969868
7374,2.87960419,,,Low Density Residential,,,,,125435.463893064,1400.0296664566
7375,7.15894339,,,Low Density Residential,,,,,311843.605848816,2768.53392351311
7376,49.18116546,,,Conservation,,,,,2142331.56867439,15007.5851026098
7377,1.47564219,,,Medium Density Residential,,,,,64278.902583244,1023.31298912763
7378,3.61121519,,,Low Density Residential,,,,,157304.61747492,1566.16635917014
7379,8.04181975,,,Low Density Residential,,,,,350301.606860705,3020.42426840847
7380,3.84294732,,,Low Density Residential,,,,,167398.756817975,1663.8256707859
7381,1.36990081,,,Medium Density Residential,,,,,59672.8565755351,1019.15575048633
7382,3.69096661,,,Low Density Residential,,,,,160778.532045379,1855.97539075995
7383,9.87427704,,,Low Density Residential,,,,,430123.447109637,2878.87725677832
7384,4.94102519,Unknown,,Institution/Government,,,,,215231.055185646,1986.2546832622
7385,0.58333706,,,Low Density Residential,,,,,25410.1696563123,779.200176250434
7386,4.55408208,,,Low Density Residential,,,,,198375.809732487,2114.26743444634
7387,3.67578286,,,Low Density Residential,,,,,160117.083364022,1890.65675011982
7388,5.27345255,,,Low Density Residential,,,,,229711.581948337,2032.44323928031
7389,9.52782107,,,Low Density Residential,,,,,415031.875691311,3409.88037867224
7390,11.07088915,,,Low Density Residential,,,,,482247.909945023,4117.90172171215
7391,6.40905154,,,Low Density Residential,,,,,279178.236025915,3742.06191735141
7392,3.24614177,,,High Density Residential,,,,,141401.910611018,1513.71942551141
7393,0.04112776,,,Low Density Residential,,,,,1791.5263056206,186.238850383051
7394,6.87385769,,,Low Density Residential,,,,,299425.212370284,2633.86468495175
7395,4.02367887,,,Low Density Residential,,,,,175271.472875082,1777.16703487757
7396,6.09340404,,,Low Density Residential,,,,,265428.651118699,2303.51795853928
7397,8.06116588,,,Low Density Residential,,,,,351144.385133883,2942.22774973365
7398,4.92362116,,,Low Density Residential,,,,,214472.870288979,2050.01475701742
7399,4.51933093,,,Low Density Residential,,,,,196862.015520908,1897.45029003417
7400,21.69033484,,,Low Density Residential,,,,,944830.793545379,6996.39197056304
7401,6.86966692,,,Low Density Residential,,,,,299242.735293117,2750.10340060721
7402,4.93765854,,,Low Density Residential,,,,,215084.39271487,1883.22192382859
7403,1.65411008,,,Medium Density Residential,,,,,72053.013082342,1335.29208902619
7404,9.65728964,,,Low Density Residential,,,,,420671.562301605,3822.46333659127
7405,4.79772722,,,Business/Commercial,,,,,208988.959791604,2544.0284362402
7406,5.57873028,,,Low Density Residential,,,,,243009.529470907,2516.67183424104
7407,3.0388878,,,Low Density Residential,,,,,132373.909316485,1506.98138303888
7408,4.61338803,,,Low Density Residential,,,,,200959.212503244,2041.07722722758
7409,3.71311628,,,Low Density Residential,,,,,161743.348023645,1621.5758430855
7410,8.46287628,,,Low Density Residential,,,,,368642.881725658,3359.37723355743
7411,6.03952561,,,Low Density Residential,,,,,263081.777212639,2780.34141912513
7412,5.56248409,,,Low Density Residential,,,,,242301.810530314,2235.32319170868
7413,12.03461542,,,Low Density Residential,,,,,524227.864572119,3840.47536668212
7414,6.99280539,,,Low Density Residential,,,,,304606.633920054,2459.27750840678
7415,15.57617858,Dunedin Park,10/14/10,Recreation,,,,,678498.423462505,3371.93819370924
7416,1.76957422,,,Low Density Residential,,,,,77082.6249928327,1158.06392355685
7417,7.09913012,,,Low Density Residential,,,,,309238.098802634,2367.9360349013
7418,10.07156964,,,Low Density Residential,,,,,438717.503661585,3176.61191368146
7419,7.22474362,,,Low Density Residential,,,,,314709.795700781,2923.24963020878
7420,4.50427115,,,Low Density Residential,,,,,196206.101875163,2174.82977092379
7421,16.49106194,,,Low Density Residential,,,,,718350.635180805,6072.63290538577
7422,1.70160968,,,Medium Density Residential,,,,,74122.0734079335,1336.94243542811
7423,3.32404046,,,Medium Density Residential,,,,,144795.243175178,2582.12736969496
7424,5.47862484,,,High Density Residential,,,,,238648.940328762,4549.75003431295
7425,3.11802884,,,Business/Commercial,,,,,135821.324880696,1540.03868578936
7426,1.53333334,,,Medium Density Residential,,,,,66792.0160692556,1069.63177596616
7427,8.6755988,,,Low Density Residential,,,,,377909.169769806,3127.17824782335
7428,0.01176227,,,Low Density Residential,,,,,512.358070132628,103.461849832909
7429,7.66168442,,,High Density Residential,,,,,333743.068642737,2234.22367123528
7430,7.62928711,,,Low Density Residential,,,,,332331.676003873,2826.67835562203
7431,9.03893305,,,Low Density Residential,,,,,393735.971787031,3302.54878081794
7432,10.49234617,,,Medium Density Residential,,,,,457046.550298337,7688.49839603761
7433,8.50516204,,,Low Density Residential,,,,,370484.83084881,2876.26751125164
7434,9.14521404,,,High Density Residential,,,,,398365.466085386,3505.36447708447
7435,3.28325462,,,Business/Commercial,,,,,143018.487036089,1821.2056987391
7436,2.38703078,,,Business/Commercial,,,,,103979.093255871,1366.42617298612
7437,7.88760454,,,Business/Commercial,,,,,343584.073711398,3058.52840695683
7438,3.85350218,,,Business/Commercial,,,,,167858.490111959,1918.21163823717
7439,1.93417958,,,Business/Commercial,,,,,84252.8547562132,1154.04137892462
7440,14.56258477,,,Business/Commercial,,,,,634346.213329703,4992.26877288513
7441,2.00963142,,,Business/Commercial,,,,,87539.5331834533,1339.12539137837
7442,5.97048848,,,Business/Commercial,,,,,260074.547642958,3032.08011420897
7443,15.4948419,,,Business/Commercial,,,,,674955.366481167,4020.65277842114
7444,14.11025317,,,Business/Commercial,,,,,614642.512685969,3399.2600069371
7445,0.04876976,,,Business/Commercial,,,,,2124.39721273409,197.293613480812
