objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
61.0,2020,CT3900-00-4-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.","LAKE, FRESHWATER",58.54,Acres,915.0,1100003,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,13949.1101671157,2549905.95843891
62.0,2020,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,"LAKE, FRESHWATER",132.92,Acres,2368.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19134.1142548049,5789932.6763013
63.0,2020,CT1002-00-1-L1_01,Green Falls Reservoir (Voluntown),"Southeast Voluntown, east Route 49, south of Route 138. Includes CT DEEP swimming area in Pachaug State Forest camping area.","LAKE, FRESHWATER",46.15,Acres,1075.0,1090005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10451.5622689073,2010121.45604685
64.0,2020,CT3906-00-1-L1_01,Gardner Lake (Salem/Montville/Bozrah),"CT DEEP Gardner Lake State Park. At junction of Salem, Montville and Bozrah.","LAKE, FRESHWATER",527.29,Acres,985.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,30886.4049147694,22968962.6670846
65.0,2020,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.","LAKE, FRESHWATER",112.42,Acres,33.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,13730.4604964013,4897161.93134104
66.0,2020,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,"LAKE, FRESHWATER",94.88,Acres,216.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17083.5185930168,4132840.53157222
67.0,2020,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,"LAKE, FRESHWATER",49.18,Acres,35.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10054.1435736335,2142210.92544215
68.0,2020,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.","LAKE, FRESHWATER",45.62,Acres,80.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5721.77159239972,1987174.78589208
69.0,2020,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.","LAKE, FRESHWATER",98.94,Acres,3586.0,1090005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,13629.450663532,4309780.11882848
70.0,2020,CT3600-00-1-L1_01,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,"LAKE, FRESHWATER",407.6,Acres,142.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,36181.8914183612,17755106.5457513
71.0,2020,CT3002-06-1-L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.","LAKE, FRESHWATER",91.25,Acres,1530.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,18330.7087111275,3974740.96645567
72.0,2020,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).","LAKE, FRESHWATER",339.25,Acres,1554.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,60747.8782725628,14777856.5875912
73.0,2020,CT2104-00-1-L1_01,Lantern Hill Pond (Ledyard/North Stonington),Border Ledyard/North Stonington. Now part of Mashentucket Reservation.,"LAKE, FRESHWATER",20.06,Acres,1575.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4067.42272376651,873636.09097816
74.0,2020,CT2205-00-1-L1_01,Powers Lake (East Lyme),"Headwaters of Pattagansett River, East Lyme.","LAKE, FRESHWATER",146.5,Acres,2310.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17778.8646610467,6381745.54169005
75.0,2020,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,"LAKE, FRESHWATER",565.31,Acres,3409.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,27835.1513328381,24624742.1440618
76.0,2020,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.","LAKE, FRESHWATER",147.62,Acres,3556.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17293.9645245026,6430413.23414667
77.0,2020,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,"LAKE, FRESHWATER",348.14,Acres,3555.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15376.5147310104,15165031.4594084
78.0,2020,CT6301-00-1-L1_01,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).","LAKE, FRESHWATER",167.5,Acres,3554.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14481.3305624685,7296355.4535811
79.0,2020,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,"LAKE, FRESHWATER",248.07,Acres,1550.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28598.1475973225,10805906.532606
80.0,2020,CT6301-00-2-L2_01,Mudge Pond (Sharon),Northwest Sharon.,"LAKE, FRESHWATER",211.17,Acres,1945.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15099.2556114172,9198649.64997093
81.0,2020,CT6905-00-1-L4_01,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,"LAKE, FRESHWATER",74.95,Acres,2165.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11072.9595260387,3264879.01088874
82.0,2020,CT7301-04-1-L2_01,Popes Pond (Wilton),Wilton,"LAKE, FRESHWATER",82.47,Acres,2287.0,1100006,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,15396.0742922076,3592354.91496195
83.0,2020,CT7200-00-3-L5_01,Saugatuck Reservoir (Weston/Easton/Redding),Weston,"LAKE, FRESHWATER",823.11,Acres,2517.0,1100006,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,79195.9020647076,35854367.9286546
84.0,2020,CT7407-00-3-L14_01,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,"LAKE, FRESHWATER",161.43,Acres,116.0,1100006,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,24958.4034650668,7031969.42379367
85.0,2020,CT6914-09-1-L2_01,Chestnut Hill Reservoir (Wolcott),"Near western border of Wolcott, north side of Lyman Road, west of Route 69.","LAKE, FRESHWATER",65.19,Acres,509.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8232.18249388803,2839713.45796688
86.0,2020,CT3600-00-3-L5_01,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd. Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.","LAKE, FRESHWATER",68.36,Acres,741.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11527.1199466044,2977778.72382308
87.0,2020,CT4304-05-2-L2_01,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.","LAKE, FRESHWATER",49.2,Acres,1540.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11433.1535747756,2142627.76042358
88.0,2020,CT2107-00-1-L1_01,Morgan Pond (Ledyard),"South side of Sandy Hollow Road, west Route 117 intersection, ledyard.","LAKE, FRESHWATER",146.22,Acres,1910.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,20844.8594446964,6369266.99869872
89.0,2020,CT6008-00-1-L1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,"LAKE, FRESHWATER",67.31,Acres,636.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7408.72177274746,2931950.27860726
90.0,2020,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,"LAKE, FRESHWATER",40.37,Acres,3463.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5484.33917802115,1758416.97078921
91.0,2020,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.","LAKE, FRESHWATER",93.52,Acres,2761.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17087.9883430974,4073698.59932615
92.0,2020,CT6701-00-1-L1_01,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,"LAKE, FRESHWATER",187.22,Acres,2985.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,18755.5130839859,8155507.1032156
93.0,2020,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,"LAKE, FRESHWATER",65.77,Acres,746.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,7494.95399457667,2864776.68723796
94.0,2020,CT6700-03-1-L2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,"LAKE, FRESHWATER",16.34,Acres,1894.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,3355.22721190262,711650.978445848
95.0,2020,CT6500-00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,"LAKE, FRESHWATER",82.26,Acres,2681.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,8764.79567797353,3583242.82886709
96.0,2020,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris","LAKE, FRESHWATER",955.45,Acres,110.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,49683.926527037,41619104.5919821
97.0,2020,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.","LAKE, FRESHWATER",640.81,Acres,1544.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,48901.5422399421,27913623.9889144
98.0,2020,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.","LAKE, FRESHWATER",20.14,Acres,1602.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4538.23578406038,877487.876644157
99.0,2020,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.","LAKE, FRESHWATER",55.14,Acres,1934.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7952.2130398767,2401886.590557
100.0,2020,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.","LAKE, FRESHWATER",65.66,Acres,1172.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,9102.20490686733,2860026.727609
101.0,2020,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.","LAKE, FRESHWATER",5.3,Acres,2048.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2783.44511940392,230909.922728745
102.0,2020,CT6804-02-1-L1_01,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.","LAKE, FRESHWATER",101.41,Acres,1675.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18026.993986236,4417389.51563255
103.0,2020,CT6912-05-1-L2_01,"Winnemaug, Lake (Watertown)",Southwest Watertown.,"LAKE, FRESHWATER",112.87,Acres,1552.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17503.1563122235,4916775.61325428
104.0,2020,CT6400-00-1-L5_01,"Candlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford, New Farfield, & Sherman.","LAKE, FRESHWATER",5085.67,Acres,1490.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,345092.827981207,221531973.909846
105.0,2020,CT6023-00-1-L1_01,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,"LAKE, FRESHWATER",296.89,Acres,1533.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,32964.6934018462,12932563.1609834
106.0,2020,CT6400-03-1-L1_01,Squantz Pond (New Fairfield/Sherman),Northeast corner of New Fairfield and into Sherman. Large cove of Candlewood Lake contained by Squantz Pond Dam at Route 39 crossing. Includes CT DEEP State swimming area at Squantz Pond State Park.,"LAKE, FRESHWATER",266.81,Acres,2719.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28210.8322218542,11622050.0133052
107.0,2020,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.","LAKE, FRESHWATER",25.77,Acres,1281.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,9200.12640646454,1122637.76098188
108.0,2020,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfield,"LAKE, FRESHWATER",80.7,Acres,100.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,9286.35747511145,3515310.78198847
109.0,2020,CT6018-00-1-L1_01,Taunton Pond (Newtown),Central Newtown.,"LAKE, FRESHWATER",124.61,Acres,2852.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,12136.8005858179,5427869.75285913
110.0,2020,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.","LAKE, FRESHWATER",56.75,Acres,1509.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,8916.19982305404,2472100.46420373
111.0,2020,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.","LAKE, FRESHWATER",346.29,Acres,1508.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,69430.8367147932,15084482.8283525
112.0,2020,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).","LAKE, FRESHWATER",4.02,Acres,310.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,1855.56413566313,175247.794143589
113.0,2020,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.","LAKE, FRESHWATER",100.3,Acres,1252.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,19245.3777139289,4369071.70432592
114.0,2020,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.","LAKE, FRESHWATER",122.76,Acres,88.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,24396.2679771253,5347464.87930803
115.0,2020,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,"LAKE, FRESHWATER",214.44,Acres,2354.0,1080207,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,60317.9244968307,9341263.77225124
116.0,2020,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,"LAKE, FRESHWATER",275.37,Acres,2453.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,31984.5558284626,11994935.5862266
117.0,2020,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.","LAKE, FRESHWATER",14.32,Acres,1297.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,3575.16350728842,623913.792405779
118.0,2020,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,"LAKE, FRESHWATER",385.75,Acres,1522.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Not Supporting,Existing or proposed drinking water,Fully Supporting,Yes,52352.7224734222,16803189.2427698
119.0,2020,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.","LAKE, FRESHWATER",511.85,Acres,2596.0,1080205,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,No,38880.7337830691,22295951.9761804
120.0,2020,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,"LAKE, FRESHWATER",245.54,Acres,3448.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17327.4032895767,10695983.3037961
121.0,2020,CT4500-14-1-L1_01,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.","LAKE, FRESHWATER",5.87,Acres,477.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2192.40253628984,255698.926406963
122.0,2020,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,"LAKE, FRESHWATER",5.14,Acres,992.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,2790.65186704061,223781.077012535
