characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
