characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/AlaskaNative, non-Hispanic",2004,25.8%,8.4,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,23.0,8.7,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-uHispanic",2005,35.3%,6.8,NULL,30.0,8.5,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American India/Alaska Native, non-Hispanic",2006,29.8%,7.1,NULL,20.0,8.1,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"AmericanI ndian/Alaska Native, non-Hispanic",2007,33%,6.4,NULL,38.0,11.2,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/AlaskaNative, non-Hispanic",2008,26.6%,6.0,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"Americn Indian/Alaska Native, non-Hispanic",2009,27.8%,6.0,NULL,30.0,7.5,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,45.7%,5.6,NULL,58.0,12.3,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hisapnic",2011,32.5%,5.6,NULL,34.0,7.2,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"Ameriacn Indian/Alaska Native, non-Hispanic",2012,33.2%,7.5,NULL,39.0,9.4,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indan/Alaska Native, non-Hispanic",2013,42.9%,6.6,NULL,59.0,14.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,14.9%,4.4,NULL,33.0,10.4,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,23%,5.0,NULL,54.0,13.3,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,17%,2.9,NULL,44.0,7.8,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,15.8%,2.9,NULL,39.0,7.4,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,10.9%,2.3,NULL,NULL,5.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,15.9%,3.2,NULL,43.0,9.3,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,24.9%,3.7,NULL,65.0,10.3,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,23.2%,3.9,NULL,53.0,10.4,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,18.3%,2.6,NULL,51.0,8.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,14.3%,2.6,NULL,54.0,10.3,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,15.4%,3.0,NULL,54.0,11.1,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2000,12.4%,0.6,NULL,1067.0,49.9,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2001,12.8%,0.6,NULL,1067.0,54.1,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2002,14%,0.7,NULL,1187.0,56.8,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2003,13.8%,0.6,NULL,1170.0,56.4,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2004,14%,0.7,NULL,1201.0,57.1,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2005,14.3%,0.7,NULL,1236.0,59.7,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.3%,0.6,NULL,1238.0,47.9,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2007,13.6%,0.6,NULL,1171.0,54.7,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2008,13.5%,0.6,NULL,1164.0,50.4,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2009,14.6%,0.6,NULL,1275.0,49.6,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2010,15.8%,0.6,NULL,1390.0,54.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2011,15.3%,0.7,NULL,1334.0,58.6,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2012,15%,0.6,NULL,1266.0,54.6,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2013,14.9%,0.6,NULL,1222.0,53.1,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,24.9%,1.6,NULL,513.0,34.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,23.5%,1.7,NULL,467.0,34.7,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,24.9%,1.7,NULL,506.0,35.7,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,25.7%,1.8,NULL,506.0,35.7,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,23.9%,1.8,NULL,458.0,34.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,23.2%,1.5,NULL,469.0,31.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,21.9%,1.3,NULL,443.0,26.9,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,23.7%,1.4,NULL,469.0,27.9,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,24.6%,1.3,NULL,502.0,28.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,24%,1.4,NULL,498.0,30.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,26.6%,1.5,NULL,561.0,33.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,21.9%,1.4,NULL,473.0,31.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,22.4%,1.3,NULL,500.0,30.9,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2013,19.6%,1.6,NULL,443.0,35.8,NULL
Hispanic,Female,Hispanic,2000,31.2%,2.1,NULL,586.0,47.0,NULL
Hispanic,Female,Hispanic,2001,30.1%,1.8,NULL,677.0,37.4,NULL
Hispanic,Female,Hispanic,2002,28.7%,1.7,NULL,659.0,37.2,NULL
Hispanic,Female,Hispanic,2003,30.5%,1.8,NULL,670.0,37.3,NULL
Hispanic,Female,Hispanic,2004,28.4%,1.7,NULL,643.0,37.0,NULL
Hispanic,Female,Hispanic,2005,31.1%,1.3,NULL,726.0,31.1,NULL
Hispanic,Female,Hispanic,2006,28.2%,1.2,NULL,645.0,28.1,NULL
Hispanic,Female,Hispanic,2007,27.8%,1.3,NULL,663.0,31.7,NULL
Hispanic,Female,Hispanic,2008,29.5%,1.2,NULL,703.0,29.6,NULL
Hispanic,Female,Hispanic,2009,27.3%,1.2,NULL,666.0,28.0,NULL
Hispanic,Female,Hispanic,2010,28.8%,1.2,NULL,751.0,31.1,NULL
Hispanic,Female,Hispanic,2011,27%,1.0,NULL,714.0,28.0,NULL
Hispanic,Female,Hispanic,2012,22.8%,1.2,NULL,675.0,35.1,NULL
Hispanic,Female,Hispanic,2013,25.5%,1.1,NULL,785.0,33.5,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.7%,2.1,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,13.6%,2.4,NULL,89.0,17.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hsispanic",2002,14.2%,2.5,NULL,94.0,17.5,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,10.3%,2.3,NULL,60.0,13.9,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,12.9%,2.6,NULL,69.0,15.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,13.9%,2.2,NULL,78.0,12.4,NULL
"Asian, non-Hispanic",Female,"sian, non-Hispanic",2006,14.4%,2.2,NULL,79.0,12.8,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,13.6%,2.1,NULL,81.0,12.6,NULL
"Asian, non-Hispanic",Female,"Asian, onn-Hispanic",2008,12.5%,2.1,NULL,71.0,12.3,NULL
"Asian, non-Hispanic",Female,"Aspian, non-Hispanic",2009,13%,2.1,NULL,68.0,11.1,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,16.4%,2.5,NULL,91.0,14.2,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,11.3%,1.7,NULL,69.0,10.4,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,14.6%,1.9,NULL,112.0,14.6,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,11%,1.6,NULL,85.0,13.0,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,31.9%,12.7,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,19.5%,9.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,34%,11.0,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,25.1%,6.7,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,8.3%,3.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.8%,4.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,13.2%,5.3,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,16.8%,5.3,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,16.1%,6.3,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,17.6%,5.3,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,12.6%,4.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indiabn/Alaska Native, non-Hispanic",2000,32.6%,7.5,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,26.7%,6.7,NULL,39.0,11.2,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indikan/Alaska Native, non-Hispanic",2002,33.2%,7.2,NULL,47.0,12.4,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Aalska Native, non-Hispanic",2003,32.7%,8.5,NULL,33.0,10.4,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naive, non-Hispanic",2004,45.9%,10.3,NULL,35.0,10.7,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Aaska Native, non-Hispanic",2005,28%,6.8,NULL,24.0,7.0,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,37.5%,6.2,NULL,36.0,9.4,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alajska Native, non-Hispanic",2007,24.7%,6.4,NULL,NULL,6.3,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indina/Alaska Native, non-Hispanic",2008,42.8%,6.6,NULL,42.0,9.8,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alask aNative, non-Hispanic",2009,31.1%,4.9,NULL,37.0,7.6,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, on-Hispanic",2010,25.5%,4.5,NULL,30.0,5.3,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"AmericanIndian/Alaska Native, non-Hispanic",2011,30.2%,10.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,33.0,14.1,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/laska Native, non-Hispanic",2012,40%,6.1,NULL,44.0,9.0,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alask Native, non-Hispanic",2013,46%,6.2,NULL,63.0,14.6,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,18.1%,4.5,NULL,43.0,11.9,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,18.4%,4.8,NULL,40.0,11.4,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,16.6%,3.2,NULL,43.0,8.3,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,17.6%,2.8,NULL,40.0,6.5,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,15.9%,2.6,NULL,40.0,6.6,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,18.6%,3.7,NULL,47.0,10.5,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,22.3%,3.7,NULL,51.0,9.7,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,15%,2.8,NULL,39.0,7.5,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,20.2%,3.5,NULL,54.0,9.8,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,19.4%,3.7,NULL,74.0,14.8,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,16.7%,3.1,NULL,59.0,11.5,NULL
