2346.countytwo,Cualebra Municipio,Culebra Municipio
695.fipstwo,f1607,f16077
2410.statevalue,CS,SC
2843.county,Uvaled ,Uvalde 
504.countytwo,Pickenus ,Pickens 
1948.county,D Baca ,De Baca 
394.fipstwo,f3003,f13003
1285.county,uLce ,Luce 
1768.statecounty,N_DBillings,ND_Billings
2685.countytwo,Fanni ,Fannin 
2274.statecounty,PA_Cawford,PA_Crawford
1277.county,Kaklaska ,Kalkaska 
2487.statevalue,D,SD
1415.fipstwo,f2905,f29015
1607.statevalue,S,MS
1471.statecounty,MO_MDonald,MO_McDonald
3102.county,Dun ,Dunn 
902.countytwo,uBtler ,Butler 
3048.county,Asoztin ,Asotin 
699.statevalue,D,ID
576.countytwo,Chicasaw ,Chickasaw 
1110.countytwo,Tirgg ,Trigg 
1432.statecounty,MO_Clintn,MO_Clinton
2635.countytwo,Bruooks ,Brooks 
3013.statecounty,VA_Spotsylania,VA_Spotsylvania
1382.statecounty,N_Ramsey,MN_Ramsey
138.fipstwo,f05038,f05083
1834.countytwo,Cheyenn ,Cheyenne 
1518.county,Washoington ,Washington 
913.statevalue,KbS,KS
1883.countytwo,toe ,Otoe 
565.fipstwo,f190o15,f19015
1113.statecounty,Y_Warren,KY_Warren
723.fipstwo,f1l7045,f17045
2996.statecounty,VA_Prince Gweorge,VA_Prince George
257.statecounty,CO_Broomfikeld,CO_Broomfield
623.county,Mitcehll ,Mitchell 
249.fipstwo,f06151,f06115
1408.statecounty,M_Adair,MO_Adair
2022.countytwo,Nw York ,New York 
933.countytwo,aHrper ,Harper 
690.countytwo,Minidok a,Minidoka 
2972.fipstwo,5f1683,f51683
19.statecounty,AK_Northwest rctic Borough,AK_Northwest Arctic Borough
367.county,Martinr ,Martin 
916.county,Donriphan ,Doniphan 
1955.fipstwo,zf35025,f35025
914.county,Dceatur ,Decatur 
539.county,Waltn ,Walton 
2081.county,Geaugah ,Geauga 
3089.fipstwo,5f5007,f55007
2341.county,Ciales Municgipio,Ciales Municipio
1101.county,Rockcasytle ,Rockcastle 
783.fipstwo,ff17167,f17167
3015.statevalue,A,VA
2703.county,regg ,Gregg 
2569.fipstwo,f4710g5,f47105
2057.statecounty,H_Ashtabula,OH_Ashtabula
435.statevalue,A,GA
2297.statecounty,PA_Merer,PA_Mercer
2793.statecounty,TXPalo Pinto,TX_Palo Pinto
2997.statecounty,VA_Prinjce William,VA_Prince William
1402.statecounty,MeN_Washington,MN_Washington
3124.county,zMarquette ,Marquette 
354.countytwo,Holems ,Holmes 
1384.fipstwo,f21727,f27127
2285.county,Huntigdon ,Huntingdon 
2132.county,Tsucarawas ,Tuscarawas 
1463.countytwo,Lewbis ,Lewis 
2572.fipstwo,f4711t5,f47115
662.countytwo,Binhgam ,Bingham 
98.county,Ashey ,Ashley 
1873.county,Linoln ,Lincoln 
2093.fipstwo,f3979,f39079
2052.statecounty,NYp_Wyoming,NY_Wyoming
639.fipstwo,f1913,f19163
1170.statevalue,A,LA
1027.statecounty,KYCrittenden,KY_Crittenden
2848.statevalue,xTX,TX
1697.county,Edgecomb e,Edgecombe 
2737.statecounty,TmX_Johnson,TX_Johnson
2097.county,Lawrnece ,Lawrence 
302.fipstwo,af08103,f08103
887.county,Wabsah ,Wabash 
899.statevalue,SK,KS
767.county,Mnroe ,Monroe 
920.statevalue,S,KS
2072.statecounty,OH_Dnarke,OH_Darke
2402.statecounty,RI_Newoprt,RI_Newport
2920.statevalue,AV,VA
162.statecounty,AR_eSvier,AR_Sevier
3069.statevalue,AW,WA
2794.statevalue,X,TX
132.countytwo,Johnon ,Johnson 
2608.statecounty,TN_Wealkey,TN_Weakley
1749.statevalue,rNC,NC
2776.statevalue,kTX,TX
1315.statecounty,MI_St. oJseph,MI_St. Joseph
371.statecounty,FL_Oaloosa,FL_Okaloosa
2579.county,aMontgomery ,Montgomery 
1115.fipstwo,fm21231,f21231
2404.statecounty,I_Washington,RI_Washington
2913.statevalue,wVA,VA
1956.fipstwo,35027,f35027
1186.countytwo,Bristlo ,Bristol 
796.fipstwo,f17r191,f17191
568.county,Buean Vista ,Buena Vista 
692.countytwo,Oeida ,Oneida 
2368.statecounty,PR_Manatis Municipio,PR_Manati Municipio
555.fipstwo,15005,f15005
1835.fipstwo,fu31035,f31035
1009.statevalue,Y,KY
2753.fipstwo,4f8281,f48281
2186.countytwo,Maarshall ,Marshall 
2295.statevalue,A,PA
2994.fipstwo,f511a45,f51145
2961.statecounty,VA_King an Queen,VA_King and Queen
1396.countytwo,Swfit ,Swift 
2292.countytwo,sLebanon ,Lebanon 
661.statecounty,IDy_Benewah,ID_Benewah
1740.countytwo,Rafndolph ,Randolph 
2381.countytwo,Rincon Munibcipio,Rincon Municipio
1692.county,fDare ,Dare 
2659.county,Cncho ,Concho 
2215.countytwo,Washindgton ,Washington 
141.countytwo,Myarion ,Marion 
862.countytwo,Owe n,Owen 
3188.countytwo,Monongali a,Monongalia 
2154.statecounty,OK_nCimarron,OK_Cimarron
2120.fipstwo,39133,f39133
1208.statevalue,MpD,MD
2115.county,Otatwa ,Ottawa 
1825.county,oyd ,Boyd 
1429.statevalue,O,MO
2749.countytwo,gKnox ,Knox 
2001.countytwo,Clibnton ,Clinton 
2505.statevalue,zSD,SD
113.statecounty,AR_Crawfod,AR_Crawford
269.county,Eage ,Eagle 
711.countytwo,Christia n,Christian 
2121.statevalue,OcH,OH
2518.statevalue,N,TN
1816.statecounty,ND_Wels,ND_Wells
1096.statecounty,KY_Pery,KY_Perry
185.statevalue,ZA,AZ
1895.county,Saumnders ,Saunders 
1872.statecounty,NE_Lancasetr,NE_Lancaster
1908.statevalue,mNE,NE
2807.statevalue,XT,TX
772.countytwo,Peori ,Peoria 
2288.statecounty,P_AJuniata,PA_Juniata
2944.fipstwo,f51604,f51640
2505.countytwo,Sanbor ,Sanborn 
1131.statecounty,LA_Cameeron,LA_Cameron
1191.fipstwo,f5015,f25015
2425.statecounty,SCF_lorence,SC_Florence
275.statecounty,COGrand,CO_Grand
1814.statevalue,D,ND
806.statecounty,IN_enton,IN_Benton
266.countytwo,Delnver ,Denver 
3073.statevalue,A,WA
461.statevalue,GgA,GA
2976.countytwo,Mecklneburg ,Mecklenburg 
2133.statecounty,OH_Unin,OH_Union
2106.statevalue,wOH,OH
1563.statevalue,SM,MS
1325.county,wBenton ,Benton 
2935.county,Fairfaxcity,Fairfax city
1709.countytwo,Hendrerson ,Henderson 
2456.county,Bron ,Brown 
773.fipstwo,f11745,f17145
2581.county,Moragn ,Morgan 
1419.statecounty,MO_Btler,MO_Butler
3177.countytwo,Kanawh ,Kanawha 
1443.countytwo,Frankli n,Franklin 
2103.countytwo,Mahonin g,Mahoning 
1140.statevalue,AL,LA
800.countytwo,Williamsonc ,Williamson 
1506.fipstwo,f29u185,f29185
794.statevalue,L,IL
1319.county,Wayneg ,Wayne 
1389.statevalue,MyN,MN
845.statecounty,IN_Kosiusko,IN_Kosciusko
2441.statecounty,SC_Ocoee,SC_Oconee
1958.statevalue,M,NM
482.statecounty,GA_Lincon,GA_Lincoln
1025.county,Clayz ,Clay 
2101.fipstwo,f30995,f39095
2102.statecounty,OH_Maidson,OH_Madison
532.fipstwo,f1328j3,f13283
1183.statecounty,LA_Wnn,LA_Winn
1292.fipstwo,f2609,f26109
873.fipstwo,f1813,f18143
635.statecounty,IA_Potawattamie,IA_Pottawattamie
1188.countytwo,Essx ,Essex 
1250.countytwo,Calhou ,Calhoun 
1469.fipstwo,f2925,f29125
284.county,Lakeg ,Lake 
381.statevalue,FzL,FL
1190.statecounty,MA_Hapden,MA_Hampden
88.statecounty,AL_St. Cdlair,AL_St. Clair
1608.statevalue,S,MS
1764.fipstwo,f3h7199,f37199
5.county,Bristol Bay Borouhg,Bristol Bay Borough
1687.county,Clevealnd ,Cleveland 
1581.statevalue,SM,MS
2041.countytwo,St. aLwrence ,St. Lawrence 
2069.statecounty,OH_Coshohcton,OH_Coshocton
32.fipstwo,f0100c5,f01005
2114.county,Nobe ,Noble 
2267.statecounty,P_Carbon,PA_Carbon
1383.fipstwo,f2125,f27125
1219.fipstwo,f2443,f24043
2306.county,Pie ,Pike 
1688.countytwo,olumbus ,Columbus 
1868.county,pKeith ,Keith 
1729.statecounty,C_New Hanover,NC_New Hanover
184.countytwo,Mariocpa ,Maricopa 
2771.statecounty,TX_McCuloch,TX_McCulloch
2046.statecounty,NY_Totmpkins,NY_Tompkins
2054.statevalue,HO,OH
2457.statevalue,D,SD
2318.countytwo,Wane ,Wayne 
2395.statevalue,RP,PR
757.fipstwo,f1v7119,f17119
1297.statecounty,MI_Montmorenyc,MI_Montmorency
574.fipstwo,19033,f19033
2170.statecounty,OKHarmon,OK_Harmon
3225.statecounty,WY_aNtrona,WY_Natrona
160.county,Searcyi ,Searcy 
487.statecounty,lGA_Madison,GA_Madison
1998.statecounty,NY_Chautaquua,NY_Chautauqua
3147.statecounty,WI_Trmepealeau,WI_Trempealeau
2345.statevalue,PgR,PR
530.fipstwo,xf13279,f13279
701.fipstwo,f170j01,f17001
2692.fipstwo,f4816e1,f48161
1671.statecounty,NC_Beaufrot,NC_Beaufort
901.fipstwo,f0013,f20013
1719.statevalue,CN,NC
1517.countytwo,Warrne ,Warren 
1398.county,Traversde ,Traverse 
239.statevalue,AC,CA
2239.statevalue,RO,OR
187.statecounty,AZ_ePima,AZ_Pima
547.statevalue,AG,GA
238.fipstwo,f06039,f06093
2202.statecounty,OK_Ptitsburg,OK_Pittsburg
2359.statevalue,PwR,PR
1177.statevalue,AL,LA
1134.statecounty,LA_Concrdia,LA_Concordia
2601.county,Trousdal e,Trousdale 
991.countytwo,homas ,Thomas 
2362.statecounty,PR_Lajas Municiipio,PR_Lajas Municipio
277.statevalue,OC,CO
171.statecounty,AR_Ylel,AR_Yell
2341.fipstwo,72039,f72039
1837.statecounty,NE_Cumnig,NE_Cuming
1529.county,Amiet ,Amite 
665.countytwo,Bonner ***,Bonner 
946.fipstwo,f2013,f20103
70.statecounty,AL_Lee***,AL_Lee
2390.statecounty,PR_Toa Alta Municiopio,PR_Toa Alta Municipio
2007.countytwo,Essxe ,Essex 
908.countytwo,Clxay ,Clay 
305.statecounty,CO_Sagunache,CO_Saguache
136.fipstwo,f05g079,f05079
2125.fipstwo,wf39143,f39143
3079.county,Sevens ,Stevens 
1963.county,io Arriba ,Rio Arriba 
2343.county,Coamo Municpiio,Coamo Municipio
103.fipstwo,f0513,f05013
975.statevalue,SK,KS
1708.fipstwo,f3708b7,f37087
3063.countytwo,Kin g,King 
496.countytwo,Morgna ,Morgan 
1800.fipstwo,f8071,f38071
2974.countytwo,Martinsvijlle city,Martinsville city
535.statevalue,AG,GA
1281.statecounty,MiI_Lapeer,MI_Lapeer
1329.county,Carrlton ,Carlton 
3114.countytwo,Junea u,Juneau 
40.countytwo,Chitlon ,Chilton 
518.fipstwo,f1255,f13255
2649.statecounty,TXChildress,TX_Childress
1963.statecounty,NM_Rio Arriab,NM_Rio Arriba
1155.statevalue,A,LA
621.countytwo,Marhsall ,Marshall 
1163.countytwo,St. Bernrad ,St. Bernard 
2833.statecounty,TX_Trrell,TX_Terrell
811.statevalue,NI,IN
1067.county,ewis ,Lewis 
1261.fipstwo,f260a47,f26047
60.fipstwo,f0101,f01061
1556.county,Jacksn ,Jackson 
2545.fipstwo,f40757,f47057
3038.county,Franklini ,Franklin 
452.county,Fdulton ,Fulton 
2063.county,Carorll ,Carroll 
561.fipstwo,f1007,f19007
438.county,qDooly ,Dooly 
1015.county,utler ,Butler 
105.countytwo,hCicot ,Chicot 
131.countytwo,Jefferosn ,Jefferson 
3071.fipstwo,f5049,f53049
333.statevalue,LF,FL
2114.countytwo,Nobel ,Noble 
2415.countytwo,Cheroke e,Cherokee 
413.statevalue,AG,GA
1698.fipstwo,f37607,f37067
2195.fipstwo,f4017,f40107
3151.countytwo,Washbur n,Washburn 
2200.fipstwo,40117,f40117
2216.countytwo,Washitae ,Washita 
3114.statecounty,WI_Junmeau,WI_Juneau
1613.statecounty,MT_Carboxn,MT_Carbon
1293.statevalue,IM,MI
1735.statecounty,NC_Pendre,NC_Pender
952.countytwo,Marsall ,Marshall 
261.countytwo,dConejos ,Conejos 
3195.statevalue,VW,WV
1917.countytwo,Merrmack ,Merrimack 
1480.county,Newtown ,Newton 
2609.statecounty,TN_Whithe,TN_White
2208.statecounty,OK_eSminole,OK_Seminole
1898.countytwo,Sheriadn ,Sheridan 
1492.countytwo,Pulask i,Pulaski 
30.statevalue,L,AL
980.fipstwo,f2017j1,f20171
1292.countytwo,Menozminee ,Menominee 
2425.countytwo,Florenec ,Florence 
1973.statecounty,M_Union,NM_Union
2785.fipstwo,f48437,f48347
51.statevalue,AtL,AL
294.statecounty,CO_oMrgan,CO_Morgan
1733.fipstwo,37137,f37137
790.statevalue,L,IL
1900.countytwo,Stioux ,Sioux 
2646.statevalue,rTX,TX
1944.statevalue,M,NM
649.statevalue,A,IA
754.county,Loga ,Logan 
1291.countytwo,eMcosta ,Mecosta 
815.fipstwo,f18205,f18025
27.countytwo,Wrrangell City and Borough,Wrangell City and Borough
1155.statecounty,LA_rOleans,LA_Orleans
306.county,Sn Juan ,San Juan 
1750.countytwo,Sury ,Surry 
2496.county,Medae ,Meade 
1938.county,Somerst ,Somerset 
2086.statecounty,OoH_Hardin,OH_Hardin
979.county,aSline ,Saline 
2981.statecounty,VA_Nepwort News city,VA_Newport News city
1690.fipstwo,f3705f1,f37051
1329.statecounty,MN_Calton,MN_Carlton
1764.statevalue,NuC,NC
2411.countytwo,Beafuort ,Beaufort 
688.county,Lipncoln ,Lincoln 
2927.statevalue,A,VA
2870.statecounty,UT_Calrbon,UT_Carbon
814.statecounty,NI_Clinton,IN_Clinton
1945.fipstwo,f3506,f35006
2548.statevalue,NT,TN
439.statecounty,A_Dougherty,GA_Dougherty
1716.statecounty,NC_Jnes,NC_Jones
442.countytwo,Echosl ,Echols 
3028.statecounty,VAW_ythe,VA_Wythe
2495.county,McPehrson ,McPherson 
2094.countytwo,Jefefrson ,Jefferson 
2131.statevalue,H,OH
3100.statevalue,IW,WI
2168.statevalue,K,OK
472.statecounty,GA_Jeff Dvis,GA_Jeff Davis
3022.statevalue,AV,VA
3133.county,iPierce ,Pierce 
2901.county,Aherst ,Amherst 
1773.countytwo,Casxs ,Cass 
2176.countytwo,Jjohnston ,Johnston 
1860.county,Haye s,Hayes 
1049.fipstwo,21099,f21099
360.statevalue,L,FL
1719.countytwo,Lincoljn ,Lincoln 
2022.statevalue,fNY,NY
3066.statevalue,AW,WA
2748.statevalue,XT,TX
741.statecounty,IL_Jeffesron,IL_Jefferson
461.countytwo,Hal ,Hall 
911.county,Comanchve ,Comanche 
2007.statecounty,NYE_ssex,NY_Essex
708.statecounty,IL_Carorll,IL_Carroll
2340.statecounty,PR_Ceiba Municpio,PR_Ceiba Municipio
2109.countytwo,Moroe ,Monroe 
2729.countytwo,Irin ,Irion 
2195.countytwo,Okfuske ,Okfuskee 
1655.statevalue,T,MT
2502.county,Perkiins ,Perkins 
1684.fipstwo,f3739,f37039
2650.statevalue,X,TX
380.statecounty,FLS_anta Rosa,FL_Santa Rosa
2125.statevalue,HO,OH
1600.statevalue,SM,MS
2408.statecounty,SC_Andreson,SC_Anderson
1449.statecounty,MO_Hery,MO_Henry
2296.fipstwo,f4208f3,f42083
1954.county,Hialgo ,Hidalgo 
1914.county,Cos ,Coos 
2321.statecounty,PA_Yorrk,PA_York
1561.fipstwo,f28x069,f28069
2068.county,Colmubiana ,Columbiana 
573.county,eCdar ,Cedar 
936.countytwo,Hodgemanp ,Hodgeman 
883.statecounty,bIN_Union,IN_Union
835.statecounty,IN_Herny,IN_Henry
2739.statevalue,XT,TX
2409.statevalue,SgC,SC
2841.county,Upshu r,Upshur 
1614.fipstwo,3f0011,f30011
2555.fipstwo,f4707,f47077
1750.statevalue,C,NC
2395.countytwo,Vega Baja Municpio,Vega Baja Municipio
588.statecounty,IA_Dubuuqe,IA_Dubuque
647.statecounty,IA_Waello,IA_Wapello
2698.statevalue,X,TX
1742.statecounty,NrC_Robeson,NC_Robeson
2754.statevalue,XT,TX
1439.fipstwo,29063,f29063
627.county,Muscaqtine ,Muscatine 
1091.county,Oahio ,Ohio 
1632.county,Laek ,Lake 
864.statevalue,N,IN
2300.statecounty,PA_ontgomery,PA_Montgomery
1763.statecounty,NpC_Yadkin,NC_Yadkin
2830.fipstwo,f48473,f48437
1459.statevalue,O,MO
2586.county,olk ,Polk 
380.fipstwo,f21113,f12113
2268.statevalue,AP,PA
247.fipstwo,f0611u1,f06111
24.statecounty,AK_Southeast Fairbankfs Census Area,AK_Southeast Fairbanks Census Area
3212.statevalue,VW,WV
2624.countytwo,cBee ,Bee 
1432.county,Clinpton ,Clinton 
3105.statevalue,WeI,WI
787.county,St. Clai r,St. Clair 
876.county,tS. Joseph ,St. Joseph 
1682.statecounty,NC_Catabwa,NC_Catawba
1288.county,Maniste ,Manistee 
504.fipstwo,13227,f13227
241.county,tanislaus ,Stanislaus 
2398.county,Yabucoa Munilcipio,Yabucoa Municipio
2480.statecounty,SDHanson,SD_Hanson
3199.county,Rangdolph ,Randolph 
2283.statevalue,AP,PA
1306.statevalue,MaI,MI
505.county,Pierc ,Pierce 
2409.fipstwo,4f5009,f45009
288.countytwo,ogan ,Logan 
1553.statecounty,MrS_Humphreys,MS_Humphreys
2615.fipstwo,f8007,f48007
40.county,Cihlton ,Chilton 
1001.statecounty,KY_Allsen,KY_Allen
2692.statevalue,X,TX
894.countytwo,Witley ,Whitley 
225.county,Sacrfamento ,Sacramento 
1851.county,Gag e,Gage 
2655.statevalue,cTX,TX
924.county,rFanklin ,Franklin 
3015.county,Stunton city,Staunton city
32.statecounty,AL_Barbur,AL_Barbour
823.fipstwo,fl18041,f18041
1230.fipstwo,f23071,f23017
677.statevalue,DI,ID
1435.statevalue,OM,MO
2728.fipstwo,f48233***,f48233
777.statevalue,LI,IL
2855.county,Wilbajrger ,Wilbarger 
1267.statevalue,I,MI
755.county,aMcon ,Macon 
452.statevalue,GwA,GA
2401.countytwo,Ken t,Kent 
110.fipstwo,f050u27,f05027
1529.statecounty,MS_Amiet,MS_Amite
2774.statecounty,TX_Media,TX_Medina
2451.countytwo,Auror a,Aurora 
2889.county,Toolee ,Tooele 
1509.statevalue,MpO,MO
375.statecounty,FqL_Palm Beach,FL_Palm Beach
1281.fipstwo,f26807,f26087
1033.statecounty,KY_Faeyette,KY_Fayette
412.countytwo,Camde ,Camden 
334.fipstwo,f120s17,f12017
1964.statecounty,NM_Rosevelt,NM_Roosevelt
1135.fipstwo,f20231,f22031
2246.county,Shermavn ,Sherman 
1417.statevalue,MgO,MO
1794.fipstwo,f38095,f38059
2990.countytwo,Petersbur city,Petersburg city
2215.statevalue,aOK,OK
199.statecounty,A_Del Norte,CA_Del Norte
117.statecounty,AR_Desa,AR_Desha
2364.statecounty,PR_Las Marais Municipio,PR_Las Marias Municipio
2579.statevalue,N,TN
1843.statevalue,E,NE
1507.countytwo,St. Franctois ,St. Francois 
1589.fipstwo,f8125,f28125
2922.countytwo,hesterfield ,Chesterfield 
250.statecounty,CO_Adasm,CO_Adams
2822.statevalue,XT,TX
3047.county,wAdams ,Adams 
1712.statevalue,C,NC
1956.countytwo,dLincoln ,Lincoln 
1143.statecounty,LA_Ibervirlle,LA_Iberville
1712.fipstwo,f3795,f37095
867.statevalue,N,IN
1343.statecounty,MN_Fllmore,MN_Fillmore
13.statecounty,AK_Ketchikan Gateway Borouhgh,AK_Ketchikan Gateway Borough
634.statevalue,AI,IA
2187.statevalue,K,OK
780.county,iRchland ,Richland 
815.countytwo,Crafword ,Crawford 
12.county,Kenai Peninsaula Borough,Kenai Peninsula Borough
995.countytwo,Wahington ,Washington 
3107.countytwo,rant ,Grant 
3203.statevalue,VW,WV
1443.statecounty,MO_Fraknlin,MO_Franklin
2193.county,Nole ,Noble 
2661.statevalue,uTX,TX
2587.statevalue,hTN,TN
2426.fipstwo,fo45043,f45043
1690.countytwo,Cmberland ,Cumberland 
2387.countytwo,Sna Lorenzo Municipio,San Lorenzo Municipio
2198.countytwo,Osge ,Osage 
2360.county,JuanaDiaz Municipio,Juana Diaz Municipio
2922.fipstwo,f51014,f51041
152.fipstwo,f50111,f05111
473.statevalue,AG,GA
148.fipstwo,f5103,f05103
1851.statevalue,EN,NE
3077.statecounty,WA_Snohmish,WA_Snohomish
1865.countytwo,Jeferson ,Jefferson 
346.county,vGlades ,Glades 
2328.county,Arecbio Municipio,Arecibo Municipio
663.statecounty,ID_Blfaine,ID_Blaine
326.statecounty,FL_Alacua,FL_Alachua
1809.county,tark ,Stark 
1278.fipstwo,f20681,f26081
1521.statecounty,MO_sWorth,MO_Worth
495.statecounty,GA_Montgomry,GA_Montgomery
1525.statevalue,P,MP
20.countytwo,PetersburgCensus Area,Petersburg Census Area
1066.statevalue,Y,KY
2535.countytwo,Davidsoon ,Davidson 
962.countytwo,ess ,Ness 
1841.countytwo,Dawosn ,Dawson 
2648.statecounty,TX_Chxerokee,TX_Cherokee
985.county,Sfherman ,Sherman 
651.statecounty,IA_Webstre,IA_Webster
1088.county,Muhlenber ,Muhlenberg 
707.statecounty,IL_alhoun,IL_Calhoun
2539.county,Dye r,Dyer 
1190.statevalue,AM,MA
9.statevalue,K,AK
1812.statecounty,ND_Tonwer,ND_Towner
918.statevalue,hKS,KS
2890.fipstwo,cf49047,f49047
2601.countytwo,rousdale ,Trousdale 
3205.fipstwo,54095,f54095
2035.statecounty,NY_Rockbland,NY_Rockland
1989.statecounty,vNV_Storey,NV_Storey
3173.fipstwo,54031,f54031
1148.countytwo,aLfayette ,Lafayette 
671.fipstwo,f16092,f16029
752.fipstwo,f17v103,f17103
2390.statevalue,R,PR
385.countytwo,Suter ,Sumter 
1967.statevalue,NaM,NM
1028.fipstwo,f1057,f21057
2705.statecounty,TX_Guapdalupe,TX_Guadalupe
1479.statecounty,MO_New Mdrid,MO_New Madrid
1371.statecounty,NM_Murray,MN_Murray
2091.fipstwo,f39057,f39075
676.fipstwo,f16309,f16039
1593.county,Sunflowe r,Sunflower 
2533.statecounty,TN_Crocktt,TN_Crockett
990.statevalue,SK,KS
1185.statevalue,A,MA
1140.countytwo,Frankli ,Franklin 
1452.county,Hooward ,Howard 
1085.fipstwo,21171,f21171
1513.county,Sullivan ***,Sullivan 
1121.fipstwo,2f2003,f22003
1481.fipstwo,f2947,f29147
964.statevalue,SK,KS
1286.statevalue,I,MI
2117.statecounty,OH_Prery,OH_Perry
536.fipstwo,f12391,f13291
3045.countytwo,indham ,Windham 
840.statecounty,IbN_Jay,IN_Jay
466.countytwo,Hbeard ,Heard 
1744.fipstwo,f7159,f37159
369.fipstwo,1f2087,f12087
1502.statecounty,MO_Sott,MO_Scott
2372.fipstwo,f70299,f72099
2546.statevalue,yTN,TN
1757.countytwo,aWrren ,Warren 
387.statevalue,FaL,FL
27.fipstwo,0f2275,f02275
999.county,Wyandottke ,Wyandotte 
1617.statevalue,TM,MT
2934.fipstwo,f5159,f51059
929.statecounty,KbS_Gray,KS_Gray
2781.fipstwo,f48393,f48339
1854.fipstwo,f13073,f31073
3078.fipstwo,53063,f53063
1225.countytwo,ranklin ,Franklin 
3014.fipstwo,f51197,f51179
3162.countytwo,Broke ,Brooke 
3176.county,Jeffferson ,Jefferson 
1060.fipstwo,df21121,f21121
1358.fipstwo,f270x75,f27075
591.statecounty,A_Floyd,IA_Floyd
1378.county,kPine ,Pine 
117.county,Desiha ,Desha 
2513.county,Unpion ,Union 
396.countytwo,Bake r,Baker 
2413.county,Clahoun ,Calhoun 
676.statevalue,ItD,ID
2769.statecounty,TX_Matagosrda,TX_Matagorda
71.fipstwo,df01083,f01083
2284.statevalue,PkA,PA
2547.statecounty,TN_Gruny,TN_Grundy
809.county,hBrown ,Brown 
2425.statevalue,C,SC
1883.fipstwo,f31113,f31131
123.statevalue,AzR,AR
2991.statevalue,AV,VA
3166.fipstwo,54017,f54017
1805.fipstwo,f380f81,f38081
632.countytwo,Plyomuth ,Plymouth 
2075.countytwo,Eri e,Erie 
2218.county,oWodward ,Woodward 
206.statecounty,CAx_Kern,CA_Kern
283.fipstwo,08067,f08067
1927.fipstwo,f30413,f34013
545.countytwo,Wheelser ,Wheeler 
1922.fipstwo,f3403,f34003
328.fipstwo,ff12005,f12005
749.statecounty,L_Lake,IL_Lake
931.statecounty,KtS_Greenwood,KS_Greenwood
319.fipstwo,f090u11,f09011
2388.fipstwo,72131,f72131
980.county,Sctot ,Scott 
1659.statecounty,MT_xToole,MT_Toole
2070.county,Crawpford ,Crawford 
789.countytwo,Stepenson ,Stephenson 
2591.statecounty,TN_Rutherfourd,TN_Rutherford
887.countytwo,Waabsh ,Wabash 
2322.statevalue,R,PR
2124.fipstwo,f93141,f39141
3151.fipstwo,f55219,f55129
1072.statevalue,KbY,KY
1303.countytwo,Ontonago n,Ontonagon 
3215.statevalue,YW,WY
2357.county,umacao Municipio,Humacao Municipio
2252.statecounty,ORWashington,OR_Washington
1673.statecounty,NC_Blaedn,NC_Bladen
2285.countytwo,Huntingdo n,Huntingdon 
2264.county,utler ,Butler 
3125.county,Menomine ,Menominee 
2242.fipstwo,f41074,f41047
1194.countytwo,lNorfolk ,Norfolk 
136.statevalue,RA,AR
592.statecounty,IA_Frankzlin,IA_Franklin
1309.statevalue,MxI,MI
2789.county,Nuece s,Nueces 
2859.countytwo,Wnkler ,Winkler 
634.countytwo,Pok ,Polk 
2632.statecounty,T_Brazos,TX_Brazos
79.fipstwo,f01099***,f01099
1135.statecounty,LA_De oto,LA_De Soto
1679.countytwo,Camgden ,Camden 
1057.fipstwo,2f1115,f21115
2234.fipstwo,fg41031,f41031
2873.county,Ducheesne ,Duchesne 
1020.countytwo,cCarroll ,Carroll 
2782.county,Mooe ,Moore 
2346.statevalue,rPR,PR
3097.statevalue,rWI,WI
2696.county,Gazra ,Garza 
2549.countytwo,amilton ,Hamilton 
3062.fipstwo,f35031,f53031
2342.countytwo,Cira Municipio,Cidra Municipio
260.countytwo,Clear Creke ,Clear Creek 
2873.fipstwo,f4013,f49013
275.fipstwo,f00849,f08049
2775.statecounty,TX_Meanrd,TX_Menard
571.countytwo,arroll ,Carroll 
1849.statevalue,EN,NE
1353.countytwo,Kaanbec ,Kanabec 
3047.fipstwo,f5001,f53001
496.fipstwo,f132u11,f13211
1064.fipstwo,21129,f21129
2593.statevalue,N,TN
2689.county,oard ,Foard 
1192.statevalue,AM,MA
503.countytwo,each ,Peach 
744.fipstwo,17087,f17087
2211.statecounty,OKTexas,OK_Texas
1567.countytwo,Le ,Lee 
2898.county,Alexandria ctiy,Alexandria city
2764.statecounty,TX_Llynn,TX_Lynn
703.county,Bon d,Bond 
2937.statecounty,VA_Fauquir,VA_Fauquier
1029.county,Davies ,Daviess 
523.statecounty,GA_dTaliaferro,GA_Taliaferro
2143.fipstwo,f4003,f40003
2359.countytwo,Jayuya Muniicpio,Jayuya Municipio
885.statecounty,IN_Vermillino,IN_Vermillion
2298.countytwo,Mifflin ***,Mifflin 
1606.countytwo,Winsotn ,Winston 
1045.county,ancock ,Hancock 
2627.county,Blano ,Blanco 
1963.fipstwo,fe35039,f35039
930.fipstwo,f20017,f20071
1031.countytwo,Elliottx ,Elliott 
1868.statecounty,eNE_Keith,NE_Keith
1499.statevalue,O,MO
1204.county,Carrovll ,Carroll 
3007.statevalue,A,VA
1800.countytwo,aRmsey ,Ramsey 
1150.county,Linccoln Parish,Lincoln Parish
480.statecounty,GA_Lete,GA_Lee
202.statecounty,CA_Glenn***,CA_Glenn
2153.statecounty,OK_Chctaw,OK_Choctaw
2551.county,Hardeamn ,Hardeman 
