Citing Patent,Filing date,Publication date,Applicant,Title
US20040088003 *,"Sep 30, 2002","May 6, 2004",Leung Jeffrey C.,Barbed suture in combination with surgical needle
US20040093027 *,"Mar 4, 2003","May 13, 2004",Walter Fabisiak,Barbed tissue connector for sealing vascular puncture wounds
US20040111100 *,"Dec 8, 2000","Jun 10, 2004",Benderev Theodore V.,"Systems for securing sutures, grafts and soft tissue to bone and periosteum"
US20040193217 *,"Apr 2, 2004","Sep 30, 2004","Tendon Technology, Ltd.",Apparatus and methods for tendon or ligament repair
US20040225208 *,"Jun 15, 2004","Nov 11, 2004",Royce Johnson,System for combined transcutaneous blood gas monitoring and vacuum assisted wound closure
US20040226427 *,"May 13, 2003","Nov 18, 2004",Michael Trull,Apparatus for forming barbs on a suture
US20040243073 *,"Dec 20, 2002","Dec 2, 2004",Lockwood Jeffrey S.,Wound vacuum therapy dressing kit
US20040267309 *,"Jun 27, 2003","Dec 30, 2004",Garvin Dennis D.,Device for sutureless wound closure
US20050020955 *,"Jul 21, 2004","Jan 27, 2005",Sanders Teryl Blane,Negative pressure wound treatment dressing
US20050033327 *,"Aug 31, 2004","Feb 10, 2005",John Gainor,Retrievable septal defect closure device
US20050033367 *,"Aug 9, 2004","Feb 10, 2005",Leung Jeffrey C.,Suture anchor and method
US20100230300 *,"May 27, 2008","Sep 16, 2010","Angiotech Pharmaceuticals, Inc.",Suture packaging
US20100241141 *,"May 8, 2007","Sep 23, 2010",Lee Heeyoung,Tools for fiber reinforced anti-compressive adherent suture method
US20100298874 *,"Aug 4, 2010","Nov 25, 2010","Quill Medical, Inc.",Sutures with barbs that overlap and cover projections
US20110046668 *,"Dec 19, 2008","Feb 24, 2011","Angiotech Pharmaceuticals, Inc.",Self-retaining sutures with heat-contact mediated retainers
US20110251634 *,"Nov 17, 2009","Oct 13, 2011",Gonzales Donald A,Apparatus and methods for correcting nasal valve collapse
US20110282386 *,,"Nov 17, 2011",Aesculap Ag,Continuous-filament thread having a plurality of barbs and a barbed suture
US20120109188 *,,"May 3, 2012",Tyco Healthcare Group Lp,Wound Closure Device Including Barbed Pins
US20120209325 *,"Nov 21, 2011","Aug 16, 2012",Arthrocare Corporation,Novel suture
USRE45426 *,"Jul 31, 2001","Mar 17, 2015","Ethicon, Inc.",Surgical methods using one-way suture
CN101027168B,"Sep 29, 2003","Dec 8, 2010",奎尔医疗公司,Barbed sutures
CN101902974B,"Dec 19, 2008","Oct 30, 2013",伊西康有限责任公司,Self-retaining sutures with heat-contact mediated retainers
CN102008335B,"Sep 29, 2003","Oct 10, 2012",奎尔医疗公司,Barbed sutures
DE102005004317B3 *,"Jan 31, 2005","Jun 1, 2006",Ethicon Gmbh,"Polypropylene tissue connector comprises a longitudinal core having active substances, helical structures as a rear cut thread spirally coiled around the core and needle type applicator with ends covered by casing"
DE102005004318A1 *,"Jan 31, 2005","Aug 10, 2006",Ethicon Gmbh,Chirurgisches Nahtsystem
DE102009020894A1,"May 8, 2009","Nov 11, 2010",Aesculap Ag,Elastomerer Faden mit Verankerungsstrukturen zur Verankerung in biologischen Geweben
DE102009020901A1,"May 8, 2009","Nov 11, 2010",Aesculap Ag,Beschichteter Faden mit Verankerungsstrukturen zur Verankerung in biologischen Geweben
EP1532942A1 *,"Jul 10, 2002","May 25, 2005",Georgiih Marlenovich Sulamanidze,Endoprosthesis for reparative anaplastic surgery
EP2168733A1,"Sep 29, 2003","Mar 31, 2010","Quill Medical, Inc.",Barbed sutures
EP2218408A1,"Sep 29, 2003","Aug 18, 2010","Quill Medical, Inc.",Barbed suture
EP2272641A1,"Sep 29, 2003","Jan 12, 2011","Quill Medical, Inc.",Barbed sutures
EP2335889A1,"Sep 29, 2003","Jun 22, 2011","Quill Medical, Inc.",Barbed sutures
EP2338421A1,"Sep 29, 2003","Jun 29, 2011","Quill Medical, Inc.",Barbed suture
EP2664282A2,"May 16, 2005","Nov 20, 2013","Ethicon, LLC",Suture methods and devices
EP2664283A2,"May 16, 2005","Nov 20, 2013","Ethicon, LLC",Suture methods and devices
WO2004030520A2 *,"Sep 29, 2003","Apr 15, 2004",Quill Medical Inc,Barbed sutures
WO2004030704A2 *,"Sep 29, 2003","Apr 15, 2004",Quill Medical Inc,Barb configurations for barbed sutures
WO2005002452A1,"Jun 24, 2004","Jan 13, 2005",Dennis D Garvin,Device for sutureless wound closure
WO2005016176A2 *,"Jul 26, 2004","Feb 24, 2005",Arnold R Leiboff,Device and method for tacking a prosthetic screen
WO2005104962A2 *,"Apr 21, 2005","Nov 10, 2005",Coapt Systems Inc,Remotely anchored tissue fixation device and method
WO2006031698A2 *,"Sep 8, 2005","Mar 23, 2006",Wound Care Technologies Llc,Wound closure product
WO2006079469A1,"Jan 17, 2006","Aug 3, 2006",Ethicon Gmbh,Surgical suture system
WO2008002409A2 *,"Jun 18, 2007","Jan 3, 2008",Vance Products Inc Doing Busin,Tension free pelvic floor repair
WO2009020795A1 *,"Jul 29, 2008","Feb 12, 2009",Ethicon Inc,Barbed suture with non-symmetric barbs
WO2010022640A1 *,"Aug 24, 2009","Mar 4, 2010","Grandhope Biotech Co., Ltd.",Integrative urethra sling
WO2010030778A1 *,"Sep 10, 2009","Mar 18, 2010",Wilson-Cook Medical Inc.,Methods for achieving serosa-to-serosa closure of a bodily opening using one or more tacking devices
WO2012064902A2,"Nov 9, 2011","May 18, 2012","Angiotech Pharmaceuticals, Inc.",Emergency self-retaining sutures and packaging
WO2012129534A2,"Mar 23, 2012","Sep 27, 2012","Angiotech Pharmaceuticals, Inc.",Self-retaining variable loop sutures
