characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
"White, non-Hispanic",Female,"White, non-Hispanic",2004,42.0,5.89,NULL,360072.0,53941.6,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2005,30.2,5.3,NULL,261134.0,48441.2,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2006,47.1,6.8,NULL,399095.0,62014.4,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2007,44.3,6.48,NULL,368830.0,59340.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2008,41.4,7.11,NULL,353412.0,64585.5,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2009,28.6,5.84,NULL,248459.0,53766.1,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2010,25.0,4.95,NULL,224347.0,47127.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2011,25.1,4.66,NULL,210205.0,41160.5,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2012,39.3,6.02,NULL,326121.0,52920.4,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,57.4,12.35,NULL,114455.0,26949.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,46.4,10.61,NULL,95310.0,23271.3,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,46.7,11.14,NULL,95635.0,24854.4,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,62.2,13.54,NULL,118378.0,28197.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,60.3,12.55,NULL,119642.0,26851.4,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,52.5,12.69,NULL,101575.0,26403.6,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,50.9,12.23,NULL,97198.0,25054.7,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,41.6,9.02,NULL,82901.0,19873.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,50.3,13.85,NULL,101890.0,29827.4,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,30.3,10.16,NULL,61037.0,21556.2,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,51.2,12.35,NULL,107514.0,28412.3,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,40.1,9.79,NULL,88578.0,23208.6,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,27.9,8.33,NULL,62333.0,19321.1,NULL
Hispanic,Female,Hispanic,2000,31.7,8.38,NULL,69293.0,19397.1,NULL
Hispanic,Female,Hispanic,2001,27.0,7.51,NULL,60506.0,17569.4,NULL
Hispanic,Female,Hispanic,2002,24.7,7.14,NULL,58497.0,17882.3,NULL
Hispanic,Female,Hispanic,2003,34.4,8.48,NULL,90790.0,23754.6,NULL
Hispanic,Female,Hispanic,2004,27.2,7.18,NULL,70822.0,19493.1,NULL
Hispanic,Female,Hispanic,2005,37.2,9.36,NULL,95084.0,25329.3,NULL
Hispanic,Female,Hispanic,2006,34.4,8.68,NULL,89147.0,23743.9,NULL
Hispanic,Female,Hispanic,2007,20.3,5.05,NULL,57104.0,15135.0,NULL
Hispanic,Female,Hispanic,2008,14.5,6.08,NULL,40070.0,17182.1,NULL
Hispanic,Female,Hispanic,2009,29.4,8.91,NULL,80023.0,25607.3,NULL
Hispanic,Female,Hispanic,2010,19.4,6.18,NULL,52231.0,17482.9,NULL
Hispanic,Female,Hispanic,2011,30.0,7.44,NULL,88042.0,23117.0,NULL
Hispanic,Female,Hispanic,2012,30.4,7.37,NULL,102619.0,25965.3,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
