77.selat,35 22 30.00,35 22 30.000
162.paneltyp,"COUNTYWIDE, PANEL PINTED","COUNTYWIDE, PANEL PRINTED"
59.stfips,47,35
99.dfirmid,3504C,35043C
393.suffix,***,D
24.sourcecit,1429057_BASE1,1526115_BASE2
152.nwlat,35 5 00,35 45 00
133.suffix,,D
243.effdate,2008/0y9/26,2008/09/26
369.firmpan,3501C0364G,35001C0364G
10.firmpan,3500220001D,35049C0775D
76.firmpan,35049C067D5,35049C0675D
247.pnpreason,AREA IN ZONEa D,AREA IN ZONE D
129.firmpan,35043C190D4,35043C1904D
389.paneltyp,"COUNTYWIDE, NOT RINTED","COUNTYWIDE, NOT PRINTED"
115.sourcecit,150577_STUDY2,1510577_STUDY2
45.effdate,008/06/17,2008/06/17
277.dfirmid,5001C,35001C
452.firmpan,35025C127D5,35025C1275D
310.paneltyp,COUNTYWIDE PANEL PRINTED,"COUNTYWIDE, PANEL PRINTED"
265.suffix,***,G
54.pcomm,094C,049C
220.suffix,zC,C
317.selong,o-106 43 07.500,-106 43 07.500
96.nwlong,107 15 00***,107 15 00
38.firmpan,35049C0750D,35049C0350D
20.stfips,47,35
297.effdate,2008/9/26,2008/09/26
367.selat,34 25 30.000,34 52 30.000
11.suffix,,D
204.suffix,,D
408.pnpreason,REA IN ZONE D,AREA IN ZONE D
444.firmid,15c55572_24,1555572_24
129.sourcecit,151a0577_STUDY2,1510577_STUDY2
207.pcomm,04C3,043C
105.nwlong,07 22 30,107 22 30
104.dfirmid,30543C,35043C
42.firmid,1429057_101,1526115_13
133.pcomm,43C,043C
426.dfirmid,35r025C,35025C
6.sourcecit,1526115_BASE2,1429057_BASE1
335.pcomm,001fC,001C
347.pcomm,0z01C,001C
9.effdate,2006/05/16,2008/06/17
246.effdate,20s08/09/26,2008/09/26
127.dfirmid,350l43C,35043C
122.suffix,,D
54.selong,-105 54 225.00,-105 54 22.500
94.paneltyp,"COUNYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
271.firmpan,35001C0292kG,35001C0292G
304.pcomm,001iC,001C
282.suffix,***,G
251.selat,350 9 22.500,35 09 22.500
82.pcomm,k049C,049C
334.effdate,2008/0r9/26,2008/09/26
333.pcomm,f001C,001C
238.firmpan,3501C0358G,35001C0358G
396.stfips,23,35
114.selong,016 22 30,106 22 30
312.dfirmid,3500u1C,35001C
59.pnpreason,AREAj IN ZONE D,AREA IN ZONE D
453.selat,33 22 30.m000,33 22 30.000
198.dfirmid,35403C,35043C
12.pcomm,0022,049C
243.dfirmid,5001C,35001C
300.suffix,***,G
269.effdate,2008/09r/26,2008/09/26
149.sourcecit,1510577S_TUDY2,1510577_STUDY2
404.pcomm,02C,025C
215.selong,-106 01 5.500,-106 01 53.500
412.nwlat,32 37 e30.000,32 37 30.000
384.selat,3330 00.000,33 30 00.000
332.paneltyp,"COUNTYWIDE, PANEL PRITED","COUNTYWIDE, PANEL PRINTED"
38.firmid,1429057_101,1526115_9
129.paneltyp,"COUNTYWIDE, PANEL PxRINTED","COUNTYWIDE, PANEL PRINTED"
398.suffix,,D
19.objectid,22450.0,40960
171.effdate,0208/03/18,2008/03/18
68.nwlat,36 03 450.00,36 03 45.000
246.stfips,30,35
352.paneltyp,"COUNTYWIDE, NOT PINTED","COUNTYWIDE, NOT PRINTED"
435.pcomm,02C5,025C
126.pcomm,04x3C,043C
439.suffix,***,D
324.pcomm,00z1C,001C
137.selat,36 07 03,36 07 30
432.suffix,,D
94.dfirmid,30543C,35043C
447.firmid,155572_59,1555572_59
30.effdate,2006/05/16,2008/06/17
182.effdate,008/03/18,2008/03/18
32.pcomm,0022,049C
390.nwlat,32 1 00.000,32 15 00.000
414.pnpreason,AREA IN ZNE D,AREA IN ZONE D
315.selat,35 0 922.500,35 09 22.500
257.effdate,2008/09/6,2008/09/26
342.pnpreason,AREA IN ZONoE D,AREA IN ZONE D
195.effdate,2008/u03/18,2008/03/18
29.sourcecit,1429057_BASE1,1526115_BASE2
21.objectid,22447.0,40962
24.firmid,1526115_40,1526115_36
24.pcomm,0022,049C
109.selong,106 07 0,106 07 30
337.firmpan,3500f1C0337G,35001C0337G
420.suffix,***,D
96.suffix,,D
393.firmpan,35025C0075D***,35025C0075D
26.effdate,2006/05/16,2008/06/17
458.effdate,20081/2/16,2008/12/16
97.pnpreason,AREA IN ZOiNE D,AREA IN ZONE D
318.paneltyp,"COUNTYWID,E PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
361.suffix,kG,G
312.suffix,sG,G
329.selong,106 43 07.500,-106 43 07.500
282.stfips,37,35
436.pnpreason,AREA kIN ZONE D,AREA IN ZONE D
62.paneltyp,"OCUNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
388.selat,3 07 30.000,33 07 30.000
394.nwlat,32 41j 15.000,32 41 15.000
32.pnpreason,AREA IN ZONE sD,AREA IN ZONE D
428.suffix,bD,D
20.effdate,2006/05/16,2008/06/17
287.firmid,1549183_127,1549138_127
33.suffix,uD,D
7.pnpreason,NO SPECIA FLOOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
213.firmid,510577_89,1510577_89
68.pnpreason,AREA N ZONE D,AREA IN ZONE D
177.dfirmid,3543C,35043C
245.effdate,200809/26,2008/09/26
258.selat,35 50 37.500,35 05 37.500
120.firmpan,35043C0y325D,35043C0325D
31.pnpreason,AREA IN ZONED,AREA IN ZONE D
228.firmpan,350010C343G,35001C0343G
10.objectid,22448.0,40938
186.suffix,,D
187.suffix,,D
16.firmid,1429057_106,1526115_28
364.paneltyp,"COUNTYWIDoE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
10.effdate,2006/05/16,2008/06/17
329.stfips,43,35
254.effdate,2008/09/26***,2008/09/26
350.pcomm,00C1,001C
349.pcomm,d001C,001C
94.pnpreason,AREA IN ZONE sD,AREA IN ZONE D
12.nwlong,-105 52 03.000,-105 52 30.000
310.effdate,2a008/09/26,2008/09/26
295.suffix,fG,G
208.nwlat,351 5 00,35 15 00
121.suffix,yD,D
105.sourcecit,5110577_STUDY2,1510577_STUDY2
233.pcomm,t001C,001C
444.pnpreason,AREA IN OZNE D,AREA IN ZONE D
21.pcomm,0022,049C
125.dfirmid,3y5043C,35043C
14.firmid,1526115_27,1526115_26
9.objectid,22445.0,40937
136.pcomm,0x43C,043C
261.effdate,2008/90/26,2008/09/26
307.suffix,***,G
328.selat,3456 15.000,34 56 15.000
78.selong,-106 03 l45.000,-106 03 45.000
149.pcomm,04C,043C
192.nwlong,107 000 0,107 00 00
313.nwlong,-107 00 00.000***,-107 00 00.000
32.sourcecit,1429057_BASE1,1526115_BASE2
8.nwlong,-105 45 00.00,-105 45 00.000
84.sourcecit,5126115_BASE2,1526115_BASE2
106.selat,35 n13 07.5,35 13 07.5
354.pcomm,010C,001C
276.firmid,154913_141,1549138_141
250.stfips,38,35
110.dfirmid,3503C,35043C
38.dfirmid,350022,35049C
265.stfips,26,35
429.firmpan,350p25C2025D,35025C2025D
101.stfips,46,35
156.nwlong,106 h37 30,106 37 30
424.nwlat,33 18 45.000***,33 18 45.000
201.firmpan,35043C120D,35043C1200D
140.effdate,2008/n03/18,2008/03/18
430.sourcecit,15555v72_STUDY1,1555572_STUDY1
136.dfirmid,3503C,35043C
264.pcomm,00y1C,001C
444.sourcecit,1555572_STcUDY1,1555572_STUDY1
405.firmpan,35025C197a5D,35025C1975D
13.firmpan,3500220007D,35049C0850D
244.firmpan,35001C038G6,35001C0386G
126.nwlong,1064 3 07.5,106 43 07.5
178.pcomm,43C,043C
40.effdate,2006/05/16,2008/06/17
231.nwlat,34 52 03.000,34 52 30.000
12.selong,-05 45 00.000,-105 45 00.000
281.stfips,39,35
43.sourcecit,1526115_BASjE2,1526115_BASE2
410.suffix,lD,D
15.objectid,22451.0,40956
468.nwlat,o33 30 00.000,33 30 00.000
48.paneltyp,"COUNTYWIDE, PAEL PRINTED","COUNTYWIDE, PANEL PRINTED"
25.objectid,40784.0,40966
125.nwlat,3 552 30,35 52 30
165.effdate,008/03/18,2008/03/18
267.effdate,2008/09/62,2008/09/26
96.sourcecit,1w510577_STUDY2,1510577_STUDY2
91.pcomm,43C,043C
112.suffix,lD,D
163.nwlong,170 15 00,107 15 00
276.suffix,cG,G
80.pcomm,09C,049C
460.firmpan,35025C900D,35025C0900D
17.firmid,1526115_14,1526115_29
343.pcomm,t001C,001C
103.nwlong,06 30 00,106 30 00
331.selat,35 00 00000,35 00 00.000
435.effdate,2008/121/6,2008/12/16
436.sourcecit,155572_STUDY1,1555572_STUDY1
417.suffix,pD,D
125.pcomm,04q3C,043C
58.firmpan,35049C600D,35049C0600D
278.selong,-106 22 30000,-106 22 30.000
271.pcomm,001eC,001C
20.pcomm,0022,049C
131.sourcecit,1510577_STUD2Y,1510577_STUDY2
41.firmid,1526115_32,1526115_12
256.nwlong,-106 43 07.50q0,-106 43 07.500
269.pcomm,n001C,001C
241.sourcecit,1549138_iSTUDY5,1549138_STUDY5
411.firmpan,5025C0275D,35025C0275D
25.effdate,2006/05/16,2008/06/17
31.paneltyp,"COUNTYWIDE, PANEL PRINTD","COUNTYWIDE, PANEL PRINTED"
195.paneltyp,"COUNTYWIDE, PANEL jPRINTED","COUNTYWIDE, PANEL PRINTED"
165.paneltyp,"COUNTYWIDE, PAEL PRINTED","COUNTYWIDE, PANEL PRINTED"
251.pcomm,01C,001C
268.suffix,***,G
100.pcomm,04i3C,043C
449.pnpreason,AlREA IN ZONE D,AREA IN ZONE D
39.suffix,,D
89.pcomm,m043C,043C
413.sourcecit,555572_STUDY1,1555572_STUDY1
464.pnpreason,ApREA IN ZONE D,AREA IN ZONE D
4.firmid,1526115_14,1429057_102
77.pcomm,04C9,049C
148.dfirmid,3b5043C,35043C
29.firmpan,3500220001D,35049C0040D
132.paneltyp,"COUNTYWIDE, PANEL PRINETD","COUNTYWIDE, PANEL PRINTED"
391.suffix,***,D
246.suffix,,G
432.selat,32 45 0.000,32 45 00.000
17.effdate,2006/05/16,2008/06/17
186.sourcecit,1510577S_TUDY2,1510577_STUDY2
326.firmid,1549138152,1549138_152
32.firmpan,35049C0925D,35049C0392D
284.pnpreason,AREA I NZONE D,AREA IN ZONE D
157.suffix,nD,D
319.sourcecit,1549318_STUDY5,1549138_STUDY5
204.firmpan,35034C0525D,35043C0525D
64.stfips,21,35
26.sourcecit,1429057_BASE1,1526115_BASE2
41.effdate,2006/05/16,2008/06/17
356.sourcecit,5149138_STUDY5,1549138_STUDY5
133.nwlong,106b 30 00,106 30 00
111.suffix,,D
295.effdate,200/09/26,2008/09/26
282.sourcecit,1549b138_STUDY5,1549138_STUDY5
176.dfirmid,5043C,35043C
293.suffix,vG,G
169.dfirmid,3503C,35043C
2.suffix,***,D
53.nwlat,35 41 15z.000,35 41 15.000
370.nwlong,-106 54 22.00,-106 54 22.500
130.pcomm,03C,043C
36.pcomm,0022,049C
229.selong,-106 39 22.50o0,-106 39 22.500
255.effdate,c2008/09/26,2008/09/26
258.selong,-10 637 30.000,-106 37 30.000
244.sourcecit,549138_STUDY5,1549138_STUDY5
183.pcomm,403C,043C
32.firmid,1526115_40,1526115_44
169.suffix,kD,D
41.firmpan,35049C0300D,35049C0475D
175.effdate,2008/03/81,2008/03/18
84.pnpreason,vAREA IN ZONE D,AREA IN ZONE D
388.paneltyp,"COUNTYIWDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
250.dfirmid,3501C,35001C
81.selat,35 33 4.5000,35 33 45.000
162.nwlat,35h 16 52.5,35 16 52.5
190.sourcecit,1510577STUDY2,1510577_STUDY2
429.effdate,200z8/12/16,2008/12/16
451.suffix,,D
23.firmid,1526115_30,1526115_35
414.suffix,tD,D
21.effdate,2006/05/16,2008/06/17
285.nwlat,34 56 15.00,34 56 15.000
3.selat,032 46 25.500,032 46 52.500
123.pnpreason,NO SPECIAL LFOOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
143.dfirmid,3504C3,35043C
145.effdate,2008j/03/18,2008/03/18
322.paneltyp,"COUNTYWIDE, PANEnL PRINTED","COUNTYWIDE, PANEL PRINTED"
88.nwlong,107 000 0,107 00 00
361.nwlong,-106 4 07.500,-106 43 07.500
274.firmid,1549138_135,1549138_153
33.pcomm,0022,049C
163.dfirmid,3504C3,35043C
27.firmid,1429057_101,1526115_39
411.nwlat,33 30 00.000***,33 30 00.000
307.pcomm,01C,001C
205.paneltyp,"COUNTYWIDE, wPANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
258.dfirmid,30501C,35001C
107.selat,3t5 15 00,35 15 00
408.selong,10307 30.000,103 07 30.000
152.sourcecit,1510577_STDY2,1510577_STUDY2
62.nwlat,35 43 70.500,35 43 07.500
37.firmpan,3500220007D,35049C0325D
125.firmid,15l10577_81,1510577_81
410.firmpan,35025C000D,35025C0700D
319.suffix,***,G
205.sourcecit,1515077_STUDY2,1510577_STUDY2
466.firmpan,35025Cx0725D,35025C0725D
219.selat,036 00 00.000***,036 00 00.000
366.dfirmid,53001C,35001C
437.pcomm,02C5,025C
47.pcomm,f049C,049C
293.paneltyp,"COUNTYIWDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
179.dfirmid,5043C,35043C
20.objectid,22445.0,40961
24.paneltyp,"COUNTYWIDE, PANEL PcRINTED","COUNTYWIDE, PANEL PRINTED"
231.dfirmid,5001C,35001C
318.selong,-10 30 00.000,-106 30 00.000
420.stfips,18,35
468.stfips,37,35
227.dfirmid,53001C,35001C
112.firmid,151d0577_114,1510577_114
412.effdate,2008/12/61,2008/12/16
288.suffix,,G
302.pcomm,00C1,001C
275.paneltyp,"COUNTYWIDE, ANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
26.objectid,40784.0,40967
115.selat,p35 37 30,35 37 30
227.nwlat,3p5 07 30.000,35 07 30.000
56.firmpan,350n49C0509D,35049C0509D
248.effdate,2008/0/26,2008/09/26
138.suffix,***,D
307.firmpan,35001C031G6,35001C0316G
314.pcomm,00j1C,001C
446.nwlong,130 30 00.000,103 30 00.000
296.dfirmid,35001C***,35001C
33.pnpreason,AREA I NZONE D,AREA IN ZONE D
122.nwlat,35 52 03,35 52 30
44.firmpan,3500220007D,35049C0130D
339.pcomm,01C,001C
122.paneltyp,"COUoNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
191.selong,016 07 30,106 07 30
130.effdate,2008/03/1s8,2008/03/18
19.firmpan,35049C0750D,35049C1000D
441.firmpan,35025C133p5D,35025C1335D
76.suffix,eD,D
28.selong,-105 n37 30.000,-105 37 30.000
347.suffix,,G
249.stfips,44,35
286.effdate,20080/9/26,2008/09/26
152.selat,3 37 30,35 37 30
425.nwlat,33 00 00h.000,33 00 00.000
453.paneltyp,"COUTNYWIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
240.nwlong,-106 35o 37.500,-106 35 37.500
241.pnpreason,AREA IN ZOjNE D,AREA IN ZONE D
26.firmid,1526115_32,1526115_38
52.suffix,zD,D
122.sourcecit,1510577_SUTDY2,1510577_STUDY2
378.paneltyp,"COUNTYWIDkE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
333.suffix,,G
7.suffix,***,D
40.objectid,40784.0,40787
208.dfirmid,35034C,35043C
107.firmid,510577_84,1510577_84
75.suffix,***,D
8.effdate,2006/05/16,2008/06/17
407.pcomm,05C,025C
50.nwlat,3e5 41 15.000,35 41 15.000
103.pnpreason,AREA IN ZONED ,AREA IN ZONE D
360.nwlat,35 00 00000,35 00 00.000
321.selong,-106 33 45.0l00,-106 33 45.000
184.sourcecit,5110577_STUDY2,1510577_STUDY2
371.pcomm,00C,001C
371.nwlong,-106 v35 37.500,-106 35 37.500
298.effdate,2008/0/26,2008/09/26
34.objectid,22448.0,40975
159.firmpan,3504C1500D,35043C1500D
91.sourcecit,151057q7_STUDY2,1510577_STUDY2
383.firmpan,3502C51175D,35025C1175D
52.stfips,39,35
92.selat,53 37 30,35 37 30
38.pnpreason,N SPECIAL FLOOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
16.pcomm,0022,049C
57.sourcecit,1526115BASE2,1526115_BASE2
110.firmpan,35043C20w00D,35043C2000D
262.sourcecit,a1549138_STUDY5,1549138_STUDY5
439.sourcecit,155j5572_STUDY1,1555572_STUDY1
238.pcomm,0h01C,001C
12.objectid,22446.0,40953
42.effdate,2006/05/16,2008/06/17
390.sourcecit,555572_STUDY1,1555572_STUDY1
191.sourcecit,1510577_STUDYw2,1510577_STUDY2
314.stfips,36,35
265.paneltyp,"OCUNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
200.stfips,19,35
155.selat,5 07 30,35 07 30
394.firmid,1555572_40***,1555572_40
151.suffix,zD,D
18.firmpan,35049C1100D,35049C0975D
214.selat,35 4w8 45,35 48 45
305.stfips,20,35
268.nwlat,35 e03 45.000,35 03 45.000
442.firmpan,35025C100w0D,35025C1000D
22.sourcecit,1429057_BASE1,1526115_BASE2
220.dfirmid,35j0052,350052
170.suffix,***,D
30.sourcecit,1429057_BASE1,1526115_BASE2
15.firmpan,3500220001D,35049C0900D
49.firmid,1526115_14,1526115_61
10.pcomm,0022,049C
301.pnpreason,AREA IN ZONtE D,AREA IN ZONE D
292.pnpreason,AREA INZ ONE D,AREA IN ZONE D
250.sourcecit,1549138_STUnDY5,1549138_STUDY5
217.suffix,***,C
130.suffix,***,D
106.suffix,,D
30.firmid,1526115_14,1526115_42
13.firmid,1526115_27,1526115_25
412.sourcecit,1555572i_STUDY1,1555572_STUDY1
218.dfirmid,350052***,350052
376.stfips,46,35
312.firmid,154918_101,1549138_101
52.nwlong,-105 5422.500,-105 54 22.500
413.firmpan,35025C1255D,35025C1525D
20.firmpan,3500220001D,35049C1025D
393.selong,103 22 30.00,103 22 30.000
8.pcomm,0022,049C
470.firmpan,3502C0850D,35025C0850D
213.sourcecit,1510577_STUD2Y,1510577_STUDY2
143.nwlong,06 52 30,106 52 30
230.paneltyp,"COUNTYWIDE, PANEL PRITNED","COUNTYWIDE, PANEL PRINTED"
179.stfips,46,35
353.pcomm,01C,001C
16.dfirmid,350022,35049C
412.pcomm,k025C,025C
161.suffix,,D
47.stfips,44,35
76.pcomm,09C,049C
238.selat,35 03 45.000***,35 03 45.000
73.pnpreason,NO SPECIAL FOLOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
110.firmid,1510577_93***,1510577_93
163.sourcecit,1510577_STUD2Y,1510577_STUDY2
108.dfirmid,s35043C,35043C
49.nwlat,35 39 22.50,35 39 22.500
320.pnpreason,REA IN ZONE D,AREA IN ZONE D
109.suffix,***,D
36.objectid,22449.0,40783
330.selong,-10646 52.500,-106 46 52.500
43.firmpan,35049C0391D,35049C0575D
39.effdate,2006/05/16,2008/06/17
177.pcomm,s043C,043C
186.effdate,200v8/03/18,2008/03/18
371.sourcecit,15r49138_STUDY5,1549138_STUDY5
288.nwlat,35 11 15.00d0,35 11 15.000
195.stfips,31,35
318.pnpreason,AREA IsN ZONE D,AREA IN ZONE D
147.suffix,,D
39.firmpan,35049C0160D,35049C0375D
25.firmid,1526115_21,1526115_37
93.paneltyp,"OCUNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
239.nwlong,-106 56 15.000***,-106 56 15.000
293.effdate,2008/0926,2008/09/26
232.pnpreason,AREA IN OZNE D,AREA IN ZONE D
219.stfips,24,35
214.sourcecit,1510577_SoTUDY2,1510577_STUDY2
192.pcomm,043pC,043C
353.stfips,21,35
98.sourcecit,1515077_STUDY2,1510577_STUDY2
83.selong,-105 58 0j7.500,-105 58 07.500
261.nwlong,-106 43 0j7.500,-106 43 07.500
184.effdate,20a08/03/18,2008/03/18
9.pcomm,0022,049C
135.suffix,***,D
31.firmid,1526115_30,1526115_43
143.selat,v35 22 30,35 22 30
379.pnpreason,sAREA IN ZONE D,AREA IN ZONE D
149.nwlat,6 15 00,36 15 00
301.nwlat,35 05 375.00,35 05 37.500
221.dfirmid,35u0052,350052
259.sourcecit,1549138_tSTUDY5,1549138_STUDY5
393.pcomm,05C,025C
11.firmpan,35049C1100D,35049C0800D
93.firmid,15105y77_14,1510577_14
320.dfirmid,35001C***,35001C
106.nwlat,35 5 00,35 15 00
180.effdate,2j008/03/18,2008/03/18
4.selat,03 45 00.000,032 45 00.000
69.effdate,2008/0n6/17,2008/06/17
283.dfirmid,3500C1,35001C
371.nwlat,35 0f9 22.500,35 09 22.500
118.firmpan,30543C1125D,35043C1125D
137.dfirmid,3043C,35043C
185.firmpan,3504C0200D,35043C0200D
228.stfips,49,35
318.firmid,149138_90,1549138_90
325.pnpreason,AREA IN ZONE uD,AREA IN ZONE D
411.sourcecit,155557_STUDY1,1555572_STUDY1
438.nwlat,33 30 00.y000,33 30 00.000
52.pcomm,04C,049C
380.selong,103 15a 00.000,103 15 00.000
280.suffix,,G
25.sourcecit,1429057_BASE1,1526115_BASE2
239.effdate,2008/09/q26,2008/09/26
108.pcomm,04C,043C
127.selong,106 41 51,106 41 15
360.paneltyp,"COUNTYWIDE, PAEL PRINTED","COUNTYWIDE, PANEL PRINTED"
128.pnpreason,AREA IkN ZONE D,AREA IN ZONE D
240.firmid,549138_69,1549138_69
227.pcomm,x001C,001C
323.pcomm,0f01C,001C
15.pcomm,0022,049C
157.pcomm,0x43C,043C
141.suffix,,D
54.firmid,1526115_p66,1526115_66
23.objectid,22445.0,40964
221.suffix,dC,C
164.firmid,1510577v_122,1510577_122
107.pnpreason,N SPECIAL FLOOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
291.selong,-106 07 30.000***,-106 07 30.000
286.firmid,1541938_60,1549138_60
48.sourcecit,1526115_BSE2,1526115_BASE2
253.firmpan,5001C0750G,35001C0750G
394.sourcecit,1555527_STUDY1,1555572_STUDY1
402.paneltyp,"COUNTYWIDE, NOT PRNTED","COUNTYWIDE, NOT PRINTED"
373.nwlat,32 03 45.00m0,32 03 45.000
142.stfips,33,35
431.nwlong,013 37 30.000,103 37 30.000
185.dfirmid,3543C,35043C
412.firmid,1555527_18,1555572_18
390.selat,32 07 300.00,32 07 30.000
8.objectid,22451.0,40936
141.dfirmid,3504d3C,35043C
346.pcomm,s001C,001C
299.suffix,***,G
236.suffix,,G
117.sourcecit,1510577_SUTDY2,1510577_STUDY2
38.objectid,40958.0,40785
12.firmid,1526115_27,1526115_24
154.effdate,2008/v03/18,2008/03/18
167.sourcecit,1510757_STUDY2,1510577_STUDY2
123.sourcecit,1510577_STUD2Y,1510577_STUDY2
466.selat,33 t00 00.000,33 00 00.000
1.firmpan,3500220001D,3500220003D
300.paneltyp,"COUNYTWIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
48.objectid,22445.0,41047
228.selong,-106 39 22.r500,-106 39 22.500
232.suffix,,G
239.selat,35 00 00.000***,35 00 00.000
297.sourcecit,s1549138_STUDY5,1549138_STUDY5
141.nwlat,3k6 00 00,36 00 00
328.pcomm,00C1,001C
237.pnpreason,AREA INZONE D,AREA IN ZONE D
128.selong,106o 15 00,106 15 00
23.firmpan,35049C0925D,35049C0525D
359.selong,1-06 56 15.000,-106 56 15.000
217.selong,-106 0345.000,-106 03 45.000
202.nwlong,160 45 00,106 45 00
374.suffix,,D
219.firmid,2489955_,248995_5
49.selong,-105 56 1.5000,-105 56 15.000
37.firmid,1429057_104,1526115_8
173.selong,106 22 30***,106 22 30
278.dfirmid,30501C,35001C
292.stfips,46,35
341.pcomm,00t1C,001C
244.stfips,24,35
83.pcomm,49C,049C
388.firmpan,35025C0625hD,35025C0625D
466.sourcecit,1555572_STUD1Y,1555572_STUDY1
386.selat,32 26 15.000***,32 26 15.000
145.sourcecit,1510577_mSTUDY2,1510577_STUDY2
299.paneltyp,"COUNTYWIDE, NOiT PRINTED","COUNTYWIDE, NOT PRINTED"
116.selong,106 39 2.25,106 39 22.5
25.pcomm,0022,049C
440.firmpan,3525C1450D,35025C1450D
28.sourcecit,1429057_BASE1,1526115_BASE2
126.stfips,19,35
234.pnpreason,ARE IN ZONE D,AREA IN ZONE D
200.pcomm,43C,043C
218.nwlong,-106 10 52.500,-106 01 52.500
268.pcomm,001aC,001C
272.nwlat,35 00 00.000***,35 00 00.000
363.pcomm,001iC,001C
212.firmpan,3043C1136D,35043C1136D
410.sourcecit,1555572STUDY1,1555572_STUDY1
362.pcomm,001uC,001C
5.firmpan,3500220001D,3500220004D
237.suffix,,G
