628.statecounty,IA_O'rien,IA_O'Brien
3208.fipstwo,f4101,f54101
1684.countytwo,Cherkee ,Cherokee 
129.statevalue,RA,AR
107.statefips,2.0,5
2302.countytwo,Northamptoin ,Northampton 
1051.fipstwo,f12103,f21103
2314.statecounty,PAc_Union,PA_Union
223.statecounty,AK_Bethel Census Area,CA_Plumas
2217.county,Wods ,Woods 
40.statefips,2.0,1
138.statecounty,AR_Clark,AR_Logan
3157.statevalue,IW,WI
49.statefips,2.0,1
77.fipstwo,f02020,f01095
660.county,BearL ake ,Bear Lake 
102.fips,2020.0,5011
630.statecounty,IAPage,IA_Page
70.fips,1055.0,1081
130.county,Bristol Bay Borough,Jackson 
131.county,Bristol Bay Borough,Jefferson 
222.statecounty,AK_Hoonah-Angoon Census Area,CA_Placer
221.fips,5007.0,6059
2294.statecounty,PA_Lurzerne,PA_Luzerne
257.statecounty,AL_St. Clair,CO_Broomfield
2171.fipstwo,f40095,f40059
242.fipstwo,f01115,f06101
3215.statecounty,W_YCampbell,WY_Campbell
489.statecounty,GA_McDuffiye,GA_McDuffie
1500.countytwo,Schuler ,Schuyler 
2557.statevalue,NT,TN
68.fipstwo,f02016,f01077
2072.countytwo,Dakre ,Darke 
202.statevalue,xCA,CA
1528.fipstwo,f82003,f28003
75.fipstwo,f02020,f01091
2672.statecounty,TX_Deton,TX_Denton
167.statevalue,kAR,AR
2102.county,Maidson ,Madison 
541.fipstwo,1f3301,f13301
1721.statevalue,mNC,NC
110.fips,2016.0,5027
52.fips,2016.0,1045
83.statecounty,AK_Hoonah-Angoon Census Area,AL_Pickens
2841.county,Upshu r,Upshur 
193.statecounty,AK_Aleutians East Borough,CA_Alpine
134.fips,1069.0,5075
1687.statecounty,NC_Cleveladn,NC_Cleveland
1953.statecounty,NMH_arding,NM_Harding
2719.county,Hidlgo ,Hidalgo 
3085.fipstwo,f530n77,f53077
2698.statevalue,X,TX
2725.statevalue,xTX,TX
1176.countytwo,Vemrilion ,Vermilion 
2859.statevalue,XT,TX
1841.countytwo,Dawsmon ,Dawson 
30.fips,2050.0,1001
761.fipstwo,f1727,f17127
359.countytwo,ake ,Lake 
876.county,St. Josreph ,St. Joseph 
390.fipstwo,f12j129,f12129
2529.countytwo,Claiorne ,Claiborne 
3160.countytwo,Bvoone ,Boone 
2846.statevalue,gTX,TX
356.fipstwo,f1206z3,f12063
542.county,Wsahington ,Washington 
209.county,Anchorage Municipality,Lassen 
131.statevalue,RA,AR
1486.fipstwo,2f9157,f29157
3197.fipstwo,f4079,f54079
172.fips,6039.0,60010
219.fipstwo,f02020,f06055
227.fipstwo,f02090,f06071
205.statecounty,AL_Talladega,CA_Inyo
1009.statevalue,YK,KY
1786.countytwo,iKdder ,Kidder 
1130.fipstwo,xf22021,f22021
1288.fipstwo,nf26101,f26101
86.statecounty,AK_Aleutians East Borough,AL_Russell
3049.countytwo,Bento n,Benton 
749.fipstwo,17097,f17097
79.statecounty,AK_Bristol Bay Borough,AL_Monroe
455.fipstwo,fb13127,f13127
2614.statevalue,XT,TX
74.statecounty,AK_Hoonah-Angoon Census Area,AL_Madison
2364.county,Las dMarias Municipio,Las Marias Municipio
367.county,Martinv ,Martin 
3049.fipstwo,ff53005,f53005
252.statefips,92,8
1822.countytwo,Blane ,Blaine 
648.statevalue,AI,IA
77.fips,2164.0,1095
580.county,Clinotn ,Clinton 
2742.statevalue,TmX,TX
175.fips,2068.0,60040
1335.county,Clarwater ,Clearwater 
1966.county,SanM iguel ,San Miguel 
750.statecounty,IL_LaSaalle,IL_LaSalle
176.statecounty,AR_Lafayette,AS_Western District
2587.statecounty,TN_Puutnam,TN_Putnam
1523.statevalue,PM,MP
97.statefips,1.0,5
132.fipstwo,f05073,f05071
1856.countytwo,Greeley ***,Greeley 
344.countytwo,Gasden ,Gadsden 
58.statefips,2.0,1
35.fips,2100.0,1011
285.statefips,46,8
712.countytwo,Clkark ,Clark 
33.statecounty,AK_Haines Borough,AL_Bibb
238.statefips,70,6
186.fips,2110.0,4017
2490.county,Lawrece ,Lawrence 
41.statefips,2.0,1
468.county,Houson ,Houston 
2301.countytwo,Monour ,Montour 
556.statecounty,H_Kauai,HI_Kauai
2131.statevalue,OkH,OH
759.statecounty,L_Marshall,IL_Marshall
106.statefips,2.0,5
467.countytwo,Henr y,Henry 
608.statecounty,IA_Jeferson,IA_Jefferson
883.statevalue,N,IN
44.county,Fairbanks North Star Borough,Cleburne 
34.fips,2122.0,1009
518.statecounty,GA_cSpalding,GA_Spalding
296.statefips,22,8
194.statecounty,AK_Skagway Municipality,CA_Amador
2851.county,Wrebb ,Webb 
2334.fipstwo,f7205,f72025
31.statefips,2.0,1
233.fipstwo,f02068,f06083
163.statevalue,dAR,AR
177.county,Hoonah-Angoon Census Area,Apache 
2026.county,lOntario ,Ontario 
64.county,Haines Borough,Houston 
1552.statecounty,MS_oHlmes,MS_Holmes
2360.county,Juana sDiaz Municipio,Juana Diaz Municipio
1001.statevalue,YK,KY
865.county,Pgike ,Pike 
1013.fipstwo,f2v1027,f21027
1957.statecounty,NM_LosA lamos,NM_Los Alamos
233.statecounty,AL_Conecuh,CA_Santa Barbara
189.statecounty,AK_Kodiak Island Borough,AZ_Santa Cruz
668.statecounty,ID_Bute,ID_Butte
1887.statecounty,EN_Pierce,NE_Pierce
238.statecounty,AK_Haines Borough,CA_Siskiyou
274.statefips,35,8
398.county,Bank s,Banks 
1412.statevalue,OM,MO
203.fips,2090.0,6023
22.statecounty,AK_Kodiak Island Borough,AK_Sitka City and Borough
1422.countytwo,Caden ,Camden 
17.statecounty,AK_Haines Borough,AK_Nome Census Area
639.statecounty,IAS_cott,IA_Scott
1330.county,Carverm ,Carver 
1644.statevalue,T,MT
3156.statevalue,iWI,WI
2722.county,Hoodd ,Hood 
1136.countytwo,East Baton Roueg ,East Baton Rouge 
191.fips,2016.0,4027
86.statefips,2.0,1
1278.statevalue,I,MI
230.fipstwo,f02170,f06077
2237.county,aLke ,Lake 
185.fips,2016.0,4015
964.statevalue,xKS,KS
1472.statevalue,zMO,MO
396.countytwo,Bake r,Baker 
249.statefips,18,6
2978.county,Mqontgomery ,Montgomery 
3228.statevalue,Y,WY
179.county,Denali Borough,Coconino 
101.fips,2020.0,5009
108.fipstwo,f02060,f05023
104.fips,2105.0,5015
65.statecounty,AR_Greene,AL_Jackson
204.fips,6039.0,6025
241.statefips,22,6
2403.statecounty,RI_Prvidence,RI_Providence
462.statevalue,A,GA
130.statecounty,AK_Juneau City and Borough,AR_Jackson
2253.fipstwo,f14069,f41069
158.statevalue,RA,AR
617.county,yLon ,Lyon 
187.county,Anchorage Municipality,Pima 
2093.countytwo,Jackso ,Jackson 
72.statefips,2.0,1
2894.fipstwo,f49l055,f49055
2814.county,San uAgustine ,San Augustine 
19.statecounty,AK_Bethel Census Area,AK_Northwest Arctic Borough
2612.countytwo,Adnerson ,Anderson 
238.fips,1069.0,6093
2147.countytwo,Baline ,Blaine 
57.statecounty,AK_Lake and Peninsula Borough,AL_Etowah
554.fipstwo,f1500r3,f15003
2551.countytwo,Hardemvan ,Hardeman 
263.statefips,49,8
2057.fipstwo,f390t07,f39007
82.fipstwo,f02016,f01105
100.statecounty,AK_Hoonah-Angoon Census Area,AR_Benton
1362.fipstwo,f27803,f27083
1039.countytwo,Gararrd ,Garrard 
76.fips,2013.0,1093
2802.countytwo,Ranfdall ,Randall 
2220.countytwo,enton ,Benton 
3224.countytwo,Linoln ,Lincoln 
2944.statecounty,iVA_Galax city,VA_Galax city
526.county,elfair ,Telfair 
2922.countytwo,Chesterfiteld ,Chesterfield 
50.fips,2050.0,1041
245.fipstwo,f02060,f06107
914.county,Deatur ,Decatur 
67.fips,2105.0,1075
30.statecounty,AK_Aleutians West Census Area,AL_Autauga
198.statecounty,AK_Fairbanks North Star Borough,CA_Contra Costa
173.fips,2100.0,60020
2559.statecounty,TN_Humphrieys,TN_Humphreys
212.fips,2016.0,6041
1534.statevalue,S,MS
3222.statecounty,WY_Johnsno,WY_Johnson
1165.fipstwo,f20291,f22091
47.statefips,2.0,1
242.statefips,73,6
438.statevalue,AG,GA
1153.county,Morehouse Pairsh,Morehouse Parish
1963.statevalue,MN,NM
647.statevalue,AI,IA
345.county,oGilchrist ,Gilchrist 
2633.statecounty,TX_Bnrewster,TX_Brewster
3156.fipstwo,f55m139,f55139
2853.statecounty,TX_Weeler,TX_Wheeler
111.county,Bristol Bay Borough,Conway 
2525.countytwo,Caroll ,Carroll 
3213.countytwo,Alabny ,Albany 
2668.countytwo,Dlalas ,Dallas 
1201.statecounty,MD_Baltimroe city,MD_Baltimore city
258.statecounty,AK_Anchorage Municipality,CO_Chaffee
1418.countytwo,Buchanna ,Buchanan 
198.statefips,38,6
2838.countytwo,Tarvis ,Travis 
1120.statecounty,AL_Acadia,LA_Acadia
1221.county,Worcestre ,Worcester 
205.fips,1023.0,6027
1397.statevalue,N,MN
1604.statevalue,MbS,MS
244.statecounty,AZ_Yuma,CA_Trinity
2725.fipstwo,f48227***,f48227
3176.statecounty,WV_Jefefrson,WV_Jefferson
66.statefips,2.0,1
197.statevalue,eCA,CA
808.statecounty,INB_oone,IN_Boone
2405.statecounty,SC_Abbeille,SC_Abbeville
165.statevalue,R,AR
2791.county,Oildham ,Oldham 
685.statecounty,ID_Latha,ID_Latah
88.county,Kodiak Island Borough,St. Clair 
778.countytwo,Putnxam ,Putnam 
526.statecounty,A_Telfair,GA_Telfair
93.statecounty,AL_Coosa,AL_Walker
31.fipstwo,f02013,f01003
1868.fipstwo,f3111,f31101
25.statecounty,AK_Aleutians West Census Area,AK_Valdez-Cordova Census Area
231.fipstwo,f02070,f06079
112.statevalue,RA,AR
2545.fipstwo,fu47057,f47057
1246.statecounty,MI_Bkay,MI_Bay
23.statefips,1.0,2
209.fipstwo,f01031,f06035
142.fipstwo,f02050,f05091
302.statefips,29,8
2742.countytwo,Kenedya ,Kenedy 
132.county,Juneau City and Borough,Johnson 
781.statevalue,LI,IL
1674.fipstwo,f3019,f37019
2017.statevalue,YN,NY
1004.county,Brren ,Barren 
847.county,Lak e,Lake 
942.statevalue,KnS,KS
215.countytwo,erced ,Merced 
714.fipstwo,f1727,f17027
2840.statecounty,TXT_yler,TX_Tyler
136.fipstwo,f05065,f05079
2012.county,aHmilton ,Hamilton 
2747.countytwo,Kinne y,Kinney 
2247.statevalue,OhR,OR
139.statevalue,R,AR
3092.county,Burnnett ,Burnett 
2981.county,Newport Neuws city,Newport News city
1125.county,Beauriegard Parish,Beauregard Parish
148.fips,2013.0,5103
907.countytwo,Cxlark ,Clark 
52.statecounty,AK_Petersburg Census Area,AL_Dale
141.fipstwo,f02110,f05089
69.fipstwo,f02070,f01079
2774.countytwo,Mesdina ,Medina 
826.countytwo,Franlin ,Franklin 
810.statevalue,N,IN
2405.fipstwo,f40501,f45001
54.statecounty,AK_Southeast Fairbanks Census Area,AL_DeKalb
626.county,nMontgomery ,Montgomery 
1979.countytwo,lko ,Elko 
161.county,Juneau City and Borough,Sebastian 
1620.county,Deer Ldoge ,Deer Lodge 
2242.statecounty,OR_Mariodn,OR_Marion
2081.county,Geaug a,Geauga 
95.fipstwo,f02105,f01131
186.statevalue,Z,AZ
2917.fipstwo,f5i1035,f51035
1832.fipstwo,31029,f31029
346.statevalue,LF,FL
232.statecounty,AK_Denali Borough,CA_San Mateo
1388.fipstwo,f7135,f27135
279.statefips,13,8
127.county,Aleutians West Census Area,Howard 
893.county,Wqhite ,White 
1870.statevalue,EN,NE
240.fips,2068.0,6097
55.statecounty,AL_Fayette,AL_Elmore
148.statevalue,RA,AR
51.statefips,2.0,1
1609.county,bBeaverhead ,Beaverhead 
692.fipstwo,fw16071,f16071
1063.county,Lwarence ,Lawrence 
28.statecounty,AK_Aleutians West Census Area,AK_Yakutat City and Borough
237.statefips,99,6
182.county,Dillingham Census Area,Greenlee 
205.fipstwo,f01031,f06027
2981.countytwo,Newport News ciy,Newport News city
851.county,Maroin ,Marion 
200.statefips,89,6
955.countytwo,Miam ,Miami 
2895.statevalue,UrT,UT
213.statecounty,AK_Aleutians East Borough,CA_Mariposa
2021.statevalue,Y,NY
1654.countytwo,heridan ,Sheridan 
3105.county,Fond du Lacp ,Fond du Lac 
183.fipstwo,f02050,f04012
227.fips,5143.0,6071
71.fips,1007.0,1083
41.statecounty,AK_Aleutians West Census Area,AL_Choctaw
1462.statevalue,mMO,MO
215.statevalue,mCA,CA
85.statefips,2.0,1
221.fipstwo,f02050,f06059
573.statecounty,IA_Cdar,IA_Cedar
820.statecounty,IN_Delawaer,IN_Delaware
3059.fipstwo,f53205,f53025
2845.county,Van Zandyt ,Van Zandt 
2327.countytwo,nasco Municipio,Anasco Municipio
91.statefips,2.0,1
146.statevalue,RA,AR
181.fips,1109.0,4009
13.county,Denali Borough,Ketchikan Gateway Borough
3142.statecounty,WI_Swyer,WI_Sawyer
21.statefips,1.0,2
105.county,Haines Borough,Chicot 
47.fips,2188.0,1035
93.statefips,2.0,1
1290.countytwo,Mvason ,Mason 
2581.statecounty,TN_Morgaun,TN_Morgan
3102.fipstwo,f55033***,f55033
2640.statecounty,TX_Cahoun,TX_Calhoun
119.statecounty,AL_Colbert,AR_Faulkner
303.statefips,91,8
1461.countytwo,Lafaeytte ,Lafayette 
1907.statevalue,NwE,NE
23.county,Juneau City and Borough,Skagway Municipality
68.statecounty,AL_Marion,AL_Lauderdale
2634.statevalue,X,TX
217.statefips,94,6
1334.countytwo,Cla ,Clay 
1933.county,Monmout ,Monmouth 
3088.statecounty,WI_Bamrron,WI_Barron
22.fips,2105.0,2220
69.statevalue,LA,AL
1716.county,Jyones ,Jones 
96.fips,1055.0,1133
846.county,Larange ,LaGrange 
182.statefips,97,4
2206.county,Rger Mills ,Roger Mills 
49.county,Anchorage Municipality,Covington 
813.fipstwo,18021,f18021
724.county,Ewards ,Edwards 
2193.statevalue,K,OK
1265.countytwo,rand Traverse ,Grand Traverse 
678.county,xFremont ,Fremont 
620.statevalue,A,IA
265.fipstwo,f8029,f08029
1223.county,Arootsook ,Aroostook 
1000.statevalue,Y,KY
32.statefips,2.0,1
1100.county,Robertso ,Robertson 
68.fips,2050.0,1077
229.fipstwo,f02013,f06075
87.statefips,2.0,1
213.fips,2100.0,6043
4.county,Autauga ,Bethel Census Area
1413.countytwo,Batron ,Barton 
68.statefips,2.0,1
34.statefips,2.0,1
178.statecounty,AK_Aleutians East Borough,AZ_Cochise
1810.countytwo,fSteele ,Steele 
2825.statecounty,TX_mStarr,TX_Starr
1281.countytwo,Lapere ,Lapeer 
197.fipstwo,f02050,f06011
194.fipstwo,f01039,f06005
120.county,Denali Borough,Franklin 
1475.county,Monitxeau ,Moniteau 
156.statevalue,AL,AR
2494.county,cMCook ,McCook 
1765.countytwo,Adaams ,Adams 
2367.fipstwo,f27089,f72089
190.fips,2122.0,4025
257.statefips,24,8
1887.county,ierce ,Pierce 
2262.statecounty,PA_Brdford,PA_Bradford
2391.fipstwo,f72317,f72137
668.countytwo,Buttep ,Butte 
29.fipstwo,f01111,f02290
139.statecounty,AL_Coffee,AR_Lonoke
314.statevalue,TC,CT
220.statefips,56,6
1113.county,Wtarren ,Warren 
314.fipstwo,f90001,f09001
1426.countytwo,ass ,Cass 
224.fips,2170.0,6065
230.statecounty,AK_Aleutians West Census Area,CA_San Joaquin
2534.fipstwo,f47t035,f47035
2910.fipstwo,fn51520,f51520
1376.statevalue,MgN,MN
2055.countytwo,Allenx ,Allen 
114.fipstwo,f02100,f05035
1386.statevalue,MwN,MN
22.statevalue,KA,AK
2694.countytwo,aGines ,Gaines 
1988.statevalue,V,NV
1080.statecounty,YK_McLean,KY_McLean
90.fips,2016.0,1121
450.fipstwo,13117,f13117
196.statevalue,fCA,CA
89.fips,2170.0,1119
3110.county,Iwa ,Iowa 
1676.county,Burk e,Burke 
1260.county,Eaotn ,Eaton 
129.fips,2090.0,5065
2533.statevalue,NT,TN
309.county,rSummit ,Summit 
18.fipstwo,f02020,f02185
70.statefips,2.0,1
2264.countytwo,utler ,Butler 
53.fips,2020.0,1047
2945.fipstwo,af51071,f51071
1543.countytwo,eDSoto ,DeSoto 
113.statecounty,AR_Washington,AR_Crawford
39.fipstwo,f02020,f01019
53.statefips,2.0,1
900.countytwo,Burbon ,Bourbon 
2164.statecounty,O_KEllis,OK_Ellis
153.statevalue,AeR,AR
2255.countytwo,Adam s,Adams 
3038.fipstwo,f5011,f50011
1516.statecounty,MO_Vrenon,MO_Vernon
217.fips,2020.0,6051
167.statecounty,AK_Denali Borough,AR_Van Buren
236.statefips,94,6
1071.county,Ldyon ,Lyon 
1407.statecounty,N_Yellow Medicine,MN_Yellow Medicine
2705.statevalue,X,TX
128.fips,2016.0,5063
214.statefips,42,6
154.fips,5007.0,5115
275.fipstwo,f0049,f08049
300.statefips,20,8
462.statecounty,GA_Hancok,GA_Hancock
1702.countytwo,Graahm ,Graham 
213.statefips,105,6
48.fips,2050.0,1037
150.statevalue,R,AR
830.fipstwo,18055,f18055
518.fipstwo,f1355,f13255
3172.statevalue,lWV,WV
557.countytwo,Mpaui ,Maui 
202.fips,2110.0,6021
1773.countytwo,Cas ,Cass 
2338.fipstwo,7f2033,f72033
431.countytwo,Crawfomrd ,Crawford 
2353.fipstwo,f7061,f72061
2191.countytwo,urray ,Murray 
73.fips,2105.0,1087
222.fips,60030.0,6061
30.statefips,2.0,1
961.countytwo,Neosrho ,Neosho 
2503.statevalue,D,SD
3124.statecounty,WI_Marqfuette,WI_Marquette
74.statefips,2.0,1
214.fipstwo,f02150,f06045
224.fipstwo,f05103,f06065
1812.county,Tofwner ,Towner 
220.county,Denali Borough,Nevada 
1298.fipstwo,f2v6121,f26121
145.statecounty,AK_Hoonah-Angoon Census Area,AR_Montgomery
2724.fipstwo,f48225***,f48225
2219.statecounty,O_RBaker,OR_Baker
240.statefips,67,6
66.county,Hoonah-Angoon Census Area,Jefferson 
3134.countytwo,Pok ,Polk 
166.fipstwo,f02105,f05139
60.fipstwo,f02170,f01061
775.statevalue,L,IL
154.statecounty,AL_Coffee,AR_Pope
979.countytwo,Slaine ,Saline 
2352.countytwo,Guayanilla Munciipio,Guayanilla Municipio
453.countytwo,Gpilmer ,Gilmer 
454.statecounty,GA_Glascck,GA_Glascock
2186.countytwo,aMrshall ,Marshall 
92.fips,2130.0,1125
30.fipstwo,f02090,f01001
156.fips,2105.0,5119
960.countytwo,emaha ,Nemaha 
2695.statecounty,T_XGalveston,TX_Galveston
168.statevalue,hAR,AR
1094.fipstwo,f2119,f21189
25.fips,2016.0,2261
468.countytwo,Heouston ,Houston 
943.statecounty,KS_Kimowa,KS_Kiowa
1142.county,Iberi Parish,Iberia Parish
85.statecounty,AR_Lafayette,AL_Randolph
2698.fipstwo,gf48173,f48173
108.fips,2122.0,5023
262.statefips,60,8
259.statecounty,AK_Hoonah-Angoon Census Area,CO_Cheyenne
178.fipstwo,f01011,f04003
2966.statevalue,lVA,VA
868.statevalue,N,IN
1981.countytwo,Eurek ,Eureka 
1381.statevalue,N,MN
1917.county,lMerrimack ,Merrimack 
2931.county,Dinwiddbie ,Dinwiddie 
2000.statevalue,Y,NY
717.countytwo,Crawfrod ,Crawford 
224.statecounty,AL_Geneva,CA_Riverside
1993.countytwo,Alleany ,Allegany 
1385.countytwo,Renvillek ,Renville 
866.county,Proter ,Porter 
2032.county,qQueens ,Queens 
239.fipstwo,f05009,f06095
1101.county,Rckcastle ,Rockcastle 
1659.statevalue,T,MT
2148.countytwo,ryan ,Bryan 
215.fipstwo,f02060,f06047
1134.statevalue,AL,LA
1054.fipstwo,2f1109,f21109
2282.statevalue,AP,PA
2302.statecounty,PA_Northapmpton,PA_Northampton
225.statecounty,CA_Merced,CA_Sacramento
12.statecounty,AK_Juneau City and Borough,AK_Kenai Peninsula Borough
144.statecounty,AK_Petersburg Census Area,AR_Monroe
867.countytwo,Pose y,Posey 
1313.statevalue,I,MI
887.statecounty,INWabash,IN_Wabash
2183.countytwo,oLgan ,Logan 
2051.county,Westchjester ,Westchester 
80.statefips,2.0,1
1412.countytwo,Baryr ,Barry 
2738.statecounty,TX_ones,TX_Jones
634.county,aPolk ,Polk 
2858.fipstwo,f4843,f48493
3067.fipstwo,f3041,f53041
79.statefips,2.0,1
124.statevalue,R,AR
2751.fipstwo,f4277,f48277
3113.statecounty,WI_Jeffersno,WI_Jefferson
72.statecounty,AR_Lafayette,AL_Lowndes
1912.countytwo,Carrooll ,Carroll 
115.fipstwo,f02100,f05037
2786.statevalue,X,TX
86.county,Rsusell ,Russell 
105.fipstwo,f02090,f05017
1962.statecounty,NMQ_uay,NM_Quay
149.fips,2068.0,5105
174.county,Denali Borough,Rose Island
217.statecounty,AK_Kodiak Island Borough,CA_Mono
3102.county,Dunn ***,Dunn 
3092.countytwo,Burnettb ,Burnett 
306.county,Sna Juan ,San Juan 
2315.countytwo,Venangfo ,Venango 
1627.countytwo,Golden Valle y,Golden Valley 
1323.county,Becke r,Becker 
73.statecounty,AK_Aleutians West Census Area,AL_Macon
29.statevalue,KA,AK
1839.fipstwo,f13043,f31043
789.countytwo,Steephenson ,Stephenson 
1260.countytwo,Eatn ,Eaton 
36.county,Aleutians West Census Area,Butler 
38.county,Fairbanks North Star Borough,Chambers 
1310.county,Sagina ,Saginaw 
2783.countytwo,orris ,Morris 
122.statevalue,ApR,AR
187.statecounty,AK_Aleutians East Borough,AZ_Pima
2445.fipstwo,45081,f45081
1964.statevalue,M,NM
114.fips,2020.0,5035
2339.county,nCayey Municipio,Cayey Municipio
2512.county,Turenr ,Turner 
1372.fipstwo,f27130,f27103
3122.county,Marahon ,Marathon 
52.fipstwo,f02013,f01045
170.county,Aleutians West Census Area,Woodruff 
221.statefips,62,6
159.statevalue,sAR,AR
2213.statevalue,dOK,OK
1386.statecounty,MN_Rcie,MN_Rice
3007.statevalue,oVA,VA
2348.fipstwo,f72503,f72053
62.fips,1005.0,1065
2621.statecounty,TX_Banderfa,TX_Bandera
102.statecounty,AK_Denali Borough,AR_Bradley
2876.fipstwo,f40919,f49019
1433.fipstwo,fu29051,f29051
80.fips,2105.0,1101
374.county,Ocseola ,Osceola 
273.county,Garufield ,Garfield 
673.countytwo,Celark ,Clark 
1299.county,Newyago ,Newaygo 
128.statevalue,tAR,AR
563.statevalue,nIA,IA
2523.fipstwo,4f7013,f47013
2390.statevalue,RP,PR
2834.county,Terrjy ,Terry 
226.countytwo,San Baenito ,San Benito 
65.fipstwo,f02090,f01071
194.fips,2020.0,6005
2070.fipstwo,fg39033,f39033
34.fipstwo,f02150,f01009
1039.fipstwo,f21709,f21079
104.fipstwo,f02070,f05015
3024.county,Westmroeland ,Westmoreland 
167.fipstwo,f02068,f05141
2238.countytwo,Laen ,Lane 
2592.countytwo,cott ,Scott 
1536.countytwo,Coctaw ,Choctaw 
174.statevalue,S,AS
576.county,Cickasaw ,Chickasaw 
155.statecounty,AR_Lafayette,AR_Prairie
1940.statecounty,NJ_Uniocn,NJ_Union
2567.statevalue,TpN,TN
125.fipstwo,f02068,f05057
50.statecounty,AK_Juneau City and Borough,AL_Crenshaw
171.fipstwo,f02150,f05149
261.statefips,107,8
1020.countytwo,arroll ,Carroll 
1164.statevalue,jLA,LA
13.fipstwo,f02110,f02130
2397.statecounty,PR_Villlba Municipio,PR_Villalba Municipio
2314.countytwo,Unio n,Union 
203.statevalue,A,CA
69.fips,2130.0,1079
26.fips,2016.0,2270
218.statefips,84,6
2142.statevalue,OhK,OK
3112.county,Jackon ,Jackson 
66.fips,2016.0,1073
221.statecounty,AL_Coffee,CA_Orange
120.fips,1005.0,5047
61.statecounty,AL_Chilton,AL_Greene
708.statevalue,L,IL
646.county,Van Buen ,Van Buren 
2075.countytwo,rie ,Erie 
179.fipstwo,f02100,f04005
94.statevalue,L,AL
176.statefips,74,60
177.fips,2050.0,4001
1304.fipstwo,f2613q3,f26133
42.fips,2110.0,1025
2039.statevalue,YN,NY
190.statevalue,Z,AZ
116.statevalue,AjR,AR
565.statevalue,AI,IA
2400.countytwo,Bristo l,Bristol 
155.county,Fairbanks North Star Borough,Prairie 
186.statecounty,AL_Cleburne,AZ_Navajo
27.fipstwo,f02100,f02275
175.statevalue,SA,AS
109.fipstwo,f01015,f05025
1106.statecounty,K_YSimpson,KY_Simpson
106.fips,2013.0,5019
243.statefips,15,6
1304.county,Osceolca ,Osceola 
56.statecounty,AL_Coffee,AL_Escambia
1041.county,Gpraves ,Graves 
1870.statecounty,N_Kimball,NE_Kimball
1302.statecounty,MI_Ogemacw,MI_Ogemaw
37.statefips,2.0,1
23.fips,2020.0,2230
845.statecounty,IN_Kosciuko,IN_Kosciusko
1307.statecounty,MIk_Ottawa,MI_Ottawa
1728.statecounty,NCNash,NC_Nash
1616.statevalue,T,MT
2750.statecounty,TX_La Salkle,TX_La Salle
1336.county,Cooky ,Cook 
1119.countytwo,oodford ,Woodford 
1124.countytwo,Avoyelles ***,Avoyelles 
2526.statevalue,NT,TN
960.county,Neaha ,Nemaha 
95.fips,1007.0,1131
413.statevalue,pGA,GA
2663.statecounty,TX_Cranie,TX_Crane
569.fipstwo,1f9023,f19023
170.statevalue,kAR,AR
2643.statecounty,TX_aCmp,TX_Camp
2438.fipstwo,45069,f45069
2138.statecounty,H_Wayne,OH_Wayne
1740.statecounty,NC_aRndolph,NC_Randolph
2514.county,Walwxorth ,Walworth 
331.statecounty,FL_Browajrd,FL_Broward
1989.countytwo,Storgey ,Storey 
234.statefips,42,6
2311.statecounty,PA_ullivan,PA_Sullivan
2700.fipstwo,mf48177,f48177
2495.statevalue,DS,SD
143.statevalue,xAR,AR
53.statecounty,AL_Clay,AL_Dallas
1319.statecounty,MI_aWyne,MI_Wayne
1035.fipstwo,2f1071,f21071
130.statevalue,R,AR
211.statefips,106,6
117.statevalue,RA,AR
478.countytwo,Lamnier ,Lanier 
2648.countytwo,Chrokee ,Cherokee 
1306.county,Otsegzo ,Otsego 
82.statefips,2.0,1
1972.statevalue,NsM,NM
1984.countytwo,Linoln ,Lincoln 
147.statecounty,AL_Fayette,AR_Newton
231.fips,2050.0,6079
1716.countytwo,Jone s,Jones 
2187.fipstwo,f4007,f40097
97.fipstwo,f02050,f05001
79.fips,2100.0,1099
116.fips,1017.0,5039
923.countytwo,Fod ,Ford 
2969.fipstwo,f5u1111,f51111
2830.statecounty,TX_Swisehr,TX_Swisher
2054.countytwo,Adasm ,Adams 
105.statefips,1.0,5
3090.countytwo,rown ,Brown 
366.countytwo,aMrion ,Marion 
400.fipstwo,f130m15,f13015
3199.countytwo,Randloph ,Randolph 
1367.county,Meeke r,Meeker 
2622.statevalue,TlX,TX
2565.county,Lasuderdale ,Lauderdale 
75.fips,2100.0,1091
1465.statecounty,M_OLinn,MO_Linn
2087.county,Harison ,Harrison 
89.fipstwo,f01111,f01119
2010.countytwo,Genebsee ,Genesee 
1842.statecounty,N_EDeuel,NE_Deuel
115.fips,1005.0,5037
215.fips,6015.0,6047
2749.countytwo,Konx ,Knox 
220.statecounty,AK_Skagway Municipality,CA_Nevada
2803.fipstwo,f483i83,f48383
1327.statevalue,N,MN
1117.statecounty,KY_hitley,KY_Whitley
2866.statecounty,UM_Midway Islads,UM_Midway Islands
127.fips,2130.0,5061
1303.countytwo,Ontonaon ,Ontonagon 
1473.county,Mliler ,Miller 
199.county,Aleutians West Census Area,Del Norte 
162.statevalue,RA,AR
2878.statevalue,TU,UT
208.county,Aleutians East Borough,Lake 
1009.statecounty,KY_aBoyd,KY_Boyd
1524.statevalue,P,MP
59.fipstwo,f01049,f01059
2670.countytwo,aDeaf Smith ,Deaf Smith 
146.fips,2016.0,5099
2781.fipstwo,4f8339,f48339
256.statefips,71,8
2748.fipstwo,f84273,f48273
