166.assessmentunitid,CT220v3-00-1-L2_01,CT2203-00-1-L2_01
59.assessmentunitname,Covenrty (Wangumbaug) Lake,Coventry (Wangumbaug) Lake
36.ct_two_zero_two_zero_aql_use_attainment,Fully Supporing,Fully Supporting
164.ct_two_zero_two_zero_dw_use_attainment,Not Assessend,Not Assessed
182.ct_two_zero_two_zero_fshcon_use_attainment,Insufficienty Information,Insufficient Information
25.ct_two_zero_two_zero_aql_use_attainment,Fully Supqporting,Fully Supporting
80.assessmentunitname,Mudge Pnod (Sharon),Mudge Pond (Sharon)
179.locationdescription,Canana,Canaan
179.ct_two_zero_two_zero_rec_use_attainment,NotA ssessed,Not Assessed
104.ct_two_zero_two_zero_rec_use_attainment,Fully Suppotring,Fully Supporting
118.ct_two_zero_two_zero_aql_use_attainment,Fully Supportign,Fully Supporting
20.ct_two_zero_two_zero_dw_use_attainment,Not Evaluatde,Not Evaluated
66.watertypename,"LAKE, FERSHWATER","LAKE, FRESHWATER"
2.ct_two_zero_two_zero_dw_use_attainment,Not Ealuated,Not Evaluated
169.ct_two_zero_two_zero_rec_use_usename,Recretaion,Recreation
28.ct_two_zero_two_zero_fshcon_use_attainment,nsufficient Information,Insufficient Information
73.locationdescription,Border Ledyard/North Stoinngton. Now part of Mashentucket Reservation.,Border Ledyard/North Stonington. Now part of Mashentucket Reservation.
167.locationdescription,"Straddles southern border of Haddam with Chester.  Located within Cockaponsetu State Forest, bounded by Cedar Lake Road and Filley Road.","Straddles southern border of Haddam with Chester.  Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road."
92.ct_two_zero_two_zero_aql_use_usename,"Hbitat for Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
168.ct_two_zero_two_zero_rec_use_attainment,Fully Suppoting,Fully Supporting
143.useclassname,INLAND SURFACE WATERS CLAjSS A,INLAND SURFACE WATERS CLASS A
150.ct_two_zero_two_zero_rec_use_usename,Rcreation,Recreation
52.locationdescription,Southeast secxtion of Woodstock.,Southeast section of Woodstock.
164.ct_two_zero_two_zero_rec_use_usename,Rcreation,Recreation
20.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatidc Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
149.useclassname,INLAND SURFACE WATERS CLSS A,INLAND SURFACE WATERS CLASS A
74.useclassname,INLAND SURzFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
151.ct_two_zero_two_zero_fshcon_use_usename,Fish Conumption,Fish Consumption
56.watertypename,"LAKE, FREsSHWATER","LAKE, FRESHWATER"
145.ct_two_zero_two_zero_fshcon_use_usename,Fis Consumption,Fish Consumption
59.useclassname,INLAND SUFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
182.ct_two_zero_two_zero_rec_use_attainment,Notx Assessed,Not Assessed
25.ct_two_zero_two_zero_rec_use_usename,Recraetion,Recreation
84.ct_two_zero_two_zero_fshcon_use_attainment,Insuficient Information,Insufficient Information
121.ct_two_zero_two_zero_rec_use_usename,Receration,Recreation
86.units,Arces,Acres
146.ct_two_zero_two_zero_aql_use_attainment,Not Assessed***,Not Assessed
23.ct_two_zero_two_zero_rec_use_usename,Reclreation,Recreation
137.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Life ad Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
21.locationdescription,"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town ljine.","South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line."
58.ct_two_zero_two_zero_fshcon_use_usename,Fish Cgonsumption,Fish Consumption
180.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Life and Wildlkife","Habitat for Fish, Other Aquatic Life and Wildlife"
158.locationdescription,"Impoundment of Schoolhouyse Brook, Spring Hill area of Mansfield","Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield"
55.watertypename,"LAKE, FRESHWAETR","LAKE, FRESHWATER"
109.useclassname,INLAND SRUFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
139.impaired,oN,No
46.ct_two_zero_two_zero_aql_use_usename,"Habita tfor Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
9.useclassname,INLAND SURFACE WATERS CASS AA,INLAND SURFACE WATERS CLASS AA
163.useclassname,INLAND SURFACE WATER CLASS AA,INLAND SURFACE WATERS CLASS AA
79.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient Informatino,Insufficient Information
70.watertypename,"LAKE, FRESHAWTER","LAKE, FRESHWATER"
26.ct_two_zero_two_zero_rec_use_usename,Recfreation,Recreation
29.assessmentunitid,TC5206-01-1-L2_01,CT5206-01-1-L2_01
163.ct_two_zero_two_zero_rec_use_usename,Recreaton,Recreation
100.ct_two_zero_two_zero_rec_use_usename,Recreaiton,Recreation
8.watertypename,"LAK, FRESHWATER","LAKE, FRESHWATER"
70.ct_two_zero_two_zero_dw_use_usename,Not Classified For DrinkingWater,Not Classified For Drinking Water
7.ct_two_zero_two_zero_rec_use_usename,Recreatgion,Recreation
104.ct_two_zero_two_zero_aql_use_usename,"Habitta for Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
4.useclassname,INLANDS URFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
26.ct_two_zero_two_zero_fshcon_use_usename,Fiszh Consumption,Fish Consumption
109.impaired,Nmo,No
151.ct_two_zero_two_zero_rec_use_attainment,Fullby Supporting,Fully Supporting
87.assessmentunitname,"Triangle, aLke (Colebrook)","Triangle, Lake (Colebrook)"
173.ct_two_zero_two_zero_dw_use_attainment,Not Evalauted,Not Evaluated
67.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient Information***,Insufficient Information
107.ct_two_zero_two_zero_dw_use_attainment,Not Evaulated,Not Evaluated
131.assessmentunitname,Silver Lak e(Berlin/Meriden),Silver Lake (Berlin/Meriden)
72.ct_two_zero_two_zero_aql_use_attainment,Fully Supportig,Fully Supporting
138.ct_two_zero_two_zero_dw_use_usename,Not Classified For Drinkin gWater,Not Classified For Drinking Water
94.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Life and Wiildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
134.ct_two_zero_two_zero_aql_use_attainment,Fully Supporitng,Fully Supporting
30.impaired,oN,No
29.watertypename,"LAKE, FRESHWATRE","LAKE, FRESHWATER"
59.locationdescription,"East - Central Coventry. Lake name on TOPO map is Wangumbaug Lake, DEEP state boat launch on this lake referred to as Covtentry Lake. WT","East - Central Coventry. Lake name on TOPO map is Wangumbaug Lake, DEEP state boat launch on this lake referred to as Coventry Lake. WT"
44.ct_two_zero_two_zero_dw_use_attainment,Not Evaluted,Not Evaluated
55.useclassname,INLND SURFACE WATERS CLASS AA,INLAND SURFACE WATERS CLASS AA
48.assessmentunitname,"Zoar, Lake (Monroe/Newtown/Oxofrd/Southbury)","Zoar, Lake (Monroe/Newtown/Oxford/Southbury)"
23.ct_two_zero_two_zero_aql_use_attainment,Not Supproting,Not Supporting
152.watertypename,"LAKE,F RESHWATER","LAKE, FRESHWATER"
93.locationdescription,South central Goshen; along West Breanch of Bantam River,South central Goshen; along West Branch of Bantam River
96.assessmentunitid,CT6705-00-3-L_01,CT6705-00-3-L3_01
157.ct_two_zero_two_zero_fshcon_use_usename,Fiysh Consumption,Fish Consumption
70.ct_two_zero_two_zero_fshcon_use_attainment,Insfficient Information,Insufficient Information
133.locationdescription,"CT DEEP Day Pond State Park. uImpoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester.","CT DEEP Day Pond State Park. Impoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester."
6.locationdescription,Northeastern Union ner MA border.,Northeastern Union near MA border.
150.assessmentunitname,Mixville tPond (Cheshire),Mixville Pond (Cheshire)
123.units,Acrse,Acres
107.useclassname,INLAN SURFACE WATERS CLASS A,INLAND SURFACE WATERS CLASS A
2.ct_two_zero_two_zero_rec_use_usename,Recreaxtion,Recreation
119.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient Informaton,Insufficient Information
119.assessmentunitname,Shenipsit Lake (Tolland/Ellingto/Vernon),Shenipsit Lake (Tolland/Ellington/Vernon)
101.ct_two_zero_two_zero_dw_use_usename,Not Classifie For Drinking Water,Not Classified For Drinking Water
95.units,oAcres,Acres
14.ct_two_zero_two_zero_aql_use_attainment,Insuficient Information,Insufficient Information
117.impaired,oN,No
132.ct_two_zero_two_zero_aql_use_usename,"Habitat for Fish, Other Aquatic Lifea nd Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
168.impaired,Npo,No
5.ct_two_zero_two_zero_fshcon_use_usename,Fibsh Consumption,Fish Consumption
181.impaired,Nfo,No
91.assessmentunitid,T6904-00-3-L1_01,CT6904-00-3-L1_01
127.watertypename,"LAKE, FRESHWATRE","LAKE, FRESHWATER"
75.assessmentunitid,kCT6002-00-1-L1_01,CT6002-00-1-L1_01
140.units,gAcres,Acres
45.ct_two_zero_two_zero_aql_use_usename,"Habtiat for Fish, Other Aquatic Life and Wildlife","Habitat for Fish, Other Aquatic Life and Wildlife"
100.ct_two_zero_two_zero_fshcon_use_attainment,Insufficient Inrformation,Insufficient Information
38.locationdescription,pSrague,Sprague
16.locationdescription,"Giulford just east of Rt 77, 2 miles north of Rt 80.","Guilford just east of Rt 77, 2 miles north of Rt 80."
109.locationdescription,rCentral Newtown.,Central Newtown.
