OBJECTID,Case_id,SN_Full,Geo_State,Prjt_Name,Ref_Num,Acq_Method,Int_Acq,Esmt_Rgts,Acc_Rgts,Esmt_exp,Acq_Fund,Fund_Year,Purpose,Pmnt_Made,Acq_Value,Width,Length_Feet,Length_Miles,Area_Acq,Deed_Sign,Recorded,County_Rec,Tax_ID,Rsts_Acq,NGO_Name,NGO_Invol,Title_Acpt,Public_Display,Source,Other_Funds,Appropriation_Reference,Administrating_Agency,Media_Links,Photo_Links,ID,SHAPE_Length,SHAPE_Area
502,8701036,CACA   043364,CA,SR/SJMNM,PROJ-B018,,Fee,Exclusive,,,"LWCF;",,"T&E,40,BIGHORN SHEEP","$60,000.0","$60,000.0",,,,40,2003/09/22 00:00:00+00,GD #2003-789813,RIVERSIDE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/12/12 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Santa%20Rosa,,0.0159014597511068,1.5676523088939e-05
503,8701356,NVN    074985,NV,SWAN LAKE NSA,,,Fee,Exclusive,,,"LWCF;",,"RECREATION,40,WILDLIFE,600","$7,500.0","$7,500.0",,,,40,2003/08/01 00:00:00+00,2899065,WASHOE,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR",,,2008/09/30 00:00:00+00,Yes,CadNSDI,,,BLM,,,,0.0166223705929773,1.69586694082887e-05
504,8701747,IDI    033721,ID,UPPERSNAKE/SFSNAKE,,,Easment,Exclusive,,,"LWCF;",,"RIPARIAN,WETLANDS;WETLAND,RECREATION AREA,AG-GRAZING","$1,900,000.0","$2,190,000.0",,,,828.98,2002/04/16 00:00:00+00,INSTR #1076602,BONNEVILLE,,"EXCLUSIVE, EXCLUSIVE",THE CONSERVATION FUND,,2002/05/22 00:00:00+00,Yes,CadNSDI,,,,,,,0.117403568277772,0.000374031618659892
505,8703674,WYW    154351,WY,N PLATTE RIVER SRMA,PROJ-KO33,,Easment,Exclusive,,,"LWCF;",,"FISHERIES,TIMBER.10,GRAZING,TIMBER.10,CULTURAL,TIMBER.10,RECREATION,TIMBER.10,WILDLIFE,TIMBER.10,RIPARIAN,TIMBER.10,1.0,WETLANDS,TIMBER.10,T&E,TIMBER.1,BALD EAGLE","$292,500.0","$292,500.0",,,,156.1,2002/09/13 00:00:00+00,INST #700403,NATRONA,,COVENANTS & RESTRICTIONS,,,2002/09/13 00:00:00+00,Yes,CadNSDI,,,BLM CASPER FO,https://www.blm.gov/press-release/partners-celebrate-acquisition-15-miles-along-north-platte-river,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=North%20PLATTE%20RIVER,,0.0581437317197763,0.000105510522689428
506,8704158,OROR   055115,OR,FISH BEND ADDITION,,,Fee,Exclusive,,,"LWCF;",,RECREATION,"$196,000.0","$196,000.0",,,,17.74,2001/08/13 00:00:00+00,"MARION:REEL1825,P388",MARION,,,,,2001/09/24 00:00:00+00,Yes,CadNSDI,,,BLM SALEM DO,,,,0.0198196081556493,1.88888681601672e-05
507,8704165,CACA   043476,CA,KING RANGE,PROJ-B001/4227,,Fee,Exclusive,,,"LWCF;",,"WILDLIFE,320.0","$492,750.0","$500,000.0",,,,315.61,2001/11/06 00:00:00+00,2001-31771-4,HUMBOLDT,,"ALL SURFACE RIGHTS U.S., ALL MINERALS",,,2004/06/14 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.0673751745279145,0.000132720602400438
508,8704313,OROR   056587,OR,BEATTY CREEK,PROJ-H444,,Fee,Exclusive,,,"LWCF;",,,"$30,000.0","$30,000.0",,,,20,2002/02/06 00:00:00+00,00114677,DOUGLAS,,001,,,2002/08/06 00:00:00+00,Yes,CadNSDI,,,BLM ROSEBURG DO,,,,0.0141694409691532,9.49373076739342e-06
509,8704793,CACA   043343,CA,CACHE CREEK ACEC,PROJ 4224,,,Exclusive,,,"LWCF;",,,"$28,640.0","$28,640.0",,,,80,2003/11/06 00:00:00+00,DOC NO. 2003038097,LAKE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2009/03/16 00:00:00+00,Yes,CadNSDI,,,BLM UKIAH FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CACHE%20CREEK,,0.0231372533801731,3.18728408429822e-05
510,8704939,OROR   050825P1,OR,STEENS MOUNTAIN,PROJ-H003,,Easment,Exclusive,,,"LWCF;",,,$0.00,$0.00,VAR,6674,,3.02,2001/08/21 00:00:00+00,20011660,HARNEY,,EXCLUSIVE,,,2001/09/14 00:00:00+00,Yes,CadNSDI,,,BLM BURNS DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Steens%20Mountain%20CMPA,,0.0967439643999278,0.000140448671391044
511,8705402,NMNM   106540,NM,EL MALPAIS NCA,PROJ-G-202,,Fee,Exclusive,,,"LWCF;",,WILDERNESS,"$16,000.0","$16,000.0",,,,40,2001/09/27 00:00:00+00,"10,3876",CIBOLA,,ALL SURFACE RIGHTS U.S.,,,2002/02/25 00:00:00+00,Yes,CadNSDI,,,BLM ALBUQUERQUE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=EL%20MALPAIS,,0.0161923306341878,1.62786023419161e-05
512,8706213,IDI    033659,ID,LEWIS AND CLARK NHT,,Donation,Fee,Exclusive,,,"LWCF;",,"40;RECREATION",$0.00,"$140,000.0",,,,40,2002/05/30 00:00:00+00,INSTR#250765,LEMHI,,"EXCLUSIVE, EXCLUSIVE, ALL MINERALS, ALL MINERALS",,,2002/06/19 00:00:00+00,Yes,CadNSDI,,,BLM SALMON FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=LEWIS%20AND%20CLARK%20National,,0.0175150590987873,1.85853059292722e-05
513,8709334,CACA   043718,CA,SR/SJMNM,PROJ-B018,,Fee,Exclusive,,,"LWCF;",,"T&E,120,BIGHORN,WILDERNESS,120","$41,000.0","$41,000.0",,,,120,2002/09/30 00:00:00+00,GD #2002-0566433,RIVERSIDE,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR, ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2002/12/13 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Santa%20Rosa,,0.0407015891182463,4.74864062225005e-05
514,8709380,UTU    079708,UT,GSENM,,,Fee,Exclusive,,,"LWCF;",,,"$251,542.5","$250,000.0",,,,100,2001/12/27 00:00:00+00,BK 0217 PG 367,KANE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2002/01/03 00:00:00+00,Yes,CadNSDI,,,GSENM,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Grand%20staircase,,0.0291325954688109,4.13626844048547e-05
515,8710969,CACA   043749,CA,SRMNSA,PROJ-B602,,Fee,Exclusive,,,"LWCF;",,,"$51,000.0","$51,000.0",,,,40,2002/04/24 00:00:00+00,GD #2002-0241054,RIVERSIDE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/02/28 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Santa%20Rosa,,0.0159109962419195,1.56964482197818e-05
516,8712227,COC    065923,CO,UPPER ARK R./HAYDEN W,C-622,,Fee,Exclusive,,,"LWCF;",,"GRAZING,1412,WILDLIFE,1412,ELK,WILDLIFE,1412,DEER,RECREATION,1412","$684,000.0","$684,000.0",,,,1411.81,2005/08/08 00:00:00+00,BK 615 PG 295,LAKE,,TO BE DEFINED,,,2005/09/21 00:00:00+00,Yes,CadNSDI,,,BLM ROYAL GORGE FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=ARKANSAS%20RIVER,,0.217663750440006,0.000773332440087771
517,8712443,COC    063472A,CO,UPR ARK RIV BASIN,PROJ-C622,,Fee,Exclusive,,,"LWCF;",,"RIPARIAN,393","$200,000.0","$200,000.0",,,,393.46,2001/12/12 00:00:00+00,REC 741126,FREMONT,,ALL SURFACE RIGHTS U.S.,,,2001/12/12 00:00:00+00,Yes,CadNSDI,,,BLM ROYAL GORGE FO,,,,0.0647778563475888,0.000170844535238606
518,8714481,CACA   043952,CA,SR/SJMNM,PROJ-B018,,Fee,Exclusive,,,"LWCF;",,"T&E,140,BIGHORN SHP","$105,000.0","$105,000.0",,,,140,2003/03/14 00:00:00+00,GD #2003-203154,RIVERSIDE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/05/05 00:00:00+00,Yes,CadNSDI,,,,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Santa%20Rosa,,0.0348986920165772,5.535271030173e-05
519,8715925,UTU    079246,UT,WASHINGTON CO. HCP,PROJ-J401,,Easment,Exclusive,,,"LWCF;",,"T&E,14.5,DES TORT",$0.00,"$72,500.0",,,,14.52,2002/02/07 00:00:00+00,"BK1451,PG1066",WASHINGTON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2002/02/25 00:00:00+00,Yes,CadNSDI,,,BLM ST GEORGE FIELD OFFICE,,,,0.0238232395007268,3.36969549694244e-05
520,8716079,IDI    034043,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"496;RIPARIAN,496;WILDLIFE,496;RECREATION,496;AG-GRAZING","$316,000.0","$316,000.0",,,,495.43,2003/02/25 00:00:00+00,INSTR #167987,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT",,,2003/04/28 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.12811429213245,0.000219322303442679
521,8716080,IDI    034044,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"40;RIPARIAN,40;WILDLIFE,40;AG-GRAZING","$28,000.0","$28,000.0",,,,40,2003/05/30 00:00:00+00,INSTR #168722,CARIBOU,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS, EXCLUSIVE, EXCLUSIVE",,,2003/06/26 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.0170372524583456,1.77323816087208e-05
522,8716081,IDI    034045,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"80;AG-GRAZING,80;RIPARIAN,80;WILDLIFE AREA,80;RECREATION","$28,000.0","$28,000.0",,,,40,2003/02/07 00:00:00+00,INSTR #168556,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2003/05/29 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.016896755915854,1.74696477523875e-05
523,8716082,IDI    034046,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"159;RIPARIAN,159;WILDLIFE AREA,159;RECREATION,159;AG-GRAZING","$92,700.0","$92,700.0",,,,158.5,2003/03/20 00:00:00+00,INSTRU #168231,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL MINERALS, ALL MINERALS, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT",,,2003/04/28 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.034067558739067,7.0710928057368e-05
524,8716083,IDI    034047,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"80;RIPARIAN,80;WILDLIFE,80;RECREATION,80;AG-GRAZING","$56,000.0","$56,000.0",,,,80,2002/10/18 00:00:00+00,INSTR #167401,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2003/01/27 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.0265893940239442,3.49638862758692e-05
525,8716084,IDI    034048,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"15;AG-GRAZING,15;RIPARIAN,15; RECREATION","$22,500.0","$22,500.0",,,,15,2003/02/20 00:00:00+00,INSTR #168405,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2003/05/09 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.0103222024625006,6.64323789546576e-06
526,8716499,IDI    033939,ID,SNAKE RIVER,,,Fee,Exclusive,,,"LWCF;",,"149;RIPARIAN,149;RECREATION","$201,000.0","$201,000.0",,,,148.73,2002/07/06 00:00:00+00,"INSTR #240232;OWYHEE",OWYHEE,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2002/07/29 00:00:00+00,Yes,CadNSDI,,,BLM JARBIDGE FO,,,,0.0463451728035733,6.62324669337133e-05
527,8717173,COC    065920,CO,WATCH CRYSTAL TRAIL,,,Fee,Exclusive,,,"LWCF;",,RECREATION,$0.00,"$10,200.0",10,91.76,,0.148,2002/09/26 00:00:00+00,RCPT 846020,LA PLATA,,,,,2003/02/25 00:00:00+00,Yes,CadNSDI,,,BLM TRES RIOS FO,,,,0.0315735281303553,6.07148545733462e-05
528,8717174,COC    065921,CO,WATCH CRYSTAL TRAIL,,,Fee,Exclusive,,,"LWCF;",,RECREATION,$0.00,"$3,900.0",10,161.25,,0.037,2002/09/26 00:00:00+00,RCPT 846019,LA PLATA,,,,,2003/02/25 00:00:00+00,Yes,CadNSDI,,,BLM TRES RIOS FO,,,,0.024308151828104,2.69217643199677e-05
529,8718701,CACA   043799,CA,CACHE CREEK,PROJ-4224,,Fee,Exclusive,,,"LWCF;",,,"$92,694.0","$92,694.0",,,,259.06,2003/12/30 00:00:00+00,2004-0000153,COLUSA,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2005/01/03 00:00:00+00,Yes,CadNSDI,,,BLM UKIAH FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=CACHE%20CREEK,,0.0666144190135009,0.000108929381398248
530,8720824,CACA   044064,CA,COSUMNES RIVER,PROJ-B103,,Fee,Exclusive,,,"LWCF;",,T&E,"$67,500.0","$135,000.0",,,,40,2002/02/19 00:00:00+00,DOC-2002-0048076-00,EL DORADO,,"SUBSURFACE ESTATE, ALL MINERALS, ALL SURFACE RIGHTS U.S.",AMERICAN RIVER CONSERVANCY,,2002/12/06 00:00:00+00,Yes,CadNSDI,,,,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=COSUMNES%20RIVER,,0.0164242034723172,1.65843325209275e-05
531,8722315,CACA   044234,CA,OTAY MTN/KUCHAMAA,PROJ-B011,,Fee,Exclusive,,,"LWCF;",,"T&E,440,GNATCATCHER","$1,320,000.0",$0.00,,,,440,2002/06/20 00:00:00+00,GD #2002-0548532,SAN DIEGO,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2002/09/25 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0882572100543817,0.00017907278335948
532,8722704,IDI    034095,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"25;RIPARIAN,25;WILDLIFE AREA,25;AG-GRAZING","$25,000.0","$25,000.0",,,,25,2003/02/13 00:00:00+00,INSTR #168424,CARIBOU,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2003/05/16 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.0170370569350283,1.10747613101017e-05
533,8724142,CACA   044334,CA,SR/SJMNM,PROJ-B018,,Fee,Exclusive,,,"LWCF;",,"T&E,160,BIGHORN SHP","$170,000.0","$170,000.0",,,,160,2003/08/18 00:00:00+00,GD #2003-00763698,RIVERSIDE,,"ALL SURFACE RIGHTS U.S., EXCEPTED RIGHTS FOLLOW-S, ALL MINERALS, EXCEPTED RIGHTS PRECD-S",,,2003/11/14 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=Santa%20Rosa,,0.0318517825663376,6.28406763739984e-05
534,8725524,WAOR   057314,WA,UPPER CRAB CREEK,PROJ-H060,,Fee,Exclusive,,,"LWCF;",,RECREATION,$0.00,"$62,000.0",,,,320.79,2002/09/23 00:00:00+00,2002-0426398,LINCOLN,,,,,2002/12/17 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0568848859407805,0.000153086953975391
535,8725947,WAOR   057456,WA,EMERGENCY INHOLDING,PROJ-H444,,Fee,Exclusive,,,"LWCF;",,RECREATION,$0.00,"$240,000.0",,,,640,2002/08/23 00:00:00+00,1611876,FRANKLIN,,,,,2002/11/27 00:00:00+00,Yes,CadNSDI,,,BLM SPOKANE DO,,,,0.0711242031226883,0.000305606590284346
536,8726144,IDI    033137,ID,AGENCY CREEK,,,Fee,Exclusive,,,"LWCF;",,"930;WILDLIFE,930;RECREATION,930; CULTURAL,930;AG-GRAZING","$1,000,000.0","$1,028,500.0",,,,930,2002/12/09 00:00:00+00,INSTR #253058,LEMHI,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, SUBJECT TO PRIOR RIGHTS, SUBJ PRIO RIGHTS, ALL MINERALS, ALL MINERALS, EXCLUSIVE, EXCLUSIVE",,,2003/03/10 00:00:00+00,Yes,CadNSDI,,,BLM SALMON FO,,,,0.182464298292207,0.000427681368832643
537,8727390,NVN    075989,NV,SWAN LAKE NSA,,,Fee,Nonexclusive,,,"LWCF;",,"WILDLIFE,600,RECREATION,20",$400.0,"$7,000.0",,,,20,2003/01/02 00:00:00+00,"DOC 2803800, BOOK 1",WASHOE,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT, COMPLEX RESERVAT/SEGR",,,2003/07/21 00:00:00+00,Yes,CadNSDI,,,BLM,,,,0.0118024786010914,8.31003144621282e-06
538,8727391,NVN    075990,NV,SWAN LAKE NSA,,,Fee,Nonexclusive,,,"LWCF;",,"RECREATION,40,WILDLIFE,400",$400.0,"$7,500.0",,,,40,2002/12/09 00:00:00+00,"DOC 2803800, BOOK 1",WASHOE,,"ALL SURFACE RIGHTS U.S., SUBJ TO EXISTNG R/W-ESMT, COMPLEX RESERVAT/SEGR",,,2003/07/21 00:00:00+00,Yes,CadNSDI,,,BLM,,,,0.016479933955356,1.66879303073236e-05
539,8727392,NVN    075991,NV,SWAN LAKE NSA,,,Fee,Nonexclusive,,,"LWCF;",,"WILDLIFE,600,RECREATION,160",$0.00,"$25,500.0",,,,160,,"2899063,2899066",WASHOE,,"ALL SURFACE RIGHTS U.S., COMPLEX RESERVAT/SEGR",,,2008/09/30 00:00:00+00,Yes,CadNSDI,,,BLM,,,,0.056701331310217,6.68883068400995e-05
540,8728324,UTU    080044,UT,WASHINGTON COUNTY HCP,J401,,Fee,Exclusive,,,"LWCF;",,,"$23,835.0","$23,835.0",,,,0.15,2002/06/24 00:00:00+00,BK. 1472 PG. 1768,WASHINGTON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2002/07/11 00:00:00+00,Yes,CadNSDI,,,BLM ST GEORGE FIELD OFFICE,,,,0.0663514114331473,0.000270968666152164
541,8729446,IDI    034115,ID,BIRDS OF PREY,,,Fee,Exclusive,,,"LWCF;",,AG-GRAZING,"$22,509.93","$22,509.93",,,,50,2003/05/21 00:00:00+00,INSTR #103084061,ADA,,"ALL MINERALS, ALL MINERALS, EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT",,,2003/06/26 00:00:00+00,Yes,CadNSDI,,,BLM LOWER SNAKE RIVER DIST,,,,0.0213210715956983,2.23409324091394e-05
542,8729501,CACA   044503,CA,WEST MESA,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,"T&E,310.23,FTHL/PBHS","$46,500.0","$46,500.0",,,,310.23,2003/01/13 00:00:00+00,BK 2172 PG 979,IMPERIAL,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/04/17 00:00:00+00,Yes,CadNSDI,,,BLM EL CENTRO FO,,,,0.0158784084885553,1.56418903651165e-05
543,8729688,CACA   044505,CA,EAST MESA,PROJ-B009,,Fee,Exclusive,,,"LWCF;",,"T&E,320,FTHL","$32,000.0","$32,000.0",,,,320,2003/01/13 00:00:00+00,BK 2172 PG 986,IMPERIAL,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/04/17 00:00:00+00,Yes,CadNSDI,,,BLM EL CENTRO FO,,,,0.0461965191234292,0.000124645264735085
544,8729933,MTM    091995,MT,GARNET GHST TWN SRMA,,,Fee,Exclusive,,,"LWCF;",,"CULTURAL,3,RECREATION,3","$33,000.0","$33,000.0",,,,2.89,2003/12/22 00:00:00+00,"ROLL 53, PG 216",GRANITE,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2007/05/15 00:00:00+00,Yes,CadNSDI,,,BLM MISSOULA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=GARNET%20GHOST%20TOWN,,0.0716629409677883,0.000310596840003812
545,8730961,NMNM   108130,NM,EL MALPAIS NCA,PROG G-202,,Fee,Exclusive,,,"LWCF;",,,"$6,480.0","$1,000.0",,,,6.48,2003/03/21 00:00:00+00,"13,1377",CIBOLA,,ALL SURFACE RIGHTS U.S.,,,2003/07/17 00:00:00+00,Yes,CadNSDI,,,BLM ALBUQUERQUE DO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=EL%20MALPAIS,,0.0161028198504064,1.60651698641229e-05
546,8732585,MTM    091588,MT,METROPOLITAN PLACER,,,Fee,Exclusive,,,"LWCF;",,RECREATION,"$200,000.0","$216,000.0",,,,40,2002/02/12 00:00:00+00,"3014672,BK M26,PG432",LEWIS AND CLARK,,ALL MINERALS,,,2002/10/24 00:00:00+00,Yes,CadNSDI,,,BLM-BUTTE FO,,,,0.0249336612087626,1.91028313029186e-05
547,8734644,WYW    15242401,WY,BIGHORN RIV (EGGERT),PROJ-KO53,,Fee,Exclusive,,,"LWCF;",,"39; RECREATION,39; WILDLIFE","$39,000.0","$39,000.0",,,,38.86,2002/04/16 00:00:00+00,"493571;89;1748-1750",WASHAKIE,,ALL SURFACE RIGHTS U.S.,,,2002/04/16 00:00:00+00,Yes,CadNSDI,,,BLM WORLAND FO,,,,0.0168073875742084,1.72837572112803e-05
548,8734921,CACA   044733,CA,KING RANGE,PROJ-B001,,Fee,Exclusive,,,"LWCF;",,"RIPARIAN,164,0.95,RECREATION,164,FISHERIES,164,T&E,164,COHO SALMON","$230,000.0","$230,000.0",,,,163.91,2003/08/12 00:00:00+00,2003-34485-3,HUMBOLDT,,"ALL SURFACE RIGHTS U.S., ALL MINERALS, SUBJ TO EXISTNG R/W-ESMT",,,2003/10/08 00:00:00+00,Yes,CadNSDI,,,BLM ARCATA FO,,https://www.flickr.com/search/?user_id=91981596%40N06&view_all=1&text=King%20Range%20NCA,,0.0337362931183337,7.02489284918636e-05
549,8735197,COC    066086,CO,NATURITA CREEK,PROJ-C888,,Fee,Exclusive,,,"LWCF;",,"RECREATION,26,GRAZING,26","$35,000.0","$35,000.0",,,,26,2002/04/02 00:00:00+00,RCPT 686353,MONTROSE,,ALL MINERALS,,,2002/04/10 00:00:00+00,Yes,CadNSDI,,,BLM UNCOMPAHGRE FO,,,,0.0425401026871091,5.12035313735279e-05
550,8737468,IDI    034312,ID,BLUE CREEK BAY,,,Fee,Exclusive,,,"LWCF;",,"10;RIPARIAN,10;WILDLIFE AREA,10;RECREATION,10;TIMBER","$65,000.0","$65,000.0",,,,10.052,2003/05/16 00:00:00+00,INSTR #1803249,KOOTENAI,,"EXCLUSIVE, EXCLUSIVE, ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS",,,2003/06/26 00:00:00+00,Yes,CadNSDI,,,BLM COEUR D'ALENE FO,,,,0.0789469391817653,0.000362236736403721
551,8737863,IDI    034177,ID,WILCOX BROTHERS,,,Easment,Exclusive,,,"LWCF;",,"2035;WILDLIFE,2035;RECREATION,2035;AG-GRAZING","$200,000.0","$340,000.0",,,,2035.02,2003/09/18 00:00:00+00,INSTR #483908,FREMONT,,"EXCLUSIVE, EXCLUSIVE",TETON REGIONAL LAND TRUST,,2003/09/25 00:00:00+00,Yes,CadNSDI,,,,,,,0.171674615983082,0.000924509197507778
552,8739625,IDI    034237,ID,SODA HILLS,,,Fee,Exclusive,,,"LWCF;",,"160;RIPARIAN,160;WILDLIFE,160;RECREATION,160;AG-GRAZING","$80,000.0","$80,000.0",,,,160,2002/12/04 00:00:00+00,INSTR #167402,CARIBOU,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, ALL MINERALS, ALL MINERALS, EXCLUSIVE, EXCLUSIVE",,,2003/01/27 00:00:00+00,Yes,CadNSDI,,,BLM POCATELLO FO,,,,0.053351815876493,7.03625670644787e-05
553,8754692,IDI    034307,ID,GOREM SLOUGH SCOTT,,,Easment,Exclusive,,,"LWCF;",,"144;RIPARIAN,144;WILDLIFE AREA,WETLANDS,144;WETLAND,144;AG-GRAZING","$475,000.0","$475,000.0",,,,143.9,2003/11/20 00:00:00+00,INSTR #327329,JEFFERSON,,"EXCLUSIVE, EXCLUSIVE",TETON REGIONAL LAND TRUST,,2004/08/20 00:00:00+00,Yes,CadNSDI,,,,,,,0.06766575094094,0.000278395650808809
554,8756395,UTU    080290,UT,WASHINGTON CO HCP,J401,,Fee,Exclusive,,,"LWCF;",,"T&E,0.51,DESERT TORT","$5,300.0","$5,300.0",,,,0.51,2003/05/15 00:00:00+00,BK 1546 PG 1873,WASHINGTON,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2003/05/27 00:00:00+00,Yes,CadNSDI,,,BLM ST GEORGE FIELD OFFICE,,,,0.00823845603442685,4.18979410429094e-06
555,8756508,CACA   045193,CA,OTAY MTN/KUCHAMAA,PROJ-B011,,Fee,Exclusive,,,"LWCF;",,"T&E,40,GNATCATCHER","$140,000.0","$140,000.0",,,,40,2003/10/17 00:00:00+00,GD #2004-0018251,SAN DIEGO,,"ALL MINERALS, ALL SURFACE RIGHTS U.S.",,,2004/03/17 00:00:00+00,Yes,CadNSDI,,,BLM CALIFORNIA DESERT DO,,"Search: ""California WILDERNESS"" | Flickr",,0.0163830494603732,1.66922107014768e-05
556,8757032,CACA   04349801,CA,SAN JOAQUIN RIVER,PROJ-B009,,Easment,Nonexclusive,,,"LWCF;",,"RECREATION,20.4","$240,000.0","$240,000.0",60,14800,,20.4,2001/12/12 00:00:00+00,DOC# 2001-0193636,FRESNO,,NONEXCLUSIVE,,,2003/02/10 00:00:00+00,Yes,CadNSDI,,,BLM BAKERSFIELD FO,,,,0.132302954673359,0.000681295229693728
557,8757222,IDI    034412,ID,LOWERSALMONRIVERACEC,,,Fee,Exclusive,,,"LWCF;",,"124;TIMBER,124;AG-GRAZING,124;WILDLIFE AREA","$93,000.0","$93,000.0",,,,124.25,2003/07/23 00:00:00+00,INSTR #694241,NEZ PERCE,,"ALL SURFACE RIGHTS U.S., ALL SURF RIGHT, EXCLUSIVE, EXCLUSIVE, ALL MINERALS, ALL MINERALS",,,2003/09/09 00:00:00+00,Yes,CadNSDI,,,BLM COTTONWOOD FO,,,,0.0319619778080493,5.82204574733332e-05
