county,district,co_dist_code,site_code,school_site,total_enrollment,telephone,principal,principles_email,mailing_address,mailing_city,mailing_state,mailing_zip,grades_low_high,certified_staff
CLEVELAND   ,MOORE                         ,14-I002,650.0,Highland East JHS             ,671.0,(405) 735-4580,Mark Archer,markarcher@mooreschools.com,1200 Southeast Fourth Street,Moore,OK,73160.0,07-08,56.0
CLEVELAND   ,MOORE                         ,14-I002,655.0,Highland West JHS             ,626.0,(405) 735-4600,Dan Schwarz,danschwarz@mooreschools.com,901 North Santa Fe Ave,Moore,OK,73160.0,07-08,50.0
CLEVELAND   ,MOORE                         ,14-I002,680.0,West JHS                      ,715.0,(405) 735-4620,Jeni Dutton,jenidutton@mooreschools.com,9400 South Pennsylvania Ave,Oklahoma City,OK,73159.0,07-08,55.0
CLEVELAND   ,MOORE                         ,14-I002,685.0,Central JHS                   ,611.0,(405) 735-4560,Tammy Baker,tammybaker@mooreschools.com,400 North Broadway Street,Moore,OK,73160.0,07-08,50.0
CLEVELAND   ,MOORE                         ,14-I002,690.0,Southridge JHS                ,212.0,(405) 735-4680,Melanie Smith,melaniesmith@mooreschools.com,14141 S Pennsylvania,Oklahoma City,OK,73170.0,07-07,20.0
CLEVELAND   ,MOORE                         ,14-I002,705.0,Moore HS                      ,2463.0,(405) 735-4700,Mike Coyle,mikecoyle@mooreschools.com,300 North Eastern Ave,Moore,OK,73160.0,09-12,164.0
CLEVELAND   ,MOORE                         ,14-I002,710.0,Westmoore HS                  ,2298.0,(405) 735-4800,Mark Hunt,markhunt@mooreschools.com,12613 South Western Ave,Oklahoma City,OK,73170.0,09-12,144.0
CLEVELAND   ,MOORE                         ,14-I002,715.0,Southmoore HS                 ,2035.0,(405) 735-4900,Danny Reed,dannyreed@mooreschools.com,2901 South Santa Fe,Moore,OK,73170.0,09-12,135.0
CLEVELAND   ,NORMAN                        ,14-I029,107.0,Lakeview ES                   ,197.0,(405) 366-5899,Paula Palermo,paulap@norman.k12.ok.us,3310 108Th Ave Northeast,Norman,OK,73071.0,PK-05,25.0
CLEVELAND   ,NORMAN                        ,14-I029,110.0,Adams ES                      ,604.0,(405) 366-5972,Patricia Thomason,thomasonp@norman.k12.ok.us,817 Denison Drive,Norman,OK,73069.0,PK-05,48.0
CLEVELAND   ,NORMAN                        ,14-I029,112.0,Cleveland ES                  ,596.0,(405) 366-5875,Ty Bell,tbell4@norman.k12.ok.us,500 North Sherry Ave,Norman,OK,73069.0,PK-05,47.0
CLEVELAND   ,NORMAN                        ,14-I029,115.0,Jackson ES                    ,556.0,(405) 366-5884,Craig Stevens,cstevens@norman.k12.ok.us,520 Wylie Road,Norman,OK,73069.0,PK-05,47.0
CLEVELAND   ,NORMAN                        ,14-I029,120.0,Jefferson ES                  ,381.0,(405) 366-5889,Dominic Barone,dbarone@norman.k12.ok.us,250 North Cockrel Ave,Norman,OK,73071.0,PK-05,52.0
CLEVELAND   ,NORMAN                        ,14-I029,122.0,Kennedy ES                    ,482.0,(405) 366-5894,Montie Koehn,mkoehn@norman.k12.ok.us,621 Sunrise Street,Norman,OK,73071.0,PK-05,45.0
CLEVELAND   ,NORMAN                        ,14-I029,125.0,Lincoln ES                    ,302.0,(405) 366-5904,Olivia Dean,oscarce@norman.k12.ok.us,915 Classen Blvd,Norman,OK,73071.0,PK-05,30.0
CLEVELAND   ,NORMAN                        ,14-I029,130.0,Madison ES                    ,405.0,(405) 366-5910,Annette Williams,annettew@norman.k12.ok.us,500 James Drive,Norman,OK,73072.0,PK-05,38.0
CLEVELAND   ,NORMAN                        ,14-I029,135.0,Mckinley ES                   ,321.0,(405) 366-5914,Carol Emerson,cemerson@norman.k12.ok.us,728 South Flood Ave,Norman,OK,73069.0,PK-05,27.0
CLEVELAND   ,NORMAN                        ,14-I029,140.0,Eisenhower ES                 ,610.0,(405) 366-5879,Kelly Mccollom,kmccollom@norman.k12.ok.us,1415 Fairlawn Drive,Norman,OK,73071.0,PK-05,47.0
CLEVELAND   ,NORMAN                        ,14-I029,145.0,Wilson ES                     ,322.0,(405) 366-5932,Chris Crelia,ccrelia@norman.k12.ok.us,800 North Peters Ave,Norman,OK,73069.0,PK-05,35.0
CLEVELAND   ,NORMAN                        ,14-I029,150.0,Monroe ES                     ,439.0,(405) 366-5927,Lori Connery,lconnery@norman.k12.ok.us,1601 Mcgee Drive,Norman,OK,73072.0,PK-05,41.0
CLEVELAND   ,NORMAN                        ,14-I029,151.0,Ronald Reagan ES              ,569.0,(405) 366-5994,Kelly Otis,kotis@norman.k12.ok.us,1601 24Th Ave Se,Norman,OK,73071.0,PK-05,46.0
CLEVELAND   ,NORMAN                        ,14-I029,153.0,Roosevelt ES                  ,637.0,(405) 447-6581,Tiffany Dixon,tdixon2@norman.k12.ok.us,4250 West Tecumseh Road,Norman,OK,73072.0,PK-05,50.0
CLEVELAND   ,NORMAN                        ,14-I029,155.0,Truman ES                     ,415.0,(405) 366-5980,Robye Jackson,rjackson@norman.k12.ok.us,600 Parkside Road,Norman,OK,73072.0,03-05,35.0
CLEVELAND   ,NORMAN                        ,14-I029,160.0,Washington ES                 ,551.0,(405) 366-5984,Linda Parsons,lparsons@norman.k12.ok.us,600 48Th Street Southeast,Norman,OK,73026.0,PK-05,41.0
CLEVELAND   ,NORMAN                        ,14-I029,165.0,Truman Primary School         ,498.0,(405) 366-5949,Kristie Eselin,keselin@norman.k12.ok.us,601 Meadow Ridge Road,Norman,OK,73072.0,PK-06,44.0
CLEVELAND   ,NORMAN                        ,14-I029,170.0,Dimensions Academy            ,94.0,(405) 579-1880,Paul Tryggestad,tryggestad@norman.k12.ok.us,1101 East Main Street,Norman,OK,73071.0,KG-08,31.0
CLEVELAND   ,NORMAN                        ,14-I029,500.0,Irving MS                     ,877.0,(405) 366-5941,Alice Graddy,aliceg@norman.k12.ok.us,125 Vicksburg Ave,Norman,OK,73071.0,06-08,73.0
CLEVELAND   ,NORMAN                        ,14-I029,501.0,Alcott MS                     ,724.0,(405) 366-5845,Dana Morris,dmorris@norman.k12.ok.us,1919 West Boyd Street,Norman,OK,73069.0,06-08,60.0
CLEVELAND   ,NORMAN                        ,14-I029,502.0,Longfellow MS                 ,709.0,(405) 366-5948,Shelly Ellis,sellis@norman.k12.ok.us,215 North Ponca Ave,Norman,OK,73071.0,06-08,62.0
CLEVELAND   ,NORMAN                        ,14-I029,504.0,Whittier MS                   ,1120.0,(405) 366-5956,Gayla Mears,gmears@norman.k12.ok.us,2000 West Brooks Street,Norman,OK,73069.0,06-08,74.0
CLEVELAND   ,NORMAN                        ,14-I029,705.0,Norman HS                     ,2001.0,(405) 366-5812,Scott Beck,sbeck@norman.k12.ok.us,911 West Main Street,Norman,OK,73069.0,09-12,156.0
CLEVELAND   ,NORMAN                        ,14-I029,710.0,Norman North HS               ,2378.0,(405) 366-5954,Peter Liesenfeld,peterl@norman.k12.ok.us,1809 Stubbeman Ave,Norman,OK,73069.0,09-12,182.0
CLEVELAND   ,NORMAN                        ,14-I029,740.0,Dimensions Academy            ,258.0,(405) 579-1880,Paul Tryggestad,tryggestad@norman.k12.ok.us,1101 East Main Street,Norman,OK,73071.0,09-12,33.0
CLEVELAND   ,NOBLE                         ,14-I040,105.0,Katherine I. Daily ES         ,546.0,(405) 872-3406,Michael Prior,mprior@nobleps.com,300 South Fifth Street,Noble,OK,73068.0,PK-01,33.0
CLEVELAND   ,NOBLE                         ,14-I040,110.0,Pioneer Intermediate ES       ,412.0,(405) 872-3472,Karen Canfield,kcanfield@nobleps.com,611 Ash Street,Noble,OK,73068.0,04-05,28.0
CLEVELAND   ,NOBLE                         ,14-I040,115.0,John K. Hubbard ES            ,442.0,(405) 872-9201,Nathan Gray,ngray@nobleps.com,1104 Maguire Road,Noble,OK,73068.0,02-03,33.0
CLEVELAND   ,NOBLE                         ,14-I040,510.0,Curtis Inge MS                ,619.0,(405) 872-3495,Ronnie Fulks,rfulks@nobleps.com,1201 North Eighth Street,Noble,OK,73068.0,06-08,57.0
CLEVELAND   ,NOBLE                         ,14-I040,705.0,Noble HS                      ,839.0,(405) 872-3441,Steve Barrett,sbarrett@nobleps.com,4601 East Etowah Road,Noble,OK,73068.0,09-12,63.0
CLEVELAND   ,LEXINGTON                     ,14-I057,105.0,Lexington ES                  ,490.0,(405) 527-7236,Julie Malone,jmalone@lexington.k12.ok.us,420 Northeast Fourth Street,Lexington,OK,73051.0,PK-04,40.0
CLEVELAND   ,LEXINGTON                     ,14-I057,110.0,Lexington Intermediate School ,140.0,(405) 527-7236,Julie Malone,jmalone@lexington.k12.ok.us,420 Northeast Fourth Street,Lexington,OK,73051.0,05-06,22.0
CLEVELAND   ,LEXINGTON                     ,14-I057,510.0,Lexington MS                  ,182.0,() -,NULL,NULL,NULL,NULL,NULL,NULL,07-08,25.0
CLEVELAND   ,LEXINGTON                     ,14-I057,705.0,Lexington HS                  ,313.0,(405) 527-7236,David Mclain,dmcclain@lexington.k12.ok.su,801 East Broadway,Lexington,K,73051.0,09-12,35.0
CLEVELAND   ,LITTLE AXE                    ,14-I070,105.0,Little Axe ES                 ,641.0,(405) 447-0913,Brian Tupper,brian.tupper@littleaxepss.org,2000 168Th Ave Northeast,Norman,OK,73026.0,PK-05,44.0
CLEVELAND   ,LITTLE AXE                    ,14-I070,505.0,Little Axe MS                 ,288.0,(405) 329-2156,Dalton Griffin,dalton.griffin@littleaxeps.org,2000 168Th Ave Northeast,Norman,OK,73026.0,06-08,33.0
CLEVELAND   ,LITTLE AXE                    ,14-I070,715.0,Little Axe HS                 ,351.0,(405) 329-1612,Barry Thomas,carrie.tucker@littleaxeps.org,2000 168Th Ave Northeast,Norman,OK,73026.0,09-12,34.0
COAL        ,COTTONWOOD                    ,15-C004,105.0,Cottonwood Public School      ,178.0,(580) 927-3907,John Daniel,jdaniel@cottonwoodps.org,PO Box 347,Coalgate,OK,74538.0,PK-08,24.0
COAL        ,COALGATE                      ,15-I001,105.0,Emerson ES                    ,383.0,(580) 927-2350,Greg Davidson,gdavidson@coalgateschools.org,2 West Cedar,Coalgate,OK,74538.0,PK-06,38.0
COAL        ,COALGATE                      ,15-I001,505.0,Wallace Byrd MS               ,115.0,(580) 927-3560,Phil Wilkenson,pwilkenson@coalgateschools.org,2 West Cedar,Coalgate,OK,74538.0,07-08,26.0
COAL        ,COALGATE                      ,15-I001,705.0,Coalgate HS                   ,219.0,(580) 927-2592,Kris Hall,khall@coalgateschools.org,2 West Cedar,Coalgate,OK,74538.0,09-12,30.0
COAL        ,TUPELO                        ,15-I002,105.0,Tupelo ES                     ,191.0,(580) 845-2802,Lance Britt,lbritt@tupelo.k12.ok.us,200 South 7Th,Tupelo,OK,74572.0,PK-08,19.0
COAL        ,TUPELO                        ,15-I002,705.0,Tupelo HS                     ,86.0,(580) 845-2381,Jeff Hiatt,jhiatt@tupelo.k12.ok.us,200 South 7Th,Tupelo,OK,74572.0,09-12,15.0
COMANCHE    ,FLOWER MOUND                  ,16-C048,105.0,Flower Mound Public School    ,333.0,(580) 353-4088,Dax Trent,dtrent@flowermound.k12.ok.us,2805 Southeast Flower Mound Road,Lawton,OK,73501.0,PK-05,20.0
COMANCHE    ,BISHOP                        ,16-C049,105.0,Bishop Public School          ,536.0,(580) 353-4870,Howard Hampton,hamptonh@bishop.k12.ok.us,2204 Southwest Bishop Road,Lawton,OK,73505.0,PK-06,31.0
COMANCHE    ,CACHE                         ,16-I001,105.0,Cache Primary ES              ,335.0,(580) 429-3542,Jacqueline Green,jgreen@cache.k12.ok.us,102 East H Ave,Cache,OK,73527.0,PK-01,27.0
COMANCHE    ,CACHE                         ,16-I001,110.0,Cache Intermediate ES         ,397.0,(580) 429-8536,Rellon Sampler,ssampler@cache.k12.ok.us,102 East H Ave,Cache,OK,73527.0,02-04,33.0
COMANCHE    ,CACHE                         ,16-I001,505.0,Cache MS                      ,312.0,(580) 429-8489,Mitch Ange,mange@cache.k12.ok.us,102 East H Ave,Cache ,OmK,73527.0,07-08,33.0
COMANCHE    ,CACHE                         ,16-I001,530.0,Cache 5Th And 6Th Grade MS    ,293.0,(580) 429-0222,Debbie Hoffman,dhoffman@cache.k12.ok.us,102 East H Ave,Cache,K,73527.0,05-06,28.0
COMANCHE    ,CACHE                         ,16-I001,705.0,Cache HS                      ,533.0,(580) 429-3214,Cindy White,cindy.white@cacheps.org,102 East H Ave,Cache,OK,73527.0,09-12,50.0
COMANCHE    ,INDIAHOMA                     ,16-I002,105.0,Indiahoma ES                  ,148.0,(580) 246-3333,Greg Ellis,greg.ellis@indiahomaps.org,307 Chebahtah,Indiahoma,OK,73552.0,PK-08,21.0
COMANCHE    ,INDIAHOMA                     ,16-I002,705.0,Indiahoma HS                  ,63.0,(580) 246-3333,Greg Ellis,gellis@indiahoma.k12.ok.us,307 Chebahtah,Indiahoma,OK,73552.0,09-12,13.0
COMANCHE    ,STERLING                      ,16-I003,105.0,Sterling ES                   ,295.0,(580) 365-4166,Sandra Fehring,sfehring@sterling.k12.ok.us,PO Box 158,Sterling,OK,73567.0,PK-08,28.0
COMANCHE    ,STERLING                      ,16-I003,705.0,Sterling HS                   ,121.0,(580) 365-4303,Marty Curry,currym@sterling.k12.ok.us,PO Box 158,Sterling,OK,73567.0,09-12,16.0
COMANCHE    ,GERONIMO                      ,16-I004,105.0,Geronimo ES                   ,195.0,(580) 353-0882,Amy Latimer,alatimer@geronimo.k12.ok.us,800 West Main Street,Geronimo,OK,73543.0,PK-06,14.0
COMANCHE    ,GERONIMO                      ,16-I004,505.0,Geronimo MS                   ,48.0,(580) 355-3160,Heath Selcer,hselcer@geronimo.k12.ok.us,800 West Main Street,Geronimo,OK,73543.0,07-08,10.0
COMANCHE    ,GERONIMO                      ,16-I004,705.0,Geronimo HS                   ,89.0,(580) 355-3160,Heath Selcer,hselcer@geronimo.k12.ok.us,800 West Main Street,Geronimo,OK,73543.0,09-12,13.0
COMANCHE    ,LAWTON                        ,16-I008,105.0,Adams ES                      ,240.0,(580) 353-7983,Lisa Bell,labell@lawtonps.org,3501 Northwest Ferris Ave,Lawton,OK,73505.0,KG-05,17.0
COMANCHE    ,LAWTON                        ,16-I008,106.0,Almor West ES                 ,329.0,(580) 536-6006,Stan Melby,smelby@lawtonps.org,6902 Southwest Delta Ave,Lawton,OK,73505.0,PK-05,21.0
COMANCHE    ,LAWTON                        ,16-I008,108.0,Carriage Hills ES             ,357.0,(580) 248-6161,Cheryl Scammahorn,cadams@lawtonps.org,215 Southeast Warwick Way,Lawton,OK,73501.0,PK-05,24.0
COMANCHE    ,LAWTON                        ,16-I008,110.0,Cleveland ES                  ,395.0,(580) 353-8861,Calvin Prince,cprince@lawtonps.org,1202 Southwest 27Th Street,Lawton,OK,73505.0,PK-05,27.0
COMANCHE    ,LAWTON                        ,16-I008,114.0,Crosby Park ES                ,292.0,(580) 353-7107,Dana Moore,dmoore@lawtonps.org,1602 Northwest Horton Blvd,Lawton,OK,73505.0,KG-05,24.0
COMANCHE    ,LAWTON                        ,16-I008,122.0,Edison ES                     ,436.0,(580) 536-4223,Donna Catlin,dcatlin@lawtonps.org,5801 Northwest Columbia Ave,Lawton,OK,73505.0,KG-05,33.0
COMANCHE    ,LAWTON                        ,16-I008,125.0,Eisenhower ES                 ,324.0,(580) 355-4599,Tamie Barrett,tbarrett@lawtonps.org,315 Southwest 52Nd Street,Lawton,OK,73505.0,KG-05,24.0
COMANCHE    ,LAWTON                        ,16-I008,127.0,Freedom ES                    ,1133.0,() -,NULL,NULL,NULL,NULL,NULL,NULL,PK-05,64.0
COMANCHE    ,LAWTON                        ,16-I008,140.0,Ridgecrest ES                 ,520.0,(580) 355-6033,Ora Fitzgerald,ofitzgerald@lawtonps.org,1614 Northwest 47Th Street,Lawton,OK,73505.0,KG-05,39.0
COMANCHE    ,LAWTON                        ,16-I008,148.0,Hugh Bish ES                  ,344.0,(580) 248-2244,Sherry Havron,shavron@lawtonps.org,5611 Northwest Alan A Dale Lane,Lawton,OK,73505.0,KG-05,25.0
COMANCHE    ,LAWTON                        ,16-I008,160.0,Beginnings Academy            ,384.0,(580) 585-6407,Rhonda Weber,rweber@lawtonps.org,501 Northwest Woodridge Drive,Lawton,OK,73507.0,PK-PK,19.0
COMANCHE    ,LAWTON                        ,16-I008,165.0,Lincoln ES                    ,387.0,(580) 355-4799,David Dehaven,ddehaven@lawtonps.org,601 Southwest Park Ave,Lawton,OK,73501.0,PK-05,28.0
COMANCHE    ,LAWTON                        ,16-I008,168.0,Pat Henry ES                  ,530.0,(580) 355-2617,Karen Cooksey,kcooksey@lawtonps.org,1401 Northwest Bessie Ave,Lawton,OK,73507.0,KG-05,46.0
COMANCHE    ,LAWTON                        ,16-I008,173.0,Pioneer Park ES               ,404.0,(580) 355-5844,Sally Greenlee,sgreenlee@lawtonps.org,3005 Northeast Angus Place,Lawton,OK,73507.0,KG-05,26.0
COMANCHE    ,LAWTON                        ,16-I008,183.0,Sullivan Village ES           ,487.0,(580) 355-0800,Brenda Breeze,bbreeze@lawtonps.org,3802 Southeast Elmhurst Lane,Lawton,OK,73501.0,PK-05,29.0
COMANCHE    ,LAWTON                        ,16-I008,195.0,Washington ES                 ,227.0,(580) 353-6299,Traci Newell,tnewell@lawtonps.org,805 Northwest Columbia Ave,Lawton,OK,73507.0,PK-05,18.0
COMANCHE    ,LAWTON                        ,16-I008,200.0,Learning Tree Academy         ,194.0,(580) 355-6197,Rhonda Weber,rweber@lawtonps.org,1908 Northwest 38Th Street,Lawton,OK,73505.0,PK-PK,16.0
COMANCHE    ,LAWTON                        ,16-I008,205.0,Whittier ES                   ,317.0,(580) 355-5238,Melanie Nungesser,mnungesser@lawtonps.org,1115 Northwest Laird Ave,Lawton,OK,73507.0,KG-05,19.0
COMANCHE    ,LAWTON                        ,16-I008,220.0,Woodland Hills ES             ,480.0,(580) 536-7991,Lisa Carson,lcarson@lawtonps.org,405 Northwest Woodland Drive,Lawton,OK,73505.0,PK-05,32.0
COMANCHE    ,LAWTON                        ,16-I008,530.0,Macarthur MS                  ,788.0,(580) 353-5111,Regina Lambert,rlambert@lawtonps.org,510 Northeast 45Th Street,Lawton,OK,73507.0,06-08,70.0
COMANCHE    ,LAWTON                        ,16-I008,535.0,Central MS                    ,736.0,(580) 355-8544,Blake Thomas,bthomas@lawtonps.org,1201 Northwest Fort Sill Blvd,Lawton,OK,73507.0,06-08,79.0
COMANCHE    ,LAWTON                        ,16-I008,540.0,Tomlinson MS                  ,709.0,(580) 585-6416,Eddie Williams,ewilliams@lawtonps.org,702 Northwest Homestead Drive,Lawton,OK,73505.0,06-08,69.0
COMANCHE    ,LAWTON                        ,16-I008,545.0,Eisenhower MS                 ,858.0,(580) 353-1040,Beverly Mattingly,bmattingly@lawtonps.org,5702 West Gore Blvd,Lawton,OK,73505.0,06-08,73.0
COMANCHE    ,LAWTON                        ,16-I008,705.0,Eisenhower HS                 ,1249.0,(580) 355-9144,Charlotte Oates,coates@lawtonps.org,5202 West Gore Blvd,Lawton,OK,73505.0,09-12,95.0
COMANCHE    ,LAWTON                        ,16-I008,710.0,Lawton HS                     ,1734.0,(580) 355-5170,Regina Deloach,rdeloach@lawtonps.org,601 Northwest Fort Sill Blvd,Lawton,OK,73507.0,09-12,137.0
COMANCHE    ,LAWTON                        ,16-I008,715.0,Macarthur HS                  ,1124.0,(580) 355-5230,Rod Elam,relam@lawtonps.org,4402 East Gore Blvd,Lawton,OK,73501.0,09-12,81.0
COMANCHE    ,FLETCHER                      ,16-I009,105.0,Fletcher ES                   ,286.0,(580) 549-6020,Sandra Butler,sbuter@fletcherschools.org,PO Box 489,Fletcher,OK,73541.0,PK-06,21.0
COMANCHE    ,FLETCHER                      ,16-I009,615.0,Fletcher JHS                  ,63.0,(580) 549-3031,Amanda Grimes,agrimes@fletcherschools.org,PO Box 489,Fletcher,OK,73541.0,07-08,16.0
COMANCHE    ,FLETCHER                      ,16-I009,715.0,Fletcher HS                   ,133.0,(580) 549-6015,Amanda Grimes,agrimes@fletcherschools.org,PO Box 489,Fletcher,OK,73541.0,09-12,17.0
COMANCHE    ,ELGIN                         ,16-I016,105.0,Elgin ES                      ,924.0,(580) 492-3680,Doug Garland,dgarland@elginps.org,PO Box 369,Elgin,OK,73538.0,PK-04,59.0
COMANCHE    ,ELGIN                         ,16-I016,505.0,Elgin MS                      ,670.0,(580) 492-3655,Melissa Hitt,mhitt@elginps.org,PO Box 369,Elgin,OK,73538.0,05-08,49.0
COMANCHE    ,ELGIN                         ,16-I016,705.0,Elgin HS                      ,673.0,(580) 492-3670,Curtis Lorah,clorah@elginps.org,PO Box 369,Elgin,OK,73538.0,09-12,55.0
COMANCHE    ,CHATTANOOGA                   ,16-I132,105.0,Chattanooga ES                ,153.0,(580) 597-6638,Cristy Fischer,cfischer@chatty.k12.ok.us,PO Box 129,Chattanooga,OK,73528.0,PK-08,22.0
COMANCHE    ,CHATTANOOGA                   ,16-I132,705.0,Chattanooga HS                ,71.0,(580) 597-3347,James Higdon,jhigdon@chatty.k12.ok.us,PO Box 129,Chattanooga,OK,73528.0,09-12,17.0
COTTON      ,WALTERS                       ,17-I001,105.0,Walters ES                    ,352.0,(580) 875-3144,Danna Thompson,dnthompson@waltersps.org,418 South Broadway Street,Walters,OK,73572.0,PK-05,28.0
COTTON      ,WALTERS                       ,17-I001,505.0,Walters MS                    ,148.0,(580) 875-3214,Laurie Graham,lkgraham@waltersps.org,418 South Broadway Street,Walters,OK,73572.0,06-08,23.0
COTTON      ,WALTERS                       ,17-I001,705.0,Walters HS                    ,211.0,(580) 875-3257,Laura Booher,llbooher@waltersps.org,418 South Broadway Street,Walters,OK,73572.0,09-12,25.0
COTTON      ,TEMPLE                        ,17-I101,105.0,Temple ES                     ,131.0,(580) 342-6839,Kolby Johnson,kjohnson@temple.k12.ok.us,PO Box 400,Temple,OK,73568.0,PK-08,15.0
COTTON      ,TEMPLE                        ,17-I101,715.0,Temple HS                     ,46.0,(580) 342-6221,Kolby Johnson,kjohnson@temple.k12.ok.us,PO Box 400,Temple,OK,73568.0,09-12,8.0
COTTON      ,BIG PASTURE                   ,17-I333,105.0,Big Pasture ES                ,154.0,(580) 281-3460,Diane Bejessie,dianelar@yahoo.com,PO Box 167,Randlett,OK,73562.0,PK-08,18.0
COTTON      ,BIG PASTURE                   ,17-I333,705.0,Big Pasture HS                ,43.0,(580) 281-3276,Nat Lunn,nlunn@bigpastureps.k12.ok.us,PO Box 167,Randlett,OK,73562.0,09-12,11.0
CRAIG       ,WHITE OAK                     ,18-C001,105.0,White Oak Public School       ,46.0,(918) 256-4484,David Money,dmoney@whiteoakschool.net,27355 South 4340 Road,Vinita,OK,74301.0,PK-08,7.0
CRAIG       ,KETCHUM                       ,18-I006,105.0,Ketchum ES                    ,270.0,(918) 782-9543,Joy Taylor,jtaylor@ketchumwarrior.com,PO Box 720,Ketchum,OK,74349.0,PK-05,26.0
CRAIG       ,KETCHUM                       ,18-I006,505.0,Ketchum MS                    ,125.0,(918) 782-3242,Jennifer Turner,jturner@ketchumwarriors.com,PO Box 720,Ketchum,OK,74349.0,06-08,19.0
CRAIG       ,KETCHUM                       ,18-I006,705.0,Ketchum HS                    ,202.0,(918) 782-4481,Joe Gramlich,jgramlich@ketchumwarriors.com,PO Box 720,Ketchum,OK,74349.0,09-12,23.0
CRAIG       ,WELCH                         ,18-I017,115.0,Welch ES                      ,171.0,(918) 788-3129,Kim Hall,khall@welchwildcats.net,PO Box 189,Welch,OK,74369.0,PK-05,16.0
CRAIG       ,WELCH                         ,18-I017,515.0,Welch MS                      ,64.0,(918) 788-3129,Kim Hall,khall@welchwildcats.net,PO Box 189,Welch,OK,74369.0,06-08,18.0
CRAIG       ,WELCH                         ,18-I017,715.0,Welch HS                      ,108.0,(918) 788-3129,Rc Mckeon,cmckeon@welchwildcats.net,PO Box 189,Welch,OK,74369.0,09-12,23.0
CRAIG       ,BLUEJACKET                    ,18-I020,105.0,Bluejacket ES                 ,85.0,(918) 784-2266,Amy Rogers,arogers@bluejacket.k12.ok.us,PO Box 29,Bluejacket,OK,74333.0,PK-05,11.0
CRAIG       ,BLUEJACKET                    ,18-I020,505.0,Bluejacket MS                 ,61.0,(918) 784-2133,Tracy Mendez,tmendez@bluejacket.k12.ok.us,PO Box 29,Bluejacket,OK,74333.0,06-08,13.0
CRAIG       ,BLUEJACKET                    ,18-I020,705.0,Bluejacket HS                 ,78.0,(918) 784-2133,Shellie Baker,sbaker@bluejacket.k12.ok.us,PO Box 29,Bluejacket,OK,74333.0,09-12,14.0
CRAIG       ,VINITA                        ,18-I065,200.0,Vinita ES                     ,741.0,(918) 256-5350,Holly Lankford,lankfoha@vinitahornets.com,101 S. Smith,Vinita,OK,74301.0,PK-05,58.0
CRAIG       ,VINITA                        ,18-I065,200.0,Vinita ES                     ,741.0,(918) 256-5350,Mary Smith,smithml@vinitahornets.com,101 S. Smith,Vinita,OK,74301.0,PK-05,58.0
CRAIG       ,VINITA                        ,18-I065,510.0,Ewing Halsell MS              ,346.0,(918) 256-2402,Duwayne King,kingdl@vinitahornets.com,226 North Miller,Vinita,OK,74301.0,06-08,35.0
CRAIG       ,VINITA                        ,18-I065,705.0,Vinita HS                     ,490.0,(918) 256-6777,Michelle Gibson,gibsontm@vinitahornets.com,801 North Adair,Vinita,OK,74301.0,09-12,50.0
CREEK       ,LONE STAR                     ,19-C008,105.0,Lone Star Public School       ,904.0,(918) 224-0201,Justin Whitehouse,jwhitehouse@lonestar.k12.ok.us,2945 S Hickory,Sapulpa,OK,74066.0,PK-08,61.0
CREEK       ,GYPSY                         ,19-C012,105.0,Gypsy Public School           ,82.0,(918) 324-5365,Rachel Collins,rcollins@gypsy.k12.ok.us,30899 South 417Th West Ave,Depew,OK,74028.0,PK-08,11.0
CREEK       ,PRETTY WATER                  ,19-C034,105.0,Pretty Water Public School    ,265.0,(918) 224-4952,Jeff Taylor,jtaylor@prettywater.k12.ok.us,15223 West 81St Street,Sapulpa,OK,74066.0,PK-08,16.0
CREEK       ,ALLEN-BOWDEN                  ,19-C035,105.0,Allen-Bowden Public School    ,403.0,(918) 224-4440,Dawna Watkins,d-watkins@allenbowden.k12.ok.us,7049 Frankoma Road,Tulsa,OK,74131.0,PK-08,27.0
CREEK       ,BRISTOW                       ,19-I002,110.0,Edison ES                     ,521.0,(918) 367-5521,Debbie Ponder,dponder@bristow.k12.ok.us,111 W. 9Th Ave.,Bristow,OK,74010.0,PK-02,34.0
CREEK       ,BRISTOW                       ,19-I002,115.0,Collins ES                    ,400.0,(918) 367-5551,Vicki Groom,vgroom@bristow.k12.ok.us,420 N. Main,Bristow,OK,74010.0,03-05,29.0
CREEK       ,BRISTOW                       ,19-I002,505.0,Bristow MS                    ,393.0,(918) 367-3551,Brian Burden,bburden@bristow.k12.ok.us,420 N. Main,Bristow,OK,74010.0,06-08,44.0
CREEK       ,BRISTOW                       ,19-I002,705.0,Bristow HS                    ,467.0,(918) 367-2241,Brandon Poteet,bpoteet@bristow.k12.ok.us,420 N. Main,Bristow,OK,74010.0,09-12,50.0
CREEK       ,MANNFORD                      ,19-I003,105.0,Mannford Lower ES             ,344.0,(918) 865-4334,Joshua Pierce,piercej@mannford.k12.ok.us,136 Evans Ave,Mannford,OK,74044.0,01-03,29.0
CREEK       ,MANNFORD                      ,19-I003,110.0,Mannford Upper ES             ,221.0,(918) 865-3092,James Ryan Norman,normanr@mannford.k12.ok.us,136 Evans Ave,Mannford,OK,74044.0,04-05,19.0
CREEK       ,MANNFORD                      ,19-I003,115.0,Mannford Ec Ctr               ,199.0,(918) 865-4062,Brenda Dorsey,dorseyb@mannford.k12.ok.us,136 Evans Ave,Mannford,OK,74044.0,PK-KG,15.0
