License_No,License_Type,Issue_Date,License_Status,Expire_date,Legal_Name,Street1,Street2,City,State,Zip,County_Code
02288703,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,BEER D SPENCER LLC,201 N 2ND AVE                                               ,                                        ,ELIZABETH                               ,PA ,15037-1534,02                                      
02288680,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHREE AMBIKA INC,280 HULTON RD                                               ,                                        ,VERONA                                  ,PA ,15147-3510,02                                      
02288679,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ELEGANT BEAUTY STORE INC,2140 WYLIE AVE                                              ,                                        ,PITTSBURGH                              ,PA ,15219-6343,02                                      
02288355,Cig/OTP Retail,2/18/2016,Issued,2/28/2017,HIDEAWAY MINI MART INC,815 BROOKLINE BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15226-2103,02                                      
02288692,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HANINI'S MARKET,2625 BROWNSVILLE RD                                         ,                                        ,PITTSBURGH                              ,PA ,15227     ,02                                      
02288710,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,CIGAR BAR PITTSBURGH LLC,6302 ROBINSON CENTER DR STE D                               ,                                        ,PITTSBURGH                              ,PA ,15205-4871,02                                      
02265884,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,S&B FUEL COMPANY,431 7TH AVENUE                                              ,                                        ,HOMESTEAD                               ,PA ,15120     ,02                                      
02259911,Retail,8/23/2016,Issued,2/28/2017,IKEDOG INC,1928 PARK MANOR BLVD                                        ,                                        ,PITTSBURGH                              ,PA ,15205-4808,02                                      
02259840,Cig/OTP Retail,3/3/2016,Issued,2/28/2017,PAKAM CAPITAL INC,802 MELDON AVENUE                                           ,                                        ,DONORA                                  ,PA ,15033     ,02                                      
02262567,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,STEEL VALLEY BEER LLC,117 E 22ND AVE                                              ,                                        ,MUNHALL                                 ,PA ,15120-2536,02                                      
02050362,Cig/OTP Retail,7/1/2016,Issued,2/28/2017,CROSSROADS SERVICE CENTER INC,4600 HOMESTEAD DUQUESNE RD # R                              ,                                        ,WEST MIFFLIN                            ,PA ,15122-1335,02                                      
70155006,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,6701 FRANKSTOWN AVENUE                                      ,                                        ,PITTSBURGH                              ,PA ,15208     ,02                                      
70155007,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,514 N HIGHLAND AVENUE                                       ,                                        ,PITTSBURGH                              ,PA ,15206     ,02                                      
70155008,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,5204 INTERBORO AVENUE                                       ,                                        ,PITTSBURGH                              ,PA ,15207     ,02                                      
70155009,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,1630 COCHRAN ROAD                                           ,                                        ,PITTSBURGH                              ,PA ,15220     ,02                                      
02261926,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,SAAD UNITED CORPORATION,1318 FEDERAL ST                                             ,                                        ,PITTSBURGH                              ,PA ,15212-4759,02                                      
02255144,Cig/OTP Retail,3/9/2016,Issued,2/28/2017,MOHANLAL PRAMODCHANDRA,1929 MURRAY AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15217-1607,02                                      
02260569,Cig/OTP Retail,7/12/2016,Issued,2/28/2017,SITARAM ENTERPRISE INC,1640 SAW MILL RUN BOULEVA                                   ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
70155010,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,1721 BANKSVILLE ROAD                                        ,                                        ,PITTSBURGH                              ,PA ,15216     ,02                                      
70155011,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,2350 CENTER AVENUE                                          ,                                        ,PITTSBURGH                              ,PA ,15219     ,02                                      
02262076,Cig/OTP Retail,3/30/2016,Issued,2/28/2017,VERONA NEWS INC,754 ALLEGHENY RIVER BLVD                                    ,                                        ,VERONA                                  ,PA ,15147     ,02                                      
04261406,Cig/OTP Retail,2/12/2016,Issued,2/28/2017,MDK USA INC,280 MOON CLINTON RD                                         ,                                        ,MOON TOWNSHIP                           ,PA ,15108     ,02                                      
70155012,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,6481 FRANKSTOWN ROAD                                        ,                                        ,PITTSBURGH                              ,PA ,15206     ,02                                      
70155013,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,301 CRAFT AVENUE                                            ,                                        ,PITTSBURGH                              ,PA ,15213     ,02                                      
02253167,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,GRK ENTERPRISES LLC,353 FREEPORT RD                                             ,                                        ,ASPINWALL                               ,PA ,15215-3109,02                                      
70155014,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,SG II GROUP LLC,123 N NEGLEY AVENUE                                         ,                                        ,PITTSBURGH                              ,PA ,15206     ,02                                      
02267358,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,KAMAL TIMSINA,308 CURRY HOLLOW ROAD                                       ,                                        ,PLEASANT HILLS                          ,PA ,15236     ,02                                      
02267567,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,"THE E-SMOKE SHOP, LLC",275 SWISS WAY                                               ,                                        ,ELIZABETH                               ,PA ,15037     ,02                                      
02267220,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,SIL'S MARKET INC,6000 NOBLESTOWN RD                                          ,                                        ,OAKDALE                                 ,PA ,15071-1346,02                                      
02263487,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,AZZOUZ ELYAJIZI,507 BESSEMER AVE                                            ,                                        ,EAST PITTSBURGH                         ,PA ,15112-1181,02                                      
02261221,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,Z CORNER STORE LLC,520 PITTSBURGH MILLS CIRC                                   ,                                        ,TARENTUM                                ,PA ,15084     ,02                                      
02261066,Cig/OTP Retail,7/12/2016,Issued,2/28/2017,LADANI UKANI ASSOCIATES LLC,1632 SAW MILL RUN BLVD                                      ,                                        ,PITTSBURGH                              ,PA ,15210-3434,02                                      
02249983,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,DEAN KERKENTZES,824 E PITTSBURGH MALL                                       ,                                        ,E PITTSBURGH                            ,PA ,15112-1208,02                                      
02253746,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,JFB HOSPITALITY INC,1401 E CARSON ST                                            ,                                        ,PITTSBURGH                              ,PA ,15203-1511,02                                      
02267891,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,CASH & CARRY GAS STATION,1021 PERRY HIGHWAY                                          ,                                        ,PITTSBURGH                              ,PA ,15237     ,02                                      
02255667,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,SRIJIKRUPA LLC,1019 BROOKLINE BLVD                                         ,                                        ,PITTSBURGH                              ,PA ,15226-2201,02                                      
02262427,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,3739 LIBRARY RD                                             ,                                        ,CASTLE SHANNON                          ,PA ,15234-2232,02                                      
02265831,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,PAINTERS RUN SHELL                                          ,1980 PAINTERS RUN RD                    ,PITTSBURGH                              ,PA ,15241-3014,02                                      
02265832,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,PAINTERS RUN MARATHON                                       ,1909 PAINTERS RUN RD                    ,PITTSBURGH                              ,PA ,15241-3013,02                                      
02265833,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,CENTER INDEPENDENT OIL STORES LLC,DOUBLE CAR WASH & SHELL                                     ,2305 ONEIL BLVD                         ,WHITE OAK                               ,PA ,15131-1421,02                                      
02249500,Cig/OTP Retail,2/24/2016,Issued,2/28/2017,A & E DELI LLC,105 BROWNSVILLE ROAD                                        ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
02251698,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,BRICKERS LLC,318-320 CEDAR AVENUE                                        ,                                        ,PITTSBURGH                              ,PA ,15212     ,02                                      
02260329,Cig/OTP Retail,1/20/2016,Issued,2/28/2017,ROYLYN LLC,4982 LIBRARY RD                                             ,                                        ,BETHEL PARK                             ,PA ,15102-2831,02                                      
02265100,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,ANS UNITED INC,2003 S  BRADDOCK AVENUE                                     ,                                        ,PITTSBURGH                              ,PA ,15218     ,02                                      
02262463,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,NEHPRI INC,812 E WARRINGTON AVE                                        ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
70052138,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,Y & M FOODS INC,1350 WILDWOOD RD                                            ,                                        ,GIBSONIA                                ,PA ,15044-7451,02                                      
02263097,Cig/OTP Retail,2/3/2016,Issued,2/28/2017,5 RIVERS GROUP INC,7920 SALTSBURG RD                                           ,                                        ,PLUM                                    ,PA ,15239-1967,02                                      
02261790,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,ADITYA1 INC,3320 MCINTYRE SQUARE DRIV                                   ,7900 MCKNIGHT RD                        ,PITTSBURGH                              ,PA ,15237-4096,02                                      
02252331,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,MIRRIC ENTERTAINMENT LLC,100 WATERFRONT DR                                           ,                                        ,PITTSBURGH                              ,PA ,15222-4736,02                                      
70052140,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,ONESTOP STORE INC,818 DUQUESNE BLVD                                           ,                                        ,DUQUESNE                                ,PA ,15110-1524,02                                      
02261173,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,AHMED ALSUWIDAN,106 WHITAKER ST                                             ,                                        ,HOMESTEAD                               ,PA ,15120-2427,02                                      
02259573,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,PANDW MINI MART INC,410 SCENERY DR                                              ,                                        ,ELIZABETH                               ,PA ,15037-2053,02                                      
02259779,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,ZEE1 LLC,551 N STATE STREET                                          ,                                        ,CLAIRTON                                ,PA ,15025     ,02                                      
02265851,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MOHAMMED BENTAZA,500 2ND ST                                                  ,                                        ,PITCAIRN                                ,PA ,15140-1477,02                                      
02048175,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,LIVINGSTON PHARMACY INC,550 MILLER AVE                                              ,                                        ,CLAIRTON                                ,PA ,15025     ,02                                      
02259689,Cig/OTP Retail,6/28/2016,Issued,2/28/2017,WILLIAMS & SONS INC,8500 FRANKSTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15235-1044,02                                      
02252050,Cig/OTP Retail,3/25/2016,Issued,2/28/2017,CARL NELSON,92 SYLVANIA AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15210-1170,02                                      
02252083,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,ATHWAL PETROLEUM INC,427 BROWNSVILLE RD                                          ,                                        ,MT OLIVER                               ,PA ,15210-2250,02                                      
02258556,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ATHWAL PETROLEUM INC,1643 ARLINGTON AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15210-1722,02                                      
02249985,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HAPPY MINIMART INC,1300A BRODHEAD ROAD                                         ,                                        ,CORAOPOLIS                              ,PA ,15108     ,02                                      
02253582,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,HAPPY MINIMART INC,512 E PITTSBURGH MCKEESPO                                   ,                                        ,N VERSAILLES                            ,PA ,15137-2266,02                                      
02259400,Cig/OTP Retail,3/30/2016,Issued,2/28/2017,MOHAMMAD NAVEED,5880 1/2 FORBES AVENUE                                      ,                                        ,PITTSBURGH                              ,PA ,15217     ,02                                      
02247853,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,TCNK INC,7403 WASHINGTON AVE                                         ,                                        ,SWISSVALE                               ,PA ,15218-2520,02                                      
02228194,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,JOSEPH KRAINC,5319 ROUTE 8                                                ,                                        ,GIBSONIA                                ,PA ,15044-9617,02                                      
02251514,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,KSK ENTERPRISES INC,616 OLD CLAIRTON RD                                         ,                                        ,PITTSBURGH                              ,PA ,15236-4313,02                                      
02217186,Cig/OTP Retail,12/24/2015,Issued,2/28/2017,B T L ENTERPRISES INC,964 ROUTE 8 # 966                                           ,                                        ,GLENSHAW                                ,PA ,15116-2634,02                                      
02256644,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,STICKLER SERVICES LLC,2501 BRIGHTON RD                                            ,                                        ,PITTSBURGH                              ,PA ,15212-2741,02                                      
02267696,Cig/OTP Retail,2/10/2016,Issued,2/28/2017,LUNGA VITA DESIGNS INC,150 E MAIN ST                                               ,SUITE 100                               ,CARNEGIE                                ,PA ,15106     ,02                                      
02267726,Cig/OTP Retail,2/2/2016,Issued,2/28/2017,UNITY TOBACCO & CONVENIENCE STORE LLC,325 UNITY CENTER ROAD                                       ,                                        ,PITTSBURGH                              ,PA ,15239     ,02                                      
02251244,Cig/OTP Retail,7/5/2016,Issued,2/28/2017,RODNEY STEVENSON,7926 FRANKSOWN AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15221     ,02                                      
02268780,Cig/OTP Retail,3/3/2016,Issued,2/28/2017,YANMANG ZHAO,1908 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15222-4416,02                                      
02216546,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,VERONA FOODS INC,200 ALLEGHENY RIVER BLVD                                    ,                                        ,VERONA                                  ,PA ,15147     ,02                                      
02268210,Cig/OTP Retail,4/20/2016,Issued,2/28/2017,DEURALI BAZAR INC,309 BROWNSVILLE ROAD                                        ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
02251307,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MJS FOODS LLC,184 ROCHESTER RD                                            ,                                        ,WEST VIEW                               ,PA ,15229-1334,02                                      
02253032,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MJS FOODS LLC,2215 TEMPERANCE DR                                          ,                                        ,PITTSBURGH                              ,PA ,15237-1521,02                                      
02260533,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,A & F UNITED CORPORATION,412 BROADWAY AVENUE                                         ,                                        ,MCKEES ROCKS                            ,PA ,15136     ,02                                      
02260534,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,A & F UNITED CORPORATION,3112 CHARTIERS AVENUE                                       ,                                        ,PITTSBURGH                              ,PA ,15204     ,02                                      
02000125,Cigarette Stamping Agent & Retail,1/11/2016,Issued,2/28/2017,S & S CANDY & CIGAR COMPANY INC,2025 E CARSON ST                                            ,                                        ,PITTSBURGH                              ,PA ,15203-1901,02                                      
02051447,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHERMANS PHARMACY INC,3417 MAIN ST                                                ,                                        ,MUNHALL                                 ,PA ,15120-3382,02                                      
02239601,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,825 BEAVER GRADE ROAD                                       ,                                        ,CORAOPOLIS                              ,PA ,15108     ,02                                      
02259713,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AA & AA UNITED INC,902 WOOD ST                                                 ,                                        ,PITTSBURGH                              ,PA ,15221-2128,02                                      
02262640,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,CARSON TOBACCO OUTLET LLC,2350 NOBLESTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15205-4128,02                                      
02252294,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,745 WEST INGOMAR ROAD                                       ,                                        ,INGOMAR                                 ,PA ,15127     ,02                                      
02177546,Cig/OTP Retail,1/26/2016,Issued,2/28/2017,SCHULERS SERVICE CENTER INC,293 CORLISS ST                                              ,                                        ,PITTSBURGH                              ,PA ,15220     ,02                                      
02255010,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,4801 MCKNIGHT RD                                            ,                                        ,PITTSBURGH                              ,PA ,15237-3423,02                                      
02264308,Cig/OTP Retail,1/14/2016,Issued,2/28/2017,HERMIA HOLDINGS LP,3800 WALNUT ST                                              ,                                        ,MCKEESPORT                              ,PA ,15132     ,02                                      
02260033,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,301 GRANT STREET                                            ,                                        ,PITTSBURGH                              ,PA ,15219     ,02                                      
02260035,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,436 7TH AVE                                                 ,                                        ,PITTSBURGH                              ,PA ,15219     ,02                                      
02230272,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,BURGS PIZZA & WING PUB INC,533 WASHINGTON AVE                                          ,                                        ,BRIDGEVILLE                             ,PA ,15017     ,02                                      
02230915,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,BLUE HAVEN LOUNGE INC,492 NIXON RD                                                ,                                        ,CHESWICK                                ,PA ,15024-1038,02                                      
02261564,Cig/OTP Retail,1/5/2016,Issued,2/28/2017,PRESTO QWIK STOP,5237 THOMS RUN ROAD                                         ,                                        ,PRESTO                                  ,PA ,15142     ,02                                      
02257617,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,FRANKLIN SQUARE LP,700 BEULAH ROAD                                             ,                                        ,TURTLE CREEK                            ,PA ,15145     ,02                                      
02264797,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,SON INVESTMENTS LLC,310 GRANT ST                                                ,LOBBY - STORE                           ,PITTSBURGH                              ,PA ,15219     ,02                                      
02265329,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AVALON FUEL COMPANY,901 OHIO RIVER BOULEVARD                                    ,                                        ,PITTSBURGH                              ,PA ,15202     ,02                                      
02234279,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,GROGAN BEVERAGE DISTRIBUTORS INC,840 4TH AVE                                                 ,                                        ,CORAOPOLIS                              ,PA ,15108-1569,02                                      
02249158,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,ALLEGHENY SMOKEWORKS INC,217 FREEPORT RD                                             ,                                        ,BLAWNOX                                 ,PA ,15238-3432,02                                      
02265652,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,MONTATHAR KEDHIM,1412 RADFORD ROAD                                           ,                                        ,PITTSBURGH                              ,PA ,15227     ,02                                      
02265746,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,AK & AK UNITED INC,1901 5TH AVENUE                                             ,                                        ,PITTSBURGH                              ,PA ,15219     ,02                                      
02256068,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PALSUN CHUONG,2208 ARLINGTON AVE                                          ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
02181149,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,TUBE CITY CAFE INC,901 5TH AVE                                                 ,                                        ,MCKEESPORT                              ,PA ,15132-2412,02                                      
02247232,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WILLYS BEER & BEVERAGE COMPANY INC,1343 FREEPORT RD                                            ,                                        ,CHESWICK                                ,PA ,15024-1214,02                                      
02238995,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,HAPPY DAY LOUNGE INC,313 NORTH AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15209     ,02                                      
70052139,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,MOHAMMAD ASIF REHANA SIDDIQUI,321 CAMP HOLLOW ROAD                                        ,                                        ,WEST MIFFLIN                            ,PA ,15122     ,02                                      
02257021,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,TWO LOUIES MARKET INC,1233 PENN AVENUE                                            ,                                        ,PITTSBURGH                              ,PA ,15222     ,02                                      
02211221,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,LUIGIS PLACE INC,401 LINCOLN HWY                                             ,                                        ,N VERSAILLES                            ,PA ,15137     ,02                                      
02191503,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,B C HANNA FOODS INC,125 VIRGINIA AVE                                            ,                                        ,MOUNT WASHINGTON                        ,PA ,15211-1611,02                                      
02250833,Cig/OTP Retail,3/17/2016,Issued,2/28/2017,GARY DUDA,393 VANADIUM RD STE 103                                     ,                                        ,PITTSBURGH                              ,PA ,15243-1478,02                                      
02216371,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,JOSEPH KLIMKO,1116 BELL AVE                                               ,                                        ,BRADDOCK                                ,PA ,15104-2670,02                                      
02212236,Cig/OTP Retail,6/15/2016,Issued,2/28/2017,ROBERT J DRUGA,523 LINCOLN AVE                                             ,                                        ,BELLEVUE                                ,PA ,15202-3548,02                                      
02254769,Cig/OTP Retail,12/29/2015,Issued,2/28/2017,NINAS MINI MART INC,6700 UNIVERSITY BLVD                                        ,                                        ,CORAOPOLIS                              ,PA ,15108-2584,02                                      
02219536,Cig/OTP Retail,1/12/2016,Issued,2/28/2017,SYED INC,1101 S BRADDOCK AV                                          ,                                        ,PITTSBURGH                              ,PA ,15218     ,02                                      
02223402,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SCOZIO SUPERMARKETS INC,2001 LINCOLN WAY                                            ,                                        ,WHITE OAK                               ,PA ,15131     ,02                                      
02257689,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,PIPA GROUP LLC,503 MARTINDALE ST                                           ,SUITE 100                               ,PITTSBURGH                              ,PA ,15212     ,02                                      
02201636,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ROMARK FOODS INC,51 WALSH ROAD                                               ,                                        ,PITTSBURGH                              ,PA ,15205     ,02                                      
02233927,Cig/OTP Retail,1/11/2016,Issued,2/28/2017,FLOYDS CONFECTIONARY,10 RIVER RD                                                 ,                                        ,NATRONA                                 ,PA ,15065     ,02                                      
70052143,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,S&I CORP,285 MT LEBANON BLVD                                         ,                                        ,PITTSBURGH                              ,PA ,15234     ,02                                      
02247433,Cig/OTP Retail,1/22/2016,Issued,2/28/2017,B JS BARS UNLIMITED INCORPORATED,BRIAN ALLENBAUGH                                            ,1720 MURRAY AVE                         ,PITTSBURGH                              ,PA ,15217     ,02                                      
02258674,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,GEORGE WELLINGER,136 NINTH STREET                                            ,                                        ,PITTSBURGH                              ,PA ,15222     ,02                                      
02255779,Cig/OTP Retail,2/17/2016,Issued,2/28/2017,JOMARIE PICCINI,3100 VERSAILLES AVE                                         ,                                        ,MCKEESPORT                              ,PA ,15132     ,02                                      
02267236,Cig/OTP Retail,1/28/2016,Issued,2/28/2017,ROSSS MARKET LLC,1850 CENTRE AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15219-4306,02                                      
02268715,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,EXCUSES UNLIMITED INC,2526 EAST CARSON STREET                                     ,                                        ,PITTSBURGH                              ,PA ,15203     ,02                                      
02267371,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,PITA LAND INC,620 BROOKLINE BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15226-2004,02                                      
02206176,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,DALE ANLAUF,214 RODI RD                                                 ,                                        ,PENN HILLS                              ,PA ,15235     ,02                                      
02217161,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SAVE MOR BEER & POP WAREHOUSE INC,4516 BROWNS HILL ROAD                                       ,                                        ,PITTSBURGH                              ,PA ,15217     ,02                                      
02267872,Cig/OTP Retail,3/1/2016,Issued,2/28/2017,KUMARS ASSOCIATIONS INC,4201 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15224     ,02                                      
02268185,Cig/OTP Retail,5/4/2016,Issued,2/28/2017,SYED SHAN,625 STANWIX ST                                              ,                                        ,PITTSBURGH                              ,PA ,15222-1417,02                                      
02268007,Cig/OTP Retail,1/19/2016,Issued,2/28/2017,SECOND IMPRESSIONS NEW & USED LLC,350 CENTER AVE                                              ,                                        ,PITTSBURGH                              ,PA ,15229-1959,02                                      
02262232,Cig/OTP Retail,3/8/2016,Issued,2/28/2017,FRIEND PROPERTIES INC,3739 LIBRARY RD                                             ,                                        ,PITTSBURGH                              ,PA ,15234-2232,02                                      
02263638,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,SMOKE CIGAR SHOP & LOUNGE INC,1597 WASHINGTON PIKE STE A16                                ,                                        ,BRIDGEVILLE                             ,PA ,15017-2874,02                                      
02264247,Cig/OTP Retail,12/31/2015,Issued,2/28/2017,3 DS TOBACCO LLC,3604 5TH AVENUE                                             ,                                        ,PITTSBURGH                              ,PA ,15213     ,02                                      
02264310,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,CORDELIA HOLDINGS LP,5738 SMITHFIELD ST                                          ,                                        ,MCKEESPORT                              ,PA ,15135     ,02                                      
02264569,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,NEW CONTINENTAL SMOKE SHOP LLC,2210 MURRAY AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15217     ,02                                      
70053020,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,OMNI WILLIAM PENN HOTEL                                     ,                                        ,PGH                                     ,PA ,15230     ,02                                      
70053027,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,US STEEL BUILDING                                           ,                                        ,PGH                                     ,PA ,15219     ,02                                      
02262843,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SAHIL INC,5815 LIBRARY RD                                             ,                                        ,BETHEL PARK                             ,PA ,15102-3333,02                                      
70053035,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,FABER COE & GREGG OF PENNA INC,ONE MELLON TOWER                                            ,                                        ,PGH                                     ,PA ,15219     ,02                                      
02264782,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,SAIKRIPA INCORPORATED,620 LINCOLN AVE                                             ,                                        ,BELLVIEW                                ,PA ,15202     ,02                                      
02263198,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,JAY SHAKTI LLC,995 GREENSBURG PIKE                                         ,                                        ,EAST PITTSBURGH                         ,PA ,15112     ,02                                      
02264241,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,SHREE SITARAM ENTERPRISE INC,3402 MAIN STREET                                            ,                                        ,MUNHALL                                 ,PA ,15120     ,02                                      
02215368,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,MARCKISOTTO MARKETS INC,1705 S BRADDOCK AVE                                         ,                                        ,PITTSBURGH                              ,PA ,15218-1865,02                                      
02225190,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,JEFFREY DECKER,838 E WARRINGTON AVE                                        ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
70052032,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 11 FOOD STORE 146 4,10 W PROSPECT AVE & INGRAM AVE                              ,                                        ,PITTSBURGH                              ,PA ,15205     ,02                                      
02258220,Cig/OTP Retail,1/29/2016,Issued,2/28/2017,TULSI OIL CORP,351 STANHOPE ST                                             ,                                        ,PITTSBURGH                              ,PA ,15204-1333,02                                      
02263515,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SOOK KIM,490 EAST NORTH AVE                                          ,STE 101                                 ,PITTSBURGH                              ,PA ,15212-4740,02                                      
