ID,Q1a_Service_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Promote_diversity/inclusiveness,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Are_emp_ethical-way_conduct_business,Q1l_Sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_of_streets-neighborhood,Q2b_Condition_of_sidewalks-neighborhood,Q2c_Maint_of_private_property-neighbor,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_of_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_Most_emphasis,Q3_2nd_emphasis,Q4_Condition_of_your_neighborhood,Q5_Public_safety_concern,Q6_Services/Facility_uses-past_12_mo,Q6_2nd,Q6_3rd,Q6_4th,Q6_5th,Q6_6th,Q6_7th,Q6_8th,Q6_9th,Q6_10th,Q6_11th,Q6_12th,Q6_13th,Q6_14th,Q6_15th,Q6_Other,Q7a_Quality_of_large_parks,Q7b_Recreation_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_history_museum,Q7i_Library_facilities,Q7j_Disability_access-prog/fac,Q8_Most_emphasis-programs,Q8_2nd_-_programs,Q9a_Library_services,Q9b_Condition_of_streets,Q9c_Condition/clarity_st_signs,Q9d_Local_transit_service,Q9e_Traffic_flow_streets,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maint-st/sidewalks,Q9j_Appearance_of_residential_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_svc,Q9p_Water_service,Q9q_Local_polices_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_to_prevent_crims,Q9u_Recreation_prot/svcs,Q9v_Maintenance_city_parks,Q10_Most_emphasis-city_services,Q10_2nd-city_services,Q10_3rd-city_services,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Most_emphasis-social/human_svcs,Q12_2nd-social/human_svcs,Q12_3rd-social/human_svcs,Q13_Use_to_get_information_about_city,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_receive_info,Q13a_2nd_preference,Q13a_3rd_preference,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded,Q14f_How_ell_issue_handled,Q15_City's_top_priority_next_year,Q15_2nd_priority,Q15_3rd_priority,Q15_4th_priority,Q15_5th_priority,Q18a_Years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_yr,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18_j_Have_Smart_Phone,Q18-j_Internet_access-home,Q18k_Visited_downtown_during_past_yr,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Zip,OBJECTID
174,3,3,4,5,4,4,5,3,1,4,3,5,4,3,4,4,2,2,3,4,5,A,C,3,,3,4,8,,,,,,,,,,,,,,3,9,9,3,9,9,1,9,9,9,G,A,9,2,3,3,5,4,3,1,2,1,2,3,4,5,4,4,3,2,1,1,3,2,V,T,U,99,,,,,,,,,2,3,9,5,7,,,,,,,,,5,,,1,4,3,3,3,3,2,3,,,,5,4,1,1,2,2,1,5,1,2,2,1,2,3,,,,,85283,173
175,4,5,4,4,4,4,5,4,3,3,4,3,4,3,3,3,4,9,4,2,3,F,A,4,,2,3,4,11,14,,,,,,,,,,,,4,3,3,3,3,3,4,3,5,9,I,B,5,3,3,4,3,4,4,9,2,3,3,2,4,4,4,4,2,3,9,3,4,4,A,D,J,99,,,,,,,,,1,2,6,4,5,9,,,,,,,,5,9,4,1,2,4,3,3,3,1,4,,,,5,4,1,1,2,1,2,5,1,2,2,1,1,3,,,,,85284,174
176,4,3,9,9,3,4,9,9,3,9,3,9,9,9,4,4,2,4,4,3,3,C,A,4,,2,3,8,11,,,,,,,,,,,,,4,9,9,3,9,9,4,9,4,9,A,I,4,4,3,2,3,4,9,3,3,3,3,4,4,4,4,3,9,4,9,9,9,4,K,E,D,99,,,,,,,,,3,2,6,1,2,5,7,9,,,,,,5,2,7,1,2,4,3,3,9,9,11,,,,4,3,1,1,2,1,1,3,1,1,2,2,1,3,,,,,85282,175
177,4,4,5,2,3,4,4,1,3,3,4,4,4,3,4,4,4,4,4,3,4,F,B,4,,2,3,4,11,12,,,,,,,,,,,,5,4,3,4,1,3,9,4,4,9,E,,4,4,3,2,4,5,3,2,4,4,2,1,4,4,4,5,9,1,3,3,1,2,U,D,L,99,,,,,,,,,99,,,2,5,,,,,,,,,3,5,2,1,4,5,5,5,5,1,10,,,,1,1,2,1,1,2,1,3,1,2,1,1,1,3,,,,,85281,176
178,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,C,,5,,2,4,7,11,12,14,,,,,,,,,,,5,5,5,5,5,5,9,5,5,9,Z,,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,K,J,H,99,,,,,,,,,7,4,3,5,6,7,9,,,,,,,5,6,9,2,,,,,,1,2,,,,5,4,2,1,2,1,1,4,1,1,2,1,1,3,,,,,85282,177
179,4,4,4,4,5,3,3,3,3,4,4,4,3,4,4,4,2,4,4,3,2,G,C,2,,2,3,4,6,11,14,,,,,,,,,,,5,9,9,4,4,3,9,5,5,9,Z,,4,3,2,5,4,3,3,2,2,2,3,3,5,5,5,5,5,5,5,5,4,3,V,U,,99,,,,,,,,,99,,,5,9,,,,,,,,,9,5,2,1,4,5,5,5,5,4,6,,,,4,4,2,1,2,1,1,3,2,1,1,1,1,3,,,,,85282,178
180,4,3,3,3,3,1,3,4,3,9,9,4,9,3,4,4,2,3,1,4,4,E,C,4,,3,4,6,8,11,14,,,,,,,,,,,4,9,9,9,9,9,4,9,9,9,Z,,9,4,4,5,4,5,2,2,5,2,3,2,5,5,9,4,4,4,5,2,9,4,T,L,J,99,,,,,,,,,99,,,3,7,9,,,,,,,,3,,,2,,,,,,3,11,,,,4,1,2,1,1,2,1,5,1,1,1,1,1,3,,,,,85282,179
181,4,4,4,3,4,3,2,3,2,3,4,4,4,3,5,5,3,2,3,4,4,D,E,4,,2,8,11,,,,,,,,,,,,,,4,4,4,4,4,4,5,4,5,5,Z,,4,4,5,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,Q,T,O,99,,,,,,,,,3,2,4,1,4,5,7,9,,,,,,8,6,3,1,4,4,4,4,4,8,9,11,,,5,5,1,2,2,2,1,4,1,1,2,1,1,4,,,,,85282,180
182,3,3,4,9,4,4,9,2,3,3,9,3,2,3,4,4,2,4,4,5,3,C,G,3,,2,3,8,11,,,,,,,,,,,,,4,9,9,9,9,9,4,9,4,9,Z,,4,4,4,4,4,4,4,9,4,3,3,3,4,4,4,2,4,4,4,4,9,4,J,H,P,99,,,,,,,,,99,,,5,,,,,,,,,,99,,,2,,,,,,6,9,,,,4,3,1,1,2,1,1,4,1,1,2,1,1,3,,,,,85282,181
183,5,5,5,4,5,2,5,4,4,3,3,5,3,3,4,4,4,3,2,4,4,E,A,5,,2,12,,,,,,,,,,,,,,,4,4,3,3,3,4,4,4,4,3,Z,,4,4,4,4,2,4,3,3,4,4,4,4,4,2,3,3,4,4,4,2,4,4,N,T,E,99,,,,,,,,,99,,,8,9,,,,,,,,,8,9,,2,,,,,,9,10,,,,4,4,2,2,2,1,1,3,2,2,1,1,1,3,,,,,85283,182
184,5,5,5,9,5,5,9,3,9,9,9,9,9,9,5,5,5,5,5,9,5,E,A,5,,99,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,Z,,9,5,5,9,5,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,9,9,T,Q,S,99,,,,,,,,,99,,,5,7,9,,,,,,,,5,7,9,2,,,,,,99,,,,,5,5,2,2,2,2,1,2,1,1,2,1,2,3,,,,,85283,183
185,4,4,4,3,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,3,3,G,A,4,,2,3,12,,,,,,,,,,,,,,4,4,9,4,4,4,9,9,5,4,I,A,5,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,9,3,5,4,E,B,D,99,,,,,,,,,2,7,9,2,5,,,,,,,,,2,5,9,2,,,,,,8,12,,,,5,4,2,2,2,1,2,5,1,1,1,1,2,3,,,,,85283,184
186,5,5,3,4,4,3,4,4,4,4,4,9,4,5,5,5,4,9,3,5,5,E,C,4,,7,,,,,,,,,,,,,,,,4,4,9,9,9,4,9,4,4,4,J,,4,4,4,9,4,4,9,3,4,4,3,4,5,5,5,5,4,4,4,3,4,4,T,K,H,99,,,,,,,,,99,,,1,5,,,,,,,,,5,,,1,4,4,4,4,4,2,11,,,,5,5,2,2,2,1,2,4,1,1,2,1,2,3,,,,,85283,185
187,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,C,D,5,,2,3,4,5,8,10,11,12,13,14,,,,,,,5,5,5,5,5,5,5,5,5,5,F,E,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,U,J,I,99,,,,,,,,,99,,,2,5,7,8,9,,,,,,9,8,5,2,,,,,,4,7,,,,5,3,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85283,186
188,4,4,4,4,4,4,3,3,3,3,3,2,3,4,4,4,2,2,4,4,2,C,G,3,,2,3,4,11,14,,,,,,,,,,,,4,3,3,3,3,4,3,3,4,3,F,I,3,3,2,2,4,4,4,2,2,2,2,2,4,4,4,2,3,3,3,3,4,4,C,D,H,99,,,,,,,,,99,,,5,7,9,,,,,,,,9,7,5,1,4,4,4,4,4,2,3,,,,5,4,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85283,187
189,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,C,,4,,2,3,4,6,7,8,10,11,12,13,14,,,,,,5,5,5,5,5,5,5,5,5,5,F,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,F,D,,99,,,,,,,,,99,,,2,5,6,9,10,,,,,,2,5,,1,5,5,5,5,5,2,10,,,,5,5,2,1,2,1,1,5,1,1,1,1,1,3,,,,,85282,188
190,9,4,4,4,4,2,2,3,3,1,1,3,1,1,4,1,3,4,1,2,3,E,B,3,,3,4,10,11,13,,,,,,,,,,,,4,2,3,4,3,2,3,3,1,3,F,I,1,4,4,2,2,1,4,2,1,3,4,4,3,3,4,3,4,2,4,2,2,2,R,T,U,99,,,,,,,,,2,4,9,2,7,9,,,,,,,,99,,,2,,,,,,8,11,,,,5,4,2,1,2,1,2,3,2,1,1,1,1,3,,,,,85283,189
191,4,5,4,4,5,4,4,4,3,4,3,4,4,4,4,4,4,9,4,5,5,E,,5,,2,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,5,9,Z,,4,4,4,9,3,4,4,4,3,3,4,4,5,5,4,4,4,4,5,4,9,4,Z,,,99,,,,,,,,,99,,,1,5,7,9,,,,,,,99,,,2,,,,,,10,,,,,5,5,2,2,2,1,2,3,1,1,2,1,1,3,,,,,85284,190
192,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,C,A,4,,3,4,6,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,F,H,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,H,J,T,99,,,,,,,,,99,,,4,5,7,9,,,,,,,5,7,9,1,5,5,5,5,5,8,12,,,,4,5,2,2,2,2,1,5,1,1,2,1,1,3,,,,,85283,191
193,5,4,5,4,5,4,9,9,9,4,9,9,9,9,4,4,4,5,9,4,5,A,,4,,2,3,6,,,,,,,,,,,,,,4,4,9,5,5,4,3,9,5,5,A,,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,3,5,5,5,9,9,4,Q,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,9,,,,,,99,,,,,9,9,1,2,9,2,9,9,2,2,2,2,2,0,,,,,85284,192
194,4,4,4,1,4,4,3,3,2,4,5,2,4,4,4,4,4,9,4,4,5,A,E,5,,2,14,,,,,,,,,,,,,,,9,9,9,9,9,3,9,3,4,2,F,I,3,4,4,4,4,4,4,1,2,3,3,4,4,4,5,4,4,4,4,4,9,9,Z,,,99,,,,,,,,,7,2,3,1,5,,,,,,,,,6,5,9,1,5,5,5,4,4,8,10,,,,5,6,1,2,2,1,2,5,1,1,1,1,1,2,,,,,85283,193
195,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,C,E,5,,1,2,3,4,10,11,14,,,,,,,,,,5,5,9,5,5,5,9,9,5,9,Z,,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,9,5,9,5,5,Z,,,99,,,,,,,,,99,,,2,4,5,7,9,,,,,,2,5,7,9,,,,,,10,11,,,,5,5,2,1,2,1,1,5,1,2,2,1,1,3,,,,,85283,194
196,9,3,3,9,3,3,3,9,9,9,9,9,9,9,3,3,3,9,3,3,4,E,A,4,,3,4,5,6,,,,,,,,,,,,,4,9,9,3,3,3,9,9,9,3,F,E,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,2,3,3,3,3,R,N,T,99,,,,,,,,,99,,,7,9,,,,,,,,,5,9,7,1,3,3,3,3,3,99,,,,,1,4,2,2,2,2,2,9,1,1,2,1,1,3,,,,,85283,195
197,3,4,4,3,3,4,3,3,3,3,3,2,2,3,3,3,3,2,4,4,2,G,D,4,,3,10,12,13,,,,,,,,,,,,,3,4,4,4,4,4,9,3,4,9,A,F,3,4,4,2,2,3,3,3,3,3,3,3,4,1,2,4,4,4,4,4,4,3,N,E,D,99,,,,,,,,,1,6,2,7,9,10,,,,,,,,10,7,9,1,4,4,4,3,4,9,11,,,,4,1,2,2,1,2,2,4,1,1,1,1,1,3,,,,,85283,196
198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,D,F,5,,2,4,5,,,,,,,,,,,,,,5,9,9,5,5,4,9,9,4,9,D,E,4,5,5,9,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,E,A,D,99,,,,,,,,,9,2,6,5,7,9,10,,,,,,,99,,,2,,,,,,3,11,,,,5,5,1,2,2,1,1,5,1,1,2,1,1,3,,,,,85283,197
199,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,D,A,3,,4,8,,,,,,,,,,,,,,,4,3,3,3,3,3,4,9,4,9,G,A,4,4,5,9,4,5,4,2,4,3,3,4,5,5,5,5,5,5,5,5,4,4,Q,S,J,1,,,,,,,,,1,7,6,5,7,,,,,,,,,7,5,,1,4,4,4,4,4,3,11,,,,5,4,2,2,2,1,1,4,1,1,1,1,1,3,,,,,85283,198
200,5,4,4,4,4,4,5,4,3,4,3,4,3,4,4,4,3,4,3,3,3,E,C,3,,2,3,4,11,14,,,,,,,,,,,,4,9,9,9,4,4,4,4,4,9,I,A,2,4,4,4,4,4,4,3,4,2,2,4,4,4,4,4,4,4,4,3,4,4,T,A,N,1,,,,,,,,,9,4,5,1,5,7,8,9,,,,,,5,1,,2,,,,,,1,6,,,,5,4,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85283,199
201,4,4,4,4,5,4,5,4,4,3,3,4,2,2,4,4,5,4,9,4,4,A,E,5,,3,4,8,,,,,,,,,,,,,,4,3,3,3,3,3,2,9,9,9,G,A,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,Q,P,M,99,,,,,,,,,99,,,8,,,,,,,,,,8,4,5,2,,,,,,8,9,,,,4,6,1,2,2,1,2,5,1,1,1,1,1,3,,,,,85284,200
202,3,2,2,3,3,3,3,1,1,1,1,1,1,1,3,3,3,9,3,3,2,G,,3,,8,,,,,,,,,,,,,,,,3,3,3,1,3,3,2,9,9,9,G,D,9,3,2,9,2,9,2,1,2,2,2,1,3,3,1,1,9,9,9,9,9,3,Z,,,99,,,,,,,,,99,,,9,,,,,,,,,,99,,,1,3,3,3,3,3,6,9,,,,5,5,1,2,2,1,2,2,1,1,2,1,2,3,,,,,85283,201
203,4,4,5,4,4,5,4,3,3,3,3,3,2,4,4,4,4,9,2,5,1,G,E,2,,2,3,4,5,10,11,13,14,,,,,,,,,9,5,5,5,5,5,9,5,5,5,E,F,5,5,2,5,3,4,3,3,4,3,3,3,5,3,5,9,2,1,5,3,3,5,A,G,R,4,9,,,,,,,,9,5,1,4,5,7,,,,,,,,2,7,2,1,4,4,4,4,4,1,4,,,,5,3,1,1,2,1,2,3,1,1,1,2,1,3,4,,,,85281,202
204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,9,,2,3,6,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,Z,,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,1,4,4,4,4,4,99,,,,,1,4,2,1,2,1,1,2,1,2,2,1,1,4,,,,,85283,203
205,4,4,4,4,5,4,4,4,3,3,3,4,3,4,4,4,3,3,4,4,4,C,G,4,,2,3,4,5,11,12,13,,,,,,,,,,4,3,3,3,3,3,3,3,4,3,D,E,4,4,4,4,3,4,4,3,3,3,3,4,4,5,5,4,4,3,3,4,3,4,E,H,I,9,,,,,,,,,9,7,,1,2,5,8,,,,,,,8,5,1,2,,,,,,2,10,,,,4,3,1,1,2,1,1,5,1,1,1,1,1,3,,,,,85281,204
206,5,4,5,9,5,4,5,9,4,5,9,5,3,4,5,4,4,4,4,5,5,C,E,4,,3,4,7,11,,,,,,,,,,,,,5,9,9,5,9,9,9,5,5,9,A,E,9,5,5,5,5,5,4,3,4,4,5,5,5,5,5,5,4,5,9,4,9,5,D,J,T,99,,,,,,,,,2,3,9,5,9,,,,,,,,,5,9,6,1,5,5,5,5,5,6,9,,,,4,1,1,1,2,2,1,4,1,1,2,1,1,3,,,,,85283,205
207,4,5,4,4,5,5,5,5,5,4,4,5,5,4,2,2,3,3,4,4,3,A,,9,,2,3,4,7,,,,,,,,,,,,,4,3,3,4,4,4,3,4,4,3,C,J,4,2,4,4,3,4,4,2,2,4,4,4,4,4,4,4,5,2,9,3,4,4,Z,,,1,,,,,,,,,3,1,9,2,5,7,9,,,,,,,99,,,1,9,9,9,9,5,3,6,,,,9,9,1,2,9,2,9,9,2,2,2,2,2,0,,,,,85282,206
208,5,4,4,3,4,4,3,3,3,3,9,3,4,4,4,4,4,9,4,3,4,E,F,4,,2,3,4,7,12,,,,,,,,,,,,5,4,9,9,9,9,9,4,4,9,A,E,5,5,5,4,3,4,3,9,3,4,4,4,5,5,5,5,9,2,9,9,9,4,R,V,D,99,,,,,,,,,1,6,7,2,5,8,,,,,,,,8,6,5,1,4,4,4,4,4,6,8,,,,4,4,2,1,2,1,2,5,1,1,1,1,1,3,,,,,85284,207
209,5,5,5,4,5,9,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,A,C,3,,4,8,,,,,,,,,,,,,,,4,4,4,4,4,4,4,3,9,3,E,G,9,2,4,9,2,4,3,2,3,4,3,2,4,4,4,4,4,4,4,4,9,4,B,H,Q,99,,,,,,,,,99,,,5,7,9,,,,,,,,5,,,2,,,,,,6,8,,,,4,4,1,1,2,1,2,3,1,1,2,1,2,3,,,,,85283,208
210,4,4,4,3,3,4,9,9,3,3,9,4,2,2,4,4,2,9,4,4,2,Z,,9,,2,3,4,7,7,14,,,,,,,,,,,4,9,9,9,9,9,9,4,4,9,Z,,3,4,4,9,3,4,3,2,3,3,4,4,5,9,5,5,4,4,5,3,3,3,T,H,J,99,,,,,,,,,99,,,5,7,8,9,,,,,,,99,,,2,,,,,,4,6,,,,1,4,1,2,2,1,2,5,1,1,1,1,1,3,,,,,85284,209
211,4,4,4,3,5,4,3,3,3,3,4,3,3,3,4,4,2,9,4,5,4,C,G,3,,2,3,4,,,,,,,,,,,,,,4,4,4,4,9,4,4,4,5,9,A,G,5,3,3,3,3,4,3,2,3,2,2,4,4,4,4,3,4,4,4,4,4,4,R,T,,99,,,,,,,,,7,9,2,1,5,7,9,,,,,,,5,,,1,4,3,4,3,4,6,10,,,,4,5,1,1,2,1,2,4,1,1,2,1,2,1,,,,,85283,210
212,4,3,4,4,4,4,3,4,3,3,4,3,2,2,2,2,2,4,2,5,1,G,B,3,,2,3,4,6,,,,,,,,,,,,,5,9,9,9,9,9,9,9,5,9,J,F,5,4,4,3,4,4,3,4,4,4,4,1,3,4,9,4,4,3,9,9,9,4,L,D,M,99,,,,,,,,,7,3,4,1,4,8,10,,,,,,,10,8,4,1,2,2,9,1,1,1,9,,,,1,1,1,2,1,2,1,4,1,2,2,1,1,3,,,,,85282,211
213,4,4,5,4,5,3,4,4,3,3,5,4,4,4,2,4,3,2,3,9,2,E,G,3,,2,4,7,12,,,,,,,,,,,,,9,9,9,9,9,9,9,5,5,9,H,I,5,3,4,4,4,5,5,2,2,3,4,3,5,5,5,5,2,1,9,4,9,9,R,H,I,99,,,,,,,,,99,,,4,5,6,,,,,,,,6,4,5,1,5,5,4,4,4,8,11,,,,1,4,1,2,2,1,1,5,1,2,1,1,2,3,,,,,85282,212
214,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,9,5,5,3,B,,3,,99,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,Z,,9,3,3,9,3,2,4,3,4,3,4,5,5,5,5,5,5,5,5,5,9,3,D,H,J,99,,,,,,,,,99,,,7,,,,,,,,,,99,,,1,5,5,5,4,5,3,6,,,,1,6,2,2,2,1,2,4,1,1,2,2,1,3,,,,,85281,213
215,5,9,9,9,5,4,5,9,4,9,9,4,4,9,4,4,4,4,3,9,4,E,C,4,,11,,,,,,,,,,,,,,,,4,9,9,9,9,9,9,4,9,9,Z,,9,4,5,4,4,9,4,3,4,9,9,4,4,5,5,5,5,5,9,9,9,9,Z,,,99,,,,,,,,,99,,,5,7,,,,,,,,,5,7,,1,4,4,4,4,4,10,11,,,,1,5,2,1,2,1,1,3,1,1,2,1,2,3,,,,,85281,214
216,9,4,4,9,3,3,9,9,9,9,9,9,9,9,4,4,4,9,3,4,4,E,G,3,,2,11,,,,,,,,,,,,,,,4,9,9,9,9,9,9,9,4,9,J,I,3,4,4,4,4,4,9,9,4,4,4,4,9,9,9,9,9,9,9,9,9,4,Z,,,99,,,,,,,,,99,,,99,,,,,,,,,,99,,,2,,,,,,99,,,,,1,4,2,1,2,2,1,2,2,2,2,2,1,3,,,,,85281,215
217,4,4,5,4,4,3,3,3,3,9,9,9,3,4,4,3,2,4,3,4,4,E,C,3,,3,14,,,,,,,,,,,,,,,5,4,4,9,9,4,4,4,9,4,E,J,9,4,5,4,4,4,4,4,2,3,4,4,5,5,5,5,5,3,9,4,4,5,J,R,T,99,,,,,,,,,9,2,4,4,5,9,,,,,,,,5,4,9,1,5,5,4,5,5,6,11,,,,1,5,1,2,2,1,1,3,1,2,2,1,1,3,,,,,85282,216
218,4,4,4,2,4,2,4,2,4,4,4,4,2,4,4,4,2,4,2,4,2,E,C,3,,1,2,3,4,5,6,7,11,12,14,,,,,,,5,4,4,4,4,4,3,4,5,5,I,A,5,4,4,5,4,4,5,2,5,2,3,5,4,5,5,5,5,5,5,4,4,4,Z,,,5,9,,,,,,,,9,7,2,2,3,6,8,9,,,,,,6,3,8,1,4,5,4,4,4,1,8,,,,1,3,2,1,2,2,1,3,1,2,2,1,1,3,,,,,85282,217
219,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,2,G,C,4,,2,3,4,7,9,10,11,,,,,,,,,,4,4,1,4,4,4,3,4,4,3,C,F,2,2,2,4,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,C,A,B,99,,,,,,,,,4,7,3,2,5,8,9,,,,,,,8,5,2,2,,,,,,1,3,,,,1,4,2,1,2,1,1,5,1,1,2,1,1,3,,,,,85282,218
220,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,F,,4,,2,3,4,5,10,11,,,,,,,,,,,4,4,3,4,3,3,3,3,4,3,A,D,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,V,D,F,9,,,,,,,,,99,,,2,5,,,,,,,,,5,3,6,2,,,,,,7,10,,,,4,2,2,1,2,2,1,3,1,1,1,1,1,3,,,,,85282,219
221,4,4,4,3,5,4,4,4,3,3,4,3,3,3,5,5,3,4,4,5,4,Z,,9,,2,3,8,10,11,14,,,,,,,,,,,5,3,4,3,4,3,4,4,5,4,B,J,4,5,4,5,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,E,I,K,99,,,,,,,,,2,7,9,2,5,7,,,,,,,,6,7,8,1,3,3,3,3,4,6,11,,,,9,9,1,2,9,2,9,9,2,2,2,2,2,0,,,,,85281,220
222,4,4,4,9,4,4,9,4,9,9,4,4,4,4,4,4,3,4,3,4,4,E,C,4,,1,2,3,11,14,,,,,,,,,,,,4,4,9,9,9,4,9,9,5,4,A,F,5,4,4,4,4,3,4,2,4,3,4,4,4,4,4,4,4,4,5,3,4,4,T,H,J,2,,,,,,,,,99,,,5,7,9,,,,,,,,99,,,2,,,,,,6,,,,,1,5,1,1,2,1,1,4,1,1,2,1,1,3,,,,,85281,221
223,5,5,5,5,3,3,4,3,4,4,4,3,5,5,5,5,5,3,2,4,4,E,D,3,,2,3,11,,,,,,,,,,,,,,5,5,5,5,5,5,9,2,5,9,I,F,5,5,5,5,5,5,5,3,3,3,3,5,3,1,2,4,4,4,4,2,5,5,T,N,M,4,9,,,,,,,,4,7,2,2,9,,,,,,,,,2,4,9,2,,,,,,6,8,,,,4,2,2,1,2,2,1,3,1,2,1,1,1,3,,,,,85283,222
224,4,4,4,9,4,4,9,4,4,3,9,4,4,4,4,2,4,9,4,4,4,B,,4,,2,3,4,14,,,,,,,,,,,,,4,4,9,9,9,9,9,9,4,9,I,A,4,4,4,9,4,4,4,9,4,4,4,4,5,5,4,5,4,3,9,4,9,4,R,A,B,99,,,,,,,,,99,,,5,7,8,9,10,,,,,,9,10,8,1,4,4,4,4,3,3,11,,,,4,4,1,1,2,2,2,5,1,1,1,1,1,3,,,,,85284,223
225,5,5,4,9,4,4,9,9,4,9,9,4,4,5,5,5,9,4,4,3,4,F,,3,,2,3,4,5,6,14,,,,,,,,,,,5,4,4,4,3,9,9,9,5,9,A,B,5,5,4,3,3,3,4,3,4,4,5,5,5,5,5,5,4,4,9,3,5,5,F,J,T,99,,,,,,,,,7,9,,2,5,8,,,,,,,,6,8,5,2,,,,,,6,8,11,,,1,2,2,2,2,1,1,5,1,2,1,1,1,3,,,,,85281,224
