478.longitude,-65.63229325426207,-87.6797791725
243.address,6520 W FULLERTON VAE,6520 W FULLERTON AVE
92.xcoordinate,1233670.3464319014,1179727.9186004675
107.communityareaname,AUBURN GRESHMA,AUBURN GRESHAM
276.communityareaname,NEW CeITY,NEW CITY
83.buffersize,rA,A
237.buffersize,***,B
189.xcoordinate,1570033.0076029426,1165344.9554057205
430.buffersize,,B
84.storename,FAIRWAYFOOD,FAIRWAY FOOD
378.storename,SAFA HFOOD & LIQUOR INC,SAFAH FOOD & LIQUOR INC
358.locationvalue,"(41.9527315616, -b87.7866984426)","(41.9527315616, -87.7866984426)"
58.storename,DIA FfOOD & LIQUOR,DIA FOOD & LIQUOR
324.storename,"SZYMANSKI BROS,INC","SZYMANSKI BROS, INC"
121.xcoordinate,569875.7412833599,1165876.7323615912
380.address,5820 N MILWAUKEE AEV,5820 N MILWAUKEE AVE
37.xcoordinate,627330.4521748971,1158083.1371978272
142.longitude,-49.75519541466771,-87.6549446417
239.buffersize,,B
376.buffersize,***,A
94.locationvalue,"(41.7935k891795, -87.7059457835)","(41.7935891795, -87.7059457835)"
393.storename,WALREENS #2923,WALGREENS #2923
395.storename,CERMAK PRODUCE N.O4,CERMAK PRODUCE NO.4
482.address,2626  WDEVON AVE,2626 W DEVON AVE
160.address,1455 E 57THS T,1455 E 57TH ST
413.xcoordinate,1310867.1843722076,1177546.7151574378
383.storename,LDI INC.#94,ALDI INC.#94
49.longitude,-109.29405843037847,-87.6741950831
485.longitude,-57.91165315435754,-87.75715377
309.address,2505  WDEVON AVE,2505 W DEVON AVE
249.xcoordinate,1696707.184357359,1185427.7053456623
299.xcoordinate,1769791.4541278495,1163123.8579016312
447.communityareaname,UMBOLDT PARK,HUMBOLDT PARK
377.communityareaname,OLGAN SQUARE,LOGAN SQUARE
292.address,2132 W AWSHINGTON BLVD,2132 W WASHINGTON BLVD
502.storename,ALGREENS #11410,WALGREENS #11410
449.buffersize,***,B
49.xcoordinate,1420876.5197723466,1163612.486268729
411.communityareaname,AUTSIN,AUSTIN
193.xcoordinate,1708246.0998990848,1124182.6943602774
486.longitude,-92.25267721383248,-87.673819384
178.xcoordinate,1618998.1372991113,1171851.2202830324
334.communityareaname,UASTIN,AUSTIN
84.locationvalue,"(41.750053919, -87.5540154169)","(41.7520053919, -87.5540154169)"
316.address,420 S PULASKI pRD,420 S PULASKI RD
355.locationvalue,"(41.9458951009, -87.7566458253)","(41.9458951009, -87.7566458523)"
447.longitude,-53.939508310083106,-87.731971257
102.communityareaname,EAR WEST SIDE,NEAR WEST SIDE
205.address,6315 S KEDZIE AVfE,6315 S KEDZIE AVE
467.address,4459 W BELMOT AVE,4459 W BELMONT AVE
443.longitude,-128.57791705326707,-87.6499748357
248.communityareaname,NORT LAWNDALE,NORTH LAWNDALE
88.storename,RIVIERA FOOSD,RIVIERA FOODS
134.xcoordinate,1712585.469907007,1149393.3785912676
314.locationvalue,"(41.9e24490094, -87.717288131)","(41.924490094, -87.717288131)"
21.buffersize,,A
410.buffersize,***,A
17.longitude,-79.19647133522254,-87.5507331066
374.locationvalue,"(41.9100080401, -87.725438463)","(41.9100080401, -87.7254384633)"
402.locationvalue,"(41.956627719, -87.637220715)","(41.8956627719, -87.637220715)"
41.xcoordinate,1664800.3165791845,1172808.5237505026
99.buffersize,qB,B
123.storename,79 FOOD BASET,79 FOOD BASKET
214.locationvalue,"(41.7189121563, -87.5511472972)","(41.7189121563, -87.5511742972)"
503.xcoordinate,1412134.548788624,1165430.1932639398
166.longitude,-71.67562816357993,-87.654627843
20.xcoordinate,1768030.9678104678,1150230.934098818
450.xcoordinate,602200.0396763532,1152248.064583996
38.longitude,-56.67532626787889,-87.644215021
247.storename,COUNTY FAIR FOOSD,COUNTY FAIR FOODS
469.communityareaname,NEW CIoTY,NEW CITY
329.xcoordinate,1692110.5631542304,1145926.587677359
486.xcoordinate,869444.466345685,1164163.508986039
31.locationvalue,"(41.969466747, -87.654674059)","(41.9690466747, -87.654674059)"
133.locationvalue,"(h41.7830611377, -87.6835988697)","(41.7830611377, -87.6835988697)"
320.buffersize,,A
385.xcoordinate,1567911.7507368273,1167009.0043373122
489.storename,K BUENqA,K BUENA
214.longitude,-98.76980826927584,-87.5511742972
309.longitude,-116.24491477780329,-87.6925485988
316.communityareaname,WES GARFIELD PARK,WEST GARFIELD PARK
144.buffersize,xA,A
487.xcoordinate,1291751.670457422,1154081.8181969763
33.storename,DOMINICK'S #1857,DOMINICK'S #1875
230.locationvalue,"(41.938985689, -87.8069290648)","(41.9389859689, -87.8069290648)"
96.address,1436 N ASHLAN AVE,1436 N ASHLAND AVE
1.communityareaname,AUTSIN,AUSTIN
501.xcoordinate,688311.6473501269,1157251.3653392585
353.communityareaname,CbHICAGO LAWN,CHICAGO LAWN
291.xcoordinate,1051658.5317117255,1137381.6671338268
161.longitude,-52.06327579992457,-87.6314908914
487.storename,"CARNIyCERIA LA HACIENDA, INC.","CARNICERIA LA HACIENDA, INC."
238.buffersize,***,A
90.locationvalue,"(41.8015768493, -87.6537884728)","(41.8015768439, -87.6537884728)"
370.address,1051 W ARqGYLE ST,1051 W ARGYLE ST
267.xcoordinate,747699.1885066302,1167882.5854297176
451.storename,ENIL'S FOOD,NEIL'S FOOD
106.xcoordinate,637726.4981481034,1166221.8718805332
16.locationvalue,"(41.90950514w77, -87.7469599363)","(41.9095051477, -87.7469599363)"
105.buffersize,***,B
283.locationvalue,"(41.9021664421, -87.7531823487)***","(41.9021664421, -87.7531823487)"
328.storename,FIESTA SUPERMARACDO,FIESTA SUPERMARCADO
349.buffersize,lB,B
257.address,7500 S ECHANGE AVE,7500 S EXCHANGE AVE
106.locationvalue,"(41.8364683u477, -87.6655669021)","(41.8364683477, -87.6655669021)"
369.xcoordinate,1486330.982824191,1168693.6301710368
84.longitude,-119.3724336771791,-87.5540154169
74.xcoordinate,634704.1373372248,1136654.0460147965
105.longitude,-91.86352101072002,-87.653559279
312.locationvalue,"(41.7509837901, -87.628961454)5","(41.7509837901, -87.6289614545)"
366.buffersize,***,A
109.xcoordinate,567704.1943690493,1132586.7487749453
143.xcoordinate,712400.8482590467,1172839.7694387864
159.locationvalue,"(41.952015577, -87.8331668434)","(41.9520185577, -87.8331668434)"
94.buffersize,,B
343.address,6415 N CENTRALo AVE,6415 N CENTRAL AVE
446.xcoordinate,582704.3097204993,1169479.083339986
94.address,326 W 55TH ST,3260 W 55TH ST
247.xcoordinate,1594054.479159621,1162271.3113898507
52.address,2024 E 93xRD ST,2024 E 93RD ST
252.xcoordinate,1344848.277236401,1151180.725291618
41.storename,ALDI IN. #96,ALDI INC. #96
285.storename,MR G'S FODO & LIQUOR,MR G'S FOOD & LIQUOR
2.address,2751 W PRATT BdLVD,2751 W PRATT BLVD
387.buffersize,,B
238.storename,FODSMART,FOODSMART
303.xcoordinate,1384862.154790518,1168791.2989530065
412.locationvalue,"(41.8956153135, -87.7067053k251)","(41.8956153135, -87.7067053251)"
374.xcoordinate,635287.7077528577,1149716.5197041433
405.communityareaname,ARCHER HEGIHTS,ARCHER HEIGHTS
4.storename,CERAMK PRODUCE,CERMAK PRODUCE
400.buffersize,,A
139.communityareaname,ROGERvS PARK,ROGERS PARK
195.locationvalue,"(41.758293315, -87.615341087)","(41.758293315, -87.6153541087)"
451.longitude,-113.37581105350984,-87.6439505248
71.longitude,-123.04243567441458,-87.6918369148
251.address,2828 N CuENTRAL AVE,2828 N CENTRAL AVE
111.buffersize,***,B
214.xcoordinate,796399.2315575171,1197784.6295619695
297.communityareaname,MCIKNLEY PARK,MCKINLEY PARK
125.longitude,-61.955202492463705,-87.6625336585
298.address,3523 WL AWRENCE AVE,3523 W LAWRENCE AVE
230.buffersize,,A
407.xcoordinate,1502764.8828739852,1162477.1804368603
23.storename,CUENCA'S BAKERY  GROCERIES,CUENCA'S BAKERY & GROCERIES
15.buffersize,oA,A
261.locationvalue,"(41.80876829, -z87.66098821)","(41.80876829, -87.66098821)"
483.address,4106 Nb SHERIDAN RD,4106 N SHERIDAN RD
16.buffersize,,A
372.buffersize,wA,A
292.buffersize,***,B
137.locationvalue,"(41.975920168, -87.6916681219)","(41.9975920168, -87.6916681219)"
398.locationvalue,"41.722466242, -87.5666730521)","(41.722466242, -87.5666730521)"
261.address,1424 W4 7TH ST,1424 W 47TH ST
285.buffersize,***,B
8.longitude,-107.92648863215524,-87.7194165758
51.storename,SANABEL GROCERY k& BAKERY,SANABEL GROCERY & BAKERY
44.address,36c24 W BELMONT AVE,3624 W BELMONT AVE
301.buffersize,***,B
436.buffersize,***,A
97.buffersize,xA,A
243.locationvalue,"(4.19237604017, -87.7887477626)","(41.9237604017, -87.7887477626)"
218.address,344 gE 63RD ST,344 E 63RD ST
6.longitude,-49.06836525398299,-87.6952511581
340.xcoordinate,776165.9930704902,1159966.2941524496
60.locationvalue,"(41.7367954576, -875.862725091)","(41.7367954576, -87.5862725091)"
32.locationvalue,"(41.967629159,7 -87.7083036873)","(41.9676291597, -87.7083036873)"
468.locationvalue,"(41.8416044818, -87.6319r155034)","(41.8416044818, -87.6319155034)"
210.address,2940 N ASHLAND AEV,2940 N ASHLAND AVE
453.address,5343 N BROAWDAY,5343 N BROADWAY
130.storename,CARNICREIA JIMENEZ #2,CARNICERIA JIMENEZ #2
169.longitude,-109.44763475130819,-87.7890953687
149.xcoordinate,1063463.1526165712,1163903.5084818443
303.buffersize,***,B
426.longitude,-94.24344707281115,-87.6155996011
219.longitude,-73.98198678617536,-87.5818436939
20.buffersize,tB,B
17.xcoordinate,973136.9505633875,1197923.0118507417
332.longitude,-93.40715742530558,-87.6646953279
193.address,6783 N NRTHWEST HWY,6783 N NORTHWEST HWY
143.storename,SAVE-AL-OT  #851,SAVE-A-LOT  #851
124.buffersize,***,A
184.communityareaname,NERA NORTH SIDE,NEAR NORTH SIDE
165.address,3637W  DIVISION ST,3637 W DIVISION ST
347.longitude,-120.68638045515814,-87.6546221904
210.communityareaname,LAKEl VIEW,LAKE VIEW
488.communityareaname,PORAGE PARK,PORTAGE PARK
104.longitude,-113.1158501526292,-87.7204810114
377.storename,FOODSMATR,FOODSMART
379.storename,ORGAN FOOD CORP LLC,MORGAN FOOD CORP LLC
259.locationvalue,"(42.0141839829, -87.690378349)8","(42.0141839829, -87.6903783498)"
86.xcoordinate,1609057.323253953,1160144.8366672578
236.storename,EDDIE'S FOrOD MART,EDDIE'S FOOD MART
65.xcoordinate,1369553.7597988388,1167042.6177087335
124.xcoordinate,938150.969767811,1166281.150752959
475.communityareaname,WEST RIGE,WEST RIDGE
444.xcoordinate,771753.615776579,1158040.5491916377
8.buffersize,***,B
6.communityareaname,EST RIDGE,WEST RIDGE
169.storename,Natural Countryu Deli,Natural Country Deli
375.buffersize,***,A
406.communityareaname,CHAlTHAM,CHATHAM
413.buffersize,***,B
459.storename,OUeTLET KINGDOM,OUTLET KINGDOM
481.buffersize,,A
495.longitude,-48.57984681564233,-87.7035112835
313.buffersize,,B
59.locationvalue,"(1.7647171389, -87.6887509815)","(41.7647171389, -87.6887509815)"
457.buffersize,,B
254.locationvalue,"(41.7447308395, -87.5540931375)","(41.7447308395, -87.5540391375)"
473.storename,SUPERMERCADO EL GUERO #10n INC,SUPERMERCADO EL GUERO #10 INC
348.buffersize,nA,A
10.storename,JEWEL FOOD STORE #339,JEWEL FOOD STORE #3349
342.address,2500  NCENTRAL AVE,2500 N CENTRAL AVE
314.longitude,-125.59454088395611,-87.717288131
308.storename,CHICAGO GRyOCERS,CHICAGO GROCERS
111.storename,COCORANS PANTRY INC,CORCORANS PANTRY INC
295.longitude,-77.70636356671628,-87.6642353554
285.address,33 2E 58TH ST,332 E 58TH ST
311.longitude,-88.43546648098837,-87.726465315
464.communityareaname,HUMBOLD PARK,HUMBOLDT PARK
357.locationvalue,"(41.934051879, -87.7109005918)","(41.9394051879, -87.7109005918)"
403.xcoordinate,1661786.1478141039,1147946.9192404214
254.buffersize,***,A
267.storename,PsEORIA PACKING LTD,PEORIA PACKING LTD
201.buffersize,,B
268.buffersize,,A
232.longitude,-75.0745695061893,-87.7072241769
218.locationvalue,"(41l.7803216101, -87.6171353804)","(41.7803216101, -87.6171353804)"
471.address,1639 N WELLSt ST,1639 N WELLS ST
239.locationvalue,"(41.807c4608778, -87.747060571)","(41.8074608778, -87.747060571)"
415.longitude,-87.11073073774874,-87.6694195956
128.locationvalue,"(41.9358159257, -87.7466189672)","(41.9358159257, -87.7466186972)"
262.communityareaname,ASHBUNR,ASHBURN
328.buffersize,,A
101.longitude,-102.9513253116805,-87.7214580839
274.locationvalue,"(41.8330447382, -87.614113644)","(41.8330447382, -87.6146113644)"
20.longitude,-68.98743197815828,-87.7236192485
383.buffersize,***,A
88.longitude,-97.48039315479092,-87.8069148007
427.address,5250 W FULLERTNO AVE,5250 W FULLERTON AVE
498.xcoordinate,1535661.7163241357,1148469.2529375516
29.address,5952 W GRAND AtVE,5952 W GRAND AVE
18.longitude,-87.32444624204717,-87.6625846787
441.storename,ALL STARF OOD & LIQUOR,ALL STAR FOOD & LIQUOR
499.locationvalue,"(41.683547002, -87.7073943249)","(41.9683547002, -87.7073943249)"
477.storename,AdLDI,ALDI
316.buffersize,***,A
253.buffersize,,B
489.longitude,-78.87590361999499,-87.7309533689
281.xcoordinate,1676453.6952211559,1173256.2444677488
99.communityareaname,NEW CTY,NEW CITY
175.xcoordinate,1016933.2169227421,1136148.464557395
482.communityareaname,WEST RIDEG,WEST RIDGE
456.buffersize,***,B
78.xcoordinate,1705511.1097780103,1165555.2824921713
428.xcoordinate,1701757.420889079,1179170.1946088122
381.communityareaname,LINCOLN SeQUARE,LINCOLN SQUARE
307.locationvalue,"(41.9686702259, -87.69516h27475)","(41.9686702259, -87.6951627475)"
17.storename,COMMERCIAL GRCERY,COMMERCIAL GROCERY
218.storename,Save-A-Lot 8#82,Save-A-Lot #882
63.locationvalue,"(41.9225974657, -87.6790976291)","(41.9225974657, -87.6970976291)"
250.xcoordinate,889998.382476554,1176913.316073054
310.communityareaname,NEAR WETS SIDE,NEAR WEST SIDE
14.address,5234 W PETERSON AVE,2534 W PETERSON AVE
391.buffersize,,A
294.buffersize,***,A
126.storename,ROSE-RIDGE OFODS,ROSE-RIDGE FOODS
42.storename,SUPE FURNITURE & FOOD MART,SUPER FURNITURE & FOOD MART
473.locationvalue,"(41.8205830407, -8.693426166)","(41.8205830407, -87.693426166)"
454.address,3570 N ELSTON AEV,3570 N ELSTON AVE
503.address,g1402 N ASHLAND AVE,1402 N ASHLAND AVE
309.locationvalue,"(41.997573859, -87.6925485988)","(41.9975738059, -87.6925485988)"
282.address,209 E k103RD ST,209 E 103RD ST
257.locationvalue,"(41.7589927618, -87.560377z8108)","(41.7589927618, -87.5603778108)"
181.buffersize,***,A
322.locationvalue,"(41.9170000028, -7.7309892645)","(41.9170000028, -87.7309892645)"
97.longitude,-108.56393900850085,-87.5393675414
349.communityareaname,MONTCLRAE,MONTCLARE
163.buffersize,,B
159.communityareaname,DbUNNING,DUNNING
393.address,6330 S DR MARTIN LUTHER KINGJ R DR,6330 S DR MARTIN LUTHER KING JR DR
437.xcoordinate,709134.8557196799,1197964.0966857816
344.storename,DOMINICK'S FINER FOODS - STORE  #2775,DOMINICK'S FINER FOODS - STORE # 2775
256.communityareaname,AUBURNGRESHAM,AUBURN GRESHAM
388.locationvalue,"(41.8521678636,-87.6689750407)","(41.8521678636, -87.6689750407)"
177.xcoordinate,1588123.3216336363,1166934.708698008
397.address,101 2N LARRABEE ST,1012 N LARRABEE ST
378.address,7105 S RACINE AEV,7105 S RACINE AVE
154.locationvalue,"(41.9611940986, -87.689966970g4)","(41.9611940986, -87.6899669704)"
474.communityareaname,NORrTH CENTER,NORTH CENTER
240.communityareaname,LOAGN SQUARE,LOGAN SQUARE
106.communityareaname,MCKINLEY ARK,MCKINLEY PARK
427.longitude,-49.47742323043781,-87.7582297412
173.address,1900 N CALIFORNIA AVdE,1900 N CALIFORNIA AVE
422.xcoordinate,1512453.12667505,1166403.2942998728
437.communityareaname,SOUTH CHCAGO,SOUTH CHICAGO
349.locationvalue,"(41.9236807003, -87.g7986761286)","(41.9236807003, -87.7986761286)"
167.longitude,-87.38042309546,-87.58782256
255.address,1281 qW 71ST ST,1281 W 71ST ST
504.address,2557 W 71ST SrT,2557 W 71ST ST
296.xcoordinate,1371612.4119046803,1159580.4238182404
335.xcoordinate,1629519.0444964138,1157317.6151593665
151.locationvalue,"(41.7527456405, -8.75875234853)","(41.7527456405, -87.5875234853)"
93.storename,JEWEL FOOD STORE #3424,JEWEL FOOD STORE #3442
500.buffersize,,A
489.xcoordinate,586017.259650744,1148569.6566135706
56.xcoordinate,719589.0044031542,1185444.674
323.storename,LOUIS' GROCERwIES,LOUIS' GROCERIES
246.communityareaname,RGOERS PARK,ROGERS PARK
58.communityareaname,MORGAN PAaRK,MORGAN PARK
149.longitude,-117.9598567151878,-87.6723519319
496.buffersize,***,A
260.address,5201 N SHERIDAN DR,5201 N SHERIDAN RD
361.buffersize,***,B
161.xcoordinate,897989.7523483953,1175288.471159548
377.address,3415 W DIVERSEY AkVE,3415 W DIVERSEY AVE
52.buffersize,,B
283.xcoordinate,1530103.9470862446,1142184.0432471954
355.buffersize,***,B
420.longitude,-44.023529178467385,-87.7705271521
318.xcoordinate,1374902.4504685465,1191459.6594881737
235.storename,THdE MARKET PLACE FOODSTORE,THE MARKET PLACE FOODSTORE
167.buffersize,***,A
174.address,8484 S ARCHER AVE,4884 S ARCHER AVE
370.storename,VIET HOAP LAZA,VIET HOA PLAZA
25.address,e6978 N CLARK ST,6978 N CLARK ST
440.address,5001 N PULASKI uRD,5001 N PULASKI RD
396.storename,RAINBOW FINER FOOD & LQUOR,RAINBOW FINER FOOD & LIQUOR
344.longitude,-74.43377622217852,-87.6779308926
450.locationvalue,"(41.969885935, -87.7156463163)","(41.9609885935, -87.7156463163)"
281.storename,"THREE ROOSTERS,I NC.","THREE ROOSTERS, INC."
315.address,3940 qE 106TH ST,3940 E 106TH ST
475.xcoordinate,1357235.5996380476,1161793.53830752
425.buffersize,,A
399.longitude,-121.80277739816215,-87.688776514
417.buffersize,hA,A
364.storename,AiLDI,ALDI
466.locationvalue,"(41.8164863247, -87.6191968341)","(41.8164863247, -87.6191968314)"
278.storename,RJ Liquosr,RJ Liquors
487.address,3459  W59TH ST,3459 W 59TH ST
107.longitude,-75.71919188367187,-87.6441824061
287.storename,SUPERMERCDAO LA VILLA,SUPERMERCADO LA VILLA
168.xcoordinate,583845.5304430906,1150401.2985076683
191.xcoordinate,1726360.1780965466,1174028.5037281606
203.xcoordinate,1280343.6938560456,1138888.1602307956
485.storename,MARIANO'S FRSEH MARKET #8507,MARIANO'S FRESH MARKET #8507
28.communityareaname,EDGWEATER,EDGEWATER
475.longitude,-99.21878054169088,-87.680128828
386.buffersize,,A
326.communityareaname,PTOWN,UPTOWN
400.communityareaname,LGAN SQUARE,LOGAN SQUARE
506.xcoordinate,1660079.700402503,1154665.2718672096
245.xcoordinate,944943.3631522678,1169927.2894665268
473.buffersize,cA,A
13.storename,WOLE FOODS MARKET,WHOLE FOODS MARKET
394.communityareaname,SOUTH SHOER,SOUTH SHORE
264.locationvalue,"(41.7789401249, -87.7118685732)","(41.7789401249, -87.7118685723)"
277.address,150 E KENSINGTON AVnE,150 E KENSINGTON AVE
193.communityareaname,EDIaSON PARK,EDISON PARK
254.communityareaname,iSOUTH CHICAGO,SOUTH CHICAGO
192.locationvalue,"(41.8977792769,-87.6769588663)","(41.8977792769, -87.6769588663)"
258.buffersize,***,B
16.address,4281 W NORTH AVE,4821 W NORTH AVE
48.storename,ALDI INC STOR #16,ALDI INC STORE #16
169.locationvalue,"(41.984929696, -87.7890953687)","(41.9984929696, -87.7890953687)"
463.locationvalue,"(41.8847505385, -87.615603565)","(41.8847505385, -87.6156039565)"
92.buffersize,,B
303.storename,BARwI,BARI
256.buffersize,rB,B
145.buffersize,kB,B
286.longitude,-100.56787907553041,-87.6433090924
433.buffersize,***,B
21.address,7400 kS HALSTED ST,7400 S HALSTED ST
220.buffersize,,B
440.xcoordinate,571243.1826948002,1148863.367013644
173.locationvalue,"(419.157610232, -87.6972958109)","(41.9157610232, -87.6972958109)"
46.longitude,-68.51426807459342,-87.6918885843
2.xcoordinate,1304356.5500213993,1156542.5273663977
472.buffersize,oA,A
454.longitude,-78.51745449677529,-87.7082301098
367.address,680 N LAKE SHOR EDR,680 N LAKE SHORE DR
443.storename,"H & A OOD MARKET, INC.","H & A FOOD MARKET, INC."
237.xcoordinate,937556.6188337273,1164752.5760843323
209.locationvalue,"(41.9979009735, -8d7.6863782179)","(41.9979009735, -87.6863782179)"
448.xcoordinate,1465775.112616497,1152725.3573921344
393.buffersize,,A
7.xcoordinate,1615202.280110228,1140427.8862632848
126.communityareaname,ROSELND,ROSELAND
205.storename,WALGRmEENS #05034,WALGREENS #05034
124.address,3630 N SOUTHPOR AVE,3630 N SOUTHPORT AVE
294.communityareaname,FUhLLER PARK,FULLER PARK
494.xcoordinate,1621912.8070917474,1166596.81632756
23.communityareaname,RVING PARK,IRVING PARK
484.longitude,-108.0347284623641,-87.8068475211
65.storename,AbLDI #70,ALDI #70
379.longitude,-112.53684643849795,-87.6496459973
340.address,2140 N WESTERN AVlE,2140 N WESTERN AVE
200.longitude,-49.40475511244253,-87.6751156964
221.locationvalue,"(42.0119757995,t -87.6743840578)","(42.0119757995, -87.6743840578)"
339.locationvalue,"(41.9020768139, -87.7310180698)","(41.9027068139, -87.7310180698)"
49.buffersize,aA,A
86.address,233 W HOWARD ST,2233 W HOWARD ST
465.storename,WALLY'S MRAKET INC,WALLY'S MARKET INC
350.communityareaname,ROSELNAD,ROSELAND
230.xcoordinate,1079038.7575496342,1127470.2113703247
165.buffersize,cA,A
6.address,2610 W DEVOeN AVE,2610 W DEVON AVE
435.address,1622 W MONTEREYA VE,1622 W MONTEREY AVE
11.communityareaname,GARND BOULEVARD,GRAND BOULEVARD
343.longitude,-105.63439297749528,-87.7634457986
389.storename,PUERTO RICO FOOD& LIQUORS,PUERTO RICO FOOD & LIQUORS
128.longitude,-58.10948180317035,-87.7466186972
4.xcoordinate,1515975.1589649667,1150549.397872218
409.address,112 W 87THST,112 W 87TH ST
404.longitude,-59.85955355060043,-87.765187785
146.longitude,-104.62256546312511,-87.7281423632
285.locationvalue,"(41.784298575, -87.6178403398)","(41.7894298575, -87.6178403398)"
5.longitude,-65.60502374509697,-87.6688604029
306.buffersize,***,B
83.longitude,-82.23559602864346,-87.6168411
353.longitude,-85.1423552640303,-87.6984170935
252.longitude,-80.54761172000536,-87.7201998415
153.storename,FAMILY RIDE,FAMILY PRIDE
445.communityareaname,LINCOLN PAKR,LINCOLN PARK
175.address,5952 W GRAND AVtE,5952 W GRAND AVE
422.storename,INTERNATIONL SUPERMARKET INC,INTERNATIONAL SUPERMARKET INC
197.buffersize,***,B
192.storename,CAESAR'SF OODS INC,CAESAR'S FOODS INC
419.storename,JEWEL FOOD STORE #g3368,JEWEL FOOD STORE #3368
246.address,1605 W HOWAR DST,1605 W HOWARD ST
349.longitude,-53.982074949027336,-87.7986761286
266.buffersize,,B
452.buffersize,***,A
85.buffersize,***,A
470.communityareaname,KkENWOOD,KENWOOD
205.xcoordinate,1003870.7889100322,1156182.658
235.buffersize,,A
223.locationvalue,"(41.9976669579, -87a.687213456)","(41.9976669579, -87.687213456)"
474.buffersize,sA,A
377.locationvalue,"(41.931852s7752, -87.7129012497)","(41.9318527752, -87.7129012497)"
437.longitude,-61.07901527689037,-87.5503825944
483.locationvalue,"(41.9570402995, -87.6547629822)","(41.9570402995, -87.6547628922)"
395.longitude,-55.157627896923685,-87.6946003939
95.communityareaname,LAK VIEW,LAKE VIEW
384.storename,JOE'S FOOD AND LIQUR DEPOT,JOE'S FOOD AND LIQUOR DEPOT
226.locationvalue,"(41.9100926711, -87.1775753532)","(41.9100926711, -87.7175753532)"
228.xcoordinate,1598101.6042857142,1168297.690487429
342.buffersize,vA,A
189.communityareaname,ROGdERS PARK,ROGERS PARK
331.buffersize,mB,B
413.address,6945 S SeTATE ST,6945 S STATE ST
367.storename,TREASURE ISLANDF OODS,TREASURE ISLAND FOODS
201.address,559 N LARAMIE AE,559 N LARAMIE AVE
73.locationvalue,"(41.9530102332, -87.78770e71626)","(41.9530102332, -87.7877071626)"
234.buffersize,***,A
364.buffersize,,A
294.storename,WALGREENS #0273,WALGREENS #2073
112.locationvalue,"(41.9660114013, -87.836831191)","(41.9660114013, -87.8368311691)"
351.address,1604 Wt 59TH ST,1604 W 59TH ST
279.buffersize,pA,A
440.storename,ALDI INC 06,ALDI INC #06
228.buffersize,***,A
471.xcoordinate,1457620.3656546536,1174435.9795041713
361.communityareaname,SOUTH LANDALE,SOUTH LAWNDALE
109.address,312 N NAGLE AVE,6312 N NAGLE AVE
182.xcoordinate,1631298.6667300027,1165786.5456605123
72.communityareaname,EDGEWAiTER,EDGEWATER
441.address,2911S  ARCHER AVE,2911 S ARCHER AVE
64.buffersize,,B
228.communityareaname,UPOTWN,UPTOWN
465.locationvalue,"(1.9527216579, -87.7913622126)","(41.9527216579, -87.7913622126)"
30.address,2i427 N CLARK ST,2427 N CLARK ST
472.locationvalue,"(41.7683658358, 8-7.6883009077)","(41.7683658358, -87.6883009077)"
318.longitude,-69.4763262486345,-87.5737873367
173.storename,EL YUNQEU FOOD & LIQUOR,EL YUNQUE FOOD & LIQUOR
330.address,3256 N MILWUKEE AVE,3256 N MILWAUKEE AVE
295.address,1544W  41ST ST,1544 W 41ST ST
490.longitude,-89.68051355333476,-87.6316032946
114.longitude,-119.09991074412024,-87.6436497585
154.longitude,-69.79784374315639,-87.6899669704
180.buffersize,***,B
44.xcoordinate,1694377.3185468295,1151517.7233741966
326.buffersize,,A
145.locationvalue,(41.886339416 -87.62083615),"(41.886339416, -87.62083615)"
233.xcoordinate,899543.8071501546,1162346.5151555608
13.address,1101 S CANAL T,1101 S CANAL ST
404.locationvalue,"(41.909274567, -87.765187785)","(41.9092745667, -87.765187785)"
434.buffersize,,B
134.communityareaname,HUMBOLDT PAKR,HUMBOLDT PARK
272.longitude,-84.63179687932215,-87.6639668865
250.address,146 W 103RD wST,146 W 103RD ST
329.communityareaname,ASHURN,ASHBURN
395.xcoordinate,673318.0302714866,1158110.2173899557
383.xcoordinate,1265132.2288524725,1161445.944633789
375.address,2601 N HASTED ST,2601 N HALSTED ST
204.longitude,-56.204833158367784,-87.6387533453
392.locationvalue,"(4.8482371659, -87.6409555275)","(41.8482371659, -87.6409555275)"
49.communityareaname,LINCLN PARK,LINCOLN PARK
271.buffersize,gB,B
21.storename,"7400 S HALSTED FOOD AND ILQUORS, INC.","7400 S HALSTED FOOD AND LIQUORS, INC."
346.storename,AWAMI BAZAAR & ZABIHAMEAT,AWAMI BAZAAR & ZABIHA MEAT
337.longitude,-79.75927292592655,-87.6912518856
503.locationvalue,"41.9071018181, -87.6677396553)","(41.9071018181, -87.6677396553)"
371.xcoordinate,843161.8947355186,1162748.6020481898
369.buffersize,yB,B
26.locationvalue,"(41.972213557, -87.6596091010)","(41.972213557, -87.6596091001)"
272.communityareaname,WES TENGLEWOOD,WEST ENGLEWOOD
142.communityareaname,UPOWN,UPTOWN
386.longitude,-92.83266239931386,-87.8113468842
186.address,1717 E 97TH ST,1717 E 79TH ST
314.address,36v07 W FULLERTON AVE,3607 W FULLERTON AVE
443.communityareaname,ENGLEWOOtD,ENGLEWOOD
333.longitude,-96.58560555193242,-87.6457075651
505.xcoordinate,1746314.4515199624,1161644.3847891467
459.buffersize,,B
485.xcoordinate,1425553.5127365668,1140915.424
67.storename,ALDI'S#  26,ALDI'S # 26
