115.sex,Femael,Female
132.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
248.raceethnicity,Hxispanic,Hispanic
294.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
142.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
146.raceethnicity,"Black, nonHispanic ","Black, non-Hispanic "
45.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaotion (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the croefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
10.characteristic,Ttal ,Total 
312.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or teh coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
197.characteristic,"Total - Male, American Indin/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
26.noteonearnings,Reporting standards not met. Either there akre too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,"Total - White, onn-Hispanic","Total - White, non-Hispanic"
37.characteristic,Ttoal - Female,Total - Female
267.raceethnicity,"Alsian, non-Hispanic","Asian, non-Hispanic"
228.raceethnicity,"White, nqon-Hispanic","White, non-Hispanic"
101.noteoncount,Reporting standards notmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
23.characteristic,Totalf - Male,Total - Male
2.noteonearnings,Reportign standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
19.sex,ale,Male
79.noteonearnings,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
147.sex,Mae,Male
69.characteristic,Total - Hisfpanic,Total - Hispanic
245.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percenbt or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
246.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent orf greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
215.characteristic,"Total - Male, Two or more races, non-Hifspanic","Total - Male, Two or more races, non-Hispanic"
295.raceethnicity,"Amerian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
131.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perccent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.raceethnicity,"Pacific Islandxer, non-Hispanic","Pacific Islander, non-Hispanic"
40.raceethnicity,"White, non-iHspanic","White, non-Hispanic"
127.characteristic,"Total - Two or more races, non-Hispanci","Total - Two or more races, non-Hispanic"
86.raceethnicity,"Asian, non-Hispnaic","Asian, non-Hispanic"
55.noteonearnings,Reporting standbards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.sex,lFemale,Female
27.sex,Fmeale,Female
249.raceethnicity,Hipsanic,Hispanic
31.characteristic,Total - Feale,Total - Female
275.noteonearnings,Data notavailable.,Data not available.
49.sex,Femaple,Female
266.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
194.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the oefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.raceethnicity,"American Indian/Alaska Native, nno-Hispanic","American Indian/Alaska Native, non-Hispanic"
218.characteristic,"Total - Male, Two o more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
250.characteristic,"Total - Femuale, Hispanic","Total - Female, Hispanic"
9.sex,Femlae,Female
218.noteonearnings,Repohrting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
127.sex,Femae,Female
291.raceethnicity,"American Indianr/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
161.raceethnicity,Hispaic,Hispanic
210.raceethnicity,"Two or more races, non-Hispzanic","Two or more races, non-Hispanic"
46.characteristic,"Ttoal - White, non-Hispanic","Total - White, non-Hispanic"
99.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinet of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
29.sex,Feemale,Female
145.noteonearnings,Reporting tandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
185.sex,Mlae,Male
240.raceethnicity,"Black,non-Hispanic ","Black, non-Hispanic "
167.sex,Mae,Male
188.noteoncount,Reporting standards not met. Either there re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
52.characteristic,"Total - Wohite, non-Hispanic","Total - White, non-Hispanic"
232.sex,eFmale,Female
67.noteoncount,Reporting standards not met. Either there are too few casesf or a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
88.raceethnicity,"Aisan, non-Hispanic","Asian, non-Hispanic"
120.noteonearnings,Rpeorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
264.sex,Feale,Female
51.noteonearnings,Reporting standards not met. Either there are too few cases fvor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.raceethnicity,"Asian,non-Hispanic","Asian, non-Hispanic"
92.noteonearnings,Data not availabvle.,Data not available.
130.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaer.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.characteristic,Toal - Hispanic,Total - Hispanic
235.sex,Feale,Female
126.sex,Femsale,Female
297.sex,eFemale,Female
309.characteristic,"Total - Fmale, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
309.sex,Fmale,Female
35.characteristic,otal - Female,Total - Female
83.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 perecnt or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
5.noteonearnings,Reporting standards not met. Eithe there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
155.raceethnicity,"Black, nn-Hispanic ","Black, non-Hispanic "
95.characteristic,"Ttal - Pacific Islander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
209.noteoncount,Data nont available.,Data not available.
172.characteristic,"Total - Male, Asia,n non-Hispanic","Total - Male, Asian, non-Hispanic"
148.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (VC) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
39.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
92.noteoncount,Data not availablef.,Data not available.
95.raceethnicity,"Pacific Islander, non-Hispnaic","Pacific Islander, non-Hispanic"
300.raceethnicity,"Two or more races, non-iHspanic","Two or more races, non-Hispanic"
231.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
126.characteristic,"Total - Two yor more races, non-Hispanic","Total - Two or more races, non-Hispanic"
145.raceethnicity,"Black, nonH-ispanic ","Black, non-Hispanic "
139.noteoncount,Reporting standards not met. Either there are too few cases for a reliabule estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
10.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
58.noteonearnings,Reporting standards not met. Either there are too dfew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
286.characteristic,"Total - Female, Pacific Islandegr, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
292.characteristic,"Total - Female, American Iendian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
162.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaiton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
28.raceethnicity,"American Indian/Alaska Native, non-Hspanic","American Indian/Alaska Native, non-Hispanic"
223.sex,Femlae,Female
81.noteonearnings,Reporing standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
189.sex,Mae,Male
158.noteoncount,Reporting standards not met. Either there arxe too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.sex,Malse,Male
204.sex,Mlae,Male
179.noteoncount,Reporting standards notm et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
251.sex,Femqale,Female
52.sex,Femle,Female
4.characteristic,otal ,Total 
31.noteoncount,Reporting standards not met. Either there are too few cass for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
133.raceethnicity,"White, non-Hispaic","White, non-Hispanic"
218.noteoncount,Reporting standards not met. Either there are too few cases for a reliablge estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
177.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
99.raceethnicity,"Pacific Islander, non-Hispnic","Pacific Islander, non-Hispanic"
232.noteonearnings,Reporting standards not met. Eithr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
242.sex,wFemale,Female
233.noteonearnings,Reporting standards not met. Either there are too ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
265.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
200.sex,Mle,Male
220.noteonearnings,Reporting standards not met. Either there are too few cases for a erliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
162.characteristic,"eTotal - Male, Hispanic","Total - Male, Hispanic"
48.characteristic,"Total - Whvite, non-Hispanic","Total - White, non-Hispanic"
69.noteonearnings,Reporting standards not met. Eithr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
227.raceethnicity,"White, non-Hispanc","White, non-Hispanic"
79.characteristic,"Total - Asian, non-Hiispanic","Total - Asian, non-Hispanic"
100.sex,Feamle,Female
86.sex,Fmale,Female
20.raceethnicity,"American Indian/Alaska Native, non-Hispantic","American Indian/Alaska Native, non-Hispanic"
262.characteristic,"Tottal - Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
112.raceethnicity,"American Indian/Alwaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
55.sex,Faemale,Female
195.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
166.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or ugreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
171.noteoncount,mReporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
198.sex,Mael,Male
278.characteristic,"Total - Female, aPcific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
82.sex,emale,Female
147.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the ceofficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
88.sex,Femael,Female
6.sex,Fmale,Female
212.sex,dMale,Male
62.noteonearnings,Reporting standards not met. Either there ae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
60.sex,emale,Female
116.characteristic,"Total - American Indian/Alaska Nativ, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
176.noteoncount,Reportings tandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
76.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percen tor greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
187.raceethnicity,"Pacific Islander, non-Hispagnic","Pacific Islander, non-Hispanic"
126.noteonearnings,Rpeorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
252.noteonearnings,Reporting standards not met. Either there ar etoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
190.characteristic,"Total - Male, Pacific Islander,n on-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
137.raceethnicity,"Whtie, non-Hispanic","White, non-Hispanic"
113.raceethnicity,"American IndianA/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
170.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 inculde Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
280.raceethnicity,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
95.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the cefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
27.raceethnicity,"American Indian/Alaska Native ,non-Hispanic","American Indian/Alaska Native, non-Hispanic"
77.characteristic,Total- Hispanic,Total - Hispanic
243.characteristic,"Total - eFmale, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
119.sex,Fmale,Female
169.characteristic,"Totl - Male, Hispanic","Total - Male, Hispanic"
68.noteoncount,Reporting standards not met. Either there aretoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
88.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Piacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
224.raceethnicity,"Whiet, non-Hispanic","White, non-Hispanic"
253.noteonearnings,Reporting sandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
183.noteonearnings,Data not avalable.,Data not available.
195.noteonearnings,Reporting standards not met. Either there are too few cases fro a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
260.noteonearnings,Reporting standards not met. Either there are tooh few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.noteoncount,Reporting standards not met. Either there are too few case for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
165.characteristic,"Totl - Male, Hispanic","Total - Male, Hispanic"
57.sex,Fmale,Female
7.sex,Fmeale,Female
77.raceethnicity,Hispatnic,Hispanic
133.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientof variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
259.noteoncount,Reporting standards not met. Either there are too fewn cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
145.characteristic,"Total - Male, Blcak, non-Hispanic ","Total - Male, Black, non-Hispanic "
253.raceethnicity,Hispanuic,Hispanic
226.noteonearnings,Reporting standards not met. Either there are too few cases ofr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
258.characteristic,"Total - Female, Hispainc","Total - Female, Hispanic"
107.sex,Femle,Female
300.sex,Fefmale,Female
169.noteonearnings,Reporting standards not met. uEither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
195.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.raceethnicity,"Asian, no-nHispanic","Asian, non-Hispanic"
31.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 5 0percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
154.characteristic,"Total - Male, Blac, non-Hispanic ","Total - Male, Black, non-Hispanic "
37.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or reater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
282.sex,eFmale,Female
204.characteristic,"Total - Male, American Indian/Alask aNative, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
89.characteristic,"Total - Asian, non-Hisphanic","Total - Asian, non-Hispanic"
105.sex,Femawle,Female
212.raceethnicity,"Tow or more races, non-Hispanic","Two or more races, non-Hispanic"
6.raceethnicity,"American Indian/Alaska Native, non-Hispanc","American Indian/Alaska Native, non-Hispanic"
307.raceethnicity,"Two or more races, non-Hispaniic","Two or more races, non-Hispanic"
261.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
17.sex,Mle,Male
11.sex,mFemale,Female
117.noteonearnings,Repotring standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
255.characteristic,"Total - Femalek, Hispanic","Total - Female, Hispanic"
289.sex,Feamle,Female
220.characteristic,"Total - Male,Two or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
138.raceethnicity,"White, non-Hisanic","White, non-Hispanic"
253.sex,Fmale,Female
26.raceethnicity,"America nIndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
308.noteoncount,Reporting standards not met. Either thereo are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
52.noteonearnings,Reporting standards not met.w Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
226.sex,eFmale,Female
115.raceethnicity,"American Inian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
58.noteoncount,Reporting standardgs not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
305.noteonearnings,Reporting standards not met. Either tzhere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
308.raceethnicity,"Two or more races, non-Hipsanic","Two or more races, non-Hispanic"
101.sex,Fedmale,Female
209.raceethnicity,"Two or more races, non-Hsipanic","Two or more races, non-Hispanic"
1.characteristic,oTtal ,Total 
199.sex,ale,Male
103.characteristic,"Total - Pacific Islandr, non-Hispanic","Total - Pacific Islander, non-Hispanic"
286.raceethnicity,"Pacific Islander, non-Hipanic","Pacific Islander, non-Hispanic"
117.sex,Femael,Female
158.raceethnicity,Hispanci,Hispanic
93.characteristic,"Total - Pacific Ilander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
250.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
13.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficietn of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.sex,emale,Female
236.raceethnicity,"Black, non-Hrispanic ","Black, non-Hispanic "
290.sex,Feamle,Female
206.raceethnicity,"American Indian/Alaska Nativwe, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
56.noteonearnings,Reporting standards not met. Elither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
236.sex,Femoale,Female
110.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or teh coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
141.raceethnicity,"White, non-Hispanc","White, non-Hispanic"
193.noteoncount,Reporting standards not met. Either theer are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
49.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientv of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
118.raceethnicity,"Two or cmore races, non-Hispanic","Two or more races, non-Hispanic"
277.raceethnicity,"Pacificp Islander, non-Hispanic","Pacific Islander, non-Hispanic"
179.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficinet of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
72.sex,Femael,Female
32.noteoncount,Reporting standards not met. Either thre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varaition (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
209.characteristic,"Total - Mal,e Two or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
293.sex,Feamle,Female
304.raceethnicity,"Two or more races, non-Hisapnic","Two or more races, non-Hispanic"
294.characteristic,"Total - Female, Amerian Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
240.characteristic,"Total d- Female, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
18.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent o greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
2.raceethnicity,"Ameican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
