id,obsdate,asm(double precision),asmdoneone(double precision),asmd(double precision),asmddoneone(double precision),asmi(double precision),asmidoneone(double precision),rpm(double precision),rpmdoneone(double precision),rpmd(double precision),rpmddoneone(double precision),rpmi(double precision),rpmidoneone(double precision),loadfactor(double precision),loadfactordoneone(double precision),loadfactord(double precision),loadfactorddoneone(double precision),loadfactori(double precision),loadfactoridoneone(double precision),enplanei(double precision),enplaneidoneone(double precision),enplaned(double precision),enplaneddoneone(double precision),enplane(double precision),enplanedoneone(double precision),airrpmtsi(double precision),airrpmtsidoneone(double precision),airrtmfm(double precision),airrtmfmdoneone(double precision),railfrtcarloads(long),railfrtcarloadsdoneone(long),railfrtintermodal(long),railfrtintermodaldoneone(long),railpm(double precision),railpmdoneone(double precision),transit(double precision),transitdoneone(double precision),petroleum(double precision),petroleumdoneone(double precision),naturalgas(double precision),naturalgasdoneone(double precision),waterborne(double precision),waterbornedoneone(double precision),truckdoneone(double precision),vmt(double precision),vmtdoneone(double precision),tsifreight(double precision),tsifreightc(double precision),tsipassenger(double precision),tsipassengerc(double precision),tsitotal(double precision),tsitotalc(double precision),indpro(double precision),manuf(double precision),invtosales(double precision),idxairrpm(double precision),idxairrtmfm(double precision),idxrailfrtcarloads(double precision),idxrailfrtintermodal(double precision),idxrailpm(double precision),idxtransitdoneone(double precision),idxpetroleumdoneone(double precision),idxnaturalgasdoneone(double precision),idxwaterbornedoneone(double precision),idxtruckdoneone(double precision)
SATD200302,02/01/2003,66514415.0,74463819.0,50088434.0,55628147.0,16425981.0,18835673.0,45514803.0,54019423.0,34148439.0,40002741.0,11366364.0,14016682.0,68.4,72.5,68.2,71.9,69.2,74.4,4530.0,5272.0,41167.0,47497.0,45697.0,52769.0,47040806.0,56256678.0,2446178.0,2775589.0,1232970,1366233,730315,815998,390041481.0,477124544.0,732135.0,782819.0,188368.0,213340.0,2500.3,2027.5,36.0,42.8,78.8,203677.0,233578.0,103.3,-0.9,96.7,-0.5,101.5,-0.8,98.53470126,95.174186179,1.6,0.9533,1.0811,0.9765,1.0688,1.0236,0.9942,0.9537,1.0823,0.8656,1.0515
SATD200303,03/01/203,76228184.0,75301413.0,57592901.0,56245548.0,18635283.0,19055865.0,54994261.0,52991926.0,41774564.0,39855306.0,13219697.0,13136620.0,72.1,70.4,72.5,70.9,70.9,68.9,5305.0,5072.0,49993.0,47597.0,55298.0,52670.0,56766580.0,54558349.0,2925823.0,2739383.0,1400506,1357294,826783,822195,472573962.0,485818144.0,820157.0,799218.0,213683.0,214966.0,2197.9,1864.4,45.7,45.2,79.5,236679.0,236830.0,103.8,0.5,95.5,-1.2,101.5,0.0,98.244075975,95.936322102,1.58,0.9246,1.067,0.9701,1.0769,1.0423,1.015,0.961,0.9953,0.9146,1.0619
SATD200340,04/01/2003,70959285.0,72070451.0,54639679.0,55347889.0,16319606.0,16722563.0,50304173.0,50287693.0,39465980.0,39060891.0,10838193.0,11226802.0,70.9,69.8,72.2,70.6,66.4,67.1,4560.0,4647.0,47033.0,46276.0,51593.0,50923.0,51857453.0,52478910.0,2733039.0,2725628.0,1362930,1367675,810805,825143,483653074.0,476247701.0,810703.0,790052.0,215713.0,219625.0,1743.5,1833.9,47.5,45.7,79.6,239415.0,238036.0,104.0,0.2,92.7,-2.9,100.7,-0.8,97.620860581,93.012278698,1.59,0.8893,1.0617,0.9775,1.0808,1.0218,1.0033,0.9818,0.979,0.9251,1.0632
SATD200305,05/01/2003,71761853.0,70764380.0,55349897.0,54877891.0,16411956.0,15886489.0,53070727.0,51992014.0,41001934.0,40234076.0,12068793.0,11757938.0,74.0,73.5,74.1,73.3,73.5,74.0,4819.0,4752.0,49152.0,47368.0,53971.0,52120.0,54335598.0,53760366.0,2732471.0,2763231.0,1402692,1361496,836029,819197,489484678.0,478747347.0,799984.0,781186.0,232437.0,224687.0,1514.7,1823.1,45.5,43.9,78.7,253244.0,239910.0,103.0,-1.0,93.8,1.2,100.4,-0.3,97.597558777,93.98972016,1.58,0.911,1.0763,0.9731,1.073,1.0271,0.9921,1.0044,0.9732,0.8889,1.0505
SATD200306,06/01q/2003,74465181.0,72845890.0,56555517.0,55645405.0,17909664.0,17200484.0,58958204.0,53863019.0,44492972.0,40860923.0,14465232.0,13002096.0,79.2,73.9,78.7,73.4,80.8,75.6,5635.0,5110.0,52210.0,48060.0,57845.0,53170.0,60272900.0,54665587.0,2680999.0,2676512.0,1370794,1374391,829971,826769,531138943.0,476209999.0,754298.0,771204.0,231320.0,228041.0,1368.4,1689.6,46.6,44.6,78.8,252145.0,241491.0,102.9,-0.1,94.4,0.6,100.5,0.1,97.727229004,94.913478013,1.56,0.9264,1.0426,0.9823,1.0829,1.0217,0.9794,1.0194,0.9019,0.903,1.0526
SATD200307,07/01/2003,79108160.0,73874108.0,59617048.0,56123087.0,19491112.0,17751021.0,64470622.0,55803414.0,48321924.0,41948250.0,16148698.0,13855164.0,81.5,75.5,81.1,74.7,82.9,78.1,6466.0,5417.0,55811.0,49510.0,62277.0,54927.0,65962215.0,56058462.0,2794091.0,2780471.0,1357086,1376536,839459,835170,578767927.0,481026696.0,767411.0,780778.0,226790.0,221741.0,1600.5,1807.8,47.9,44.4,79.8,262105.0,243389.0,104.3,1.4,96.4,2.1,102.1,1.6,98.235877192,95.842661336,1.55,0.95,1.083,0.9839,1.0939,1.032,0.9916,0.9913,0.9651,0.8994,1.0658
SATD200308,08/01/2b003,79595941.0,74509524.0,59634190.0,56342740.0,19961751.0,18166784.0,63540849.0,55913864.0,46982527.0,41653993.0,16558322.0,14259871.0,79.8,75.0,78.8,73.9,83.0,78.5,6567.0,5584.0,53921.0,49684.0,60488.0,55269.0,64989766.0,56570984.0,2819634.0,2809155.0,1450003,1382809,871757,816509,557897322.0,483441546.0,745756.0,776655.0,232664.0,225471.0,1651.6,1836.7,47.1,45.0,79.0,260687.0,242803.0,103.8,-0.5,96.8,0.4,101.9,-0.2,98.002643389,95.225014278,1.51,0.9587,1.0942,0.9883,1.0694,1.0372,0.9863,1.0079,0.9804,0.9117,1.0549
SATD200309,09/01/2003,73605919.0,75439318.0,54973852.0,56975330.0,18632067.0,18463988.0,51022359.0,55946349.0,36819820.0,41492558.0,14202539.0,14453791.0,69.3,74.2,67.0,72.8,76.2,78.3,5105.0,5653.0,44213.0,49677.0,49318.0,55329.0,52121480.0,57503860.0,2748240.0,2768161.0,1410429,1399974,857231,839299,427807444.0,466529837.0,807125.0,777615.0,225315.0,228577.0,1428.6,1801.3,43.7,46.4,80.1,237451.0,243182.0,105.0,1.2,97.9,1.1,103.1,1.2,98.650023617,96.930611079,1.53,0.9745,1.0783,1.0006,1.0993,1.0009,0.9876,1.0218,0.9616,0.9397,1.0697
SAzTD200310,10/01/2z003,76529369.0,75958573.0,58001020.0,57284048.0,18528349.0,18674526.0,55549640.0,56498816.0,41480412.0,41918945.0,14069228.0,14579871.0,72.6,74.4,71.5,73.2,75.9,78.1,5202.0,5688.0,49945.0,49455.0,55147.0,55143.0,56724551.0,57532941.0,3104919.0,2870919.0,1491289,1402972,928584,848506,463025617.0,478974540.0,830771.0,752189.0,227711.0,228467.0,1553.2,1852.4,49.6,47.0,81.5,254048.0,245423.0,106.7,1.6,96.9,-1.0,103.9,0.8,98.773221121,97.170759566,1.56,0.975,1.1183,1.0028,1.1114,1.0276,0.9553,1.0213,0.9889,0.9508,1.0877
SATD200311,11/01/2003,73395323.0,76658135.0,55785892.0,57860499.0,17609431.0,18797635.0,52785625.0,57781281.0,39333528.0,42577335.0,13452097.0,15203946.0,71.9,75.4,70.5,73.6,76.4,80.9,5131.0,5879.0,47059.0,50469.0,52190.0,56348.0,54128776.0,59243475.0,3008398.0,2887618.0,1380233,1402048,852170,858543,448181812.0,476548582.0,724971.0,751592.0,219553.0,221421.0,1753.6,1828.3,47.9,46.8,81.1,233698.0,243497.0,106.3,-0.4,98.8,2.0,104.2,0.3,99.438617096,97.319531696,1.55,1.0039,1.1248,1.0021,1.1245,1.0224,0.9545,0.9898,0.976,0.948,1.0826
SATD200312,12/01/2003,77335110.0,77492988.0,58842551.0,58514114.0,18492559.0,18978874.0,57280778.0,58212096.0,42699596.0,43074014.0,14581182.0,15138082.0,74.1,75.1,72.6,73.6,78.8,79.8,5650.0,5795.0,49757.0,50017.0,55407.0,55812.0,58739845.0,59787329.0,2973296.0,2880177.0,1349155,1407465,797451,861733,489403554.0,481849150.0,758869.0,782337.0,229032.0,222189.0,2263.7,1851.3,50.5,51.3,83.3,238538.0,243315.0,108.8,2.4,100.7,1.9,106.5,2.2,99.521575835,97.276413478,1.55,1.0132,1.1219,1.006,1.1287,1.0338,0.9935,0.9933,0.9882,1.0374,1.1115
SATD200401,01/01/2004,77146785.0,78618238.0,58306593.0,59386190.0,18840192.0,19232048.0,52332277.0,57572263.0,38114607.0,42586396.0,14217670.0,14985867.0,67.8,73.2,65.4,71.7,75.5,77.9,5565.0,5780.0,43815.0,49267.0,49380.0,55048.0,53979787.0,59573322.0,2618911.0,2916077.0,1391261,1416789,841769,863535,410338691.0,481313295.0,740829.0,768091.0,225292.0,222646.0,2675.8,1927.0,43.6,48.7,82.1,222450.0,243817.0,107.8,-0.9,99.9,-0.8,105.6,-0.8,99.687169678,97.345516848,1.55,1.0095,1.1359,1.0126,1.131,1.0326,0.9755,0.9953,1.0287,0.9864,1.0955
SATD200402,02/01/2004,73880259.0,79932307.0,56180696.0,60430732.0,17699563.0,19501574.0,51347537.0,58820967.0,38575084.0,43639903.0,12772453.0,15181064.0,69.5,73.6,68.7,72.2,72.2,77.8,5222.0,5862.0,45307.0,50720.0,50529.0,56581.0,53179693.0,61089463.0,2825337.0,3130276.0,1318895,1405246,806222,872820,389778365.0,472844806.0,750265.0,780759.0,208800.0,221661.0,2511.1,1957.3,40.7,47.6,81.9,213709.0,244576.0,108.0,0.2,102.1,2.2,106.5,0.9,100.29344811,97.783266705,1.55,1.0352,1.2193,1.0044,1.1432,1.0145,0.9915,0.9909,1.0448,0.964,1.0933
SATD200403,03/01/2004,81026015.0,79687195.0,61833579.0,60068961.0,19192436.0,19618234.0,61923381.0,59662243.0,46507739.0,44220220.0,15415642.0,15442023.0,76.4,74.9,75.2,73.6,80.3,78.7,6114.0,5900.0,54147.0,50978.0,60261.0,56878.0,64035864.0,61588343.0,3269430.0,3028357.0,1460107,1416048,906899,903026,453014590.0,464060552.0,843276.0,789543.0,229266.0,230203.0,2100.9,1788.7,47.5,46.5,85.2,251403.0,248689.0,110.5,2.3,102.9,0.8,108.4,1.8,99.895699253,100.62964021,1.54,1.0437,1.1796,1.0121,1.1828,0.9956,1.0027,1.0291,0.9548,0.9403,1.1374
SATD200404,04/01/2004,79318899.0,80265910.0,60067863.0,60540785.0,19251036.0,19725125.0,60744714.0,60361992.0,45795662.0,44989928.0,14949052.0,15372064.0,76.6,75.2,76.2,74.3,77.7,77.9,5944.0,5953.0,53253.0,51838.0,59197.0,57791.0,62340117.0,62157749.0,3087285.0,3081730.0,1422511,1422694,892142,907763,471116666.0,461421065.0,803337.0,779349.0,223585.0,228151.0,1745.2,1849.0,49.2,47.2,85.0,250968.0,248376.0,110.8,0.3,103.2,0.3,108.7,0.3,100.30143114,100.1676185,1.58,1.0533,1.2004,1.0169,1.189,0.9899,0.9898,1.0199,0.987,0.9561,1.1354
SAT200405,5/01/2004,81588952.0,80422699.0,60923099.0,60415984.0,20665853.0,20006715.0,61384009.0,60398652.0,45350262.0,44744638.0,16033747.0,15654014.0,75.2,75.1,74.4,74.1,77.6,78.2,6050.0,5994.0,53031.0,51923.0,59081.0,57918.0,62530704.0,62005835.0,3083767.0,3099822.0,1475594,1431843,938204,916318,472861212.0,466850348.0,781133.0,781853.0,235017.0,227221.0,1573.0,1895.6,49.4,47.3,84.4,257235.0,246159.0,110.5,-0.3,103.1,-0.1,108.4,-0.3,101.02260041,100.96630497,1.55,1.0508,1.2074,1.0234,1.2002,1.0016,0.9929,1.0157,1.0119,0.9573,1.127
SATD200406,06/01/2004,82779262.0,80761744.0,61629864.0,60497182.0,21149398.0,20264562.0,67430529.0,61434371.0,49774219.0,45540622.0,17656310.0,15893749.0,81.5,76.1,80.8,75.3,83.5,78.4,6684.0,6175.0,56959.0,52448.0,63643.0,58622.0,68866397.0,63160083.0,3081024.0,3107213.0,1411047,1412680,916328,918501,514365919.0,457894702.0,784558.0,785461.0,227750.0,225480.0,1483.7,1822.4,48.9,46.8,85.5,257383.0,245171.0,111.1,0.5,104.5,1.4,109.3,0.8,100.25202268,101.68418047,1.59,1.0703,1.2103,1.0097,1.203,0.9824,0.9975,1.008,0.9728,0.9474,1.1419
SATD200407,07/01/2004,86649009.0,80832691.0,64095669.0,60424437.0,22553340.0,20408254.0,71593504.0,61675112.0,52730292.0,45672548.0,18863212.0,16002564.0,82.6,76.3,82.3,75.6,83.6,78.4,7483.0,6191.0,59614.0,52658.0,67097.0,58850.0,73335889.0,62882885.0,3188225.0,3205525.0,1405130,1423655,930866,919680,554813029.0,455809586.0,754430.0,782018.0,228476.0,223846.0,1584.9,1779.0,51.1,47.9,85.4,265969.0,247686.0,111.2,0.1,104.1,-0.4,109.3,0.0,100.98624528,101.41861793,1.58,1.0656,1.2486,1.0175,1.2046,0.9779,0.9931,1.0007,0.9497,0.9696,1.1395
SATD200408,08/0w1/2004,86942038.0,81243782.0,64479721.0,60750908.0,22462317.0,20492874.0,69244299.0,61481152.0,50816430.0,45473969.0,18427869.0,16007183.0,79.6,75.7,78.8,74.9,82.0,78.1,7295.0,6260.0,57381.0,53062.0,64676.0,59322.0,70961522.0,63096395.0,3112989.0,3088391.0,1478446,1412554,970145,912533,511216651.0,439127928.0,772963.0,785785.0,234408.0,226720.0,1578.0,1741.9,50.4,48.7,84.6,262836.0,247344.0,110.2,-0.9,104.4,0.3,108.7,-0.5,101.07783432,103.23929183,1.59,1.0692,1.203,1.0096,1.1952,0.9421,0.9979,1.0135,0.9299,0.9848,1.129
SATD200409,09/01/2004,77986620.0,80155013.0,57694884.0,59901478.0,20291736.0,20253536.0,56494925.0,61523459.0,40644161.0,45398305.0,15850764.0,16125154.0,72.4,76.8,70.4,75.8,78.1,79.6,5670.0,6253.0,47672.0,53084.0,53342.0,59337.0,57881041.0,62937499.0,3246085.0,3252766.0,1408654,1396736,937213,925421,401403280.0,438565685.0,814446.0,782979.0,222372.0,225848.0,1482.2,1868.8,43.5,46.8,84.8,243515.0,247916.0,110.8,0.5,104.1,-0.3,109.0,0.3,101.18571305,103.57881211,1.56,1.0665,1.267,0.9983,1.2121,0.9409,0.9944,1.0096,0.9976,0.9474,1.1326
SATD200410,10/01/2004,82291114.0,82192427.0,61604719.0,61297063.0,20686395.0,20895364.0,61743819.0,63039706.0,45765588.0,46514860.0,15978231.0,16524846.0,75.0,76.7,74.3,75.9,77.2,79.1,5896.0,6450.0,54167.0,54277.0,60063.0,60727.0,63021143.0,64246154.0,3517860.0,3298499.0,1509119,1424686,1027749,940130,436908280.0,454262017.0,845387.0,797838.0,231335.0,232730.0,1557.2,1855.7,53.2,50.9,84.4,254496.0,247883.0,111.4,0.5,106.2,2.0,110.1,1.0,102.07765434,105.87178755,1.54,1.0887,1.2848,1.0183,1.2314,0.9746,1.0132,1.0404,0.9906,1.03,1.1274
SATD200411,11/0/12004,79135732.0,82630363.0,59431353.0,61357091.0,19704379.0,21273272.0,58329543.0,62927129.0,43561708.0,46134617.0,14767835.0,16792511.0,73.7,76.2,73.3,75.2,74.9,78.9,5663.0,6471.0,51782.0,53591.0,57445.0,60062.0,59453942.0,63878702.0,3438313.0,3273365.0,1408453,1432131,956383,956430,440222335.0,459212978.0,797405.0,791785.0,231634.0,233590.0,1782.8,1870.2,50.3,49.5,85.4,239796.0,247656.0,112.2,0.7,105.6,-0.6,110.4,0.3,102.32199965,106.41490577,1.55,1.0825,1.275,1.0236,1.2527,0.9852,1.0055,1.0442,0.9984,1.0016,1.1406
SbATD200412,12/01/2004,83231929.0,83275544.0,62054841.0,61569381.0,21177088.0,21706163.0,61424449.0,63136864.0,45181080.0,46324936.0,16243369.0,16811928.0,73.8,75.8,72.8,75.2,76.7,77.5,6338.0,6488.0,52640.0,53560.0,58978.0,60048.0,62680310.0,64502140.0,3485518.0,3318933.0,1367589,1426282,906275,966186,476798294.0,463628750.0,767658.0,791096.0,242337.0,235025.0,2327.7,1896.5,48.2,49.0,85.0,245029.0,248685.0,111.9,-0.3,106.3,0.7,110.5,0.1,103.11490828,107.41604797,1.54,1.0931,1.2928,1.0194,1.2655,0.9947,1.0047,1.0506,1.0124,0.9919,1.1343
SATD200501,01/01/2005,81084792.0,82880076.0,59580514.0,61000673.0,21504278.0,21879403.0,57936503.0,64135197.0,41609095.0,46860992.0,16327408.0,17274205.0,71.5,77.4,69.8,76.8,75.9,79.0,6457.0,6654.0,47978.0,54637.0,54435.0,61291.0,59629608.0,65600304.0,2977459.0,3329354.0,1396793,1424148,925534,968280,378368103.0,456932573.0,756467.0,804650.0,229495.0,226794.0,2561.9,1851.0,41.0,45.5,88.2,224072.0,247614.0,114.2,2.1,108.0,1.6,112.6,1.9,103.48644261,109.49486008,1.55,1.1117,1.2968,1.0179,1.2682,0.9803,1.0219,1.0138,0.9881,0.92,1.1781
SATD200502,02/01/2005,75440323.0,84747307.0,55964342.0,62551491.0,19475981.0,22195816.0,54233804.0,64584450.0,40114944.0,47123456.0,14118860.0,17460994.0,71.9,76.2,71.7,75.3,72.5,78.7,5783.0,6743.0,47075.0,54627.0,52858.0,61371.0,55795165.0,65778166.0,2815089.0,3237474.0,1342757,1479571,883984,983426,351583660.0,447216497.0,750973.0,807572.0,211755.0,233036.0,2243.0,1819.0,41.5,48.5,86.3,219970.0,250015.0,113.2,-0.9,108.3,0.3,112.0,-0.5,104.24180944,109.32495717,1.54,1.1147,1.2611,1.0575,1.2881,0.9595,1.0256,1.0417,0.971,0.9818,1.1523
SATD200503,03/01/2005,85747280.0,84127238.0,63743171.0,61811388.0,22004109.0,22315850.0,68725711.0,64955450.0,50789921.0,47453950.0,17935790.0,17501501.0,80.1,77.2,79.7,76.8,81.5,78.4,7260.0,6795.0,58839.0,54945.0,66099.0,61740.0,70595861.0,66491172.0,3427927.0,3241059.0,1493052,1449653,935163,949271,463828081.0,453399056.0,842424.0,789469.0,231375.0,232375.0,2205.8,1885.8,51.0,49.5,85.7,253182.0,249174.0,112.6,-0.5,108.3,0.0,111.5,-0.4,104.0929368,109.4603084,1.54,1.1268,1.2625,1.0361,1.2433,0.9727,1.0026,1.0388,1.0067,1.0024,1.1447
SATD200504,04/01/2005,83050137.0,84081564.0,61262216.0,61870748.0,21787921.0,22210816.0,63817097.0,64736725.0,47002623.0,47088080.0,16814474.0,17648645.0,76.8,77.0,76.7,76.1,77.2,79.5,6659.0,6851.0,54909.0,54773.0,61568.0,61624.0,65145551.0,66443136.0,3305046.0,3258063.0,1460039,1457190,945359,948413,430496434.0,451956087.0,816425.0,809013.0,220661.0,225498.0,1724.9,1836.2,51.0,49.2,86.6,250860.0,249024.0,113.2,0.5,109.1,0.7,112.2,0.6,104.29812214,111.91147915,1.53,1.126,1.2691,1.0415,1.2422,0.9696,1.0274,1.008,0.9802,0.9955,1.1558
SATD200505,05/01/2005,85980392.0,84375332.0,63160148.0,62204026.0,22820244.0,22171306.0,67072652.0,65523120.0,49016422.0,47893746.0,18056230.0,17629374.0,78.0,77.7,77.6,77.0,79.1,79.5,6862.0,6835.0,57324.0,55303.0,64186.0,62138.0,68268899.0,67022109.0,3186654.0,3244177.0,1466477,1419780,976854,963073,462014277.0,450482193.0,806149.0,788289.0,230984.0,223291.0,1522.6,1836.7,54.7,52.0,85.8,262678.0,250452.0,112.4,-0.7,108.9,-0.2,111.6,-0.5,104.41851479,110.99743004,1.54,1.1358,1.2637,1.0148,1.2614,0.9665,1.0011,0.9982,0.9805,1.0528,1.145
SATD200506,06/01/2005,86609755.0,84288600.0,63378463.0,62129201.0,23231292.0,22159399.0,71621917.0,65065022.0,52181786.0,47613125.0,19440131.0,17451897.0,82.7,77.2,82.3,76.6,83.7,78.8,7414.0,6791.0,59724.0,55132.0,67138.0,61923.0,72952959.0,66631872.0,3332961.0,3309791.0,1412640,1414302,956014,955590,508598324.0,451013759.0,795101.0,796220.0,218621.0,217427.0,1534.1,1872.5,49.3,47.2,85.7,263816.0,251531.0,111.9,-0.4,108.8,-0.1,111.2,-0.4,104.84733273,111.5385494,1.49,1.1291,1.2892,1.0109,1.2516,0.9676,1.0112,0.972,0.9996,0.9553,1.1446
SATD200507,07/01/2005,90483563.0,84226403.0,65813398.0,62003141.0,24670165.0,22223263.0,76041550.0,65367662.0,55290372.0,47886132.0,20751178.0,17481530.0,84.0,77.6,84.0,77.2,84.1,78.7,8178.0,6792.0,62396.0,55188.0,70574.0,61980.0,77432998.0,66811693.0,3221428.0,3276959.0,1404879,1420339,979130,969577,548229054.0,448799874.0,753939.0,796649.0,235815.0,231603.0,1686.6,1885.5,50.5,47.5,85.4,267025.0,250663.0,111.9,0.0,109.0,0.2,111.3,0.1,104.53243473,111.04911479,1.44,1.1322,1.2764,1.0152,1.2699,0.9629,1.0117,1.0353,1.0065,0.9621,1.1402
SAD200508,08/01/2005,89608961.0,83782193.0,65309256.0,61558349.0,24299705.0,22223844.0,72415556.0,64568842.0,52510003.0,47233973.0,19905553.0,17334870.0,80.8,77.1,80.4,76.7,81.9,78.0,7730.0,6687.0,59111.0,54636.0,66841.0,61323.0,73778918.0,66194515.0,3271476.0,3231656.0,1485201,1418388,1040831,977901,511556316.0,438794173.0,808031.0,800350.0,230034.0,222439.0,1695.1,1867.1,47.1,45.5,86.9,265323.0,249458.0,112.7,0.7,108.4,-0.6,111.7,0.4,104.88217755,113.61336379,1.47,1.1217,1.2588,1.0138,1.2808,0.9414,1.0164,0.9944,0.9967,0.9204,1.1597
SATD200509,09/01/2005,80964733.0,83267156.0,58674828.0,60858450.0,22289905.0,22408706.0,60791372.0,65722646.0,43524915.0,48141101.0,17266457.0,17581544.0,75.1,78.9,74.2,79.1,77.5,78.5,6219.0,6835.0,50600.0,55038.0,56819.0,61873.0,62046798.0,66674497.0,3312249.0,3302947.0,1438698,1427265,1002951,983747,436175168.0,467505931.0,858809.0,823057.0,204899.0,208720.0,1422.5,1796.9,36.7,40.5,86.4,242240.0,245820.0,111.7,-0.9,110.0,1.5,111.5,-0.2,102.85837267,115.54140491,1.48,1.1299,1.2866,1.0201,1.2885,1.003,1.0453,0.933,0.9592,0.8202,1.1541
SATD200510,10/01/2005,82318032.0,82601807.0,60392331.0,60326818.0,21925701.0,22274990.0,62624694.0,64402411.0,45895538.0,46984610.0,16729156.0,17417801.0,76.1,78.0,76.0,77.9,76.3,78.2,6160.0,6749.0,53738.0,54447.0,59898.0,61196.0,63640895.0,65311476.0,3504372.0,3294658.0,1470099,1389369,1093139,1003056,432503304.0,449748289.0,858662.0,811863.0,210817.0,212247.0,1428.2,1696.5,44.8,42.6,86.1,251419.0,245957.0,111.2,-0.4,108.0,-1.8,110.5,-0.9,104.10091983,116.22587093,1.49,1.1068,1.2833,0.993,1.3138,0.9649,1.031,0.9488,0.9056,0.8615,1.1497
SATD20011,11/01/0205,79151133.0,82798446.0,58886853.0,60762122.0,20264280.0,22036324.0,60533679.0,65238493.0,45109831.0,47718388.0,15423848.0,17520105.0,76.5,78.8,76.6,78.5,76.1,79.5,5941.0,6818.0,52766.0,54624.0,58707.0,61442.0,61518984.0,66381645.0,3494552.0,3293693.0,1392562,1416983,1000302,1004826,435866215.0,449888705.0,825130.0,821686.0,215522.0,217075.0,1663.4,1746.3,44.9,44.0,88.6,243056.0,250704.0,114.0,2.5,109.6,1.5,112.9,2.2,105.25144643,116.72158766,1.49,1.1249,1.283,1.0128,1.3161,0.9652,1.0435,0.9704,0.9322,0.8915,1.1822
SATD200512,12/01/2005,82918301.0,83139664.0,60889086.0,60603091.0,22029215.0,22536573.0,63220661.0,65425669.0,46190194.0,47786775.0,17030467.0,17638893.0,76.2,78.7,75.9,78.9,77.3,78.3,6704.0,6895.0,52801.0,54742.0,59505.0,61637.0,64289340.0,66665128.0,3457971.0,3301614.0,1375654,1434796,977753,1013672,447261670.0,437692601.0,760996.0,802892.0,225336.0,217425.0,2326.4,1884.6,43.2,44.1,86.4,245787.0,250380.0,112.7,-1.1,109.1,-0.5,111.8,-1.0,105.74509947,118.68332381,1.5,1.1297,1.286,1.0255,1.3277,0.939,1.0197,0.972,1.0061,0.8933,1.1541
ATD200601,01/01/2006,81348009.0,83098725.0,59096204.0,60424496.0,22251805.0,22674229.0,59828980.0,66045492.0,42966268.0,48131574.0,16862712.0,17913918.0,73.5,79.5,72.7,79.7,75.8,79.0,6711.0,6960.0,48886.0,55016.0,55597.0,61976.0,61035027.0,66944469.0,2921183.0,3239549.0,1464556,1493516,991980,1033145,363830405.0,442030650.0,793138.0,825711.0,222123.0,219479.0,2165.3,1567.6,41.1,45.2,86.5,233282.0,255482.0,112.7,0.0,110.4,1.2,112.2,0.4,105.94165451,118.93832096,1.47,1.1344,1.2619,1.0675,1.3532,0.9483,1.0486,0.9811,0.8368,0.9146,1.1543
SATD200602,02/01/2006,73757850.0,83026365.0,53733108.0,60221968.0,20024742.0,22804397.0,55491266.0,66247598.0,40927215.0,48172175.0,14564051.0,18075422.0,75.2,79.8,76.2,80.0,72.7,79.3,6001.0,7009.0,47348.0,55175.0,53349.0,62184.0,56729212.0,67184014.0,2760326.0,3189613.0,1312500,1449238,896379,995899,347575222.0,449684921.0,761980.0,822931.0,198045.0,217775.0,2144.4,1743.8,39.9,47.0,85.6,220711.0,250785.0,111.8,-0.8,110.5,0.1,111.7,-0.4,105.98049085,118.37664192,1.48,1.1385,1.2424,1.0358,1.3044,0.9648,1.0451,0.9735,0.9308,0.9508,1.1423
SATD200603,03/01/2006,85480121.0,83773970.0,62257065.0,60363983.0,23223056.0,23409987.0,69483900.0,66502978.0,50693391.0,47790546.0,18790509.0,18712432.0,81.3,79.4,81.4,79.2,80.9,79.9,7552.0,7152.0,58286.0,54418.0,65838.0,61571.0,70799794.0,67212133.0,3617369.0,3375707.0,1493547,1450273,1012540,1019932,430329187.0,442470594.0,874469.0,821571.0,209210.0,210646.0,2126.4,1824.8,50.0,48.4,85.1,256623.0,250866.0,112.3,0.4,110.5,0.0,112.0,0.3,106.23271131,119.31496288,1.49,1.139,1.3149,1.0366,1.3359,0.9493,1.0434,0.9417,0.9741,0.9791,1.136
SATD200604,04/01/2060,82991119.0,83879257.0,59917615.0,60507420.0,23073504.0,23371837.0,67122793.0,67173084.0,48800883.0,48445298.0,18321910.0,18727786.0,80.9,80.1,81.4,80.1,79.4,80.1,7346.0,7360.0,55829.0,55951.0,63175.0,63310.0,68120559.0,68395314.0,3270920.0,3302153.0,1446164,1440814,1015609,1042860,445609435.0,451832043.0,806944.0,818393.0,209681.0,214473.0,1681.0,1793.7,47.1,45.6,84.9,250644.0,250631.0,111.5,-0.7,111.7,1.1,111.8,-0.2,106.5588287,117.88235294,1.48,1.159,1.2863,1.0298,1.3659,0.9694,1.0393,0.9588,0.9575,0.9227,1.134
