characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,22.6%,8.56,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Ntive, non-Hispanic",2012,28.1%,5.91,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,39.7%,5.1,NULL,88.0,15.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,39.9%,4.88,NULL,97.0,15.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,36.9%,4.82,NULL,89.0,15.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,38.6%,5.04,NULL,87.0,14.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,36.5%,4.98,NULL,82.0,14.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,42.9%,4.87,NULL,107.0,16.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,37.5%,4.73,NULL,95.0,15.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,41.2%,6.56,NULL,91.0,17.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,32.3%,4.81,NULL,96.0,16.0,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,35.4%,4.65,NULL,127.0,19.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2000,41.3%,0.81,NULL,3573.0,91.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2001,41.9%,0.82,NULL,3630.0,92.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2002,42.8%,0.78,NULL,3717.0,88.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2003,44.5%,0.78,NULL,3838.0,89.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2004,45%,0.78,NULL,3906.0,90.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2005,46.1%,0.79,NULL,3964.0,91.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2006,44.1%,0.78,NULL,3846.0,89.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.7%,0.78,NULL,3992.0,91.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2008,46.9%,0.78,NULL,4127.0,92.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2009,47.7%,0.78,NULL,4195.0,93.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2010,46.1%,1.17,NULL,4046.0,104.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2011,47.1%,1.08,NULL,4128.0,118.0,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2012,46%,1.08,NULL,3899.0,95.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,35.2%,1.72,NULL,726.0,43.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,35.5%,1.71,NULL,745.0,44.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,36.9%,1.68,NULL,732.0,41.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,36%,1.69,NULL,702.0,40.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,36.6%,1.67,NULL,731.0,41.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,37.6%,1.69,NULL,746.0,41.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,36.9%,1.65,NULL,755.0,42.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,34%,1.61,NULL,705.0,40.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,34.2%,1.59,NULL,731.0,41.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,41.9%,1.64,NULL,912.0,45.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,41.4%,2.16,NULL,910.0,48.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,39.9%,1.9,NULL,883.0,44.0,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,38.7%,2.33,NULL,870.0,53.0,NULL
Hispanic,Female,Hispanic,2000,25.4%,1.72,NULL,498.0,38.0,NULL
Hispanic,Female,Hispanic,2001,26.1%,1.67,NULL,551.0,40.0,NULL
Hispanic,Female,Hispanic,2002,24.4%,1.51,NULL,540.0,38.0,NULL
Hispanic,Female,Hispanic,2003,29.4%,1.6,NULL,651.0,41.0,NULL
Hispanic,Female,Hispanic,2004,28.2%,1.56,NULL,647.0,41.0,NULL
Hispanic,Female,Hispanic,2005,29.5%,1.58,NULL,675.0,42.0,NULL
Hispanic,Female,Hispanic,2006,27.6%,1.52,NULL,660.0,42.0,NULL
Hispanic,Female,Hispanic,2007,33%,1.57,NULL,816.0,46.0,NULL
Hispanic,Female,Hispanic,2008,28.9%,1.5,NULL,723.0,43.0,NULL
Hispanic,Female,Hispanic,2009,31%,1.5,NULL,803.0,46.0,NULL
Hispanic,Female,Hispanic,2010,36.1%,1.6,NULL,995.0,46.0,NULL
Hispanic,Female,Hispanic,2011,39.4%,1.58,NULL,1073.0,47.0,NULL
Hispanic,Female,Hispanic,2012,41.7%,1.73,NULL,1294.0,58.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,52.8%,3.45,NULL,296.0,28.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,58.9%,3.38,NULL,334.0,29.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,61.9%,3.06,NULL,377.0,29.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,60.4%,3.15,NULL,350.0,28.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-iHspanic",2004,57.7%,3.24,NULL,323.0,27.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,58.8%,3.28,NULL,318.0,27.0,NULL
"Asian, non-Hispanic",Female,"Asain, non-Hispanic",2006,58.3%,3.27,NULL,320.0,27.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,56.8%,3.17,NULL,335.0,28.0,NULL
"Asian, non-Hispanic",Female,"Asina, non-Hispanic",2008,63%,3.18,NULL,350.0,28.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,65.2%,3.08,NULL,376.0,29.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,65.8%,3.4,NULL,422.0,26.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,60.3%,3.37,NULL,363.0,27.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,60.4%,3.56,NULL,446.0,33.0,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,34.5%,13.76,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,57.6%,10.62,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,65.8%,17.09,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,25.8%,10.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,37.3%,12.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,32.1%,12.16,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,35.6%,11.18,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,28.5%,10.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,42.7%,13.05,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,40.3%,13.32,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaksa Native, non-Hispanic",2000,20.5%,7.47,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American IndianA/laska Native, non-Hispanic",2001,24.1%,5.37,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanoic",2002,26.9%,5.75,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ,e non-Hispanic",2003,15.6%,5.77,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, nno-Hispanic",2004,28.1%,6.55,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natiyve, non-Hispanic",2005,29.5%,6.66,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alasgka Native, non-Hispanic",2006,35.9%,8.39,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,34.5%,6.8,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,24.3%,5.82,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, no-Hispanic",2009,20.8%,6.43,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, on-Hispanic",2010,36.6%,7.99,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"Amerian Indian/Alaska Native, non-Hispanic",2011,24.4%,5.44,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2012,27.6%,5.55,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,43.3%,5.02,NULL,102.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,33.4%,4.84,NULL,77.0,14.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,46.7%,4.99,NULL,113.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,38.5%,4.89,NULL,92.0,15.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,41.6%,4.86,NULL,103.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,48.7%,5.17,NULL,110.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,41%,4.65,NULL,111.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,35.8%,5.23,NULL,92.0,15.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,46%,5.07,NULL,123.0,16.0,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,43.6%,5.13,NULL,152.0,23.0,NULL
