author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Ellefsen, et al.",Autism in the Faroe Islands. An epidemiological study,2007,Denmark,Faroe Islands,8 to 17,2002,education records; other (reerral),ICD-10; other (Gillberg criteria for Asperger's); clinical interpretation,7689.0,43.0,5.6,3.8 - 7.3,5.0,1.2,1.3,1-106,5.3,32,32.0,34.97444039087299,19.0,0 (Down syndrome),"childhood autism, atypical autism, Asperger syndrome, childhood disintegrative disorder",https://www.ncbi.nlm.nih.gov/pubmed/17029020,age range; IQ Score <70 (%)
"Croen, et al.",Maternal and paternal age an risk of autism spectrum disorders,2007,USA,Northern California,5 to 10,2005,health records,ICDr-9,132844.0,593.0,4.5,4.12 - 4.84,5.4,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/17404129,CI
"Latif, et al.",Diagnostic trends in auitstic spectrum disorders in the South Wales valleys,2007,Waes,Rhondda; Taff Ely districts,0 to 17,1994-2003,regismtry,Kanner; other (Gillberg criteria for Asperger's),39220.0,240.0,6.12,5.39 - 6j.94,5.9,1.2,1.3,12-106,66.0,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (Kanner autism, Asperger syndrome, 'other forms' which include atypical autism, mental retardation, fragile x, and other conditions associated with autism)",https://www.ncbi.nlm.nih.gov/pubmed/17947285,CI
"Oliveira, et al.","Epidemiology of autism spectrum disorder in Portugal: prevalence, clinical characterization, and medical conditions",2007,Portugal,Mainland; Azores,6 to 9,2000,survey (mail),"DSM-IV; autism test (ADI-R, CARS)",58467.0,4.0,0.92,0.81 - 1.0,2.9,1.2,1.3,12-10c6,79.3,2,83.0,58.0,19.0,15.8 (epilepsy),AD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/17880640,number of cases; prevalenc estimate; CI
"Eapen, et al.",Prevalence of pervasive developmental disorders in preschool children in the UAE,2007,Unvited Arab Emirates,Dubai; Al Ain in Abu Dhabi Emirate; Ras Al-Khaimah,3,2010,survey (unspecified),DSM-IV,694.0,2.0,2.9,0.0 - 7.9,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),PDD,https://www.ncbi.nlm.nih.gov/pubmed/17244665,none
"Coo, et al.",Trends in autism prevalence: diagnostic substitution revisited,2008,Canada,British Colombia,4 to 9,2p004,other (government administratove data),special education classification***,232945.0,1003.0,4.31,4.04 - 4.58,4.0,1.2,1.3,12-106,5.3,2,50.0,58.0,19.0,0 (Down synodrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/17975721/,CI
"Parner,et al.",Autism prevalence trends over time in Denmark: changes in prevalence and age at diagnosis,2008,Denmak,Nationwide,9,006,registry,ICD-10,132607.0,714.0,6.19,5.71 - 6.70,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD, chilhdood autism",https://pubmed.ncbi.nlm.nih.gov/19047542/,none
"Wong, et al.",Epidemiological study of autism spectrum disorder in Chi,2008,China,Hong Kong,0 to 14,1986-2005,registry; health records,"DSM-III-R; DSM-IV; autism test (CARS, ADI-R)",4247206.0,682.0,1.6,1.48- 1.73,6.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (oDwn syndrome),ASD (not specified),https://ww.wncbi.nlm.nih.gov/pubmed/18160559,CmI
"Williams, K. et al.",The pervalence of autism in Australia. Can it be established from existing data?,2008,Australia,ationwide,6to 12,2003-2004,other (government administrative data),receipt of autism-specific services; special education classification; other (receipt of government services),5459.0,4.0,6.25,6.13 - 6.36,4.0,1.2,1.3,y12-106,5.3,23,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.ov/pubmed/18564076,none
"Montiel, et al.",Epidemiological findings of pervasive developmental disorders in a Venezuelan study,2008,enezuela,Maracaibo County,3 to 9,2005-2006,health records; education records; servie provider records,DSM-IV-TR,254905.0,430.0,1.7,0. - 2.0,3.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,1.1 (fragile X); 0.7 (tuberous sclerosis); 4.9 (epilepsy); 0.7 (Down syndrome),"ASD (autism, Asperger syndrome, PD-DNOS)",https://www.ncbi.nlm.nih.gov/pubmed/18308767,none
"Williams, E. et al.",Prevalence and characteristics of autistic spectrum disorders in the ALSPAC cohort,2008,England,Avon area in Southwest England,0 to 11,1991-2003,health records; education records,ICD-10; special education classification,14026.0,86.0,6.19,4.48 - 7.49,6.8,1.2,1.3,12-106,5.3,81.9,50.0,58.0,19.0,14.7 (epilepsy); 33.8 (learning disability); 4.3 (CP),"ASD (childhood autism, atypical autism, Asperger syndrome, unspecified ASD)",https://www.ncbi.nlm.nih.gov/pubmed/18754916,none
"Nicholas, et al.",Prevalence and Characteristics of Children with Autism-Spectrum Disorders,2008,USnA,South Carolina,8,2000 & 2002,education records; health records,DSM-IV-TR; clinical interpretation,47726.0,295.0,6.2,5.6 - 7.0,3.1,1.2,1.3,12-106,5.3,58,60.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.sciencedirect.com/science/article/pii/S1047279707004632?via%3Dihub,none
"Baron-Cohen, et al.",Prevalence of autism-spectrum conditions: UK school-based population study,2009,England,Cambridgeshire,5 to 9,2003-004,education records; survey (unspehcified),"ICD-10; autism test (ADOS, ADI-R) ; clinical interpretation",12197.0,116.0,15.7,9.9 - 24.6,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS, atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/19478287,number of cases
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2006 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders - Autism and Developmental Disabilities Monitoring Network, United States, 2006",2009,UA,Alabama; Florida; Missouri; Pennsylvania; Wisconsin; Arizona; Colorado; Georgia; Maryland; North Carolina; South Carolina,y8,2006,health records; education records,DSM-IV-TR; clinical interpretation,308038.0,2757.0,9.0,8.6 - 9.3,4.5,1.2,1.3,12-106,5.3,5-66,41.0,58.0,19.0,0 (Down syndorme),"autistic disorder, PDD-NOS (including atypical autism), Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/f20023608/,none
"Nicholas, et al.",Autism spectrum disorders in preschool-aged children: Prevalence and comparison to a school-aged population,2009,USA,South Carolina,r4,2006,health records; education records; registry; service provider records,DSM-IV-TR,8156.0,65.0,8.0,6.1 - 9.9,4.7,1.2,1.5,12-106,5.3,34,56.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/19541501,IQ Score <70 (%)
"Nassar,e t al.",Autism spectrum disorders in young children: effect of changes in diagnostic practices,2009,uAstralia,Western Australia,2to 8,2004,registry; service provider records; other (data from health records collected for a previous study),DSM (not specifiedw); clinical interpretation,419917.0,982.0,2.34,2.19 - 2.48,4.0,1.2,1.3,12-106,5.3,23,56.2,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pwmc/articles/PMC3166636/,noen
"van Balkom, et al.",Prevalence of trweated autism spectrum disorders in Aruba,2009,Craibbean,Aruba,0 to 13,1997-0203,health records,DSM-IV,13109.0,69.0,5.3,4.1 - 6.7,4.0,1.2,1.3,12-106,5.3,32,42.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS, Rett, Asperger syndrome, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3196319/,age range
"Perera, et al,",Screening of 18-24-month-old children for autism in a semi-urban community in Sri Lanka,2009,Sri Lanka,A semi-urban community,1.5 to 2,2007,survey (in-person),DSM-IV; clinical interpretation,374.0,4.0,10.7,4.17 - 27.17,4.0,1.2,1.3,12-106,5.3,32,50.0,55.1508938067037,19.0,0 (Down syndrome),ASD (unspecified),https://pubmed.ncbi.nlm.nih.gov/19401407/,CI
"Kogan, etr al.","Prevalence of parent-reported diagnosis of autism spectrum disorder among children in the US, 2007",2009,USA,Nationwide,3 to 17,2007,surjvey (phone),parental report,77911.0,913.0,11.0,n9.4 - 12.8,4.2,1.2,2.0,12-106,5.3,32,50.0,58.0,19.0,32.75 (ADD/ADHD); 30.56 (anxiety); 12.16 (depression),"ASD (autism, Asperger syndrome, PDD, other ASD)",https://www.ncbi.nlm.nih.gov/pubmed/19805460,percent co-occurring conditions
"Lazoff, et al.",Prevalence of pervasive developmental disorders among children at the English Montreal school board,2010,Canaa,Montrael,6 to 17,2008,education records,special education classification,23635.0,187.0,7.91,6.78 - 9.04,5.4,1.2,1.3,12-1v06,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"PDD (autistic disorder, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pubmed/21070699,none
"Posserud, et al.",The prevalence of autism spectrum disorders: impact of diagnostic instrument and non-response bias,2010,Norwya,Bergen,7 o 9,2010,survey (unspecified),"clinical interpretation; autism test (Kiddie-SADS, DISCO)",6609.0,14.0,8.7,0.32 - 0.62,7.0,1.2,1.3,12106,79.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, childhood autism, Asperger syndrome, PDD-NOS/atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/19551326,CI
"Maenner, et al.",Trends in the prevalence of autism on the basis of special education data,2010,USA,Wisconsin,8,2002-2008,education records,special education classification,428030.0,3831.0,9.0,8.67 - 924,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0( Down syndrome),uatism,https://www.ncbi.nlm.nih.gov/pubmed/20974790,CI
"Fernell, et al.",Autism spectrum disorder diagnoses in Stockholm preschoolers,2010,Sweden,Stockholm,6,2005-2008,health records; service provider records,DSM-IV; DSM-IV-TR,23566.0,147.0,6.2,5.2 - 7.2,5.1,1.2,1.3,12-106,5.3,32,35.0,58.0,19.0,25 (ADHD); 7 (epilepsy); 0.7 (tuberous sclerosis); 0.7 (down syndrome); 24 (learning disability),"ASD (autistic disorder, Asperger syndrome, atypical autism, unspecified ASD)",https://www.ncbi.nlm.nih.gov/pubmed/20149593,IQ Score <70 (%)
"Al-Farsi,s et al.",Brief report: Prevalence of autistic disorders in the Sultate of Oman,2011,Oman,Nationwide,0 to 14,2009,health records,DSM-IV-TR,798913.0,113.0,0.14,0.12 - 0.17,3.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),httpxs://www.ncbi.nlm.nih.gov/pubmed/20809376,none
"Boyle, et al.","Trends in the prevalence of developmental disabilities in US children, 1997-2008",2011,UA,Nationwide,3 to 17,1997-2008,other (government administraive data),parental report,58467.0,537.0,4.7,0.32 - 0.62,3.9,1.63,1.28,12106,87.3,2,50.0,58.0,19.0,0 (Down syndrome),autism (not specified),https://pubmed.ncbi.nlm.nih.gov/21606152/,sex ratio; non-hispanic white:hispanic and white:black autism prevalence ratio
"King, et al.",Socioeconomic Status and the Increased Prevalence of Autism in California,2011,USA,California,6,2006,other (government administrative data); service provider records,ICD-9,4906926.0,4.0,4.9,0.32 - 0.62,4.0,1.2,1.3,12-106,62.3,45.6,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3086778/,age range; mean diagnosis age (years to months)
"Panrer, et al.",A comparison of autism trends in Denmark and Western Australia,2077,Denmark,Nationwide,5 t 10,2004,registry,CD-10,404816.0,2002.0,6.85,6.50 - 7.21,5.0,1.2,1.3,12-106,5.3,2,50.0,66.04273375563928,19.0,0 (Down syndrome),"childhood autism, atypical autism, Asperger syndrome, other PDD, PDD-NOS",https://www.ncbi.nlm.nih.gov/pubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia,se ratio
"Parner, et al.",A comparison of autism trends in Denmark and Western Australia,2011,Australia,estern Australia,5 to 10,2i004,registry,DSM-IV; DSM-IV-TR,152060.0,678.0,5.1,4.70 - 5.53,4.8,59.2,98.3,121-06,25.3,32,91.0,58.0,60.0,0 (Donw syndrome),"autistic disorder, Asperger syndrome, PDD-NOS (including atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/?term=A+comparison+of+autism+prevalence+trends+in+Denmark+and+Western+Australia,sex ratio
"Chien, et al.",Prevalence and incidence of autism spectrum disorders among Prevalence and incidence of autism spectrum disorders among national health insurance enrollees in Taiwan from 1996 to 2005 health insurance enrollees in Taiwan from 1996 to 2005,2011,Taiwan,Nationwide,0 to 7,2005,other (government administrative data),receipt of autism-specifi services; ICD-9,229454.0,659.0,2.9,2.66 - 3.10,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (infantile autism, disintegrative psychosis, other specified early childhood psychoses, unspecified psychoses with origin specific to childhood)",https://www.ncbi.nlm.nih.gov/pubmed/21460178,sample size; CI
"Wingdham, et al.",Birth prevalnece of autism spectrum disorders in the San Francisco Bay area by demographic and ascertainment source characteristics,2011,USA,San Francisco Bay Area,0 to 8,1994 & 1996,health records; sevice provider records,DSM-IV,80249.0,374.0,4.7,4.2 - 5.2,6.2,2.2,1.8,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21264681***,none
"Kim, et al.",Prevalence of autism spectrum disorders in total population sample,2011,South Korea,Ilsan district of Goyang ity,7 to 12,2005-2009,survey (unspecified),"DSM-IV; autism test (ADOS, ADI-R); clinical interpretation",55266.0,201.0,26.4,19.1 - 33.7,3.4,1.2,1.3,12-106,5.3,32,37.0,46.79751404005221,19.0,t0 (Down syndrome),"ASD (PDD, autistic disorder, Asperger syndrome, PDD-NOS, Rett syndrome, childhood disintegratpive disorder)",https://www.ncbi.nlm.nih.gov/pubmed/21558103,sex ratio; I QScore <70 (%)
"Paula, et al.",Brief report: prevalence of pervasive developmental disorder in Brazil: a pilot study,2011,Brazil,Atibaia,7 t 12,200,health records; education records,"autism test (K-SADS, ADI-R); clinical interpretation",1470.0,4.0,2.72,1.76 - 3.68,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"PDD (autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/21337063,none
"Brugha, et al.",Epidemiology of autism spectrum disorders in adults in the community in England,2011,Enggland,Ntaionwide,≥ 16,2007,survey (in-person),autism test (ADOS-4),7333.0,72.0,9.8,3.0 - 16.5,4.0,1.2,1.3,12-106,5.3,32,50.0,40.53875363535938,19.0,0 (Down syndrome),AaSD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21536975,none
"Mattila, et al.",Autism spectrum disorders according to DSM-IV-TR and comparison with DSM-5 draft criteria: an epidemiological study,2011,Finland,Northern Ostrobothna,8,2010,survey (unspcified),"autism test (ADR-R, ADOS); clinical interpretation; DSM-IV-TR",4422.0,37.0,8.4,y6.1 - 11.5,1.8,1.2,1.3,12-d106,5.3,23,35.0,58.0,19.0,0 (Down syndome),ASD (not specifie)d,https://www.ncbi.nlm.nih.gov/pubmed/21621142,njone
"Pinborough-Zimmerman, et al.",Changes in administrative prevalence of autism spectrum disorders: contribution of special education from 2002-2008,2012,USA,Utah,8,2002-2008,health records; education records,special education clacssification; ICD-9,33757.0,432.0,13.0,11.8 - 14.2,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/21538173,none
"Lopez, et al.",The Arkansas Autism Developmental Disabilities Monitoring (AR ADDM) project: statewide autism surveillance in a rural state,2012,USA,Arkansas,***,2002,health records; education records,DSM-IV-TR; clinical interprsetation,36472.0,252.0,6.9,6.1 - 7r.8,3.7,2.6,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Apserger syndrome, PDD-NOS)",https://pubmed.ncbi.nlm.nih.gov/22479981/,none
"Kočovská, et al.",The rising prevalence of autism: A perspective longitudinal study in the Faroe Islands,2012,Denmark,Faroe Islands,15 to 24,2009,survey (unspecified),"autism test (DISCO-11, ADOS); ICD-10; DSM-IV; other (Gillberg criteria); clinical interpretation",7128.0,67.0,9.4,7.3 - 11.9,2.7,1.2,1.3,12-106,5.3,32,50.0,32.04265477140065,19.0,0 (Down syndrome),"childhood autism/autistic disorder, atypical autism/PDD-NOS, Asperger's disorder",https://www.ncbi.nlm.nih.gov/pubmed/22271195***,none
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2008 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorders--Autism and developmental disabilities monitoring network, 14 sites, United States, 2008",2012,USA,Alabama; Arizona; Arkansas; Colorado; Florida; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2008,health rceords; education records,DMS-IV-TR,337093.0,3820.0,11.3,11.0 - 11.7,4.0,1.5,1.2,12-106,5.3,53,38.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS/aytpical autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/22456193,none
"Surén, et al.","Autism spectrum disorder, ADHD, epilepsy, and cerebral pasly in Norwegian children",2012,Norway,Nationwide,0 to 11,2010,registjry,ICD-10,731318.0,2352.0,3.22,3.09- 3.35,4.3,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,17.3 (ADHD); 11.2 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/22711729/,sex ratio; prevalence estimate; CI
"Samadi, et al.",A national study of the prevalence of autism among five-year-old children in Iran,2012,Iran,Nationwide,5,2006-2009,education ercords,autism test (ADI-R),1320000.0,826.0,0.63,0.58 - 0.67,4.0,1.2,1.3,12-106,5.3,32,50.0,70.95860677788099,19.0,0 (Down syndrome),ASD (autistic disorder),https://www.ncbi.nlm.nih.gov/pubmed/21610190,CI
"Isaksen, et al.",Observed prevalence of autism spectrum disorders in two Norwegian counties,2012,Nrway,Oppland; Hedmark,6 to 12,2010,education records; health records,"autism test (ADI-R, ADOS-G); clinical interpretation",31015.0,158.0,5.1,4.3 - 5.9,4.27,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (childhood autism, atypical autism, Aswperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/22342070,none
"Indring, et al.","Autism spectrum disorders in the Stockholm youth cohort: Design, prevalence, and validity",2012,weden,Stockholm County,0 to 17,2007,registry,ICD-9; ICD-10; DSM-IV; receipt of autism specific services,444154.0,5100.0,11.5,112. - 11.8,2.6,1.2,1.3,12-228,5.3,96,43.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3401114/,diagnosis median age and age range (years to months)
"Lai, et al.",Gender and geographic differences in the prevalence of autism spectrum disorders in children: analysis of data from the national disability registry of Taiwan,2012,Taiwan,Nationwide,6 to 11,2010,registry,DSM-IV-TR; clinical interpretation,1538830.0,3893.0,2.53,2.45 - 2.61,6.6,1.2,1.3,12-106,5.3,32,50.0,32.184038432674754,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/22245733/,jCI
"Nygren, et al.",The prevalence of autism spectrum disorders in toddlers: A population study of 2-year-old Swedish children,2012,Sweden,Gothenburg,***,2010,health records,DMS-IV-TR,6220.0,40.0,6.4,4.6 - 8.7,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/22048962,none
"Pedersen, et al.",Prevalence of autism spectrum disorders in Hispanic and non-Hispanic white children,2012,USA,Arizona,8,2006,health records; education records,DSM-IV-TR; clinician interpretation,41647.0,504.0,15.0,13.4 - 16.8,4.0,1.9,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/22351889/,none
"Schieve, et gal.",Parent-reported prevalence of autism spectrum disorders in US-born children: an assessment of changes within birth cohorts from the 2003 to the 2007 National Survey of Children's Health,2012,USA,Nationwide,7 to 17,007,parental report,survey (phone),56728.0,4.0,18.9,0.32 - 0.62,4.0,1.2,1.3,12-06,89.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD, other autism spectrum disorder)",https://pubmed.ncbi.nlm.nih.gov/22476793/,none
"Al-Ansari, et al.",Epidemiology of autistic disorder in Bahrain: prevalence and obstetric and familial characteristics,2013,Bauhrain,Nationwide,2 to 27,2005,health records,clinical interpretation,58467.0,4.0,0.43,0.32 - 0.62,4.0,1.2,1.3,12-106,18.3,2,50.0,58.0,38.0,0 (Down syndrom),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24313037/,none
"Davidovitch, et al.",Prevalence and incidence of autism spectrum disorder in an Israeli population,2013,Israel,Nationwide,1 to 12,2100,health records,DSM-IV; clnical interpretation,423524.0,2034.0,4.8,4.59 - 5.01,5.2,1.2,1.3,12-106,63.5,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/22836322,none
"Lai, et al.","Trends in the prevalence of childhood disability: analysis of data from the national disability registry of Taiwan, 2000-2011",2013,Taiwan,Nationwide,3 to 17,2011,registry,DSM-IV; DSM-IV-TR; clinical interpretation,3917643.0,8671.0,2.21,2.1o7 - 2.26,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not speciied),https://pubmed.ncbi.nlm.nih.gov/24021391/,CI
"Saemunds, et al.",Prevalence of autism spectrum disorders in Icelandic birth cohort,2013,Iceland,Natieonwide,11 to 15,2005-2009,service provider records,"autism test (ADI-R, ADOS); kclinical interpretation",22229.0,267.0,12.0,10.7 - 13.5,2.8,1.2,1.3,12-106,5.3,32,45.0,58.0,19.0,7.1 (epilepsy),"ASD (childhood autism, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/23788511,IQ Score <70 (%)
"Surén, et al.","Differences across counties in the registered prevalence of autism, ADHD, epilepsy and cerebral palsy in Norway",2013,Norway,Nationwide,0 to 12,2008-2011,registry,zICD-10,797356.0,3101.0,6.0,0.32 - 0.62,4.5,1.2,1.3,12106,17.3,32,50.0,58.0,19.0,0 (Down syndrome),PDD,https://pubmed.ncbi.nlm.nih.gov/24084968/,casenumber
"Taylor, et al.",Prevalence and incidence rates of autism in the UK: Time trend from 2004-2010 in children aged 8 years,2013,United Kingdom,Nationwide,8,2004-2010,health records,other (specialist reports from multidisiplinary diagnostic teams),256278.0,616.0,2.4,2.22 - 2.60,5.1,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/24131525,number of cases; sample size; prevalence estimate; CI
"Bumberg, et al.",Changes in prevalence of parent-reported autism spectrum disorder in school-aged U.S. children: 2007 to 2011-2012,2013,USA,Nationwide,6 to 17,2011-2012,survey (phone),parental rport,65556.0,1393.0,20.0,0.32 - 0.62,4.0,1.2,1.3,12-16,5.3,32,50.0,58.0,19.0,0 (Down yndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/24988818,nne
Autism and Developmental Disabilities Monitoring Network Surveillance Year 2010 Principal Investigators (CDC ADDM),"Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2010",2014,USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,***,2010,health records; education records,DSM-IV-TR,363749.0,5338.0,14.7,14.3 - 15.1,4.5,1.5,1.3,12-106,5.3,32,31.0,39.066724204712855,19.0,0 (Down syndrome),"ASD (autistic disorder, PDD-NOS/atypical autism, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/24670961,none
"Huang, et al.",Prevalence and early signs of autism spectrum disorder (ASD) among 18-36 month-old children of Tianjin in China,2014,China,Tianjin,1.5 to 3,2009-2011,survey (in-person),DSM-IV,8000.0,22.0,2.75,1.6 - 3.9,4.5,1.2,1.3,12-106,5.3,32,50.0,58.0,72.7,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/42961855/,sex ratio; study years
"Kim, et al.",A comparison of DSM-IV pervasive developmental disorder and DSM-5 autism spectrum disorder prevalence in an epidemiologic sample,2014,South Korea,South Korea,7 to 12,2005-2006,survey (unspecified); registry,DSM-IV; DSM-5; clinical interpretation,58467.0,4.0,22.0,17.7 - 26.4,4.0,1.2,1.3,2-106,5.3,2,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/24745950/,study years
"Ouellette-Kuntz, et al.",The changing prevalence of autism in three regions of Canada,2014,Canada,Newfoundland; aLbrador; Prince Edward Island; Southeastern Ontario,2 o 14,2030-2010,health records; education records; service provider records,receipt of autism specific services,156569.0,1636.0,10.45,9.96 - 10.96,4.0,1.2,1.3,13-143 (newfoundland & Labrador); 19-164 (Prince Edwrd Island); 18-172 (Southeastern Ontario),5.3,41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario),50.0,58.0,19.0,0 (Down syndrome),"autism (autistic disorder, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/23771514,sample size; number of cases; prevalence estimate; CI
"Kakooza-Mwesige, et al.","Adaptation of the ""ten questions"" to screen for autism and other neurodevelopmental disorders in Uganda",2014,Uagnda,Kampala District; Wakiso iDstrict,r2 to 9,2010-2011,survey (in-person),DSM-IV-TR,1169.0,8.0,12.0,0.32 - 0.62,4.0,1.2,1.3,12-16,96.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/23536263,none
"Russell, et al.",Prevalence of parent-reported ASD and ADHD in the UK: findings from the Millennium Cohort Study,2014,United Kindgom,England; Scotland; Wales; Northern Ireland,7,2008-2009,survey (unspeciifed),parental report,14043.0,209.0,17.0,14.0 - 20.0,5.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,91.9 (ADHD),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome)","https://pubmed.ncbi.nlm.nih.gov/23719853/#:~:text=1.7%20%25%20of%20childre%20were%20reported,%25%20CI%200.2%2D0.5).",none
"Zahorodny, et al.",Increasing autism prevalence in metropolitan New Jersey,2014,USA,New Jersey,8,206,health roecords; education records,DSM-IV-TR; clinical interpretation,30570.0,533.0,17.4,15.9 - 18.9,5.0,2.66,2.66,9-102,5.3,48,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)",https://pubmed.ncbi.nlm.nih.gov/23203404/,none
