OBJECTID,Potential_Treatment_Area_Name,FIAT_Planning_Area_Name,Treatment_Purpose_Need,Total_Acres_Potential_Treament_,Treatment_Type,Treatment_Within_Ongoing_Projec,Priority_for_Implementation,FIAT_Assessment_Area,Priority_Ranking,SHAPE_Length,SHAPE_Area
173,Butte Mountains,Cherry Creek,Coniferous Encroachment,5127.1519,Both,No,High,Southern Great Basin,1,53979.4230645943,-20748847.1693722
174,Cherry Creek Basin,Cherry Creek,Coniferous Encroachment,14421.821,Both,No,High,Southern Great Basin,1,60085.6268926776,-58363038.7227485
175,Egan Basin,Egan,Coniferous Encroachment,8124.3696,Both,No,High,Southern Great Basin,1,70692.4358036928,-32878156.7278495
176,South Butte,Egan,Coniferous Encroachment,18399.578,Both,No,High,Southern Great Basin,1,144217.826811545,-74460452.3499563
177,Baughman,Egan,Coniferous Encroachment,2528.7297,Both,No,High,Southern Great Basin,1,32571.3878879644,-10233405.8451987
178,Telegraph,Egan,Coniferous Encroachment,6114.0576,Both,No,Moderate,Southern Great Basin,2,29708.8643240989,-24742712.7802287
179,Thirty Mile,Egan,Coniferous Encroachment,7891,Both,No,High,Southern Great Basin,1,36783.5597676808,-31933743.6089179
180,Mountain Spring,Long Valley,Coniferous Encroachment,13548.009,Both,No,High,Southern Great Basin,1,31082.8517975664,-54826846.4218849
181,Little Willow Spring,Long Valley,Coniferous Encroachment,17096.521,Both,No,High,Southern Great Basin,1,39504.6625674953,-69187169.8214198
182,Long Valley Bench,Long Valley,Coniferous Encroachment,6885.9814,Both,No,High,Southern Great Basin,1,55731.4686245101,-27866578.479582
183,Antelope Range,North Spring,Coniferous Encroachment,15916.78,Both,No,Moderate,Southern Great Basin,2,65604.032170701,-64412925.7653762
184,North Schell Creek,North Spring,Coniferous Encroachment,10072.046,Both,No,High,Southern Great Basin,1,46207.178017325,-40760123.0930493
185,Kalamazoo Pass,North Spring,Coniferous Encroachment,22194.545,Both,No,High,Southern Great Basin,1,65497.041139526,-89818135.3239336
186,Black Sage,Ruby,Coniferous Encroachment,4138.5161,Both,No,High,Southern Great Basin,1,21674.8826983801,-16747980.7467295
187,East Humboldt,Ruby,Coniferous Encroachment,19046.949,Both,No,High,Southern Great Basin,1,46747.4500142316,-77080266.472156
188,Valley Mountain,Ruby,Coniferous Encroachment,16455.219,Both,No,High,Southern Great Basin,1,52609.0397872461,-66591908.2271109
189,South Steptoe Bench,Steptoe Cave,Coniferous Encroachment,27430.627,Both,No,High,Southern Great Basin,1,97718.5561076642,-111007811.037495
190,Terrace,Steptoe Cave,Coniferous Encroachment,5193.1216,Both,No,High,Southern Great Basin,1,34000.262755265,-21015817.5071819
191,Cave Valley Bench,Steptoe Cave,Coniferous Encroachment,7541.3872,Both,No,High,Southern Great Basin,1,68128.7635639644,-30518911.0816313
192,Cattle Camp,Steptoe Cave,Coniferous Encroachment,23606.492,Both,No,Moderate,Southern Great Basin,2,61613.8883868735,-95532085.4733014
193,Meadow Valley Wash,Table Mtn Hamlin Valley,Coniferous Encroachment,45343.66,Both,No,High,Southern Great Basin,1,73044.9257626077,-183499283.543339
194,Table Mountain,Table Mtn Hamlin Valley,Coniferous Encroachment,11212.762,Both,No,Moderate,Southern Great Basin,2,77392.5152032033,-45376438.2385041
195,Cave and Lake S-10,Table Mtn Hamlin Valley,Coniferous Encroachment,11626.352,Both,No,Moderate,Southern Great Basin,2,69079.781026143,-47050177.1396651
196,Cave and Lake A-2,Table Mtn Hamlin Valley,Coniferous Encroachment,3298.6184,Both,No,Moderate,Southern Great Basin,2,19585.1129246974,-13349034.5978169
197,Mokomoke Mountain,Western White Pine,Coniferous Encroachment,51313.98,Both,No,Moderate,Southern Great Basin,2,111804.725631891,-207660317.950681
198,Jakes Valley,Western White Pine,Coniferous Encroachment,48282.527,Both,No,High,Southern Great Basin,1,236851.880379543,-195392456.176292
199,South Newark Valley,Western White Pine,Coniferous Encroachment,18043.043,Both,No,High,Southern Great Basin,1,82888.1865432333,-73017600.4903616
200,East Pancake,Western White Pine,Coniferous Encroachment,8632.2266,Both,No,High,Southern Great Basin,1,62313.7226004976,-34933381.7153522
201,Porter Fan,Reese R. Yomba Desatoya,Coniferous Encroachment,6406.4438,Both,No,High,Southern Great Basin,1,48611.1284463471,-25925958.2985848
202,Grass Valley,Parker Mountain,Coniferous Encroachment,188787.23,Both,No,Moderate,Southern Great Basin,2,241580.781479222,-763994832.609918
203,Parker Mountain,Parker Mountain,Coniferous Encroachment,104341.69,Both,No,Moderate,Southern Great Basin,2,175704.400815899,-422255814.994804
204,Dog Valley,Panguitch,Coniferous Encroachment,173533.38,Both,No,Moderate,Southern Great Basin,2,218186.148508011,-702264623.294883
205,Black Mountain,Bald Hills,Coniferous Encroachment,43806.195,Both,No,Moderate,Southern Great Basin,2,96413.4751058952,-177277380.405432
206,Buckhorn Flat,Bald Hills,Coniferous Encroachment,15252.085,Both,No,High,Southern Great Basin,1,38941.3469314315,-61722996.7232787
207,Johns Valley PJ removal,Johns Valley,Coniferous Encroachment,40487.402,Both,No,Moderate,Southern Great Basin,2,100320.464980013,-163846702.577592
208,Toyn Creek,South Fork,Coniferous Encroachment,830.51904,Both,No,High,Southern Great Basin,1,7694.61584196813,-3360991.43560611
209,Stoneberger,Punchbowl,Coniferous Encroachment,12031.106,Both,No,High,Southern Great Basin,1,28761.4549668227,-48688160.4652413
210,Cloverdale,Reese R. Yomba Desatoya,Coniferous Encroachment,3676.7375,Both,No,High,Southern Great Basin,1,19951.1603106539,-14879228.5036633
211,Clan Alpine,Reese R. Yomba Desatoya,Coniferous Encroachment,3611.8574,Both,No,High,Southern Great Basin,1,36516.332643992,-14616668.4433585
212,Haypress,Reese R. Yomba Desatoya,Coniferous Encroachment,30541.066,Both,No,High,Southern Great Basin,1,56738.1764115367,-123595307.392581
213,Reese/Grass to Callaghan cooridor,Bates Callaghan,Coniferous Encroachment,1625.5031,Both,No,High,Southern Great Basin,1,17492.5162176587,-6578177.62965776
214,Grass/Bean to Bates cooridor,Bates Callaghan,Coniferous Encroachment,1689.8357,Both,No,High,Southern Great Basin,1,11156.7714718261,-6838522.6077926
215,Hastings Fire 2005 ,South Fork,Invasives_SagebrushPE,1180.8314,Restoration,No,Moderate,Southern Great Basin,2,15049.0248527854,-4778655.12516057
216,Harrison Fire 2007,South Fork,Invasives_SagebrushPE,562.4339,Restoration,No,Moderate,Southern Great Basin,2,10908.3050021807,-2276089.25308436
217,Table Mountain,Bates Callaghan,Invasives_SagebrushPE,802.27686,Restoration,No,Low,Southern Great Basin,3,19478.9041331992,-3246699.14898276
218,Black Mountain,Bald Hills,Coniferous Encroachment,7.0939817,Both,No,High,Southern Great Basin,1,3365.80273344774,-28708.324749818
219,Black Mountain,Bald Hills,Coniferous Encroachment,41546.461,Both,No,High,Southern Great Basin,1,54873.5140598311,-168132556.575211
220,Buckhorn Flat,Bald Hills,Coniferous Encroachment,5127.4565,Both,No,Moderate,Southern Great Basin,2,20366.2962192136,-20750079.4550568
221,Dog Valley,Panguitch,Coniferous Encroachment,124507.05,Both,No,,Southern Great Basin,,146184.671071887,-503862159.280757
222,Dog Valley,Panguitch,Coniferous Encroachment,278811.94,Both,No,High,Southern Great Basin,1,220982.256785278,-1128311846.4536
223,Johns Valley PJ removal,Johns Valley,Coniferous Encroachment,36985.844,Both,No,High,Southern Great Basin,1,51156.0567643527,-149676402.553333
224,Parker Mountain,Parker Mountain,Coniferous Encroachment,44556.223,Both,No,High,Southern Great Basin,1,101684.429414571,-180312641.83784
225,Grass Valley,Parker Mountain,Coniferous Encroachment,59394.074,Both,No,High,Southern Great Basin,1,122687.960695591,-240359297.404226
226,NV-UT Hamlin Bench,Table Mtn Hamlin Valley,Coniferous Encroachment,84382.805,Both,No,Moderate,Southern Great Basin,2,153357.97750434,-341485109.438308
227,NV-UT Hamlin Bench,Table Mtn Hamlin Valley,Coniferous Encroachment,61217.539,Both,No,High,Southern Great Basin,1,164135.108890375,-247738593.383816
228,Monitor Valley,Punchbowl,Coniferous Encroachment,17865.98,Both,No,Moderate,Southern Great Basin,2,128955.864893213,-72301054.8759732
229,Fish Lake Valley,Punchbowl,Coniferous Encroachment,19310.098,Both,No,Moderate,Southern Great Basin,2,141043.277998014,-78145189.6105387
230,Sulpher Spring,Bates Callaghan,Coniferous Encroachment,1390.6786,Both,No,Moderate,Southern Great Basin,2,16172.1996141292,-5627876.61648793
231,Sadler Complex 1999,South Fork,Invasives_SagebrushPE,86506.164,Restoration,No,Moderate,Southern Great Basin,2,238742.868728477,-350078039.446266
232,White Rock Fire,Table Mtn Hamlin Valley,Invasives_SagebrushPE,6245.1001,Restoration,No,Low,Southern Great Basin,3,53807.510297639,-25273023.5336473
233,Paradise Fire,Table Mtn Hamlin Valley,Invasives_SagebrushPE,5626.876,Restoration,No,Low,Southern Great Basin,3,31086.2066743043,-22771158.4781406
234,Odgers Riparian Restoration,Cherry Creek,Sagebrush_Protection_Enhance,6462.3711,Restoration,No,High,Southern Great Basin,1,35730.1140912322,-26152288.0407342
235,Mokomoke Mountain,Western White Pine,Coniferous Encroachment,19081.631,Both,No,High,Southern Great Basin,1,82894.8454727295,-77220622.3587362
236,Terrace,Steptoe Cave,Coniferous Encroachment,420.08871,Both,No,Low,Southern Great Basin,3,6546.94642710089,-1700038.73729157
237,Terrace,Steptoe Cave,Coniferous Encroachment,4643.7026,Both,No,Moderate,Southern Great Basin,2,36906.1089142447,-18792397.5649008
238,South Steptoe Bench,Steptoe Cave,Coniferous Encroachment,22058.113,Both,No,Moderate,Southern Great Basin,2,72628.8882514769,-89266013.7508717
239,Little Willow Spring,Long Valley,Coniferous Encroachment,10957.82,Both,No,Moderate,Southern Great Basin,2,38383.7098429178,-44344724.0558995
240,Egan Basin,Egan,Coniferous Encroachment,7856.8511,Both,No,Moderate,Southern Great Basin,2,38600.7577182843,-31795547.4165174
241,Telegraph,Egan,Coniferous Encroachment,5834.9438,Both,No,High,Southern Great Basin,1,30847.4504825392,-23613179.1738846
242,Grassy Valley Rd Winnemucca,Sonomas,Sagebrush_Protection_Enhance,300.10663,Fuels,No,Moderate,Southern Great Basin,2,80229.7365511167,-1214484.67571418
243,Rock Creek,Sonomas,Sagebrush_Protection_Enhance,132.31056,Fuels,No,High,Southern Great Basin,1,35403.2250885949,-535436.394664003
244,Rock Creek,Sonomas,Sagebrush_Protection_Enhance,71.923897,Fuels,No,High,Southern Great Basin,1,19053.034405902,-291046.990414526
245,Rock Creek,Sonomas,Sagebrush_Protection_Enhance,114.81957,Fuels,No,High,Southern Great Basin,1,30563.6208146537,-464631.012573348
246,CCC North Ruby Valley Rd,Ruby,Sagebrush_Protection_Enhance,213.73024,Fuels,No,High,Southern Great Basin,1,57254.756977534,-864928.205932743
247,Hwy 229,Ruby,Sagebrush_Protection_Enhance,86.054207,Fuels,No,High,Southern Great Basin,1,22792.851130084,-348245.6395453
248,Hwy 93,Ruby,Sagebrush_Protection_Enhance,93.879837,Fuels,No,High,Southern Great Basin,1,25151.4377639793,-379914.865613985
249,Old Sprucemont Rd,Ruby,Sagebrush_Protection_Enhance,128.10173,Fuels,No,High,Southern Great Basin,1,34105.4315184814,-518403.082519873
250,NF-108,Ruby,Sagebrush_Protection_Enhance,20.438431,Fuels,No,Low,Southern Great Basin,3,5491.2565080157,-82707.4781921931
251,NF-41,Ruby,Sagebrush_Protection_Enhance,27.21179,Fuels,No,Moderate,Southern Great Basin,2,7235.48692409784,-110113.773573611
252,North Valley Mtn,Ruby,Sagebrush_Protection_Enhance,103.65846,Fuels,No,High,Southern Great Basin,1,27381.0600572793,-419486.083472089
253,South Valley Mnt Bend,Ruby,Sagebrush_Protection_Enhance,92.024849,Fuels,No,High,Southern Great Basin,1,24573.4533424808,-372393.053321849
254,Hwy 278 North,South Fork,Sagebrush_Protection_Enhance,89.181618,Fuels,No,Moderate,Southern Great Basin,2,23838.2637304131,-360901.850689979
255,Hwy 278 South,South Fork,Sagebrush_Protection_Enhance,87.881874,Fuels,No,High,Southern Great Basin,1,23491.7390169447,-355641.789390409
256,Rain Mine Road,South Fork,Sagebrush_Protection_Enhance,199.91568,Fuels,No,Moderate,Southern Great Basin,2,53176.0852990443,-809005.432803923
257,North Pine,South Fork,Sagebrush_Protection_Enhance,83.226234,Fuels,No,Moderate,Southern Great Basin,2,22099.8365049302,-336783.83144725
258,Bunker Hill,South Fork,Sagebrush_Protection_Enhance,129.46774,Fuels,No,High,Southern Great Basin,1,34418.0077602336,-523929.266912103
259,Bald Mountain Mine Road,South Fork,Sagebrush_Protection_Enhance,140.96428,Fuels,No,High,Southern Great Basin,1,37747.7832669256,-570457.984738869
260,Hunington Creek West,South Fork,Sagebrush_Protection_Enhance,158.26526,Fuels,No,High,Southern Great Basin,1,41805.8417764359,-640471.782921613
261,Red Rock Ranch,South Fork,Sagebrush_Protection_Enhance,100.10185,Fuels,No,High,Southern Great Basin,1,26722.4862774393,-405083.25652319
262,Porter Creek,South Fork,Sagebrush_Protection_Enhance,144.4826,Fuels,No,High,Southern Great Basin,1,38210.9867502483,-584694.752252264
263,Huntington Creek South,South Fork,Sagebrush_Protection_Enhance,138.12032,Fuels,No,High,Southern Great Basin,1,36649.5069364369,-558947.05720243
264,East Cortez,Cortez,Sagebrush_Protection_Enhance,250.24585,Fuels,No,High,Southern Great Basin,1,66482.7119670169,-1012689.8828477
265,West Cortez,Cortez,Sagebrush_Protection_Enhance,101.96867,Fuels,No,High,Southern Great Basin,1,27140.8012194451,-412648.765027779
266,Hwy 50,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,628.7439,Fuels,No,High,Southern Great Basin,1,166514.631127816,-2544432.62665973
267,Camp Creek,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,54.305,Fuels,No,High,Southern Great Basin,1,14506.5229866572,-219759.862649855
268,Hwy 722,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,444.81842,Fuels,No,High,Southern Great Basin,1,117725.433629834,-1800110.70583787
269,Smith Creek Ranch,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,334.45886,Fuels,No,High,Southern Great Basin,1,89084.0266753697,-1353497.94866055
270,Smith Creek Ranch West,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,29.474321,Fuels,No,High,Southern Great Basin,1,7864.09068743123,-119273.510886811
271,Ione Valley,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,365.73837,Fuels,No,High,Southern Great Basin,1,97095.3069910614,-1480086.56569397
272,South Smith,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,41.166416,Fuels,No,High,Southern Great Basin,1,11040.4376322696,-166590.937460684
273,Campbell Creek,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,107.66223,Fuels,No,High,Southern Great Basin,1,28657.3965531292,-435672.168908728
274,Elk Horn Pass Road,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,102.351,Fuels,No,High,Southern Great Basin,1,27173.3573720238,-414194.992523872
275,Ione Road,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,348.80707,Fuels,No,High,Southern Great Basin,1,92891.9485005355,-1411562.78703759
276,Ravenswood,Bates Callaghan,Sagebrush_Protection_Enhance,441.37704,Fuels,No,High,Southern Great Basin,1,117451.473219534,-1786157.06543357
277,Silver Creek,Bates Callaghan,Sagebrush_Protection_Enhance,74.922173,Fuels,No,High,Southern Great Basin,1,19822.2392135161,-303195.12869422
278,Narrows,Bates Callaghan,Sagebrush_Protection_Enhance,255.16724,Fuels,No,High,Southern Great Basin,1,68148.4673175134,-1032621.78359837
279,Carico,Bates Callaghan,Sagebrush_Protection_Enhance,153.57475,Fuels,No,High,Southern Great Basin,1,40820.127859277,-621490.474669093
280,Hwy 50 Bob Scott Pass,Bates Callaghan,Sagebrush_Protection_Enhance,183.97736,Fuels,No,High,Southern Great Basin,1,48821.5782230348,-744525.921565646
281,Grass Valley South,Bates Callaghan,Sagebrush_Protection_Enhance,224.85292,Fuels,No,High,Southern Great Basin,1,59893.5977357396,-909943.904954513
282,Hwy 50 West Eureka,Bates Callaghan,Sagebrush_Protection_Enhance,530.20325,Fuels,No,High,Southern Great Basin,1,139828.057553438,-2145652.7311418
283,Roberts Creek,Bates Callaghan,Sagebrush_Protection_Enhance,177.95239,Fuels,No,High,Southern Great Basin,1,47611.5504634969,-720144.03544782
284,Bean Flat,Bates Callaghan,Sagebrush_Protection_Enhance,255.9781,Fuels,No,High,Southern Great Basin,1,68499.8198478056,-1035902.89138975
285,Bean Flat West,Bates Callaghan,Sagebrush_Protection_Enhance,109.87966,Fuels,No,High,Southern Great Basin,1,29086.5600489737,-444659.778084072
286,Gold Bar Road,Bates Callaghan,Sagebrush_Protection_Enhance,135.83646,Fuels,No,High,Southern Great Basin,1,36052.0421252728,-549702.623509302
287,Toquima,Punchbowl,Sagebrush_Protection_Enhance,61.529301,Fuels,No,High,Southern Great Basin,1,16364.1661864909,-248995.603080021
288,Barley Creek,Punchbowl,Sagebrush_Protection_Enhance,183.82802,Fuels,No,High,Southern Great Basin,1,48732.4634239527,-743908.55226691
289,Little Fish Lake,Punchbowl,Sagebrush_Protection_Enhance,437.431,Fuels,No,High,Southern Great Basin,1,116495.535889555,-1770194.52597424
290,Seven Mile Wash,Punchbowl,Sagebrush_Protection_Enhance,178.70589,Fuels,No,High,Southern Great Basin,1,47728.2820720504,-723190.964786816
291,Willow Creek Ranch,Antelope Valley,Sagebrush_Protection_Enhance,160.70114,Fuels,No,High,Southern Great Basin,1,42836.926708152,-650329.744631577
292,Indian Creek,Antelope Valley,Sagebrush_Protection_Enhance,54.55938,Fuels,No,High,Southern Great Basin,1,14553.3229021495,-220785.255197719
293,Antelope Valley Road,Antelope Valley,Sagebrush_Protection_Enhance,302.55304,Fuels,No,Moderate,Southern Great Basin,2,80942.5473169277,-1224385.39391683
294,Antelpe Valley East,Antelope Valley,Sagebrush_Protection_Enhance,61.42094,Fuels,No,Moderate,Southern Great Basin,2,16239.9545069002,-248557.867615606
295,West Hamlin,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,162.86801,Fuels,No,High,Southern Great Basin,1,43543.9686876365,-659096.897812
296,Camp Valley,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,187.11073,Fuels,No,High,Southern Great Basin,1,49982.4836426906,-757202.736883367
297,Cedar Flat,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,527.29614,Fuels,No,Low,Southern Great Basin,3,139914.085532113,-2133842.00903316
298,Meadow Spring,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,85.243904,Fuels,No,High,Southern Great Basin,1,22654.5437514152,-344963.731086187
299,Atchison Creek,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,100.88754,Fuels,No,High,Southern Great Basin,1,26817.7713751132,-408264.222820573
300,Spanish George,Table Mtn Hamlin Valley,Sagebrush_Protection_Enhance,141.71497,Fuels,No,High,Southern Great Basin,1,37632.1435011758,-573490.201965807
301,Bullwhack,Steptoe Cave,Sagebrush_Protection_Enhance,816.26862,Fuels,No,High,Southern Great Basin,1,218100.185503394,-3303303.49157069
302,Illipah East,Western White Pine,Sagebrush_Protection_Enhance,111.99619,Fuels,No,High,Southern Great Basin,1,29569.2235510845,-453223.332313158
303,Illipah North,Western White Pine,Sagebrush_Protection_Enhance,124.56247,Fuels,No,High,Southern Great Basin,1,33324.6804836866,-504078.626285912
304,Pancake,Western White Pine,Sagebrush_Protection_Enhance,309.24356,Fuels,No,High,Southern Great Basin,1,82560.92769655,-1251451.24957703
305,Bacon,Western White Pine,Sagebrush_Protection_Enhance,154.15295,Fuels,No,High,Southern Great Basin,1,40998.7785999796,-623827.108982299
306,Eggs,Western White Pine,Sagebrush_Protection_Enhance,124.11655,Fuels,No,High,Southern Great Basin,1,33142.5837970149,-502273.394764915
307,White River North,Western White Pine,Sagebrush_Protection_Enhance,335.64828,Fuels,No,High,Southern Great Basin,1,89446.4054079488,-1358307.04309012
308,Buck Mountain,Long Valley,Sagebrush_Protection_Enhance,110.07296,Fuels,No,High,Southern Great Basin,1,29483.8830140182,-445443.554267331
309,Long Valley,Long Valley,Sagebrush_Protection_Enhance,342.60559,Fuels,No,High,Southern Great Basin,1,91358.344596843,-1386450.68552067
310,Sand Dunes,Long Valley,Sagebrush_Protection_Enhance,160.68611,Fuels,No,High,Southern Great Basin,1,42792.4149841504,-650260.514325144
311,Schellbourne Pass,North Spring,Sagebrush_Protection_Enhance,132.52751,Fuels,No,Moderate,Southern Great Basin,2,35047.7732191947,-536314.933612976
312,Chicken Knoll,North Spring,Sagebrush_Protection_Enhance,140.83322,Fuels,No,High,Southern Great Basin,1,37287.7520413019,-569918.844570903
313,Spring Valley,North Spring,Sagebrush_Protection_Enhance,378.50967,Fuels,No,High,Southern Great Basin,1,100716.131136535,-1531750.53225808
314,South Butte,Egan,Sagebrush_Protection_Enhance,720.28705,Fuels,No,High,Southern Great Basin,1,192290.844155109,-2914878.60217614
315,Hunter Point,Egan,Sagebrush_Protection_Enhance,181.94943,Fuels,No,High,Southern Great Basin,1,48490.6275723491,-736317.220154545
316,County Road 27,Egan,Sagebrush_Protection_Enhance,229.18858,Fuels,No,Moderate,Southern Great Basin,2,61013.8653847335,-927473.829889067
317,West Cherry Creek,Cherry Creek,Sagebrush_Protection_Enhance,513.0882,Fuels,No,High,Southern Great Basin,1,136981.886458353,-2076377.53521
318,West Taylor Canyon,Cherry Creek,Sagebrush_Protection_Enhance,41.230808,Fuels,No,High,Southern Great Basin,1,10953.2129229637,-166850.465242123
319,East Taylor Canyon,Cherry Creek,Sagebrush_Protection_Enhance,82.952568,Fuels,No,Moderate,Southern Great Basin,2,21992.639782558,-335684.826000871
320,Butte Valley,Cherry Creek,Sagebrush_Protection_Enhance,485.89307,Fuels,No,High,Southern Great Basin,1,128655.904392821,-1966326.80234305
321,Middle Butte Valley,Cherry Creek,Sagebrush_Protection_Enhance,189.70888,Fuels,No,High,Southern Great Basin,1,50532.4155365226,-767719.223704492
322,Butte Mtn,Cherry Creek,Sagebrush_Protection_Enhance,89.138023,Fuels,No,High,Southern Great Basin,1,23807.3331624854,-360723.720440614
323,Medicine,Cherry Creek,Sagebrush_Protection_Enhance,184.48398,Fuels,No,High,Southern Great Basin,1,49089.3595039749,-746562.075228361
324,Hwy 50,Western White Pine,Sagebrush_Protection_Enhance,209.95958,Fuels,No,Low,Southern Great Basin,3,55945.6246190915,-849671.613873491
325,Steiner,Bates Callaghan,Sagebrush_Protection_Enhance,88.08226,Fuels,No,High,Southern Great Basin,1,23458.3519804532,-356450.216609389
326,Rye Patch,Bates Callaghan,Sagebrush_Protection_Enhance,202.87242,Fuels,No,High,Southern Great Basin,1,53901.6389955625,-820979.97792801
327,Dry Creek,Bates Callaghan,Sagebrush_Protection_Enhance,80.395599,Fuels,No,High,Southern Great Basin,1,21442.4525640906,-325343.032502929
328,Red Rock Canyon,Cooks Creek,Sagebrush_Protection_Enhance,237.34328,Fuels,No,High,Southern Great Basin,1,63072.4778308575,-960477.745481275
329,Elephant,Cooks Creek,Sagebrush_Protection_Enhance,70.435425,Fuels,No,High,Southern Great Basin,1,18641.4734823133,-285035.292541355
330,Reese River Valley,Reese R. Yomba Desatoya,Sagebrush_Protection_Enhance,242.14201,Fuels,No,High,Southern Great Basin,1,64846.0843035452,-979906.395362624
331,Hwy 278,Bates Callaghan,Sagebrush_Protection_Enhance,140.66902,Fuels,No,High,Southern Great Basin,1,37687.984170389,-569264.0025411
332,Emigrant,South Fork,Sagebrush_Protection_Enhance,86.18779,Fuels,No,High,Southern Great Basin,1,22987.6306881606,-348781.518456441
333,Station Butte,Long Valley,Sagebrush_Protection_Enhance,126.39202,Fuels,No,High,Southern Great Basin,1,33743.3290426189,-511486.119651832
334,Lone Willow Invasive Annual Grass Treatment,Lone Willow,Invasives,44077.836,"Restoration; Fuels",No,Moderate,Western Great Basin,2,64132.4851644818,-178376673.025075
335,Lone Willow Second Priority Fuel Break/Green Stripping,Lone Willow,Sagebrush_Protection_Enhance,4136.3965,Fuels,No,Moderate,Western Great Basin,2,440670.259741887,-16739402.7989151
336,Lone Willow First Priority Fuel Break/Green Stripping,Lone Willow,Sagebrush_Protection_Enhance,1465.6229,Fuels,No,High,Western Great Basin,1,288428.584472558,-5931165.68686196
337,Black Rock East Invasive Annual Grass Treatment,Black Rock,Sagebrush_Protection_Enhance,56360.824,Restoration,No,High,Western Great Basin,1,76065.4863765482,-228084165.789455
338,Black Rock West Invasive Annual Grass Treatment,Black Rock ,Sagebrush_Protection_Enhance,15446.004,Restoration,No,High,Western Great Basin,1,31855.3981913873,-62507758.942973
339,Black Rock First Priority Fuel Break/Green Stripping,Black Rock,Sagebrush_Protection_Enhance,941.90643,"Restoration; Fuels",No,High,Western Great Basin,1,193233.740915404,-3811666.69475926
340,Black Rock Second Priority Fuel Break/Green Stripping,Black Rock,Sagebrush_Protection_Enhance,2623.49,"Restoration; Fuels",No,Moderate,Western Great Basin,2,535978.733628669,-10616671.3423904
341,Lone Willow Active ESR Treatments,Lone Willow,Sagebrush_Protection_Enhance,3341.4021,"Restoration; Fuels",Yes,High,Western Great Basin,1,60605.587123871,-13522174.4556727
342,Clover Flat New/Planned Conifer Treatment,Clover Flat,Invasives_Encroachment,17940.576,Fuels,No,Moderate,Western Great Basin,2,58315.2667290086,-72602933.614782
343,Gravely New/Planned Conifer Treatment,Gravelly,Encroachment,27259.639,"Restoration; Fuels",No,High,Western Great Basin,1,46391.7676457188,-110315843.324709
344,South Warner Existing Conifer Treatments,South Warner,Encroachment,28961.367,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,55422.3396165822,-117202720.561925
345,North Warner New/Planned Conifer Treatment,North Warner,Invasives_Encroachment,192550.02,"Restoration; Fuels",No,Moderate,Western Great Basin,2,222177.921450036,-779222291.27794
346,North Warner Invasive Annual Grass Treatment,North Warner,Invasives,293398.34,Restoration,No,Moderate,Western Great Basin,2,221410.957753545,-1187340917.68583
347,Beaty Butte New/Planned Conifer Treatment,Beaty Butte,Encroachment,70472.211,"Restoration; Fuels",No,High,Western Great Basin,1,108439.384614782,-285190929.315011
348,Clover Flat First Priority Fuel Breaks,Clover Flat,Sagebrush_Protection_Enhance,778.45947,Fuels,No,High,Western Great Basin,1,103240.269630673,-3150168.10928297
349,Gravelly Second Priority Fuel Break,Gravelly,Sagebrush_Protection_Enhance,231.22516,Fuels,No,Moderate,Western Great Basin,2,30940.4920681152,-935699.929494642
350,Orejana West Second Priority Fuel Breaks,Orejana West,Sagebrush_Protection_Enhance,3700.2334,Fuels,Yes,Moderate,Western Great Basin,2,490478.889990248,-14973799.7840952
351,North Warner Second Priority Fuel Breaks,North Warner,Sagebrush_Protection_Enhance,1902.0797,Fuels,No,Moderate,Western Great Basin,2,254033.960116656,-7697338.16946115
352,Beaty Butte Second Priority Fuel Breaks,Beaty Butte,Sagebrush_Protection_Enhance,1996.705,Fuels,No,Moderate,Western Great Basin,2,297051.13272609,-8080212.7814325
353,Beaty Butte First Priority Fuel Breaks,Beaty Butte,Invasives_SagebrushPE,1914.5431,Fuels,No,High,Western Great Basin,1,156033.102176236,-7747516.93746572
354,Orejana West Sagebrush Mowing Treatment,Orejana West,Sagebrush_Protection_Enhance,124800.41,Restoration,Yes,High,Western Great Basin,1,126498.292468804,-505049322.652769
355,North Warner Existing Conifer Treatments,North Warner,Encroachment,2887.0771,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,66342.127962323,-11683586.573571
356,Beaty Butte Existing Conifer Treatments,Beaty Butte,Encroachment,2179.4456,"Restoration; Fuels",Yes,Moderate,Western Great Basin,2,21904.4961991891,-8819902.76272261
