127.locationvalue,"(41.888062, -87.626842)","(41.735341, -87.693452)"
185.vehiclevolumebyeachdirectionoftraffic,East Bound: 11800 / West Bound: 11800,East Bound: 11500 / West Bound: 10500
182.vehiclevolumebyeachdirectionoftraffic,North Bound: 5300 / South Bound: 5400,North Bound: 17000 / South Bound: 17600
256.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,North Bound: 14600 / South Bound: 14600
901.vehiclevolumebyeachdirectionoftraffic,East Bound: 20400 /West Bound: 20300,East Bound: 20400 / West Bound: 20300
195.dateofcount,0/18/2006,10/18/2006
35.locationvalue,"(41.773922, -87.673756)","(41.815858, -87.666235)"
737.dateofcount,08/29/f2006,08/29/2006
260.id,309.0,1312
351.vehiclevolumebyeachdirectionoftraffic,oNrth Bound: 2100 / South Bound: 3100,North Bound: 2100 / South Bound: 3100
56.locationvalue,"(41.729262, -87.541841)","(41.761813, -87.683164)"
1013.dateofcount,08/n31/2006,08/31/2006
147.id,277.0,422
237.id,397.0,553
1248.locationvalue,"(41.883208, -87.64482)","(41.883208, -87.634482)"
763.street,Colfa Ave,Colfax Ave
112.locationvalue,"(41.890186, -87.632548)","(41.756101, -87.642566)"
532.vehiclevolumebyeachdirectionoftraffic,East Boun:d 2100 / West Bound: 26400,East Bound: 2100 / West Bound: 26400
993.trafficvolumecountlocationaddress,219 South,2149 South
23.trafficvolumecountlocationaddress,389 Wets,389 West
267.vehiclevolumebyeachdirectionoftraffic,East Bound: 5800 / West Bound: 5200,East Bound: 4900 / West Bound: 5200
175.locationvalue,"(41.788454, -87.606097)","(41.857903, -87.659605)"
331.trafficvolumecountlocationaddress,30S outh,30 South
368.vehiclevolumebyeachdirectionoftraffic,Easht Bound: 4900 / West Bound: 5700,East Bound: 4900 / West Bound: 5700
200.id,397.0,1204
261.vehiclevolumebyeachdirectionoftraffic,East Bound: 400 / West Bound: 300,North Bound: 3600 / South Bound: 4500
109.vehiclevolumebyeachdirectionoftraffic,North Boyund: 11200 / South Bound: 10900,North Bound: 11200 / South Bound: 10900
739.street,DamenAve,Damen Ave
327.vehiclevolumebyeachdirectionoftraffic,North Bound: 16800 / South Bonud: 16900,North Bound: 16800 / South Bound: 16900
249.id,819.0,884
755.dateofcount,05/02/206,05/02/2006
184.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound: 10500,North Bound: 10800 / South Bound: 11100
132.street,59thSt,59th St
1170.street,3rd St,63rd St
934.dateofcount,09/21/206,09/21/2006
432.locationvalue,"4(1.796974, -87.664663)","(41.796974, -87.664663)"
199.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,West Bound: 18400/ Oneway West Bound 
693.street,TorrenceA ve,Torrence Ave
158.vehiclevolumebyeachdirectionoftraffic,Notrh Bound: 14900 / South Bound: 14600,North Bound: 14900 / South Bound: 14600
1141.locationvalue,"(d41.895971, -87.67335)","(41.895971, -87.67335)"
568.trafficvolumecountlocationaddress,2335 Wset,2335 West
382.dateofcount,08w/29/2006,08/29/2006
28.locationvalue,"(41.792663, -87.582231)","(41.878111, -87.634405)"
113.id,379.0,1321
184.locationvalue,"(41.729262, -87.541841)","(41.851922, -87.646473)"
678.street,8e7th St,87th St
99.id,674.0,770
745.dateofcount,08/15/006,08/15/2006
905.vehiclevolumebyeachdirectionoftraffic,North Bound: 810 0/ South Bound: 8300,North Bound: 8100 / South Bound: 8300
23.locationvalue,"(41.777072, -87.62526)","(41.883192, -87.638103)"
815.street,StateSt,State St
926.locationvalue,"(41.79748, -87.580352)","(41.797484, -87.580352)"
83.locationvalue,"(41.92195, -87.712021)","(41.933649, -87.717233)"
79.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,North Bound: 5900 / South Bound: 6000
236.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8100,North Bound: 22600 / South Bound: 20900
690.street,Cottage Grove Aev,Cottage Grove Ave
707.trafficvolumecountlocationaddress,2426 Nortuh,2426 North
670.locationvalue,"(14.873569, -87.642397)","(41.873569, -87.642397)"
1135.street,ashington St,Washington St
233.locationvalue,"(41.659177, -87.552112)","(41.988587, -87.704352)"
204.id,1328.0,318
452.vehiclevolumebyeachdirectionoftraffic,North Bound: 8000 / South Bund: 8200,North Bound: 8000 / South Bound: 8200
991.dateofcount,30/28/2006,03/28/2006
164.id,1286.0,753
984.trafficvolumecountlocationaddress,914 South,9124 South
86.vehiclevolumebyeachdirectionoftraffic,North Bound: 1500 / South Bound: 1500,North Bound: 10300 / South Bound: 9300
239.locationvalue,"(41.887904, -87.771064)","(41.871785, -87.715588)"
393.street,Cicerog Ave,Cicero Ave
262.locationvalue,"(41.892668, -87.71135)","(41.970016, -87.787986)"
186.locationvalue,"(41.766933, -87.610456)","(41.854926, -87.67592)"
85.street,DiverseyA ve,Diversey Ave
1119.trafficvolumecountlocationaddress,30 East,830 East
1024.totalpassingvehiclevolume,12533,12500
239.id,1160.0,1007
116.dateofcount,08/24a/2006,08/24/2006
1149.street,Sacramneto Ave,Sacramento Ave
588.trafficvolumecountlocationaddress,2122 oWest,2122 West
963.trafficvolumecountlocationaddress,5231 oSuth,5231 South
891.street,Harlbem Ave,Harlem Ave
512.vehiclevolumebyeachdirectionoftraffic,East Bound: 14100 / West Bonud: 20100,East Bound: 14100 / West Bound: 20100
84.locationvalue,"(41.885023, -87.675556)","(41.866034, -87.624114)"
1098.locationvalue,"(41.902037, -87.772e722)","(41.902037, -87.772722)"
1080.locationvalue,"(41.793359, -87.578904)","(41.793359, -87.587904)"
633.vehiclevolumebyeachdirectionoftraffic,East Bound: 8600 / Wset Bound: 8200,East Bound: 8600 / West Bound: 8200
1204.trafficvolumecountlocationaddress,4201 Souh,4201 South
89.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,East Bound: 11000 / West Bound: 10800
335.street,101ts St,101st St
202.id,1111.0,174
1035.locationvalue,"(41.092739, -87.718482)","(41.902739, -87.718482)"
108.locationvalue,"(41.773922, -87.673756)","(41.881401, -87.633811)"
65.trafficvolumecountlocationaddress,30South,30 South
1081.vehiclevolumebyeachdirectionoftraffic,North Bobund: 18500 / South Bound: 18100,North Bound: 18500 / South Bound: 18100
393.vehiclevolumebyeachdirectionoftraffic,North Bound: 15800 /S outh Bound: 15700,North Bound: 15800 / South Bound: 15700
283.locationvalue,"(41.792663, -87.582231)","(41.801293, -87.667538)"
119.dateofcount,10/18/2060,10/18/2006
185.locationvalue,"(41.792663, -87.582231)","(41.722153, -87.597339)"
266.id,193.0,245
45.id,1081.0,384
381.street,hClark St,Clark St
192.locationvalue,"(41.788454, -87.606097)","(41.838197, -87.634579)"
493.locationvalue,"(41.976775, -87r.708705)","(41.976775, -87.708705)"
320.trafficvolumecountlocationaddress,2014 aEst,2014 East
115.dateofcount,08/22/006,08/22/2006
591.trafficvolumecountlocationaddress,250 East,2250 East
93.id,1050.0,573
721.trafficvolumecountlocationaddress,16 Suth,16 South
117.street,87t Street,87th Street
470.trafficvolumecountlocationaddress,14 West,124 West
295.id,960.0,230
393.trafficvolumecountlocationaddress,4055N orth,4055 North
1274.street,Pculaski Rd,Pulaski Rd
558.street,oomis St,Loomis St
1262.trafficvolumecountlocationaddress,524 3North,5243 North
436.vehiclevolumebyeachdirectionoftraffic,North Bound: 22400 / Souh Bound: 16600,North Bound: 22400 / South Bound: 16600
59.id,1367.0,241
410.trafficvolumecountlocationaddress,6n135 South,6135 South
307.id,847.0,138
699.vehiclevolumebyeachdirectionoftraffic,West Bound: 100/ Oneway West Bound ,West Bound: 5100/ Oneway West Bound 
511.trafficvolumecountlocationaddress,6516N orth,6516 North
1121.vehiclevolumebyeachdirectionoftraffic,East Bound: 10500 /West Bound: 10300,East Bound: 10500 / West Bound: 10300
949.trafficvolumecountlocationaddress,270 8North,2708 North
1163.locationvalue,"(41.86999,5 -87.679727)","(41.869995, -87.679727)"
618.dateofcount,1019/2006,10/19/2006
428.locationvalue,"(41.8848, -87.42746)","(41.8848, -87.642746)"
152.trafficvolumecountlocationaddress,2130 Suoth,2130 South
153.id,1367.0,207
1135.trafficvolumecountlocationaddress,3656 Wetst,3656 West
126.locationvalue,"(41.756542, -87.617335)","(41.787779, -87.620665)"
474.street,Bleu Island Ave,Blue Island Ave
957.totalpassingvehiclevolume,18026,18000
1164.locationvalue,"(4.878056, -87.706035)","(41.878056, -87.706035)"
1044.street,aramie Ave,Laramie Ave
300.street,3th St,35th St
438.locationvalue,"(41.89191, -87.62091)","(41.891791, -87.62091)"
81.locationvalue,"(41.930851, -87.797915)","(41.930915, -87.792906)"
114.trafficvolumecountlocationaddress,517 North,5017 North
645.locationvalue,"(41.877492, -87z.764763)","(41.877492, -87.764763)"
404.vehiclevolumebyeachdirectionoftraffic,East Bound: 7700 / West Bound: k6100,East Bound: 7700 / West Bound: 6100
554.dateofcount,0/425/2006,04/25/2006
1219.street,Harlem Aev,Harlem Ave
284.id,847.0,464
677.vehiclevolumebyeachdirectionoftraffic,North Bound: 6200 / South Bound: 510d0,North Bound: 6200 / South Bound: 5100
96.id,379.0,539
560.dateofcount,04a/26/2006,04/26/2006
179.locationvalue,"(41.887904, -87.771064)","(41.975664, -87.78048)"
738.dateofcount,03/12/2006,03/21/2006
244.locationvalue,"(41.729262, -87.541841)","(41.861874, -87.666256)"
997.dateofcount,3/28/2006,03/28/2006
46.locationvalue,"(41.792663, -87.582231)","(41.722709, -87.55587)"
175.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound: 10500,East Bound: 5000 / West Bound: 4500
969.street,r Martin Luther King Jr Dr,Dr Martin Luther King Jr Dr
349.vehiclevolumebyeachdirectionoftraffic,Norh Bound: 6400 / South Bound: 1100,North Bound: 6400 / South Bound: 1100
748.locationvalue,"(41.903211, -87.6591)","(41.903211, -87.67591)"
88.locationvalue,"(41.777072, -87.62526)","(41.882362, -87.668041)"
1259.totalpassingvehiclevolume,16222,16200
1185.street,Kedzzie Ave,Kedzie Ave
664.vehiclevolumebyeachdirectionoftraffic,East Bound: 7400 / West ound: 6500,East Bound: 7400 / West Bound: 6500
1157.trafficvolumecountlocationaddress,240E ast,240 East
185.dateofcount,03/2/2006,03/22/2006
694.totalpassingvehiclevolume,26211,26200
93.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,East Bound: 11100 / West Bound: 11500
356.locationvalue,"(41.757363, 8-7.673336)","(41.757363, -87.673336)"
950.street,Wells t,Wells St
270.locationvalue,"(41.756542, -87.617335)","(41.890636, -87.626681)"
972.locationvalue,"(41.88u085, -87.622687)","(41.88085, -87.622687)"
58.locationvalue,"(41.756542, -87.617335)","(41.895238, -87.716306)"
256.dateofcount,09/06/2006***,09/06/2006
272.locationvalue,"(41.659177, -87.552112)","(41.891218, -87.645288)"
248.dateofcount,9/21/2006,09/21/2006
90.id,277.0,417
170.locationvalue,"(41.974889, -87.669587)","(41.682968, -87.642082)"
118.id,674.0,1184
61.locationvalue,"(41.930851, -87.797915)","(41.784837, -87.625446)"
743.street,tLoomis St,Loomis St
124.dateofcount,09/192006,09/19/2006
221.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,North Bound: 10300 / South Bound: 9200
16.trafficvolumecountlocationaddress,10621 gSouth,10621 South
975.locationvalue,"(41.85154, -87.706241)","(41.885154, -87.706241)"
245.id,819.0,385
153.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,East Bound: 17200 / West Bound: 15700
367.trafficvolumecountlocationaddress,f537 West,537 West
966.street,Westrn Ave,Western Ave
597.vehiclevolumebyeachdirectionoftraffic,West Bound: 18000/ Oneway West Boun d,West Bound: 18000/ Oneway West Bound 
143.id,397.0,31
208.locationvalue,"(41.892668, -87.71135)","(41.853553, -87.633392)"
110.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,East Bound: 9700 / West Bound: 10400
373.trafficvolumecountlocationaddress,351 North,3521 North
446.street,Arche Ave,Archer Ave
790.street,Garfield Bldv,Garfield Blvd
171.locationvalue,"(41.849302, -87.622658)","(41.665826, -87.641508)"
891.vehiclevolumebyeachdirectionoftraffic,North Bound: 13500 / South Boudn: 12500,North Bound: 13500 / South Bound: 12500
1132.locationvalue,"(14.825982, -87.617039)","(41.825982, -87.617039)"
257.id,979.0,431
1150.dateofcount,8/22/2006,08/22/2006
183.locationvalue,"(41.890186, -87.632548)","(41.939398, -87.696701)"
86.locationvalue,"(41.792663, -87.582231)","(41.742807, -87.614706)"
330.dateofcount,10/092006,10/09/2006
331.vehiclevolumebyeachdirectionoftraffic,oNrth Bound: 25400 / South Bound: 21100,North Bound: 25400 / South Bound: 21100
132.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8100,East Bound: 8000 / West Bound: 8800
434.dateofcount,11/07/0206,11/07/2006
1138.totalpassingvehiclevolume,31614,31600
625.trafficvolumecountlocationaddress,5835 Wuest,5835 West
911.locationvalue,"(41.94751d, -87.71274)","(41.94751, -87.71274)"
107.id,1199.0,983
857.street,Jeffery Aev,Jeffery Ave
1248.vehiclevolumebyeachdirectionoftraffic,East Bound: 14600 / / Oneway Eas tBound ,East Bound: 14600 / / Oneway East Bound 
644.vehiclevolumebyeachdirectionoftraffic,East Bound: 5500 / WestBound: 4700,East Bound: 5500 / West Bound: 4700
1273.locationvalue,"(4.1655545, -87.559298)","(41.655545, -87.559298)"
439.locationvalue,"(41.756982, -87.58269)","(41.756982, -87.582699)"
98.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,North Bound: 14000 / South Bound: 13200
15.dateofcount,05/04/2060,05/04/2006
1277.vehiclevolumebyeachdirectionoftraffic,North Bound: 6900 / Snouth Bound: 6300,North Bound: 6900 / South Bound: 6300
809.vehiclevolumebyeachdirectionoftraffic,East Bound: 13400 / West Bonud: 14100,East Bound: 13400 / West Bound: 14100
788.trafficvolumecountlocationaddress,1665North,1665 North
477.street,31stg St,31st St
503.locationvalue,"(41.746122,-87.552788)","(41.746122, -87.552788)"
740.vehiclevolumebyeachdirectionoftraffic,East Biound: 9200 / West Bound: 7100,East Bound: 9200 / West Bound: 7100
1190.dateofcount,04/25/2006***,04/25/2006
670.dateofcount,04/26/206,04/26/2006
283.id,674.0,269
639.locationvalue,"(41.771809, -87.69421)","(41.771809, -87.694212)"
155.locationvalue,"(41.788454, -87.606097)","(41.881522, -87.66285)"
951.locationvalue,"(41.937284, -87.z795671)","(41.937284, -87.795671)"
43.vehiclevolumebyeachdirectionoftraffic,North Bound: 15800 t/ South Bound: 14800,North Bound: 15800 / South Bound: 14800
720.dateofcount,10/17/2060,10/17/2006
1108.vehiclevolumebyeachdirectionoftraffic,North Boud: 5300 / South Bound: 5700,North Bound: 5300 / South Bound: 5700
825.locationvalue,"(41.484657, -87.697733)","(41.844657, -87.697733)"
827.street,Harrxison St,Harrison St
1223.dateofcount,03/28/200c6,03/28/2006
814.locationvalue,"(41.875561 ,-87.635138)","(41.875561, -87.635138)"
301.id,397.0,489
494.locationvalue,"(41.66335m7, -87.628989)","(41.663357, -87.628989)"
291.dateofcount,09/20/206,09/20/2006
523.vehiclevolumebyeachdirectionoftraffic,North Bouend: 4500 / South Bound: 4400,North Bound: 4500 / South Bound: 4400
993.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound :8900,North Bound: 8800 / South Bound: 8900
385.street,Amitage Ave,Armitage Ave
262.dateofcount,08/22/2006***,08/22/2006
445.vehiclevolumebyeachdirectionoftraffic,North Bouynd: 2700 / South Bound: 2100,North Bound: 2700 / South Bound: 2100
234.trafficvolumecountlocationaddress,8940 Sokuth,8940 South
15.id,176.0,160
152.locationvalue,"(41.974889, -87.669587)","(41.852795, -87.699117)"
333.trafficvolumecountlocationaddress,1445 Notrh,1445 North
684.trafficvolumecountlocationaddress,2004 Soutuh,2004 South
223.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,West Bound: 17400/ Oneway West Bound 
732.vehiclevolumebyeachdirectionoftraffic,East oBund: 10300 / West Bound: 11000,East Bound: 10300 / West Bound: 11000
712.dateofcount,1/14/2006,11/14/2006
252.locationvalue,"(41.788454, -87.606097)","(41.939209, -87.836148)"
24.locationvalue,"(41.885023, -87.675556)","(41.946193, -87.741344)"
494.dateofcount,08/29/2060,08/29/2006
588.locationvalue,"(41.q830349, -87.678909)","(41.830349, -87.678909)"
731.trafficvolumecountlocationaddress,8349 jSouth,8349 South
208.vehiclevolumebyeachdirectionoftraffic,East Bound: 2300 / West Bound: 1900,North Bound: 5200 / South Bound: 6600
222.locationvalue,"(41.892668, -87.71135)","(41.859094, -87.704686)"
996.trafficvolumecountlocationaddress,323 North,3235 North
760.street,Foster Aev,Foster Ave
291.id,1328.0,546
144.trafficvolumecountlocationaddress,340 South,430 South
933.street,vJeffery Ave,Jeffery Ave
823.vehiclevolumebyeachdirectionoftraffic,East Bound: 4800 / West Bound: 5q200,East Bound: 4800 / West Bound: 5200
328.street,Halsted tS,Halsted St
125.locationvalue,"(41.992042, -87.714036)","(41.778562, -87.781296)"
940.locationvalue,"(41.721037, -87.67533)","(41.721037, -87.675323)"
158.id,715.0,130
1158.trafficvolumecountlocationaddress,30q36 East,3036 East
197.id,1175.0,831
304.trafficvolumecountlocationaddress,718East,718 East
779.vehiclevolumebyeachdirectionoftraffic,East Bound: 4300 / West Bound :5900,East Bound: 4300 / West Bound: 5900
206.id,414.0,71
63.vehiclevolumebyeachdirectionoftraffic,North Bound: 3400 / South Bound: 1600,East Bound: 4400 / West Bound: 4400
614.dateofcount,03/2/2006,03/28/2006
171.id,960.0,1287
287.id,176.0,1193
1025.vehiclevolumebyeachdirectionoftraffic,East Bound: 9700 / West oBund: 9000,East Bound: 9700 / West Bound: 9000
211.id,506.0,1332
777.dateofcount,4/25/2006,04/25/2006
225.id,414.0,351
119.trafficvolumecountlocationaddress,3543 Wet,3543 West
507.vehiclevolumebyeachdirectionoftraffic,North Bound: 6000 / South cBound: 6600,North Bound: 6000 / South Bound: 6600
1193.dateofcount,09/192006,09/19/2006
1163.trafficvolumecountlocationaddress,2124 Wets,2124 West
11.id,960.0,871
1101.locationvalue,"(41.89360,9 -87.63265)","(41.893609, -87.63265)"
391.locationvalue,(41.674552 -87.627366),"(41.674552, -87.627366)"
356.trafficvolumecountlocationaddress,7t509 South,7509 South
75.vehiclevolumebyeachdirectionoftraffic,East Bound: 5800 / West Bound: 5200,East Bound: 11600 / West Bound: 10400
986.vehiclevolumebyeachdirectionoftraffic,East Bound: 14900 / WestB ound: 14000,East Bound: 14900 / West Bound: 14000
92.dateofcount,10/04/206,10/04/2006
211.vehiclevolumebyeachdirectionoftraffic,East Bound: 400 / West Bound: 300,North Bound: 13800 / South Bound: 13100
183.vehiclevolumebyeachdirectionoftraffic,North Bound: 13100 / South Bound: 13600,East Bound: 11900 / West Bound: 11900
570.trafficvolumecountlocationaddress,839 Wset,839 West
491.vehiclevolumebyeachdirectionoftraffic,North Bound: 3700 / South Bound:3 900,North Bound: 3700 / South Bound: 3900
584.vehiclevolumebyeachdirectionoftraffic,North Bound: 4700 / South oBund: 4100,North Bound: 4700 / South Bound: 4100
503.dateofcount,10/81/2006,10/18/2006
412.trafficvolumecountlocationaddress,1324 West,1234 West
80.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Bound: 10500,East Bound: 5000 / West Bound: 4700
743.totalpassingvehiclevolume,5553,5500
1084.dateofcount,0/23/2006,10/23/2006
735.dateofcount,091/9/2006,09/19/2006
76.locationvalue,"(41.892668, -87.71135)","(41.808006, -87.712716)"
232.locationvalue,"(41.756542, -87.617335)","(41.779574, -87.657079)"
1091.dateofcount,08/3/2006,08/31/2006
64.locationvalue,"(41.974889, -87.669587)","(41.836927, -87.695017)"
160.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / West Bound: 4800,North Bound: 8500 / South Bound: 8900
948.street,Pershing lRd,Pershing Rd
479.street,Augusta Blrvd,Augusta Blvd
231.locationvalue,"(41.892668, -87.71135)","(41.92398, -87.765989)"
508.trafficvolumecountlocationaddress,2890 Nkorth,2890 North
742.trafficvolumecountlocationaddress,2509West,2509 West
714.locationvalue,"(41.902j958, -87.693225)","(41.902958, -87.693225)"
447.street,Fullerton Avae,Fullerton Ave
94.id,1170.0,593
840.street,Arche rAve,Archer Ave
455.locationvalue,"(41.680056m, -87.622723)","(41.680056, -87.622723)"
172.locationvalue,"(41.773922, -87.673756)","(41.764998, -87.60436)"
664.street,83rd tS,83rd St
650.locationvalue,"41.811191, -87.622886)","(41.811191, -87.622886)"
745.vehiclevolumebyeachdirectionoftraffic,East Bound: c11200 / West Bound: 12500,East Bound: 11200 / West Bound: 12500
127.id,674.0,844
934.vehiclevolumebyeachdirectionoftraffic,North Bound: 10500 q/ South Bound: 9300,North Bound: 10500 / South Bound: 9300
139.vehiclevolumebyeachdirectionoftraffic,East Bound: 3600 / West Bound: 3500,East Bound: 8300 / West Bound: 9700
40.id,414.0,598
141.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,North Bound: 25800 / South Bound: 22100
487.street,Clbyourn Ave,Clybourn Ave
234.id,1367.0,125
1024.locationvalue,"(41.956405, -8m7.678823)","(41.956405, -87.678823)"
88.id,674.0,1165
411.vehiclevolumebyeachdirectionoftraffic,aEst Bound: 8100 / West Bound: 7400,East Bound: 8100 / West Bound: 7400
1186.trafficvolumecountlocationaddress,8600 Souh,8600 South
1222.locationvalue,"(41.770685, -m87.605711)","(41.770685, -87.605711)"
1046.locationvalue,"(41.880108, -87.737266)","(41.880108, -87.773266)"
519.vehiclevolumebyeachdirectionoftraffic,North Bound: 700 / South Bound 1300,North Bound: 700 / South Bound: 1300
92.id,442.0,1226
303.street,Monltrose Ave,Montrose Ave
445.trafficvolumecountlocationaddress,6719North,6719 North
604.trafficvolumecountlocationaddress,35u0 West,350 West
167.id,960.0,147
576.street,Diivsion St,Division St
108.id,397.0,1015
451.street,Dmaen Ave,Damen Ave
512.street,WackerLower Dr,Wacker Lower Dr
859.street,Ahland Ave,Ashland Ave
541.trafficvolumecountlocationaddress,96i21 South,9621 South
438.dateofcount,11/1/52006,11/15/2006
1052.vehiclevolumebyeachdirectionoftraffic,East Bound: 2300 / / Oneway East Bound***,East Bound: 2300 / / Oneway East Bound
685.dateofcount,04/25/0206,04/25/2006
1201.dateofcount,01/24/2p007,01/24/2007
54.vehiclevolumebyeachdirectionoftraffic,East Bound: 3400 / West Bound: 3500,East Bound: 12800 / West Bound: 10400
544.vehiclevolumebyeachdirectionoftraffic,West Bound: 7000/ neway West Bound,West Bound: 7000/ Oneway West Bound
215.trafficvolumecountlocationaddress,5186 North,5816 North
264.locationvalue,"(41.756542, -87.617335)","(41.88535, -87.626269)"
656.vehiclevolumebyeachdirectionoftraffic,North Bdound: 21300 / South Bound: 22700,North Bound: 21300 / South Bound: 22700
471.locationvalue,"(41.86696, -87.723436)","(41.866196, -87.723436)"
754.dateofcount,10/1/2006,10/11/2006
146.id,176.0,285
711.vehiclevolumebyeachdirectionoftraffic,East Bound: 7500 / West Boun: 9300,East Bound: 7500 / West Bound: 9300
743.locationvalue,"(41.744631, -87.6584h35)","(41.744631, -87.658435)"
226.id,1050.0,408
1196.street,Narragansemtt Ave,Narragansett Ave
620.vehiclevolumebyeachdirectionoftraffic,East Bound: 5400 / WestB ound: 4300,East Bound: 5400 / West Bound: 4300
193.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300 / / Oneway East Bound ,North Bound: 12700 / South Bound: 10300
152.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8100,North Bound: 8600 / South Bound: 10200
1047.street,10v3rd St,103rd St
251.id,1367.0,519
154.id,674.0,774
157.id,1199.0,543
488.dateofcount,09/28/20s06,09/28/2006
613.locationvalue,"(41.895611, -87.734761)","(41.859611, -87.734761)"
117.id,1328.0,197
276.locationvalue,"(41.849302, -87.622658)","(41.745469, -87.663314)"
1245.trafficvolumecountlocationaddress,340 North,3450 North
56.trafficvolumecountlocationaddress,7234 Ssouth,7234 South
94.locationvalue,"(41.930851, -87.797915)","(41.75174, -87.605221)"
36.locationvalue,"(41.659177, -87.552112)","(41.883107, -87.649602)"
116.id,442.0,893
689.trafficvolumecountlocationaddress,10 East,120 East
112.street,76th Stret,76th Street
281.id,1170.0,1061
118.locationvalue,"(41.974889, -87.669587)","(41.866958, -87.659)"
178.locationvalue,"(41.792663, -87.582231)","(41.749936, -87.695059)"
996.dateofcount,12/1/2006,12/11/2006
1233.street,35th tS,35th St
81.id,1286.0,726
544.dateofcount,05/09/2x006,05/09/2006
366.trafficvolumecountlocationaddress,19 Wst,19 West
881.trafficvolumecountlocationaddress,2653 est,2653 West
948.locationvalue,"(41.822902,- 87.688714)","(41.822902, -87.688714)"
1011.totalpassingvehiclevolume,15007,15000
223.id,1297.0,1120
772.locationvalue,"(41.923120, -87.7871)","(41.923102, -87.7871)"
53.id,1297.0,625
139.dateofcount,08x/22/2006,08/22/2006
1200.vehiclevolumebyeachdirectionoftraffic,West Bound: 1850/ Oneway West Bound ,West Bound: 18500/ Oneway West Bound 
53.locationvalue,"(41.792663, -87.582231)","(41.918295, -87.689798)"
791.dateofcount,10/11/206,10/11/2006
526.dateofcount,10/0/2006,10/05/2006
89.dateofcount,08/1x0/2006,08/10/2006
91.locationvalue,"(41.992042, -87.714036)","(41.839562, -87.623493)"
42.vehiclevolumebyeachdirectionoftraffic,East Bound: 3800 / West Bound: 4800,North Bound: 12800 / South Bound: 13500
76.vehiclevolumebyeachdirectionoftraffic,East Bofund: 12300 / West Bound: 11300,East Bound: 12300 / West Bound: 11300
44.id,414.0,520
324.trafficvolumecountlocationaddress,5700 Wst,5700 West
758.dateofcount,10/112006,10/11/2006
303.id,277.0,990
1064.vehiclevolumebyeachdirectionoftraffic,North Boundy: 20500 / South Bound: 18600,North Bound: 20500 / South Bound: 18600
705.totalpassingvehiclevolume,15622,15600
221.locationvalue,"(41.764348, -87.70478)","(41.933425, -87.649035)"
109.id,1170.0,1147
765.totalpassingvehiclevolume,12518,12500
312.locationvalue,"(41.797123,-87.583995)","(41.797123, -87.583995)"
176.locationvalue,"(41.822739, -87.696963)","(41.678624, -87.680741)"
618.vehiclevolumebyeachdirectionoftraffic,East Bound: 6600 / Wes Bound: 9500,East Bound: 6600 / West Bound: 9500
493.street,Kendzie Ave,Kedzie Ave
1268.locationvalue,"(4.185789, -87.622993)","(41.85789, -87.622993)"
911.vehiclevolumebyeachdirectionoftraffic,Norh Bound: 9600 / South Bound: 10000,North Bound: 9600 / South Bound: 10000
1259.trafficvolumecountlocationaddress,37 Souht,37 South
917.vehiclevolumebyeachdirectionoftraffic,North Bound: 6700 / SouthB ound: 9900,North Bound: 6700 / South Bound: 9900
975.totalpassingvehiclevolume,14571,14500
1106.dateofcount,09/2/2006,09/20/2006
189.id,1111.0,457
780.totalpassingvehiclevolume,18757,18700
514.dateofcount,08/10/206,08/10/2006
1029.street,95th yST,95th ST
510.vehiclevolumebyeachdirectionoftraffic,North Bound: 3360 / South Bound: 33600,North Bound: 33600 / South Bound: 33600
552.locationvalue,"(1.869875, -87.744879)","(41.869875, -87.744879)"
617.trafficvolumecountlocationaddress,8800 Sqouth,8800 South
68.vehiclevolumebyeachdirectionoftraffic,East Bound: 27800 / West Bound: 25700,North Bound: 10400 / South Bound: 9600
807.dateofcount,09/0/2006,09/05/2006
10.id,176.0,1116
814.vehiclevolumebyeachdirectionoftraffic,North Boundl: 9700 / / Oneway North Bound,North Bound: 9700 / / Oneway North Bound
1216.trafficvolumecountlocationaddress,144 West,1434 West
