319.boardpresident,Kylse Jones,Kyles Jones
225.city,Hennessey***,Hennessey
135.boardpresident,Kent Switzr,Kent Switzer
81.city,Hulrbert,Hulbert
234.code,9-I003,39-I003
335.districtname,OAKDALEq                       ,OAKDALE                       
391.statevalue,K,OK
503.countyname,TEAXS       ,TEXAS       
143.code,21I002,21-I002
242.phone,(918) 436-2442,(918) 436-2424
549.city,Moorealnd,Mooreland
69.city,ox,Fox
55.code,o09-C162,09-C162
387.boardpresident,Tracy Trocutman,Tracy Troutman
527.phone,9(18) 288-6258,(918) 288-6258
532.fax,(918) 366-497,(918) 366-8497
523.websiteurl,http://bixby.ok.schoolebpages.com,http://bixby.ok.schoolwebpages.com
174.phone,(05) 224-4092,(405) 224-4092
295.boardpresident,Brent oBlen,Brent Bolen
31.websiteurl,htthp://www.canton.k12.ok.us/,http://www.canton.k12.ok.us/
346.websiteurl,www.asteccharerschools.com,www.asteccharterschools.com
208.phone,(580) 2283-373,(580) 228-3373
280.fax,(918) 785-291,(918) 785-2491
319.phone,(18) 487-5265,(918) 487-5265
352.boardpresident,errod Roberts,Jerrod Roberts
97.countyname,CLEVLEAND   ,CLEVELAND   
455.code,65-066,65-I066
39.city,urant,Durant
547.superintendent,fJames Miller,James Miller
134.superintendentsemail,jedelen@arapah.k12.ok.us,jedelen@arapaho.k12.ok.us
229.city,LoneW olf,Lone Wolf
547.phone,(580) 6213-271,(580) 621-3271
374.websiteurl,www.schulter.k12.ok.s,www.schulter.k12.ok.us
496.boardpresident,duardo Salinas,Eduardo Salinas
1.address,77943 Hwy 59N.,77943 Hwy 59 N.
84.phone,(580 )873-2695,(580) 873-2695
368.boardpresident,Garmy Hudgens,Gary Hudgens
517.city,Tusla,Tulsa
68.superintendentsemail,tshaws@healdtonschools.org,tshaw@healdtonschools.org
13.code,02-0I93,02-I093
267.countyname,LOVE        ***,LOVE        
80.fax,(918) 456-1566,(918) 456-1656
458.city,Ctoosa,Catoosa
49.code,08-It161,08-I161
370.superintendentsemail,dnobile@henryetta.k12.ok.us,dnoble@henryetta.k12.ok.us
150.phone,(580) 6p98-2298,(580) 698-2298
428.superintendentsemail,fklowers@stonewall.k12.ok.us,kflowers@stonewall.k12.ok.us
271.websiteurl,http://www.ringwoodw.k12.ok.us/,http://www.ringwood.k12.ok.us/
95.websiteurl,www.noleps.com,www.nobleps.com
37.countyname,BRYAN      ,BRYAN       
423.districtname,ALLEuN                         ,ALLEN                         
404.boardpresident,Shawn ubble,Shawn Hubble
454.superintendent,Casevy Reed,Casey Reed
44.code,0g8-I033,08-I033
291.fax,(580) p584-9473,(580) 584-9473
159.address,Sout hHwy 132,South Hwy 132
547.boardpresident,Snhane Morris,Shane Morris
343.districtname,OKC CHvARTER: KIPP REACH COLL. ,OKC CHARTER: KIPP REACH COLL. 
173.address,701 Sw Tihrd St,701 Sw Third St
96.superintendentsemail,rbgass@lexington.k12.ok.us,rbass@lexington.k12.ok.us
449.boardpresident,Cborey Bouffleur,Corey Bouffleur
196.code,2-I005,32-I005
477.fax,(91)8 775-4939,(918) 775-4939
309.city,Sulphru,Sulphur
18.districtname,TUSHKA                   s     ,TUSHKA                        
225.superintendent,Mke Woods,Mike Woods
188.superintendent,DaleSpradlin,Dale Spradlin
32.address,122 West Bourne Strete,122 West Bourne Street
221.districtname,EWKIRK                       ,NEWKIRK                       
315.superintendent,Jerr yNeedham,Jerry Needham
449.address,21n9 Northeast A Street,219 Northeast A Street
244.districtname,CAMERON                      ,CAMERON                       
62.address,30515 U.S. Highway 7j0,30515 U.S. Highway 70
90.code,1-I010,13-I010
24.superintendentsemail,daughertyj@merritt.k12.k.us,daughertyj@merritt.k12.ok.us
505.phone,(580) 56-82423,(580) 568-2423
83.superintendent,Leroy Qaulls,Leroy Qualls
138.statevalue,qOK,OK
459.districtname,CHELSEA     z                  ,CHELSEA                       
175.districtname,ALEX                         ,ALEX                          
51.districtname,BINGERONEY                   ,BINGER-ONEY                   
327.phone,(918) 273a-3425,(918) 273-3425
545.districtname,ALVA                         ,ALVA                          
201.districtname,DUKE                          ***,DUKE                          
32.code,07-gI001,07-I001
543.address,216 E. Wlak Street,216 E. Walk Street
160.fax,(580) 864-7644***,(580) 864-7644
278.city,rPyor,Pryor
293.city,Idabl,Idabel
137.countyname,CUSTE      ,CUSTER      
188.phone,(580) w735-2448,(580) 735-2448
153.countyname,GARFIELD   ,GARFIELD    
219.statevalue,KO,OK
394.superintendent,JeremyHogan,Jeremy Hogan
551.superintendentsemail,melva@fortsupplyt.k12.ok.us,melva@fortsupply.k12.ok.us
268.statevalue,OxK,OK
486.code,86-I006,68-I006
479.websiteurl,http://www.beflfonte.k12.ok.us/,http://www.belfonte.k12.ok.us/
108.superintendent,Tmo Deighan,Tom Deighan
435.city,Dae,Dale
31.code,0f6-I105,06-I105
537.countyname,AWSHINGTON  ,WASHINGTON  
137.city,Clninton,Clinton
485.address,300 RangerB oulevard,300 Ranger Boulevard
364.city,Ock,Okc
497.city,bGuymon,Guymon
433.superintendent,Michae lCrawford,Michael Crawford
60.districtname,MUSTANG                      ,MUSTANG                       
534.fax,(918) 486-s4167,(918) 486-4167
75.countyname,HEROKEE    ,CHEROKEE    
139.websiteurl,www.lseachschool.net,www.leachschool.net
468.fax,(405) 398-1475,(405) 398-4175
531.districtname,GLENPOOL                      ***,GLENPOOL                      
60.countyname,CAADIAN    ,CANADIAN    
108.code,16-I080,16-I008
129.districtname,OILTON      g                  ,OILTON                        
140.websiteurl,ww.bokosheschool.org,www.bokosheschool.org
67.city,Wilosn,Wilson
312.districtname,HASKELL                      ,HASKELL                       
540.boardpresident,cott Bilger,Scott Bilger
467.statevalue,KO,OK
372.statevalue,KO,OK
546.websiteurl,www.wayanoka.k12.ok.us,www.waynoka.k12.ok.us
531.boardpresident,Michael aCin,Michael Cain
282.websiteurl,www.lg.k12.okt.us,www.lg.k12.ok.us
310.countyname,yMURRAY      ,MURRAY      
380.phone,(918) 24-0289,(918) 245-0289
448.phone,(18) 569-4492,(918) 569-4492
221.superintendent,Brady Barnse,Brady Barnes
472.statevalue,K,OK
483.phone,(918)427-7406,(918) 427-7406
548.websiteurl,www.woodwaprdps.net,www.woodwardps.net
159.statevalue,OiK,OK
516.districtname,DEBORAH BROWN (CHARTR)       ,DEBORAH BROWN (CHARTER)       
220.superintendentsemail,lsimpson@tnkawa.k12.ok.us,lsimpson@tonkawa.k12.ok.us
436.websiteurl,http://bethel.1k2.ok.us,http://bethel.k12.ok.us
148.superintendentsemail,rseifried@seling.k12.ok.us,rseifried@seiling.k12.ok.us
410.address,9283 Tannfehill Road,9283 Tannehill Road
529.boardpresident,Jams Geiger,James Geiger
366.statevalue,KO,OK
390.superintendentsemail,tlarson@turkeyford.nte,tlarson@turkeyford.net
158.fax,(580) 66-8900,(580) 366-8900
35.districtname,COLBRT                       ,COLBERT                       
84.boardpresident,gDarrell Stowers,Darrell Stowers
183.statevalue,OhK,OK
221.superintendentsemail,bbarnes@newkirk.k1.ok.us,bbarnes@newkirk.k12.ok.us
349.code,55I-001,55-I001
485.countyname,SQUOYAH    ,SEQUOYAH    
358.city,Midwelst City,Midwest City
492.districtname,VELMAALMA                    ,VELMA-ALMA                    
221.phone,(580) 362-z2388,(580) 362-2388
480.code,8-C068,68-C068
222.countyname,KIvNGFISHER  ,KINGFISHER  
64.boardpresident,Travs Roberts,Travis Roberts
368.address,7225 Twin iHlls Road,7225 Twin Hills Road
163.countyname,GARIVN      ,GARVIN      
412.city,Carlon Landing,Carlton Landing
285.city,Blanchrd,Blanchard
454.countyname,ROGER MLLS ,ROGER MILLS 
442.phone,(405) c383-2222,(405) 383-2222
432.superintendent,nScott Roper,Scott Roper
459.websiteurl,htt:p//www.chelseadragons.net,http://www.chelseadragons.net
270.phone,(580) 76-9444,(580) 276-9444
135.superintendent,Rob Royatly,Rob Royalty
440.address,326 North Union Strneet,326 North Union Street
152.websiteurl,www.shattuck.k12.ok.us***,www.shattuck.k12.ok.us
176.statevalue,KO,OK
371.statevalue,OzK,OK
269.boardpresident,Belinda iWld,Belinda Wild
237.districtname,MONROE                        ***,MONROE                        
380.countyname,OSAGE      ,OSAGE       
440.countyname,POTTAWATMIE,POTTAWATOMIE
488.superintendent,Gry Wade,Gary Wade
43.boardpresident,Kathy Koappelle,Kathy Kappelle
453.boardpresident,ChadS mith,Chad Smith
306.phone,(918) 473-0800,(918) 473-8000
502.fax,(580) 54-6474,(580) 854-6474
514.address,2525 S 101St E. Ave. ,2525 S. 101St E. Ave. 
129.address,30 9E. Peterson,309 E. Peterson
394.boardpresident,Harey Turner,Harley Turner
173.superintendent,Kvin Sims,Kevin Sims
5.superintendentsemail,jtlimore@dahlonegah.k12o.k.us,jtlimore@dahlonegah.k12.ok.us
172.superintendent,HerronJack,Herron Jack
530.countyname,TULSA       ***,TULSA       
550.boardpresident,Amanda Hedgse,Amanda Hedges
355.superintendentsemail,Bret.Towne@edmondscholos.net,Bret.Towne@edmondschools.net
266.code,24-I014,42-I014
168.fax,5(80) 788-4624,(580) 788-4624
60.phone,(405) 736-2461,(405) 376-2461
92.superintendent,Brndon Voss,Brandon Voss
33.city,Bkochito,Bokchito
424.boardpresident,Anhthony Prince,Anthony Prince
419.address,400 Bondb Street,400 Bond Street
476.boardpresident,Georeg Lawson,George Lawson
118.superintendentsemail,sbake@bluejacket.k12.ok.us,sbaker@bluejacket.k12.ok.us
306.boardpresident,Marcmus Burkhalter,Marcus Burkhalter
439.superintendent,Tom Wlisie,Tom Wilsie
83.countyname,CHEROKEE   ,CHEROKEE    
133.phone,(918) 35r2-2492,(918) 352-2492
511.boardpresident,Don Parkre,Don Parker
220.boardpresident,Caura Beth Johnson,Cara Beth Johnson
382.phone,(918) 2x87-1265,(918) 287-1265
69.statevalue,K,OK
48.boardpresident,eKaren Glass,Karen Glass
187.superintendentsemail,thomas@laverne.k12.okus,thomas@laverne.k12.ok.us
301.superintendentsemail,eberts@battiexst.k12.ok.us,eberts@battiest.k12.ok.us
412.fax,(918) 425-3572,(918) 452-3572
95.city,oNble,Noble
72.fax,(91)8 458-0647,(918) 458-0647
166.superintendentsemail,mmartin@palusvalley.k12.ok.us,mmartin@paulsvalley.k12.ok.us
20.websiteurl,hwttp://www.beaver.k12.ok.us/,http://www.beaver.k12.ok.us/
249.phone,(918) 655-73y81,(918) 655-7381
95.districtname,NOBLE                         ***,NOBLE                         
165.statevalue,K,OK
328.districtname,SOUTH COFFEYVILLE            ,SOUTH COFFEYVILLE             
194.countyname,HASKELL    a ,HASKELL     
299.city,Smitville,Smithville
143.city,Gwrove,Grove
330.city,Maon,Mason
255.superintendentsemail,wkible@chandler.k12.ok.us,wkimble@chandler.k12.ok.us
361.districtname,OKLAHOMACITY                 ,OKLAHOMA CITY                 
191.websiteurl,www.kinta.k12.oxk.us,www.kinta.k12.ok.us
177.statevalue,KO,OK
276.code,54-I003,45-I003
71.superintendent,Michelle Talor,Michelle Taylor
161.superintendent,Lo uAnn Wood,Lou Ann Wood
242.superintendent,Lwrence Barnes,Lawrence Barnes
20.countyname,BAEVER      ,BEAVER      
55.superintendent,William Degrryberry,William Derryberry
392.boardpresident,John kJennings,John Jennings
311.superintendentsemail,wainfwright.ps@lycos.com,wainwright.ps@lycos.com
54.districtname,DARLINGTONa                    ,DARLINGTON                    
118.boardpresident,Joh Rogers,John Rogers
59.boardpresident,John Eveertt,John Everett
118.statevalue,KO,OK
159.phone,(580) 493-226,(580) 493-2216
282.address,302 E kJoe Koelsch,302 E Joe Koelsch
183.phone,(580)388-4333,(580) 388-4333
491.websiteurl,www.marlow.k12.gok.us,www.marlow.k12.ok.us
115.fax,(198) 256-4486,(918) 256-4486
99.address,2 West Cedra,2 West Cedar
365.websiteurl,www.1k2.com/ovca,www.k12.com/ovca
373.phone,(198) 756-3388,(918) 756-3388
489.statevalue,K,OK
125.superintendentsemail,waldvgoels@mannford.k12.ok.us,waldvogels@mannford.k12.ok.us
25.websiteurl,www.elckityschools.com,www.elkcityschools.com
281.city,alina,Salina
487.address,108089 oSuth 4670 Road,108089 South 4670 Road
410.statevalue,OrK,OK
116.city,bKetchum,Ketchum
429.code,62-I0r37,62-I037
32.fax,(580) 920-788,(580) 920-7988
246.code,04-I026,40-I026
133.superintendent,Robby Doresy,Robby Dorsey
253.city,Akroma,Arkoma
218.websiteurl,www.blackwell.k12.obk.us,www.blackwell.k12.ok.us
392.statevalue,K,OK
110.websiteurl,www.elginps.og,www.elginps.org
495.countyname,STPHENS    ,STEPHENS    
341.code,55-E008***,55-E008
399.websiteurl,http://www.clevelandtigersc.om/,http://www.clevelandtigers.com/
305.city,Eufaulfa,Eufaula
210.statevalue,KO,OK
115.countyname,tCRAIG       ,CRAIG       
452.websiteurl,httbp://www.reydon.k12.ok.us,http://www.reydon.k12.ok.us
347.fax,(05) 587-8105,(405) 587-8105
287.code,47-I00,47-I010
440.phone,(405) 2e73-0653,(405) 273-0653
105.city,Indiahmoa,Indiahoma
264.phone,(405) 969-3783,(405) 969-3738
52.phone,(40) 262-2907,(405) 262-2907
230.phone,(580) 347-221,(580) 347-2211
152.phone,(580) 938-256,(580) 938-2586
333.code,54-Iz031,54-I031
244.phone,9(18) 654-3225,(918) 654-3225
401.websiteurl,www.ripley.kx12.ok.us,www.ripley.k12.ok.us
269.address,22069 Stateb Hwy.32,22069 State Hwy.32
109.websiteurl,www.beokosheschool.org,www.bokosheschool.org
441.city,Aher,Asher
111.address,07 4Th Street,507 4Th Street
67.superintendentsemail,esmith@wilon.k12.ok.us,esmith@wilson.k12.ok.us
183.countyname,GtRANT       ,GRANT       
43.websiteurl,http://ww.apswarriors.com,http://www.apswarriors.com
273.statevalue,K,OK
411.districtname,HAYWOOD                       ***,HAYWOOD                       
258.countyname,LINCOLN   r  ,LINCOLN     
491.superintendent,George Coffman J.r,George Coffman Jr.
477.superintendent,Bil London,Bill London
36.superintendent,Lee Northctt,Lee Northcutt
88.superintendent,EarlD alke,Earl Dalke
138.superintendentsemail,kguthrie@cleora.xnet,kguthrie@cleora.net
199.code,32-I504,32-I054
332.websiteurl,wwwd.okemahk12.com,www.okemahk12.com
303.districtname,RYAL                 i         ,RYAL                          
348.fax,(405) 49-4550,(405) 749-4550
250.superintendent,Jason Lockzhart,Jason Lockhart
442.statevalue,eOK,OK
287.districtname,WAYNE                        ,WAYNE                         
31.boardpresident,elana Canada,Delana Canada
413.phone,(918)297-2534,(918) 297-2534
187.code,30-It001,30-I001
97.websiteurl,http://www.littleaxe.k12.ok.fus/,http://www.littleaxe.k12.ok.us/
283.superintendentsemail,kmason@chouteauwildcarts.com,kmason@chouteauwildcats.com
341.phone,(405) 60-68742,(405) 606-8742
315.statevalue,KO,OK
27.statevalue,K,OK
16.phone,(580) 36-7423,(580) 346-7423
190.statevalue,rOK,OK
281.statevalue,K,OK
524.websiteurl,www.jenksps.rog,www.jenksps.org
80.address,2622 South 520 Road,26622 South 520 Road
482.address,01 West Hunter,301 West Hunter
495.superintendent,Davi Wayne Eads,David Wayne Eads
287.boardpresident,Abbi Cstle,Abbi Castle
367.superintendent,Sherly Tatum,Sheryl Tatum
265.superintendent,Rocdney Vollmer,Rodney Vollmer
156.code,24-I407,24-I047
31.statevalue,oOK,OK
411.phone,(98) 423-6265,(918) 423-6265
26.districtname,SAYRE   m                      ,SAYRE                         
116.phone,(918 782-5091,(918) 782-5091
286.superintendent,A.J.l Brewer,A.J. Brewer
37.websiteurl,http://www.benningtonisd.org/***,http://www.benningtonisd.org/
70.boardpresident,Kent Donifca,Kent Donica
120.boardpresident,Jirm Pilkington,Jim Pilkington
410.boardpresident,Shriley Ross,Shirley Ross
499.websiteurl,ww.guymontigers.com,www.guymontigers.com
269.phone,(580)j 276-1307,(580) 276-1307
182.phone,(580) 32-4242,(580) 532-4242
84.districtname,SWINK                        ,SWINK                         
240.statevalue,KO,OK
447.city,Rattamn,Rattan
258.city,pStroud,Stroud
416.countyname,PIiTTSBURG   ,PITTSBURG   
290.districtname,FOREST GORVE                  ,FOREST GROVE                  
227.fax,405) 263-7515,(405) 263-7515
264.countyname,LOGAN       ***,LOGAN       
108.districtname,LAWOTN                        ,LAWTON                        
446.phone,(91)8 755-4343,(918) 755-4343
55.phone,(4v05) 262-5647,(405) 262-5647
140.city,Salinwa,Salina
516.code,72G-001,72-G001
166.superintendent,Mke Martin,Mike Martin
73.phone,(918) 478w-3092,(918) 478-3092
153.boardpresident,Joe Vvaerka,Joe Vaverka
139.districtname,LEACH                         ***,LEACH                         
224.statevalue,KO,OK
171.fax,(405) 224-2575,(405) 224-2755
248.superintendent,Don Sjolberg,Don Sjoberg
80.districtname,KEYS                          ***,KEYS                          
101.phone,(508) 353-4088,(580) 353-4088
528.boardpresident,tSacey Roemerman,Stacey Roemerman
510.websiteurl,http://ww.tsas.org,http://www.tsas.org
328.countyname,NOWATA     r ,NOWATA      
279.websiteurl,ww.wpryorschools.org,www.pryorschools.org
439.countyname,POTTqAWATOMIE,POTTAWATOMIE
438.districtname,EARLSBROO                     ,EARLSBORO                     
215.websiteurl,wpss.kj12.ok.us,wpss.k12.ok.us
222.statevalue,K,OK
92.code,d14-C016,14-C016
485.districtname,ROLAND                       ,ROLAND                        
313.superintendent,Derald Glrover,Derald Glover
399.city,leveland,Cleveland
316.websiteurl,www.mpsi20.odrg,www.mpsi20.org
141.boardpresident,ColeMott,Cole Mott
364.address,4101 Nw 122Nd Street Suite B***,4101 Nw 122Nd Street Suite B
233.websiteurl,www.redoak.k12k.ok.us,www.redoak.k12.ok.us
197.address,210 Grimes Steet,210 Grimes Street
316.districtname,MUSKOGEE                     ,MUSKOGEE                      
405.code,60I101,60-I101
220.fax,(580) 6j28-5132,(580) 628-5132
431.countyname,POTTAWATOMEI,POTTAWATOMIE
351.phone,(405) 69-4859,(405) 769-4859
423.websiteurl,www.allenmustangs.org***,www.allenmustangs.org
490.boardpresident,Chuck unlap,Chuck Dunlap
360.address,6721 Nortwhest 42Nd Street,6721 Northwest 42Nd Street
178.code,26-hI097,26-I097
168.city,Elmore Ciy,Elmore City
244.code,0-I017,40-I017
319.statevalue,K,OK
119.districtname,VINITA                   w     ,VINITA                        
183.superintendentsemail,bregier@dclask12.org,bregier@dclak12.org
311.fax,(918) 4743744,(918) 474-3744
495.websiteurl,http://www.braydole.k12.ok.us/,http://www.braydoyle.k12.ok.us/
274.city,Lahma,Lahoma
49.superintendent,Richard Brownenn,Richard Brownen
267.address,471 Wolfpac Road,4671 Wolfpac Road
179.boardpresident,Norman Wood***,Norman Wood
150.boardpresident,LindseyS chneider,Lindsey Schneider
322.fax,(580) 3365-185,(580) 336-5185
456.statevalue,KO,OK
288.statevalue,KO,OK
259.boardpresident,arc Chapman,Marc Chapman
543.code,75-I11,75-I011
292.address,701 Lavender R.d,701 Lavender Rd.
266.websiteurl,www.coyale.k12.ok.us,www.coyle.k12.ok.us
379.boardpresident,drian Phillips,Adrian Phillips
373.code,56-oI005,56-I005
274.boardpresident,Steven Johnosn,Steven Johnson
537.code,74-I0b04,74-I004
536.countyname,WAOGNER     ,WAGONER     
284.districtname,NWCASTLE                     ,NEWCASTLE                     
250.address,301 Isherwood St.***,301 Isherwood St.
551.city,ort Supply,Fort Supply
150.fax,(580) 698-8109,(580) 698-8019
237.websiteurl,www.mnoroe.k12.ok.us,www.monroe.k12.ok.us
131.boardpresident,John Tuttel,John Tuttle
301.boardpresident,Amy Gibreath,Amy Gilbreath
173.phone,(405 352-4867,(405) 352-4867
330.statevalue,K,OK
271.countyname,MAJO       ,MAJOR       
335.superintendentsemail,klanxier@oakdale.org,klanier@oakdale.org
253.districtname,ARKOMA                       ,ARKOMA                        
18.fax,(580) 889-6144***,(580) 889-6144
109.superintendentsemail,sgilbreath@fletcherscools.org,sgilbreath@fletcherschools.org
228.superintendentsemail,huntc@hobaxrt.k12.ok.us,huntc@hobart.k12.ok.us
210.superintendent,David Ducan,David Duncan
88.city,Hugno,Hugo
539.fax,(918) 536-260,(918) 536-2600
3.fax,(918)6 96-3654,(918) 696-3654
269.countyname,LOVE        ***,LOVE        
532.districtname,LIBERT                       ,LIBERTY                       
73.statevalue,zOK,OK
393.boardpresident,HerbLogan,Herb Logan
524.code,72p-I005,72-I005
354.districtname,JONES                        ,JONES                         
313.websiteurl,wiww.ftgibson.k12.ok.us,www.ftgibson.k12.ok.us
301.superintendent,hStace Ebert,Stace Ebert
386.statevalue,K,OK
404.websiteurl,www.cushkingtigers.com,www.cushingtigers.com
327.code,35-I040,53-I040
79.fax,(98) 457-5619,(918) 457-5619
291.superintendentsemail,kneal@lukjfata.org,kneal@lukfata.org
136.phone,(580r) 772-3327,(580) 772-3327
287.superintendent,avid Powell,David Powell
264.statevalue,KO,OK
140.countyname,EDLAWARE    ,DELAWARE    
232.fax,(918)j 465-3086,(918) 465-3086
124.websiteurl,www.bristowg.k12.ok.us,www.bristow.k12.ok.us
311.city,Waiwright,Wainwright
66.fax,(580 )657-4355,(580) 657-4355
216.fax,(80) 362-3970,(580) 362-3970
436.fax,(40w5) 273-5056,(405) 273-5056
186.websiteurl,www.hollxis.k12.ok.us,www.hollis.k12.ok.us
258.statevalue,KO,OK
506.superintendent,Shane Booteh,Shane Boothe
348.countyname,OKALHOMA    ,OKLAHOMA    
315.code,1-I008,51-I008
125.boardpresident,Danil Greenwood,Daniel Greenwood
196.boardpresident,ufus Scott,Rufus Scott
165.countyname,GAqRVIN      ,GARVIN      
233.fax,(918) 754k-2898,(918) 754-2898
56.city,Piiedmont,Piedmont
522.websiteurl,huttp://www.baschools.org/,http://www.baschools.org/
401.address,403 .E Cook St.,403 E. Cook St.
125.districtname,MANNFORD   a                   ,MANNFORD                      
201.websiteurl,www.dukewschools.com,www.dukeschools.com
430.city,Shawne,Shawnee
278.superintendent,Donald Pullne,Donald Pullen
271.superintendent,Wade Dterick,Wade Detrick
250.code,g40-I052,40-I052
147.superintendentsemail,cnelson@vicischools.k12.ok.su,cnelson@vicischools.k12.ok.us
193.address,Hwy 26 & Cole Strete,Hwy 26 & Cole Street
171.boardpresident,Monyt Baker,Monty Baker
37.code,07-I0s40,07-I040
