sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, White, non-Hispanic",Female,"White ,non-Hispanic",2011,197.0,1.0,Data not available.
"Total - Femaler, White, non-Hispanic",Female,"hWite, non-Hispanic",2012,169.0,0.6,Data not available.
"Toal - Female, White, non-Hispanic",Female,"White, non-Hspanic",2013,195.0,1.1,Data not available.
"Total - Female, Black, nonHispanic",Female,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaton (CV) is 50 percent or greater.
"Totl - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Ttal - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,173.0,2.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Bxlack, non-Hispanic",2003,168.0,1.9,Data not available.
"Total - Femalea, Black, non-Hispanic",Feamle,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,169.0,0.6,ata not available.
"Total - Femal, Black, non-Hispanic",Female,"Black, non-Hisanic",2007,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Fembale,"Black, non-Hispanic",2008,169.0,0.6,Data notavailable.
"Total - Female, Black, non-Hispanic",Femacle,"Bluack, non-Hispanic",2009,173.0,1.8,Daa not available.
"Total - Female, Black, non-Hispanci",Female,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hipanic",2011,171.0,1.6,Data ot available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispanic",2012,169.0,0.6,Data not avkailable.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,169.0,1.7,Data not available.
"Total - Female, Hispanic",Fmeale,Hispanic,2000,169.0,0.6,Reporting standards notm met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanci",Female,Hispanic,2001,169.0,0.6,Data not available.
"Total - Feale, Hispanic",Female,Hispanic,2002,176.0,4.2,Data nt available.
"Total - Female, Hispanic",Femael,Hspanic,2003,176.0,2.3,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2004,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,176.0,1.7,wData not available.
"Total - Female, Hispanic",Femael,Hispanic,2006,169.0,0.6,Data not available.
"Total - Female, Hispanic",emale,Hispanc,2007,175.0,2.0,Data not available.
"Total - Fzemale, Hispanic",Fmale,ispanic,2008,169.0,0.6,Data nt available.
"Total - Female, Hispanic",Female,Hispanic,2009,170.0,2.7,Data not vailable.
"Totaql - Female, Hispanic",Female,Hispanic,2010,169.0,0.6,Data not available.
"Total - Female, Hispanic",Female,Hisplanic,2011,171.0,2.3,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2012,169.0,0.6,Data not avaialble.
"Total - Female, Hispnic",Femael,Hispanic,2013,166.0,2.5,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian,n on-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanci",iFemale,"Asian, non-Hikspanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,198.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fwemale,"Asian, non-Hispanic",2003,202.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-iHspanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Fematle, Asian, non-Hispanic",Femael,"Asin, non-Hispanic",2005,201.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Dat afor 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2007,202.0,6.8,Data for 000 through 2009 include Pacific Islanders.
"Total - Female, Asian, nn-Hispanic",Female,"Asian,non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Agsian, non-Hispanic",2009,213.0,4.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Foemale, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Dabta for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispnaic",eFmale,"Asian, nonHispanic",2011,205.0,8.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, on-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,198.0,5.7,Data for 20b00 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hisptanic",2001,169.0,0.6,Data not available.
"Total - Femal,e Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanidc",Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not arvailable.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islaner, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not avaliable.
"Total - Female, Pacific Islaner, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Dat not available.
"Total - Female, Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data noqt available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hisanic",2011,169.0,0.6,Reporting standrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacifi cIslander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the cofficient of variation (CV) is 50 percent or greater.
"Total - Female, Amercian Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Ntaive, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femalfe,"American Indian/Alaska Native, non-Hispanic",2002,176.0,5.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"AmericanI ndian/Alaska Native, non-Hispanic",2003,168.0,4.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispainc",2004,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,173.0,5.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,166.0,4.8,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,167.0,4.5,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indain/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femalte,"American Indian/Alaska Native, non-Hispanic",2011,173.0,4.3,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total -c Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,157.0,5.7,Data not available.
"Total - Female, Two or more rces, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not avaiolable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not availabtle.
"Total - Female, Two or more races, non-Hispanic",Femalle,"Two obr more races, non-Hispanic",2004,169.0,0.6,Data not availpable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two orm ore races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Female, Two omr more races, non-Hispanic",Female,"Two or more races ,non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, Two or more race,s non-Hispanic",Female,"Two or more races, non-Hispanic",2007,169.0,0.6,Datat not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nonHispanic",2008,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or moreraces, non-Hispanic",2010,169.0,0.6,Data not asvailable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,184.0,5.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Fmale, Two or more races, non-Hispanic",Female,"Two or moer races, non-Hispanic",2013,181.0,4.6,Data not avnailable.
