449.countyname,ROEGRS,ROGERS
281.phone,(981) 476-8376,(918) 476-8376
324.code,53I003***,53I003
190.districtname,CCURTAIN,MCCURTAIN
145.fax,580) 922-8019,(580) 922-8019
418.websiteurl,http:/www.nrc.k12.ok.us,http://www.nrc.k12.ok.us
265.superintendent,qGreg Raper,Greg Raper
251.superintendent,Jeff Maiddox,Jeff Maddox
168.countyname,GRDAY,GRADY
332.mailingaddress,"116118 Highway 84
Weletka, OK 74437
(35.45196197400048, -95.97600648999969)","116118 Highway 84
Weleetka, OK 74437
(35.45196197400048, -95.97600648999969)"
39.code,01C032,07I072
404.mailingaddress,"406 East 8Th Street
Kiowa, KO 74553
(34.71953846300045, -95.89544119899966)","406 East 8Th Street
Kiowa, OK 74553
(34.71953846300045, -95.89544119899966)"
339.code,55E07,55E007
13.mailingaddress,"304 Highland St.
Stringtown, OK 74569
(34.46593218500044, -96.05201645999966)","600 N. Main
Helena, OK 73741
(36.54808954600048, -98.26707575099965)"
174.fax,(58w0) 476-2018,(580) 476-2018
357.superintendent,Kent Shellenbergezr,Kent Shellenberger
41.boardpresident,Chad Fulton,Tommy House
115.mailingaddress,"276 Se 3Rd St.
Bluejacket, OK 74333
(36.7811589300044, -95.07114926099968)","276 Se 3Rd St.
Bluejacket, OK 74333
(36.79811589300044, -95.07114926099968)"
368.fax,(918 )336-4238,(918) 336-4238
243.websiteurl,http://www.panamja.k12.ok.us/,http://www.panama.k12.ok.us/
459.phone,(405) 38-21448,(405) 382-1448
35.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","630 Collins St.
Colbert, OK 74733
(33.859476438000456, -96.50494617299967)"
143.boardpresident,Meldvin Blossom,Melvin Blossom
404.websiteurl,http://www.kiowa.k12.ok.us***,http://www.kiowa.k12.ok.us
306.fax,(918) 474-636,(918) 474-3636
215.countyname,AY,KAY
174.phone,(580) 4763929,(580) 476-3929
221.websiteurl,http://www.lomega.k12.k.us,http://www.lomega.k12.ok.us
139.mailingaddress,"821 N. Main
Jay, OK 74346
(36.430772974000g49, -94.7825646659997)","821 N. Main
Jay, OK 74346
(36.43077297400049, -94.7825646659997)"
343.districtname,OKmC CHARTER: KIPP REACH COLL.,OKC CHARTER: KIPP REACH COLL.
181.code,27095,27I095
309.phone,(580) 36-92386,(580) 369-2386
196.phone,9(18) 546-2476,(918) 546-2476
15.mailingaddress,"Rural Route 1 Box 1589
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)","601 W. Mcgee Creek Rd.
Lane, OK 74555
(34.33045412800044, -95.94885190999969)"
323.code,2I006,52I006
275.countyname,MAYEeS,MAYES
367.countyname,KMULGEE,OKMULGEE
345.fax,(40)5 605-2644,(405) 605-2644
421.code,6C032,63C032
389.fax,(918) 3583-071,(918) 358-3071
347.mailingaddress,"800 . Ash
Luther, OK 73054
(35.65542058300048, -97.19467488899966)","800 S. Ash
Luther, OK 73054
(35.65542058300048, -97.19467488899966)"
258.districtname,bCARNEY,CARNEY
56.phone,(580) 623-7364,(405) 354-2587
455.countyname,SMINOLE,SEMINOLE
434.mailingaddress,"439670 State Hwy 144
Nashoba, OK 74558
(34.49087481300046, -9e5.14551581499967)","439670 State Hwy 144
Nashoba, OK 74558
(34.49087481300046, -95.14551581499967)"
240.code,40I0v07,40I007
2.superintendent,Lori Mesans,Lori Means
318.fax,(198) 463-2542,(918) 463-2542
221.fax,(40y5) 729-4666,(405) 729-4666
311.websiteurl,http://www.haskell.k21.ok.us,http://www.haskell.k12.ok.us
243.fax,(918) 96x3-4860,(918) 963-4860
41.districtname,OLOKEBA SICKLES,LOOKEBA SICKLES
214.fax,(580) 362i-3970,(580) 362-3970
41.code,02I093,08I012
384.phone,(918) 542-455,(918) 542-8455
526.fax,580) 824-0656,(580) 824-0656
213.mailingaddress,"502 S. Choctaw
Wpanucka, OK 73461
(34.368237896000494, -96.42450769499965)","502 S. Choctaw
Wapanucka, OK 73461
(34.368237896000494, -96.42450769499965)"
231.boardpresident,Steve Brewre,Steve Brewer
340.countyname,KLAHOMA,OKLAHOMA
89.code,13I01g1,13I011
198.countyname,JqACKSON,JACKSON
327.websiteurl,http://ww.bearden.k12.ok.us,http://www.bearden.k12.ok.us
403.boardpresident,Eddie Capm,Eddie Camp
306.superintendent,Bob Gridre,Bob Grider
260.districtname,GUTwHRIE,GUTHRIE
48.superintendent,Richar dBrownen,Richard Brownen
49.phone,(580) 431-2501,(405) 643-2336
8.mailingaddress,"Rural Route 6, Box 2840
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","500 W Chincapin
Westville, OK 74965
(35.98830837100047, -94.56632221999968)"
10.fax,(918) 723-3042,(918) 776-2052
26.countyname,BECnKHAM,BECKHAM
422.districtname,MCLOUnD,MCLOUD
40.code,07I005,08I011
84.code,12I00f2,12I002
390.districtname,OAK GORVE,OAK GROVE
381.countyname,OTzTAWA,OTTAWA
23.code,01C032,04I128
60.code,03I019,09I076
24.boardpresident,Randy Mccarter,Jackie Carnes
12.code,06I105,02I046
469.mailingaddress,"301 West Hunter
Vian, OK 74962
(35.49550129200048, -94.9734534599d9969)","301 West Hunter
Vian, OK 74962
(35.49550129200048, -94.97345345999969)"
391.boardpresident,SusanH enderson,Susan Henderson
398.districtname,yFRINK-CHAMBERS,FRINK-CHAMBERS
376.countyname,OSAvGE,OSAGE
342.districtname,OKC CHARTER: SANTA FE SOTH MS,OKC CHARTER: SANTA FE SOUTH MS
155.code,2I4056,24I056
361.phone,(v918) 652-6523,(918) 652-6523
258.phone,h(405) 865-2344,(405) 865-2344
130.superintendent,Robby Dorxsey,Robby Dorsey
386.websiteurl,http://www.fairladowls.com/,http://www.fairlandowls.com/
6.fax,(580) 646-3499,(918) 696-7240
158.phone,(580) 84-7481,(580) 864-7481
184.code,29Ij066,29I066
523.mailingaddress,"506 Walk Street
Canute, OK 7326
(35.417879478000486, -99.2802410599997)","506 Walk Street
Canute, OK 73626
(35.417879478000486, -99.2802410599997)"
119.fax,i(918) 224-4039,(918) 224-4039
357.boardpresident,Les Pettitit,Les Pettitt
489.fax,(q580) 854-6474,(580) 854-6474
196.countyname,UHGHES,HUGHES
147.fax,(850) 698-8019,(580) 698-8019
167.countyname,GARDY,GRADY
14.fax,(580) 852-3280,(580) 889-4631
270.mailingaddress,"408 East Broadway Street
Fairview, OK 73737
(36.26902561000048, -98.47588420599965)***","408 East Broadway Street
Fairview, OK 73737
(36.26902561000048, -98.47588420599965)"
22.fax,(580) 889-5033,(580) 487-3368
100.superintendent,Howard Hamtpon,Howard Hampton
271.mailingaddress,"301 Main St.
Lahomya, OK 73754
(36.38647104500046, -98.0893435159997)","301 Main St.
Lahoma, OK 73754
(36.38647104500046, -98.0893435159997)"
214.websiteurl,http://www.peckham.k2.ok.us,http://www.peckham.k12.ok.us
265.mailingaddress,"18943 Us Highway 77
Thackerville, O K73459
(33.796115246000454, -97.14335468699966)","18943 Us Highway 77
Thackerville, OK 73459
(33.796115246000454, -97.14335468699966)"
425.websiteurl,http://www.macomb.k12.ok.us***,http://www.macomb.k12.ok.us
50.phone,(918) 696-7509,(405) 656-2304
100.boardpresident,Dennis iHckerson,Dennis Hickerson
120.phone,(918)224-4440,(918) 224-4440
502.phone,(918)259-5700,(918) 259-5700
16.code,06I105,03I007
249.districtname,HOEW,HOWE
206.superintendent,nRoxie Terry,Roxie Terry
84.superintendent,Jason Priec,Jason Price
103.districtname,STERLIxNG,STERLING
30.websiteurl,http://www.geayrschools.org/,http://www.gearyschools.org/
242.districtname,CAMERNO,CAMERON
120.superintendent,Folyd Kirk,Floyd Kirk
129.superintendent,Kevni Burr,Kevin Burr
128.countyname,CREK,CREEK
81.districtname,RGANT,GRANT
473.phone,(918) 489-f5587,(918) 489-5587
98.mailingaddress,"200 South 7Th
Tupelo, OK 74572
(34.6472066100044, -96.41594698799969)","200 South 7Th
Tupelo, OK 74572
(34.60472066100044, -96.41594698799969)"
475.superintendent,Gary Waed,Gary Wade
249.superintendent,Scaott Parks,Scott Parks
142.superintendent,J. D. Parkeson,J. D. Parkerson
238.websiteurl,http://www.psiro.k12.ok.us,http://www.spiro.k12.ok.us
363.websiteurl,http://www.beggs.k2.ok.us,http://www.beggs.k12.ok.us
20.mailingaddress,"Rural Route 1 Box 1589
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)","807 Avenue G
Beaver, OK 73932
(36.80857453000044, -100.5235067919997)"
242.boardpresident,Rick Watrd,Rick Ward
78.boardpresident,John Roers,John Rogers
319.code,5m1I088,51I088
14.code,01I011,03C021
34.fax,(918) 696-6746,(580) 283-3787
516.boardpresident,Terry Backett,Terry Brackett
30.countyname,BLIANE,BLAINE
525.superintendent,Steve Parkfhurst,Steve Parkhurst
94.superintendent,Denn Prince,Denny Prince
97.fax,(580) 927m-2694,(580) 927-2694
117.websiteurl,httep://www.lonestar.k12.ok.us,http://www.lonestar.k12.ok.us
340.websiteurl,httyp://www.hardingcharterprep.org,http://www.hardingcharterprep.org
463.superintendent,Jeff ansom,Jeff Ransom
415.websiteurl,http://www.lata.k12.ok.us,http://www.latta.k12.ok.us
321.phone,(580) 725-3217,(580) 725-3271
28.fax,(580) 346-7223,(580) 822-4123
40.mailingaddress,"1020 N. Noble
Watonga, OK 73772
(35.85437047700049, -98.41303687799967)","407 East Seventh Street
Hydro, OK 73048
(35.55156668000046, -98.57646983699965)"
489.websiteurl,http://Butner.k12.ok.su,http://Butner.k12.ok.us
146.countyname,DEWiEY,DEWEY
18.mailingaddress,"401 Main St.
Burlington, OK 73722
(36.90600242400046, -98.42300518099967)","204 South Pecan
Atoka, OK 74525
(34.31860184600049, -96.1655489049997)"
179.mailingaddress,"301North Main Street
Medford, OK 73759
(36.809203710000475, -97.7350120969997)","301 North Main Street
Medford, OK 73759
(36.809203710000475, -97.7350120969997)"
166.fax,(508) 788-4624,(580) 788-4624
391.countyname,PANYE,PAYNE
138.superintendent,harlene Carter,Charlene Carter
361.fax,(9d18) 652-6510,(918) 652-6510
46.websiteurl,htp://www.gracemont.k12.ok.us,http://www.gracemont.k12.ok.us
314.superintendent,JerryNeedham,Jerry Needham
60.phone,(918) 723-3181,(405) 893-2222
172.superintendent,Todd Bunhc,Todd Bunch
53.mailingaddress,"301 N. Cobb Ave
Caney, OK 74533
(34.233881952000445, -96.21181620699969)","4408 North Highway 81
El Reno, OK 73036
(35.57067728600049, -97.95917788099968)"
148.code,23003,23I003
70.code,11Ch010,11C010
163.fax,f(405) 756-8819,(405) 756-8819
43.code,03I026,08I033
55.phone,(580) 625-3444,(405) 373-2311
276.boardpresident,Bruce Shheats,Bruce Sheats
280.districtname,LOCUtST GROVE,LOCUST GROVE
40.fax,(918) 696-6226,(405) 663-2139
173.superintendent,Jim ashburn,Jim Washburn
500.districtname,TULAS,TULSA
273.districtname,KNIGSTON,KINGSTON
136.websiteurl,http://wwwl.eachschool.net,http://www.leachschool.net
45.fax,(918) 696-2199,(580) 464-2445
95.websiteurl,http://www.littleaxe.k12o.k.us/,http://www.littleaxe.k12.ok.us/
46.mailingaddress,"315 S. Carnegie Street
Carnegie, OK 73015
(35.09825167800045, -98.6033859529997)","417 East Mccall
Gracemont, OK 73042
(35.186460412000486, -98.25738638899969)"
33.fax,(918) 696-2192,(580) 295-3762
277.superintendent,uDon Raleigh,Don Raleigh
426.districtname,EARSBORO,EARLSBORO
287.code,a47I015,47I015
188.districtname,KINoTA,KINTA
513.mailingaddress,"8611 North 49Th Street East
Okay, OK 74446
(35.86581482000048, -95.3051111509966)","8611 North 49Th Street East
Okay, OK 74446
(35.86581482000048, -95.30511115099966)"
132.countyname,CUnSTER,CUSTER
442.fax,(580 534-2273,(580) 534-2273
64.code,09C162,10I027
273.superintendent,Jay Mcadasm,Jay Mcadams
12.fax,(918) 696-2193,(580) 596-2319
458.districtname,EW LIMA,NEW LIMA
96.countyname,COjAL,COAL
383.superintendent,Jim Hyanes,Jim Haynes
511.districtname,GLENPOL,GLENPOOL
413.boardpresident,Jamie ePrry,Jamie Perry
279.superintendent,Tony Thobmas,Tony Thomas
96.boardpresident,Phlillip Magby,Phillip Magby
47.fax,(580) 852-3280,(405) 489-3219
486.boardpresident,Mitzi Danin,Mitzi Dain
369.code,57C070,57C007
351.fax,(405) 399-92g12,(405) 399-9212
52.superintendent,Lakrry York,Larry York
251.websiteurl,http://wwww.hiterock.com/,http://www.whiterock.com/
492.districtname,TIPTOrN,TIPTON
360.websiteurl,http://www.okmulgeeps.cmo,http://www.okmulgeeps.com
447.countyname,fROGERS,ROGERS
110.fax,(580) 342-k6463,(580) 342-6463
477.mailingaddress,"1030 Asha Avenue
Comanche, OK 73529
(34.36475288300045, -97.9735646849997)","1030 Ash Avenue
Comanche, OK 73529
(34.36475288300045, -97.9735646849997)"
458.countyname,SEMINOEL,SEMINOLE
61.mailingaddress,"729 North Perry Street
Bennington, OK 74723
(34.00723543500044, -96.0382560869997)","30515 Us Highway 70
Wilson, OK 73463
(34.17287327900044, -97.49992037199968)"
229.mailingaddress,"718 &quot;E&quot; Street
Snyder, OK 73566
(34.65522266q000045, -98.95448603599965)","718 &quot;E&quot; Street
Snyder, OK 73566
(34.65522266000045, -98.95448603599965)"
412.fax,(580) 759-3008,(580) 759-3080
52.fax,(405) 884-2099,(405) 262-0628
104.countyname,CtOMANCHE,COMANCHE
344.countyname,OKLAHMOA,OKLAHOMA
505.phone,(98) 371-2326,(918) 371-2326
6.districtname,GREAmSY,GREASY
517.superintendent,Ric Ruckman,Rick Ruckman
78.phone,(918)i 458-1835,(918) 458-1835
375.fax,(98) 847-3029,(918) 847-3029
49.code,01C024,08I167
21.code,07I005,04I075
73.districtname,SHADvY GROVE,SHADY GROVE
274.fax,918) 589-2476,(918) 589-2476
509.code,72010,72I010
342.countyname,OKLAHMOA,OKLAHOMA
411.boardpresident,Robert aHmmonds,Robert Hammonds
399.countyname,PITTSBUG,PITTSBURG
456.countyname,SEMIrNOLE,SEMINOLE
104.districtname,GREONIMO,GERONIMO
471.websiteurl,http://www.gans.k12ok.us,http://www.gans.k12.ok.us
507.boardpresident,Jeff Crter,Jeff Carter
211.districtname,MILURN,MILBURN
400.mailingaddress,"11461 West State Hwy 31
Mcalester, OK 74k501
(34.88539941400046, -95.94811710199969)","11461 West State Hwy 31
Mcalester, OK 74501
(34.88539941400046, -95.94811710199969)"
101.phone,(580)n 429-3266,(580) 429-3266
432.code,6w4C002,64C002
115.phone,(98) 784-2365,(918) 784-2365
392.boardpresident,Debra Vifncent,Debra Vincent
205.fax,(580) 62-2683,(580) 662-2683
26.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","716 Northeast Highway 66
Sayre, OK 73662
(35.26874199600047, -99.64683644099966)"
364.superintendent,Mark Hduson,Mark Hudson
523.code,5I011,75I011
490.countyname,hTEXAS,TEXAS
43.superintendent,Kathy aCrroll,Kathy Carroll
266.boardpresident,Sam Barzrick,Sam Barrick
320.districtname,PRERY,PERRY
435.superintendent,Shaori Pillow,Shari Pillow
47.districtname,CEMENlT,CEMENT
37.fax,(580) 852-3280,(580) 847-2787
50.mailingaddress,"300 E. Main St.
Canton, OK 73724
(36.05344790200047, -98.59108055099966)","323 South Apache Ave.
Binger, OK 73009
(35.308581105000485, -98.3446249489997)"
81.fax,(580) 32-9236,(580) 326-9236
88.districtname,FET,FELT
391.code,60I03,60I003
299.code,8I039,48I039
19.countyname,ATOAK,ATOKA
9.mailingaddress,"Rural Route 1, Box 665
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","1801 West Locust Street
Stilwell, OK 74960
(35.80857035000048, -94.63873652199965)"
134.websiteurl,http://www.clinonokschools.org,http://www.clintonokschools.org
353.code,55Ii037,55I037
123.boardpresident,Jore Carner,Joe Carner
271.code,440I92,44I092
170.boardpresident,Julie Bawdgett Sinn,Julie Badgett Sinn
29.code,03I026,06I042
376.superintendent,Diie Hurd,Dixie Hurd
385.boardpresident,BillJacobs,Bill Jacobs
208.countyname,JOHNSTN,JOHNSTON
240.districtname,OCOLA,POCOLA
137.code,21C0i30,21C030
516.districtname,PORTzER CONSOLIDATED,PORTER CONSOLIDATED
17.mailingaddress,"304 Highland St.
Stringtown, OK 74569
(34.46593218500044, -96.05201645999966)","801 Greathouse Drive
Atoka, OK 74525
(34.37926290200045, -96.14540965099968)"
207.code,35C070,35C007
304.mailingaddress,"25 North Sixth Street
Eufaula, OK 74432
(35.28712672900048, -95.59020717199968)","215 North Sixth Street
Eufaula, OK 74432
(35.28712672900048, -95.59020717199968)"
110.phone,(580) 342-j6230,(580) 342-6230
62.code,07I005,10I019
140.countyname,DELAWAjRE,DELAWARE
37.code,06I105,07I040
460.websiteurl,http://www.sasakwaschools.rog/,http://www.sasakwaschools.org/
155.mailingaddress,"6520 East Wood Road
Waukomis, OK73773
(36.27466757300044, -97.78535094799969)","6520 East Wood Road
Waukomis, OK 73773
(36.27466757300044, -97.78535094799969)"
290.districtname,LKFATA,LUKFATA
393.boardpresident,Alan Neitenhaofre,Alan Neitenhaofer
436.mailingaddress,"329 N. 1St Street
Clayton, OK 74536
(34.58988187900047, -y95.36593848399968)","329 N. 1St Street
Clayton, OK 74536
(34.58988187900047, -95.36593848399968)"
44.boardpresident,Terry Graham,Charlotte Myers
144.mailingaddress,"301 North Miller Street
Vii, OK 73859
(36.14829384200044, -99.30117828999965)","301 North Miller Street
Vici, OK 73859
(36.14829384200044, -99.30117828999965)"
325.mailingaddress,"700 West Osage Avenue
Noata, OK 74048
(36.69692914900048, -95.64504196799965)","700 West Osage Avenue
Nowata, OK 74048
(36.69692914900048, -95.64504196799965)"
68.code,01I011,10I074
488.boardpresident,Kevin Hofefrber,Kevin Hofferber
451.superintendent,RodneyC arter,Rodney Carter
429.superintendent,Terry Grisom,Terry Grissom
56.mailingaddress,"412 East 5Th Street
Cherokee, OK 73728
(36.753647153000486, -98.35294801199967)","600 Maple Street
Yukon, OK 73099
(35.50573736500047, -97.75226816099968)"
331.code,54031,54I031
238.mailingaddress,"600 West Broadway Street
kSpiro, OK 74959
(35.24102031400048, -94.62900706599964)","600 West Broadway Street
Spiro, OK 74959
(35.24102031400048, -94.62900706599964)"
227.boardpresident,Scotet Keesee,Scott Keesee
327.code,54C09,54C029
447.mailingaddress,"401 Redbud Lane
Chelsea, OK 74016
(36.540133665000496, -95.43805001199969)","401 Redbud Lane
Chelsea, OK 74016
(36.540133665000496, -95.43805010199969)"
465.superintendent,Grezg Reynolds,Greg Reynolds
527.mailingaddress,"1138 Eagle Pass
Freedom, OK 7342
(36.770190236000474, -99.11293630899968)","1138 Eagle Pass
Freedom, OK 73842
(36.770190236000474, -99.11293630899968)"
405.websiteurl,http://www.qps.eu,http://www.qps.edu
100.websiteurl,http://www.Bihsop.K12.ok.us,http://www.Bishop.K12.ok.us
31.fax,(918) 422-5556,(580) 886-3501
462.websiteurl,http://Butnre.k12.ok.us,http://Butner.k12.ok.us
506.boardpresident,Timp Allen,Tim Allen
433.boardpresident,Lucrtia Mcgee,Lucretia Mcgee
389.boardpresident,Dannyy Ward,Danny Ward
482.mailingaddress,"1205 South Brooks Road
Marlow, OK 73055
(34.63412416000474, -97.81770641299966)","1205 South Brooks Road
Marlow, OK 73055
(34.634124916000474, -97.81770641299966)"
207.websiteurl,http://Butner.k12.k.us,http://Butner.k12.ok.us
448.mailingaddress,"10700 South Hwy 169O
ologah, OK 74053
(36.45811960900045, -95.70727352499966)","10700 South Hwy 169
Oologah, OK 74053
(36.45811960900045, -95.70727352499966)"
299.districtname,RIGHT CITY,WRIGHT CITY
58.mailingaddress,"Rural Route 1, Box 665
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","105 W. Division
Union City, OK 73090
(35.39179861100047, -97.9416992299997)"
502.fax,(918) 28-0399,(918) 258-0399
321.mailingaddress,"311 North Central
Billings, OK 74630
(36.5312899520046, -97.44409462299967)","311 North Central
Billings, OK 74630
(36.53128995200046, -97.44409462299967)"
38.phone,(918) 775-2364,(580) 434-5700
518.countyname,WASHNIGTON,WASHINGTON
340.code,55008,55E008
449.superintendent,Kent Holbroko,Kent Holbrook
219.code,36I25,36I125
112.code,18fC001,18C001
307.fax,918) 657-2424,(918) 657-2424
32.code,07I005,07I001
270.phone,(580) 227-2351,(580) 227-2531
352.districtname,yEDMOND,EDMOND
514.countyname,WiAGONER,WAGONER
7.mailingaddress,"401 Main St.
Burlington, OK 73722
(36.90600242400046, -98.42300518099967)","Rural Route 2, Box 1
Watts, OK 74964
(36.16867932100047, -94.56570895099969)"
83.districtname,hBOSWELL,BOSWELL
146.boardpresident,Karedn Daily,Karen Daily
377.districtname,HOINY,HOMINY
414.fax,(580) o310-7206,(580) 310-7206
58.code,09I027,09I057
244.phone,(918) 969-491,(918) 969-2491
17.websiteurl,http//www.atoka.org,http://www.atoka.org
284.districtname,DIBBLgE,DIBBLE
414.superintendent,Pat Harriosn,Pat Harrison
47.mailingaddress,"412 East 5Th Street
Cherokee, OK 73728
(36.753647153000486, -98.35294801199967)","201 S. Main
Cement, OK 73017
(34.93731345200047, -98.08017968399969)"
44.mailingaddress,"Rural Route 1 Box 1589
Bunch, OK 74931
(35.73982727800046, -94.83477776099966)","522 East Floyd Street
Apache, OK 73006
(34.89308342600049, -98.3601613949997)"
141.code,m21I003,21I003
218.countyname,uKAY,KAY
96.fax,(580)9 27-2938,(580) 927-2938
500.phone,(918 746-6800,(918) 746-6800
169.websiteurl,http://pioneewarriorsk8.com/,http://pioneerwarriorsk8.com/
350.code,55I07,55I007
453.superintendent,Chris Bryna,Chris Bryan
318.boardpresident,Dale Wiggis,Dale Wiggins
311.fax,(918) 482-n3346,(918) 482-3346
229.countyname,KIOfWA,KIOWA
521.districtname,SNTINEL,SENTINEL
157.fax,(850) 493-2273,(580) 493-2273
401.websiteurl,http://www.hartshorne.k12.ok.us/***,http://www.hartshorne.k12.ok.us/
64.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","1140 South Plainview Road
Ardmore, OK 73401
(34.159380059000455, -97.17793711199965)"
268.phone,(5l80) 883-2202,(580) 883-2202
51.mailingaddress,"301 N. Cobb Ave
Caney, OK 74533
(34.233881952000445, -96.21181620699969)","4800 East Foreman Street
El Reno, OK 73036
(35.536925005000455, -97.90144877599965)"
386.fax,(918) 676-35k94,(918) 676-3594
32.mailingaddress,"301 N. Cobb Ave
Caney, OK 74533
(34.233881952000445, -96.21181620699969)","122 West Bourne Street
Durant, OK 74701
(34.03966438200047, -96.47599799599965)"
475.fax,(580 )439-5589,(580) 439-5589
42.code,04I022,08I020
440.fax,(580y) 655-4622,(580) 655-4622
306.countyname,CMINTOSH,MCINTOSH
53.phone,(918) 696-7807,(405) 262-0137
278.districtname,ADIAR,ADAIR
98.websiteurl,hwttp://www.tupelo.k12.ok.us,http://www.tupelo.k12.ok.us
328.boardpresident,Dick Lad,Dick Ladd
215.websiteurl,http://Butner.k12.ok.uks,http://Butner.k12.ok.us
349.boardpresident,Dnany Barnes,Danny Barnes
250.superintendent,John Turnre,John Turner
27.fax,(580) 889-6144,(580) 526-3308
171.countyname,GRyADY,GRADY
390.boardpresident,Shaxne Bruce,Shane Bruce
315.districtname,MUSKOGsEE,MUSKOGEE
24.code,07I005,05I002
67.code,02I001,10I055
309.superintendent,Mike Matin,Mike Martin
74.mailingaddress,"1082 W. Hickory Ave.
Peggs, OK 74452
(36.11294593500048, -95.06937764299965)","10821 W. Hickory Ave.
Peggs, OK 74452
(36.11294593500048, -95.06937764299965)"
14.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","490 South Bentley Road
Atoka, OK 74525
(34.31783596100047, -96.07549418499968)"
45.countyname,CDADO,CADDO
417.fax,(580 )456-7245,(580) 456-7245
107.mailingaddress,"Hwy 17 &amp; Mighty Owl Ave.
Elgin, OK 73538
(34.782340141000475, -98.3072a583609997)","Hwy 17 &amp; Mighty Owl Ave.
Elgin, OK 73538
(34.782340141000475, -98.3072583609997)"
87.countyname,ICMARRON,CIMARRON
123.fax,(918) 27-3704,(918) 827-3704
492.countyname,TILLAMN,TILLMAN
265.code,43I04,43I004
412.mailingaddress,"46n65 County Road 1555
Ada, OK 74820
(34.76037334500046, -96.86777982399968)","4665 County Road 1555
Ada, OK 74820
(34.76037334500046, -96.86777982399968)"
11.websiteurl,http://www.burlingtonschool.cnom/,http://www.burlingtonschool.com/
165.fax,(n405) 665-5425,(405) 665-5425
226.websiteurl,http://www.hobar.tk12.ok.us,http://www.hobart.k12.ok.us
237.superintendent,Jerruy Carpenter,Jerry Carpenter
386.boardpresident,Ra Davis,Ray Davis
383.code,58I18,58I018
342.code,55E011***,55E011
154.code,t24I047,24I047
451.districtname,FOIL,FOYIL
498.code,72xE005,72E005
393.countyname,PAiYNE,PAYNE
465.countyname,rSEQUOYAH,SEQUOYAH
531.code,77I050,77I005
223.phone,(405) 853-431,(405) 853-4321
59.code,09C162,09I069
172.countyname,GRAdDY,GRADY
253.code,4I003,41I003
233.fax,(918) 4n65-3656,(918) 465-3656
28.mailingaddress,"412 East 5Th Street
Cherokee, OK 73728
(36.753647153000486, -98.35294801199967)","301 North Main
Okeene, OK 73763
(36.11820206900046, -98.31710679699967)"
23.mailingaddress,"Route 1 E. 850 Road
Stilwell, OK 74960
(35.82648841300045, -94.63703656099966)","316 S Lee
Turpin, OK 73950
(36.86490161800049, -100.88004944499966)"
187.boardpresident,oRyce Alverson,Royce Alverson
494.code,71I1l58,71I158
54.phone,(918) 696-7818,(405) 262-5647
46.fax,(580) 346-7223,(405) 966-2395
326.fax,(918) g255-6230,(918) 255-6230
468.phone,(918 775-5544,(918) 775-5544
443.boardpresident,Rbert Chaney,Robert Chaney
30.code,07I005,06I080
415.mailingaddress,"13925 County Road 1560
Ada, OK 74820
(34.752723880000474, -69.70724343999967)","13925 County Road 1560
Ada, OK 74820
(34.752723880000474, -96.70724343999967)"
15.fax,(918) 696-2193,(580) 889-9157
308.mailingaddress,"1021 West Ninth treet
Sulphur, OK 73086
(34.50810813700048, -96.97809697499969)","1021 West Ninth Street
Sulphur, OK 73086
(34.50810813700048, -96.97809697499969)"
448.phone,(918) 434-6079,(918) 443-6079
189.phone,(918) 976-2805,(918) 967-2805
411.code,6I001,62I001
76.mailingaddress,"17210 Suth 569 Road
Tahlequah, OK 74464
(35.92620026900045, -94.87303701599967)","17210 South 569 Road
Tahlequah, OK 74464
(35.92620026900045, -94.87303701599967)"
316.phone,(918) 683q-0273,(918) 683-0273
251.districtname,WHiITE ROCK,WHITE ROCK
38.mailingaddress,"315 S. Carnegie Street
Carnegie, OK 73015
(35.09825167800045, -98.6033859529997)","209 N. 3Rd
Calera, OK 74730
(33.92851651500047, -96.4364764719997)"
138.districtname,OSELEY,MOSELEY
487.code,7t0I015,70I015
282.code,47C040,47C004
347.websiteurl,ttp://www.lutherlions.org,http://www.lutherlions.org
122.boardpresident,Jeo Moore,Joe Moore
450.phone,(918) 431-5472,(918) 341-5472
20.districtname,BEAVElR,BEAVER
474.superintendent,ax Tanner,Max Tanner
58.phone,(580) 889-7355,(405) 483-3531
142.mailingaddress,"433 South Larmon
Colcord, OK 74338
(36.260732730000484, -94.96167048599968)","433 South Larmon
Colcord, OK 74338
(36.260732730000484, -94.69167048599968)"
23.fax,(580) 623-7370,(580) 778-3179
118.phone,918) 324-5365,(918) 324-5365
317.websiteurl,http://www.braggs.k12.ok.su,http://www.braggs.k12.ok.us
422.boardpresident,Annett Abbott,Annetta Abbott
241.websiteurl,http://weww.lefloreps.k12.ok.us,http://www.lefloreps.k12.ok.us
488.countyname,ETXAS,TEXAS
368.countyname,OAGE,OSAGE
