season,datecode,weekending,region,total_ili,total_patients_seen,percent_ili,number_providers_reporting
2004-2005,200445,11/13/2004,Bay Area,24,707,3.39,7
2004-2005,200445,11/13/2004,California,195,9258,2.11,42
2004-2005,200445,11/13/2004,Central,6,1615,0.37,7
2004-2005,200445,11/13/2004,Lower Southern,128,3801,3.37,11
2004-2005,200445,11/13/2004,Northern,35,2806,1.25,12
2004-2005,200445,11/13/2004,Upper Southern,2,329,0.61,5
2004-2005,200446,11/20/2004,Bay Area,14,925,1.51,8
2004-2005,200446,11/20/2004,California,218,9650,2.26,48
2004-2005,200446,11/20/2004,Central,23,1360,1.69,10
2004-2005,200446,11/20/2004,Lower Southern,150,4049,3.7,13
2004-2005,200446,11/20/2004,Northern,28,2839,0.99,12
2004-2005,200446,11/20/2004,Upper Southern,3,477,0.63,5
2004-2005,200447,11/27/2004,Bay Area,11,1325,0.83,10
2004-2005,200447,11/27/2004,California,190,7616,2.49,51
2004-2005,200447,11/27/2004,Central,5,1126,0.44,11
2004-2005,200447,11/27/2004,Lower Southern,149,3204,4.65,11
2004-2005,200447,11/27/2004,Northern,24,1607,1.49,12
2004-2005,200447,11/27/2004,Upper Southern,1,354,0.28,7
2004-2005,200448,12/4/2004,Bay Area,12,2060,0.58,10
2004-2005,200448,12/4/2004,California,197,10808,1.82,53
2004-2005,200448,12/4/2004,Central,19,1098,1.73,10
2004-2005,200448,12/4/2004,Lower Southern,150,4266,3.52,13
2004-2005,200448,12/4/2004,Northern,14,2760,0.51,13
2004-2005,200448,12/4/2004,Upper Southern,2,624,0.32,7
2004-2005,200449,12/11/2004,Bay Area,28,2004,1.4,11
2004-2005,200449,12/11/2004,California,241,10764,2.24,55
2004-2005,200449,12/11/2004,Central,15,1154,1.3,10
2004-2005,200449,12/11/2004,Lower Southern,146,4199,3.48,15
2004-2005,200449,12/11/2004,Northern,28,2690,1.04,11
2004-2005,200449,12/11/2004,Upper Southern,24,717,3.35,8
2004-2005,200450,12/18/2004,Bay Area,29,1902,1.52,12
2004-2005,200450,12/18/2004,California,275,10312,2.67,58
2004-2005,200450,12/18/2004,Central,32,1139,2.81,12
2004-2005,200450,12/18/2004,Lower Southern,166,3790,4.38,13
2004-2005,200450,12/18/2004,Northern,32,2641,1.21,12
2004-2005,200450,12/18/2004,Upper Southern,16,840,1.9,9
2004-2005,200451,12/25/2004,Bay Area,29,1632,1.78,13
2004-2005,200451,12/25/2004,California,267,7346,3.63,56
2004-2005,200451,12/25/2004,Central,34,662,5.14,10
2004-2005,200451,12/25/2004,Lower Southern,166,2786,5.96,12
2004-2005,200451,12/25/2004,Northern,24,1505,1.59,13
2004-2005,200451,12/25/2004,Upper Southern,14,761,1.84,8
2004-2005,200452,1/1/2005,Bay Area,51,1823,2.8,14
2004-2005,200452,1/1/2005,California,437,7998,5.46,56
2004-2005,200452,1/1/2005,Central,46,863,5.33,10
2004-2005,200452,1/1/2005,Lower Southern,298,2773,10.75,13
2004-2005,200452,1/1/2005,Northern,35,1907,1.84,12
2004-2005,200452,1/1/2005,Upper Southern,7,632,1.11,7
2004-2005,200501,1/8/2005,Bay Area,34,2895,1.17,18
2004-2005,200501,1/8/2005,California,375,10562,3.55,69
2004-2005,200501,1/8/2005,Central,49,1287,3.81,12
2004-2005,200501,1/8/2005,Lower Southern,245,3353,7.31,17
2004-2005,200501,1/8/2005,Northern,27,2264,1.19,13
2004-2005,200501,1/8/2005,Upper Southern,20,763,2.62,9
2004-2005,200502,1/15/2005,Bay Area,86,3109,2.77,20
2004-2005,200502,1/15/2005,California,553,12677,4.36,74
2004-2005,200502,1/15/2005,Central,49,1682,2.91,12
2004-2005,200502,1/15/2005,Lower Southern,304,4529,6.71,19
2004-2005,200502,1/15/2005,Northern,51,2017,2.53,12
2004-2005,200502,1/15/2005,Upper Southern,63,1340,4.7,11
2004-2005,200503,1/22/2005,Bay Area,127,3398,3.74,23
2004-2005,200503,1/22/2005,California,577,12779,4.52,72
2004-2005,200503,1/22/2005,Central,81,1685,4.81,11
2004-2005,200503,1/22/2005,Lower Southern,291,4298,6.77,16
2004-2005,200503,1/22/2005,Northern,25,2029,1.23,10
2004-2005,200503,1/22/2005,Upper Southern,53,1369,3.87,12
2004-2005,200504,1/29/2005,Bay Area,224,4218,5.31,25
2004-2005,200504,1/29/2005,California,813,15989,5.08,86
2004-2005,200504,1/29/2005,Central,97,1942,4.99,12
2004-2005,200504,1/29/2005,Lower Southern,339,5105,6.64,22
2004-2005,200504,1/29/2005,Northern,57,3034,1.88,15
2004-2005,200504,1/29/2005,Upper Southern,96,1690,5.68,12
2004-2005,200505,2/5/2005,Bay Area,200,3740,5.35,21
2004-2005,200505,2/5/2005,California,837,15319,5.46,80
2004-2005,200505,2/5/2005,Central,98,1736,5.65,11
2004-2005,200505,2/5/2005,Lower Southern,376,5339,7.04,22
2004-2005,200505,2/5/2005,Northern,61,2770,2.2,12
2004-2005,200505,2/5/2005,Upper Southern,102,1734,5.88,14
2004-2005,200506,2/12/2005,Bay Area,189,4543,4.16,26
2004-2005,200506,2/12/2005,California,802,15475,5.18,82
2004-2005,200506,2/12/2005,Central,104,1146,9.08,10
2004-2005,200506,2/12/2005,Lower Southern,352,5165,6.82,23
2004-2005,200506,2/12/2005,Northern,45,2805,1.6,10
2004-2005,200506,2/12/2005,Upper Southern,112,1816,6.17,13
2004-2005,200507,2/19/2005,Bay Area,245,4988,4.91,27
2004-2005,200507,2/19/2005,California,913,16092,5.67,81
2004-2005,200507,2/19/2005,Central,112,1348,8.31,10
2004-2005,200507,2/19/2005,Lower Southern,384,5048,7.61,19
2004-2005,200507,2/19/2005,Northern,73,3177,2.3,12
2004-2005,200507,2/19/2005,Upper Southern,99,1531,6.47,13
2004-2005,200508,2/26/2005,Bay Area,169,4093,4.13,24
2004-2005,200508,2/26/2005,California,646,13962,4.63,79
2004-2005,200508,2/26/2005,Central,85,871,9.76,10
2004-2005,200508,2/26/2005,Lower Southern,268,4912,5.46,22
2004-2005,200508,2/26/2005,Northern,61,2688,2.27,11
2004-2005,200508,2/26/2005,Upper Southern,63,1398,4.51,12
2004-2005,200509,3/5/2005,Bay Area,143,4558,3.14,24
2004-2005,200509,3/5/2005,California,513,14663,3.5,77
2004-2005,200509,3/5/2005,Central,95,1190,7.98,9
2004-2005,200509,3/5/2005,Lower Southern,157,4341,3.62,22
2004-2005,200509,3/5/2005,Northern,49,2881,1.7,10
2004-2005,200509,3/5/2005,Upper Southern,69,1693,4.08,12
2004-2005,200510,3/12/2005,Bay Area,114,3849,2.96,21
2004-2005,200510,3/12/2005,California,541,15570,3.47,75
2004-2005,200510,3/12/2005,Central,69,1242,5.56,10
2004-2005,200510,3/12/2005,Lower Southern,281,6431,4.37,23
2004-2005,200510,3/12/2005,Northern,37,2561,1.44,10
2004-2005,200510,3/12/2005,Upper Southern,40,1487,2.69,11
2004-2005,200511,3/19/2005,Bay Area,85,4112,2.07,22
2004-2005,200511,3/19/2005,California,413,14473,2.85,75
2004-2005,200511,3/19/2005,Central,44,922,4.77,8
2004-2005,200511,3/19/2005,Lower Southern,235,5932,3.96,22
2004-2005,200511,3/19/2005,Northern,23,2176,1.06,11
2004-2005,200511,3/19/2005,Upper Southern,26,1331,1.95,12
2004-2005,200512,3/26/2005,Bay Area,69,3677,1.88,23
2004-2005,200512,3/26/2005,California,352,12163,2.89,74
2004-2005,200512,3/26/2005,Central,29,499,5.81,6
2004-2005,200512,3/26/2005,Lower Southern,180,4165,4.32,21
2004-2005,200512,3/26/2005,Northern,31,2621,1.18,12
2004-2005,200512,3/26/2005,Upper Southern,43,1201,3.58,12
2004-2005,200513,4/2/2005,Bay Area,63,3838,1.64,21
2004-2005,200513,4/2/2005,California,304,11180,2.72,66
2004-2005,200513,4/2/2005,Central,48,564,8.51,5
2004-2005,200513,4/2/2005,Lower Southern,112,2661,4.21,17
2004-2005,200513,4/2/2005,Northern,33,2414,1.37,11
2004-2005,200513,4/2/2005,Upper Southern,48,1703,2.82,12
2004-2005,200514,4/9/2005,Bay Area,54,3569,1.51,19
2004-2005,200514,4/9/2005,California,360,13566,2.65,68
2004-2005,200514,4/9/2005,Central,28,967,2.9,7
2004-2005,200514,4/9/2005,Lower Southern,198,4981,3.98,21
2004-2005,200514,4/9/2005,Northern,27,2557,1.06,10
2004-2005,200514,4/9/2005,Upper Southern,53,1492,3.55,11
2004-2005,200515,4/16/2005,Bay Area,52,3865,1.35,20
2004-2005,200515,4/16/2005,California,443,13777,3.22,67
2004-2005,200515,4/16/2005,Central,10,751,1.33,5
2004-2005,200515,4/16/2005,Lower Southern,332,5187,6.4,21
2004-2005,200515,4/16/2005,Northern,15,2397,0.63,9
2004-2005,200515,4/16/2005,Upper Southern,34,1577,2.16,12
2004-2005,200516,4/23/2005,Bay Area,52,3656,1.42,19
2004-2005,200516,4/23/2005,California,191,12543,1.52,64
2004-2005,200516,4/23/2005,Central,2,743,0.27,4
2004-2005,200516,4/23/2005,Lower Southern,93,3924,2.37,20
2004-2005,200516,4/23/2005,Northern,9,2619,0.34,10
2004-2005,200516,4/23/2005,Upper Southern,35,1601,2.19,11
2004-2005,200517,4/30/2005,Bay Area,39,2913,1.34,17
2004-2005,200517,4/30/2005,California,269,11377,2.36,54
2004-2005,200517,4/30/2005,Central,0,737,0.0,4
2004-2005,200517,4/30/2005,Lower Southern,199,4802,4.14,18
2004-2005,200517,4/30/2005,Northern,18,2228,0.81,8
2004-2005,200517,4/30/2005,Upper Southern,13,697,1.87,7
2004-2005,200518,5/7/2005,Bay Area,18,1925,0.94,11
2004-2005,200518,5/7/2005,California,233,9735,2.39,42
2004-2005,200518,5/7/2005,Central,3,718,0.42,3
2004-2005,200518,5/7/2005,Lower Southern,186,4732,3.93,18
2004-2005,200518,5/7/2005,Northern,13,1812,0.72,6
2004-2005,200518,5/7/2005,Upper Southern,13,548,2.37,4
2004-2005,200519,5/14/2005,Bay Area,27,2042,1.32,11
2004-2005,200519,5/14/2005,California,200,7719,2.59,37
2004-2005,200519,5/14/2005,Central,0,344,0.0,3
2004-2005,200519,5/14/2005,Lower Southern,135,2736,4.93,12
2004-2005,200519,5/14/2005,Northern,22,2077,1.06,7
2004-2005,200519,5/14/2005,Upper Southern,16,520,3.08,4
2004-2005,200520,5/21/2005,Bay Area,24,2043,1.17,12
2004-2005,200520,5/21/2005,California,292,9371,3.12,38
2004-2005,200520,5/21/2005,Central,1,259,0.39,2
2004-2005,200520,5/21/2005,Lower Southern,225,4316,5.21,13
2004-2005,200520,5/21/2005,Northern,26,2307,1.13,7
2004-2005,200520,5/21/2005,Upper Southern,16,446,3.59,4
2004-2005,200521,5/28/2005,Bay Area,25,1311,1.91,10
2004-2005,200521,5/28/2005,California,214,7517,2.85,34
2004-2005,200521,5/28/2005,Central,2,214,0.93,2
2004-2005,200521,5/28/2005,Lower Southern,163,4115,3.96,13
2004-2005,200521,5/28/2005,Northern,18,1478,1.22,6
2004-2005,200521,5/28/2005,Upper Southern,6,399,1.5,3
2004-2005,200522,6/4/2005,Bay Area,18,1227,1.47,10
2004-2005,200522,6/4/2005,California,169,6583,2.57,31
2004-2005,200522,6/4/2005,Central,0,208,0.0,2
2004-2005,200522,6/4/2005,Lower Southern,135,3585,3.77,9
2004-2005,200522,6/4/2005,Northern,15,1319,1.14,7
2004-2005,200522,6/4/2005,Upper Southern,1,244,0.41,3
2004-2005,200523,6/11/2005,Bay Area,15,1168,1.28,8
2004-2005,200523,6/11/2005,California,133,5161,2.58,26
2004-2005,200523,6/11/2005,Central,0,60,0.0,1
2004-2005,200523,6/11/2005,Lower Southern,106,2178,4.87,7
2004-2005,200523,6/11/2005,Northern,11,1502,0.73,7
2004-2005,200523,6/11/2005,Upper Southern,1,253,0.4,3
2004-2005,200524,6/18/2005,Bay Area,16,969,1.65,9
2004-2005,200524,6/18/2005,California,124,4745,2.61,28
2004-2005,200524,6/18/2005,Central,0,49,0.0,1
2004-2005,200524,6/18/2005,Lower Southern,95,2281,4.16,9
2004-2005,200524,6/18/2005,Northern,10,1134,0.88,6
2004-2005,200524,6/18/2005,Upper Southern,3,312,0.96,3
2004-2005,200525,6/25/2005,Bay Area,18,1168,1.54,9
2004-2005,200525,6/25/2005,California,136,6125,2.22,28
2004-2005,200525,6/25/2005,Central,0,66,0.0,1
2004-2005,200525,6/25/2005,Lower Southern,108,3299,3.27,9
2004-2005,200525,6/25/2005,Northern,9,1200,0.75,6
2004-2005,200525,6/25/2005,Upper Southern,1,392,0.26,3
2004-2005,200526,7/2/2005,Bay Area,15,693,2.16,7
2004-2005,200526,7/2/2005,California,99,4416,2.24,24
2004-2005,200526,7/2/2005,Central,0,102,0.0,1
2004-2005,200526,7/2/2005,Lower Southern,78,2211,3.53,8
2004-2005,200526,7/2/2005,Northern,4,1031,0.39,5
2004-2005,200526,7/2/2005,Upper Southern,2,379,0.53,3
2004-2005,200527,7/9/2005,Bay Area,13,866,1.5,8
2004-2005,200527,7/9/2005,California,77,4623,1.67,27
2004-2005,200527,7/9/2005,Central,0,67,0.0,1
2004-2005,200527,7/9/2005,Lower Southern,59,2375,2.48,9
2004-2005,200527,7/9/2005,Northern,3,1035,0.29,6
2004-2005,200527,7/9/2005,Upper Southern,2,280,0.71,3
2004-2005,200528,7/16/2005,Bay Area,14,1000,1.4,8
2004-2005,200528,7/16/2005,California,81,5230,1.55,24
2004-2005,200528,7/16/2005,Central,0,98,0.0,1
2004-2005,200528,7/16/2005,Lower Southern,62,2726,2.27,7
2004-2005,200528,7/16/2005,Northern,4,1186,0.34,6
2004-2005,200528,7/16/2005,Upper Southern,1,220,0.45,2
2004-2005,200529,7/23/2005,Bay Area,11,955,1.15,7
2004-2005,200529,7/23/2005,California,90,4031,2.23,22
2004-2005,200529,7/23/2005,Central,0,104,0.0,1
2004-2005,200529,7/23/2005,Lower Southern,74,1741,4.25,6
2004-2005,200529,7/23/2005,Northern,5,1143,0.44,6
2004-2005,200529,7/23/2005,Upper Southern,0,88,0.0,2
2004-2005,200530,7/30/2005,Bay Area,6,830,0.72,5
2004-2005,200530,7/30/2005,California,59,3944,1.5,20
2004-2005,200530,7/30/2005,Central,0,55,0.0,1
2004-2005,200530,7/30/2005,Lower Southern,53,1818,2.92,7
2004-2005,200530,7/30/2005,Northern,0,1061,0.0,5
2004-2005,200530,7/30/2005,Upper Southern,0,180,0.0,2
2004-2005,200531,8/6/2005,Bay Area,12,894,1.34,6
2004-2005,200531,8/6/2005,California,75,3899,1.92,21
2004-2005,200531,8/6/2005,Central,0,46,0.0,1
2004-2005,200531,8/6/2005,Lower Southern,61,1665,3.66,7
2004-2005,200531,8/6/2005,Northern,0,1054,0.0,5
2004-2005,200531,8/6/2005,Upper Southern,2,240,0.83,2
2004-2005,200532,8/13/2005,Bay Area,10,942,1.06,6
2004-2005,200532,8/13/2005,California,22,2952,0.75,19
2004-2005,200532,8/13/2005,Central,0,107,0.0,1
2004-2005,200532,8/13/2005,Lower Southern,9,714,1.26,5
2004-2005,200532,8/13/2005,Northern,3,969,0.31,5
2004-2005,200532,8/13/2005,Upper Southern,0,220,0.0,2
2004-2005,200533,8/20/2005,Bay Area,10,845,1.18,5
2004-2005,200533,8/20/2005,California,67,4322,1.55,20
2004-2005,200533,8/20/2005,Central,0,74,0.0,1
2004-2005,200533,8/20/2005,Lower Southern,56,1698,3.3,7
2004-2005,200533,8/20/2005,Northern,1,1462,0.07,5
2004-2005,200533,8/20/2005,Upper Southern,0,243,0.0,2
2004-2005,200534,8/27/2005,Bay Area,8,1344,0.6,8
2004-2005,200534,8/27/2005,California,71,5569,1.27,22
2004-2005,200534,8/27/2005,Central,0,303,0.0,1
2004-2005,200534,8/27/2005,Lower Southern,60,1747,3.43,6
2004-2005,200534,8/27/2005,Northern,2,1943,0.1,5
2004-2005,200534,8/27/2005,Upper Southern,1,232,0.43,2
2004-2005,200535,9/3/2005,Bay Area,0,1136,0.0,7
2004-2005,200535,9/3/2005,California,60,3878,1.55,19
2004-2005,200535,9/3/2005,Central,0,255,0.0,1
2004-2005,200535,9/3/2005,Lower Southern,58,1807,3.21,7
2004-2005,200535,9/3/2005,Northern,1,432,0.23,2
2004-2005,200535,9/3/2005,Upper Southern,1,248,0.4,2
2004-2005,200536,9/10/2005,Bay Area,5,1000,0.5,6
2004-2005,200536,9/10/2005,California,68,3617,1.88,18
2004-2005,200536,9/10/2005,Central,0,172,0.0,1
2004-2005,200536,9/10/2005,Lower Southern,62,1548,4.01,6
2004-2005,200536,9/10/2005,Northern,1,714,0.14,3
2004-2005,200536,9/10/2005,Upper Southern,0,183,0.0,2
2004-2005,200537,9/17/2005,Bay Area,2,767,0.26,4
2004-2005,200537,9/17/2005,California,50,3774,1.32,16
2004-2005,200537,9/17/2005,Central,0,189,0.0,1
2004-2005,200537,9/17/2005,Lower Southern,46,1662,2.77,6
2004-2005,200537,9/17/2005,Northern,2,922,0.22,3
2004-2005,200537,9/17/2005,Upper Southern,0,234,0.0,2
2004-2005,200538,9/24/2005,Bay Area,4,1287,0.31,6
2004-2005,200538,9/24/2005,California,69,4144,1.67,18
2004-2005,200538,9/24/2005,Central,0,184,0.0,1
2004-2005,200538,9/24/2005,Lower Southern,64,1765,3.63,6
2004-2005,200538,9/24/2005,Northern,1,707,0.14,3
2004-2005,200538,9/24/2005,Upper Southern,0,201,0.0,2
2004-2005,200539,10/1/2005,Bay Area,3,1238,0.24,6
2004-2005,200539,10/1/2005,California,57,4463,1.28,19
2004-2005,200539,10/1/2005,Central,1,239,0.42,2
2004-2005,200539,10/1/2005,Lower Southern,53,2029,2.61,6
2004-2005,200539,10/1/2005,Northern,0,723,0.0,3
2004-2005,200539,10/1/2005,Upper Southern,0,234,0.0,2
2005-2006,200540,10/8/2005,Bay Area,23,1824,1.26,15
2005-2006,200540,10/8/2005,California,233,11542,2.02,53
2005-2006,200540,10/8/2005,Central,20,1094,1.83,5
2005-2006,200540,10/8/2005,Lower Southern,154,3850,4.0,12
2005-2006,200540,10/8/2005,Northern,12,1850,0.65,7
2005-2006,200540,10/8/2005,Upper Southern,24,2924,0.82,14
2005-2006,200541,10/15/2005,Bay Area,17,2782,0.61,16
2005-2006,200541,10/15/2005,California,241,13627,1.77,60
2005-2006,200541,10/15/2005,Central,25,1262,1.98,6
2005-2006,200541,10/15/2005,Lower Southern,168,4742,3.54,16
2005-2006,200541,10/15/2005,Northern,4,1952,0.2,8
2005-2006,200541,10/15/2005,Upper Southern,27,2889,0.93,14
2005-2006,200542,10/22/2005,Bay Area,29,3182,0.91,17
2005-2006,200542,10/22/2005,California,280,15446,1.81,68
2005-2006,200542,10/22/2005,Central,19,1370,1.39,7
2005-2006,200542,10/22/2005,Lower Southern,164,5073,3.23,17
2005-2006,200542,10/22/2005,Northern,25,2166,1.15,10
2005-2006,200542,10/22/2005,Upper Southern,43,3655,1.18,17
2005-2006,200543,10/29/2005,Bay Area,48,3384,1.42,20
2005-2006,200543,10/29/2005,California,267,16483,1.62,81
2005-2006,200543,10/29/2005,Central,32,1448,2.21,8
2005-2006,200543,10/29/2005,Lower Southern,131,5228,2.51,22
2005-2006,200543,10/29/2005,Northern,14,2445,0.57,11
2005-2006,200543,10/29/2005,Upper Southern,42,3978,1.06,20
2005-2006,200544,11/5/2005,Bay Area,69,3373,2.05,21
2005-2006,200544,11/5/2005,California,452,17823,2.54,88
2005-2006,200544,11/5/2005,Central,63,1769,3.56,9
2005-2006,200544,11/5/2005,Lower Southern,227,6690,3.39,26
2005-2006,200544,11/5/2005,Northern,57,2209,2.58,12
2005-2006,200544,11/5/2005,Upper Southern,36,3782,0.95,20
2005-2006,200545,11/12/2005,Bay Area,70,3552,1.97,22
2005-2006,200545,11/12/2005,California,333,18165,1.83,94
2005-2006,200545,11/12/2005,Central,42,1738,2.42,9
2005-2006,200545,11/12/2005,Lower Southern,130,5672,2.29,27
2005-2006,200545,11/12/2005,Northern,27,2233,1.21,12
2005-2006,200545,11/12/2005,Upper Southern,64,4970,1.29,24
2005-2006,200546,11/19/2005,Bay Area,109,3275,3.33,20
2005-2006,200546,11/19/2005,California,537,18885,2.84,92
2005-2006,200546,11/19/2005,Central,58,1825,3.18,9
2005-2006,200546,11/19/2005,Lower Southern,279,7101,3.93,28
2005-2006,200546,11/19/2005,Northern,21,1834,1.15,10
2005-2006,200546,11/19/2005,Upper Southern,70,4850,1.44,25
2005-2006,200547,11/26/2005,Bay Area,70,2219,3.15,22
2005-2006,200547,11/26/2005,California,530,14102,3.76,97
2005-2006,200547,11/26/2005,Central,60,1088,5.51,10
2005-2006,200547,11/26/2005,Lower Southern,322,5597,5.75,27
2005-2006,200547,11/26/2005,Northern,11,1022,1.08,13
2005-2006,200547,11/26/2005,Upper Southern,67,4176,1.6,25
2005-2006,200548,12/3/2005,Bay Area,92,3210,2.87,20
2005-2006,200548,12/3/2005,California,538,17236,3.12,91
2005-2006,200548,12/3/2005,Central,35,1613,2.17,8
2005-2006,200548,12/3/2005,Lower Southern,266,5579,4.77,27
2005-2006,200548,12/3/2005,Northern,39,2261,1.72,13
2005-2006,200548,12/3/2005,Upper Southern,106,4573,2.32,23
2005-2006,200549,12/10/2005,Bay Area,145,2794,5.19,22
2005-2006,200549,12/10/2005,California,798,18947,4.21,100
2005-2006,200549,12/10/2005,Central,39,1635,2.39,9
2005-2006,200549,12/10/2005,Lower Southern,430,7279,5.91,29
2005-2006,200549,12/10/2005,Northern,36,2425,1.48,15
2005-2006,200549,12/10/2005,Upper Southern,148,4814,3.07,25
2005-2006,200550,12/17/2005,Bay Area,183,3127,5.85,21
2005-2006,200550,12/17/2005,California,1177,19387,6.07,96
2005-2006,200550,12/17/2005,Central,69,1574,4.38,10
2005-2006,200550,12/17/2005,Lower Southern,672,7982,8.42,29
2005-2006,200550,12/17/2005,Northern,54,2475,2.18,12
2005-2006,200550,12/17/2005,Upper Southern,199,4229,4.71,24
2005-2006,200551,12/24/2005,Bay Area,264,2596,10.17,23
2005-2006,200551,12/24/2005,California,1358,15702,8.65,94
2005-2006,200551,12/24/2005,Central,41,1062,3.86,8
2005-2006,200551,12/24/2005,Lower Southern,743,6101,12.18,27
2005-2006,200551,12/24/2005,Northern,96,1662,5.78,13
2005-2006,200551,12/24/2005,Upper Southern,214,4281,5.0,23
2005-2006,200552,12/31/2005,Bay Area,148,2016,7.34,23
2005-2006,200552,12/31/2005,California,819,13213,6.2,96
2005-2006,200552,12/31/2005,Central,27,775,3.48,8
2005-2006,200552,12/31/2005,Lower Southern,449,5056,8.88,28
2005-2006,200552,12/31/2005,Northern,74,1573,4.7,12
2005-2006,200552,12/31/2005,Upper Southern,121,3793,3.19,25
2005-2006,200601,1/7/2006,Bay Area,114,2447,4.66,20
2005-2006,200601,1/7/2006,California,491,13446,3.65,90
2005-2006,200601,1/7/2006,Central,27,998,2.71,8
2005-2006,200601,1/7/2006,Lower Southern,211,3865,5.46,22
2005-2006,200601,1/7/2006,Northern,56,1626,3.44,14
2005-2006,200601,1/7/2006,Upper Southern,83,4510,1.84,26
2005-2006,200602,1/14/2006,Bay Area,122,3277,3.72,22
2005-2006,200602,1/14/2006,California,339,15478,2.19,96
2005-2006,200602,1/14/2006,Central,27,1352,2.0,8
2005-2006,200602,1/14/2006,Lower Southern,58,3396,1.71,21
2005-2006,200602,1/14/2006,Northern,54,2161,2.5,15
2005-2006,200602,1/14/2006,Upper Southern,78,5292,1.47,30
2005-2006,200603,1/21/2006,Bay Area,98,2891,3.39,21
2005-2006,200603,1/21/2006,California,286,14523,1.97,90
2005-2006,200603,1/21/2006,Central,32,1328,2.41,8
2005-2006,200603,1/21/2006,Lower Southern,54,2741,1.97,19
2005-2006,200603,1/21/2006,Northern,48,2035,2.36,13
2005-2006,200603,1/21/2006,Upper Southern,54,5528,0.98,29
2005-2006,200604,1/28/2006,Bay Area,121,3782,3.2,23
2005-2006,200604,1/28/2006,California,462,17775,2.6,93
2005-2006,200604,1/28/2006,Central,37,1568,2.36,9
2005-2006,200604,1/28/2006,Lower Southern,169,4936,3.42,21
2005-2006,200604,1/28/2006,Northern,47,2561,1.84,12
2005-2006,200604,1/28/2006,Upper Southern,88,4928,1.79,28
2005-2006,200605,2/4/2006,Bay Area,136,3668,3.71,22
2005-2006,200605,2/4/2006,California,354,15376,2.3,89
2005-2006,200605,2/4/2006,Central,23,1513,1.52,9
2005-2006,200605,2/4/2006,Lower Southern,41,2748,1.49,20
2005-2006,200605,2/4/2006,Northern,70,2981,2.35,14
2005-2006,200605,2/4/2006,Upper Southern,84,4466,1.88,24
2005-2006,200606,2/11/2006,Bay Area,108,3754,2.88,22
2005-2006,200606,2/11/2006,California,282,15881,1.78,89
2005-2006,200606,2/11/2006,Central,18,1507,1.19,10
2005-2006,200606,2/11/2006,Lower Southern,47,3147,1.49,20
2005-2006,200606,2/11/2006,Northern,41,2908,1.41,13
2005-2006,200606,2/11/2006,Upper Southern,68,4565,1.49,24
2005-2006,200607,2/18/2006,Bay Area,115,3469,3.32,21
2005-2006,200607,2/18/2006,California,464,18405,2.52,92
2005-2006,200607,2/18/2006,Central,16,1542,1.04,10
2005-2006,200607,2/18/2006,Lower Southern,235,6024,3.9,23
2005-2006,200607,2/18/2006,Northern,49,2790,1.76,14
2005-2006,200607,2/18/2006,Upper Southern,49,4580,1.07,24
2005-2006,200608,2/25/2006,Bay Area,58,2785,2.08,18
2005-2006,200608,2/25/2006,California,254,14385,1.77,85
2005-2006,200608,2/25/2006,Central,15,1672,0.9,10
2005-2006,200608,2/25/2006,Lower Southern,54,2658,2.03,19
2005-2006,200608,2/25/2006,Northern,47,2717,1.73,14
2005-2006,200608,2/25/2006,Upper Southern,80,4553,1.76,24
2005-2006,200609,3/4/2006,Bay Area,53,3028,1.75,17
2005-2006,200609,3/4/2006,California,205,13926,1.47,79
2005-2006,200609,3/4/2006,Central,18,1570,1.15,9
2005-2006,200609,3/4/2006,Lower Southern,23,2229,1.03,17
2005-2006,200609,3/4/2006,Northern,47,2683,1.75,14
2005-2006,200609,3/4/2006,Upper Southern,64,4416,1.45,22
2005-2006,200610,3/11/2006,Bay Area,65,3153,2.06,18
2005-2006,200610,3/11/2006,California,448,18106,2.47,85
2005-2006,200610,3/11/2006,Central,16,1466,1.09,10
2005-2006,200610,3/11/2006,Lower Southern,261,6373,4.1,23
2005-2006,200610,3/11/2006,Northern,30,2525,1.19,11
2005-2006,200610,3/11/2006,Upper Southern,76,4589,1.66,23
2005-2006,200611,3/18/2006,Bay Area,88,3508,2.51,19
2005-2006,200611,3/18/2006,California,477,17788,2.68,86
2005-2006,200611,3/18/2006,Central,13,1593,0.82,10
2005-2006,200611,3/18/2006,Lower Southern,284,6177,4.6,23
2005-2006,200611,3/18/2006,Northern,25,1767,1.41,12
2005-2006,200611,3/18/2006,Upper Southern,67,4743,1.41,22
2005-2006,200612,3/25/2006,Bay Area,108,2965,3.64,19
2005-2006,200612,3/25/2006,California,538,17537,3.07,87
2005-2006,200612,3/25/2006,Central,16,1665,0.96,10
2005-2006,200612,3/25/2006,Lower Southern,318,5956,5.34,23
2005-2006,200612,3/25/2006,Northern,21,2488,0.84,12
2005-2006,200612,3/25/2006,Upper Southern,75,4463,1.68,23
2005-2006,200613,4/1/2006,Bay Area,67,2551,2.63,18
2005-2006,200613,4/1/2006,California,452,15939,2.84,83
2005-2006,200613,4/1/2006,Central,30,1457,2.06,9
2005-2006,200613,4/1/2006,Lower Southern,258,5597,4.61,22
2005-2006,200613,4/1/2006,Northern,18,1793,1.0,10
2005-2006,200613,4/1/2006,Upper Southern,79,4541,1.74,24
2005-2006,200614,4/8/2006,Bay Area,82,3089,2.65,18
2005-2006,200614,4/8/2006,California,431,16416,2.63,81
2005-2006,200614,4/8/2006,Central,19,1626,1.17,9
