objectid(long),routeid(long),beginpoint(double precision),endpoint(double precision),routedirection,roadnumber(long),roadsuffix,nedesc,assumedownership,assmowndesc,assumedroadtype,assmrdtypdesc,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
4722,15900533,0.0,0.18,L,1,W,DORSET WAY (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,43ed987d-4e85-42a5-83ab-0a6ca4e36ed5,959.470709956668
4723,15900593,0.0,0.03,L,2,W,RIVER VIEW (Avon),PRI,Private Entity,M,Mainline,4,AVON,1615,f9f3cc28-9aa9-42fe-9d07-a9241c711f01,167.065010615991
4724,15900650,0.0,0.13,L,1,W,ORGAN ST (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,6bfaf7ff-baf3-4015-9cac-77f1521c42aa,679.855577503211
4725,15900665,0.0,0.08,L,1,W,PARK DR (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,bef5b336-5ff6-412e-bd15-8e840e11dcc0,408.115580856072
4726,15900673,0.0,0.06,L,1,W,PATRICIA RD (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,e902ab8e-42e6-47a3-b3ee-7adadb7e063a,322.088081277676
4727,15900677,0.0,0.05,L,1,W,PEERLESS PL (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,a56904a4-a287-4073-a56c-e45a02d6906f,241.091634520427
4728,15900746,0.0,0.11,L,1,W,TWIN ROCKS RD (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,604c2776-04d4-4bec-b6b1-a67ff22539c8,604.780732002398
4729,15900815,0.0,0.49,L,1,W,MOUNTAIN VIEW DR (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,02e03df6-964c-41cc-b117-8d5f6aa61710,2585.26108426067
4730,15900876,0.0,0.09,L,1,W,CIPOLLA LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,90006a65-688d-49ca-b797-7185ba5bf49a,459.456988133844
4731,15900880,0.0,0.13,L,1,W,COMSTOCK TRAIL (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,c04ee582-8095-422d-a828-2dc711d9a82a,688.156983927019
4732,15927050,0.0,0.07,L,1,W,GRASSY LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,055223f0-adab-4535-a910-cd2a4df3a7b1,359.86461390232
4733,15932475,0.0,0.07,L,1,W,HEATHER LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,523cacd1-9fd6-4403-9725-3b28ebd4975f,382.108953613933
4734,15942430,0.0,0.05,L,1,W,ROSSINOFF PL (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,f9e6c0d7-f4e3-4482-96a6-7523a0fb9faa,260.279137995107
4735,15956695,0.0,0.03,L,1,W,FEDERAL CT (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,6a6470de-9d9d-4a10-94ac-502f01fbd947,148.568675498288
4736,15956779,0.0,0.42,L,1,W,TULIP TREE CIR (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,1295,bcb0f89b-fdf5-4063-98ce-97201f2d319e,2235.72937186599
4737,15956836,0.0,0.25,L,1,W,HEATHERWOOD DR (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,e897de38-5afc-49d1-86bf-176a4826cac4,1339.55522210414
4738,15956917,0.0,0.28,L,1,W,RIVER WALK DR (Private),PRI,Private Entity,M,Mainline,19,BROOKLYN,2832,9a1e430b-e471-4ac9-9a14-9fe8901e623d,1470.74652491234
4739,15956964,0.0,0.08,L,1,W,BASS LA (Private),PRI,Private Entity,M,Mainline,19,BROOKLYN,1958,f4f98f40-f109-43d4-bd90-aaa016f2c1d6,415.322001122437
4740,15956997,0.0,0.07,L,1,W,CUTTER DR (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,0e0b00df-3a18-48b3-87ff-21172de2a44a,370.363775829221
4741,15957043,0.0,0.04,L,1,W,PARK AVE (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,3065d96f-5ec1-4710-901b-d7de2e32612f,212.323322317384
4742,15957064,0.0,0.04,R,1,W,MONUMENT DR (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,9743295a-36d6-46f9-a352-5f9365ec88e0,237.155965746553
4743,15957088,0.0,0.55,L,1,W,KILLAMS POINT RD (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,772765c8-9155-4457-9f25-d872aa631195,2883.06890579418
4744,15957107,0.0,0.17,L,1,W,LAKEVIEW DR (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,8568e1ca-b09d-4fd4-868f-9b6ea18d8738,921.41509491279
4745,15957114,0.0,0.07,L,1,W,PLEASANT VIEW DR (Private),PRI,Private Entity,M,Mainline,19,BROOKLYN,2022,ac9270bf-97b2-46d4-a668-c68454c15fe1,346.055969063533
4746,15957119,0.0,0.17,L,1,W,FAIRWAY DR (Private),PRI,Private Entity,M,Mainline,19,BROOKLYN,2022,2c127c93-d755-458a-9a7a-8731bd20389d,866.387011840363
4747,15957128,0.0,0.12,L,1,W,FRANCIS LA (Private),PRI,Private Entity,M,Mainline,19,BROOKLYN,2022,82af5dd4-7a41-4fad-9610-0c4cabe7acd2,608.132127105225
4748,15957172,0.0,0.12,L,1,W,PINE GROVE (Private),PRI,Private Entity,M,Mainline,21,CANAAN,2022,35db18e1-0dca-400d-a10b-fa872539892c,621.094348693127
4749,15957197,0.0,0.08,L,1,W,TERRY LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,9c9684e7-70ad-4e32-be79-0905d190ea7b,397.895664324165
4750,15957288,0.0,0.17,L,1,W,SANDY LA (Private),PRI,Private Entity,M,Mainline,22,CANTERBURY,2022,11d8a7bf-621d-42f7-87b5-a63ff18c40e0,904.94873169055
4751,15958946,0.0,0.3,L,1,W,CAMPBELL HEIGHTS (Canterbury),PRI,Private Entity,M,Mainline,22,CANTERBURY,2022,030cee1f-bcad-4f23-b8eb-598351e513a2,1572.83169073312
4752,15960432,0.0,0.26,L,1,W,CLIFF DR (Private),PRI,Private Entity,M,Mainline,4,AVON,2022,ec7811d9-b0f9-49a6-a8ae-629e01521100,1382.01096307048
4753,15960777,0.0,0.09,L,1,W,INDIAN NECK SCHOOL (Branford),PRI,Private Entity,M,Mainline,14,BRANFORD,2395,37bb2202-30f2-497e-96f6-9521d64d739a,488.86086301444
4754,15960789,0.0,0.14,L,1,W,TURNER LA (Private),PRI,Private Entity,M,Mainline,20,BURLINGTON,2022,16c9943b-e719-48a2-97a9-602002989630,730.664464801249
4755,15960813,0.0,0.14,L,1,W,HIDDEN VALLEY TRAIL (Private),PRI,Private Entity,M,Mainline,23,CANTON,2022,d1069dfe-d05a-47b7-8668-25eb70823a43,753.467942791067
4756,15960832,0.0,0.14,L,1,W,GREYSTONE (Canton),PRI,Private Entity,M,Mainline,23,CANTON,2817,3dc7944a-7bdc-46d8-a9bc-a8cc09f62995,730.669209387825
4757,15960848,0.0,0.11,L,1,W,OLD OAK DR (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,1b1391bc-9ce5-4822-bd93-2e9c5421823e,577.867822387752
4758,15960895,0.0,0.15,L,1,W,RIVERVIEW CT (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,78b2b87f-d4e0-45ca-84f0-9c7b5d59b594,803.488153380125
4759,15960973,0.0,0.04,L,1,W,BROOKVIEW CIR (Private),PRI,Private Entity,M,Mainline,23,CANTON,2022,31317dda-518e-4cf1-a747-11c79609722d,204.535829257964
4760,15961001,0.0,0.74,L,1,W,AVON OLD FARMS SCHOOL (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,b617f0d2-e5cf-43cb-82b6-39d442b45504,3885.31215402511
4761,15961060,0.0,0.09,L,1,W,RESEARCH DR (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,b772921a-1648-405d-88b5-35c9840dbfa8,492.725182322543
4762,15961081,0.0,0.6,L,1,W,MONTEVIDEO RD (Private),PRI,Private Entity,M,Mainline,4,AVON,2022,ad0d46c4-08ee-4cf7-8e07-3c9a30c21286,3157.68951415836
4763,15961179,0.0,0.19,L,1,W,STONE RIDGE LA (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,0770fe48-7c32-4711-8e17-99f1dce14197,1019.34295681276
4764,15961207,0.0,0.04,L,1,W,WHALERS WALK (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,a09cf05e-5d29-4b41-bf1a-8f96e9d534b2,189.758798574738
4765,15961222,0.0,0.08,L,1,W,TOWPATH LA (Private),PRI,Private Entity,M,Mainline,4,AVON,2022,432a47c1-2f40-4a44-a1b1-4e0c5f0434af,423.434939667389
4766,15961289,0.0,0.07,L,1,W,ELSTON WAY (Private),PRI,Private Entity,M,Mainline,23,CANTON,2022,fd3b3b15-ec80-48c7-9eb0-ab4cbd1b5497,357.307321051847
4767,15961356,0.0,0.18,L,1,W,THE POND (Branford),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,9e46aade-6c08-4685-8f1e-25836cc4a630,929.558767420363
4768,15961378,0.0,0.1,L,1,W,BRAMBLE WAY (Private),PRI,Private Entity,M,Mainline,25,CHESHIRE,2022,3268b441-aefd-4468-9142-940a2eabbfbf,512.989816839548
4769,15961391,0.0,0.19,L,1,W,CHAPLIN WOODS DR (Private),PRI,Private Entity,M,Mainline,24,CHAPLIN,2022,2097e167-fbb2-4709-b248-66e30450193c,1004.29453899006
4770,15961430,0.0,0.1,L,2,W,THIMBLE FARMS RD (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,f1b0f3b3-095d-4714-b5ad-f8ece85197fb,550.458248588977
4771,15961474,0.0,0.04,L,1,W,COVE TRAIL (Private),PRI,Private Entity,M,Mainline,27,CLINTON,2022,8639683f-0a18-444b-8b36-28c30e37ec6d,202.299984482647
4772,15961481,0.0,0.16,L,1,W,JAMES DR (Private),PRI,Private Entity,M,Mainline,25,CHESHIRE,2022,e2b880c7-1f02-4b8e-b16a-966625226c2b,850.831125912122
4773,15961546,0.0,0.13,L,1,W,AIRPORT INDUSTRIAL PARK RD (Private),PRI,Private Entity,M,Mainline,26,CHESTER,2713,41936cff-d0fb-41e5-b955-85f19d0981ae,687.10423558095
4774,15961548,0.0,0.05,L,4,W,HARBOUR VILLAGE (Branford),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,d06908f0-9d68-400f-9fc4-606f7b06ac78,238.265912210103
4775,15961562,0.0,0.14,L,2,W,TURTLE BAY DR (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,8903e66b-5a03-4dbe-a39b-39553e962f18,734.387981126713
4776,15961575,0.0,0.18,L,1,W,ORCHARD HEIGHTS (Branford),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,1905933f-055d-4728-bbb0-e589e4018b2b,964.115364863943
4777,15961577,0.0,0.19,L,2,W,ORCHARD HEIGHTS (Branford),PRI,Private Entity,M,Mainline,14,BRANFORD,1282,8fb3241a-5536-4a20-ab47-9dd8e2a6e75b,1004.02485224086
4778,15961671,0.0,0.44,L,1,W,KIRA LA (Private),PRI,Private Entity,M,Mainline,26,CHESTER,2022,7ca700dd-4253-4927-846a-5784bf040739,2323.23941528071
4779,15961681,0.0,0.06,L,1,W,MCKINLEY RD (Private),PRI,Private Entity,M,Mainline,25,CHESHIRE,2022,1f6a7e66-ea4b-4abc-a911-8b3a206c3bb7,313.76576563084
4780,15961748,0.0,0.14,L,1,W,CHESTNUT HOLLOW RD (Private),PRI,Private Entity,M,Mainline,28,COLCHESTER,2022,ad714636-c254-404e-8652-9d950c43e265,733.890552608841
4781,15898985,0.0,0.03,L,2,W,CHIPPENWOOD ESTATES (Bristol),PRI,Private Entity,M,Mainline,17,BRISTOL,1395,a28f6642-8f59-4e2a-b1a5-d220fdbca532,178.6599797778
4782,15898997,0.0,0.04,L,4,W,CHIPPENWOOD ESTATES (Bristol),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,41514c63-9b3b-499f-9c4d-52b41e3d8c85,188.778895818196
4783,15899121,0.0,0.07,L,1,W,MAIDEN LN (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,45a16dd5-b61e-4cd6-a976-976a30584800,369.399511945848
4784,15899174,0.0,0.07,L,1,W,ROXBURY LN (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,6596a4f2-2338-42ce-8567-c35831af8cdb,355.903503392274
4785,15899180,0.0,0.77,L,1,W,ROCKWELL PARK RD NORTH (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,46df824c-aeb9-4459-a07e-eda6d90d2ab7,4062.98516372629
4786,15899265,0.0,0.16,L,1,W,COMMERCE PEAK (Bridgeport),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,8d112f62-1893-4155-a95f-46d8ea67851e,832.342098856308
4787,15899304,0.0,0.24,L,1,W,WHITEHAWK TRAIL (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,79dc74a5-f517-42de-8465-fd96d2a0fc1f,1293.88071289051
4788,15899336,0.0,0.08,L,1,W,WHISPERING PINES (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,191888d8-a61c-4873-97e1-c4d658f6e196,422.647890318753
4789,15899359,0.0,0.04,L,5,W,WHISPERING PINES (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,f52bba3c-1d7b-477d-95ec-120d3e5bf0b2,210.18009717374
4790,15899385,0.0,0.08,L,2,W,SALEM LUTHERAN CHURCH (Bridgeport),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2753,1434e384-4a23-4371-ab12-26738865f690,417.294646925303
4791,15899396,0.0,0.16,L,1,W,CENTRAL HIGH SCHOOL (Bridgeport),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,7b72e9b6-3b4d-4176-9f18-44f46c6fa315,875.262358141212
4792,15899429,0.0,0.11,L,1,W,ST VINCENT'S MEDICAL CENTER (Bridgeport),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,1287e476-3d83-46b7-86e6-a598303a8511,588.419187474596
4793,15899475,0.0,0.1,L,1,W,EMERSON DR (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,1597,362e5faa-2192-4d52-a52a-0059a312104f,544.951389142435
4794,15899482,0.0,0.07,L,1,W,HARBORVIEW AVE (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,35ff5729-40a3-459a-bc6f-9b22951845c2,354.195725874367
4795,15899484,0.0,0.16,L,1,W,EAMES BLVD (Private),PRI,Private Entity,M,Mainline,15,BRIDGEPORT,2022,c819c03a-407a-48e1-a423-272cc7b0fc41,861.95575247431
4796,15899486,0.0,0.32,L,1,W,CORBIN RIDGE (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,459e892d-a221-43da-99d7-416df2fb8342,1669.92632005488
4797,15899506,0.0,0.33,L,1,W,SPINNAKER RUN (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,3c3d8bdb-4e7b-41bb-99b5-e485989a5446,1745.93366975451
4798,15899916,0.0,0.09,L,6,W,WALLINGFORD REST STOP (Wallingford),PRI,Private Entity,M,Mainline,148,WALLINGFORD,2022,26452a9a-ab16-4fcc-8ab4-4f32bca71648,458.197496721848
4799,15900052,0.0,0.3,L,1,W,NORTHEAST MIDDLE SCHOOL (Bristol),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,f048aaee-7831-451b-99e2-6625d375e20d,1598.90660249222
4800,15900094,0.0,0.13,L,1,W,BURNHAM HOLLOW (Avon),PRI,Private Entity,M,Mainline,4,AVON,2022,20acbe5c-7faa-4d58-9293-9842c9e08ce1,658.346540289394
4801,15900128,0.0,0.18,L,1,W,GOAT ALLEY (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,2ed7a7bc-35fb-4090-a26d-d11757a3a166,972.297628346553
4802,15900229,0.0,0.05,L,1,W,JEFFREY LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2758,58bdc4f2-b5f7-47cb-af1c-9ecf56640068,280.752467061534
4803,15900250,0.0,0.12,R,1,W,HOMESTEAD LA (Private),PRI,Private Entity,M,Mainline,18,BROOKFIELD,2022,3f57e828-cf7f-47e7-9402-0f453421ea81,623.208843135092
4804,15900281,0.0,0.05,L,1,W,GREY LEDGE RD (Private),PRI,Private Entity,M,Mainline,14,BRANFORD,2022,3f30d7b7-22d2-412b-895a-25774a0544ad,282.518443817307
4805,15900301,0.0,0.05,L,1,W,VINCENT RD (Private),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,22a3808d-5dda-494f-9ec4-fb19827608ac,257.425856764748
4806,16042916,0.0,0.64,L,1,W,CHRISHOLM MARINA RD (Private),PRI,Private Entity,M,Mainline,26,CHESTER,2022,6140a573-27ab-4179-aefd-b6d50a16e30f,3397.04640667949
4807,16042922,0.0,0.41,L,1,W,AVERY SHORES DR (Private),PRI,Private Entity,M,Mainline,32,COVENTRY,1602,1b4474aa-f901-4572-a40d-5e70a10c8732,2215.33593787444
4808,16042939,0.0,0.15,L,1,W,WEST DR (Private),PRI,Private Entity,M,Mainline,31,CORNWALL,2022,fc9b0950-1e3a-46b0-bacd-9e7cd2fcd3d1,814.411182622124
4809,16042944,0.0,0.32,L,1,W,REED BROOK RD (Private),PRI,Private Entity,M,Mainline,31,CORNWALL,2022,be4bba90-05ea-4ba6-91bb-327dd4db348e,1679.26468738238
4810,16042948,0.0,0.21,L,1,W,STONE HILL RD (Private),PRI,Private Entity,M,Mainline,31,CORNWALL,2914,1c8a784e-15eb-445e-89ae-a47ab638d651,1114.9085713372
4811,16043047,0.0,0.03,L,1,W,BIRCH TRAIL (Private),PRI,Private Entity,M,Mainline,32,COVENTRY,2022,23da1a2b-ac23-4d5c-82da-6e66d7eef128,131.90921458592
4812,16043102,0.0,0.04,L,1,W,BRENTMORE DR (Private),PRI,Private Entity,M,Mainline,33,CROMWELL,2022,0e4b1062-63cf-451c-9fa8-e84a2763e159,198.745757526353
4813,16043263,0.0,0.04,L,1,W,CHESTNUT CT (Private),PRI,Private Entity,M,Mainline,33,CROMWELL,2022,047ef189-8aa4-4244-ba8f-d903c2205915,209.663287265063
4814,16043269,0.0,0.14,L,1,W,HEMLOCK CT (Private),PRI,Private Entity,M,Mainline,33,CROMWELL,1543,728428de-2be8-4c64-ab6b-38983fdaa121,752.654770379095
4815,16043294,0.0,0.09,L,1,W,HOLLY CT (Private),PRI,Private Entity,M,Mainline,33,CROMWELL,2022,71bea4da-b74a-471b-95c8-d87ff3dab279,471.33148605429
4816,16043308,0.0,0.09,L,1,W,KRISTEN WAY (Private),PRI,Private Entity,M,Mainline,27,CLINTON,2022,bc69f3a2-fff8-46d2-a3fb-3bda5babe295,477.715582276833
4817,16051586,0.0,0.27,L,1,W,LAWRENCE AV (Private),PRI,Private Entity,M,Mainline,34,DANBURY,1207,2e8b3a22-aca5-4164-9cf0-1f2ff51fcf91,1418.80206811116
4818,16051624,0.0,0.32,L,1,W,BAYWATER DR (Private),PRI,Private Entity,M,Mainline,35,DARIEN,2022,d9ef17de-a22d-4efa-8945-5d3acc33756f,1711.30942424931
4819,16051647,0.0,0.32,L,1,W,SIENNA DR (Private),PRI,Private Entity,M,Mainline,34,DANBURY,2755,44a21865-f1cc-41f6-9259-ad999b61c39a,1691.91397425667
4820,16051750,0.0,0.46,L,1,W,SALEM STRAITS RD (Private),PRI,Private Entity,M,Mainline,35,DARIEN,2022,7b68f8d3-dd76-474a-b74b-45423ede2549,2416.48450659927
4821,13301889,0.0,0.09,L,1,W,DOT ACCESS RD (Private),DOT,Department of Transportation,ARD,ARD,44,EAST LYME,3010,b44dbf3a-c9b7-4a3c-9a47-6fb416b78944,493.896774128587
4822,13481116,0.0,0.08,L,1,W,ROBBIN BROOK DR (Private),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,877b23b3-309a-4053-ac19-5ace6de49814,421.325026761776
4823,13497021,0.0,0.11,R,1,W,CORP CTR WEST (West Hartford),PRI,Private Entity,M,Mainline,155,WEST HARTFORD,2022,d67f921c-220d-4ec4-ae30-7f8158f97799,577.11953558339
4824,13539391,0.0,0.1,L,1,W,BAPTIST CHURCH (Newington),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,60bec424-d0d8-4c54-a42f-9f978806c637,542.229683210225
4825,13539416,0.0,0.14,L,1,W,BATCHELDER SCHOOL (Hartford),PRI,Private Entity,M,Mainline,63,HARTFORD,2960,fd0ec732-4dbd-49e9-964c-5e939bb10191,748.350451450794
4826,13539424,0.0,0.05,L,1,W,CHURCHILL PARK (Newington),PRI,Private Entity,M,Mainline,93,NEWINGTON,2022,9eda0344-1360-4fc1-bc5c-81eda73ae3e0,280.847028212188
4827,13546021,0.0,0.02,L,1,W,EMERSON WILLIAMS (Wethersfield),PRI,Private Entity,M,Mainline,159,WETHERSFIELD,2022,59ab888b-0f69-4232-aa05-47b3cf7b1035,143.787304145928
4828,13553494,0.0,0.06,L,1,W,SAGAMORE LA (Private),PRI,Private Entity,M,Mainline,118,ROCKY HILL,2022,389aa1b0-2732-4057-8623-0b3bddbb8e9d,304.104060789659
4829,13553532,0.0,0.11,L,1,W,WILLOW ST (Private),PRI,Private Entity,M,Mainline,42,EAST HARTFORD,2022,29b1304f-6af0-4919-910c-662766e59157,598.148479313016
4830,13556102,0.0,0.03,L,1,W,FERNDALE CENTER (Berlin),PRI,Private Entity,M,Mainline,7,BERLIN,2022,87c3af4f-b45f-48a4-a8b3-0dabb8c19411,161.407404706705
4831,13556118,0.0,0.23,L,1,W,TARGET (Meriden),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,79,MERIDEN,2022,76187ad3-4dd5-47ff-be38-4f2310b97c48,1241.87387988494
4832,13556128,0.0,0.17,L,1,W,E HARTFORD BLVD (Private),PRI,Private Entity,M,Mainline,42,EAST HARTFORD,2022,193ceb65-def3-48d9-9efb-06a847b517d4,960.520927169966
4833,13556189,0.0,0.23,L,1,W,PASCAL LA (Private),PRI,Private Entity,M,Mainline,76,MANCHESTER,2022,d6f08526-476c-4a8b-8204-2705ef43e69e,1222.71261034516
4834,13556221,0.0,0.05,L,1,W,GARACE COVENANT CHURCH (Middletown),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,82,MIDDLETOWN,2022,4f34d5de-fbcc-4adf-bab1-13448ba08166,275.893362250566
4835,13556233,0.0,0.03,L,1,W,MIDDLESEX HEALTH CENTER (Portland),PRI,Private Entity,M,Mainline,112,PORTLAND,2022,575e7e6a-02f7-4c65-bbac-7f100d53bfd8,188.176849191942
4836,13556237,0.0,0.18,L,1,W,COPPER BEACH LA (Private),PRI,Private Entity,M,Mainline,112,PORTLAND,2022,a4c8bf84-58f4-47a5-869a-ff0fafed2104,965.856136425304
4837,13556248,0.0,0.06,R,1,W,GUILDERSLEEVE SCHOOL (Portland),PRI,Private Entity,M,Mainline,112,PORTLAND,2022,b3040666-5fc3-4600-9f68-d20fdccf4ec9,319.50004682638
4838,13556348,0.0,0.11,L,1,W,DEPOT RD (Private),PRI,Private Entity,M,Mainline,7,BERLIN,2022,176cc2fe-dfa2-4eda-86d7-9e5c4bd3d954,594.396369172153
4839,13556477,0.0,0.2,L,1,W,LEDYARD MIDDLE SCHOOL (Ledyard),PRI,Private Entity,M,Mainline,71,LEDYARD,2022,9a3b8797-d288-4e74-940a-40aa4a1ffff7,1042.53986582538
4840,13561208,0.0,0.42,L,1,W,AVALON DR (Private),PRI,Private Entity,M,Mainline,80,MIDDLEBURY,1487,ad8824fc-1e78-4f46-a41d-75e84409aacb,2207.64690032658
4841,13561223,0.0,0.3,L,1,W,RIDGEVIEW ESTATES (Southington),PRI,Private Entity,M,Mainline,131,SOUTHINGTON,2022,313aa5ba-d6fb-4477-ba24-7f6a906f2769,1623.5542236457
4842,13561240,0.0,0.09,L,1,W,BRISTOL EASTERN HIGH SCHOOL (Bristol),PRI,Private Entity,M,Mainline,17,BRISTOL,2022,64dc5d9b-eaca-451e-89b0-907f416c5c75,488.698492447675
4843,13561391,0.0,0.14,L,1,W,WHEELER HIGH SCHOOL (North Stonington),PRI,Private Entity,M,Mainline,101,NORTH STONINGTON,2022,5218051d-0ac0-48a8-bdd5-9e95a80ca2fa,835.392210095357
4844,13561399,0.0,0.02,L,1,W,DOT MAINTENACE GARAGE (Canterbury),DOT,Department of Transportation,M,Mainline,22,CANTERBURY,2022,c635c2fc-ae6c-46f4-b073-56a25a8fe686,125.833641217052
4845,13561481,0.0,0.06,L,1,W,SHOPPING CENTER (North Branford),PRI,Private Entity,M,Mainline,98,NORTH BRANFORD,2022,fbc0f65f-ebed-44a9-93e8-09434dd90ff1,332.365814098287
4846,13561552,0.0,0.02,L,1,W,THOMPSON PLAZA (East Haven),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,43,EAST HAVEN,2022,ba66c422-47ba-4bf3-83f4-4f3d4311f3aa,124.6828965533
4847,13561562,0.0,0.06,L,1,W,SHOP RITE PLAZA (East Haven),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,43,EAST HAVEN,2022,abe72ad3-f3c3-437c-8a19-c3bd4bc09f58,331.551219601731
4848,13561592,0.0,0.04,L,1,W,DOLLAR TREE (New Haven),PRI,Private Entity,M,Mainline,92,NEW HAVEN,2022,d699449e-5cac-46d3-8b88-641a141ec1ad,232.579425988229
4849,13561655,0.0,0.08,L,1,W,HIGH MEADOW (Granby),PRI,Private Entity,M,Mainline,55,GRANBY,2022,d8d42341-0299-48ed-8bc2-a7990b3b625d,428.196726647155
4850,13561661,0.0,0.25,L,1,W,BARTLETT HOLLOW RD (Private),PRI,Private Entity,M,Mainline,82,MIDDLETOWN,2022,972f0732-69e6-43e7-bd33-4d2b3e8708d9,1325.7018222281
4851,13561673,0.0,0.03,L,1,W,CROMWELL SQUARE SHOPS (Cromwell),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,33,CROMWELL,2009,2396954e-db86-4d58-9500-207ead7a7885,173.01656985517
4852,13561694,0.0,0.05,L,1,W,SHUNPIKE VILLAGE SOUTH (Rocky Hill),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,118,ROCKY HILL,2022,7a225ef3-1442-44c5-917e-54b7ce32dbd0,281.466741072575
4853,13561698,0.0,1.36,L,1,W,RIVERVIEW DR (Private),PRI,Private Entity,M,Mainline,72,LISBON,2022,edee5155-fdde-471b-82ee-6972a4ad254c,7239.35292799887
4854,13561783,0.0,0.3,L,1,W,TOWN COLONY DR (Private),PRI,Private Entity,M,Mainline,82,MIDDLETOWN,2022,893f9ea4-8842-4382-bbbd-b635baa81ef5,1607.73434648872
4855,13561791,0.0,0.13,L,1,W,FARMINGTON MEADOW DR (Private),PRI,Private Entity,M,Mainline,51,FARMINGTON,2022,1ef43dce-9aa3-42ec-962a-35546814a067,687.151839499107
4856,13561796,0.0,0.03,L,1,W,WEST FARMS MALL CENTER (West Hartford),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,155,WEST HARTFORD,2022,b3b19edb-5c67-422e-971e-9d02c76e8c4e,200.934813571945
4857,13561798,0.0,0.05,L,1,W,WEST FARMS MALL NORTH (West Hartford),PRI,Private Entity,PLSC,Parking Lot/Shopping Center,155,WEST HARTFORD,2022,d63ec5fe-bdb5-46a9-bcf0-f8b067ffb564,317.355076133731
4858,13561813,0.0,0.02,L,1,W,COVIDIEN DR (Private),PRI,Private Entity,M,Mainline,100,NORTH HAVEN,2022,24326574-2d77-4f3d-a48c-29a4f290ed2f,127.920506337655
