OBJECTID,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION,SHAPEAREA,SHAPELEN,S_USAEcosys_BaileysEcoregionAREA
456,2586.39,457,569,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,6.015005691477e-05,0.0380989747160859,400347.46
457,4081.474,458,570,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000141248232502395,0.0580775511496767,917953.18
458,4374.06,459,571,M244A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Coastal Mountains Forest-Meadow Province,Chugach-St. Elias Mountains Section,0.000151200344356761,0.0722815025376813,948613.37
459,2358.812,460,572,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,4.71060046325235e-05,0.0254167865167255,305710.5
460,4266.264,461,575,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000144753446533237,0.0516534462085131,940138.43
461,5471.127,462,576,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000237113365560401,0.0709851324947198,1527240
462,3363.049,463,577,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000103140145842099,0.0485750038466405,715626.25
463,2600.739,464,578,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.9202901095459e-05,0.0357697881447582,410977.03
464,4836.979,465,579,M244A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Coastal Mountains Forest-Meadow Province,Chugach-St. Elias Mountains Section,0.000173746252656009,0.0774662274766704,1087079.6
465,2454.524,466,580,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.22660743483955e-05,0.0306058303020721,354329.37
466,3920.694,467,581,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000101091165975529,0.0554652594821801,676324.18
467,1934.601,468,582,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.17042130458235e-05,0.0235296454243181,209050.71
468,1930.636,469,583,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.3994518043376e-05,0.0256322223887876,224556.46
469,1971.695,470,584,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,4.0602911841615e-05,0.0249380610222622,281222.59
470,58495.488,471,585,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0123547052830812,0.798137533728891,74762688
471,2007.64,472,587,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.37433891992395e-05,0.0245536996601451,233749.87
472,3200.887,473,588,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,8.35691388692505e-05,0.0467040234728695,546283.5
473,2399.78,474,589,M244A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Coastal Mountains Forest-Meadow Province,Chugach-St. Elias Mountains Section,6.31395132204005e-05,0.0338605290982045,396714.56
474,6612.605,475,590,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00041192985875446,0.0893227309580414,2800509.5
475,53600.996,476,591,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00615089709614977,0.702848793253057,42683108
476,7864.174,477,592,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000422211954740306,0.105047977829351,2761649.7
477,1725.429,478,594,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,2.43554835014585e-05,0.0256047909713564,165759.75
478,4714.904,479,595,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000144212322112478,0.0610213877634776,971395.62
479,2545.82,480,596,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.9937499279032e-05,0.0343378240695688,401618.96
480,1647.078,481,597,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,2.0510717899976e-05,0.0232943709487917,137481.12
481,1901.031,482,598,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.1545107769326e-05,0.0244090433574955,211818.15
482,2600.084,483,599,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.9073934232026e-05,0.0377009150678904,386203.15
483,2434.637,484,600,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.44795523238065e-05,0.0370180683955589,232514.31
484,11185.194,485,601,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000875092311400357,0.160453264798884,5253730.5
485,2156.384,486,602,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,4.1286342100265e-05,0.0267852903324555,277247.93
486,3827.021,487,603,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,8.2433433603755e-05,0.0495676242338091,557745.12
487,2110.783,488,604,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,4.15283748932285e-05,0.0248986947717902,250107.31
488,65129.086,489,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0125048038395311,0.918309539175724,75108104
489,1924.833,490,606,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,2.90687774848205e-05,0.0245936939174668,190149.65
490,1541.102,491,607,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,2.35580941572285e-05,0.0184033946713302,154105.53
491,1957.639,492,608,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.46390221478525e-05,0.0233629786288089,233801.34
492,2714.706,493,609,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,6.37973710120565e-05,0.0373710727989848,384892.9
493,2514.319,494,610,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.25485238439545e-05,0.0370796924323002,355761.62
494,2326.173,495,611,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,5.5462729335985e-05,0.0303639221041498,374994.09
495,7339.354,496,612,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00038605336063608,0.0974649003470298,2597409
496,2139.389,497,613,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,5.36644322091145e-05,0.0303023109799034,324064.71
497,54378.953,498,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0071730711803909,0.707805810449222,43400752
498,5357.696,499,614,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000168561977268107,0.0744137806379989,1016027
499,2949.376,500,615,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,7.07572563518335e-05,0.041175512502444,491860.18
500,8228.531,501,616,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000612906295372603,0.110399988449012,3675093
501,3938.564,502,617,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000111913931647071,0.0507841901940678,752207.37
502,5254.854,503,618,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000240060616470159,0.0755730149624437,1444805.5
503,99651.047,504,619,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0222074164284333,1.4804577774561,133203264
504,564126.5,505,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.206401028403853,7.50079193607479,1270000000
505,16137.917,506,620,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00236218108030376,0.229787262223019,14974232
506,6154.251,507,621,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00023927033968406,0.0797064992916896,1611093.5
507,34907.098,508,622,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00448498287834135,0.515307793427298,28617876
508,6053.422,509,623,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000263496345021079,0.0872165032616835,1589669.3
509,2028.82,510,624,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.52016406041695e-05,0.0279827944433062,238686.12
510,10608.929,511,625,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000588509028065124,0.153379816905433,4053947.5
511,3427.163,512,626,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,9.17485166835695e-05,0.0457259832063501,553240.62
512,7042.798,513,627,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000483846393655382,0.101951495441907,2911649
513,1623.554,514,628,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,1.88379895894395e-05,0.0215558299723322,127124.28
514,9317.416,515,629,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.000346000187504055,0.112819136497054,2342981.5
515,2482.801,516,630,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,6.60571258951895e-05,0.034740781227209,397680.4
516,1851.583,517,631,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.1046887812582e-05,0.0214994896935957,213059.15
517,60213.02,518,15,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.0123533274451554,0.853536370709212,84178648
518,1968.504,519,632,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,3.5286131435504e-05,0.0259503065466331,237664.81
519,3254.989,520,634,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,9.46481010434395e-05,0.046185898211335,603207.12
520,63244.496,521,635,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00673116359968394,0.911416354132938,40495092
521,1579.335,522,636,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,2.5323164084312e-05,0.0205393051099095,161814.78
522,4402.102,523,637,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00017941174524297,0.0581151318575952,1231540.7
523,14992.499,524,638,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00201131431598964,0.21485793387896,12766233
524,10149.647,525,639,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000456393275670139,0.117145150898735,2763305.5
525,4575.601,526,640,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000167565074251223,0.0628845685612125,1070179
526,155706.5,527,641,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0286627986897852,2.13698286015978,177739168
527,15109.766,528,642,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00109338785252107,0.20479537900618,6975755.5
528,2969.34,529,643,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,6.82555646227345e-05,0.0399429417511155,480631.71
529,158842.29,530,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0650550925013521,2.29198316576454,391035072
530,17760.895,531,649,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00232518675569491,0.249646586753959,14752041
531,15330.404,532,650,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00119714215178484,0.23777710860003,7237166
532,10376.217,533,651,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000704166285321198,0.157418362758444,4494562.5
533,73816.555,534,652,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0135865691213337,1.01150075714593,84055056
534,3629.177,535,653,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000143272085611572,0.0531951196247537,915244
535,57672.996,536,654,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00668576873964298,0.833879339537407,40509292
536,3084.473,537,655,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,8.9104020308261e-05,0.0460483615089452,558184.25
537,11640.179,538,656,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00102957398738666,0.166852341665586,6229876.5
538,3344.738,539,657,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000106149846388408,0.0478629776754605,682948.37
539,4494.761,540,658,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000164971362536859,0.0509363536584158,1004259.1
540,50650.699,541,660,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00988793433154802,0.691101723349682,62313320
541,36602.098,542,661,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00273069831058454,0.488430228419237,17596822
542,3256.472,543,662,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,6.79590938999425e-05,0.0547111350149655,423520.4
543,6936.009,544,663,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000326995767371612,0.104754058126978,1966695.8
544,16937.678,545,664,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0011360412758171,0.223818119850605,7039782
545,1549.977,546,665,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,2.240559036925e-05,0.0182928919374258,141169.12
546,2618.99,547,666,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,5.0643057417238e-05,0.0406112755928732,319644.43
547,112347.56,548,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0277514272239368,1.50512001138751,179039424
548,33292.836,549,667,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00521043578931288,0.455161082838549,31391622
549,26761.355,550,668,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00215135881020664,0.339432837086592,13078076
550,5696.446,551,669,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000214349532009664,0.0852996511524185,1290963.7
551,4342.112,552,670,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000194040839850622,0.0589466003594442,1203758.5
552,15822.013,553,671,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00157462965957179,0.185814257724683,9582292
553,596004.31,554,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.281690694781814,7.53883412010461,1830000000
554,14387.629,555,672,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000809537027366514,0.177613102501016,5026624.5
555,255609.15,556,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0452300076463166,3.36684348704668,276802656
556,3485.952,557,673,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,9.8107486089099e-05,0.0553636134962977,631327.62
557,51054.184,558,24,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0104889736294096,0.651454226003468,64208036
558,20134.316,559,674,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00123433076289788,0.244987759483188,7712354
559,54376.301,560,676,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00390092668360258,0.714901100738385,24528616
560,3123.351,561,677,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,8.26228509397605e-05,0.035227371985165,502697.87
561,2089.608,562,678,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,3.67156148134755e-05,0.0316629504165699,236299.18
562,6918.533,563,679,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0003396912546934,0.0949817126719253,2068587.1
563,2706.972,564,680,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,7.4243317356718e-05,0.0406535181766092,480169.59
564,6521.081,565,681,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000327189109549458,0.0801201278417268,2036379.5
565,3803.582,566,682,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000127375392715568,0.0531497984932315,824092.87
566,26394.215,567,683,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.004278500563171,0.37908594878106,27784700
567,3992.367,568,684,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000112423068409052,0.0451108410188728,701760.75
568,3475.403,569,685,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000120711684840606,0.0452984432433431,734994.62
569,17009.01,570,686,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00074939668318155,0.202924215308785,4678555.5
570,2424.253,571,688,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,6.72452520475305e-05,0.0351737735662977,412383.75
571,13748.749,572,690,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000717768523898186,0.19204302604516,4520680.5
572,2195.17,573,691,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,4.35764831188125e-05,0.0254661268415305,272143.43
573,23730.209,574,15,M127A,POLAR DOMAIN,Tundra Regime Mountains,Aleutian Oceanic Meadow-Heath Province,Alaska Peninsula Section,0.00250635503100426,0.317819800158905,17852324
574,3353.39,575,692,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000113424507654904,0.0463459467890151,690168.62
575,3826.918,576,693,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000143012776963336,0.060085735385169,892114.68
576,9305.38,577,694,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00054442756425721,0.133067111562021,3431232
577,7682.761,578,695,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000292168218559079,0.0993476711483722,1887661.6
578,11133.648,579,696,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000543892019241015,0.187766625782593,3308801.7
579,5959.161,580,697,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000202920355437273,0.071577598245656,1267459.2
580,1805.883,581,698,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,2.98011594950895e-05,0.0245236317251024,192489.12
581,2231.229,582,699,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,5.49492050714875e-05,0.028959310508415,356798.59
582,5874.706,583,701,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000219544203059298,0.0746307317994729,1371792.6
583,143437.84,584,702,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0382687590974747,2.04839626360149,231243424
584,5738.605,585,703,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000261259780402645,0.071907999476851,1579819.8
585,7238.905,586,704,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000294635829289574,0.0880995092558987,1805647.2
586,2032.818,587,705,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,3.7433844484927e-05,0.0278225344259842,243910.53
587,6677.27,588,706,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.000245954502392898,0.0875337289113094,1538356.7
588,15090.973,589,708,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.00108601962642721,0.184949292224476,6664106
589,1881.645,590,709,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,3.88003648545395e-05,0.0248307246241955,254685.96
590,2079.863,591,710,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,3.79352191385805e-05,0.0271317153929855,249074.37
591,2280.508,592,711,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,4.89134239875615e-05,0.032037729172516,315809.12
592,2567.46,593,712,M244A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Coastal Mountains Forest-Meadow Province,Chugach-St. Elias Mountains Section,7.525357998507e-05,0.0385481365284359,452999.56
593,96916.055,594,713,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,0.0167659080594846,1.3753228126715,103377664
594,3112.77,595,714,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,8.1858731778256e-05,0.0425172413008776,512181.15
595,2912.807,596,715,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,9.8405082533917e-05,0.0453526568527016,600469.12
596,2704.49,597,716,M245A,HUMID TEMPERATE DOMAIN,Marine Regime Mountains,Pacific Gulf Coastal Forest-Meadow Province,Northern Gulf Section,7.0179970365521e-05,0.0365737508582666,439058.28
