168.shape_area,731936.73828125,692286.4296875
4253.namelsad,Censust Tract 3,Census Tract 3
279.objectid,5.0,279
442.aland,1.82262605E8,2176224
459.objectid,12.0,459
476.objectid,6.0,476
1832.namelsad,Census Tract 63.02,Census Tract 36.02
734.tractce,12339,12301
3964.namelsad,Cesnus Tract 6.04,Census Tract 6.04
367.shape_length,5182.11921080899,4585.62848917337
334.aland,3.4354206E8,963648
4551.namelsad,Census Trhact 25.02,Census Tract 25.02
512.objectid,112.0,512
2065.namevalue,70.02,18.02
560.tractce,139302.0,432700
385.objectid,10.0,385
207.shape_area,1415950.36328125,1.1383691765625E7
2961.namelsad,Cennsus Tract 18.01,Census Tract 18.01
4159.tractce,3384,3301
136.tractce,201401.0,3002
244.shape_length,5182.11921080899,50035.7499726716
4360.namevalue,84.0,18.0
249.shape_length,7003.34503482317,259149.099902418
247.namevalue,3.0,101.02
383.tractce,701.0,9504
152.tractce,442500.0,8341
4707.namevalue,111.02,12.02
3312.namelsad,Cenuss Tract 29.05,Census Tract 29.05
1846.tractce,16024,16000
4256.namevalue,25.0,11.0
2318.tractce,4124,4100
2966.namelsad,Census Tracst 23.02,Census Tract 23.02
473.objectid,1.0,473
321.objectid,10.0,321
4126.namelsad,Census Tract4 3.01,Census Tract 43.01
567.namelsad,Census Tract 2014.02,Census Tract 4310.01
463.geoid,6.0371816E9,6033001000
30.shape_length,3382.65553130786,10853.5506861365
253.shape_length,4907.77012789812,5880.88986627538
413.aland,3369926.0,46113013
438.aland,1279500.0,551035
202.namevalue,25.02,2181.2
3195.namevalue,1411.0,1330.0
3001.namelsad,ensus Tract 42,Census Tract 42
341.tractce,139200.0,1701
290.geoid,6.037601502E9,6029004901
4482.namevalue,103.0,20.0
288.shape_area,782907.875,1.345762003125E7
2912.tractce,11497,11401
416.shape_area,731936.73828125,2802268.21484375
217.shape_length,11842.9225481281,3778.02585813384
347.namelsad,Census Tract 1816,Census Tract 1977
75.shape_area,1533835.921875,4.27351916992188E7
212.shape_area,731936.73828125,7645993.94921875
229.namevalue,3362.01,104.2
202.tractce,201301.0,218120
116.geoid,6.03718382E9,6077002800
264.namevalue,6017.0,70.02
312.geoid,6.03718361E9,6111003608
123.shape_length,7211.37944676736,19142.2594958949
418.aland,2547795.0,557587
3508.tractce,4816,4800
4263.namevalue,53.019999999999996,11.02
4340.namelsad,Census Tractt 21.02,Census Tract 21.02
231.aland,1.82262605E8,65424543
2089.namevalue,180.0,112.0
97.shape_length,5182.11921080899,10865.0290425874
3452.namelsad,Census Tract114,Census Tract 114
257.shape_length,5170.05380973649,3800.34642943735
213.namevalue,1833.0,4049.01
96.aland,1256563.0,5694168626
34.shape_length,4907.77012789812,23157.4868940245
65.aland,500438.0,71024199
514.shape_length,9009.95211747221,16012.0275606195
476.shape_length,12713.7689952093,6664.39848635236
411.shape_area,5.50723497617188E7,600973.35546875
552.geoid,6.037201401E9,6001438100
539.objectid,6.0,539
236.shape_length,5182.11921080899,34682.7259722707
268.shape_area,615533.94140625,8289271.83984375
29.shape_length,7211.37944676736,20345.7786234624
2956.namevalue,75.0,4.0
121.shape_length,5182.11921080899,4841.41307032223
2339.namevalue,67.0,18.0
4261.namevalue,52.0,10.0
253.objectid,7.0,253
28.geoid,6.037183101E9,6037553000
154.objectid,23.0,154
3281.namelsad,Census Tract 1302,Census Tract 1032
4690.namelsad,Censuls Tract 32.01,Census Tract 32.01
125.shape_length,7211.37944676736,72014.2778994439
122.tractce,143200.0,3305
3675.tractce,10205,10204
514.shape_area,1400949.5234375,1.22579101679688E7
177.objectid,42.0,177
265.shape_area,5.50723497617188E7,1.24465804023438E7
546.shape_area,625490.94921875,1809873.06640625
66.shape_area,4289438.50390625,2.25712413730469E8
498.objectid,2.0,498
575.objectid,6.0,575
201.tractce,201402.0,206300
459.shape_length,3784.33595472837,7007.00308828534
621.shape_area,1911762.359375,3263463.5390625
510.shape_area,2001540.3046875,471301.18359375
538.shape_length,2938.53692242629,8311.19078198593
579.objectid,415.0,579
87.objectid,27.0,87
299.aland,7.3257597E7,1624827
86.shape_length,3382.65553130786,3846.72542860179
85.geoid,6.03718351E9,6073011700
4737.namelsad,Cnsus Tract 24.02,Census Tract 24.02
2340.namevalue,30.0,19.0
577.namevalue,102.0,65.0
565.objectid,6.0,565
3071.namelsad,Censgus Tract 4071.01,Census Tract 4071.01
272.objectid,1.0,272
4398.namevalue,99.03,27.03
320.geoid,6.037201301E9,6037310701
158.geoid,6.0371392E9,6073013401
508.namelsad,Census Tract 42,Census Tract 4081.37
119.namevalue,1090.02,18.0
4253.namevalue,70.0,3.0
551.geoid,6.0371392E9,6001437900
174.shape_area,4289438.50390625,1.01741088398438E7
296.tractce,602002.0,1005
19.tractce,183300.0,185310
434.shape_area,791809.5078125,984619.91015625
2562.namelsad,Census Trauct 62.02,Census Tract 62.02
39.objectid,10.0,39
2500.namevalue,49.0,5.0
1846.namelsad,ensus Tract 160,Census Tract 160
1860.namelsad,Census zTract 36.03,Census Tract 36.03
392.objectid,12.0,392
275.shape_length,3617.14066767908,6452.74416850659
1886.namelsad,Census Trackt 117,Census Tract 117
482.tractce,183300.0,6700
3940.namelsad,Census Tractf 4,Census Tract 4
406.tractce,201402.0,219020
618.shape_length,5170.05380973649,7735.95437226918
3517.namelsad,Cesus Tract 124,Census Tract 124
2865.namelsad,Census Tract 21,Census Tract 12
281.geoid,6.071009116E9,6047000902
1272.namelsad,Cnsus Tract 10,Census Tract 10
59.aland,4.1895923E7,1852067
135.tractce,139302.0,3001
3467.namevalue,79.0,21.0
2007.namevalue,76.03,15.03
359.aland,3369926.0,2958837
3816.namevalue,39.019999999999996,22.02
162.objectid,6.0,162
3544.namelsad,Census Tratc 111.01,Census Tract 111.01
314.shape_length,4907.77012789812,181878.183153555
385.shape_length,5182.11921080899,9279.32754072035
4084.tractce,1180,1103
269.geoid,6.073003105E9,6047000504
629.geoid,6.03718351E9,6073008509
265.objectid,7.0,265
189.shape_area,1266062.875,2406332.12109375
499.objectid,20.0,499
402.namelsad,Census Tract 1835.10,Census Tract 2184
339.objectid,23.0,339
515.tractce,139502.0,433500
403.tractce,183300.0,218500
144.shape_length,3617.14066767908,75789.3471861159
173.shape_length,5951.00416851176,11431.1954857841
429.objectid,31.0,429
264.aland,2.80738745E8,1922208
198.tractce,109002.0,204420
122.namevalue,1432.0,33.05
2947.namelsad,Csensus Tract 16,Census Tract 16
3449.namelsad,ensus Tract 104,Census Tract 104
534.objectid,3.0,534
219.shape_area,714900.203125,422760.1171875
122.shape_area,1400949.5234375,3301029.05078125
3100.namevalue,119.03999999999999,53.04
2853.namelsad,Cenuss Tract 11,Census Tract 11
2889.namelsad,Census Tractx 40,Census Tract 40
2939.namelsad,CensusT ract 11.03,Census Tract 11.03
567.shape_area,782907.875,2576740.25
63.tractce,201401.0,47000
135.geoid,6.0371432E9,6107003001
272.shape_length,4720.0809947014,7638.67950126086
416.tractce,602002.0,30502
3494.tractce,407251,407200
218.tractce,3012.0,117510
303.objectid,5.0,303
535.shape_area,465056.828125,1638633.63671875
532.objectid,12.0,532
317.shape_length,6217.1008835227,16676.3691946912
406.namelsad,Census Tract 5310,Census Tract 2190.20
4413.tractce,4016,4001
540.objectid,70.0,540
504.objectid,9.0,504
235.aland,1152031.0,2770573219
65.shape_length,6256.07826386147,110086.70912201
3730.namevalue,107.03,9.03
405.shape_length,3617.14066767908,4234.78144183887
232.tractce,2500.0,4603
4685.namevalue,41.0,11.0
153.shape_length,3802.01654083384,4175.79953029417
2909.namelsad,Census Tract 29m.02,Census Tract 29.02
305.namevalue,2014.02,212.05
4254.namelsad,Census Traict 4,Census Tract 4
458.objectid,22.0,458
4021.namelsad,Cnesus Tract 6.03,Census Tract 6.03
337.shape_area,782907.875,2.60289426135938E9
4545.namelsad,Census Tract3 2.01,Census Tract 32.01
106.objectid,23.0,106
232.shape_length,5170.05380973649,10640.1658738819
394.tractce,11602.0,9006
213.tractce,143200.0,404901
3407.namevalue,70.01,5.01
2955.namevalue,40.0,2.0
247.shape_area,2836120.875,3.5823011100625E9
585.shape_length,25375.101087556,88829.1070624125
111.tractce,201301.0,301
4062.namelsad,Cnsus Tract 9.01,Census Tract 9.01
20.namevalue,2.0,30.11
139.shape_area,1400949.5234375,3.39554308554688E7
346.namevalue,6021.04,1976.0
328.namevalue,1816.0,1.03
357.aland,323251.0,5454895
110.namevalue,6108.0,6109.0
358.objectid,9.0,358
2877.tractce,606,604
378.tractce,139200.0,213320
209.shape_length,7211.37944676736,4474.47804280049
553.shape_area,1911762.359375,1570580.21484375
594.namelsad,Census Tract 1836.10,Census Tract 4003.04
192.shape_area,1687319.19140625,716624.15234375
557.shape_length,5170.05380973649,5914.1966229012
610.shape_area,1828892.28515625,3.87781599257813E7
1970.namelsad,Census Tract m15.02,Census Tract 15.02
545.shape_area,553778.4921875,2159887.12890625
605.shape_length,2938.53692242629,6929.48118183407
288.objectid,14.0,288
430.shape_area,9890641.5625,622212.328125
374.namelsad,Census Tract 6020.02,Census Tract 5991
460.shape_length,5819.25829992651,10044.5760818305
182.objectid,9.0,182
2124.namelsad,Censs Tract 3,Census Tract 3
292.aland,1.82262605E8,6003904
305.geoid,6.037531301E9,6073021205
416.shape_length,43066.2005863693,9809.33459589002
382.tractce,139200.0,9503
437.objectid,10.0,437
518.objectid,132.0,518
2915.tractce,8119,8100
3118.namelsad,Censsu Tract 10,Census Tract 10
199.aland,541305.0,1535870
252.shape_length,5182.11921080899,2912.43030443253
2714.namelsad,Cnesus Tract 69,Census Tract 69
383.geoid,6.0290002E9,6067009504
44.shape_length,3784.33595472837,3751.35828523692
482.shape_length,3853.19170418149,7689.39458033297
322.shape_length,24343.9654274082,6078.06585921455
77.shape_area,3122277.35546875,7.11746356992188E7
195.geoid,6.0371392E9,6037227010
467.shape_length,8158.29963594004,8214.33957840666
4340.tractce,2117,2102
570.shape_length,3784.33595472837,284087.249988128
405.aland,4.1895923E7,703403
41.shape_length,2938.53692242629,7713.52271441569
363.aland,2547795.0,35266802
461.shape_area,1687319.19140625,7127705.91015625
1824.tractce,2561,2501
268.tractce,139502.0,7202
362.geoid,6.0014425E9,6065042719
3796.namelsad,CensusT ract 4053.02,Census Tract 4053.02
2746.tractce,6222,6201
4386.namevalue,109.02,24.02
224.objectid,1.0,224
385.geoid,6.013336201E9,6065030400
208.namelsad,Census Tract 5530,Census Tract 92.02
576.shape_length,6256.07826386147,9982.4447279694
447.geoid,6.013336201E9,6065044403
231.namelsad,Census Tract 1393.02,Census Tract 104.19
117.namelsad,Census Tract 36.20,Census Tract 36.02
265.shape_length,6101.62882049654,15585.6160990218
203.tractce,201402.0,209403
3433.namelsad,ensus Tract 40,Census Tract 40
367.objectid,32.0,367
455.tractce,143200.0,2900
1999.namevalue,194.01,109.01
292.shape_area,3122277.35546875,1.50428223007813E7
609.namevalue,126.0,103.0
348.tractce,602002.0,199000
531.shape_length,3802.01654083384,4525.74332208809
306.aland,3.3781272E7,1633149
4342.namevalue,70.03,21.03
319.objectid,4.0,319
217.tractce,143200.0,120010
243.tractce,139502.0,3010
341.objectid,7.0,341
622.tractce,201401.0,909
421.shape_length,43066.2005863693,6247.09923308232
3306.namelsad,Census Trxact 26.02,Census Tract 26.02
72.objectid,52.0,72
606.objectid,2.0,606
407.geoid,6.037139302E9,6037271702
749.namevalue,129.0,103.0
526.namelsad,Census Tract 30.12,Census Tract 4355
680.tractce,3846,3802
4272.tractce,2013,2005
442.tractce,139502.0,1401
679.namelsad,Census Trajct 37,Census Tract 37
568.shape_area,791809.5078125,1999355.515625
3870.namelsad,Census Tratc 3,Census Tract 3
166.objectid,12.0,166
315.geoid,6.0371392E9,6083003102
423.namevalue,1836.1,2212.1
143.shape_length,7211.37944676736,81479.3294301893
1466.namevalue,82.02000000000001,32.02
448.objectid,32.0,448
4114.tractce,4549,4501
444.objectid,42.0,444
227.objectid,23.0,227
308.geoid,6.037183101E9,6073000300
671.namelsad,Census Truact 15,Census Tract 15
149.shape_area,1687319.19140625,1.4851539875E7
74.shape_area,2001540.3046875,1.72677125234375E7
367.tractce,139302.0,128302
2849.namevalue,9.02,5.02
4126.tractce,4386,4301
334.shape_area,4111521.1875,1409487.10546875
2859.namelsad,Census Trasct 28,Census Tract 28
201.namevalue,3362.01,2063.0
422.namevalue,1432.0,2211.2
390.aland,1941232.0,1323209701
496.shape_length,4670.29243054758,8569.30425654295
503.objectid,2.0,503
376.aland,3369926.0,1564009
521.objectid,12.0,521
456.objectid,230.0,456
505.shape_area,615533.94140625,1472442.36328125
142.geoid,6.03718531E9,6107001602
1525.namelsad,eCnsus Tract 8,Census Tract 8
75.aland,2547795.0,26417371
3451.namevalue,186.0,107.0
166.namevalue,1816.0,3922.0
358.tractce,201301.0,1100
366.shape_length,4670.29243054758,2996.34506893948
595.shape_length,3617.14066767908,12519.7243826249
465.geoid,6.0371816E9,6033001200
480.shape_length,3382.65553130786,3030.68369748632
227.namevalue,1122.01,99.13
151.aland,1256563.0,138668903
409.geoid,6.111003012E9,6037224410
66.geoid,6.013336201E9,6065044522
2912.namelsad,Cenuss Tract 114.01,Census Tract 114.01
345.geoid,6.059062649E9,6037197500
388.geoid,6.03718352E9,6035040100
361.tractce,139200.0,237500
3386.tractce,433743,433700
4119.namelsad,CensusT ract 47.02,Census Tract 47.02
498.aland,555365.0,1870066
1836.namelsad,Census Trac 2,Census Tract 2
3380.namevalue,4169.0,4088.0
228.shape_length,5170.05380973649,39217.8561629619
467.tractce,183300.0,503305
160.aland,3369926.0,961341
3165.tractce,5521,5502
540.geoid,6.037602104E9,6001437400
281.tractce,201.0,902
317.objectid,42.0,317
488.shape_length,5170.05380973649,7140.19168628478
555.shape_length,43066.2005863693,4478.718097168
449.shape_area,1192884.72265625,1.94590434273438E8
3344.namelsad,Ciensus Tract 201.07,Census Tract 201.07
230.shape_area,1400949.5234375,4157351.5234375
255.tractce,139302.0,242300
521.shape_area,2561178.53515625,2570710.078125
3474.tractce,406648,406602
28.tractce,201402.0,553000
2445.namelsad,Census Tract 7,Census Tract 37
277.shape_length,7211.37944676736,13149.7441900702
422.shape_area,4111521.1875,463577.84375
468.shape_length,7211.37944676736,7497.46785441978
554.shape_length,7916.89652075906,7383.06040607538
448.shape_length,25375.101087556,144581.209173271
512.namelsad,Census Tract 6108,Census Tract 4332
918.namelsad,Censs Tract 4327,Census Tract 4327
168.tractce,139200.0,222001
621.geoid,6.0014338E9,6099000803
3652.namevalue,46.11,31.11
91.geoid,6.03718352E9,6073013309
258.tractce,2602.0,100
512.geoid,6.037576501E9,6001433200
669.namelsad,Census Tact 6,Census Tract 6
593.shape_length,9009.95211747221,7029.3176329518
4259.namevalue,106.03,44.03
192.namevalue,5311.02,5355.01
118.aland,555365.0,3119481
258.shape_length,5182.11921080899,14791.6007547554
162.shape_area,1266062.875,1148834.5859375
62.tractce,2302.0,46700
267.tractce,139200.0,5602
457.objectid,1.0,457
542.shape_length,5182.11921080899,6331.85016305201
411.shape_length,5182.11921080899,3313.69731030421
464.tractce,201301.0,400
331.namevalue,26.02,4816.03
3593.tractce,12823,12800
4268.namevalue,15.0,8.0
253.aland,2327921.0,1309994
440.objectid,38.0,440
150.geoid,6.037209401E9,6107000202
304.tractce,139502.0,20309
3307.namelsad,Census Tract2 7.02,Census Tract 27.02
483.geoid,6.0371392E9,6071007000
304.shape_area,1911762.359375,4040137.5078125
4518.namelsad,Census Trat 110.02,Census Tract 110.02
350.shape_area,9890641.5625,4.85190386132813E7
133.aland,1.5260711E8,1293752
398.tractce,201402.0,218110
149.objectid,11.0,149
176.namevalue,5311.02,3.01
4049.namevalue,28.0,3.0
91.tractce,181600.0,13309
2907.namelsad,Census Tract6 ,Census Tract 6
433.namevalue,1392.0,5402.01
327.shape_length,2938.53692242629,7355.19912644102
198.namelsad,Census Tract 2014.01,Census Tract 2044.20
270.tractce,143200.0,602
494.objectid,8.0,494
3853.namelsad,Censu sTract 5031.05,Census Tract 5031.05
253.tractce,181600.0,552900
179.namevalue,1395.02,4033.03
1795.namevalue,138.0,98.0
4444.namelsad,Cjensus Tract 25,Census Tract 25
4712.namevalue,83.02,5.02
583.namelsad,CensusT ract 123.01,Census Tract 123.01
109.geoid,6.0371432E9,6081610800
219.objectid,24.0,219
575.shape_length,3784.33595472837,19697.9997902092
4319.namelsad,Cenus Tract 1.02,Census Tract 1.02
2467.tractce,1258,1201
624.geoid,6.0371392E9,6073003301
550.objectid,24.0,550
599.tractce,139502.0,402502
205.aland,323251.0,106316
1860.tractce,3687,3603
431.shape_area,1828892.28515625,1811970.69140625
311.tractce,442500.0,2800
588.shape_length,5819.25829992651,110713.984065624
137.objectid,22.0,137
608.objectid,20.0,608
360.shape_area,1400949.5234375,1955610.41015625
248.shape_length,15615.0475380211,34292.565727553
574.geoid,6.111003011E9,6029005508
292.tractce,202.0,21900
366.geoid,6.0371392E9,6037213202
108.geoid,6.0290003E9,6081610700
347.shape_length,7003.34503482317,5130.59999573255
2165.namevalue,90.0,10.0
3717.namevalue,186.01999999999998,125.02
447.objectid,4.0,447
2559.tractce,7633,7601
300.aland,801273.0,6161303
312.namevalue,12.06,36.08
306.objectid,24.0,306
144.namevalue,1395.02,33.0
146.geoid,6.037139502E9,6107003902
2029.namelsad,CensusTract 16,Census Tract 16
291.tractce,201301.0,4902
3059.namelsad,Census Tracyt 9,Census Tract 9
278.shape_length,3617.14066767908,7986.81555652472
105.namevalue,30.12,8.0
4388.tractce,6702,6603
153.objectid,38.0,153
107.objectid,12.0,107
3044.namevalue,67.02000000000001,50.02
366.namevalue,2013.01,2132.02
377.shape_length,12812.3431953214,2884.62119009872
565.shape_length,12713.7689952093,6461.45503557284
579.shape_length,7003.34503482317,562265.344408671
2501.namelsad,Census ract 1,Census Tract 1
1824.namelsad,Cesnus Tract 25.01,Census Tract 25.01
1984.tractce,21899,21802
578.tractce,139200.0,3200
3054.namevalue,98.0,2.0
99.geoid,6.0770037E9,6107001502
134.objectid,38.0,134
275.tractce,201.0,541700
56.objectid,7.0,56
363.shape_area,4289438.50390625,5.11140321835938E7
632.shape_area,4.85178728257813E8,8.85321227695313E7
2961.tractce,1802,1801
400.shape_length,4907.77012789812,4301.00135529729
4428.namevalue,47.019999999999996,28.02
73.geoid,6.037201301E9,6077003110
3585.namevalue,191.0,102.0
447.shape_length,7003.34503482317,233045.532872374
3796.tractce,405395,405302
372.objectid,12.0,372
283.shape_area,1400949.5234375,7.59858093410156E8
74.tractce,139302.0,5122
3561.namelsad,Census Tratc 75.01,Census Tract 75.01
4508.tractce,6295,6201
102.namevalue,49.02,43.0
50.shape_area,1415950.36328125,827078.3984375
633.geoid,6.073003403E9,6019007700
105.shape_length,4730.13109828776,77862.563026827
25.objectid,15.0,25
18.shape_area,1828892.28515625,1762650.9140625
400.tractce,181600.0,218220
567.shape_length,7211.37944676736,8423.00965167741
462.shape_length,7211.37944676736,177119.839334651
490.shape_length,25375.101087556,8841.91906584663
332.shape_length,4907.77012789812,5861.2282681218
3574.namevalue,211.01999999999998,124.02
360.shape_length,4720.0809947014,7137.43437729782
246.aland,421083.0,15569451
4365.namelsad,Census Trct 22,Census Tract 22
133.shape_area,3122277.35546875,1891511.78125
522.namelsad,Census Tract 105.02,Census Tract 31.11
231.tractce,610800.0,10419
94.tractce,201401.0,2602
180.aland,3.3305608E7,803838
568.objectid,2.0,568
527.geoid,6.013336201E9,6077003213
9.shape_length,7003.34503482317,6616.75283679198
391.shape_area,1266062.875,1489928.54296875
282.tractce,30200.0,1003
622.shape_area,1.13927832867578E9,2745690.359375
435.shape_area,4111521.1875,1165989.72265625
4493.namevalue,134.04,47.04
167.aland,1.4357178E7,369898
100.aland,1250035.0,307722355
264.tractce,442500.0,7002
582.objectid,77.0,582
2714.tractce,6902,6900
4556.tractce,3593,3500
107.geoid,6.0371392E9,6107004200
4426.namelsad,Census Tract2 9.04,Census Tract 29.04
2127.namelsad,Census Tfract 5,Census Tract 5
188.shape_length,3853.19170418149,3880.65399737842
555.objectid,70.0,555
184.aland,4.0431017E7,440870
34.tractce,109002.0,112202
178.namelsad,Census Tract 1393.02,Census Tract 251
371.shape_area,1828892.28515625,1856970.6796875
422.shape_length,2938.53692242629,2770.20668145997
108.tractce,201301.0,610700
3048.namelsad,Cesus Tract 1.01,Census Tract 1.01
1620.tractce,10937,10902
330.tractce,139200.0,185320
148.objectid,22.0,148
337.namevalue,2372.01,16.01
4274.namelsad,Census Tract 25.30,Census Tract 25.03
2981.namelsad,Census Tact 17,Census Tract 17
84.aland,2842591.0,1006599
442.shape_area,6976903.02734375,3339150.6640625
148.namevalue,6014.02,34.0
476.geoid,6.037531E9,6085503315
306.tractce,202.0,3506
202.aland,4.0431017E7,445211
273.namevalue,1395.02,8.01
199.tractce,139200.0,404701
85.objectid,7.0,85
3395.namelsad,Census Trac t4,Census Tract 4
120.shape_area,2024724.8671875,1739656.23828125
43.tractce,442500.0,602003
1026.tractce,11624,11600
3598.namelsad,Census ract 105.01,Census Tract 105.01
3654.namelsad,Census Trac t31.13,Census Tract 31.13
424.shape_area,625490.94921875,962806.9140625
3464.namelsad,Censsu Tract 2.01,Census Tract 2.01
598.geoid,6.111003012E9,6037402501
461.aland,5688639.0,4861457
92.tractce,1206.0,13312
153.shape_area,1911762.359375,1088832.9140625
233.aland,3.3781272E7,19809329
487.aland,1047548.0,4762835
211.shape_length,67772.938908177,6974.66371566971
454.shape_length,5170.05380973649,18062.2745598732
143.objectid,44.0,143
60.shape_length,6256.07826386147,8172.41960288205
408.aland,1.82262605E8,447318
3470.namevalue,69.01,1.01
623.geoid,6.0210103E9,6073003214
562.objectid,287.0,562
1743.namelsad,Cnsus Tract 6017,Census Tract 6017
391.shape_length,5170.05380973649,5007.52299836798
107.shape_length,6101.62882049654,140679.829165648
2162.tractce,504151,504101
304.namelsad,Census Tract 39,Census Tract 203.09
517.objectid,20.0,517
89.geoid,6.037139302E9,6071002901
299.shape_length,5170.05380973649,6817.2597169762
2087.namelsad,Censuts Tract 111.02,Census Tract 111.02
393.tractce,139302.0,9005
525.objectid,3.0,525
3543.tractce,14689,14601
329.tractce,11700.0,405101
444.geoid,6.037201401E9,6087121600
115.tractce,181600.0,5119
561.objectid,111.0,561
2140.namevalue,172.0,101.0
187.geoid,6.037201401E9,6037296600
210.geoid,6.037201402E9,6071003505
177.aland,3.3305608E7,5090829
4542.namelsad,Cmensus Tract 24,Census Tract 24
164.namelsad,Census Tract 2014.01,Census Tract 3601.01
4304.namelsad,Cenuss Tract 25.04,Census Tract 25.04
54.geoid,6.0371432E9,6037531201
311.objectid,2.0,311
68.shape_length,4323.69951326916,49145.0244642688
2327.namelsad,Censpus Tract 12,Census Tract 12
238.shape_area,1687319.19140625,6372297.1640625
3568.namelsad,Census Tratct 121.02,Census Tract 121.02
4518.tractce,11042,11002
3125.tractce,10731,10703
2993.namelsad,ensus Tract 41.01,Census Tract 41.01
582.shape_area,4289438.50390625,2.86269038011719E8
435.aland,3369926.0,799923
475.aland,1.00900703E8,1344234
35.geoid,6.037183101E9,6037601402
242.aland,3369926.0,945661
331.shape_area,3122277.35546875,958322.95703125
360.aland,3369926.0,1340500
405.geoid,6.111003012E9,6037218900
3192.tractce,101230,101200
289.namevalue,1090.02,48.0
516.objectid,112.0,516
182.geoid,6.037183101E9,6037221110
404.shape_length,6256.07826386147,3308.4618966077
289.objectid,9.0,289
64.shape_length,3853.19170418149,7791.87172909724
322.namevalue,1393.02,135.0
1537.namevalue,68.08,55.08
459.aland,323251.0,1377663
184.shape_length,5706.54437597325,3842.7959097782
385.tractce,181600.0,30400
71.objectid,4.0,71
35.objectid,31.0,35
407.namevalue,1393.02,2717.02
2485.namelsad,Cnsus Tract 31,Census Tract 31
4457.namelsad,Census Tract 3.05,Census Tract 33.05
583.geoid,6.0770039E9,6025012301
494.namelsad,Census Tract 626.49,Census Tract 117.11
76.shape_length,3382.65553130786,35072.6261313439
2402.namevalue,24.0,22.0
212.tractce,183300.0,4510
401.shape_length,3617.14066767908,6371.19706138699
178.geoid,6.03718322E9,6071025100
141.tractce,201301.0,600
109.shape_area,2024724.8671875,797858.4453125
65.tractce,1206.0,940100
238.tractce,442500.0,12500
226.tractce,201301.0,12103
3384.namevalue,52.0,3.0
2215.namevalue,4136.0,4055.0
2965.namevalue,112.01,23.01
4313.tractce,3081,3004
96.tractce,201301.0,2700
3335.namelsad,Census Tract3 010,Census Tract 3010
350.objectid,11.0,350
3994.namevalue,205.01999999999998,120.02
2451.namevalue,31.0,21.0
404.geoid,6.037531301E9,6037218600
156.shape_area,731936.73828125,5706500.50390625
330.namevalue,1836.1,1853.2
3013.tractce,7641,7600
569.shape_area,495484.296875,1.60187591282422E9
569.objectid,3.0,569
160.tractce,4200.0,15701
174.aland,1.5260711E8,6406665
3168.namelsad,Census Tract1 11.01,Census Tract 111.01
2992.namevalue,140.0,40.0
329.namelsad,Census Tract 1831.01,Census Tract 4051.01
4508.namelsad,Census Tract 62.1,Census Tract 62.01
151.tractce,442500.0,2100
312.objectid,42.0,312
453.shape_area,1400949.5234375,1647815.82421875
52.tractce,181600.0,531000
3569.namelsad,Census Tact 123.02,Census Tract 123.02
2219.tractce,5397,5302
336.geoid,6.047001302E9,6037197300
4444.namevalue,74.0,25.0
43.objectid,14.0,43
4400.namevalue,70.03,30.03
529.tractce,201401.0,436000
446.tractce,139200.0,43505
100.shape_area,2.92908305625E7,4.71784948550781E8
489.geoid,6.0371432E9,6077001700
3013.namelsad,Cnsus Tract 76,Census Tract 76
3437.namelsad,Cednsus Tract 105.01,Census Tract 105.01
4290.namelsad,Censuhs Tract 44.04,Census Tract 44.04
2422.namelsad,Census Trct 35.02,Census Tract 35.02
431.shape_length,25375.101087556,6474.80756743912
2956.namelsad,Census Trac 4,Census Tract 4
3175.tractce,14106,14102
501.shape_area,553778.4921875,2611070.15234375
335.shape_length,4907.77012789812,5466.5864989388
149.tractce,139302.0,201
309.aland,948156.0,1177451
50.tractce,183300.0,530802
303.shape_area,1911762.359375,7807038.58984375
344.shape_area,3122277.35546875,899655.78515625
3706.tractce,170,104
3358.namelsad,Census Tract 31.8,Census Tract 31.08
282.shape_area,782907.875,2535398.68359375
189.tractce,302.0,406102
469.geoid,6.081601902E9,6077001300
466.shape_length,6596.00454545123,114667.412719421
384.shape_length,4882.74807317722,10588.1139155443
284.shape_area,1192884.72265625,2797197.66796875
1998.namevalue,96.0,4.0
54.namevalue,2.0,5312.01
228.tractce,3012.0,10422
4435.namelsad,Census Trat 27.02,Census Tract 27.02
286.shape_area,2290793.09765625,1.0403975609375E7
197.objectid,23.0,197
3436.namelsad,Censuis Tract 111.02,Census Tract 111.02
246.shape_length,3853.19170418149,31579.6162768822
457.namevalue,6020.03,31.13
363.objectid,42.0,363
534.namelsad,Census Tract 12.06,Census Tract 4367
569.shape_length,7003.34503482317,217787.947192801
471.shape_area,782907.875,2310296.828125
311.namevalue,1836.1,28.0
3272.namelsad,wCensus Tract 124.01,Census Tract 124.01
349.shape_area,1137301.79296875,6936885.67578125
547.shape_area,1813233.9375,2584352.36328125
407.shape_area,2836120.875,1031168.6796875
78.objectid,41.0,78
35.tractce,139302.0,601402
554.objectid,20.0,554
216.objectid,114.0,216
291.namevalue,6020.02,49.02
434.tractce,139302.0,240600
749.namelsad,Census Tract 130,Census Tract 103
121.namelsad,Census Tract 6020.03,Census Tract 34.06
2799.tractce,1250,1206
489.shape_length,3382.65553130786,6463.06018602013
3497.namelsad,ensus Tract 100.11,Census Tract 100.11
420.objectid,11.0,420
94.objectid,27.0,94
560.objectid,11.0,560
232.geoid,6.077003803E9,6071004603
249.objectid,415.0,249
195.shape_length,6217.1008835227,4363.19485586298
584.tractce,181600.0,10900
