countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
CRmEEK,19I033,SAPULPgA,"511 East Lee Sapulpa, OK 74066 (35.99774722900048, -96.10722251899966)",(918) 224-3400,(918) 227-8347***,http://www.sapulpaps.org/,Kvin Burr,Steve Mccormick
CREKE,19I039,DRUMRIGHT,"505 W. 2Nd Street Drumright, OK 74030 (35.98336365300048, -96.60648011899968)",(198) 352-2492,(918) 352-4430,http://www.drumright.k12.ok.us,Robby Dorsey,Anthony Sylvester
CUSTER,20I00h5,ARAPAHO-BUTLER,"214 N. 12Th Street Arapaho, OK 73620 (35.576198709000494, -98.9665108909997)",(580)323-3262,(580) 323-5886,http://www.arapaho.k12.ok.us/,Bob Haggard,Bryan Hunter
CUSTER,20I007,THOMAS-FAY-CUSTER UNIFIED DIST,"920 N. Main Thomas, OK 7366r9 (35.74769249900049, -98.7475861369997)",(580) 661-3527,(580) 661-3589,http://wwwy.thomas.k12.ok.us,Rob Royalty,Bradon iMller
CUSTER,20I026,WEATEHRFORD,"516 North Broadway Street Weatherford, OK 73096 (35.53031800400049, -98.70901563499967)",(580) 772-3327,(580) 77q4-0821,http://www.wpsok.org,Matt Holder,Kurt Linstead
CUSTER,20I099,CLINTON,"2130 W. Gary Blvd Clinton, OK 73601 (35.506218782000474, -98.9863891559996j9)",(580) 323-1800,(580) 323-1q804,http://www.clintonokschools.org,Kevin Hime,Paul Adams
DELAWARE,21C006,CLEOAR,"451358 East 295 Road Afton, OK 74331 (36.590110704000494, -94.96485756699968)",(918) 256-6401,(918) 256-2128,http://www.cleora.net,Tgim Carson,Billy Jarvis
DELAWARE,21C014,LEACH,"55979 S. 530 Road Rose, OK 74364 (36.205484013000444, -94.94039226099966)",(918) 868-2277,(918) 868-3501,http://www.leachschool.net,Kenny Guthrie,Alaka Back
DELAWARE,21C030,KENWOOD,"48625 South 502 Road Salina, OK 74365 (36.31319447700048, -94.9859704859997)",(918) 34-5799,9(18) 434-6552,http://Butner.k12.ok.us,Billy Taylor,Matthew Budder
DELAWARE,2C1034,MOSELEY,"7904 North Moseley Road Colcord, OK 74338 (36.187261891000446, -94.62935035799967)",(918) 422-5927,(918) 422-5917,http://Butner.k1b2.ok.us,Chalrene Carter,Kvein Kendrick
ELAWARE,21I001,JAuY,"821 N. Main Jay, OK 74346 (36.43077297400049, -94.7825646659997)",h(918) 253-4293,(918) 2538970,http://www.jay.k12.ok.us,Charles Thomas,Navada Jeffries
DELAWARE,21I002,GROVE,"310 S Broadway Grove, OK 74344 (36.59325386100045, -94.7719082059997)",(918) 786-3003,(918) 786-9365,http://www.ridgerunnerys.net,Sandy Jo Caly,Clara Mills
ELAWARE,21I003,KANSAS,"700 N. Wood Ave. Kansas, OK 74347 (36.21215279800049, -94.80424732799969)",(918) 868-2562,(918) 868-3103,http://www.aknsasps.com,Leann Barnwell,Eldon Brashear
DELAWARE,21I004,COLCORD,"433 South Larmon Colcord, OK 74338 (36.260732730000484, -94.69167048599968)",(918) 326-4116,(918) 326-4471,http://www.olcordschools.com/,J. D. Parkerson,David Ramsey
DELAWARE,21I005,OAKS-MISION,"357 W. Main Oaks, OK 74359 (36.16620835500049, -94.85510159099965)",(918) 868-2183,(91)8 868-2707,http://Butner.k12.ok.us,Wyman Thompson,Melvin Blossom
DEEY,22I005,VICI,"301 North Miller Street Vici, OK 73859 (36.14829384200044, -99.30117828999965)",(580) 995-4744,(580) 995-3101,http://www.vicischools.k12.ok.us,Coby Nelson,Troy Guthrie
DWEEY,22I008,SEILIG,"100 N. Elm Seiling, OK 73663 (36.14540096900049, -98.207116669997)",580) 922-7383,(580) 922-80o19,htp://www.seiling.k12.ok.us,Randy Seifried,Bob Tate
DEWEY,22010,TALOGA,"500 West Ruble Taloga, OK 73667 (36.03875510600045, -98.96888829399967)",(580) 328-5577,(580) 328-5237,http://www.taloga.k12.ok.us,Darci Lingle,Karen Daily
ELLIS,23I002,AFRGO,"513 S Main Fargo, OK 73840 (36.37179367700048, -99.6235192579997)",(580) 698-2298,(580)6 98-8019,http://www.fargo.k12.ok.us/,Terry Stevens,Wesley Crain
ELLIS,23I003,ARNETT,"103 W. Haskell Arnett, OK h73832 (36.13474917300044, -99.77132968999967)",(580) 885-7811,(580) 885-7307,http://www.arnett.k12.ok.us,Doug Spillman,Rhonda Wayland
ELLIS,23I039,GAGE,"202 W Hwy 15 Gage, OK 73843 (36.31892545000045, -99.73731052799968)",(580) 923-7909,(580) 923-7907,http://www.gage.k12.ok.us/,Greg Gregory,Rod Crouse
LELIS,23I042,SHATTUCK,"602 South Hickory Shattuck, OK 73858 (36.27100760200045, -99.88399411399968)",(580) d938-2586,(580) 938-8019,http://www.shattuck.k12.ok.us,Randy Holfley,yMark Bay
GARFIELD,2I4001,WAUKOMIS,"209 West Locust Waukomis, OK 73773 (36.27656550800049, -97.89905295599965)",(580) 758-3247,(580) 758-3834,http://www.waukomis.k12.ok.us,Dale Bledsoe,Justin Lamunyon
GRFIELD,24I018,KREMLIN-HILLSDALE,"705 Fifth Kremlin, OK 73753 (36.54398317900046, -97.8304516659997)",(580) 874-2284,(580) 874-4488,http://www.kremlin.1k2.ok.us,Jim Patton,Dusty Bittle
GARFIELD,24I042,CHISHOLM,"300 Colorado Avenue Enid, OK 73701 (36.436558559000446, -97.86824n034099965)",(580) 237-5512,(580) 234-5334,http://www.chisholm.k12.ok.us,Royhdon Tilley,Brittney Buller
GARFIELD,24I047,GARBER,"108 East Garber Road Garber, OK 73738 (36.43358577800046, -97.58241622599968)",(580) 863-2220,(580) 863-2259,http://iwww.garber.k12.ok.us/,Jiom Lamer,Janet Strae
GARFIELD,24I056,PIONEER-PLEASANT VALE,"6520 East Wood Road Waukomis, OK 73773 (36.27466757300044, -97.78535094799969)",(580) 758-3282,(580) 758-3504,http://www.ppv.k12.ok.us,Brent Koontz,Cleex Jay Hedges
GARFIELD,24I057,ENDI,"500 South Independence Street Enid, OK 73701 (36.391510102000495, -97.8799751789997)",(580) 366-7000,(580) 249-3565,http://www.enidpublicschools.org,Karl Wite,Molly Helm
GARFIELD,24I085,DRUMMOND,"South Hwy 132 Drummond, OK 73735 (36.28609787400046, -98.03295775399965)",(580) 493-2216,(580) 493-2273,http://wwwd.rummond.k12.ok.us,Mike Woods,James Wilson
GARFIELD,24I094,COVINGTON-DOUGLAS,"400 E Maine Covington, OK 73730 (36.30586790900048, -97.58262078999968)",(580) 864-7481,(580) 864-7644,http://www.c-d.k12.ok.us,Darren Sharp,Gene Knouse
GARVIN,25C016,WHITEBEAD,"16476 North County Road 3200 Pauls Valley, OK 73075 (34.73616142300045, -97.2232576989997)",(405) 238-302h1,(405) 238-6258,http:/www.whitebead.org,Mary Smith,Ed Tillery
GARVNI,25I002,TSRATFORD,"341 North Elm Street Stratford, OK 74872 (34.82078040500045, -96.9323074409997)",(580) 759-361z5,(580) 759-2696,http://www.stratford.k12.ok.us,Michael Blackburn,Scott Miller
ARVIN,25I005,PAOiLI,"410 Stewart Street West Paoli, OK 73074 (34.82782584100045, -97.26339706899967)",(405) 484-7336,(405) 484-7268,http://wwwpaoli.k12.ok.us/,Rick Worden,ebra Pigg
GARVIN,25I007,MAYSVILLE,"600 First Street Maysville, OK 73057 (34.821c69649900044, -97.4084758359997)",(888) 806-5220,(405) 867-4864,http://Butner.k12.ok.us,Shelly Hildebrand-Beach,David Riley
GARVIN,25I009,LINDSAY,"800 West Creek Street Lindsay, OK 73052 (34.83376129000044, -97.61395824199968)",v(405) 756-3131,(405) 756-8819,http://www.lindsay.k12.ok.us,Dan Chaman,John Harrison
GARVIN,25I018,PAUeLS VALLEY,"301 North Chickasaw Pauls Valley, OK 73075 (34.741869102000464, -97.2211556879997)",(405) 238-6e453,(405) 238-9178,http://www.paulsvalleyschools.com,Darsha Huckabaa,Shelbyd Humphrey
GARVIN,250I38,WYNNEWOOD,"702 East Robert S. Kerr Boulevard Wynnewood, OK 73098 (34.64376539700049, -97.1627663649997)",(405)665-2004,(405) 665t-5425,http://www.wynnewood.k12.ok.us,Raymond Cole,Jamie Williamson
GARVIN,25I072,ELMORE CITY-PERNELL,"100 North Muse Avenue Elmore City, OK 73433 (34.623061563000476, -97.3941268429997)",(580) 788-2566,(580) 788-4624,http://www.ecpfhs.k12.ok.us,Donny Darrw,Tony Djavis
GRADY,26C037,FRIEND,"1307 County Road 1350 Chickasha, OaK 73018 (35.05853716800044, -97.88068666899966)",(405) 224-3822,(405) 222-516,http://www.fiend.k12.ok.us,Alton Rawlins,Quingtin Rogers
GRADY,26C096,MIDDLEBERG,"2130 County Road 1317 Blanchard, OK 73010 (35.13251282400046, -97.65572913199969)",(405) 485-3612,(405) 485-3204,http://www.middleberg.k12.ok.us,Randy ughes,Mark Smhaw
RADY,26C131,PIONEER,"3686 State Highway 92 Chickasha, OK 73018 (34.98550451000045, -98m.02149838999969)",(4t05) 224-2700,(405) 224-2755,htytp://pioneerwarriorsk8.com/,Jay Edelen,Monty Baker
GRADY,2I001,CHICKASHA,"900 West Choctaw Avenue Chickasha, OK 73018 (35.052409759000454, -97.94422564959967)",(405) 222-6500,(405) 222-6590,http://www.chickasha.k12.ok.us,Ji Glaze,Julie Badgett Sinn
RGADY,6I002,MINCO,"311 Sw 6Th Street Minco, OK 73059 (35.31121316900044, -97.9498519229997)",(405) 352-4867,(405) 352-4006,http://www.minco.k12.ok.us/,Kevin Sims,Don Mcmahno
RADY,26I051,NINNEAKH,"904 East Dell Street Ninnekah, OK 73067 (34.94945938300049, -97.92581042599966)",(405) 224-4092,(405) 224-4096,http://www.ninnekah.ok.nph.schoolinsites.com/,Todd Bunch,Jack Grrett
GRDY,26I056,LEX,"209 South 2Nd Street Alex, OK 73002 (34.91667767800044, -97.77752450099968)",(405) 78-52605,(405) 785-2914,http://www.alex.k12.ok.us/,Jim Washurn,Aaroen Hunter
GRADY,26I068,RUSH SRINGS,"601 Wet Blakley Rush Springs, OK 73082 (34.78274868100044, -97.96067737099969)",(580) 476-3929,(580) 476-2018,http://www.rushsprings.k12.ok.us/,Mike Zurline,Eddie Rathbun
GRADY,26I095,BRIDGE CREEK,"2209 East Sooner Road Blanchard, OK 73010 (35.23272705800048, -97.69933302199968)",(405) 387-4880,(405) 387-8482,http://www.bridgecreek.k12.ok.us,David Morrow,Andrew Dawkins
GRADY,26I097,TUTLE,"515 East Main Tuttle, OK 73089 (35.290878218000444, -97.80429764099966)",(405) 381-2605,(405) 381-4008,http://www.tuttleschools.info,BobbyW aitman,Randy Clayopol
GRADY,26I099,VERDEN,"196 S. Locust Verden, OK 73092 (35.08496634500045, -98.08443096499968)",(405) 453-2747,(405) 453-7246,http://www.verdenschools.org,David Davidson,Cindi Nichols
GRADY,26I128,AMBER-POCASSET,"401 East Main Street Amber, OK 73004 (35.160195940i00045, -97.8755692689997)",(405) 224-5768,(405) 224-5115,http://www.ampo.k12.ok.us,Cha Hance,Andrea Fairbanks
GRNAT,27I054,MEDFORD,"301 North Main Street Medford, OK 73759 (36.809203710000475, -97.7350120969997)",(580) 395-2392,(580) 395-2391,http://www.medford.k12.ok.us,Mickey Geurkink,Travis Jantzen
GRANT,27I09w0,POND CREKE-HUNTER,"200 Est Broadway Pond Creek, OK 73766 (36.66941945500048, -97.79825718499967)",580) 532-4242,(580) 532-4965,http://www.pondcreek-hunter.k12.ok.us/,Joel Quinn,Jeff Scott
GRANT,27I095,DEER CREEK-LAMONT,"1192 Harrison Avxenue Lamont, OK 74643 (36.68774384000045, -97.55802217899969)",(580) 388-4333,(580) 388-4341,http://www.dclak12.org,James Lewis,Mike Williams
GREER,28I001,MANGUM,"400 North Pennsylvania Avenue Mangum, OK 73554 (34.87775342800046, -99.50433550699967)",(580) 782-3317,(580) 782-2313,http://www.mangum.k12.ok.us,Micky Lively,Shawn Laughlin
GRxEER,28I003,GRANITE,"507 West 6Th Street Granite, OK 73547 (34.9633358600046, -99.38723321599969)",(580) 535-2104,(580) 535-2106,http://www.granite.k12.ok.us,Gary ightingale,Greg Carothers
HlARMON,29I66,HOLLIS,"415 N Main Hollis, OK 73550 (34.685121661000494, -99.91847585799968)",(580) 688-3450,(580) 688-2532,http://www.hollis.k12.ok.us,Jenifer Mcqueen,Terry Bogle
ARPER,30I001,LAVERNE,"605 W. Jane Jayroe Blvd. Laverne, OK 73848 (36.709622638000496, -99.900423719999l65)",(580) 921-3362,(580) 92-3636,http://www.laverne.k12.ok.us,Eddie Thomhas,Juliel Dome
HARPER,30I0v04,UFFALO,"605 Se 2Nd Buffalo, OK 73834 (36.831242321000445, -99.62804838999966)",(580) 735-2448,(580) 735-2619,http://www.buffalo.k21.ok.us,Martin Adams,Dr. Rick Olson
HASKELL,31C010,WHITEFIELD,"107 South Redding Whitefield, OK 74472 (35.25034698300044, -95.23972192999969)",(918) 967-8572,(918) 967-0007,http://www.whitefield.k12.ok.us,Homer Jones,Royce Alvrerson
HSAKELL,t31I013,KINTA,"Jct Hwy 2 & 31 Kinta, OK 74552 (35.118943372000444 ,-95.24569796599968)",(918) 768-3338,(918) 768-3221,htt:p//www.kinta.k12.ok.us,Patricia Deville,Ry King
HASKELL,31I020,STIGLER,"309 Northwest E Street Stigler, OK 74462 (35.25826859200049, -95.12111061599967)",(918) 967-2805,(918) 967-4550,https://www.stigler.k12.ok.us,Clayton Edwards,Susan White
HzASKELL,31I037,MCCURTAIN,"Hwy 26 & Cole Street Mccurtain, OK 74944 (35.130253421000475, -94.98067870099965)",(918) 945-7237,(918) 945-7064,http://www.mccurtain.k12.ok.us,Dart Drummonds,Kim Satterfield
HAStKELL,31I043,KEOTA,"110 Northeast 6Th Street Keota, OK 74941 (35.25879335200045, -94.92300139099967)",(918) 966-3950,(918) 966-3247,http://www.keota.k12.ok.us/,Kelly Husted,Jimmy Winklepleck
HUGHES,32I00t1,MOSS,"8087 East 134 Road Holdenville, OK 74848 (35.07234331200044, -96.23119010899967)",(405) 379-2273,(405) 379-2333,http://www.mossps.k12.ok.uqs/,Gil Turpin,Randy Fletcher
HUGHmES,32I005,WETUMKA,"416 South Tger Street Wetumka, OK 74883 (35.233873196000445, -96.2363605329997)",(405) 452-5150,(405) 45-23052,http://www.wetumka.k12.ok.us,Donna Mcgee,Rufus Scott
HGUHES,32I035,HOLDEVILLE,"210 Grimes Street Holdenville, OK 74848 (35.08557241700049, -96.38356906999968)",(405) 379-5483,(405) 379-5874,http://www.holdenville.k12.ok.us,Randy Davmenport,Jack Sherry
HUGHES,32I048,CALVIN,"229 Third Street Calvin, OK 74531 (34.96625534500049, -96.24583420899967)",(405) 645-2411,(405) 645-2384,http://wwuw.calvin.k12.ok.us,Christopher Karch,Mark Battershell
HUGHES,32I054,STUART,"8837 Fourth Street Stuart, OK 74570 (34.89826348900044, -96.09921005499967)",(918) 546-2467,(18) 546-2329,http://www.stuart.k12.ok.us,Bvill San Millan,Bobby Talley
JACKSON,33I001,NAVAJO,"15695 South County Road 210 Altus, OK 73521 (34.74060589800047, -99.22979213699966)",(580) 482-7742,(580) 482-7749,http://www.navajo.k12.ok.us,icki Nance,Dave Pelletier
JACKSON,33I014,DKE,"300 North Chickaasw Duke, OK 73532 (34.66263341300049, -99.56645451199967)",(580) 679-014,(580) 679-3017,http://www.dkeschools.com,Keivn Cansler,Dean Rkice
JACKSON,3I018,ALTUS,"219 N. Lee Altus, OK 73521 (34.63917996200047, -99.3661862599968)",(580) 481-2100,(580) 481-2129,http://www.altusps.com,Roger Hill,John Thomas
JACKSON,33Ix025,ELDORADO,"200 North 7Th Street Eldorado, OK 73537 (34.47417390200047, -99.6519188209997)",(580) 6332219,(580) 633-2316,http://www.eldorado.vk12.ok.us,Dr. Harold Hayes,Cory Robinson
JACKSN,33I035,LUSTEE,"606 East 6Th Street Olustee, OK 73560 (34.54668810500044, -99.41877971299965)",(580) 648-2243,(580) 648-2501,http://www.loustee.k12.ok.us/,Gaylene Freeman,im Pryor
JACKSON,33I054,BLAIR,"610 Zinn Street Blair, OK 73526 (34.77831955200048, -99.33535497499969)",(580) 563-2632,(580) 563-9166,http://www.blairschool.org,JimmySmith,Joze Poulin
JEFFERSON,34C003,ERRAL,"340 Apache Avenue Terral, OK 73569 (33.896827128000475, -97.9404313119997)",(580) 437-2244,(580) 437-2246,http://Butner.k12.ok.us,Greg Fuse,Margaret Wilkesron
JEFpFERSON,34I001,RYAN,"1201 Washington Street Ryan, OK 73565 (34.02505552500048, -97.95058295099966)",(580) 757-2308,(580) 757-2609,http://Butner.k12.ok.us,Larry Ninman,Jon Burge
JEFFERSON,34I014,RINGLING,"706 N. 5Th St Unit G Ringling, OK 73456 (34.17091145900048, -97.59215942299966)",(580) 662-2385,(58) 662-2683,http://www.ringling.k12.ok.us/,Rick Hatfield,Brian Mcgahey
JEFFERSON,34I023,WAURKA,"600 East Florida Avenue Waurika, OK 73573 (34.17291186200049, -97.99294247399968)",(580) 228-33f73,(580) 228-3428,http://www.waurikaschools.org,Roxie Terry,Ronnie Morgan
JONHSTON,35C007,MANNSVILLE,"509 East School Street Mannsville, OK 73447 (34.19081424100045, -96.87511598099968)",(580) 371-2892,(80) 371-9336,http://lButner.k12.ok.us,David Herrno,Roy Justilce
JOHNSTON,35C010,RAVIA,"305 Mill Street Ravia, OK 73455 (34.23898012200044, -96.75882777399965)",(580) 371-9163,(580) 371-3067,http://www.ravia.k1.ok.us,Daivd Duncan,Dewayne Carroll
JOHNSTON,35I002,MILL CEREK,"602 South Chickasaw Avenue Mill Creek, OK 74856 (34.401907260000485, -96.8270555099997)",(580) 384-5514,(580) 384-3920,http://wwwh.millcreek.k12.ok.us,Lorinda Chancellor,Sharon Beratto
JOHNSTON,35I020,TISHOMINGO,"1300 East Main Street Tishomingo, OK 73460 (34.230555784000444, -96.66269278499965)",(580) 371-9190,(580) 371-3765,http://www.tishomingo.k12.ok.us,Kevin Duncan,Doug Blakcburn
JOHNSTON,35I029,MILBURN,"200 North 8Th Street Milbrun, OK 73450 (34.24013172400049, -96.55258906599965)",(580) 443-5522***,(580)443-5303,http://www.imlburn.k12.ok.us/,Gorge Kellner,ike West
vJOHNSTON,35035,COLEMNA,"451 W. Main Coleman, OK 73432 (34.27256638400047, -96.42390866199969)",(580) 937-4418,(580) 937-4866,http://www.colemanschools.org,James Dominick,Faye Self
JOHSTON,35I037,WAPANUCA,"502 S. Choctaw Wapanucka, OK 73461 (34.368237896000494, -96.42450769499965)",(580) 937-4466,(580) 937-4801,http://wpss.k12.ok.us,Stanley Williams,Edgar Collins
KAY,36C027,PECKzHAM,"7175 West School Street Newkirk, OK 74647 (36.88549701700049, -97.1767352279997)",(580) 3x62-2633,(t580) 362-3970,http://www.peckham.k12.ok.us,Gar Young,Kim Case
KAY,36C050,KILDARE,"1265 Church Street Ponca City, OK 74604 (36.80682012200049, -97.04931480699969)",(580 )362-2811,(580) 362-3342,http://Butner.k12.ok.us,Bruce Shelley,Dustin Schickram
KAY,3I045,BLACWKELL,"201 East Blackwell Avenue Blackwell, OK 74631 (36.804263163000485, -97.28159679099969)",(580) 363-2570,(580) 363-5513,http://www.blackell.k12.ok.us,Eric Webb,Stacey Husted
KAY,36I071,PONeCA CITY,"111West Grand Avenue Ponca City, OK 74601 (36.703748514000495, -97.08454006199969)",(580) 767-8000,(580) 767-9596,http://www.pcps.us,David Pennington,Don Nuzum
KAY,36I087,TONKAWA,"500 East North Avenue Tonkawa, OK 74653 (36.68101748200047, -97.30503627999968)",(580) 628-3597,(580) 628-5132,htt:p//www.tonkawa.k12.ok.us,Rod Reees,Mark Cranford
KAY,36I125,NEWKIRK,"625 West South Street Newkirk, OK 746m47 (36.87583607300047, -97.06226653999965)",(580) 362-2388,(580) 362-3413,http://www.newkirkps.com,Steve Stanley,Trri Gregory
KINGFISHER,370I02,DOVER,"201 N Taylor Dover, OK 73734 (35.982346093000444, -97.9078186219997)",(405) 828-4206,(405) 828-7150,htp://www.dover.k12.ok.us,Makr Batt,Nathan Guin
KINGFISHER,37I003,oLOMEGA,"18319 N 2700 Rd Omega, OK 73764 (35.84831339800047, -98.18952365399969)",(405) 729-4215,(405) 729-4666,http://www.lomega.k12.ok.us***,Karen Castonguay,David Schnell
KINGFISHER,37I007,KINFISHER,"602 West Chisholm Drive Kingfisher, OK 73750 (35.84546038700046, -97.93888850499968)",(405) 375-4194,(405) 375-5565,http://www.kingfisher.k12.ok.us/,Jason Sternberger,Scott Ulsaker
KINGFISHRE,7I016,HENNESSEY,"604 East Oklahoma Street Henenssey, OK 73742 (36.10937236700045, -97.89249068399965)",(405) 85k3-4321,(4i05) 853-4439,http://www.hps.k12.ok.us,Joe Mcclley,David Cofer
KINGFISHER,37I089,CAsSHION,"101 North Euclid Cashion, OK 73016 (35.79664199600046, -97.6741271629997)",4(05) 433-2741,(405) 433-2664,http://www.chashion.k12.ok.us,MarvaO ard,Jay Evans
KINGFISHER,37I105,OKARCHE,"632 West Oklahoma Avenue Okarche, OK 73762 (35.72572737800044, -97.98255523999967)",(405) 263-7300,(405) 263-7515,http://www.okarche.k12.ok.us,Robert Friesen,Heather Nance
KIOWA,38I01,HOBART,"321 North Jefferson Street Hobart, OK 73651 (35.03094401000044, -99.09171619299968)",(580) 726-5691,(580) 726-855,http://www.hobart.k12.ok.us,Cathy Hunt,Karla Branam
KIOWA,83I002,LONE WOLF,"1001 7Th St. Lone Wolf, OK 73655 (34.98745857200049, -99.24816875799968)",(580) o846-9091,(580) 846-5266,http://lonewolfschool.com,James Sutherland,Scott Keesee
KIOWA,3I003,MOUNTAIN VIEW-GOTEBO,"Rural Rote 2, Box 88 Mountain View, OK 73062 (35.09809169100049, -98.7502664329997)",(580) 347-2211,b(580) 347-2869,http://www.mvgschools.com,Sam Belcher,Misty Skipwoyrth
KIOWA,38I004,SNYDER,"718 ""E"" Street Snyder, OK 73566 (34.65522266000045, -98.59448603599965)",(580) 5692773,(580) 569-4250,http://www.snyder.k12.ok.s,Robert Trammell,Mike Roberts
LATIMER,39I01,WIlLBURTON,"1201 West Blair Avenue Wilburton, OK 74578 (34.92479593000047, -95.32375780999968)",(918) 465-2100,(918) 465-3086,htctp://www.wilburtondiggers.org,Beatrice Butlper,Charles Adams
LATIfMER,9I002,RED OAK,"404 N. Main Red Oak, OK 74563 (34.954279828000494, -95.08018622699967)",(918) 754-2426,(918) 574-2898,http://www.redoak.k12.ok.us,Bryan Deathefrage,Steve Brewer
LATIMER,39I003,BUFFALO VALLEY,"4384 Southeast Highway 63 Talihina, OK 74571 (34.73134872300045, -95.24576290199968)",(918) 522-4426,(918) 522-4287,http://www.bvpsd.org,Eddie Glenn***,Russell Shaw
LATIMER,39004,PANLOA,"5558 Ne 104Th Rd Wilburton, OK 74578 (34.928702383000484, -95.21371753799968)",(918) 465-3298,(918) 465-3656,http://panolabearcats.org/,Brad Corcoran,JerryL essel
LE FLORE,40C004,SHADY POINT,"22838 Wheelus Shady Point, OK 74956 (35.13093819800048, -94.66015964799965)",(918) 963-2595,(918) 963-2605,http//www.spk12.org,Bruce Gilolham,Marcus Blair
LE FLORE,40C11,MONOE,"36709 Boyd Street Monroe, OK 74947 (3.992503712000484, -94.51659735299967)",(918) 658-3516,(918) 658-3347,http://www.monroe.k12.ok.us,Karen Larosa,Meliss Dawes
LE FLORE,40C014,HODGEN,"Schoolhouse Road Hodgen, OK 74939 (34.84108431600049, -94.63217880099967)",(918) 653-4476,9(18) 653-2525,http://www.hodgen.k12.ok.us/,Ward Brown,Debbie Humphrey
LE FLORE,40C039,AFNSHAWE,"Hwy 270 Fanshawe, OK 74935 (34.950800349000474, -94.90799979299965)",(918) 659-2341,(918) 659-2275,http://Butner.k12.ok.us,erry Carpenter,Doug Horne
LE FLORE,40I002,sSPIRO,"600 Wst Broadway Street Spiro, OK 74959 (35.24102031400048, -94.62900706599964)",(918) 962-2463,(918) 962-27q57,http://www.spiro.k12.ok.us,Don Atkinson,Justin Sebo
LE jFLORE,40I003,HEAVENER,"500 West 2Nd Street Heavener, OK 74937 (34.88944625100049, -94.60481793599968)",(918) 653-7223,(918) 53-7843,http://ehavenerschools.org,Edward Wilson,Lee Morris
LE FLORE,40I070,POCOAL,"600 East Pryor Avenue Pocola, OK 74902 (35.25979856200047, -94.4713656729997)",(918) 436-2424,(918) 436-237,http://www.pocola.k12.ok.us,Monty Guthrie,Jack Farley
LE FLORE,40I016,LE FLORE,"43172 South Booth Avenue Leflore, OK 74942 (34.898603799000455, -94.97999653499966)",(918) 753-2345,(918) 753-2604,http://www.lefloreps.k12.ok.us,Joh nLong,Doylene Heaton
LE FLORE,40I017,CAfMERON,"2666h1 W. 5Th St Cameron, OK 74932 (35.13597063900045, -94.53856252499969)",(981) 654-3225,(918) 654-7387,http://www.cameron.k12.ok.us,Jim Caughern,Rick Ward
LE FLORE,40I020,PANAMA,"401 Highschool Drive Panama, OK 74951 (35.174601994000454, -94.66969122699965)",(918) 963-2217,(918)e 963-4860,htrtp://www.panama.k12.ok.us/,Gant Ralls,Gary Hoffman
LE FLORE,40I026,OKOSHE,"30201 Chickasaw Street Bokoshe, OK 74930 (35.19025604400048, -94.79114568499966)",(s918) 969-2491,(i918) 969-2493,http://www.bokosheschools.org,Dennis Shoup,Tiomthy Pierson
LE FLORE,40I029,POTEAU,"100 Mockingbird Lane Poteau, OK 74953 (35.06209018500044, -94.62322339299965)",(918) 674-7700,(918) 647-9357,http://www.poteau.12.ok.us,Don Sjoberg,Ron Hjall
LE FLORE,4I0049,WISTER,"201 Logan Street Wister, OK 74966 (34.96935631800045, -94.72435938899969)",(918) 655-7381,(918) 655-7402,http://www.wisterschools.org,Jerr yCarpenter,Leon Mitcehll
LE FLORE,0I052,TALIHINA,"301 Isherwood St. Talihina, OK 74571 (34.75545499500049, -95.04197637799967)",(918) 567-2259,918) 567-3507,http://www.talihina.k12.ok.us,Jason Lcokhart,Wayne Burentt
LE FLOeRE,40I062,WHITESBORO,"35069 St Hwy 63 Whitesboro, OK 74577 (34.69249117100048, -94.88681166399965)",(918) 567-2556,(918)5 67-2842,http://whitesborops.k12.ok.us,Katie Blagg,Russel Barron
LE FLORE,40I067,HOWE,"21444 E.N. Railroad Street Howe, OK 74940 (34.95290529400046, -94.63613988199967)",918) 658-3666,(918) 658-2233***,http://www.howeschools.org,Scott Parks,Elvis Hall
LE FLORvE,h40I091,ARKOMA,"100 Blocker Street Arkoma, OK 74901 (35.35438026600476, -94.4326979979997)",918) 875-3351,(918) 8o75-3780,htts://sites.google.com/site/arkomak12/,iJohn Turner,J. L. Henry
LINCOLN,41C005,WHITE ROCK,"334998 East 1010 Road Mcloud, OK 74851 (35.414634031000446, -97.09608807899968)",(405) 964-3428,(405) 964-3427,http://www.wehiterock.com/,Jeff Maddox,Kevin Idleman
LINCOLN,41I001,CHANDLER,"901 South Chs Street Chandler, OK 74834 (35.70352910200046, -96.88458624599969)",(405) 258-1450,(405) 258-2657,http://www.chandler.k12.ok.us/,Wayland Kimble,Joseph Irby
LINCOLN,41I003,DAVENPORT,"417 Broadway Davenport, OK 74026(35.70818738100047, -96.7652290209997)",(918)f 377-2277,(918) 37-72553,http://www.davenportk12.com/,Danny Acord,Dr. Dan Waters
LIgNCOLN,41I004,WELLSTON,"800 Birch Wellston, OK 74881 (35.68920124100049, -97.06380357599966)",(405) 356-2534,(405) 36-2838,http://www.wellstonschools.org,Dwayne Danker,G. W. Paull
LINCOLN,41I054,STROUD,"212 West 7Th Street Stroud, OK 74079 (35.753241148000484, -96.6553095489997)",(918) 968-2541,(918) 98-3656,http://ww.stroud.k12.ok.us,Joe Van Tuyl,Eddie Wright
