79.fax,(918) 772-276,(918) 772-2766
370.fax,(9d18) 263-2143,(918) 263-2143
248.boardpresident,Russel Barron,Russell Barron
87.websiteurl,http://www.boisceity.k12.ok.us,http://www.boisecity.k12.ok.us
126.code,19I0q20,19I020
343.fax,(a405) 425-4624,(405) 425-4624
3.code,01C24,01C024
503.districtname,BIXY,BIXBY
346.districtname,PUTaNAM CITY,PUTNAM CITY
283.code,4I001,47I001
406.superintendent,Mar Baumann,Mark Baumann
36.fax,(j580) 367-2837,(580) 367-2837
275.phone,(918) 434-5585,(918) 434-5558
479.websiteurl,http://www.velma-alma.km12.ok.us,http://www.velma-alma.k12.ok.us
185.boardpresident,Juliel Dome,Julie Dome
304.countyname,CINTOSH,MCINTOSH
59.superintendent,San Mcdaniel,Sean Mcdaniel
442.phone,(580) 34-2272,(580) 534-2272
467.districtname,MOFFETT***,MOFFETT
422.code,63I010,63I001
320.websiteurl,htntp://www.perry.k12.ok.us,http://www.perry.k12.ok.us
524.superintendent,Bra Overton,Brad Overton
446.superintendent,Rik Kibbe,Rick Kibbe
382.countyname,TTAWA,OTTAWA
207.countyname,JONHSTON,JOHNSTON
212.code,35035,35I035
494.superintendent,Shanonn Vanderburg,Shannon Vanderburg
451.boardpresident,Larry Mallroy,Larry Mallory
280.code,46Ii017,46I017
506.superintendent,Rick Thomsa,Rick Thomas
489.mailingaddress,"6Th And Beatice
Tyrone, OK 73951
(36.95830249000045, -101.06797994099969)","6Th And Beatrice
Tyrone, OK 73951
(36.95830249000045, -101.06797994099969)"
39.phone,(580) 294-1276,(580) 924-1276
219.boardpresident,Trri Gregory,Terri Gregory
81.districtname,GRNAT,GRANT
502.districtname,BROKEN mARROW,BROKEN ARROW
421.phone,(405) 273-6w072,(405) 273-6072
324.code,53003,53I003
271.countyname,AJOR,MAJOR
396.code,60103,60I103
290.code,4C8009,48C009
437.code,64013,64I013
498.districtname,TULSA CHAuRTER: KIPP TULSA,TULSA CHARTER: KIPP TULSA
1.phone,(918) 66-7818,(918) 696-7818
382.superintendent,Brcue Chrz,Bruce Chrz
123.fax,918) 827-3704,(918) 827-3704
486.websiteurl,http://www.ugymontigers.com,http://www.guymontigers.com
145.phone,580) 922-7383,(580) 922-7383
62.phone,(580) 22w6-7650,(580) 226-7650
274.phone,(918) 589g-2228,(918) 589-2228
198.phone,(580) 679-014,(580) 679-3014
421.websiteurl,ttp://src.k12.ok.us/,http://src.k12.ok.us/
420.mailingaddress,"1927 East Walnut Street
Shawnee, OK 74801
(35.32535328700044, -968.9581012799965)","1927 East Walnut Street
Shawnee, OK 74801
(35.32535328700044, -96.89581012799965)"
102.code,6I002,16I002
171.boardpresident,Don Mcmahno,Don Mcmahon
379.mailingaddress,"100 North 6Th Street
Fairfax, OK 74637
y(36.570560869000474, -96.70816679599966)","100 North 6Th Street
Fairfax, OK 74637
(36.570560869000474, -96.70816679599966)"
449.boardpresident,rew Turner,Drew Turner
56.districtname,YcUKON,YUKON
201.boardpresident,im Pryor,Jim Pryor
8.districtname,WESqTVILLE,WESTVILLE
262.countyname,LOGNA,LOGAN
89.code,u13I011,13I011
242.phone,(981) 654-3225,(918) 654-3225
124.superintendent,Aaron Esoplt,Aaron Espolt
26.mailingaddress,"716 Northeast Highway 6w6
Sayre, OK 73662
(35.26874199600047, -99.64683644099966)","716 Northeast Highway 66
Sayre, OK 73662
(35.26874199600047, -99.64683644099966)"
102.countyname,COMNACHE,COMANCHE
378.phone,(918) 242-g3351,(918) 242-3351
480.code,69I012,69I021
221.websiteurl,http://www.lomega.k12.ok.us***,http://www.lomega.k12.ok.us
116.code,1I065,18I065
309.mailingaddress,"400 East Atlanta venue
Davis, OK 73030
(34.50103843000045, -97.11642410799965)","400 East Atlanta Avenue
Davis, OK 73030
(34.50103843000045, -97.11642410799965)"
358.countyname,KLAHOMA,OKLAHOMA
138.superintendent,Chalrene Carter,Charlene Carter
99.countyname,CMOANCHE,COMANCHE
511.websiteurl,http://www.glenpool.k12.ok.us***,http://www.glenpool.k12.ok.us
282.superintendent,Davi Powell,David Powell
200.code,33Ix025,33I025
116.boardpresident,Mickey Tyrrell***,Mickey Tyrrell
202.boardpresident,Joze Poulin,Joe Poulin
76.districtname,tBRIGGS,BRIGGS
441.code,65I07,65I007
284.mailingaddress,"22092 Old Tow First
Blanchard, OK 73010
(35.032992773000444, -97.62987074999967)","22092 Old Town First
Blanchard, OK 73010
(35.032992773000444, -97.62987074999967)"
376.fax,(918) 846-288o3,(918) 846-2883
433.countyname,PUSHMAmTAHA,PUSHMATAHA
14.websiteurl,http://www.hamonyps.org,http://www.harmonyps.org
523.mailingaddress,"506 Walk Street
Canute, OK 73626
(3.5417879478000486, -99.2802410599997)","506 Walk Street
Canute, OK 73626
(35.417879478000486, -99.2802410599997)"
41.boardpresident,Tmomy House,Tommy House
147.fax,(580)6 98-8019,(580) 698-8019
474.websiteurl,http://ww.centralps.k12.ok.us,http://www.centralps.k12.ok.us
130.phone,(198) 352-2492,(918) 352-2492
111.mailingaddress,"1502 N. 10Th St.
Randlett, OK 73562
(34.17746827000075, -98.47047873599968)","1502 N. 10Th St.
Randlett, OK 73562
(34.177468270000475, -98.47047873599968)"
110.phone,(580) 342-s6230,(580) 342-6230
258.districtname,ARNEY,CARNEY
65.districtname,LOoNE GROVE,LONE GROVE
524.fax,(50) 832-1090,(580) 832-1090
281.superintendent,enny Mason,Kenny Mason
215.phone,(580 )362-2811,(580) 362-2811
398.websiteurl,http://Butner.k12ok.us,http://Butner.k12.ok.us
61.phone,(508) 668-2955,(580) 668-2955
364.code,a56I005,56I005
351.countyname,OKLAHOvMA,OKLAHOMA
363.mailingaddress,"1201 est Ninth Street
Beggs, OK 74421
(35.76192597600044, -96.03320848799967)","1201 West Ninth Street
Beggs, OK 74421
(35.76192597600044, -96.03320848799967)"
407.fax,(918) 334-32q95,(918) 334-3295
530.mailingaddress,"210 S Maple St
Mutual, OK 7383
(36.23081743000046, -99.17108141299968)","210 S Maple St
Mutual, OK 73853
(36.23081743000046, -99.17108141299968)"
450.code,66I06,66I006
118.countyname,CEEK,CREEK
211.fax,(580)443-5303,(580) 443-5303
524.countyname,WAHSITA,WASHITA
97.fax,(580) 9272694,(580) 927-2694
406.mailingaddress,"900 South Hwy f113
Indianola, OK 74442
(35.12749434300048, -95.80720737199965)","900 South Hwy 113
Indianola, OK 74442
(35.12749434300048, -95.80720737199965)"
239.fax,(918) 53-7843,(918) 653-7843
206.phone,(580) 228-33f73,(580) 228-3373
128.phone,(918)247-6133,(918) 247-6133
496.fax,(918)363-8194,(918) 363-8194
451.fax,(918) 34-11223,(918) 341-1223
242.mailingaddress,"2666h1 W. 5Th St
Cameron, OK 74932
(35.13597063900045, -94.53856252499969)","26661 W. 5Th St
Cameron, OK 74932
(35.13597063900045, -94.53856252499969)"
79.districtname,HUBERT,HULBERT
394.phone,(18) 225-3425,(918) 225-3425
458.code,76I006,67I006
78.superintendent,iBllie Jordan,Billie Jordan
230.districtname,WIlLBURTON,WILBURTON
394.websiteurl,http:/www.cushingadmin.k12.ok.us,http://www.cushingadmin.k12.ok.us
414.mailingaddress,"324 W. 2a0Th
Ada, OK 74821
(34.773411155000474, -96.67815937999967)","324 W. 20Th
Ada, OK 74821
(34.773411155000474, -96.67815937999967)"
444.code,6C009,66C009
11.mailingaddress,"401 Main St.
Burlington, OK 73722
(36.9060242400046, -98.42300518099967)","401 Main St.
Burlington, OK 73722
(36.90600242400046, -98.42300518099967)"
272.boardpresident,Tony Hawkyins,Tony Hawkins
109.code,17I010,17I001
486.countyname,TEpXAS,TEXAS
207.websiteurl,http://lButner.k12.ok.us,http://Butner.k12.ok.us
381.phone,(91)8 678-2255,(918) 678-2255
39.districtname,DURAT,DURANT
91.code,41I002,14I002
68.websiteurl,shttp://www.foxps.k12.ok.us/,http://www.foxps.k12.ok.us/
509.phone,918) 446-1966,(918) 446-1966
350.websiteurl,http://www.harrahschools.cmo,http://www.harrahschools.com
126.phone,(918) 862-394,(918) 862-3954
68.code,100I74,10I074
411.fax,(580) 87-2636,(580) 857-2636
296.phone,(580) 933-7232***,(580) 933-7232
285.phone,(05) 288-6190,(405) 288-6190
233.code,39004,39I004
222.districtname,KINFISHER,KINGFISHER
463.websiteurl,ttp://www.liberty.seq.k12.ok.us,http://www.liberty.seq.k12.ok.us
446.fax,918) 266-8647,(918) 266-8647
278.fax,(918) 785-24z91,(918) 785-2491
386.boardpresident,Ray Davs,Ray Davis
160.fax,(580) 759-2696,(580) 759-2669
193.countyname,HUGHmES,HUGHES
151.code,2I4001,24I001
164.boardpresident,Shelbyd Humphrey,Shelby Humphrey
501.websiteurl,http://www.sandites.ogr,http://www.sandites.org
266.districtname,TUNER,TURNER
63.phone,5(80) 653-2656,(580) 653-2656
456.code,67I0a03,67I003
61.websiteurl,http//Butner.k12.ok.us,http://Butner.k12.ok.us
260.fax,(05) 282-5904,(405) 282-5904
473.websiteurl,http://www.gor.ek12.ok.us,http://www.gore.k12.ok.us
413.districtname,YNG,BYNG
176.districtname,TUTLE,TUTTLE
139.districtname,JAuY,JAY
466.code,8C050,68C050
330.code,54Ia026,54I026
362.boardpresident,Jerryo Webster,Jerry Webster
34.mailingaddress,"101 N 5Th Avoe
Achille, OK 74720
(33.83501551600045, -96.3930176509997)","101 N 5Th Ave
Achille, OK 74720
(33.83501551600045, -96.3930176509997)"
428.boardpresident,Keith Sadlin,Keith Sandlin
228.code,3I003,38I003
299.districtname,WRIGHTC ITY,WRIGHT CITY
244.districtname,OKOSHE,BOKOSHE
198.websiteurl,http://www.dkeschools.com,http://www.dukeschools.com
383.countyname,TTAWA,OTTAWA
463.districtname,LBERTY,LIBERTY
70.fax,(918 )458-0647,(918) 458-0647
33.superintendent,Presgton Burns,Preston Burns
231.code,9I002,39I002
90.countyname,CfLEVELAND,CLEVELAND
237.superintendent,erry Carpenter,Jerry Carpenter
312.fax,(918) 478x-8533,(918) 478-8533
248.countyname,LE FLOeRE,LE FLORE
129.districtname,SAPULPgA,SAPULPA
22.phone,(580) 487-3366***,(580) 487-3366
152.websiteurl,http://www.kremlin.1k2.ok.us,http://www.kremlin.k12.ok.us
451.websiteurl,http://www.foyli.k12.ok.us,http://www.foyil.k12.ok.us
463.boardpresident,George Lwason,George Lawson
65.fax,(580)657-4355,(580) 657-4355
361.districtname,HnENRYETTA,HENRYETTA
139.phone,h(918) 253-4293,(918) 253-4293
6.superintendent,kMary Fletcher,Mary Fletcher
250.superintendent,iJohn Turner,John Turner
40.phone,(405) 663-274,(405) 663-2774
519.superintendent,Ricpk Peters,Rick Peters
14.mailingaddress,"490 South Bentley Road
Atoka, OK 74525
(34.13783596100047, -96.07549418499968)","490 South Bentley Road
Atoka, OK 74525
(34.31783596100047, -96.07549418499968)"
229.fax,(580) 569-4250,(580) 569-4205
346.mailingaddress,"5401 Noprthwest 40Th Street
Warr Acres, OK 73122
(35.51264879500047, -97.61017813499967)","5401 Northwest 40Th Street
Warr Acres, OK 73122
(35.51264879500047, -97.61017813499967)"
226.code,38I01,38I001
496.phone,(918) 363y-8711,(918) 363-8711
88.phone,(58) 426-2220,(580) 426-2220
233.boardpresident,JerryL essel,Jerry Lessel
271.fax,(580) 7962350,(580) 796-2350
482.superintendent,mDavid Wayne Eads,David Wayne Eads
88.superintendent,ewetta Hefley,Lewetta Hefley
388.countyname,PANWEE,PAWNEE
360.phone,(918)7 58-2000,(918) 758-2000
74.boardpresident,Tmimy Applegate,Timmy Applegate
116.phone,(918 256-6778,(918) 256-6778
378.boardpresident,Edzdie Baugher,Eddie Baugher
256.countyname,LINnCOLN,LINCOLN
196.phone,(918) 546-2467,(918) 546-2476
375.countyname,bOSAGE,OSAGE
354.mailingaddress,"8401 Southwest 44Th Street
Oklahoma City, OK 7179
(35.42073802300047, -97.6610900289997)","8401 Southwest 44Th Street
Oklahoma City, OK 73179
(35.42073802300047, -97.6610900289997)"
263.superintendent,Josh Sumrall***,Josh Sumrall
396.superintendent,Stee Shanks,Steve Shanks
95.districtname,LTTLE AXE,LITTLE AXE
369.fax,(918) 3361348,(918) 336-1348
404.fax,(918) 432-56s83,(918) 432-5683
492.boardpresident,Jerry Stobll,Jerry Stoll
152.countyname,GRFIELD,GARFIELD
340.superintendent,Justin Hutn,Justin Hunt
440.countyname,ROGER MILLS***,ROGER MILLS
512.fax,(918) 366-8497***,(918) 366-8497
328.districtname,MASNO,MASON
400.code,61088,61C088
220.websiteurl,htp://www.dover.k12.ok.us,http://www.dover.k12.ok.us
5.countyname,hADAIR,ADAIR
410.code,1I080,61I080
483.fax,(580)3 38-6721,(580) 338-6721
15.countyname,AOKA,ATOKA
159.phone,(405) 238-302h1,(405) 238-3021
430.phone,(405) 3832-656,(405) 383-2656
460.phone,(405i) 941-3250,(405) 941-3250
462.boardpresident,Gegrald Factor,Gerald Factor
98.superintendent,Jerroy Romines,Jerry Romines
181.mailingaddress,"1192 Harrison Avxenue
Lamont, OK 74643
(36.68774384000045, -97.55802217899969)","1192 Harrison Avenue
Lamont, OK 74643
(36.68774384000045, -97.55802217899969)"
483.boardpresident,Louis J. Logn,Louis J. Long
483.countyname,TEXuAS,TEXAS
185.fax,(580) 92-3636,(580) 921-3636
356.boardpresident,Scott Trospr,Scott Trosper
253.phone,(918)f 377-2277,(918) 377-2277
224.fax,(405) 433-2664,(405) 433-2646
354.websiteurl,http://www.westernvheights.k12.ok.us,http://www.westernheights.k12.ok.us
398.fax,(918) 4234-687,(918) 423-4687
65.phone,(580) 657-331,(580) 657-3131
389.websiteurl,http:/www.clevelandtigers.com/,http://www.clevelandtigers.com/
302.districtname,RYL,RYAL
268.mailingaddress,"101 W. 5Th
Ringwood, OK 73768
(36.38158979500048 ,-98.2473896889997)","101 W. 5Th
Ringwood, OK 73768
(36.38158979500048, -98.2473896889997)"
51.superintendent,eJff Goure,Jeff Goure
402.code,61002,61I002
245.websiteurl,http://www.poteau.12.ok.us,http://www.poteau.k12.ok.us
296.superintendent,Craig Wall***,Craig Wall
437.mailingaddress,"219 Northeast A Street
Antlers, OK 74523
(34.22723413000485, -95.61947699399968)","219 Northeast A Street
Antlers, OK 74523
(34.232723413000485, -95.61947699399968)"
240.code,40I070,40I007
456.superintendent,Tmomy Eaton,Tommy Eaton
395.phone,(580) 6694-003,(580) 669-4003
72.fax,(918) 456-5051,(918) 456-5015
373.countyname,OSaAGE,OSAGE
64.mailingaddress,"1140 South Plainview Road
Ardmore, OK 73401
(34.159380059000455, -97.1779371g1199965)","1140 South Plainview Road
Ardmore, OK 73401
(34.159380059000455, -97.17793711199965)"
1.boardpresident,iBlly Craig,Billy Craig
293.websiteurl,http://ww.hollycreek.org,http://www.hollycreek.org
463.mailingaddress,"476490 E. 1060 Road
Muldrow, OK 74948
(35.g47773333900045, -94.54022000299966)","476490 E. 1060 Road
Muldrow, OK 74948
(35.47773333900045, -94.54022000299966)"
187.boardpresident,Royce Alvrerson,Royce Alverson
228.boardpresident,Misty Skipwoyrth,Misty Skipworth
429.phone,405) 784-2331,(405) 784-2331
23.countyname,BAVER,BEAVER
350.phone,(405) 45-6244,(405) 454-6244
303.countyname,MCINTOH,MCINTOSH
267.boardpresident,Frank L.Lornes,Frank L. Lornes
370.boardpresident,Mrdi Crutchfield,Mardi Crutchfield
504.phone,(918) 99-4411,(918) 299-4411
442.code,65I105,65I015
10.countyname,ADAIpR,ADAIR
332.superintendent,Dusty Chancefy,Dusty Chancey
325.fax,(918) m273-2105,(918) 273-2105
531.districtname,OFRT SUPPLY,FORT SUPPLY
238.fax,(918) 962-27q57,(918) 962-2757
321.districtname,BILINGS,BILLINGS
76.phone,(918) 456-4212,(918) 456-4221
499.boardpresident,Annie an Hanken,Annie Van Hanken
374.code,7I011,57I011
78.websiteurl,http://ww.keys.k12.ok.us,http://www.keys.k12.ok.us
76.boardpresident,Billy Gibvson,Billy Gibson
247.superintendent,Jason Lcokhart,Jason Lockhart
456.phone,(405) 398-s4172,(405) 398-4172
62.superintendent,Niathaniel Bates,Nathaniel Bates
212.districtname,COLEMNA,COLEMAN
95.mailingaddress,"2000w 168Th Avenue Northeast
Norman, OK 73026
(35.24188057300046, -97.19440899499966)","2000 168Th Avenue Northeast
Norman, OK 73026
(35.24188057300046, -97.19440899499966)"
394.districtname,USHING,CUSHING
312.boardpresident,Jere Gibosn,Jere Gibson
231.superintendent,Bryan Deathefrage,Bryan Deatherage
126.districtname,OLTON,OILTON
38.fax,(580) 434-5080,(580) 434-5800
489.code,70I503,70I053
223.countyname,KINGFISHRE,KINGFISHER
220.code,370I02,37I002
306.phone,(918) 47q4-3434,(918) 474-3434
262.phone,(405) 649-20y00,(405) 649-2000
104.countyname,CMANCHE,COMANCHE
391.countyname,PmAYNE,PAYNE
78.mailingaddress,"26622 South 520h Road
Park Hill, OK 74451
(35.78899714500045, -94.96845421899968)","26622 South 520 Road
Park Hill, OK 74451
(35.78899714500045, -94.96845421899968)"
281.mailingaddress,"521 North Mccracken
Chouteau, OK 74c337
(36.19263929300047, -95.34504046599966)","521 North Mccracken
Chouteau, OK 74337
(36.19263929300047, -95.34504046599966)"
168.superintendent,Randy ughes,Randy Hughes
190.countyname,HzASKELL,HASKELL
185.mailingaddress,"605 W. Jane Jayroe Blvd.
Laverne, OK 73848
(36.709622638000496, -99.900423719999l65)","605 W. Jane Jayroe Blvd.
Laverne, OK 73848
(36.709622638000496, -99.90042371999965)"
272.websiteurl,http://www.madillok.com***,http://www.madillok.com
188.boardpresident,Ry King,Roy King
343.boardpresident,Bradnon Clark,Brandon Clark
120.code,1w9C035,19C035
420.boardpresident,Jerry Slkaggs,Jerry Skaggs
211.websiteurl,http://www.imlburn.k12.ok.us/,http://www.milburn.k12.ok.us/
302.phone,(918) 652-741,(918) 652-7461
91.superintendent,oRbert Romines,Robert Romines
290.fax,(580) 548-9473,(580) 584-9473
284.superintendent,Chad Clantn,Chad Clanton
102.fax,(580) 246-372,(580) 246-3372
209.websiteurl,http://wwwh.millcreek.k12.ok.us,http://www.millcreek.k12.ok.us
188.countyname,HSAKELL,HASKELL
161.websiteurl,http://wwwpaoli.k12.ok.us/,http://www.paoli.k12.ok.us/
115.mailingaddress,"276 Se 3Rd St.
Bluejacket, OK 74333
(36.79811589030044, -95.07114926099968)","276 Se 3Rd St.
Bluejacket, OK 74333
(36.79811589300044, -95.07114926099968)"
38.phone,(580 434-5700,(580) 434-5700
508.websiteurl,http://www.unoinps.org/,http://www.unionps.org/
377.districtname,HOMuINY,HOMINY
137.phone,(918) 34-5799,(918) 434-5799
455.phone,405) 257-5475,(405) 257-5475
432.code,64zC002,64C002
198.boardpresident,Dean Rkice,Dean Rice
54.websiteurl,http//www.maple.k12.ok.us,http://www.maple.k12.ok.us
301.districtname,BROKEN OBW,BROKEN BOW
91.districtname,MORE,MOORE
34.fax,(508) 283-3787,(580) 283-3787
260.districtname,GUTHREI,GUTHRIE
185.superintendent,Eddie Thomhas,Eddie Thomas
163.superintendent,Dan Chaman,Dan Chapman
210.boardpresident,Doug Blakcburn,Doug Blackburn
360.mailingaddress,"316 E. 8Th Street
Okmulgee, OK 74447
(35.62135176200047, -95.96899009199967)***","316 E. 8Th Street
Okmulgee, OK 74447
(35.62135176200047, -95.96899009199967)"
279.boardpresident,Lnnie Salyers,Lonnie Salyers
511.countyname,TULA,TULSA
455.boardpresident,Micqhael Weatherly,Michael Weatherly
226.fax,(580) 726-855,(580) 726-2855
80.superintendent,Lisa resley,Lisa Presley
60.districtname,CALUMEhT,CALUMET
392.districtname,TILLWATER,STILLWATER
395.code,60I110,60I101
462.websiteurl,http://nButner.k12.ok.us,http://Butner.k12.ok.us
103.websiteurl,http://www.sterling.k12.o.kus,http://www.sterling.k12.ok.us
482.districtname,BRAY-ODYLE,BRAY-DOYLE
180.code,27I09w0,27I090
58.phone,f(405) 483-3531,(405) 483-3531
87.mailingaddress,"700 Se First Street
Boise City, OK 73933
(36.72875763900049, o-102.50477001499968)","700 Se First Street
Boise City, OK 73933
(36.72875763900049, -102.50477001499968)"
33.code,07002,07I002
230.superintendent,Beatrice Butlper,Beatrice Butler
418.countyname,POTTAWATOIE,POTTAWATOMIE
313.mailingaddress,"206 Gibson St.
Webbers Falls, OK 74470
(35.512292681000474, -9.51328619899997)","206 Gibson St.
Webbers Falls, OK 74470
(35.512292681000474, -95.1328619899997)"
108.mailingaddress,"507 4Th Street
Chattanooga, OK 73528
(34.4235579490004,4 -98.65642069099965)","507 4Th Street
Chattanooga, OK 73528
(34.42355794900044, -98.65642069099965)"
482.boardpresident,arry Osborne,Larry Osborne
173.districtname,LEX,ALEX
102.websiteurl,http:/www.indiahoma.k12.ok.us,http://www.indiahoma.k12.ok.us
484.districtname,TRAIGHT,STRAIGHT
474.mailingaddress,"108089 Sotuh 4670 Road
Sallisaw, OK 74955
(35.44781020100049, -94.70795420499968)","108089 South 4670 Road
Sallisaw, OK 74955
(35.44781020100049, -94.70795420499968)"
8.websiteurl,http://www.westviqlle.k12.ok.us,http://www.westville.k12.ok.us
356.websiteurl,http://www.crookedaok.org,http://www.crookedoak.org
239.countyname,LE jFLORE,LE FLORE
80.code,110I35,11I035
146.code,22010,22I010
271.phone,(580) 7962204,(580) 796-2204
11.boardpresident,Terry Grahaym,Terry Graham
306.mailingaddress,"316 South Pine
Council Hill, OK 74428
(35.55426227500044, -95.65268853099968)","316 South Pine
Council Hill, OK 74428
(35.55462227500044, -95.65268853099968)"
192.websiteurl,http://www.mossps.k12.ok.uqs/,http://www.mossps.k12.ok.us/
113.boardpresident,Jenny pSielmann,Jenny Spielmann
17.countyname,AcTOKA,ATOKA
186.websiteurl,http://www.buffalo.k21.ok.us,http://www.buffalo.k12.ok.us
477.boardpresident,Garlan Davis,Garland Davis
530.code,770I03,77I003
306.boardpresident,Gary Duavll,Gary Duvall
48.mailingaddress,"124 W. Park St.
Hinton, OK 73047
(35.4744464030046, -98.35601998799967)","124 W. Park St.
Hinton, OK 73047
(35.47444640300046, -98.35601998799967)"
27.phone,(580) 52-3476,(580) 526-3476
70.superintendent,Brayn Hix,Bryan Hix
268.districtname,RINWGOOD,RINGWOOD
59.boardpresident,wChad Fulton,Chad Fulton
43.fax,(580) 654-644,(580) 654-1644
516.districtname,PROTER CONSOLIDATED,PORTER CONSOLIDATED
218.superintendent,Rod Reees,Rod Reese
314.phone,(918) 687-7h556,(918) 687-7556
387.countyname,PAWNEvE,PAWNEE
244.phone,(s918) 969-2491,(918) 969-2491
71.boardpresident,Dainny Shoemaker,Danny Shoemaker
333.boardpresident,Roblert Stell,Robert Stell
517.phone,(198) 532-4490,(918) 532-4490
261.superintendent,H.T. (Bucth) Gee,H.T. (Butch) Gee
304.fax,(918) 869-1080,(918) 689-1080
424.code,63003,63I003
499.phone,a(918) 794-1442,(918) 794-1442
235.boardpresident,Meliss Dawes,Melissa Dawes
242.districtname,CAfMERON,CAMERON
216.districtname,BLACWKELL,BLACKWELL
370.websiteurl,http:/www.avant.k12.ok.us,http://www.avant.k12.ok.us
249.phone,918) 658-3666,(918) 658-3666
162.mailingaddress,"600 First Street
Maysville, OK 73057
(34.821c69649900044, -97.4084758359997)","600 First Street
Maysville, OK 73057
(34.82169649900044, -97.4084758359997)"
387.websiteurl,http://www.jennings.k12.oku.s,http://www.jennings.k12.ok.us
408.superintendent,Gary Rweeder,Gary Reeder
83.countyname,CHgOCTAW,CHOCTAW
361.websiteurl,htp://www.henryetta.k12.ok.us/,http://www.henryetta.k12.ok.us/
521.fax,(580) 393-477,(580) 393-4747
52.boardpresident,.T. Scott,L.T. Scott
118.phone,(91) 324-5365,(918) 324-5365
323.websiteurl,http://www.morrisonp.scom,http://www.morrisonps.com
127.mailingaddress,"725 Simms St
Depew, OK 74028
(35.79943198040048, -96.50614644399968)","725 Simms St
Depew, OK 74028
(35.79943198400048, -96.50614644399968)"
500.phone,(91d8) 746-6800,(918) 746-6800
17.mailingaddress,"801 Greathouse Drive
Atoka, OK 74525
(34.37296290200045, -96.14540965099968)","801 Greathouse Drive
Atoka, OK 74525
(34.37926290200045, -96.14540965099968)"
317.countyname,MSKOGEE,MUSKOGEE
289.mailingaddress,"1941 Forest Grove Road
Garvin, OK 74736
(33.9248084400005, -94.9565321449997)","1941 Forest Grove Road
Garvin, OK 74736
(33.92480844000045, -94.9565321449997)"
159.websiteurl,http:/www.whitebead.org,http://www.whitebead.org
214.superintendent,Gar Young,Gary Young
53.fax,405) 262-3215,(405) 262-3215
281.districtname,CoHOUTEAU-MAZIE,CHOUTEAU-MAZIE
217.mailingaddress,"111West Grand Avenue
Ponca City, OK 74601
(36.703748514000495, -97.08454006199969)","111 West Grand Avenue
Ponca City, OK 74601
(36.703748514000495, -97.08454006199969)"
270.superintendent,Rocky Burchield,Rocky Burchfield
231.countyname,LATIfMER,LATIMER
214.districtname,PECKzHAM,PECKHAM
335.fax,(405)z 767-3007,(405) 767-3007
517.superintendent,Rick uRckman,Rick Ruckman
451.districtname,FOYL,FOYIL
251.websiteurl,http://www.wehiterock.com/,http://www.whiterock.com/
124.mailingaddress,"9352 Soth 436Th West Avenue
Drumright, OK 74030
(36.02757110900046, -96.47983408799968)","9352 South 436Th West Avenue
Drumright, OK 74030
(36.02757110900046, -96.47983408799968)"
30.fax,(405) 84-2099,(405) 884-2099
339.code,55E070,55E007
58.districtname,UNION CTY,UNION CITY
408.fax,(918) 548-383h6,(918) 548-3836
502.phone,(918) 259-500,(918) 259-5700
414.boardpresident,Charlfes Mayhue,Charles Mayhue
103.phone,(580) 365-430k7,(580) 365-4307
253.mailingaddress,"417 Broadway
Davenport, OK 74026(35.70818738100047, -96.7652290209997)","417 Broadway
Davenport, OK 74026
(35.70818738100047, -96.7652290209997)"
374.phone,(918) 793w-2021,(918) 793-2021
117.websiteurl,http://www.lonestar.k12.zok.us,http://www.lonestar.k12.ok.us
330.countyname,OKFUfSKEE,OKFUSKEE
40.code,0d8I011,08I011
278.superintendent,Tom Linihna,Tom Linihan
227.phone,(580) o846-9091,(580) 846-9091
178.superintendent,Cha Hance,Chad Hance
271.boardpresident,aLrry Frey,Larry Frey
3.boardpresident,Toya Tidwell,Tonya Tidwell
101.mailingaddress,"102 East H Ave
Cache, OK 73527
(34.62352263100047, -9.862286048299967)","102 East H Ave
Cache, OK 73527
(34.62352263100047, -98.62286048299967)"
291.phone,(580) 420-323z2,(580) 420-3232
166.superintendent,Donny Darrw,Donny Darrow
18.districtname,USHKA,TUSHKA
130.countyname,CREKE,CREEK
214.phone,(580) 3x62-2633,(580) 362-2633
134.fax,(580) 323-1q804,(580) 323-1804
216.websiteurl,http://www.blackell.k12.ok.us,http://www.blackwell.k12.ok.us
333.phone,(405) 771-3337,(405) 771-3373
186.districtname,UFFALO,BUFFALO
481.mailingaddress,"Rural Route 3, Box 249
Marlow, OK 73055
(34.63555282000044, -97.9b319498219997)","Rural Route 3, Box 249
Marlow, OK 73055
(34.63555282000044, -97.9319498219997)"
239.websiteurl,http://ehavenerschools.org,http://heavenerschools.org
131.phone,(580)323-3262,(580) 323-3262
411.mailingaddress,"110a N. Richmond Ave.
Allen, OK 74825
(34.879041860000484, -96.41333891699969)","110 N. Richmond Ave.
Allen, OK 74825
(34.879041860000484, -96.41333891699969)"
411.countyname,PONTbOTOC,PONTOTOC
375.websiteurl,http://wwwbarnsdall.k12.ok.us,http://www.barnsdall.k12.ok.us
29.websiteurl,http://www.watongapubilcschools.com,http://www.watongapublicschools.com
332.code,5I054,54I054
104.mailingaddress,"800 West Main Street
eGronimo, OK 73543
(34.48512782400047, -98.3990608529997)","800 West Main Street
Geronimo, OK 73543
(34.48512782400047, -98.3990608529997)"
223.superintendent,Joe Mcclley,Joe Mcculley
366.superintendent,Andre aJames,Andrea James
