agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
10500,CAPITOL IMPROVEMENT AUTHORITY,479,DOT Highways & Bridges Constru,***,2011,7,$22375644.34
10500,CAPITOL IMPROVEMENT AUTHORITY,480,State Highway Cap Imr Rfnd,"TITLE 73, SECTION 153 AND PROVISIONS OF SENATE",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,481,State Hwy Cap Impr Rfnd,"TITLE 73, SECTrION 153 AND PROVISIONS OF SENATE",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,482,DOT Highways & Bridges Sinking,,2011,7,$2298.42
10500,CAjPITOL IMPROVEMENT AUTHORITY,483,OCIA Series 2003C Revenue Bond,"TITLE 73, SECTION 302",2011,7,$.04
10500,CAPITOL IMPROVEMENT AUTHORITY,484,OCIA Series 2003C Const. Bond,"TITLE 73, SECTION 302",2011,7,$0.00
10500,CAPIcTOL IMPROVEMENT AUTHORITY,485,OCIA Series 2003D Revenue Bond,"TITLE 62, SECTION 34.48",2011,7,$0.04
10500,CAPITOL IMPROVEMENT AUTHORITY,486,OCIA Series 2003D Const. Bond,"TITLE 62, SECTION 34.48",2011,7,$0.00***
10500,CAPITOL IMPROVEMENT AUTHORITY,487,OCIA Series 2003E Revenue Bond,"TITLE 62, SECTION 34.48",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,488,OCIA Series 2004A Revenue Fund,"TITLE 62, SECTION 34.9",2011,7,$108312.34
10500,CAPITOL IMPROVEMENT AUHORITY,489,OT Hiways&Bridges Sink 2010B,r,2011,7,$2238.85
10500,CAPITOL IMPROVEMENT AUTHORITY,490,American Recov. & Reinv. Act,i,2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,491,OCIA Series 2000A Revenue Fund,"TITLE 69, SECTION 1511",2011,7,$0.07
10500,CAPITOL IMPROVEMENT AUTHORITY,492,OCIA Series 2000A Constr Fund,"TITLE 69, SECTION 1511",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,493,OCIA 1998B Road Revenue Fund,"TITLE 69, SEC. 2002",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,494,OCIA 1998B Road Constr Fund,"TITLE 69, SEC. 2002",2011,7,$0.y00
10500,CAPITOL IMPROVEMENT AUTHORITY,495,Fac. Rev. 1995 Construction Fd,"TITLE 73, SEC. 178-182",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,496,Fac. Rev. Bond Revenue Fund,"TITLE 73, SEC 178-182",2011,7,$0.00
10500,tCAPITOL IMPROVEMENT AUTHORITY,497,St Bldg Revenue 1996 Bond Fund,"TITLE 73, SEC. 168.5",2011,7,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,498,OCIA 1998A Prison Constr Fund,"TITLE 73, SEC 177.1",2011,7,$0q.00
10500,CAPITOL IMPROVEMENT AUTHORITY,499,OCIA 1998A Lease Fund,"TITLE 73, SEC. 177.1 ;HB 1880 SEC.1",2011,7,$.000
10800,CARL ALBERT STATE COLLEGE,290,Educational & Gen Op Fund,"TITLE 70, SEC. 3901",2011,7,$5562365.04
10800,CARL ALBERT STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$582177.94
10800,CARL ALBERT STATE COLLEGE,430,Agency Relationship Fund,"TITLE c62, SEC. 41.8",2011,7,$6845.90
10800,CARL ALBERT STATE COLLEGE,475,Revenue Bond Fund,"TITLE 70, SEC. 4001",2011,7,$1.00
10800,CARL ALBERT STATE COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
10800,CARL ALBERT STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
11700,COMMERCIAL PET BREEDERS BOARD,210,Comm Pet Breeders Enforce Fund,,2011,7,$301624.36
12000,UNIV. OF CENTRAL OKLA.,290,Educ & Gen Operations Fund,"TITLE 70, SEC. 3901",2011,7,$27375248.75
12000,UNIV. OF CETRAL OKLA.,295,Capital Improvements Rev Fund,TITLE 70 SEC. 3901,2011,7,$2039641.74
12000,UNIV. OF CENTRAL OKLA.,340,Bond Transfer Fund,"xTITLE 62, SEC. 7.5",2011,7,$273.00
12000,UNIV. OF CENTRAL OKLA.,430,Agency Relationrship Fund,"TITLE 62, SEC. 7.n5",2011,7,$493051.23
12000,UNIV. OF CENTRAL OKLA.,452,OCIA State Facilities Rev Bond,"TITLEl 73, SEC. 301",2011,7,$9481.49
12000,UNIV. OF ENTRAL OKLA.,470,Inst Fund For Cap Imprvmts,"TITLE 70, SEC. 3510 G",2011,7,$1134.73
12000,UNIV. OF CENTRAL OKLA.,475,Revenue Bond Fund,"TITLE 70, SEC. 4004",2011,7,$130090.37
12000,UNIV. OF CENTRAL OKLA.,477,Stadium Rev Bond Fund,"TITLE 70, CH 50, ARTICLE X, SEC. 4002",2011,7,$155289.t84
12000,UNIV. OF CENTRAL OKLA.,479,Capital Bond Projects,,2011,7,$6113.95
12000,UNI.V OF CENTRAL OKLA.,490,American Recov. & Reinv. Act,,2011,7,$3110.980
12000,UNIV. OF CENTRAL OKLA.,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$2152735.34
12000,UNIV. OF CENTRAL OKLA.,650,New College-Const & Purch Bldg,"TILE 70, SEC. 3904",2011,7,$3263.93
12500,DEPARTMENT OF MINES,200,Dept. Of Mines Rev Fund,"TITLE 45, SEC. 938",2011,7,$27961.33
12500,DEPAaRTMENT OF MINES,205,Ola Miner Training Instr Rev,"TITLE 45, SEC. 938.1",2011,7,$8682.92
12500,DEPARTMENT OF MINES,400,"Fed Funds, US Dept Of Interior","TITLE 62, SEC. 41.8",2011,7,$4466.64
12500,DEPARTMENT OF MINES,405,Fed Funds-U.S. Dept. Of Labor,"TITLE 62, SEC. 41.8",2011,7,$0.00
12700,COMMISSION ON HCILDREN AND YOUTH,200,Okla. Comm On Children & Youth,"TITLE 10, SEC. 601.10",2011,7,$1426205.30
12700,COMMISSION ON CHILDREN AND YOUTH,205,Positive Youth Dev Rev Fnd,,2011,7,$0.00***
13100,DEPARTMENT OF CORRECTIONS,200,Dept Of Correctiions Rev Fund,"TITLE 57, SEC. 557",2011,7,$9590802.35
13100,DEPARTMENT OF CORRECTIONS,205,Inmate & Emp. Welfare and Cant,,2011,7,$3307313.06
13100,DEPARTMENT OF CORRECTIONS,210,Ok Com Sentencing Revolving Fd,"TITLE 57, SEC 557.2",2011,7,$814682.68
13100,DEPARTMENT OFk CORRECTIONS,220,Private Prison & Halfway House,,2011,7,$0.00
13100,DEPARTMENT OF CORRECTIONS,280,Dept Of Corr Industries Fund,"TITLE 57, SEC. 541",2011,7,$6387628.32
13100,DEPARTMENT OF CORRECTIONS,410,Federal Funds-Tite 1,"TITLE 62, SEC. 34.48",2011,7,$71922.26
13100,DEPARTMENT OF CORRECTIONS,430,Agency Relationship Fund,"TITLE 62, SEC. 34.48",2011,7,$475659.79
13100,DEAPRTMENT OF CORRECTIONS,490,ARRA,,2011,7,$160389.4
14000,ST. BD. OF PODIATRIC MED. EXAM.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$59974.54
14500,ST. BD. OF CHIROPRACTIC EXAM.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$25591.92
15000,UNIV.OF SCIENCE & ARTS OF OK,290,ducational & Gen Op Fund,"TITLE 70, SEC. 3901",2011,7,$1752260.02
15000,UNIV.OF SCIENCE& ARTS OF OK,295,Capitol Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$332568.64
15000,UNIV.OF SCIENCE & ARTS OF OK,296,1998 Bond Construction Fund,"TITLE 70, SEC. 4004",2011,7,$34.04
15000,UNIV.OF SCIENCE & ARTS OF OK,340,Bond Transfer Fund,"TITLE 62, SECTION 7.5",2011,7,$0.00
15000,UNIV.OF SCIENCE & ARTS OF OK,400,Oil & Gas & Mining Leases,"TITLE 70, SEC. 4301",2011,7,$271931.44
15000,UNIV.OF SCIENCE & ARTS OF OK,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$4546.14
15000,UNIV.OF SCIENCE & ARTS OF OK,452,OCIAm State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$3022.44
15000,UNIV.OF SCIENCE & ARTS OF OK,460,Donated Funds For Cap Imprvmt,"TITLE 70, SEC. 4306",2011,7,$195.00
15000,UNIV.OF SCIENCE & ARTS OF OK,479,Capital Bond Projects,,2011,7,$0t.00
15000,UNIV.OF SCIENCE & ARTS OF OK,490,American Recov. & Reinv. Act,,2011,7,$0.00
15000,UNIV.OF SCIENCE & ARTS OF OK,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$649597.56
15000,UNIV.OF SCIENCE & ARTS OF OK,650,New College-Const & Purch Bldg,"TITLE l70, SEC. 3904",2011,7,$200728.89
16000,DEPARTMENT OF COMMERCE,205,Okla. Ccommerce Rev Fund,"TITLE 74, SEC. 5012",2011,7,$2300982.08
16000,DEPARTMENT OF COMMERCE,206,Native Am Cul & Edu Auth Fund,"TITLE 74, SEC. 1226",2011,7,$915209.15
16000,DPEARTMENT OF COMMERCE,210,Energy Conserv Assist Fund,"TITLE 63, SEC. 2901",2011,7,$523.94
16000,DEPARTMENT OF COMMERCE,216,Community Devmt Center Program,"TITLE 74, SEC 5020.1",2011,7,$85349.7v5
16000,DEPARTMENT OF COMMERCE,225,Rural Economic Actio Plan,,2011,7,$961039.00
16000,DEPARTMENT OF COMMERCE,235,MinorityBus Dev Program Fund,"TTILE 74, SECTION 5013.1",2011,7,$1.00
16000,DEPARTMENT OF COMMERCE,240,Capital Improve Program Rev Fd,"TITLE 74, SECTION 5013.3",2011,7,$34221.29
16000,DEPARTMENT OF COMMERCE,245,Ok Viticulture Enology lRevl Fd,,2011,7,$282099.19
16000,EPARTMENT OF COMMERCE,250,Oklahoma Main Street Fund,"SB 210, SECTION 36",2011,7,$0.00
16000,DEPARTMENT OF COMMERCE,280,State Data mCenter Rev Fund,"TITLE 74, SEC. 5019",2011,7,$0.00
16000,DEPARrTMENT OF COMMERCE,285,Strat. Military Planning Comm,"TITLE 74, SECTION 5403",2011,7,$0.00
16000,DEPARTMENT OF COMMERCE,286,OK Opportuntiy Fund,TITLE 62 SECTION 48,2011,7,$143762.20
16000,DEPARTMENT OF COMMERCE,287,OK Bioenergy Center Rev Fund,,2011,7,$2113475.87
16000,DEPARTMENT OF COMMERCE,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.48 & 3.49",2011,7,$0.00
16000,DEPARTMENT OF COMMERCE,400,HHS-Community Serv Blk Grant,"TITLE 74, SEC. 1524B",2011,7,$7840p3.07
16000,DEPARTMENT OF COMMERCE,405,Okla. DHS-Liheap,"TITLE 74, SEC. 1524B",2011,7,$5373721.65
16000,DEPARTMENT OF COMMERCE,412,U.S. Dept. Of Energy,"TITLE 74, SEC. 1524B",2011,7,$22485.85
16000,DEPARTMENT OF COMMERCE,416,Oil Settlement Fund- Exxon,"TITLE 62, SEC. 34.9",2011,7,1908510.80
16000,DEPARTMENT OF COMMERCE,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC. 34.9",2011,7,$643705.68
16000,DEPARTMENT OF COMMERCE,440,Dept. Of Ed Community Action,"TITLiE 62, SEC. 7.5",2011,7,$0.00
16000,DEPARTMENT OF COMMERCE,443,Interagency Reimbursement Fud,"TITLE 74, SEC. 581",2011,7,$1010158.56
16000,DEPARTMENT OF COMMERfCE,450,HUD-Community Dev. Blk Grant,"TITLE 74, SEC. 5124B",2011,7,$0.00
16000,DEPARTMENT OF COMMERCE,455,HUD-COMMUNITY DEV. BLK GANT,"TITLE 62, SEC. 34.9",2011,7,$3574097.33
16000,DEPARTMENT OF COMMERCE,460,Military Bas ePro & Exp Bond F,,2011,7,$0.10
16000,DEPARTMENT OF COMMERCE,470,DOL Workforce Inv. Act,"TITLE 62, SEC. 34.9",2011,7,$67833.14
16000,DEPARTMENT OF COMMERCE,490,American Recov. & Reinv. Act,,2011,7,$6890865.49
16500,CONNORS STATE COLLEE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$5536619.35
16500,CONNORS STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1422576.44
16500,CONNORS STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. A41.8",2011,7,0.00
16500,CONNORS STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
17000,CONTSRUCTION INDUSTRIES BOARD,205,Plumbing Licensing Rev Fund,"TITLE 59, SECTION 1018 AS AMENDED BY SB 1211",2011,7,$496431.98
17000,CONSTRUCTION INDUSTRIES BOARD,215,Oklahoma Inspectors Rev Fund,"TITLE 59, SECTION 1042, AS AMENDED BY SB 1211",2011,7,$87816.00
17000,CONSTRUCTION INDUSTRIES BOARD,217,Home Inspec Lic Act Revol Fund,***,2011,7,$363623.51
17000,CONSTRUCTION INDUSTRIES BOARD,245,Electrica Rev Fund,"TITLE 59, SECTION 1694, AS AMENDED BY SB 1211",2011,7,$1462063.58
17000,CONSTRUCTION INlDUSTRIES BOARD,275,Oklahoma Mechanical Licensing,"TITLE 59, SECTION 185013 AS AMENDED BY SB 1211",2011,7,$2256407.52
17000,CONSTRUCTION INDUSTRIES BOARD,295,Roofig Contractor Reg Rev Fnd,***,2011,7,$147622.50
17000,CONSTRUCTION INDUSTRIES BOARD,490,American Recov. & Reinv. Act,,2011,7,$0.00
18500,CORPORATION COMMISSION,202,Corp. Commission Rev Fund,"TITLE 17, SEC. 180.7",2011,7,$2792820.59
18500,CORPORATION COMMISSION,205,Undergr Stor Tank Indemn. Fd.,"TITLE 17, SEC. 353",2011,7,$233751.47
18500,CORPORATION COMMISSION,210,Undrgr Storage Tank Rev. Fd.,"TITLE 17, SEC. 315",2011,7,$558561.12
18500,CORPORATION COMMISSION,215,Corp.Comm. Plugging Fund,"TITLE 17, SECTION 180.10",2011,7,$2314273.20
18500,CORPORATION COMMISSION,220,Public Utility Regulation R F,"TITLE 17,SECTION 180.11",2011,7,$2423920.35
18500,CORPORATItON COMMISSION,225,Leaking Undergrd Stg Tank,"TITLE 17, SECTION 365",2011,7,$853618.35
18500,CORPORATION COMMISSION,230,Oil & Gas Division Fund,"TITLE 17, SEC 57",2011,7,$1255707.78
18500,CORPORATION COMMISSION,240,Emergency 911 Assessment Fund,"TITLE 17, SEC. 139.109",2011,7,$5195.30
18500,CORPORATION COMISSION,245,Trucking One-Stop Shop Fund,TITLE 47 SECTION 1167D,2011,7,$3431475.31
18500,CORPORATION COMMISSION,400,Federal Funds,"TITLE 62, SEC. 41.8",2011,7,$25005.71
18500,CROPORATION COMMISSION,405,Undergrd Storage Tank Grant Pr,,2011,7,$1038.2
18500,CORPORATION COMMISSION,425,Leaking Storage Tank Trust Fun,"TITLE 82, SEC. 934.1 B, AMENDED BY HB 1415,",2011,7,$0.00
18500,CORPORATION COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$23835.07
18500,CORPORATION COMMISSION,494,Surplus Property Fund,"TITLE 74, SECTION 62.5",2011,7,$0.00
18500,CORPORATION COMMISSION,495,Surplus Property Fund,"TITLE 74, SECTION 62.5",2011,7,$0.00
18500,CORPORATION COMMISSION,567,Corp Commission Gas Seep Fund,TITLE 52 SECITON 317.1,2011,7,$0.00
19000,COSMETOLOGY BOARD,200,Bd Of Cosmetology Rev Fund,"TITLE 59, SEC. 199.15",2011,7,$708610.33
19900,COURT OF CRIMINAL APPEALS,200,Revolving Fund,"TITLE 62, SECTION 34.56 & 34.9",2011,7,$269j.71
20400,J. M. DAVIS ARMS & HIST. MUSEUM,200,J M Davis Memorial Comm Fud,"TITLE 53, SEC. 201D",2011,7,$59634.32
21500,BOARD OF DENTISTRY,200,State Dental Fund,"TITLsE 59, SEC. 328.42",2011,7,$585258.02
21900,DISTRICT COURTS,235,Lengthy Trial Revolving Fund,"TITLE 28, SECTION 86",2011,7,$972812.37
21900,DISTRICT COURTS,443,Interagency Reimb Funtd,"TILE 74, SECTION 581",2011,7,$2036484.39
22000,DISTRICT ATTORNEYS COUNCIL,210,District Atty Council Rev.,"TrITLE 19, SEC. 215.28",2011,7,$3985543.69
22000,DISTRICT ATTORNEYS COUNCIL,225,District Atty Evidence Fd.,"TITLE 19, SEC. 25.40",2011,7,$76777.36
22000,DISTRICT ATTORNEYS COUNCIL,230,Crime Victims Comp Rev Fund,"TITLE 21, SEC. 142.17",2011,7,$5524041.69
22000,DISTRICT ATTORNEYS COUNCIL,240,exual Assault Exam Fund,"TITLE 21, SEC. 142.20",2011,7,$1805.82
22000,DISTRICT ATTORNEYS COUNCIL,250,Murrah Crime Victim Compen Fnd,"TITLE 21, SEC. 142.32",2011,7,$002
22000,DISTRICT ATTORNEYS COUNCIL,405,JAG Trust Fund,TITLE 62 SEC. 34.48 & 34.9,2011,7,$9524166.76
22000,DISTRICT ATTORNEYS COUNCIL,410,Federal Funds,"TITLE 19, SEC. 215.28 H3",2011,7,$110383.60
22000,DISTRICT ATTORNEYS COUNCIL,415,Federal Fund JRJ Grant Program,,2011,7,$4550.98
22000,DISTRICT ATTORNEYS COUNCIL,420,Federal Funds-Victims Of Crime,"TITLE 19, SECTIONh 215.28",2011,7,$1833.37
22000,DISTRICT ATTORNEYS COUNCIL,490,Americatn Recov. & Reinv. Act,***,2011,7,$3013.48
22000,DISTRICT ATTORNEYS COUNCIL,491,ARRA - JAG Program,j,2011,7,3881213.59
22000,DISTRICT ATTORNEYS COUNCIL,492,ARRA - VAWA Grant,,2011,7,$42852.37
23000,EAST CENTRAL UNIVERySITY,290,Educationa l& Gen Op Rev Fund,"TITLvE 70, SEC. 3901",2011,7,$12584832.82
23000,EASTC ENTRAL UNIVERSITY,295,Capitol Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$349272.06
23000,EAST CENTRAL UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1756390.23
23000,AST CENTRAL UNIVERSITY,470,Sutdent Fees Fund,"TITLE 70, SECTION 3510G",2011,7,$06.90
23000,EAST CENTRAL UNIVERSITlY,479,Capital Bond Projects,,2011,7,$0.00
23000,EAST CENTRAL UNIVERSITY,480,Student Housing Revenue Bond,"TITLE 70, SECTION 4006",2011,7,$372.56
23000,EAST CENTRAL UNIVERSITY,481,Fine Arts Center Revenue Bonds,"TITLE 70, SECTION 4002",2011,7,$21.97
23000,EAST CENTRAL UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
23000,EAST CENTRAL UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$920628.35
23000,EAST CENTRAL UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$205769.89
24000,EASTERN OKLA. TSATE COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1527394.69
24000,EASTERN OKLA. STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$321993.94
24000,EASTERN OKL. STATE COLLEGE,430,Agency Relaationship Fund,"TITLE 62, SEC. 41.8",2011,7,$952082.16
24000,EASTERN OKLA. STATE COLLEGE,475,Student Facilities Const. Fund,"TITLE 70, SEC. 4002.1",2011,7,$37723.96
24000,EASTERN OKLA. STATE COLLEGE,479,Capital Bond zProjects,,2011,7,$0.00
24000,EASTERNh OKLA. STATE COLLEGE,490,America Recov. & Reinv. Act,,2011,7,$0.00
24100,REDLANDS COMMUNITY COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$39060u1.64
24100,REDLANDS COMMUNITY COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$349239.64
24100,REDLANDS COMMUNITY COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$928.38
24100,REDLANDS COMMUNITY COLLEGE,450,Master Lease uPrchase Fund,"TITLE 70, SECTION 320.66",2011,7,$151329.56
24100,REDLANDS COMMUNITY OLLEGE,479,Capital Bond Projects,,2011,7,$0.00
24100,REDLANDS COMMUNITY COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,200,Transportation Revolving Fund,"TITLE 70, SEC. 9-110",2011,7,$6034.94
26500,DEPARMTENT OF EDUCATION,205,Schol Lunch Workshop Rev Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 14",2011,7,$7114.63
26500,DEPARTMENT OF EDUCATION,210,Ok Natl Bd Cert Revolving Fund,"TITLE 70, SEC. 6-204.4",2011,7,$20.83
26500,DEPARTMENT OF EDUCATION,220,Statistical Serv Rev Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 23",2011,7,$4368339.8
26500,DEPARTMENT OF EDUCATION,225,Grants And Donations Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 12",2011,7,$210044.64
26500,DEPARTMENT OF EyDUCATION,235,Drug Abuse Ed Rev Fund,"TITLE 63, SEC. 2-417",2011,7,$163772.78
26500,DEPARTMENT OF EDUCATION,240,Teachers'' Certification rFund,"TITLE 70, SEC. 3-104 PARAPGRAPH 6B",2011,7,$755255.90
26500,DEPARTMENT OF EDUCATION,245,Adult Education Rev Fund,"TILE 70, SEC. 3-110",2011,7,$198082.95
26500,DEPARTMENT OsF EDUCATION,250,Ok Early Intervention Rev Fund,"TITLE 70, SECTION 13-124.1",2011,7,$2520227.45
26500,DEPARTMENT OF EDUCATION,260,School Consolidation Assist Fu,"TITLE 70, SECTION7 -203",2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,270,Education Reform Revol. Fund,"TITE 70, SEC. 18-400",2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,275,Charter Schools Incentive Fund,"TITLE 70, SECTION 3-144",2011,7,$146260.00
26500,DEPARTMENT OF EDUCATINO,285,Income Tax Checkoff Revolv Fnd,"TITLE 68, SEC. 2368.5C",2011,7,$20398.00
26500,DEPARTMEN TOF EDUCATION,286,Ok Youth andGovt Revolving Fd,"TITLE 68, SEC. 2368.17C",2011,7,$2834.00
26500,DEPARTMENT OF EDUCATION,290,"OK Sch Psy, SLP & ANC evolvin",TITLE 70 SECTION 6-206.1,2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,340,CMIA Programs Disbursilng Fund,"TITLE 62, SEC 34.48,34.9",2011,7,$92230498.77
26500,DEPARTMENT OF EDUCATION,400,Common Sch Bldg Equal. uFnd,"ARTICLE X, SEC. 32",2011,7,$1836160.54
26500,DEPARTMENT OF EDUCATION,430,Agency Relationship Fund,"TITLE 62, SEC. 34.48,34.9",2011,7,$126641t.72
26500,DEPARTMENT OF EDUCATION,435,pSchool Lunch Div Fed Adm Fund,"TITLE 70, SECTION 3-104 PARA. 10 i& 11",2011,7,$1876022.00
26500,DEPARTMENT OF EDUCATION,440,Federpal Indian Educ Fund,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.0m0
26500,DEPARTMENT OF EDUCATION,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$331966.51
26500,DEPARTMENT OF EDUCATION,450,Federal Educational Programs,"TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 18-104",2011,7,$667381.31
26500,DEPARTMENT OF EDUCATION,490,ARRA,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$6996977.07
26600,OKLA. EDUC. TELEVISION AUTH.,200,Revolving Fund,"TITLE 62u, SEC. 156",2011,7,$348247.9j1
26600,OKLA. EDUC. TELEVISION AUTH.,400,Federal Funds,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
26900,OK. COMM. FOR TEACHER PREP.,205,Edu Leadership Okla Rev Fund,"TITLE 70, SEC. 6-204.3",2011,7,$1170027.18
26900,OK. COMM. FOR TEACHER PREP.,210,Donationks Fund,"TITLE 60, SEC. 383",2011,7,$33466.4c2
26900,OK. COMM. FOR TEACHER PREP.,215,Prof Development Inst Revol Fd,"TITLE 70, SEC. 6-204.5",2011,7,$1827882.26
26900,OK. COMM. FOR TEACHER PREP.,220,Teachers' Comp Exam Rev Fund,"TITLE 70, SEC. 6-191",2011,7,$298296.22
27000,STATE ELECTION BOARD,200,Revolving Fund,"TITLE 26, SEC. 3-107",2011,7,$536447.75
27000,STATE ELECTION BOARD,205,Election System Rev Fund,"TITLE 26b, SECTION 3-107.1",2011,7,$1501819.53
27000,STATE ELECTION BOARD,210,HAVA Special DepositoryF und,"TITLE 26, SEC 3-107.2",2011,7,$27184387.98
28500,OKLAHOMA FUNERAL BOADR,200,Funeral Dir & Embalmers Fd,"TITLE 59, SEC. 396.1C",2011,7,1$67500.06
29000,EMPLOYMENT SECURITY COMMISSION,200,Ok Emp Sec Comm Rev Fund,"TITLE 40, SEC. 4-901",2011,7,$3488306.86
29000,EMPLOYMENT SECURITY COMMISSION,225,Special Distributions,"TITEL 62, SECTION 34.9",2011,7,$150579.40
29000,EMPLOYMENT SECURITY COMMISSION,288,OESC Computer Fund,"TITLE 40, SEC. 6-101",2011,7,$0.00
29000,EMPLOYMENT SECURITY COMMISSION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.64",2011,7,$55187.59
29000,EMPLOYMENT SECURITY COMMISSION,400,Emplmt Security Admw Fund,"TITLE 40, SEC. 4-602",2011,7,$503733.86
29000,EMPLOYMENT SECURITY COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$216595.69
29200,DEPT. OF ENVIRONMENTAL QUALITY,200,Revolving Fund,"TITLE 27A,SECTION 2-3-401",2011,7,$4003277.20
29200,DEPT. OF ENVIRONMENTAL QUALITY,210,Environmental Education Rev.,"TITLE 47, SEC 1104.2()B",2011,7,$1658.56
29200,DEPT. OF ENVIRONMENTAL QUALITY,215,Environmental Trust Fund,"TITLE 27A, SEC. 2-3-403",2011,7,0.53
29200,DEPT. OF ENVIRONMENTAL QUALITY,220,Hazardous Waste Fund,"TITLE 7A, SEC. 2-7-304",2011,7,$10615.84
29200,DEPT. OF ENVIRONMENTAL QUALITY,225,Certification Fund,"TITLE 59, SEC 1113",2011,7,$102711.86
29200,DEPT. OF ENVIRNMENTAL QUALITY,400,Federal Funds,"TITLE 62, SECTION 41.8",2011,7,$1669688.37
29200,DEPT. OF ENVIRONMENTAL QUALITY,490,American Recov. & Reinv. Act,,2011,7,$685891.97
29600,ETHICS COMMISSION,200,"Ok Coun Campaign, Eth Rev Fund","REPEALED BY LAWS 1995, HB 1608, C. 343, § 43, EMERG. EFF. JULY , 1995",2011,7,$46466.27
29600,ETHICS COMMISSION,205,Donations Fund,"TITLE 60, SECTION 385",2011,7,$0.00
29800,MERIT PROTECTION COMMISSION,200,Ok Merit Pro Comm Rev Fund,"TITLE 74, SEC. 840-1.21",2011,7,$544.29
30000,STATE AUDITOR AND INSPECTOR,200,St Auditor & Inspect Rev Fund,"TITLE 74, SEC. 227.9",2011,7,$657656.96
30000,STATE AUDITOR AND fINSPECTOR,215,Ok St Pension Comm Rev Fund,"TITLE 74, SEC. 943",2011,7,$0.00
30000,SzTATE AUDITOR AND INSPECTOR,225,Rural Econ Action Plan RevF d,"TITLE 62, SEC. 2001",2011,7,$0.00
30000,STATE AUDITOR AND INSPECTOR,490,Armerican Recov. & Reinv. Act,,2011,7,$0.00
30500,GOVERNOR,225,Grants & Donations Fund,"TITLE 60, SEC. 383",2011,7,$.000
30500,GOVERNOR,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$258241.29
30600,PARDON AND PAROLE BOARD,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
