514.statutory_reference,"SB 141,v SECTION 3E","SB 141, SECTION 3E"
251.statutory_reference,"TITLE 62, SEC. 7.n5","TITLE 62, SEC. 7.5"
808.statutory_reference,"TITLE 70, oSEC. 3901","TITLE 70, SEC. 3901"
309.agency_name,DEPARTMENT OF COMMERfCE,DEPARTMENT OF COMMERCE
386.total_amount,$163772.78,$163772.87
178.class_description,OCIA 005 F Bond Sinking Fund,OCIA 2005 F Bond Sinking Fund
427.statutory_reference,"REPEALED BY LAWS 1995, HB 1608, C. 343, § 43, EMERG. EFF. JULY , 1995","REPEALED BY LAWS 1995, HB 1608, C. 343, § 43, EMERG. EFF. JULY 1, 1995"
362.agency_name,AST CENTRAL UNIVERSITY,EAST CENTRAL UNIVERSITY
1058.statutory_reference,"TITLE 82, SEC. 085.7","TITLE 82, SEC. 1085.7"
16.statutory_reference,"ITLE 70, SEC. 3904","TITLE 70, SEC. 3904"
342.total_amount,$269j.71,$269.71
37.total_amount,$000,$0.00
317.statutory_reference,, 
58.statutory_reference,, 
1012.statutory_reference,"TITLE 62, SEC.w 34.9 & 34.48","TITLE 62, SEC. 34.9 & 34.48"
322.statutory_reference,"TITLE 59, SECTION 185013 AS AMENDED BY SB 1211","TITLE 59, SECTION 1850.13 AS AMENDED BY SB 1211"
17.agency_name,OKLAHOMvA STATE UNIVERSITY,OKLAHOMA STATE UNIVERSITY
630.total_amount,$6963512.96,$6936512.96
661.class_description,Agency Relationship Fud,Agency Relationship Fund
1032.total_amount,$4688547.06,$46885472.06
301.statutory_reference,"TITLE 62, SECTIONS 34.48 & 3.49","TITLE 62, SECTIONS 34.48 & 34.9"
881.agency_name,SPREME COURT,SUPREME COURT
604.class_description,Fed Grt Librarians 21stCentur,Fed Grt Librarians 21st Centur
537.agency_name,OKLA. HORSE RACING COM.,OKLA. HORSE RACING COMM.
700.total_amount,$4144333.6,$414433.36
974.total_amount,n$0.00,$0.00
663.class_description,OCIA tSate Facilities Rev Bond,OCIA State Facilities Rev Bond
761.agency_name,STATE BOND ADVIhSOR,STATE BOND ADVISOR
308.class_description,Interagency Reimbursement Fud,Interagency Reimbursement Fund
553.total_amount,$38939231,$389392.31
1040.agency_name,DEPRTMENT OF HUMAN SERVICES,DEPARTMENT OF HUMAN SERVICES
78.class_description,Sales Fund - Suryplus Property,Sales Fund - Surplus Property
475.statutory_reference,***, 
755.agency_name,DEPxARTMENT OF CENTRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
949.statutory_reference,"TITLE 0, SEC. 4001","TITLE 70, SEC. 4001"
1029.class_description,Choose Lif Assistance Program,Choose Life Assistance Program
407.class_description,Donationks Fund,Donations Fund
81.total_amount,$204164142,$2041641.42
949.total_amount,$8891078.81,$88910785.81
570.agency_name,DEPARTMENT OF sLABOR,DEPARTMENT OF LABOR
895.class_description,Rvolving Fund,Revolving Fund
500.statutory_reference,"TITE 62, SECTIONS 34.9 AND 34.48","TITLE 62, SECTIONS 34.9 AND 34.48"
610.statutory_reference,"TTILE 52, CH 8, SEC 420.11","TITLE 52, CH 8, SEC 420.11"
624.statutory_reference,"TITLE 62, SECTIONS 34.48 ADN 34.9","TITLE 62, SECTIONS 34.48 AND 34.9"
706.total_amount,$546j04.01,$54604.01
1031.statutory_reference,o , 
259.statutory_reference,"TILE 70, SEC. 3904","TITLE 70, SEC. 3904"
115.statutory_reference,"TITLE 74, SECuTION 19.1","TITLE 74, SECTION 19.1"
937.agency_name,TULSA COMMUNITY COLEGE,TULSA COMMUNITY COLLEGE
9.statutory_reference,, 
589.total_amount,$c0.00,$0.00
374.agency_name,EASTERNh OKLA. STATE COLLEGE,EASTERN OKLA. STATE COLLEGE
413.total_amount,1$67500.06,$167500.06
940.agency_name,TULSA COMMUNIYT COLLEGE,TULSA COMMUNITY COLLEGE
253.agency_name,UNIV. OF ENTRAL OKLA.,UNIV. OF CENTRAL OKLA.
31.class_description,Capitaxl Improvements Rev Fund,Capital Improvements Rev Fund
311.class_description,Military Bas ePro & Exp Bond F,Military Base Pro & Exp Bond F
1067.statutory_reference,"TITLE 82, SEC. 185.84A","TITLE 82, SEC. 1085.84A"
845.total_amount,$169044.535,$1690445.35
680.agency_name,NORTHWESTERN OKLA. SATE UNIVERSITY,NORTHWESTERN OKLA. STATE UNIVERSITY
876.total_amount,$1186157s.04,$1186157.04
128.total_amount,$9169901.32,$9619901.32
394.agency_name,DEPARTMEN TOF EDUCATION,DEPARTMENT OF EDUCATION
144.statutory_reference,"ARTICLE X, SECTION 0","ARTICLE X, SECTION 40"
664.agency_name,NORTHEASTERN STATE UNIVERSITdY,NORTHEASTERN STATE UNIVERSITY
992.statutory_reference,"TzITLE 74, SECTION 166.7","TITLE 74, SECTION 166.7"
496.class_description,OK Ins Disaster & Emer Med ev,OK Ins Disaster & Emer Med Rev
119.agency_name,ATTRNEY GENERAL,ATTORNEY GENERAL
150.statutory_reference,"TITLzE 73, SECTION 301","TITLE 73, SECTION 301"
1053.total_amount,$01309.00,$10309.00
106.agency_name,INDIGENT DEFENSE SYSTfEM,INDIGENT DEFENSE SYSTEM
457.class_description,Firefigthters Pens & Ret Fund,Firefighters Pens & Ret Fund
375.total_amount,$39060u1.64,$390601.64
721.total_amount,$.00,$0.00
845.class_description,OK Con omm Infrastructure Rev,OK Con Comm Infrastructure Rev
360.agency_name,EASTC ENTRAL UNIVERSITY,EAST CENTRAL UNIVERSITY
1058.total_amount,$45743.481,$457434.81
528.total_amount,$8593.52,$86593.52
977.statutory_reference,"TITLE 74, SECTION 1104.7","TITLE 47, SECTION 1104.7"
1009.statutory_reference,"TITLE 63, CH 1, ARrTICLE 5, SEC 1-559","TITLE 63, CH 1, ARTICLE 5, SEC 1-559"
783.agency_name,REGENTS FOR HIGHRE EDUCATION,REGENTS FOR HIGHER EDUCATION
438.class_description,Oil uSetlmt Fund-Stripper Well,Oil Setlmt Fund-Stripper Well
31.total_amount,795950.26,$795950.26
210.total_amount,$1876.88***,$1876.88
390.statutory_reference,"TITLE 70, SECTION7 -203","TITLE 70, SECTION 7-203"
834.statutory_reference,"TITLE 59, SEC .2091","TITLE 59, SEC. 2091"
185.class_description,Native Amer Cqultural & Educ Au,Native Amer Cultural & Educ Au
400.total_amount,$0.0m0,$0.00
396.class_description,CMIA Programs Disbursilng Fund,CMIA Programs Disbursing Fund
116.statutory_reference,"TITLE 68, SECTION 268.12","TITLE 68, SECTION 2368.12"
76.statutory_reference,"TITLE 74, SEC. 62.5 e (LAPSES JUNE 30)","TITLE 74, SEC. 62.5  (LAPSES JUNE 30)"
152.agency_name,CAMERON UNIERSITY,CAMERON UNIVERSITY
607.statutory_reference,"ITLE 3A, CH 7, SEC 719","TITLE 3A, CH 7, SEC 719"
609.statutory_reference,"O.S .52, SEC 420.29","O.S. 52, SEC 420.29"
389.agency_name,DEPARTMENT OsF EDUCATION,DEPARTMENT OF EDUCATION
371.class_description,Agency Relaationship Fund,Agency Relationship Fund
444.class_description,Federal bGrant Funds,Federal Grant Funds
124.class_description,OK Arts Council Ars Ed Rev Fu,OK Arts Council Arts Ed Rev Fu
460.statutory_reference,"lTITLE 29, SEC. 4-132","TITLE 29, SEC. 4-132"
588.class_description,Stadium Revenue Bon dFund,Stadium Revenue Bond Fund
950.statutory_reference,***, 
170.total_amount,4495.39,$4495.39
746.class_description,AltFuels Technician Cert.,Alt Fuels Technician Cert.
136.agency_name,OFFICE OF STATE FINACNE,OFFICE OF STATE FINANCE
770.class_description,DPS Restricted Revolvnig Fund,DPS Restricted Revolving Fund
431.agency_name,STATE AUDITOR AND fINSPECTOR,STATE AUDITOR AND INSPECTOR
382.class_description,Schol Lunch Workshop Rev Fund,School Lunch Workshop Rev Fund
970.statutory_reference,k , 
835.total_amount,$96395.6z9,$96395.69
822.agency_name,DEPARTMENT OF SkECURITIES,DEPARTMENT OF SECURITIES
487.agency_name,SATE DEPARTMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
511.agency_name,DEPARTMENT OF TRANSOPRTATION,DEPARTMENT OF TRANSPORTATION
936.class_description,Agency Relationship und,Agency Relationship Fund
65.statutory_reference,"TITLE 62d, SEC. 41.8","TITLE 62, SEC. 41.8"
109.total_amount,$00.0,$0.00
348.statutory_reference,"TITLE 19, SEC. 25.40","TITLE 19, SEC. 215.40"
271.class_description,Federal Funds-Tite 1,Federal Funds-Title 1
945.agency_name,UNIERSITY OF OKLAHOMA,UNIVERSITY OF OKLAHOMA
991.agency_name,DEPARTMENT OF REHABIdLITATION SERVICES,DEPARTMENT OF REHABILITATION SERVICES
970.agency_name,OSU-COLLEGE OF OSTEOPATHIC ME.D,OSU-COLLEGE OF OSTEOPATHIC MED.
705.agency_name,ROSE STATE CLEGE,ROSE STATE COLEGE
118.total_amount,$4348268.1,$434826.81
688.class_description,Public Empl Retiremt Rev Fudn,Public Empl Retiremt Rev Fund
925.total_amount,45108.97,$45108.97
923.class_description,St Ok Inst Bldg Bodns 65 Fund,St Ok Inst Bldg Bonds 65 Fund
735.class_description,St Surplus Prop aRev Fund,St Surplus Prop Rev Fund
1065.agency_name,WATER RESOURCES BORAD,WATER RESOURCES BOARD
512.agency_name,DEPARTMElNT OF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
538.class_description,Breeding DevelopmentA dministr,Breeding Development Administr
531.agency_name,gHISTORICAL SOCIETY,HISTORICAL SOCIETY
26.total_amount,$1057687.80,$12057687.80
1021.total_amount,$662.05,$662.50
357.statutory_reference,j , 
269.agency_name,DEPARTMENT OFk CORRECTIONS,DEPARTMENT OF CORRECTIONS
629.class_description,American Recov. & Reinv .Act,American Recov. & Reinv. Act
791.class_description,Master Lenase Purchase Fund,Master Lease Purchase Fund
107.class_description,ontract Retention Rev Fund,Contract Retention Rev Fund
1033.statutory_reference,, 
10.class_description,Rev fBond Funds '85 Cap Imprvmt,Rev Bond Funds '85 Cap Imprvmt
407.total_amount,$33466.4c2,$33466.42
716.statutory_reference,"TITbLE 68, SEC. 50014","TITLE 68, SEC. 50014"
344.statutory_reference,"TITLsE 59, SEC. 328.42","TITLE 59, SEC. 328.42"
4.agency_name,OKLAHOMA STTE UNIVERSITY,OKLAHOMA STATE UNIVERSITY
694.total_amount,$164714.34,$164714.43
811.agency_name,SEMINOLE STAT ECOLLEGE,SEMINOLE STATE COLLEGE
620.statutory_reference,"TITLE 43A, SE.C 2-311","TITLE 43A, SEC. 2-311"
840.statutory_reference,"TITL E82, SECTION 1501-205.4","TITLE 82, SECTION 1501-205.4"
693.statutory_reference,"TIwTLE 62, SEC. 155","TITLE 62, SEC. 155"
114.total_amount,$655641.47,$565641.47
12.total_amount,0.09,$0.09
240.total_amount,$.000,$0.00
265.total_amount,$0.00***,$0.00
896.agency_name,TEACHERS RTEIREMENT SYSTEM,TEACHERS RETIREMENT SYSTEM
568.class_description,Safety Standards Revolvin Fun,Safety Standards Revolving Fun
622.statutory_reference,***, 
967.class_description,Capital Imprvements Rev Fund,Capital Improvements Rev Fund
1039.total_amount,$y0.00,$0.00
1059.agency_name,ATER RESOURCES BOARD,WATER RESOURCES BOARD
89.agency_name,DEPARTMENT OF AGRICULTRE,DEPARTMENT OF AGRICULTURE
230.class_description,OT Hiways&Bridges Sink 2010B,DOT Hiways&Bridges Sink 2010B
46.statutory_reference,, 
852.statutory_reference,"TITLE 72,a SEC. 63.16","TITLE 72, SEC. 63.16"
366.statutory_reference,, 
673.total_amount,$18745.29,$18745.92
60.total_amount,q$10499.06,$10499.06
287.statutory_reference,"TITLE l70, SEC. 3904","TITLE 70, SEC. 3904"
490.class_description,EMP Death Benefit Revolv tFund,EMP Death Benefit Revolv Fund
566.statutory_reference,"TITLE 40, SECTpION 141.19","TITLE 40, SECTION 141.19"
378.class_description,Master Lease uPrchase Fund,Master Lease Purchase Fund
56.statutory_reference,***, 
58.total_amount,$48112.38,$248112.38
72.class_description,Seize And Forfeited Property,Seized And Forfeited Property
1020.statutory_reference,"TITLE 62, SEC. 34.h9","TITLE 62, SEC. 34.9"
102.statutory_reference,***, 
623.statutory_reference,"TITLE 62, SECTIxON 50","TITLE 62, SECTION 50"
984.statutory_reference,"TITLE 62, SE. 34.9","TITLE 62, SEC. 34.9"
293.statutory_reference,"TTILE 74, SECTION 5013.1","TITLE 74, SECTION 5013.1"
506.statutory_reference,"TITEL 59, SECTION 2058","TITLE 59, SECTION 2058"
118.agency_name,ATTORNEY GENERL,ATTORNEY GENERAL
302.total_amount,$7840p3.07,$78403.07
957.class_description,Educ & Gen Oper Reovlv Fund,Educ & Gen Oper Revolv Fund
425.agency_name,DEPT. OF ENVIRNMENTAL QUALITY,DEPT. OF ENVIRONMENTAL QUALITY
992.total_amount,$97w0.00,$970.00
729.class_description,Scenic Rivrs Comm Rev Fund,Scenic Rivers Comm Rev Fund
207.statutory_reference,"TITLE 62, SECTIO N34.48","TITLE 62, SECTION 34.48"
423.total_amount,$10615.84,$106153.84
523.class_description,American Recov. & Reinv. cAt,American Recov. & Reinv. Act
559.total_amount,$g0.00,$0.00
900.agency_name,STATEx TREASURER,STATE TREASURER
322.agency_name,CONSTRUCTION INlDUSTRIES BOARD,CONSTRUCTION INDUSTRIES BOARD
535.total_amount,$267o183.66,$267183.66
199.statutory_reference,"TITLE 73, SECTION 01","TITLE 73, SECTION 301"
562.statutory_reference,"TITLE 62, SECTIO 34.48 & 34.9","TITLE 62, SECTION 34.48 & 34.9"
20.total_amount,379622.86,$379622.86
510.agency_name,DEPATMENT OF TRANSPORTATION,DEPARTMENT OF TRANSPORTATION
27.class_description,AgencyR elationship Fund,Agency Relationship Fund
1043.class_description,Juvenle Justice Disburs Fund,Juvenile Justice Disburs Fund
363.agency_name,EAST CENTRAL UNIVERSITlY,EAST CENTRAL UNIVERSITY
878.class_description,Mccarty Ctr Handicapped Fud,Mccarty Ctr Handicapped Fund
828.statutory_reference,"TITLE 62, SECTION 7.5 AND TITLE 70, ESCTION 4001","TITLE 62, SECTION 7.5 AND TITLE 70, SECTION 4001"
958.class_description,Comp Univ Cvapital Projects Rev,Comp Univ Capital Projects Rev
535.class_description,Atr in Public Places Administr,Art in Public Places Administr
494.agency_name,STATE DEPATRMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
792.class_description,Higher Leanring Access Trust,Higher Learning Access Trust
323.statutory_reference,***, 
917.statutory_reference,"TITLE 173, SECTION 11","TITLE 173, SECTION 161"
78.agency_name,ALCOHOLIC BEV. LAWS ENFORCwE.,ALCOHOLIC BEV. LAWS ENFORCE.
904.agency_name,STATE TREASUREzR,STATE TREASURER
35.total_amount,$0.00***,$0.00
227.total_amount,$0.00***,$0.00
947.total_amount,$21149686.3,$21149686.13
27.total_amount,$174912.13,$714912.13
1047.total_amount,0.00,$0.00
934.statutory_reference,"TITLE 70, SEC. b3901","TITLE 70, SEC. 3901"
869.total_amount,$50r8897.12,$508897.12
748.agency_name,DEPARTMENT OF CxENTRAL SERVICES,DEPARTMENT OF CENTRAL SERVICES
397.class_description,Common Sch Bldg Equal. uFnd,Common Sch Bldg Equal. Fund
193.statutory_reference,"TITLE 62, 34.84, 34.9","TITLE 62, 34.48, 34.9"
677.statutory_reference,"TITLE 70,SEC. 3904","TITLE 70, SEC. 3904"
740.class_description,Oklahoma Print hop Fund,Oklahoma Print Shop Fund
482.statutory_reference,"TITLE 63, SETION 1-2530.9","TITLE 63, SECTION 1-2530.9"
1027.total_amount,$917775.52,$197775.52
240.statutory_reference,"TITLE 73, SEC. 177.1 ;HB 1880 SEC.1","TITLE 73, SEC. 177.1; HB 1880 SEC.1"
961.agency_name,UNIV. OF OKLA .HEALTH SCIENCE CENTER,UNIV. OF OKLA. HEALTH SCIENCE CENTER
249.agency_name,UNIV. OF CETRAL OKLA.,UNIV. OF CENTRAL OKLA.
423.statutory_reference,"TITLE 7A, SEC. 2-7-304","TITLE 27A, SEC. 2-7-304"
307.statutory_reference,"TITLiE 62, SEC. 7.5","TITLE 62, SEC. 7.5"
239.total_amount,$0q.00,$0.00
1001.class_description,FY11 Surplus Property Fudn,FY11 Surplus Property Fund
818.agency_name,CNTR. FOR ADVANC. jOF SCIENCE/TECHNOLOGY,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLOGY
1016.class_description,Univ Hosp Ahuth Mktg Revolving,Univ Hosp Auth Mktg Revolving
692.total_amount,$261418.0,$261418.40
78.total_amount,$0.0,$0.00
792.total_amount,$1424308.31,$14243083.31
104.class_description,Anatomicalp Board Fund,Anatomical Board Fund
979.class_description,Agency Relatinoship Fund-Fed,Agency Relationship Fund-Fed
549.statutory_reference,"TITLE 36, SEC. 435.23","TITLE 36, SEC. 1435.23"
855.class_description,Otk Dept Veterans Affairs Fund,Ok Dept Veterans Affairs Fund
862.total_amount,$0.0,$0.00
133.class_description,Revolving tFund,Revolving Fund
1074.statutory_reference,"TITLEv 53, SEC. 47.4A","TITLE 53, SEC. 47.4A"
583.agency_name,LANGSTON UNIVERITY,LANGSTON UNIVERSITY
126.class_description,Interagency Reimbursement jFund,Interagency Reimbursement Fund
1059.statutory_reference,"TITLE 82,C H 11, SEC 1020.16","TITLE 82, CH 11, SEC 1020.16"
33.class_description,Capital Bond dProjects,Capital Bond Projects
930.total_amount,$24418837,$244188.37
641.class_description,Auxiliary Travel & Payrll,Auxiliary Travel & Payroll
378.statutory_reference,"TITLE 70, SECTION 320.66","TITLE 70, SECTION 3206.6"
611.total_amount,$669499j.65,$669499.65
809.total_amount,1$84415.12,$184415.12
739.class_description,Stat Use Committee Revolving,State Use Committee Revolving
224.agency_name,CAjPITOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
975.class_description,State Vocatioanl-Tech Fund,State Vocational-Tech Fund
220.statutory_reference,***, 
542.statutory_reference,"TILE 62, SEC 34.48, 34.9","TITLE 62, SEC 34.48, 34.9"
511.class_description,County Road Mach & Equip Fuqnd,County Road Mach & Equip Fund
628.total_amount,3$83198.48,$383198.48
450.class_description,St Emerg Fund: Disatser Match,St Emerg Fund: Disaster Match
884.statutory_reference,TITpLE 12 SEC. 921.1 (H),TITLE 12 SEC. 921.1 (H)
612.total_amount,$8424.15,$84024.15
340.statutory_reference,TITLE 52 SECITON 317.1,TITLE 52 SECTION 317.1
642.total_amount,$.10,$0.10
819.total_amount,$10676062.60,$10676026.60
802.agency_name,PHYSICIAN ANPOWER TRNG. COMM.,PHYSICIAN MANPOWER TRNG. COMM.
968.agency_name,OSU-COLLEGE OF OSTEOPATHIC MD.,OSU-COLLEGE OF OSTEOPATHIC MED.
119.statutory_reference,"TITLE 62, SEC. 34.48 & 349.","TITLE 62, SEC. 34.48 & 34.9"
675.statutory_reference,x , 
897.statutory_reference,"TITEL 62, SEC. 89.5","TITLE 62, SEC. 89.5"
632.statutory_reference,"TTILE 62, SEC. 41.8","TITLE 62, SEC. 41.8"
545.agency_name,WORKERS CMOPENSATION COURT,WORKERS COMPENSATION COURT
486.agency_name,STATE DEPATRMENT OF HEALTH,STATE DEPARTMENT OF HEALTH
57.class_description,Accountancy und,Accountancy Fund
968.class_description,Agnecy Relationship Fund,Agency Relationship Fund
505.class_description,Fderal Funds,Federal Funds
343.class_description,J M Davis Memorial Comm Fud,J M Davis Memorial Comm Fund
452.statutory_reference,"ITLE 63, SEC. 683.17","TITLE 63, SEC. 683.17"
917.class_description,OCIA Fc Rev Bnd Snk Fnd 2005D,OCIA Fac Rev Bnd Snk Fnd 2005D
200.agency_name,CAPITOL IMPROVEMENT AUTHORIfTY,CAPITOL IMPROVEMENT AUTHORITY
884.agency_name,SUPREME COjURT,SUPREME COURT
314.agency_name,CONNORS STATE COLLEE,CONNORS STATE COLLEGE
81.statutory_reference,"TITLE 2, SEC.3-50.10","TITLE 2, SEC. 3-50.10"
277.agency_name,UNIV.OF SCIENCE& ARTS OF OK,UNIV.OF SCIENCE & ARTS OF OK
578.total_amount,k$0.00,$0.00
862.agency_name,S. E. OKLA. ST.j UNIV.,S. E. OKLA. ST. UNIV.
715.class_description,Ok Tourism & Recreatin Fund,Ok Tourism & Recreation Fund
1046.statutory_reference,TITLE 62 SECTION 34.9,"TITLE 62, SECTION 34.9"
147.agency_name,CAMdERON UNIVERSITY,CAMERON UNIVERSITY
199.class_description,OCIA 1999 Revenue BondSeries,OCIA 1999 Revenue Bond Series
1010.total_amount,0.00,$0.00
15.class_description,Federal Constructio nFund,Federal Construction Fund
767.statutory_reference,TITLE 63 mSECTION 4236,TITLE 63 SECTION 4236
1045.agency_name,DEPARTfMENT OF HUMAN SERVICES,DEPARTMENT OF HUMAN SERVICES
205.statutory_reference,"ITTLE 73, SECTION 168.7","TITLE 73, SECTION 168.7"
226.agency_name,CAPIcTOL IMPROVEMENT AUTHORITY,CAPITOL IMPROVEMENT AUTHORITY
120.statutory_reference,"TITLE w62, SECTION 34.9","TITLE 62, SECTION 34.9"
230.agency_name,CAPITOL IMPROVEMENT AUHORITY,CAPITOL IMPROVEMENT AUTHORITY
912.class_description,OCIA Fac Rev Bnd Snk nd 2003D,OCIA Fac Rev Bnd Snk Fnd 2003D
