OBJECTID,FISH_TYPE,MGMT_AREA,COMMENT,STREAM_NO,STREAM,LAKE_NO,LAKE,SHAPE_Length,SHAPE_Area
209,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,2314.45419436796,46526.0451259772
210,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1530.69869147759,77556.3768442196
211,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7359.84893764485,525597.755032927
212,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1995.28438376491,228287.078752499
213,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,2891.37596471205,189796.396112624
214,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,2067.92074187534,60449.6010596357
215,Trout,Trophy Trout Stream,"Entire river in Colchester, East Haddam and East Hampton",1500,Salmon River,0, ,1241.72655074721,55122.4745287392
216,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,735.566864106451,29965.0250202143
217,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3772.45100585312,206527.608661586
218,Trout,Trout Park,Horse Pond,0, ,1289,Horse Pond,3147.37248962698,532803.474728065
219,Trout,Trophy Trout Lake,Lake Candlewood,0, ,1490,Lake Candlewood,37964.0787701801,21705675.2948044
220,Trout,Trout Park,Within Southford Falls State Park,546,Eightmile Brook,2157,Papermill Pond,2745.03967127815,104233.701948891
221,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,1362.26494681107,41644.1879913464
222,Trout,Wild Trout Management Area (Class 3),Entire stream in Montville,1684,Stony Brook,1374,Johnson Pond,1655.25987541525,63116.2999460234
223,Trout,Wild Trout Management Area (Class 3),Entire stream in Montville,1684,Stony Brook,0, ,245.813885759136,2893.67170164952
224,Trout,Wild Trout Management Area (Class 3),Entire stream in North Stonington,1573,Shunock River,1610,Lewis Pond,2998.26373719575,186128.427958523
225,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,13327.0849332501,578073.329253515
226,Trout,Wild Trout Management Area (Class 3),Entire stream in North Stonington,1573,Shunock River,2426,River Pond,8696.97049395357,241972.828307263
227,Trout,Wild Trout Management Area (Class 3),Entire stream in North Stonington,1573,Shunock River,2423,Ripley Parks Pond,1485.06505156134,94588.7270724025
228,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6796.50102375673,536485.919532253
229,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,491,Chapman Pond,8295.56174005849,2030494.51835595
230,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2781.40321286345,197958.920319212
231,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1506.55615036057,84268.1821829099
232,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,605.435116998641,25691.8427698813
233,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,10268.0533080609,982408.497565918
234,Trout,Wild Trout Management Area (Class 3),Entire stream in North Stonington,1573,Shunock River,0, ,10551.5981542763,324082.889742639
235,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2023.13594761153,41451.0399048265
236,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,8107.83480682439,1960526.96768017
237,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,25872.3807582194,1355726.19385682
238,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1887.38859753053,138992.073317568
239,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3767.25820292971,107779.484668206
240,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2077.34536302428,243050.127033675
241,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,20258.7243623221,1101890.42658549
242,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,3291.35723507789,64937.6666487804
243,Trout,Trout Park,Allen Brook Pond,10,Allen Brook,24,Allen Brook Pond,2759.47169114515,208481.98062135
244,Trout,Trout Park,Within Sleeping Giant State Park,1098,Mill River,83,Axle Shop Pond,3073.5954965432,73885.4566790953
245,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,1303.44406605539,72854.7994057802
246,Trout,Sea Run Trout Stream,Entire river in E. Haddam/Lyme upstream of Joshuatown Rd.,549,Eightmile River,0, ,28921.5872324605,994156.870629143
247,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3232.17554181728,146417.93072969
248,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9667.52691563569,697232.618352701
249,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3148.98063418771,160068.708788721
250,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,855.722786957013,45229.0702723464
251,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,0, ,1314.28878161193,65320.5268823607
252,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1767.60629332784,72935.5654170843
253,Bass,Bass Management Lake,Lake Chamberlain,1513,Sargent River,1492,Lake Chamberlain,12531.8772063631,4229388.06481658
254,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,892.363831412614,58320.5823331171
255,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1064.89476604735,68483.6753257348
256,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4499.04454067908,358949.340718764
257,Trout,Bladens Brook Trout Management Area,Access to this area only by permission of Seymour Land Conservation Trust.,156,Bladens River,0, ,750.640845368266,23039.9270528589
258,Trout,Trophy Trout Lake,Quonnipaug Lake,1708,Sucker Brook,2346,Quonnipaug Lake,18247.3190083704,4186181.69042807
259,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,879,Farm River Pond,934.212532762947,21916.6748923266
260,Trout,Trophy Trout Stream,From the confluence of the East and West Branches to the Kinneytown Dam (Seymour).,1182,Naugatuck River,0, ,25220.8479115345,2650731.34263528
261,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1047.33259115271,59599.2456918662
262,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,10397.4484483792,464979.700720579
263,Bass,Bass Management Lake,Lake Kenosia,1673,Still River,1509,Lake Kenosia,1497.33361107524,27882.2474763905
264,Bass,Bass Management Lake,Lake Kenosia,1673,Still River,1509,Lake Kenosia,7555.86426103366,2444215.86040649
265,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4152.75141706711,292121.045606141
266,Bass and Walleye,Bass / Walleye Management Lake,Lake Housatonic,823,Housatonic River,1508,Lake Housatonic,66189.3366080976,14644018.1227797
267,Bass,Bass Management Lake,Pattagansett Lake,1278,Pattagansett River,2184,Pattagansett Lake,19706.1254350222,5475537.34575025
268,Trout,Trout Park,In Chatfield Hollow State Park.,312,Chatfield Hollow Brook,2098,Old Mill Pond,564.183503150553,14885.4487991101
269,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6529.15221035821,886556.192594221
270,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,425.621741168629,10438.4160877496
271,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1268.80413822097,38132.4122772256
272,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,1244,Oil Mill Brook,0, ,497.123993314697,12364.5274358872
273,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,11218.260870148,905904.612080225
274,Trout,Sea Run Trout Stream,Downstream of I-95 bridge,957,Latimer Brook,0, ,898.63519684825,34618.085803809
275,Trout,Trout Park,In Chatfield Hollow State Park.,312,Chatfield Hollow Brook,2544,Schreeder Pond,2715.88906828014,171582.929986648
276,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,32275.2445719936,4848293.83851928
277,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2762.7574786681,375276.080103489
278,Trout,Trophy Trout Lake,Rogers Lake,674,Grassy Hill Brook,2453,Rogers Lake,31984.5053904528,11994890.4348167
279,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2263.33763960456,107252.828350741
280,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2265.4067138012,363555.622833497
281,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1527.35151385519,55550.5051898307
282,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,569.615624732225,14971.3797570487
283,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1524.22107186602,102718.06525777
284,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5559.53967888405,753644.313038539
285,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2185.41759131107,164914.940646262
286,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2336.1941836962,193232.510206113
287,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3681.84739326116,425223.567808826
288,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6465.71505612211,1139685.59321999
289,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1999.75680417285,89576.2425808267
290,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1778.00142164958,76578.1556403515
291,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,902.570591166512,57381.945166014
292,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7059.08690224357,443863.002314845
293,Trout,Trout Management Area,From Lake Hammonasset Dam to Chestnut Hill Rd.,735,Hammonasset River,0, ,370.513090892504,7106.20587813336
294,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,861.91994023859,47150.3804082773
295,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2447.1982688754,249586.873793135
296,Trout,Trout Management Area,From Lake Hammonasset Dam to Chestnut Hill Rd.,735,Hammonasset River,0, ,607.789105168332,12641.7252130409
297,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,844.124936845544,27988.5092924429
298,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2741.81329073518,250819.751840585
299,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1480.07832402594,113393.989468702
300,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,9663.23125125953,968102.312685065
301,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4165.45857399544,356302.573541729
302,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1047.00589650372,43379.8576283951
303,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,23428.3115578998,8624730.51791571
304,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2797.00359133809,209977.029718243
305,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,912.273036982441,48386.310103681
306,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4159.76764396274,791445.319590992
307,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2822.65242445348,211245.929414945
308,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,279.096420196014,4241.31497326852
309,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4066.20380714188,228889.720504903
310,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7154.98926511233,1473257.22278394
311,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,12833.6177958192,3368561.06423778
312,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,10927.6960774947,629400.676810712
313,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,953.904642199706,47030.2623172147
314,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1261.35283456036,26777.3499442537
315,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,0, ,4244.81043030319,72330.7144965966
316,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1770.03308373299,132262.949415499
317,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1316.76480937481,96907.0874070709
318,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6833.15674377688,294903.12737883
319,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2397.23985702454,71342.5232625147
320,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,2141,Pages Millpond,2812.04196690256,186670.871908163
321,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3771.05442634772,165920.654295026
322,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1316.65816825563,95666.6548559384
323,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4198.77314544638,471509.422943944
324,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1498.22589011907,100903.991939511
325,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1782.16618339909,146172.150248528
326,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3116.97856230104,352277.473892866
327,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7323.76522343633,2225712.13755989
328,Bass and Walleye,Bass / Walleye Management Lake,Lake Housatonic,823,Housatonic River,1508,Lake Housatonic,4513.34645348283,440292.316244532
329,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,982.742241431197,28948.7652022152
330,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2313.50990979173,132022.787349524
331,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1994.69342095505,113101.241150181
332,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,0, ,1198.43562580593,22517.3522232005
333,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1938.40891573656,135073.375053862
334,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1533.45502795844,79574.1333273605
335,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2037.48639544677,196500.934806402
336,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3996.74635829055,699826.314610691
337,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,450.843077874726,13262.7825374144
338,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,11020.7632743022,819461.874264334
339,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,367.490365751989,7294.39835726377
340,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,343.94098029571,5889.1181759059
341,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,744.921766122199,36432.6101338048
342,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7445.57723806843,1862288.83838919
343,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,304.040216483248,6479.60366397449
344,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,452.068617604527,5845.65625372587
345,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,474.27084116771,16290.9000283036
346,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,662.571329972915,21425.5452539499
347,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,828.321328031854,36266.7519019555
348,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,714.796878068198,28443.4834100874
349,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,347.27385678726,9151.76955634415
350,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1073.51694376575,66048.9027568333
351,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,484.16061634944,13706.4833844438
352,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,728.430540164842,20224.3428724238
353,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2747.83458259415,82424.4931140988
354,Trout,Wild Trout Management Area (Class 3),From Mill Road (downstream of Pages Millpond) in North Brandford to I-95 bridge (East Haven).,575,Farm River,0, ,630.408277094484,11897.5756711467
355,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2522.97032089451,165771.269502152
356,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,59775.6154560187,2198912.60510273
357,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,71875.0996896431,60357853.245503
358,Bass and Walleye,Bass / Walleye Management Lake,Lake Saltonstall,0, ,1535,Lake Saltonstall,40533.0080597052,18006389.3892735
359,Trout,Trout Park,Within Wolfe Park,1303,Pequonnock River,0, ,4048.51330335485,655847.415669646
360,Bass,Bass Management Lake,Maltby Lake No 2,0, ,1754,Maltby Lake No 2,6810.67241048713,978167.636731843
361,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,3345,Valley Pond,974.6550044081,52396.7164204453
362,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,3343.24815704263,113477.119083689
363,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,971.360977437117,48901.6020565078
364,Bass,Bass Management Lake,Maltby Lake No 1,0, ,1753,Maltby Lake No 1,7313.3955620374,823106.587876786
365,Bass,Bass Management Lake,Maltby Lake No 3,0, ,1755,Maltby Lake No 3,9305.21174832857,1037187.71124628
366,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,49425.3981149802,6679604.05004736
367,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,5729.13979231272,977197.217255285
368,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,900,Field Pond,1164.50496650651,29460.4999247025
369,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,455.717211498835,13416.5600050997
370,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,2978,Twin Lakes,499.892149730533,16976.0225137919
371,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,433.161783976939,7740.18978843452
372,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,13076.9035790713,713256.349442899
373,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,133.593301119931,1137.51310533034
374,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1938.53038199389,132738.92057594
375,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,751.704661162544,14726.2876107268
376,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1592.92157739671,82718.6219738357
377,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1484.41314170685,68974.0803819997
378,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2134.51673597195,137702.92856758
379,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,8093.70226614108,1082284.9394553
380,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,4238.26737682644,713112.541284576
381,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,1634.79535813344,55445.6015072883
382,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,14071.7765093556,6415917.29716832
383,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,838.100219716525,35396.0023411945
384,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,690.881156494666,18435.0153040284
385,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,497.158605035252,13409.9785131668
386,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1158.10536036118,69599.8804746726
387,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,6064.05185427847,172147.128021911
388,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,1870,Millers Pond,2097.19485035279,95264.0336276406
389,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,506.0482739866,19088.2166868118
390,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1075.30048307492,30774.4818795793
391,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,622.966616105181,12879.1765103618
392,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,8243.66523882829,225045.654680613
393,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1796.83450795431,173883.913634578
394,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,937.282892617596,23322.7492298274
395,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,10446.8820572343,893211.773501453
396,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,265.364797386606,2900.78710711307
397,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,475.519917565056,14798.5575515248
398,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,7820.01432714115,975221.095585086
399,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,12197.5682089228,2179116.72884875
400,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,389.997985797254,11223.614994982
401,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,361.751039089966,8944.75098668604
402,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3449.65618464035,198394.473233797
403,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,18242.5869197224,13754853.9272137
404,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,651.48099269342,14101.9680223449
405,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,525.220112946306,17118.1029106568
406,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,3528.90811757177,76738.4342462541
407,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2721.188442148,195672.247903686
408,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,905.259911111666,14982.7515127737
409,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,13545.802002324,911457.716203115
410,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,44968.0719724117,1668155.0073563
411,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,9128.45413070393,173162.860535294
412,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,3564.89110893913,52482.7916863653
413,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,2238.89294592772,210173.812191837
414,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,1642.9549041987,23288.7117073342
415,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,802.952123845169,14981.5658826682
416,Northern Pike,Northern Pike Management Area, ,374,Connecticut River,0, ,653.264967707515,8674.95088494636
417,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,7496.70358395418,300405.508873056
418,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,2256.36616280564,144841.586611023
419,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,409.479578745536,7493.3729083011
420,Trout,Sea Run Trout Stream,From Route 80 to the mouth.  Minus from Lake Hammonasset Dam to Chestnut Hill Rd,735,Hammonasset River,0, ,3058.52234926046,254584.462840096
421,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,868,Factory Pond,4652.94220665486,522551.956040954
422,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,953.691753564048,25892.3120511493
423,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,286.652719463601,3000.54088604294
424,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,841.908689953114,15799.3779219153
425,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,700.869047736017,17329.8558324235
426,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,231.150713084323,2647.41272651457
427,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,3023.28929650987,97995.4896095827
428,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,531.14523876573,13885.6505341626
429,Trout,Trophy Trout Stream,Whitney Ave. (Trumbull) through Trumbull Basin State Park to Daniels Farm Road bridge.,1303,Pequonnock River,0, ,500.197610511768,9290.5849623762
430,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,11471.8053436874,1309180.04017983
431,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,2171.74642135772,62821.4405852864
432,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,1390.02051650576,45136.767522269
433,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,820.114669658888,19064.0627630378
434,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,3710.14291965726,182190.825835584
435,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,234.661939451143,3983.03923170944
436,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,1972.7686128785,76260.4251606759
437,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,594.36063147027,8521.55045210279
438,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,505.833234595658,11889.824390703
439,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,362.07647867416,7381.18465640418
440,Trout,Sea Run Trout Stream,Downstream of I-95 bridge.,575,Farm River,0, ,1554.21033517695,52679.5744910967
441,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,419,Cannon Pond,1285.99175077044,51410.3618260612
442,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,758.62473391572,13723.9760723705
443,Trout,Trout Management Area,From Merrit Parkway bridge downstream to Mohegan Park Pond.,1099,Mill River,0, ,468.782277756978,8115.8289010464
444,Trout,Trout Management Area,From Merrit Parkway bridge downstream to Mohegan Park Pond.,1099,Mill River,0, ,294.524377772604,4729.00711617551
445,Trout,Trout Management Area,From Merrit Parkway bridge downstream to Mohegan Park Pond.,1099,Mill River,0, ,243.135987666748,4321.89771831276
446,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,453.411525848151,10090.6336048517
447,Trout,Wild Trout Management Area (Class 3),Entire stream in Wilton and Ridgefield upstream of Wolf Pit Road,1237,Norwalk River,0, ,2179.63612444343,29568.9957885869
