265.characteristic,"Total - Female, Blakc, non-Hispanic ","Total - Female, Black, non-Hispanic "
67.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.characteristic,"Total - Male, Pacfic Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
29.characteristic,Total j- Female,Total - Female
195.noteonpercent,Data for 2000 throguh 2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
81.characteristic,Total - Hisapnic,Total - Hispanic
211.characteristic,"kTotal - Male, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
17.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or rgeater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
32.characteristic,Toal - Female,Total - Female
280.sex,Fmale,Female
311.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent r greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
277.noteonpercent,Reporting standards not met. Either there are too few cases for a relilable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
263.sex,Femlae,Female
43.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
59.characteristic,"Total - Black, jnon-Hispanic ","Total - Black, non-Hispanic "
52.noteonpercent,Reporting standards not met. Either there are too few cases fo ra reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
106.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gcreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
197.raceethnicity,"Pacific Islander, nonHispanic","Pacific Islander, non-Hispanic"
139.raceethnicity,"Two or more races, nonH-ispanic","Two or more races, non-Hispanic"
287.noteoncount,Data for 2000 through 2002 include Pacific Islanders.***,Data for 2000 through 2002 include Pacific Islanders.
218.sex,aMle,Male
184.raceethnicity,"Aian, non-Hispanic","Asian, non-Hispanic"
277.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 precent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.raceethnicity,"Two or more races, non-Hsipanic","Two or more races, non-Hispanic"
198.noteonpercent,Data not avaiable.,Data not available.
51.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficien tof variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
68.characteristic,"Tota - Black, non-Hispanic ","Total - Black, non-Hispanic "
54.sex,Feamle,Female
208.characteristic,"Total - Male, Pacific Islander, non-Hbispanic","Total - Male, Pacific Islander, non-Hispanic"
92.sex,Femable,Female
202.raceethnicity,"Pacifci Islander, non-Hispanic","Pacific Islander, non-Hispanic"
47.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation(CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
87.raceethnicity,"Asin, non-Hispanic","Asian, non-Hispanic"
255.raceethnicity,"Blyack, non-Hispanic ","Black, non-Hispanic "
183.noteoncount,Data for 2000 through 2002 include Pacifi cIslanders.,Data for 2000 through 2002 include Pacific Islanders.
201.raceethnicity,"Pacific Islander, non-Hspanic","Pacific Islander, non-Hispanic"
123.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.sex,aMale,Male
257.noteoncount,Reporting standards not met. Either there are too few cases for a relable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
75.raceethnicity,Hispanyic,Hispanic
12.noteonpercent,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
296.raceethnicity,"Pcaific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
135.sex,Fmeale,Female
298.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percet or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
262.sex,Feamle,Female
13.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.***,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
75.noteonpercent,Reporting standards not met. Either there are too few cases for a reqliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
14.sex,Fmale,Female
162.characteristic,"Total - Mael, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
194.sex,Mae,Male
261.sex,Feamle,Female
73.sex,Feale,Female
104.noteoncount,Reporting standadrs not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
249.raceethnicity,"White, non-Hisapnic","White, non-Hispanic"
95.sex,Femayle,Female
211.raceethnicity,"American Indain/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
331.noteoncount,Reporting stlandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.sex,Mnale,Male
273.sex,emale,Female
150.noteoncount,Reporting standards no met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
186.raceethnicity,"Asian, on-Hispanic","Asian, non-Hispanic"
33.raceethnicity,"merican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
52.noteoncount,Reporting standars not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
298.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiuent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
213.sex,Mle,Male
39.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or thke coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
261.raceethnicity,"Blac, non-Hispanic ","Black, non-Hispanic "
46.raceethnicity,"White, non-Hispanc","White, non-Hispanic"
24.noteoncount,Reporting standards not met. Either there are too few cases for a reliableestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
128.raceethnicity,"Two or mor races, non-Hispanic","Two or more races, non-Hispanic"
287.characteristic,"Total - Female, Asian,n on-Hispanic","Total - Female, Asian, non-Hispanic"
99.raceethnicity,"Pacific Islander, no-Hispanic","Pacific Islander, non-Hispanic"
302.noteonpercent,Reporting standards not met. Either there are too fewc ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
22.characteristic,yTotal - Male,Total - Male
333.noteoncount,Reporting standardes not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
251.sex,Fkemale,Female
213.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variaiton (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
47.raceethnicity,"White, non-Hisjpanic","White, non-Hispanic"
18.characteristic,otal - Male,Total - Male
164.characteristic,"Total - Male,t Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
139.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vapriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
275.noteoncount,Reporting standards no tmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
179.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greamter.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
295.sex,Feamle,Female
141.sex,Mae,Male
297.noteonpercent,Data not availabel.,Data not available.
78.characteristic,Total - Hipanic,Total - Hispanic
20.characteristic,Total - zMale,Total - Male
193.characteristic,"Toal - Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
292.noteoncount,Data for 2000 through 2002 include Pacfic Islanders.,Data for 2000 through 2002 include Pacific Islanders.
178.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
327.noteoncount,Reporting standgards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
295.raceethnicity,"Puacific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
283.raceethnicity,"Asian, non-Hiispanic","Asian, non-Hispanic"
114.noteonpercent,Reporting standards not met. Eithwer there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.sex,Mmale,Male
129.raceethnicity,"Two or more rraces, non-Hispanic","Two or more races, non-Hispanic"
334.noteonpercent,Reporting standards ot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
64.raceethnicity,Black non-Hispanic ,"Black, non-Hispanic "
78.sex,Femeale,Female
34.noteonpercent,Reporting standards no met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
189.noteonpercent,Data for 2000 through 200v2 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
310.characteristic,"Total - Female, American Indian/Alaska Native ,non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
144.characteristic,"Toal - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
20.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatioun (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
12.characteristic,otal ,Total 
281.sex,Fermale,Female
111.raceethnicity,"Pacific Ishlander, non-Hispanic","Pacific Islander, non-Hispanic"
187.raceethnicity,"sian, non-Hispanic","Asian, non-Hispanic"
179.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffcient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
156.characteristic,"Total - Male ,Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
217.noteoncount,Reporting standards not met. Either there are too few cases for a reliale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
294.sex,Femalke,Female
322.raceethnicity,"American Indian/Alaska Naive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
44.raceethnicity,"White, non-ispanic","White, non-Hispanic"
35.sex,Feale,Female
120.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
196.noteoncount,Data for 2000 through 202 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
288.characteristic,"Total - Female, Asian,non-Hispanic","Total - Female, Asian, non-Hispanic"
188.raceethnicity,"Asian, non-Hispanci","Asian, non-Hispanic"
18.raceethnicity,"American Indian/Alaska Native, nown-Hispanic","American Indian/Alaska Native, non-Hispanic"
333.raceethnicity,"Two or more racjes, non-Hispanic","Two or more races, non-Hispanic"
298.characteristic,"Total - Female, Pcaific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
146.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent orgreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
100.noteonpercent,Data not availble.,Data not available.
273.characteristic,"Total - emale, Hispanic","Total - Female, Hispanic"
35.noteoncount,Reporting standards not met. Either there are too few caseas for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
325.noteoncount,Data not avalable.,Data not available.
315.characteristic,"Total - Feamle, American Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
2.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
324.noteoncount,Data ont available.,Data not available.
260.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient o fvariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
218.noteoncount,Reporting standards not met. Either there are too fehw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
3.characteristic,Ttal ,Total 
235.raceethnicity,"Two or more races, non-iHspanic","Two or more races, non-Hispanic"
100.raceethnicity,"Pacific Islnder, non-Hispanic","Pacific Islander, non-Hispanic"
76.sex,emale,Female
90.raceethnicity,"Asian, non-pHispanic","Asian, non-Hispanic"
76.characteristic,Total - Hisnpanic,Total - Hispanic
1.sex,Femlae,Female
201.characteristic,"Total - Male, Pacific Islander,k non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
248.noteonpercent,Reeporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
183.noteonpercent,Data for 2000 through 2002 include Pacific Idslanders.,Data for 2000 through 2002 include Pacific Islanders.
50.noteonpercent,Reporting standards not met. Either there are too few cases for a reiable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
285.raceethnicity,"Asian, non-Hisdpanic","Asian, non-Hispanic"
236.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percentm or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
282.characteristic,"Total - Fembale, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
242.characteristic,"Total - Female, dWhite, non-Hispanic","Total - Female, White, non-Hispanic"
277.characteristic,"Total - Female, Hispanci","Total - Female, Hispanic"
131.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
172.sex,Mae,Male
319.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimtae or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
190.noteonpercent,Data for 2000 through 2002 include Pacific Islanders.***,Data for 2000 through 2002 include Pacific Islanders.
206.characteristic,"Total - Male, Pacific Ilsander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
280.raceethnicity,Hispanizc,Hispanic
207.characteristic,"otal - Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
65.sex,mFemale,Female
323.noteoncount,Data nrot available.,Data not available.
316.noteoncount,Reporting standards not met. Either tere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
102.sex,emale,Female
190.sex,ale,Male
234.noteonpercent,Reporting standards not met. Either there are too few cases for a relialbe estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
114.raceethnicity,"American Indian/Alaska Ntaive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
95.raceethnicity,"Asian, non-Hispanfic","Asian, non-Hispanic"
239.noteonpercent,Reporting standards not met. Either there are too fewp cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
309.characteristic,"Total - Female, American Indian/Alaska Native, non-Hispaniic","Total - Female, American Indian/Alaska Native, non-Hispanic"
290.characteristic,"Total  Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
198.noteoncount,Data not availablet.,Data not available.
317.noteonpercent,Reporting standards not met. Either there are too few clases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
27.noteonpercent,eporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
69.sex,Fmale,Female
283.sex,Fmeale,Female
80.raceethnicity,iHspanic,Hispanic
290.sex,mFemale,Female
234.sex,Maale,Male
111.noteonpercent,Reportingstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.sex,Femlae,Female
126.noteonpercent,Reporting standards not met. Either there are too few casies for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.noteoncount,Reporting standarwds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
82.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percentm or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,Total- Female,Total - Female
58.noteonpercent,Reporting standards not met. Either there are too few cases for a reliablle estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
77.sex,Fesmale,Female
318.sex,Femyale,Female
302.characteristic,"Total - Female,P acific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
43.noteonpercent,Reporting standards not met. Either there are too few cases ofr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
314.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ofv ariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
145.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
278.characteristic,"Total - Female, Hispqanic","Total - Female, Hispanic"
96.noteoncount,Data for 2a000 through 2002 include Pacific Islanders.,Data for 2000 through 2002 include Pacific Islanders.
309.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatebr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.noteoncount,Reporting standards not met. Eiter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
165.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
330.sex,emale,Female
140.noteonpercent,Reporting stanadards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
133.raceethnicity,"Two or more racesg, non-Hispanic","Two or more races, non-Hispanic"
266.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of ariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
151.raceethnicity,"White, non-Hispzanic","White, non-Hispanic"
245.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate orl the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percnt or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
46.characteristic,"oTtal - White, non-Hispanic","Total - White, non-Hispanic"
142.sex,ale,Male
301.sex,Femazle,Female
83.noteonpercent,Reporting standards not met. Either there aret oo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
241.sex,Fmale,Female
332.raceethnicity,"Two or more races, non-Hisanic","Two or more races, non-Hispanic"
293.raceethnicity,"Asia,n non-Hispanic","Asian, non-Hispanic"
6.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate ort he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
8.characteristic,Toatl ,Total 
112.sex,emale,Female
196.raceethnicity,"Asian ,non-Hispanic","Asian, non-Hispanic"
76.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatre.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
87.noteonpercent,Data for 2000 through 2002 include Pacific mIslanders.,Data for 2000 through 2002 include Pacific Islanders.
73.characteristic,Total - Hipanic,Total - Hispanic
214.sex,Mael,Male
69.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) s 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
150.characteristic,"Total - Male, White, non-Hispanifc","Total - Male, White, non-Hispanic"
123.characteristic,"Total - Amnerican Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
32.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
108.sex,Fmeale,Female
236.raceethnicity,"Two or more races, npon-Hispanic","Two or more races, non-Hispanic"
25.noteoncount,Reporting standards not met. Either there are too few cases for a reliablee stimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
14.characteristic,Tomtal ,Total 
55.characteristic,"Ttotal - White, non-Hispanic","Total - White, non-Hispanic"
48.sex,Fepmale,Female
14.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatio n(CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
147.sex,kMale,Male
128.sex,Femcale,Female
300.characteristic,"Total - Female, Pacific Islnader, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
15.noteoncount,Reporting standards not met. Eimther there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
66.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) isi 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
245.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
169.noteonpercent,Reporting standads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
305.noteoncount,Reporting standards nt met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
258.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatino (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
217.characteristic,"Total - Male, American Indian/Alaska Native, non-Hispanci","Total - Male, American Indian/Alaska Native, non-Hispanic"
5.raceethnicity,"American India/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
27.noteoncount,Reporting standards notmet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
131.raceethnicity,"Two or more races, no-nHispanic","Two or more races, non-Hispanic"
271.noteonpercent,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 precent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
94.characteristic,"Total - Asian,n on-Hispanic","Total - Asian, non-Hispanic"
327.noteonpercent,Reporting standards not met. Either there are too few casesfor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
126.sex,Femasle,Female
54.raceethnicity,"White, non-Hislpanic","White, non-Hispanic"
30.raceethnicity,"Amzerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
152.sex,Mlae,Male
