16.statecounty,eAZ_Maricopa,AZ_Maricopa
369.statecounty,M_DHoward,MD_Howard
737.statecounty,OH_Lucsa,OH_Lucas
25.county,rFesno ,Fresno 
243.statecounty,IN_Daviess***,IN_Daviess
565.county,Wilosn ,Wilson 
293.statecounty,KqS_Doniphan,KS_Doniphan
993.statecounty,VI_St. Croix Islalnd,VI_St. Croix Island
885.statevalue,gSC,SC
332.statecounty,KSRooks,KS_Rooks
544.statevalue,NtC,NC
766.fipstwo,f4033,f40033
585.fipstwo,f3j1037,f31037
745.county,Ros ,Ross 
273.statecounty,IN_Ruh,IN_Rush
459.county,Morrisno ,Morrison 
423.county,Oyscoda ,Oscoda 
918.statecounty,TX_kDawson,TX_Dawson
990.statecounty,VA_Nottowya,VA_Nottoway
180.county,eWright ,Wright 
139.statecounty,IA_Claton,IA_Clayton
151.statevalue,A,IA
678.fipstwo,xf32001,f32001
675.statevalue,M,NM
305.county,Jenfferson ,Jefferson 
829.fipstwo,f4202z7,f42027
533.statecounty,NCD_avie,NC_Davie
716.fipstwo,f31617,f36117
1041.fipstwo,f550m55,f55055
845.statevalue,AP,PA
378.fipstwo,jf23005,f23005
35.fipstwo,f0047,f06047
215.county,LaSlale ,LaSalle 
179.statecounty,IAW_oodbury,IA_Woodbury
917.county,Dalleam ,Dallam 
344.county,Washignton ,Washington 
221.statecounty,IL_Masrhall,IL_Marshall
684.statecounty,V_Nye,NV_Nye
113.statecounty,FLMarion,FL_Marion
850.county,Lycoimng ,Lycoming 
191.statecounty,ID_Kooxtenai,ID_Kootenai
261.statecounty,IN_LaPoret,IN_LaPorte
881.statecounty,SCi_Florence,SC_Florence
263.statecounty,IN_Marshal,IN_Marshall
513.fipstwo,f30y081,f30081
187.statecounty,I_Cassia,ID_Cassia
972.fipstwo,f84485,f48485
276.fipstwo,fq18149,f18149
342.statecounty,KS_Tghomas,KS_Thomas
72.statevalue,OC,CO
530.fipstwo,f3701,f37051
1004.county,Franlin ,Franklin 
1060.statevalue,I,WI
694.statevalue,YN,NY
642.county,Grafthon ,Grafton 
968.county,Vald Verde ,Val Verde 
183.county,Bnigham ,Bingham 
542.statevalue,vNC,NC
392.county,rBanch ,Branch 
714.statevalue,Y,NY
834.fipstwo,f4g2037,f42037
968.fipstwo,f4846o5,f48465
974.county,illiamson ,Williamson 
1076.statevalue,I,WI
676.statevalue,MN,NM
312.county,Mario n,Marion 
927.statecounty,TXp_Garza,TX_Garza
449.statevalue,vMN,MN
267.fipstwo,f18131,f18113
812.fipstwo,f41503,f41053
328.county,Rno ,Reno 
606.fipstwo,jf31089,f31089
339.county,Sfmith ,Smith 
787.fipstwo,f4113,f40113
507.statevalue,TM,MT
279.statecounty,I_NTippecanoe,IN_Tippecanoe
514.statevalue,TM,MT
40.county,lumas ,Plumas 
573.statevalue,D,ND
981.county,kBrunswick ,Brunswick 
427.statecounty,MI_St. Josehp,MI_St. Joseph
428.statevalue,I,MI
687.statecounty,N_Cattaraugus,NY_Cattaraugus
839.county,rie ,Erie 
1071.statecounty,WIW_ashburn,WI_Washburn
53.statevalue,AC,CA
840.statevalue,wPA,PA
778.statecounty,OK_Kiay,OK_Kay
562.fipstwo,f3719,f37189
1054.fipstwo,f55058,f55085
1000.county,Crhelan ,Chelan 
752.statevalue,mOH,OH
234.fipstwo,f17g179,f17179
102.statecounty,DE_Susseex,DE_Sussex
363.fipstwo,f24o013,f24013
226.statevalue,LI,IL
47.statevalue,AC,CA
5.statecounty,AKSoutheast Fairbanks Census Area,AK_Southeast Fairbanks Census Area
996.statevalue,TV,VT
742.fipstwo,f93127,f39127
686.statecounty,NYBroome,NY_Broome
355.county,Mddlesex ,Middlesex 
706.statevalue,YN,NY
782.statevalue,KO,OK
417.county,Montcam ,Montcalm 
508.statecounty,MT_Lae,MT_Lake
720.statecounty,bOH_Auglaize,OH_Auglaize
876.fipstwo,f44003***,f44003
353.fipstwo,f2v5013,f25013
275.statevalue,iIN,IN
771.county,Grdy ,Grady 
69.statevalue,O,CO
630.statecounty,NE_Sewrd,NE_Seward
92.statecounty,CT_Fairfild,CT_Fairfield
265.county,Morgwan ,Morgan 
282.statecounty,INVigo,IN_Vigo
1084.fipstwo,f5602i5,f56025
171.statevalue,pIA,IA
766.statecounty,OK_Cottno,OK_Cotton
48.statecounty,CA_aSn Mateo,CA_San Mateo
283.statecounty,IN_Wabajsh,IN_Wabash
424.county,gOtsego ,Otsego 
791.county,Setphens ,Stephens 
953.fipstwo,48329,f48329
535.statecounty,NC_Forsyh,NC_Forsyth
295.statevalue,S,KS
666.statecounty,NM_Eddy***,NM_Eddy
590.statecounty,NED_euel,NE_Deuel
800.county,uCoos ,Coos 
631.statecounty,E_Sheridan,NE_Sheridan
712.statevalue,Y,NY
173.statevalue,tIA,IA
853.statevalue,PxA,PA
423.statevalue,I,MI
445.fipstwo,f27054,f27045
408.fipstwo,f62091,f26091
18.statecounty,AZ_ima,AZ_Pima
199.statecounty,ID_Wiashington,ID_Washington
954.county,Mislls ,Mills 
816.statevalue,RO,OR
55.fipstwo,f060t99,f06099
641.statecounty,mNH_Cheshire,NH_Cheshire
604.statevalue,E,NE
904.county,Baylorp ,Baylor 
753.fipstwo,39169,f39169
489.county,Hol t,Holt 
290.statecounty,KSComanche,KS_Comanche
667.statecounty,NM_Guadlupe,NM_Guadalupe
411.fipstwo,f2610u1,f26101
273.county,Rrush ,Rush 
418.county,Mtuskegon ,Muskegon 
1027.county,Dan e,Dane 
984.statecounty,VAF_ranklin,VA_Franklin
797.statevalue,R,OR
665.statecounty,tNM_Dona Ana,NM_Dona Ana
598.statecounty,NEGage,NE_Gage
357.statevalue,AM,MA
991.statecounty,VlA_Page,VA_Page
999.fipstwo,jf53005,f53005
399.county,Hillsale ,Hillsdale 
77.fipstwo,f00869,f08069
788.statecounty,O_KPayne,OK_Payne
117.statevalue,L,FL
872.fipstwo,f70255,f72055
950.county,Lnn ,Lynn 
43.statecounty,CA_Sa Benito,CA_San Benito
827.statecounty,PA_Butlre,PA_Butler
786.fipstwo,f04109,f40109
85.statevalue,OC,CO
696.fipstwo,f6037,f36037
894.statecounty,SD_Laqke,SD_Lake
206.county,Crafword ,Crawford 
268.county,Parker ,Parke 
216.county,iLawrence ,Lawrence 
491.county,Pverry ,Perry 
355.fipstwo,f25071,f25017
22.county,uma ,Yuma 
953.statecounty,TX_Midnland,TX_Midland
806.statevalue,RO,OR
254.fipstwo,f1807q1,f18071
423.fipstwo,f2635,f26135
337.fipstwo,f20177***,f20177
906.county,Bexra ,Bexar 
172.fipstwo,1f9155,f19155
216.statecounty,IL_Lawrnce,IL_Lawrence
548.statevalue,C,NC
720.statevalue,H,OH
895.fipstwo,fw46081,f46081
384.statevalue,E,ME
560.county,ance ,Vance 
669.statevalue,M,NM
302.fipstwo,f20017,f20071
713.statecounty,NY_tSeuben,NY_Steuben
393.county,Calhuon ,Calhoun 
652.statecounty,NJ_Glouncester,NJ_Gloucester
995.county,rFanklin ,Franklin 
396.county,Clar e,Clare 
626.fipstwo,f3111,f31151
198.statecounty,I_DTwin Falls,ID_Twin Falls
53.county,Solnao ,Solano 
218.fipstwo,f17170,f17107
178.statevalue,vIA,IA
419.statecounty,MI_Newago,MI_Newaygo
373.statevalue,DM,MD
1066.county,St.C roix ,St. Croix 
450.statevalue,dMN,MN
719.fipstwo,f36p123,f36123
380.fipstwo,23015,f23015
508.statevalue,xMT,MT
192.statevalue,DI,ID
196.statecounty,ID_Owyhee***,ID_Owyhee
893.fipstwo,f46q057,f46057
440.statecounty,iMN_Chippewa,MN_Chippewa
758.fipstwo,40009,f40009
701.statevalue,Y,NY
1016.statevalue,A,WA
35.statevalue,CrA,CA
743.fipstwo,39129,f39129
443.statecounty,MN_Daykota,MN_Dakota
966.statecounty,TsX_Tom Green,TX_Tom Green
789.statevalue,K,OK
312.statevalue,S,KS
1060.statecounty,cWI_Racine,WI_Racine
10.fipstwo,fu04001,f04001
410.statecounty,hMI_Luce,MI_Luce
630.county,Seard ,Seward 
718.fipstwo,pf36121,f36121
272.statevalue,kIN,IN
130.fipstwo,f1r9017,f19017
612.statecounty,NE_Lanaster,NE_Lancaster
270.county,Pualski ,Pulaski 
733.fipstwo,uf39073,f39073
20.statecounty,Z_Santa Cruz,AZ_Santa Cruz
