402.street,Ogden tS,Ogden St
578.dateofcount,10/18/w2006,10/18/2006
498.trafficvolumecountlocationaddress,2900 Nuorth,2900 North
212.street,Dr Martin Luther King r Dr,Dr Martin Luther King Jr Dr
1050.trafficvolumecountlocationaddress,5d1 East,51 East
1047.locationvalue,"(41.706389, -876.84155)","(41.706389, -87.684155)"
244.dateofcount,30/21/2006,03/21/2006
140.vehiclevolumebyeachdirectionoftraffic,North Bosund: 3500 / South Bound: 3900,North Bound: 3500 / South Bound: 3900
436.street,Michigan ve,Michigan Ave
933.vehiclevolumebyeachdirectionoftraffic,North Bound: 4100 / South Bound: 600,North Bound: 4100 / South Bound: 3600
584.vehiclevolumebyeachdirectionoftraffic,North Bound: 4070 / South Bound: 4100,North Bound: 4700 / South Bound: 4100
563.locationvalue,"(41.885b258, -87.686545)","(41.885258, -87.686545)"
1255.locationvalue,"(41.87436, 87.652225)","(41.87436, -87.652225)"
121.dateofcount,08/q24/2006,08/24/2006
110.street,gden Ave,Ogden Ave
727.trafficvolumecountlocationaddress,933 South,8933 South
991.vehiclevolumebyeachdirectionoftraffic,East Bound: 9200 / West Boud: 7500,East Bound: 9200 / West Bound: 7500
747.street,Armsitage Ave,Armitage Ave
1157.vehiclevolumebyeachdirectionoftraffic,East Bound: 9000 /W est Bound: 9300,East Bound: 9000 / West Bound: 9300
1246.dateofcount,05/02/0206,05/02/2006
804.locationvalue,"(41.37739, -87.550512)","(41.73739, -87.550512)"
970.street,Irving Park Rjd,Irving Park Rd
191.street,Jeffey Blvd,Jeffery Blvd
318.trafficvolumecountlocationaddress,6154 Slouth,6154 South
196.locationvalue,"(41.86714,5 -87.647525)","(41.867145, -87.647525)"
297.dateofcount,09/19/0206,09/19/2006
170.locationvalue,"(41.862968, -87.642082)","(41.682968, -87.642082)"
704.vehiclevolumebyeachdirectionoftraffic,Norht Bound: 15500 / South Bound: 16600,North Bound: 15500 / South Bound: 16600
180.dateofcount,08/16/2060,08/16/2006
805.trafficvolumecountlocationaddress,135v4 West,1354 West
1178.locationvalue,"(41b.988619, -87.812789)","(41.988619, -87.812789)"
99.dateofcount,10/x25/2006,10/25/2006
928.vehiclevolumebyeachdirectionoftraffic,North Bound: 16600 / / Oneway North Bzound,North Bound: 16600 / / Oneway North Bound
1131.trafficvolumecountlocationaddress,2g99 North,299 North
1067.locationvalue,"(41.744615, -87.55445)5","(41.744615, -87.554455)"
462.locationvalue,"(41.910585, -z87.669739)","(41.910585, -87.669739)"
893.trafficvolumecountlocationaddress,325 East,235 East
793.dateofcount,m05/04/2006,05/04/2006
546.vehiclevolumebyeachdirectionoftraffic,North Bound: 9700 / SouthBound: 11500,North Bound: 9700 / South Bound: 11500
87.street,Codttage Grove Ave,Cottage Grove Ave
155.dateofcount,1/12/2006,10/12/2006
813.trafficvolumecountlocationaddress,1g76 North,176 North
571.vehiclevolumebyeachdirectionoftraffic,East Bound: 14200 / West Bound: 14050,East Bound: 14200 / West Bound: 14500
644.locationvalue,"(41.9715, -87771937)","(41.9715, -87.771937)"
14.street,Damend Ave,Damen Ave
1192.vehiclevolumebyeachdirectionoftraffic,North Bound: 2100 / South Bound: 23700,North Bound: 21600 / South Bound: 23700
1054.trafficvolumecountlocationaddress,599 South,5929 South
390.vehiclevolumebyeachdirectionoftraffic,East Bound: 14300 / West Boud: 14500,East Bound: 14300 / West Bound: 14500
891.trafficvolumecountlocationaddress,137 North,1837 North
824.vehiclevolumebyeachdirectionoftraffic,North Bouvnd: 8600 / South Bound: 8100,North Bound: 8600 / South Bound: 8100
819.trafficvolumecountlocationaddress,7141 West,7114 West
69.locationvalue,"(41.968273, -87.72489)","(41.968273, -87.724989)"
238.street,Moran St,Morgan St
1139.locationvalue,"(41.8593m78, -87.676043)","(41.859378, -87.676043)"
1217.vehiclevolumebyeachdirectionoftraffic,East Boundd: 13200 / West Bound: 12300,East Bound: 13200 / West Bound: 12300
925.vehiclevolumebyeachdirectionoftraffic,North Bound: 4500 / South Buond: 9600,North Bound: 4500 / South Bound: 9600
1120.street,112thSt,112th St
635.locationvalue,"(41.87609o5, -87.710846)","(41.876095, -87.710846)"
279.street,lark St,Clark St
358.dateofcount,08/24/g2006,08/24/2006
272.vehiclevolumebyeachdirectionoftraffic,East Bound: 800 / West Bound: 10600,East Bound: 8400 / West Bound: 10600
1235.dateofcount,9/12/2006,09/12/2006
740.vehiclevolumebyeachdirectionoftraffic,East Bound: 9200 / West Boud: 7100,East Bound: 9200 / West Bound: 7100
16.street,Halsted tS,Halsted St
328.vehiclevolumebyeachdirectionoftraffic,North Boun: 8800 / South Bound: 7900,North Bound: 8800 / South Bound: 7900
587.trafficvolumecountlocationaddress,5n30 East,530 East
1106.locationvalue,"(41.782937, -87.62216h4)","(41.782937, -87.622164)"
1135.trafficvolumecountlocationaddress,365 6West,3656 West
780.locationvalue,"(41.939496, -8h7.684693)","(41.939496, -87.684693)"
1134.vehiclevolumebyeachdirectionoftraffic,EastBound: 11600 / West Bound: 13000,East Bound: 11600 / West Bound: 13000
733.locationvalue,"(41.909944, -87.72823)","(41.909944, -87.720823)"
31.trafficvolumecountlocationaddress,650 Wesut,650 West
613.locationvalue,"(41.859611,q -87.734761)","(41.859611, -87.734761)"
194.locationvalue,"(4.946811, -87.796043)","(41.946811, -87.796043)"
673.vehiclevolumebyeachdirectionoftraffic,East Bound: 01400 / West Bound: 10300,East Bound: 10400 / West Bound: 10300
886.vehiclevolumebyeachdirectionoftraffic,East Bound: 3000p / West Bound: 3300,East Bound: 3000 / West Bound: 3300
166.vehiclevolumebyeachdirectionoftraffic,North Bound: 12700 / Suoth Bound: 13200,North Bound: 12700 / South Bound: 13200
769.locationvalue,"(42.010697, -87.727707)","(42.010697, -87.772707)"
916.locationvalue,"(41.758455, -87.e612457)","(41.758455, -87.612457)"
993.vehiclevolumebyeachdirectionoftraffic,North Bozund: 8800 / South Bound: 8900,North Bound: 8800 / South Bound: 8900
769.street,eigh Ave,Leigh Ave
602.trafficvolumecountlocationaddress,545 South,5450 South
99.vehiclevolumebyeachdirectionoftraffic,North Bound: 11100 / South Bound: 12600***,North Bound: 11100 / South Bound: 12600
714.dateofcount,10/8/2006,10/18/2006
392.trafficvolumecountlocationaddress,142 0South,1420 South
117.dateofcount,03/2/2006,03/28/2006
1267.dateofcount,09/6/2006,09/06/2006
1149.trafficvolumecountlocationaddress,676 North,667 North
696.street,79thStreet,79th Street
872.street,acine Ave,Racine Ave
757.vehiclevolumebyeachdirectionoftraffic,North Bound: 16800 / outh Bound: 14900,North Bound: 16800 / South Bound: 14900
383.vehiclevolumebyeachdirectionoftraffic,East Bounzd: 6500 / / Oneway East Bound,East Bound: 6500 / / Oneway East Bound
952.locationvalue,(41.888169 -87.62409),"(41.888169, -87.62409)"
1224.locationvalue,"(41.794852, -87.629567)","(41.794582, -87.629567)"
752.locationvalue,"(41.836974, -8.719101)","(41.836974, -87.719101)"
313.street,Wstern Ave,Western Ave
790.street,Garfield Bld,Garfield Blvd
132.vehiclevolumebyeachdirectionoftraffic,East Bound:8 000 / West Bound: 8800,East Bound: 8000 / West Bound: 8800
671.dateofcount,08/4/2006,08/24/2006
203.dateofcount,0/330/2006,03/30/2006
1258.street,aRcine Ave,Racine Ave
859.trafficvolumecountlocationaddress,243 North,2435 North
466.dateofcount,y10/09/2006,10/09/2006
15.street,Harbo rAve,Harbor Ave
535.trafficvolumecountlocationaddress,11 South,411 South
963.trafficvolumecountlocationaddress,5321 South,5231 South
270.trafficvolumecountlocationaddress,444North,444 North
756.street,Cailfornia Ave,California Ave
659.dateofcount,03/20/2006,03/02/2006
699.trafficvolumecountlocationaddress,100 West,1020 West
859.locationvalue,"(41.926152, 87.668181)","(41.926152, -87.668181)"
57.dateofcount,0y1/09/2007,01/09/2007
164.vehiclevolumebyeachdirectionoftraffic,North Bound: 7400 / South Bound: 6600***,North Bound: 7400 / South Bound: 6600
783.street,Pulsaki Rd,Pulaski Rd
960.dateofcount,09/12/2l006,09/12/2006
420.locationvalue,"(41.77w9917, -87.634498)","(41.779917, -87.634498)"
864.street,Norht Ave,North Ave
1115.street,Clnton St,Clinton St
539.vehiclevolumebyeachdirectionoftraffic,South Bound: 16500/ Onewaly South Bound ,South Bound: 16500/ Oneway South Bound 
928.street,Dearbornw St,Dearborn St
1001.dateofcount,11/14/2y006,11/14/2006
1188.trafficvolumecountlocationaddress,191b8 South,1918 South
814.vehiclevolumebyeachdirectionoftraffic,North Bound: 970 / / Oneway North Bound,North Bound: 9700 / / Oneway North Bound
127.dateofcount,8/17/2006,08/17/2006
481.dateofcount,08/15/200o6,08/15/2006
991.street,idway Plaisance,Midway Plaisance
575.street,Touhys Ave,Touhy Ave
626.street,Arcqher Ave,Archer Ave
1091.locationvalue,"(41.921642, -87.68737)","(41.921642, -87.687537)"
222.vehiclevolumebyeachdirectionoftraffic,East Bound: 1500 / Wet Bound: 1400,East Bound: 1500 / West Bound: 1400
893.vehiclevolumebyeachdirectionoftraffic,EastB ound: 12300 / West Bound: 9400,East Bound: 12300 / West Bound: 9400
43.vehiclevolumebyeachdirectionoftraffic,North Bound: 15800 / South Boun: 14800,North Bound: 15800 / South Bound: 14800
822.dateofcount,10/52/2006,10/25/2006
1031.locationvalue,"(41.744158,k -87.653566)","(41.744158, -87.653566)"
615.street,26th tS,26th St
565.dateofcount,10/0/42006,10/04/2006
486.vehiclevolumebyeachdirectionoftraffic,North Bound: 2000 / / Oneway Norh Bound,North Bound: 2000 / / Oneway North Bound
316.locationvalue,"(41.93798d4, -87.811297)","(41.937984, -87.811297)"
522.vehiclevolumebyeachdirectionoftraffic,North Bound: 4300 / South Bonud: 4500,North Bound: 4300 / South Bound: 4500
1092.vehiclevolumebyeachdirectionoftraffic,North Bound: 8100 / South Boun: 6200,North Bound: 8100 / South Bound: 6200
211.trafficvolumecountlocationaddress,29 9North,299 North
543.trafficvolumecountlocationaddress,2936 Eats,2936 East
573.vehiclevolumebyeachdirectionoftraffic,Norht Bound: 6600 / South Bound: 4600,North Bound: 6600 / South Bound: 4600
591.trafficvolumecountlocationaddress,2250E ast,2250 East
677.street,Racinpe Ave,Racine Ave
332.locationvalue,"(41.98296,7 -87.768342)","(41.982967, -87.768342)"
1027.dateofcount,10/19/200k6,10/19/2006
415.trafficvolumecountlocationaddress,230 Est,230 East
796.vehiclevolumebyeachdirectionoftraffic,North Bound: 22300 / South Bound: 2020e0,North Bound: 22300 / South Bound: 20200
1159.locationvalue,"(4.769698, -87.586238)","(41.769698, -87.586238)"
984.dateofcount,03/08/20i06,03/08/2006
473.trafficvolumecountlocationaddress,250 West,2500 West
766.vehiclevolumebyeachdirectionoftraffic,North Bounod: 11600 / South Bound: 13400,North Bound: 11600 / South Bound: 13400
641.locationvalue,"(41.b867439, -87.625406)","(41.867439, -87.625406)"
934.dateofcount,09/21/206,09/21/2006
1147.dateofcount,10/24/0206,10/24/2006
364.vehiclevolumebyeachdirectionoftraffic,East Bound: 4500 / West Bound: p7900,East Bound: 4500 / West Bound: 7900
521.vehiclevolumebyeachdirectionoftraffic,North oBund: 16500 / South Bound: 17300,North Bound: 16500 / South Bound: 17300
831.locationvalue,"(41.880534, h-87.64115)","(41.880534, -87.64115)"
947.dateofcount,01/25/2006,10/25/2006
1120.vehiclevolumebyeachdirectionoftraffic,East Bound: 4600 / Wes Bound: 3100,East Bound: 4600 / West Bound: 3100
29.trafficvolumecountlocationaddress,944W est,944 West
524.locationvalue,"(41.884359, -87.650167)","(41.884359, -87.650176)"
726.dateofcount,08/102/006,08/10/2006
12.locationvalue,"(41.955361, -87.6f69076)","(41.955361, -87.669076)"
914.dateofcount,10/042006,10/04/2006
519.trafficvolumecountlocationaddress,443 aSouth,443 South
1013.street,Torrnence Ave,Torrence Ave
594.street,Adams t,Adams St
999.street,Indanapolis Ave,Indianapolis Ave
547.vehiclevolumebyeachdirectionoftraffic,Esat Bound: 4300 / West Bound: 4600,East Bound: 4300 / West Bound: 4600
1271.locationvalue,"(41w.997767, -87.687751)","(41.997767, -87.687751)"
258.dateofcount,09/20/2060,09/20/2006
1200.trafficvolumecountlocationaddress,40 West,400 West
261.street,Michgigan Ave,Michigan Ave
293.locationvalue,"(41.866652, -8.764217)","(41.866652, -87.64217)"
442.street,Statev St,State St
739.street,Damen rAve,Damen Ave
1248.locationvalue,"(41.883208, -87.634a482)","(41.883208, -87.634482)"
545.locationvalue,"41.816676, -87.614468)","(41.816676, -87.614468)"
841.dateofcount,08/23/2i006,08/23/2006
643.locationvalue,"(41.968506, -87v.702152)","(41.968506, -87.702152)"
449.locationvalue,"(41.856527, -78.685756)","(41.856527, -87.685756)"
966.dateofcount,08/22/2g006,08/22/2006
251.vehiclevolumebyeachdirectionoftraffic,East Bound: 6800 / Weost Bound: 5100,East Bound: 6800 / West Bound: 5100
189.street,Froster Ave,Foster Ave
331.trafficvolumecountlocationaddress,30 Souht,30 South
129.trafficvolumecountlocationaddress,4850d West,4850 West
781.trafficvolumecountlocationaddress,851 South,8514 South
973.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound:f 7000,North Bound: 7500 / South Bound: 7000
1220.trafficvolumecountlocationaddress,1620 Wkest,1620 West
680.locationvalue,"(41.793269, -87.575753)","(41.739269, -87.575753)"
894.locationvalue,"4(1.773084, -87.608939)","(41.773084, -87.608939)"
1266.street,Homand Ave,Homan Ave
982.trafficvolumecountlocationaddress,4750 Suth,4750 South
1163.street,Ogdne Ave,Ogden Ave
1264.trafficvolumecountlocationaddress,6204 Wst,6204 West
245.locationvalue,"(4.1702738, -87.701224)","(41.702738, -87.701224)"
990.street,Dearborn t,Dearborn St
1235.locationvalue,"(41.78340v8, -87.80116)","(41.783408, -87.80116)"
79.trafficvolumecountlocationaddress,3422 North,3242 North
796.dateofcount,08v/31/2006,08/31/2006
113.vehiclevolumebyeachdirectionoftraffic,Eastu Bound: 3700 / West Bound: 4300,East Bound: 3700 / West Bound: 4300
2.dateofcount,03/28/2006***,03/28/2006
512.dateofcount,09/1t9/2006,09/19/2006
250.locationvalue,"(41.914612, -87.675752)","(41.914612, -87.677552)"
634.locationvalue,"(41.95327, -87.75952)","(41.95327, -87.759652)"
553.street,Jackson Bluvd,Jackson Blvd
695.dateofcount,0/321/2006,03/21/2006
534.vehiclevolumebyeachdirectionoftraffic,South Bound: 3200/ nOeway South Bound ,South Bound: 3200/ Oneway South Bound 
996.street,Kedzi Ave,Kedzie Ave
983.dateofcount,08/15/2060,08/15/2006
184.trafficvolumecountlocationaddress,2222 Soutnh,2222 South
935.locationvalue,"(41.8r10903, -87.626128)","(41.810903, -87.626128)"
583.trafficvolumecountlocationaddress,18j51 West,1851 West
285.locationvalue,"(4g1.722445, -87.577141)","(41.722445, -87.577141)"
95.street,63rd Steet,63rd Street
1180.dateofcount,10/19/200a6,10/19/2006
192.vehiclevolumebyeachdirectionoftraffic,East Bound: 6900l / West Bound: 7400,East Bound: 6900 / West Bound: 7400
269.locationvalue,"(41.924726, -87.705g876)","(41.924726, -87.705876)"
906.trafficvolumecountlocationaddress,572k5 North,5725 North
63.vehiclevolumebyeachdirectionoftraffic,East Bound: 4400 / Wexst Bound: 4400,East Bound: 4400 / West Bound: 4400
1201.trafficvolumecountlocationaddress,65 North,165 North
801.street,31st tS,31st St
1184.locationvalue,"(41.884874, -87.63538r9)","(41.884874, -87.635389)"
133.street,Addiosn Ave,Addison Ave
550.street,71t Street,71st Street
1257.locationvalue,"(41.962257, -87.720366)","(41.692257, -87.720366)"
708.trafficvolumecountlocationaddress,4028 Souh,4028 South
594.vehiclevolumebyeachdirectionoftraffic,West Bund: 11200/ Oneway West Bound,West Bound: 11200/ Oneway West Bound
404.trafficvolumecountlocationaddress,62 West,612 West
175.dateofcount,10/16/206,10/16/2006
645.dateofcount,101/8/2006,10/18/2006
585.trafficvolumecountlocationaddress,1614 eWst,1614 West
1231.vehiclevolumebyeachdirectionoftraffic,North Bound: 100 / South Bound: 2300,North Bound: 1900 / South Bound: 2300
289.trafficvolumecountlocationaddress,415 eWst,415 West
1216.street,Fulflerton Ave,Fullerton Ave
1203.trafficvolumecountlocationaddress,6400 Souht,6400 South
623.locationvalue,"(41.9109q4, -87.755711)","(41.91094, -87.755711)"
882.vehiclevolumebyeachdirectionoftraffic,Nort Bound: 31300 / South Bound: 30200,North Bound: 31300 / South Bound: 30200
629.vehiclevolumebyeachdirectionoftraffic,East Bound: 14900 / West Bolund: 13700,East Bound: 14900 / West Bound: 13700
60.locationvalue,"(41.828474,-87.65091)","(41.828474, -87.65091)"
938.trafficvolumecountlocationaddress,82 West,282 West
458.locationvalue,"(41.79224, -87.680473)","(41.779224, -87.680473)"
355.trafficvolumecountlocationaddress,5454 oSuth,5454 South
307.street,eWstern Ave,Western Ave
577.vehiclevolumebyeachdirectionoftraffic,East Bound: 5500 / West Bound: b6700,East Bound: 5500 / West Bound: 6700
399.street,Caldwelil Ave,Caldwell Ave
843.trafficvolumecountlocationaddress,23m45 South,2345 South
257.trafficvolumecountlocationaddress,2703W est,2703 West
984.street,tSate St,State St
671.trafficvolumecountlocationaddress,134 South,2134 South
576.vehiclevolumebyeachdirectionoftraffic,East Bound: 800 / West Bound: 8700,East Bound: 8700 / West Bound: 8700
311.vehiclevolumebyeachdirectionoftraffic,NorthBound: 6500 / South Bound: 6500,North Bound: 6500 / South Bound: 6500
113.locationvalue,"(41.722773, -8c7.550305)","(41.722773, -87.550305)"
591.vehiclevolumebyeachdirectionoftraffic,East Bound: 12600 / West Bound: 01400,East Bound: 12600 / West Bound: 10400
703.street,103red St,103rd St
25.dateofcount,10/16/2060,10/16/2006
1159.dateofcount,03/1/2006,03/14/2006
581.street,HalstedS t,Halsted St
905.dateofcount,03/0/92006,03/09/2006
199.trafficvolumecountlocationaddress,51 bWest,51 West
54.locationvalue,"(41.851522, -87.72u6497)","(41.851522, -87.726497)"
541.trafficvolumecountlocationaddress,9621 Sotuh,9621 South
1239.locationvalue,"(41.733288, -87.662994)***","(41.733288, -87.662994)"
372.trafficvolumecountlocationaddress,84 East,840 East
380.street,adison St,Madison St
1124.street,Roosevelt Rfd,Roosevelt Rd
1056.locationvalue,"(41.86225, -87.704698)","(41.786225, -87.704698)"
1211.vehiclevolumebyeachdirectionoftraffic,North Boudnd: 7900 / South Bound: 8200,North Bound: 7900 / South Bound: 8200
980.locationvalue,"(41.892579, -87.621433k)","(41.892579, -87.621433)"
1170.vehiclevolumebyeachdirectionoftraffic,East Bound: 12100 / West Bound: 1900,East Bound: 12100 / West Bound: 11900
93.trafficvolumecountlocationaddress,2208 Wet,2208 West
427.vehiclevolumebyeachdirectionoftraffic,North Bound: 1140i0 / South Bound: 9700,North Bound: 11400 / South Bound: 9700
393.vehiclevolumebyeachdirectionoftraffic,North Bound: 1580 0/ South Bound: 15700,North Bound: 15800 / South Bound: 15700
1050.street,119thSt,119th St
1031.street,Racine Avpe,Racine Ave
485.vehiclevolumebyeachdirectionoftraffic,East Bound: 10000 / West Bound: 10200***,East Bound: 10000 / West Bound: 10200
267.street,74ht St,74th St
1110.street,Centrl Ave,Central Ave
561.street,Nort hAve,North Ave
989.street,MontroseAve,Montrose Ave
865.dateofcount,08/5/2006,08/15/2006
386.dateofcount,0/912/2006,09/12/2006
631.street,amen Ave,Damen Ave
277.trafficvolumecountlocationaddress,3250o East,3250 East
387.street,Armitge Ave,Armitage Ave
341.locationvalue,"(41.90393, -87.62y9506)","(41.90393, -87.629506)"
391.vehiclevolumebyeachdirectionoftraffic,orth Bound: 1400 / South Bound: 1700,North Bound: 1400 / South Bound: 1700
938.locationvalue,"(41.736013w, -87.63131)","(41.736013, -87.63131)"
380.locationvalue,"(41m.881895, -87.638745)","(41.881895, -87.638745)"
397.locationvalue,"(41.865313, -87646862)","(41.865313, -87.646862)"
1084.street,Laramie Aev,Laramie Ave
1251.street,Austin Aev,Austin Ave
781.street,Loomis tS,Loomis St
752.dateofcount,09/14/206,09/14/2006
199.locationvalue,"(41.893244, 8-7.630017)","(41.893244, -87.630017)"
969.vehiclevolumebyeachdirectionoftraffic,North Boudn: 6600 / South Bound: 7900,North Bound: 6600 / South Bound: 7900
1007.vehiclevolumebyeachdirectionoftraffic,East Boun:d 6500 / West Bound: 9400,East Bound: 6500 / West Bound: 9400
434.locationvalue,"(41.885784,- 87.622306)","(41.885784, -87.622306)"
845.trafficvolumecountlocationaddress,3324N orth,3324 North
863.locationvalue,"(41.88158, -87.639674)","(41.881585, -87.639674)"
1238.locationvalue,"(41.946772, -87.766819)","(41.947672, -87.766819)"
543.vehiclevolumebyeachdirectionoftraffic,zEast Bound: 3700 / West Bound: 37600,East Bound: 3700 / West Bound: 37600
600.vehiclevolumebyeachdirectionoftraffic,North Bound: 1500 / South Bound: 17200,North Bound: 15500 / South Bound: 17200
1009.trafficvolumecountlocationaddress,8950 Wets,8950 West
941.street,PitneyCt,Pitney Ct
1128.vehiclevolumebyeachdirectionoftraffic,East Bound: 13000 / West Bound: 1280,East Bound: 13000 / West Bound: 12800
744.vehiclevolumebyeachdirectionoftraffic,North Bound: 4000 / South Bound :3600,North Bound: 4000 / South Bound: 3600
987.trafficvolumecountlocationaddress,222 Wesft,222 West
736.street,Micihgan Ave,Michigan Ave
1045.locationvalue,"(41.973886, -78.749542)","(41.973886, -87.749542)"
677.locationvalue,"(4.1880487, -87.657103)","(41.880487, -87.657103)"
508.dateofcount,10/26/2060,10/26/2006
59.street,Racine Atve,Racine Ave
409.street,31st lSt,31st St
117.vehiclevolumebyeachdirectionoftraffic,Easut Bound: 16000 / West Bound: 15600,East Bound: 16000 / West Bound: 15600
523.vehiclevolumebyeachdirectionoftraffic,Nortzh Bound: 4500 / South Bound: 4400,North Bound: 4500 / South Bound: 4400
997.dateofcount,03/282/006,03/28/2006
186.trafficvolumecountlocationaddress,9159 South,1959 South
247.vehiclevolumebyeachdirectionoftraffic,East Bound: 4600/ West Bound: 4500,East Bound: 4600 / West Bound: 4500
916.dateofcount,03/28/20e06,03/28/2006
407.locationvalue,"(41.874957, -87.629t219)","(41.874957, -87.629219)"
782.locationvalue,"(41.880537, o-87.741833)","(41.880537, -87.741833)"
878.dateofcount,10/0v4/2006,10/04/2006
1042.street,Wabas hAve,Wabash Ave
887.locationvalue,"(14.779921, -87.74234)","(41.779921, -87.74234)"
181.dateofcount,08/10/2006***,08/10/2006
51.locationvalue,"(41.924462, -y87.728691)","(41.924462, -87.728691)"
1228.locationvalue,"(4.1770241, -87.566558)","(41.770241, -87.566558)"
1180.trafficvolumecountlocationaddress,5124 Wst,5124 West
1113.dateofcount,03/28/006,03/28/2006
256.trafficvolumecountlocationaddress,665 0South,6650 South
635.trafficvolumecountlocationaddress,33 8South,338 South
45.locationvalue,"(41.70v242, -87.628153)","(41.70242, -87.628153)"
323.locationvalue,"(z41.931117, -87.777627)","(41.931117, -87.777627)"
896.locationvalue,"(41.881365, -87.475317)","(41.881365, -87.745317)"
904.locationvalue,"(41.917095, v-87.732056)","(41.917095, -87.732056)"
932.trafficvolumecountlocationaddress,265 West,2650 West
17.locationvalue,(41.788454 -87.606097),"(41.788454, -87.606097)"
808.street,111thc St,111th St
161.locationvalue,"(41.949054, -8a7.643703)","(41.949054, -87.643703)"
876.street,Ashlan Ave,Ashland Ave
353.vehiclevolumebyeachdirectionoftraffic,East Bounbd: 11700 / West Bound: 11300,East Bound: 11700 / West Bound: 11300
617.dateofcount,0p3/01/2006,03/01/2006
675.vehiclevolumebyeachdirectionoftraffic,North Buond: 7500 / South Bound: 5500,North Bound: 7500 / South Bound: 5500
727.vehiclevolumebyeachdirectionoftraffic,North Bound: 4900 / South Bbound: 5600,North Bound: 4900 / South Bound: 5600
866.locationvalue,"(41.92249, -87.663262)","(41.92249, -87.663226)"
851.street,yEast River Rd,East River Rd
784.dateofcount,08/23/206,08/23/2006
675.trafficvolumecountlocationaddress,2300 Noth,2300 North
17.trafficvolumecountlocationaddress,583 4South,5834 South
494.trafficvolumecountlocationaddress,250 Wst,250 West
610.locationvalue,"4(1.875633, -87.628433)","(41.875633, -87.628433)"
246.dateofcount,10/192006,10/19/2006
233.dateofcount,0/17/2006,10/17/2006
382.dateofcount,80/29/2006,08/29/2006
1153.dateofcount,s09/19/2006,09/19/2006
104.locationvalue,"(4.88673, -87.623929)","(41.88673, -87.623929)"
1154.trafficvolumecountlocationaddress,9520 Souht,9520 South
1198.street,tate St,State St
606.locationvalue,"(41.852859, 87.633451)","(41.852859, -87.633451)"
540.vehiclevolumebyeachdirectionoftraffic,East Bound: 7500 / West Bound: 85i00,East Bound: 7500 / West Bound: 8500
1196.trafficvolumecountlocationaddress,065 North,4065 North
619.dateofcount,0509/2006,05/09/2006
935.street,State Srt,State St
1081.dateofcount,03/232006,03/23/2006
1031.dateofcount,0/23/2006,03/23/2006
291.dateofcount,09/20/206,09/20/2006
798.dateofcount,0/817/2006,08/17/2006
295.vehiclevolumebyeachdirectionoftraffic,North Bound: 2700 / South Bouwnd: 3200,North Bound: 2700 / South Bound: 3200
1194.dateofcount,091/2/2006,09/12/2006
709.dateofcount,1z1/14/2006,11/14/2006
1038.vehiclevolumebyeachdirectionoftraffic,East Bound: 10200 / West Bound :11000,East Bound: 10200 / West Bound: 11000
526.trafficvolumecountlocationaddress,234 West,2345 West
293.dateofcount,0328/2006,03/28/2006
511.street,Harlem Ae,Harlem Ave
852.locationvalue,"(41.w885625, -87.649854)","(41.885625, -87.649854)"
106.street,rand Ave,Grand Ave
631.dateofcount,08/16/20u06,08/16/2006
231.trafficvolumecountlocationaddress,2366North,2366 North
1174.locationvalue,"(41988761, -87.854842)","(41.988761, -87.854842)"
739.locationvalue,"(41.940256, -87.78374)","(41.940256, -87.678374)"
791.trafficvolumecountlocationaddress,2233 Wset,2233 West
171.trafficvolumecountlocationaddress,12535 Soth,12535 South
569.trafficvolumecountlocationaddress,5410 Souht,5410 South
1234.trafficvolumecountlocationaddress,5437 Nrth,5437 North
1233.vehiclevolumebyeachdirectionoftraffic,East Bound: 4800 / West Bound:6 800,East Bound: 4800 / West Bound: 6800
87.trafficvolumecountlocationaddress,4107 oSuth,4107 South
149.street,Pulaski tRd,Pulaski Rd
73.street,Cenrtal Ave,Central Ave
184.street,iHalsted St,Halsted St
125.dateofcount,90/12/2006,09/12/2006
1244.street,Adudison St,Addison St
328.street,Halsted tS,Halsted St
533.vehiclevolumebyeachdirectionoftraffic,Eas tBound: 36200 / West Bound: 36200,East Bound: 36200 / West Bound: 36200
140.dateofcount,03/07/z2006,03/07/2006
285.trafficvolumecountlocationaddress,916 East,1916 East
1164.street,Kedhzie Ave,Kedzie Ave
604.street,97th aSt,97th St
1272.vehiclevolumebyeachdirectionoftraffic,North Bound: 9900 / South ound: 11200,North Bound: 9900 / South Bound: 11200
1049.vehiclevolumebyeachdirectionoftraffic,North Bound: 100 / South Bound: 6600,North Bound: 5100 / South Bound: 6600
1184.vehiclevolumebyeachdirectionoftraffic,North Bound: 16800 / / Oneway North Boudn,North Bound: 16800 / / Oneway North Bound
749.locationvalue,"(41.987853, -87.84528)","(41.987853, -87.846528)"
951.street,Oak Park Ae,Oak Park Ave
845.locationvalue,"(41.942424,t -87.659044)","(41.942424, -87.659044)"
148.dateofcount,05/02t/2006,05/02/2006
807.dateofcount,09/y05/2006,09/05/2006
558.trafficvolumecountlocationaddress,66h28 South,6628 South
292.dateofcount,11/07/006,11/07/2006
1004.locationvalue,"(41.94665, -8.770393)","(41.94665, -87.70393)"
183.vehiclevolumebyeachdirectionoftraffic,East Bound: 11900 / West Bound: 119d00,East Bound: 11900 / West Bound: 11900
1086.vehiclevolumebyeachdirectionoftraffic,Easdt Bound: 4000 / West Bound: 5400,East Bound: 4000 / West Bound: 5400
