228.sex,Feale,Female
308.noteoncount,Reporting standards nto met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
106.characteristic,"Total - Pacific Islander, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
140.raceethnicity,"White,n on-Hispanic","White, non-Hispanic"
271.sex,Feale,Female
266.raceethnicity,"Asin, non-Hispanic","Asian, non-Hispanic"
147.raceethnicity,"mBlack, non-Hispanic ","Black, non-Hispanic "
283.sex,Feale,Female
288.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate oar the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
239.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vaiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
296.sex,Femsale,Female
72.characteristic,Total ,Total - Hispanic
87.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
21.sex,Mae,Male
67.characteristic,"Total - Black, non-Hispanic ",Total - Hispanic
109.noteonearnings,Reportding standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
131.characteristic,Total ,"Total - Male, White, non-Hispanic"
272.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 05 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
303.raceethnicity,"Two or mroe races, non-Hispanic","Two or more races, non-Hispanic"
123.noteoncount,Reporting standards not met. Eithenr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
143.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percen tor greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
264.sex,emale,Female
11.noteoncount,Reporting standardsnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
311.sex,Femle,Female
204.sex,Mle,Male
118.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
251.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percsent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
284.raceethnicity,"Pacific sIlander, non-Hispanic","Pacific Islander, non-Hispanic"
233.sex,Femlae,Female
115.noteoncount,Reporting standards noit met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
287.noteoncount,Reporting standards not mt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
37.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
71.characteristic,Total ,Total - Hispanic
112.characteristic,Total - Hispanic,"Total - American Indian/Alaska Native, non-Hispanic"
256.sex,Femael,Female
202.raceethnicity,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
101.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
188.noteoncount,Reporting standards not met. Either there are too efw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
134.noteoncount,Reprting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
212.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
259.noteoncount,Reporting satndards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
153.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) isa 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
73.sex,Fekmale,Female
88.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
129.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
243.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
243.sex,Femgale,Female
64.characteristic,Total ,"Total - Black, non-Hispanic "
211.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimat eor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
285.raceethnicity,"Pacific Islaner, non-Hispanic","Pacific Islander, non-Hispanic"
293.sex,hFemale,Female
182.sex,Mael,Male
257.sex,Femae,Female
203.sex,Maqle,Male
49.characteristic,Total ,"Total - White, non-Hispanic"
56.noteoncount,Reporting standards not met. Either therde are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
180.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
114.characteristic,Total - Male,"Total - American Indian/Alaska Native, non-Hispanic"
25.sex,aMle,Male
47.noteoncount,Reporting standards not met. Either there are too fwe cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
38.sex,Femae,Female
62.noteonearnings,Reporting standards not met.m Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
158.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatetr.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
18.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or tihe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
102.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
290.sex,Fmale,Female
92.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
268.raceethnicity,"Asian, no-Hispanic","Asian, non-Hispanic"
177.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 iclude Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
221.sex,gMale,Male
104.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the ocefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
78.characteristic,Total ,Total - Hispanic
86.characteristic,Total ,"Total - Asian, non-Hispanic"
50.characteristic,Total ,"Total - White, non-Hispanic"
83.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
257.raceethnicity,Hispnaic,Hispanic
104.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
159.sex,Mae,Male
116.characteristic,Total - Male,"Total - American Indian/Alaska Native, non-Hispanic"
235.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greatber.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
144.noteonearnings,Reporting standards not met. Either there re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
31.sex,Femlae,Female
276.sex,Femae,Female
59.characteristic,Total - Female,"Total - Black, non-Hispanic "
273.sex,Femae,Female
15.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
100.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
41.characteristic,Total - Female,"Total - White, non-Hispanic"
113.characteristic,"Total - Pacific Islander, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
152.raceethnicity,"Black, nzon-Hispanic ","Black, non-Hispanic "
135.noteoncount,Reporting standards not met. Either there are too fw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
116.noteoncount,Reporting standards not mety. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
30.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Female
138.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the ceofficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
132.characteristic,Total - Male,"Total - Male, White, non-Hispanic"
233.raceethnicity,"Whiyte, non-Hispanic","White, non-Hispanic"
197.sex,Malfe,Male
299.noteoncount,Reporting standards ont met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
260.sex,Femalie,Female
236.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or th coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
37.sex,Femlae,Female
286.raceethnicity,"Pacific Islander, non-Hispnic","Pacific Islander, non-Hispanic"
28.noteonearnings,Reporting standards not et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.characteristic,Total - Female,"Total - White, non-Hispanic"
18.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Male
298.raceethnicity,"American Indian/Alaska Native, no-nHispanic","American Indian/Alaska Native, non-Hispanic"
33.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Female
238.noteonearnings,Reporting standards not met. Eithery there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
35.raceethnicity,"American Inian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
175.noteonearnings,Rporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
256.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficienht of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
183.sex,Mae,Male
187.noteoncount,Reporting standards not met. Either there are too few cases for a reliablse estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
137.characteristic,"Total - Male, hite, non-Hispanic","Total - Male, White, non-Hispanic"
246.sex,Feale,Female
229.raceethnicity,"White, onn-Hispanic","White, non-Hispanic"
294.raceethnicity,"Amkerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
232.sex,emale,Female
52.characteristic,Total ,"Total - White, non-Hispanic"
210.sex,Mle,Male
121.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
160.raceethnicity,Hspanic,Hispanic
233.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiento f variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.characteristic,Total ,"Total - White, non-Hispanic"
98.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
66.characteristic,Total ,Total - Hispanic
36.sex,Femael,Female
61.characteristic,Total - Male,"Total - Black, non-Hispanic "
254.noteoncount,Reporting standards not met. Either there are too fvew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
295.sex,emale,Female
254.sex,Fmeale,Female
229.sex,emale,Female
43.characteristic,Total - Male,"Total - White, non-Hispanic"
90.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
110.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate o rthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
277.sex,emale,Female
258.noteoncount,Reporting standards not met Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
253.sex,emale,Female
247.sex,emale,Female
240.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
205.sex,ale,Male
150.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
43.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estiate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
6.noteoncount,Reporting standajrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
274.noteoncount,Data not availble.,Data not available.
124.characteristic,Total ,"Total - Two or more races, non-Hispanic"
85.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
223.raceethnicity,"White, non-Hispanci","White, non-Hispanic"
39.sex,Femael,Female
199.raceethnicity,"American Indian/Alaska Natiev, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
69.sex,Femlae,Female
76.characteristic,Total ,Total - Hispanic
292.sex,emale,Female
23.noteoncount,Reporting standards not met. Either there are too few casesf or a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
307.sex,Feamle,Female
