38.communityarea,62.0,68
419.storename,JEWEL FOOD TSORE #3368,JEWEL FOOD STORE #3368
30.communityareaname,LINCOL PARK,LINCOLN PARK
5.xcoordinate,1173339.1358198426,1165027.7966924468
52.xcoordinate,1456714.523664959,1191449.6829125532
334.locationvalue,"(41.90225v06897, -87.7659509238)","(41.9022506897, -87.7659509238)"
159.buffersize,pB,B
17.locationvalue,"(41.9415658578, -87.6688604029)","(41.7134978435, -87.5507331066)"
22.licenseid,1272746.0,6321.0
35.longitude,-87.6622352294,-87.6043647208
254.xcoordinate,1622861.5886629894,1196917.3210595995
249.storename,"HYDEPARK PRODUCE, LTD","HYDE PARK PRODUCE, LTD"
6.latitude,41.9262969563,41.9977473006
17.squarefeet,64285.0,2500.0
418.xcoordinate,1366971.2829703472,1153392.176528934
299.locationvalue,"(42.01928855h01, -87.6750585094)","(42.0192885501, -87.6750585094)"
388.communityareaname,LOWER WES TSIDE,LOWER WEST SIDE
485.xcoordinate,1637432.7888945057,1140915.424
117.xcoordinate,835259.7336075495,1176878.787434362
175.address,595 W GRAND AVE,5952 W GRAND AVE
492.communityareaname,AUkSTIN,AUSTIN
38.ycoordinate,1910717.9026233568,1857047.1455825805
37.longitude,-87.7751926809,-87.6947704208
42.ycoordinate,1910159.1206884224,1869626.4543659552
394.longitude,-69.07354654393116,-87.586268258
341.xcoordinate,1269616.1508291666,1155989.471001947
82.locationvalue,"(41.8718636117, -87.7290573726)***","(41.8718636117, -87.7290573726)"
476.longitude,-56.5016546890667,-87.6246657846
306.storename,L MILAGRO,EL MILAGRO
3.longitude,-87.6935345218,-87.6393040996
28.squarefeet,10001.0,3000.0
429.xcoordinate,1087721.0885374087,1168296.854135198
37.address,2534 W PETERSON AVE,2706 W DIVISION ST
452.longitude,-91.1335525080994,-87.7286634185
17.address,1340 S CANAL ST,3004 E 100TH ST
204.locationvalue,"(41.8566571782, -87.638753453)","(41.8566571782, -87.6387533453)"
380.communityareaname,NORWOOD PAsRK,NORWOOD PARK
205.buffersize,,A
465.storename,WALLY'S MAKRET INC,WALLY'S MARKET INC
73.communityareaname,DUNNIGN,DUNNING
40.communityarea,25.0,4
93.communityareaname,NuORTH PARK,NORTH PARK
487.buffersize,***,B
90.storename,K  K FOOD & LIQUOR,K & K FOOD & LIQUOR
27.squarefeet,25000.0,3000.0
445.zipcode,60696,60614
491.address,12315 sS STATE ST,12315 S STATE ST
28.latitude,41.7978225881,41.985638421
371.address,1956  ARMITAGE AVE,1956 W ARMITAGE AVE
4.longitude,-87.7597328373,-87.7234437408
462.address,5155 W ADlDISON ST,5155 W ADDISON ST
172.address,4c738 N KEDZIE AVE,4738 N KEDZIE AVE
445.censustract,17031832624,17031832600
25.ycoordinate,1942415.3164009475,1946507.1666877328
271.locationvalue,"(41.866119494, -87.702927574)","(41.866119494, -87.720927574)"
223.locationvalue,"(41.997669579, -87.687213456)","(41.9976669579, -87.687213456)"
430.buffersize,,B
27.locationvalue,"(41.7596745819, -87.6444202389)","(41.8443879922, -87.7064970959)"
467.buffersize,***,B
106.storename,DOMIICK'S # 1100,DOMINICK'S # 1100
35.locationvalue,"(41.8802960895, -87.7524941982)","(41.7238602893, -87.6043647208)"
34.longitude,-87.7450553112,-87.72385084
321.locationvalue,"(41.808m0472717, -87.7041188223)","(41.8080472717, -87.7041188223)"
23.xcoordinate,1140427.8862632848,1147271.2214136072
218.communityareaname,WASHINGTON PAK,WASHINGTON PARK
295.xcoordinate,1569064.9018832534,1166633.854413612
496.censustract,17031840784,17031840700
408.longitude,-82.27903432769665,-87.7871288207
477.locationvalue,"(41.9952114602, 8-7.6602779929)","(41.9952114602, -87.6602779929)"
309.xcoordinate,846480.4244031879,1158430.460832184
491.communityareaname,WEST PULLpMAN,WEST PULLMAN
116.locationvalue,"4(1.931406291, -87.7479369735)","(41.931406291, -87.7479369735)"
468.communityarea,57,34
437.storename,FIRST CHOrICE MARKET,FIRST CHOICE MARKET
250.longitude,-48.016070875733895,-87.6277515583
446.longitude,-130.76303211963085,-87.6537783218
30.xcoordinate,1155046.9425476384,1172706.707831624
12.storename,CARNICERIA LA GLOgRIA,CARNICERIA LA GLORIA
274.locationvalue,"(41.8330447382, -876.146113644)","(41.8330447382, -87.6146113644)"
262.locationvalue,"(41.756035091, -87.68285832t16)","(41.756035091, -87.6828583216)"
151.communityareaname,AVALON PARkK,AVALON PARK
25.communityareaname,WEST ELSDON,ROGERS PARK
183.xcoordinate,1453211.455589894,1159779.467
42.address,5829 S ARCHER AVE,5257 S ASHLAND AVE
36.locationvalue,"(41.8645211937, -87.6393040996)","(41.7729575221, -87.6099733981)"
325.locationvalue,"(41.849857532, -87.7053434771)","(41.8498575327, -87.7053434771)"
25.xcoordinate,1156542.5273663977,1163418.9267608444
7.latitude,41.9262969563,41.8910492873
431.communityarea,61,14
408.communityareaname,AUSIN,AUSTIN
175.xcoordinate,1136213.464557395,1136148.464557395
346.longitude,-64.6283729304102,-87.6890642657
8.latitude,41.9262969563,41.968445246
504.communityareaname,CICAGO LAWN,CHICAGO LAWN
13.longitude,-87.6625846787,-87.6390989281
21.xcoordinate,1156842.0502440669,1172208.8098604858
175.censustract,17031191361,17031191302
445.censusblock,1.70318326002079E14,1.70318326002019E14
37.communityarea,14.0,24
175.communityareaname,BELMONT CRAIGN,BELMONT CRAGIN
27.ycoordinate,1942415.3164009475,1886508.4249456285
20.licenseid,34508.0,39968.0
468.longitude,-80.71574873094943,-87.6319155034
12.longitude,-87.6625846787,-87.6887220987
349.address,692 W GRAND AVE,6922 W GRAND AVE
34.address,5345 W OHIO ST,3939 W OGDEN AVE
411.communityareaname,AUSIN,AUSTIN
77.locationvalue,"(42.009949199, -87.6671741467)","(42.0079949199, -87.6671741467)"
244.communityareaname,BRIGTHON PARK,BRIGHTON PARK
190.buffersize,***,A
86.address,223 W HOWARD ST,2233 W HOWARD ST
378.communityareaname,ENGyLEWOOD,ENGLEWOOD
463.xcoordinate,1436781.4157051016,1179690.182993199
