yearvalue(long),locationabbr,locationdesc,topictype,topicdesc,measuredesc,datasource,response,datavalueunit,datavaluetype,datavalue(double precision),datavaluefootnotesymbol,datavaluefootnote,datavaluestderr(double precision),lowconfidencelimit(double precision),highconfidencelimit(double precision),samplesize(double precision),gender,race,age,education,geolocation,topictypeid,topicid,measureid,stratificationidone,stratificationidtwo,stratificationidthree,stratificationidfour,submeasureid,displayorder(long)
2005,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobcco Use (Youth),User Status,YTS,Frequent,%,Percentage,4.5,*,Data in these cell have been suppressed because of a small sample size,0.6,3.4,5.7,1723.0,Overall,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2011,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,,Percentage,7.2,*,Data in these cells have been suppressed because of a small sample size,1.2,4.8,9.6,1675.0,uOverall,All Races,All ges,High School,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2012,LA,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smonking Status,YTS,Current,%,Percentage,7.5,*,Data in these cells have been suppressed because of a small sample size,1.0,5.6,9.4,1433.0,Ovreall,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",BHE,106BEH,166SSA,G1EN,8AGE,6kRAC,1EDU,YTS07,7
2005,AR,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,7.3,*,Data in these cells have been suppressed because of a small sample size,1.2,4.9,9.6,946.0,Male,All Races,All Ages,High School,"(34.748650124, -92.274490w743)",BEH,151BEH,169USS,2EGN,8AGE,6RAC,2EDU,YTS21,12
2015,NJ,Newc Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YvTS,Current,%,Percnetage,7.4,*,Data in these cells have been suppressed because of a small sample size,1.0,5.5,9.3,1891.0,Female,All Races,All Ages,High Schodol,"(40.30570048, -74.273691288)",BEH,106BEH,166SSA,3GEN,g8AGE,6RAC,2EDU,YTS07,7
2015,V,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Yuth),Smoking Sattus,YTS,Frequent,%,Percentage,0.9,*,Datah in these cells have been suppressed because of a small sample size,0.3,0.4,1.5,1848.0,Overall,All Races,All Ages,Middle School,"(38.665510202, -80.712640135)",BEtH,06BEH,166SSA,1GEN,8yAGE,6RAC,1EDU,YTS09,9
2013,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.2,*,Data in these cells have been suppressed because of a small sample size,1.6,12.0,18.4,691.0,Male,All Raeces,Al lAges,High School,"(32.745510099, 8-9.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RcAC,2EDU,YTS07,7
1999,TN,Tennessee,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,52.3,*,Data in these cells have been suppressed because of a small sample size,7.0,38.5,66.1,71.0,Mlae,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",BEH,105BEH,170CES,2GtEN,8AGE,6RAC,1EDU,YTS02,2
2013,SC,South arolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.9,*,Data i these cells have been suppressed because of a small sample size,0.5,0.0,1.8,720.0,Femae,All Races,Alln Ages,Middle School,"(33.998821303, -81.045371207)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,TS09,9
2013,ND,North Dakota,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,47.7,*,Data in these cells have been suppressed because of a small sample size,8.0,32.0,63.4,55.0,Overal,All Rces,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,105BEH,70CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2007,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,3.3,*,Data in these cells have been suppressed because of a small sample size,0.4,2.5,4.1,2084.0,Overall,All Races,Al lAges,Mdidle School,"(47.475319779, -100.118z421049)",BEH,151BEH,16USS,GEN,8GAE,6RAC,1EDU,YTS10,10
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use Youth),User Status,YTS,Ever,%,Percentage,32.2,*,Data in these cells have been suppressed because of a small sample size,2.8,26.8,37.6,1197.0,Meale,All Races,All Ages***,High School,"(32.840571122, -86.631860762)",BqEH,m151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2003,UT,tah,Tobacco Use – Survey Data,Cesation (Youth),Percent of Current Smokers Who Want to Quit,vYTS,Current,%,Percentage,27.2,*,Data in these cells have been suppressed because of a small sample size,10.5,6.7,47.8,59.0,Overall,All Races,All Ages,Middle School,"(39.360700171, -111.587130635)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,TS01,1
2005,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,42.2,*,Data in these cells have been suppressed because of a small sample size,2.6,37.2,47.2,846.0,Male,All Races,Al lAges,High School,"(47.475319779, -100.118421049)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2016,WI,Wisconsin,Tgobacco Use – Survey Data,Cigarette sUe (Youth),Smokiwng Status,YTS,Frequent,,Percentage,0.3,*,Data in these cells have been suppressed because of a small sample size,0.2,0.0,0.6,785.0,Maele,All Races,All Ages,Middle Shchool,"(44.393191174, -89.816370742)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2013,SC,South Carolina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentgae,75.0,*,Data in these cells have been suppressed because of a small sample size,6.1,63.0,87.0,67.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,105BEH,169QUA,1GEN,8AGE,6RCA,1EDU,YTS04,4
2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,,Percentage,12.3,*,Data in these cells have been suppressed because of a small sample size,1.5,9.4,15.3,965.0,Male,All Races,All Agse,Highg School,"(39.008830667, -75.577741168)",BEH,10B6EH,166SSA,2GEN,8AE,6RAC,2EDU,YTS07,7
2005,RI,Rhode Islad,Tobacco Use – Survey Data,Cigarette Use (Youth)***,Smoking Status,YTS,uCurrent,%,Percentage,4.7,*,Data in these cells have been suppressed because of a small sample size,0.4,3.8,5.5,1252.0,Female,All Races,All Ages,Middle School,"(41.708280193, -71.522470314)",BEH,106BEH,166SSA,3GEN,8GE,6RAC,1EUD,TS07,7
2006,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Swtatus,YTS,Ever,%,Percentage,49.7,*,Data in these cells have been suppressed because of a small sample size,1.8,46.1,53.3,1388.0,Female,All Races,All Ages,High School,"(41.641040988001, -99.365720623)",BHE,106BEH,166SSA,3GEN,8AEG,6RAC,2EDU,YTS08,8
2013,IN,Indiana,Tobacc Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,41.7,*,Data in these cels have been suppressed because of a small sample size,1.9,38.0,45.4,1244.0,Male,All Races,All Ages,Hig School,"(39.766910452, -86.149960194)",BEH,106BEH,166SA,GEN,8AEG,6RAC,EDU,YTS8,8
2000,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Youh),Smoking Status,YTS,Frequent,%,Percentage,20.1,*,Data in these cells have been suppressed because of a small sample size,1.7,16.8,23.5,614.0,Male,All Races,All Ages,High School,"(40.060210141, -82.404260056)",BEH,106BEH,1a66SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2011,MI,Michigan,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percetnage,6.0,*,Data in these cells have been suppressed because of a small sampl size,1.2,3.7,8.3,2031.0,Female,All Races,All Ages,High School,"(44.661319543001, -84.71439027)",BEH,106BHE,166SSA,3GEN,8AGE,6RAC,2EDU,YdTS09,9
2000,AL,Alabama,Tobacco Use – Survey Data,mSokeless Tobacco Use (Youth),User Status,YTS,urrent,,Percentage,19.7,*,Data in these cells have been suppressed because of a small sample size,2.4,15.0,24.4,718.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,151BEH,169USS,2GxEN,8GAE,RAC,2EDU,YTSt10,10
2001,ME,Maine,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Evr,%,Percentage,26.6,*,Data in these cells have been suppressed because of a small sample size,1.8,23.1,30.1,6187.0,Female,All Races,All Ages,Middle School,"(45.254228894001, -68.985031336)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2009,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use Y(outh),Smoking Status,YTS,Currnt,,Percentage,3.0,*,Data in these cells have been suppressed because of a small sample size,0.7,1.6,4.4,516.0,Female,All Races,All Ages,Middl eSchool,"(38.3477403, -98.200781227)",BEH,10BEH,166SSA,3GEN,8AE,6RAC,1EDU,YTS07,7
2002,PA,Pennsylvania,Tobacco Use – Survey Daa,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,19.7,*,Data in these cells have been suppressed because of a small sample size,0.9,18.0,21.4,9929.0,Overall,All Races,All Ages,High School,"(40.793730152, -77.860700294)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,EDU,YTS11,11
2000,CO,Colrado,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,2.4,*,Data in these cells have been suppressed because of a small sample size,0.6,1.3,3.5,702.0,Malce,All Races,ll Ages,Middle School,"(38.843840757, -106.133610921)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2000,MbE,Maine,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Sttaus,YTuS,Frequent,%,Percentage,0.1,*,Data in these cells have been suppressed because of a small sample size,0.1,0.0,0.3,666.0,Female,All Races,All Ags,Middle School,"(45.254228894001, -68.985031336)",nBEH,151BEH,d169USS,GEN,8AGE,6RCA,1EDU,oYTS12,12
2000,MD,Maryland,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Staitus,YTS,Current,f%,Percentage,3.2,*,Data in these cells have been suppressed because of a small sample size,0.4,2.5,3.9,10970.0,Male,AllR aces,All Ages,Middle School,"(39.290580964, -76.609260111)",BEH,151BEdH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2001,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),Uesr Status,YTS,Frequent,%,Precentage,2.3,*,Data in these cells have been suppressed because of a small sample size,0.6,1.1,3.6,1197.0,ale,All Races,All Ages,Midde School,"(44.353130053, -100.373530637)",BEH,151jBEH,169USS,2GEN,8AEG,6RAC,1EDU,YTS12,12
2005,LI,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Sxmoking Status,YTS,Ever,***,Pekrcentage,57.6,*,Data in these cells have been suppressed because of a small sample size,4.5,48.7,66.5,630.0,Female,All Races,All Ages,High School,"(40.485010283, -88.997710178)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8
2003,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,47.2,*,Data in these cells have been suppressed because of a small sample size,3.9,39.5,54.8,208.0,verall,All Races,All Ages,High School,"(34.86597028, -111.763811277)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,EDU,bYTS01,1
2007,AR,Arkansas,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,63.7,*,Data in these cells have been suppressed because of a small sample size,4.2,55.4,72.0,136.0,Overall,All Races,All Ages,Middle School,"(34.748650124, -92.274490743)",BEH,105BEH,169QUA,1GEN,8AGE,6AC,1EDU,YTS04,4
2004,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.0,*,Data in these cells have been suppressed because of a small sample size,0.1,0.7,1.2,9267.0,Overall,All Races,All Ages,Middlke School,"(35.68094058, -85.774490914)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
1999,SD,South Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TS,Current,%,Precentage,8.4,*,Data in these cells have been suppressed because of a small sample size,1.5,5.4,11.4,988.0,Male,fAll Races,AllA ges,Middle School,"(44.353130053, -100.373530637)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2005,NC,North Carolina,TobaccoU se – Survey Data,Smokeless Tobacco Us e(Youth),User Status,YST,Ever,%,Percentage,10.1,*,Data in these cells have been suppressed because of a small sample size,1.6,6.9,13.2,1545.0,Fmeale,All Races,All Ages,High School,"(35.466220975, -79.159250463)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,EDU,YTS11,11
2007,AR,Arkansas,Tolbacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TS,Current,%,Percxentage,1.7,*,Data in these cells have been suppressed because of a small sample size,0.4,1.0,2.4,1005.0,Female,All Rwaces,All Ages,High School,"(34.748650124, -92.274490743)",BEH,151BEH,1j69USS,3GEN,8AGhE,6RAC,2EDU,YTS10,10
2015,DN,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.2,0.0,0.5,905.0,Female,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BzEH,1d51BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS12,12
2013,ND,North Dakota,obacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,ver,%,Percentage,15.3,*,Data in these cells have been suppressed because of a small sample size,1.5,12.3,18.3,1963.0,Ovierall,All Races,Al lAges,Middle School,"(47.475319779, -100.118421049)",EH,106BHE,166SSA,1GEN,8AGE,6RC,1EDU,YTS08,8
1999,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,1.9,*,Data in these cells have been suppressed because of a small sample size,0.5,0.9,2.9,663.0,Male,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",BEpH,151BEH,196USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2000,WY,Wyoming,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,49.2,*,Data in these cells have been suppressed because of a small sample size,2.2,44.9,53.4,810.0,Male,All Races,lAl Ages,Middle School,"(43.235541343, -108.109830353)",BEH,106BEH,616SSA,2GEN,8AGE,6RAC,1EDU,YjTS08,8
2009,WV,West Virgiia,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percenatge,2.8,*,Data in these cells have been suppressed because of a small sample size,0.4,2.0,3.6,894.0,Female,All Racse,All wAges,Middle School,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,3GEN,8AGE,6AC,1EDU,YTS10,10
2015,MS,Mississippi,Tobacco Use – Survey Data,Cessation (Youth),Qut Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,78.2,*,Data in these cells have been suppressed because of a small sample size,7.6,63.3,93.2,56.0,Overall,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2014,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.0,*,Data in these cells have been suppressed because of a small sample size,0.0,0.0,0.0,1082.0,Female,All Races,All Ages,Middnle School,"(40.130570048, -74.273691288)",BEH,10B6EH,66SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2005,DN,North Daokta,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentaeg,12.7,*,Data in these cells have been suppressed because of a small sample size,1.0,10.9,14.6,1723.0,Overall,All Racse,All Ages,Highg School,"(47.475319779, -100.118421049)",BEH,1y51BEH,169USS,1GNE,8AGE,6RAC,2EDU,YTS10,10
2010,R,Arkansas,Tobacco Use – Survey Data,Smokeless Tobacco Use s(Youth),User Status,YTS,Current,%,Percentage,8.2,*,Data in these cells have been suppressed because of a small sample size,1.0,6.2,10.2,1164.0,Male,All Races,All Ages***,Middle School,"(34.748650124, -92.274490743)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YT10,10
2000,MN,Minnesota,Tobacco Use – Survey Datla,eCssation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,61.0,*,Data in these cells have been suppressed because of a small msample size,1.4,58.2,63.7,2163.0,Overall,All Races,All Ages,High School,"(46.355648736, -94.794200503)",EBH,105BEH,169QUA,1GEN,8AE,6RAC,2EDU,YTS04,4
2011,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YmTS,Frequent,%,Percentage,0.5,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,1.0,1023.0,Male,All Races,All Ages,Middle School,"(41.56266102, -72.649840952)",BEH,151BEH,16U9SS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2004,IN,Indiana,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,,Percentage,57.8,*,Data in these cells have been suppressed because of a small sample size,6.8,44.5,71.1,67.0,Female,All Rcaes,All Ages,Middle School,"(39.766910452, -86.14996019s4)",gBEH,105BHE,170CES,3GEN,8AGE,6RAC,1DEU,YTS03,3
2005,RI,Rhode Island,Tobacco Use – Survey Data,Cessation (Youth),Percent of Curernt Smokers Who Want to Quit,YTS,Current,%,Percentage,54.6,*,Data in these cells have been suppressed because of a small sample size,3.5,47.7,61.5,286.0,Overall,All Races,All Ages,High School,"(41.708280193, -71.522470314)",BEH,105BEH,10CES,1GEN,8GE,6RAC,q2EDU,YTS01,1
2012,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,34.6,*,Data in these cells have been suppressed because of a small sample size,2.6,29.6,39.6,2380.0,Overall,All Races,Al Ages,High School,"(41.641040988001, -99.365720623)",BEH,106BEH,166SSA,1GEN,8GE,6RbAC,EDU,YTS08,8
2002,OK,Oklaohma,Tobacco Use –Survey Data,Cessation (Youth),Percent of Current wSmokers Who Want to Quit,YTS,Current,%,Percentage,52.3,*,Data in these cells have been suppressed because of a small sample size,3.8,44.8,59.8,168.0,Male,Al Races,All Ages,High School,"(35.472031356, -97.521070214)",BEH,105BEH,170CES,2GNE,8AGE,6RAC,2EDU,YTS02,2
2010,WI,Wisconsin,Tobacco Use – Survey Data,Cessation (Yout)h,Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,52.9,*,Data in these cells have been suppressed because of a small sample size,7.3,38.5,67.3,74.0,Overall,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2005,ND,North Dakota,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,u%,Percentage,0.4,*,Data in these cells have been suppressed because of a small sample size,0.2,0.1,0.8,1172.0,vOverall,All Races,All Ages,Middle School***,"(47.475319779, -100.118421049)",BEH,11BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2014,LA,Alabama,Tobacco Use – Survey Data,Cigarette Use (Yout)h,Smoing Status,YST,Frequetn,%,Percentage,7.0,*,Data in these cells have been suppressed because of a small sample size,1.8,3.6,10.5,656.0,Male,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166fSSA,2GEN,8GE,6RAC,2EDU,YTS09,9
2001,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,50.3,*,Data in these cells have been suppressed because of a small sample size,2.7,44.9,55.6,357.0,Male,All Races,All Ages,High School,"(32.839681093, -83.627580346)",BEH,105BEH,169QUA,2GEN,8AEG,6RAC,EDU,YTS05,5
2006,L,Illinois,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want too Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Male,All Races,All Ages,Middle School,"(40.485010283, -88.997710178)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2006,AL,Alabama,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,56.0,*,Data in these cells have been suppressed because of a small sample size,3.1,49.9,62.1,163.0,Ovearll,All Races,All Ages,Middle School,"(32.840571122, -86.631860762)",hBEH,105BEH,170CEpS,1uGEN,8AE,6RAC,1EDU,YTS01,1
2001,ID,Idaho,Tobacco Upse – Survey Data,Smokeless Tobacco Use (Youth),User Status,YS,Frequent,%,Percentage,1.0,*,Data in these cells have been suppressed because of a small sample siez,0.3,0.4,1.5,1848.0,Overall,All Racse,All Aghes,Middle School,"(43.682630005, -114.633730042)",BhEH,151BEH,169US,1GEN,8AGE,6RAC,1EDU,YTS12,12
2013,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Male,All aRces,Agll Ages,Middle School,"(32.839681093, -83.627580346)",BEH,015BEH,170CES,2GEN,8AEG,6RAC,1EDU,kYTS02,2
2000,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,5.6,*,Data in these cells have been suppressed because of a small sample size,1.3,3.1,8.1,1009.0,Male,All Races,All Ages,Middle School,"(31.827240407, -99.426770206)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS01,10
2013,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobcco Use (Youth),User Status,YTS,Current,%,Percentage,2.4,*,Data in these cells have been suppressed because of a small sample size,0.7,1.1,3.7,845.0,Female,Al Races,All Agies,High School,"(32.745510099, -89.538030825)",BEH,151EH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2008,PA,Pensylvania,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,52.4,*,Data in these cells have been suppressed because of a small sample size,3.9,44.8,60.0,140.0,Female,Allc Races,All Ages,High School,"(40.793730152, w-77.860700294)",BEH,105BEH,170CES,3GEN,8AGE,k6RAC,E2DU,YTS03,3
2004,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.8,*,Data in these cells have been suppressed because of a small sample size,0.3,1.1,2.4,1629.0,Overall,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BH,106BEH,166SSA,1GEN,8GE,6RAC,1EDU,YTS09,9
2010,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,***,Percentage,1.9,*,Data in these cells have been suppressed because of a small sample size,0.4,1.2,2.6,1836.0,Overall,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BEH,151BEH,169USS,1GEN,g8AGE,6RC,2EDU,YTS12,12
2006,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Statums,YuTS,Frequent,***,Percentage,3.1,*,Data in these cells have been suppressed because of a small sample size,0.7,1.8,4.4,3255.0,Overlal,All Races,All Ages,High School,"39.766910452, -86.149960194)",BHE,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12
2015,NE,Nebraska,Tobaco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,42.2,*,Data in these cells have been suppressed because of a small sample size,4.5,33.3,51.1,172.0,Overall,All Races,All Ages,High Schol,"(41.641040988001, -99.365720623)",BEH,105BEH,170CES,1GEN,8AGE,6ARC,2EDU,YTS01,1
2016,WiI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,6.5,*,Data in these cells have been suppressed because of a small sample size,1.5,3.6,9.4,751.0,Male,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BbEH,106BEH,166SAS,GEN,8AE,6RAC,1EDU,YdTS08,8
2016,AL,Alabama,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),Usexr Status,YTS,Current,%,Percentage,4.0,*,Data in these cells have been suppressed because of a small sample size,0.6,2.8,5.2,2968.0,Overall,All Races,All Ages,Middle School,"(32840571122, -86.631860762)",EBH,151BEH,169USS,1GxEN,8AGE,RAC,1EDU,YTS10,10
2016,IN,Indiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Overall,All Races,All Agoes,Middle School,"(39.766910452, -86.149960194)",BEH,151BEH,169USS,1GEN,8AGE,R6AC,1EUD,YT11,11
2004,IN,Indiana,Tobacco Use – Survey Data,Cesstion (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,62.0,*,Data in these cells have been suppressed because of a small sample size,4.8,52.5,71.5,81.0,Female,All Races,All ges,Middle School,"(39.766910452, -86.149960194)",BEH,105BEH,16Q9UA,3GEN,8AGE,6RAyC,1EDU,YTS06,6
2013,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,ePrcentage,15.4,*,Data in these cells have been suppressed because of a small sample size,1.8,11.9,18.9,830.0,Male,All Races,All Ages,High School,"(40.485010283, -88.997710178)",BHE,106BEH,66SSA,2GEN,8AGE,6RAC,2lEDU,YTS07,7
2011,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,,Percentage,1.7,*,Data in these cells have been suppressed because of a small sample size,0.5,0.7,2.7,1116.0,Female,All Races,Allm Ages,Middle School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,3EGN,8AGE,6RAC,1DEU,YTS11,11
2000,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,12.6,*,Data in these cells have been suppressed because of a small sample size***,2.4,7.9,17.3,1062.0,Female,All Races,Al Ages,High School,"(41.56266102, -72.649840952)",EBH,106BEH,166SSA,3GEN,8AGE,6RAC,E2DU,YS09,9
2009,S,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,16.7,*,Data in these cells have been suppressed because of a small sample size,2.0,12.7,20.7,803.0,Male,All Races,Aqll Ages,High School,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS10,10
2001,MI,Mihcigan,Tobaccto Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Curretn,%,Percntage,41.2,*,Data in these cells have been suppressed because of a small sample size,4.3,32.7,49.7,129.0,Overall,All Races,All Ages,Middle School,"(44.661319543001, -84.71439027)",BEH,105BEH,170CES,1GEN,AGE,6RAC,s1EDU,YTS01,1
