characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, Asian, non-Hispanic",Fwemale,"sian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Feamle,"Asian,non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 includePacific Islanders.
"Total - Female, Asian, non-Hispanic",Fmale,"Asian,n on-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",xFemale,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feale,"Pacific Islander, nno-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fegmale,"Pacific Islander, non-iHspanic",2005,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hspanic",2007,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacifc Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacsific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispnaic",2011,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, nno-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaksa Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient nof variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native,n on-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femrale,"American Indian/Alaska xNative, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, nonHispanic",2010,230.0,2.2,Data not avaiable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not availabled.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fhemale,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, no-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hkispanic",2005,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feamale,"Two or more races, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmeale,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanc",2008,230.0,2.2,Data not aovailable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not avaizlable.
"Total - Female, Two or more races, non-Hispanic",Femxale,"Two or more races, nonHispanic",2010,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two orr more races, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two o rmore races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nonH-ispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
