1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
695.operativeprocedure,Exploratory abdomal surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
995.county,Pacer,Placer
682.county,Madrea,Madera
472.county,Huboldt,Humboldt
1428.statevalue,Califiornia,California
1431.statevalue,alifornia,California
1073.county,Los Angelse,Los Angeles
1159.statevalue,Caliifornia,California
759.operativeprocedure,Explohratory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
225.hai,"Healthcare Associated Infection, Surgical Site Infectinos (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
982.hai,"Healthcare Associated Infection, Surgical Site Infectoins (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1173.hai,"Healthcare Associated Infection, Surgical Site Inefctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
447.county,hasta,Shasta
945.facilityname,Cedars-Sinai Mdeical Center,Cedars-Sinai Medical Center
52.facilityname,Fairchil dMedical Center,Fairchild Medical Center
216.operativeprocedure,Appendx surgery,Appendix surgery
245.hai,"Healthcarwe Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1457.hai,"Healthcare Associated Infection, Surgcial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
420.hai,"Healthcare Associated Infection,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
223.county,SanD iego,San Diego
1303.statevalue,xCalifornia,California
1030.operativeprocedure,Lamionectomy,Laminectomy
1435.facilityname,"Kaiser Foundation Hospital, OaklandR/ichmond","Kaiser Foundation Hospital, Oakland/Richmond"
132.hai,"Healthcare Associated Infection, Sugical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
873.hai,"Healthcare Associated Ifnection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1441.hai,"Healhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
287.county,Alaumeda,Alameda
1473.statevalue,Caliofrnia,California
1048.county,San Berncardino,San Bernardino
380.county,mperial,Imperial
1028.facilityname,"Ste. Joseph Hospital, Orange","St. Joseph Hospital, Orange"
691.operativeprocedure,Exploratry abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1156.county,Los Angelefs,Los Angeles
85.operativeprocedure,Appednix surgery,Appendix surgery
395.facilityname,Hemet ValleyMedical Center,Hemet Valley Medical Center
734.statevalue,Cailfornia,California
1002.statevalue,Califoria,California
149.facilityname,Mercy MedicalC enter,Mercy Medical Center
316.statevalue,Califonria,California
1040.operativeprocedure,Liver tarnsplant,Liver transplant
431.county,San Bernaerdino,San Bernardino
740.hai,"Healthcare Associated Infection, Surgicayl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1453.facilityname,Lucile Packard Children's Hospital Stanfodr,Lucile Packard Children's Hospital Stanford
312.operativeprocedure,"Bile duct, liver or panceatic surgery","Bile duct, liver or pancreatic surgery"
1078.facilityname,Fountain Valley Regional Hospital  Medical Center,Fountain Valley Regional Hospital & Medical Center
59.hai,"Healthcare Assoeciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
568.statevalue,Calimfornia,California
480.county,Ls Angeles,Los Angeles
344.facilityname,St. Bernardie Medical Center,St. Bernardine Medical Center
1125.hai,"HealthcareA ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
413.facilityname,"KaiserFoundation Hospital, Ontario","Kaiser Foundation Hospital, Ontario"
1479.statevalue,Californai,California
337.county,os Angeles,Los Angeles
415.facilityname,"Kaiser Foundation Hospital, Orange Couny, Irvine","Kaiser Foundation Hospital, Orange County, Irvine"
475.facilityname,Ridgecrst Regional Hospital,Ridgecrest Regional Hospital
1011.county,Monteery,Monterey
1193.operativeprocedure,Opne reduction of fracture,Open reduction of fracture
939.hai,"Healthcare Associated Infection, Surgical Site Infections (SSIo)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
766.hai,"Healthcare Associated Infection, Surgica Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
790.county,Ls Angeles,Los Angeles
106.hai,"HealthcareAssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1120.operativeprocedure,Openr eduction of fracture,Open reduction of fracture
369.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
61.statevalue,Califaornia,California
115.operativeprocedure,Appendix surlgery,Appendix surgery
59.operativeprocedure,Appendix sugery,Appendix surgery
381.county,Stanisldaus,Stanislaus
914.facilityname,USC Vedrugo Hills Hospital,USC Verdugo Hills Hospital
22.statevalue,Californai,California
1450.hai,"Healthcare Associated Infection, Surgicqal Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
403.hai,"Healthcare Associated Infection, Surgical Site Infections c(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
125.facilityname,ompoc Valley Medical Center,Lompoc Valley Medical Center
1051.county,Los Angelyes,Los Angeles
645.operativeprocedure,Exploratoy abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1416.operativeprocedure,Thracic surgery,Thoracic surgery
286.county,Los Abngeles,Los Angeles
1115.hai,"Healthcare Associated Inefction, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
504.operativeprocedure,Cesarean sectino,Cesarean section
866.statevalue,Califonria,California
793.statevalue,Claifornia,California
1045.operativeprocedure,Open reductio nof fracture,Open reduction of fracture
207.county,Ken,Kern
226.operativeprocedure,Appenix surgery,Appendix surgery
520.county,Scramento,Sacramento
921.operativeprocedure,Gallbladder usrgery,Gallbladder surgery
1054.county,Orane,Orange
696.hai,"Healthcarse Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1274.statevalue,Califoqrnia,California
976.operativeprocedure,Laminecotmy,Laminectomy
477.county,iverside,Riverside
246.operativeprocedure,Appendix surgry,Appendix surgery
188.operativeprocedure,Appendix srugery,Appendix surgery
644.operativeprocedure,Exploratcory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
537.county,Los Anglees,Los Angeles
500.operativeprocedure,Cesareazn section,Cesarean section
152.facilityname,Mercy San Juna Medical Center,Mercy San Juan Medical Center
810.statevalue,Califonia,California
956.facilityname,"Kaiser Foundation Hospital, Oalkand/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
254.statevalue,Californixa,California
1287.county,Contrma Costa,Contra Costa
107.operativeprocedure,Appendi xsurgery,Appendix surgery
988.facilityname,Huntington MemorialHospital,Huntington Memorial Hospital
792.hai,"Healthcare Associated Infetion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
236.county,hVentura,Ventura
452.statevalue,Califronia,California
690.county,olano,Solano
361.county,Sran Bernardino,San Bernardino
152.hai,"Healthcare Associated Infection, uSrgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1478.statevalue,Caliornia,California
649.operativeprocedure,Exploratory adomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1106.operativeprocedure,Open reduction of frcture,Open reduction of fracture
484.county,Riversied,Riverside
679.facilityname,Los Robles Hosptial & Medical Center,Los Robles Hospital & Medical Center
1077.statevalue,Cailifornia,California
862.statevalue,Caliofrnia,California
903.county,Loms Angeles,Los Angeles
41.statevalue,Caliofrnia,California
572.facilityname,Memorial Hospital Loes Banos,Memorial Hospital Los Banos
1158.statevalue,Califorina,California
934.facilityname,Lucile Packard Children's Hosital Stanford,Lucile Packard Children's Hospital Stanford
210.operativeprocedure,Apkpendix surgery,Appendix surgery
116.statevalue,Californgia,California
666.facilityname,"aiser Foundation Hospital, South Bay","Kaiser Foundation Hospital, South Bay"
782.statevalue,Califorina,California
702.county,Los Anegles,Los Angeles
612.operativeprocedure,Colon sugery,Colon surgery
1001.facilityname,Keck fHospital of USC,Keck Hospital of USC
699.hai,"Healthcare Associated Infection, Surgical Site Infectons (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
84.county,Los Angelse,Los Angeles
732.operativeprocedure,Exploratory abdomal surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
225.facilityname,Sierr Nevada Memorial Hospital,Sierra Nevada Memorial Hospital
762.county,San Bernardno,San Bernardino
62.facilityname,Glendale Memoria lHospital and Health Center,Glendale Memorial Hospital and Health Center
1344.operativeprocedure,Spinalfusion,Spinal fusion
1487.hai,"Healthcare Associted Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
594.county,Snta Clara,Santa Clara
1279.facilityname,Communit Hospital Long Beach,Community Hospital Long Beach
1471.operativeprocedure,Throacic surgery,Thoracic surgery
64.facilityname,Goleta Valley CottageH ospital,Goleta Valley Cottage Hospital
464.county,Rvierside,Riverside
769.operativeprocedure,Gallblader surgery,Gallbladder surgery
1116.statevalue,alifornia,California
596.county,San Dieog,San Diego
513.operativeprocedure,Cesarean sectin,Cesarean section
208.county,San rJoaquin,San Joaquin
222.hai,"Healthcare Associated Inifection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
882.county,Sn Bernardino,San Bernardino
1058.hai,"Healthcare Associaed Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
42.statevalue,Calxifornia,California
324.statevalue,Califronia,California
1012.county,Los Angles,Los Angeles
842.facilityname,Los Angeles Community Hospiatl,Los Angeles Community Hospital
1494.statevalue,Califrnia,California
941.statevalue,Calijfornia,California
1095.hai,"Healthcare Associated Infection, Surgical Site Infkections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
468.county,Los Angelezs,Los Angeles
1455.facilityname,Natiivdad Medical Center,Natividad Medical Center
310.statevalue,Caifornia,California
252.operativeprocedure,Appnedix surgery,Appendix surgery
1436.operativeprocedure,Thoracic surgry,Thoracic surgery
1385.statevalue,Californai,California
1331.operativeprocedure,Smal bowel surgery,Small bowel surgery
364.facilityname,California Pacific Medical Center  St. Luke's Campus Hospital,California Pacific Medical Center - St. Luke's Campus Hospital
1171.facilityname,Redlands Community Hospitl,Redlands Community Hospital
796.county,iskiyou,Siskiyou
1110.hai,"Healthcvare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1220.facilityname,Tri-Cty Medical Center,Tri-City Medical Center
838.statevalue,Califormnia,California
978.statevalue,Caliofrnia,California
361.hai,"Healthcare Associated Infection, Surgical Sitfe Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
300.county,Santa Clraa,Santa Clara
574.county,Soalno,Solano
559.facilityname,"Kaiser Foundtaion Hospital, San Diego","Kaiser Foundation Hospital, San Diego"
602.statevalue,Calfiornia,California
528.operativeprocedure,Cesaran section,Cesarean section
950.operativeprocedure,Kidney transpalnt,Kidney transplant
986.operativeprocedure,Lmainectomy,Laminectomy
196.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
996.facilityname,"Kaiser Foundation Hospital, acramento","Kaiser Foundation Hospital, Sacramento"
7.hai,"Healthcare Associated Infection, Surgical Site Infecctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
486.county,Stan Joaquin,San Joaquin
1132.hai,"Healthcare Associatd Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1276.hai,"Healthcare Associated Infecion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
902.statevalue,Califonia,California
718.hai,"Healthcare Associated Infeciton, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
918.operativeprocedure,allbladder surgery,Gallbladder surgery
150.facilityname,Mercy Medical Center tM. Shasta,Mercy Medical Center Mt. Shasta
119.hai,"Healthcare Associated Infectin, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1398.facilityname,UCSF edical Center,UCSF Medical Center
718.county,uSanta Barbara,Santa Barbara
220.facilityname,Sequoia Hospitajl,Sequoia Hospital
319.hai,"Healthcare Associated Infection, Surgicl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1119.county,SanMateo,San Mateo
16.facilityname,California Pacific Medical Center - California Wetst Campus Hospital,California Pacific Medical Center - California West Campus Hospital
131.operativeprocedure,Appexndix surgery,Appendix surgery
559.operativeprocedure,Colon subrgery,Colon surgery
568.facilityname,Loma Linda University Medicl Center,Loma Linda University Medical Center
434.facilityname,Los Robles Hospital &x Medical Center,Los Robles Hospital & Medical Center
515.county,San iego,San Diego
879.operativeprocedure,Gallbladdezr surgery,Gallbladder surgery
1109.facilityname,"Kaiser Foundation Hospita, Sacramento","Kaiser Foundation Hospital, Sacramento"
1392.county,San LuisO bispo,San Luis Obispo
251.facilityname,Sutter Davis Hospiatl,Sutter Davis Hospital
535.hai,"Healthcare Assocqiated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
356.hai,"Healthcare Associated Infedction, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
84.statevalue,tCalifornia,California
671.statevalue,Calpifornia,California
635.statevalue,Calinfornia,California
496.hai,"Healthcare Associated Infection, Surgical Site Infectionsf (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
880.operativeprocedure,Gallbadder surgery,Gallbladder surgery
277.facilityname,Washington Hospitla,Washington Hospital
105.operativeprocedure,Appendix surgeyr,Appendix surgery
626.county,Los nAgeles,Los Angeles
15.statevalue,Californai,California
273.statevalue,Calipfornia,California
1270.county,San Bernadino,San Bernardino
686.statevalue,Calxifornia,California
670.hai,"Healthcare AssociatedI nfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1439.hai,"Healthcare Associated Infection, Surgical Site Infections (SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1330.county,San iego,San Diego
1252.hai,"Healthcare Associated Inifection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
817.statevalue,Califorknia,California
743.facilityname,Sutter Santa Roska Regional Hospital,Sutter Santa Rosa Regional Hospital
496.statevalue,Califronia,California
884.county,Shan Joaquin,San Joaquin
590.operativeprocedure,Colno surgery,Colon surgery
1267.hai,"Healthcare Assolciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
169.facilityname,Oroville Hosiptal,Oroville Hospital
337.hai,"Healthcare Associated Infection, Surgical Site Infectiones (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
135.hai,"Healthcare Associated Infection, Surgical Site Infection s(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1173.statevalue,Clifornia,California
693.statevalue,Califorfnia,California
544.operativeprocedure,Coln surgery,Colon surgery
1403.operativeprocedure,Spina lfusion,Spinal fusion
240.statevalue,Califronia,California
1156.statevalue,Califkornia,California
566.operativeprocedure,Cooln surgery,Colon surgery
1424.facilityname,Glendale Adventist Medical Centr,Glendale Adventist Medical Center
823.county,Snanta Clara,Santa Clara
1219.hai,"Healthcare Associated Infection,S urgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
498.facilityname,South Coast Global Medial Center,South Coast Global Medical Center
411.statevalue,aClifornia,California
616.hai,"Healthcare Associated Infection, Surgcial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
249.operativeprocedure,Appendi surgery,Appendix surgery
1050.statevalue,aClifornia,California
1070.county,an Joaquin,San Joaquin
89.hai,"Healthcare Associated Infection, Surgical Site Infectios (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
412.facilityname,"Kaiser Foundation Hospital, Oakzland/Richmond","Kaiser Foundation Hospital, Oakland/Richmond"
710.statevalue,Califrnia,California
1389.county,Sponoma,Sonoma
628.hai,"Healthcare Associated Infection, Surgical Site Infections (SSIw)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1065.hai,"Healthcare Associated Infectoin, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1107.facilityname,"Kaiser Foundation Hospital, iverside","Kaiser Foundation Hospital, Riverside"
106.facilityname,"Kaiser Foundation Hospital, Santa lara","Kaiser Foundation Hospital, Santa Clara"
978.county,Los ngeles,Los Angeles
854.county,Sasn Mateo,San Mateo
395.county,Riverisde,Riverside
1075.facilityname,Eisenhowe Medical Center,Eisenhower Medical Center
351.county,Los Angeples,Los Angeles
570.county,Los Aneles,Los Angeles
116.facilityname,Kern MedicalC enter,Kern Medical Center
253.county,ake,Lake
601.hai,"Healthare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1396.operativeprocedure,Spinal fusino,Spinal fusion
806.operativeprocedure,Galblladder surgery,Gallbladder surgery
1324.county,Montreey,Monterey
7.county,Oange,Orange
699.operativeprocedure,Exploratory abdomial surger (laparotomy),Exploratory abdomial surgery (laparotomy)
105.county,Marien,Marin
1422.statevalue,Caifornia,California
1153.hai,"Heaklthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
215.hai,"Healthcaer Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
312.facilityname,Saint Francis Medica lCenter,Saint Francis Medical Center
904.facilityname,Suttzer Auburn Faith Hospital,Sutter Auburn Faith Hospital
1395.county,Santa Calra,Santa Clara
325.county,Lo Angeles,Los Angeles
110.facilityname,"Kaiser Foundation Hospital, South Sna Francisco","Kaiser Foundation Hospital, South San Francisco"
520.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1244.statevalue,Claifornia,California
37.statevalue,Califmornia,California
1400.hai,"Healthcare Associated Infection, Surgical Site Infection s(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1113.operativeprocedure,Open rduction of fracture,Open reduction of fracture
1409.operativeprocedure,Thoracic srugery,Thoracic surgery
701.statevalue,Clifornia,California
835.county,pLos Angeles,Los Angeles
514.facilityname,Tahoe Forest oHospital,Tahoe Forest Hospital
1090.facilityname,Hoag Orthopedic Insttute,Hoag Orthopedic Institute
618.county,ern,Kern
444.county,Sacamento,Sacramento
606.county,San rFancisco,San Francisco
503.facilityname,Sot. Helena Hospital,St. Helena Hospital
324.facilityname,Antelop Valley Hospital,Antelope Valley Hospital
548.facilityname,"Good Samaitan Hospital, San Jose","Good Samaritan Hospital, San Jose"
1406.operativeprocedure,Thoracic surgrey,Thoracic surgery
1332.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
597.county,San Digo,San Diego
486.operativeprocedure,esarean section,Cesarean section
1270.statevalue,Californyia,California
41.county,fSan Joaquin,San Joaquin
68.hai,"Healthcare Associated Infection, Surgical Sicte Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
920.hai,"Healthcare Asosciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1318.statevalue,Californida,California
701.facilityname,Providene Holy Cross Medical Center,Providence Holy Cross Medical Center
903.facilityname,"St. Mary Medcial Center, Long Beach","St. Mary Medical Center, Long Beach"
1358.operativeprocedure,Spingal fusion,Spinal fusion
457.facilityname,O'onnor Hospital,O'Connor Hospital
1415.statevalue,Caliornia,California
237.county,Vetnura,Ventura
242.hai,"Halthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
307.county,Oange,Orange
1412.statevalue,alifornia,California
988.operativeprocedure,Laminectmoy,Laminectomy
541.facilityname,Commuity Regional Medical Center,Community Regional Medical Center
405.county,Los Ajngeles,Los Angeles
987.hai,"Healthcare Associated Infection, Surgical Site Infsections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
47.hai,"Healthcare Associated Infection, Surgical Site Infectiovns (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
778.operativeprocedure,Grallbladder surgery,Gallbladder surgery
336.county,an Bernardino,San Bernardino
146.statevalue,Claifornia,California
664.statevalue,Californai,California
651.hai,"Healthcare Associated Infection, Surgical Site Infectios (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
508.operativeprocedure,Cesarea nsection,Cesarean section
977.statevalue,alifornia,California
358.facilityname,Arrowhead eRgional Medical Center,Arrowhead Regional Medical Center
458.county,Orangye,Orange
482.county,San Bernaredino,San Bernardino
318.county,Pacer,Placer
1188.hai,"fHealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
968.facilityname,"Southwest Healthcare System, Muqrrieta","Southwest Healthcare System, Murrieta"
1209.county,SantaC lara,Santa Clara
743.hai,"Healthcare sAsociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1383.operativeprocedure,Spina lfusion,Spinal fusion
1148.hai,"Healthcare Associated Infection, Surgical Site Infections SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
234.county,Rivrside,Riverside
539.county,Los Anegles,Los Angeles
1390.operativeprocedure,Spinal fusin,Spinal fusion
615.facilityname,Anaheim Gblobal Medical Center,Anaheim Global Medical Center
280.operativeprocedure,Appendix suregry,Appendix surgery
755.county,Alwameda,Alameda
961.statevalue,Cxalifornia,California
394.statevalue,Califoria,California
337.operativeprocedure,Cardiac usrgery,Cardiac surgery
675.statevalue,Californai,California
969.statevalue,Califoronia,California
713.statevalue,Caligfornia,California
876.statevalue,Califonrnia,California
1350.facilityname,Cildren's Hospital of Orange County,Children's Hospital of Orange County
978.facilityname,Childrne's Hospital Los Angeles,Children's Hospital Los Angeles
369.county,entura,Ventura
1424.county,Los Angelets,Los Angeles
1295.statevalue,Califonria,California
70.hai,"HealthcareA ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1190.county,Los Angeels,Los Angeles
269.statevalue,Claifornia,California
375.hai,"Healthcare Associated Infecion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
466.facilityname,Pomona Valley Hosptial Medical Center,Pomona Valley Hospital Medical Center
797.operativeprocedure,Galblladder surgery,Gallbladder surgery
256.hai,"Healthcare Associated Ifection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
649.hai,"Healthcare Associaated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
304.hai,"Healthcare Associated Infecjtion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
276.statevalue,Calfiornia,California
8.operativeprocedure,Appenix surgery,Appendix surgery
815.facilityname,"Kaiser Foundation Hosjpital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
1396.facilityname,"SutterMedical Center, Sacramento","Sutter Medical Center, Sacramento"
354.statevalue,Califobrnia,California
608.hai,"Healhtcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
55.facilityname,Fountain Valley Reigonal Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center
1492.operativeprocedure,Thoracic sucrgery,Thoracic surgery
1248.statevalue,Californiba,California
168.statevalue,Californai,California
668.operativeprocedure,Exploratnory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
451.hai,"Healhtcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
287.statevalue,Calfiornia,California
802.operativeprocedure,Gallbladder bsurgery,Gallbladder surgery
1490.county,Orfange,Orange
350.operativeprocedure,Cadriac surgery,Cardiac surgery
908.county,Sloano,Solano
1153.statevalue,Cfalifornia,California
844.facilityname,Mad River Community Hospistal,Mad River Community Hospital
104.facilityname,"Kaiser Foundation Hospital, San Leadro","Kaiser Foundation Hospital, San Leandro"
842.hai,"Healthcare Associated Infection,S urgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1319.operativeprocedure,Smnall bowel surgery,Small bowel surgery
1444.facilityname,"aiser Foundation Hospital, West LA","Kaiser Foundation Hospital, West LA"
205.statevalue,Cualifornia,California
1399.facilityname,University of California Davis MedicalCenter,University of California Davis Medical Center
828.hai,"Healthcare Associated Infetion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1098.hai,"Healthcare Associated Infection, Surgical Site Infectionsc (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
131.statevalue,Californgia,California
1098.county,Fersno,Fresno
624.statevalue,Claifornia,California
1046.hai,"Healthcare Associated Infection, Surgical Site Infepctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
431.hai,"Healthcare Associated Infection,i Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
984.facilityname,Earl & LoraineMiller Children's Hospital,Earl & Loraine Miller Children's Hospital
126.operativeprocedure,ppendix surgery,Appendix surgery
1054.facilityname,Chapman Global Mediscal Center,Chapman Global Medical Center
151.facilityname,Mewrcy Medical Center Redding,Mercy Medical Center Redding
1141.facilityname,Marshall MedicalC enter,Marshall Medical Center
281.operativeprocedure,Appendixsurgery,Appendix surgery
1475.facilityname,SantaC lara Valley Medical Center,Santa Clara Valley Medical Center
1422.facilityname,Enloe Medical Center - Esplnaade,Enloe Medical Center - Esplanade
42.hai,"Healthcare Associated Infection, Surgiycal Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
98.operativeprocedure,Appendix surgry,Appendix surgery
1252.facilityname,Loma Linda University Childen's Hospital,Loma Linda University Children's Hospital
1328.facilityname,Santa Clara Valley Meidcal Center,Santa Clara Valley Medical Center
951.facilityname,UCSF Medical eCnter,UCSF Medical Center
588.hai,"Healthcare Associated Infection, Suregical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
547.facilityname,Fountain Valley Regional Hosptal & Medical Center,Fountain Valley Regional Hospital & Medical Center
315.statevalue,Caliornia,California
1172.facilityname,Regional pMedical Center of San Jose,Regional Medical Center of San Jose
548.statevalue,alifornia,California
1337.facilityname,University of Caglifornia Davis Medical Center,University of California Davis Medical Center
7.statevalue,Caelifornia,California
470.operativeprocedure,Cesraean section,Cesarean section
1338.statevalue,Califoprnia,California
1197.county,Sacdramento,Sacramento
953.facilityname,Children's Hosptal Los Angeles,Children's Hospital Los Angeles
575.facilityname,Northrn Inyo Hospital,Northern Inyo Hospital
834.operativeprocedure,Galulbladder surgery,Gallbladder surgery
138.facilityname,Mark Twain edical Center,Mark Twain Medical Center
1077.county,utte,Butte
1094.statevalue,Californa,California
1489.facilityname,University of California Davis Medical Ckenter,University of California Davis Medical Center
436.county,Maldera,Madera
1185.facilityname,San Gabriel Vallley Medical Center,San Gabriel Valley Medical Center
696.facilityname,Orange Coast Memorial Medical Centser,Orange Coast Memorial Medical Center
130.county,Santa Clraa,Santa Clara
815.statevalue,Califorfnia,California
1008.statevalue,Caifornia,California
1187.hai,"Healthcare Associated Infection, Surgical Sitet Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
679.county,Venutra,Ventura
139.facilityname,Marshall Medical Cnter,Marshall Medical Center
1371.statevalue,alifornia,California
1376.hai,"Healthcare Associated Infectino, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
